Ed.'s work pile.   		3 letters,MSS.    	Editors work with manuscripts.
Italian writer Primo.   		4 letters,"LEVI.    	Primo Levi was an Italian chemist and writer. His best known written work is ""If This Is a Man"", a biographical account of the year he spent in Auschwitz. He was one of 650 Jews transported to the camp in 1944, and was one of only 20 who survived imprisonment."
Réponse négative.   		3 letters,"NON.    	In French, no (non) is a negative response (réponse négative)."
Notable 1979 exile.   		4 letters,"SHAH.    	The last Shah of Iran was Mohammed-Reza Shah Pahlavi, as he was overthrown in the revolution led by the Ayatollah Khomeini in 1979. The post-revolution government sought the extradition of the Shah back to Iran while he was in the United States seeking medical care (he had cancer). His prolonged stay in the United States, recovering from surgery, caused some unrest back in Iran and resentment towards the United States. Some say that this resentment precipitated the storming of the US Embassy in Tehran and the resulting hostage crisis."
"Margaret Mead's ""Coming of Age in ___"".   		5 letters","SAMOA.    	""Coming of Age in Samoa"" sounds like a fascinating book. It was written by American cultural anthropologist Margaret Mead and published in 1928. In it she examines the behavior of youths in Samoa, making some comparisons with youths in America. One major observation was the smooth transition made from childhood to adulthood of Samoan girls, compared to the more troublesome histories observed in the US."
Mohs scale mineral.   		4 letters,TALC.    	The Mohs scale of mineral hardness was developed in 1812 by Friedrich Mohs. Basically Mohs took minerals and scratched them with other minerals. In this way he was able to determine which minerals were hardest (most scratch resistant) and which softest.
"""Lost Horizon"" figure.   		4 letters","LAMA.    	""Lama"" is a Tibetan word, meaning ""chief"" or ""high priest""."
Mauna ___.   		3 letters,"KEA.    	Mauna Kea is a dormant volcano on the Big Island of Hawaii, the peak of which is the highest point in the whole state. Mauna Kea is in effect the tip of a gigantic volcano rising up from the seabed."
Car introduced by Elon Musk.   		5 letters,"TESLA.    	Elon Musk is successful businessman who has founded or led some very high-profile companies, namely PayPal, Tesla Motors and SpaceX."
PX patrons.   		3 letters,"GIS.    	A PX is a Post Exchange, a retail store operating on a US Army Base. The equivalent on an Air Force Base is a Base Exchange (BX). At a Navy installation it's a Navy Exchange (NEX), at a Marine Corps installation it's a Marine Corps Exchange (MCX) and at a Coast Guard Installation it's a CGX."
Property restriction.   		4 letters,"LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid. When an individual takes out a car loan, for example, the lending bank is usually a lien holder. The bank releases the lien on the car when the loan is paid in full."
Hoopla.   		3 letters,"ADO.    	The word 'hoopla' means 'boisterous excitement'. The term probably comes from 'houp-là', something the French say instead of 'upsy-daisy'. Then again, 'upsy-daisy' probably isn't something said very often here in the US ..."
"Country with a green, yellow and red flag.   		4 letters","MALI.    	The Republic of Mali is a landlocked country in western Africa, south of Algeria. The flag of Mali is identical with the flag of Guinea, except that orders of the colors are reversed."
División del día.   		4 letters,"HORA.    	In Spanish, an hour (hora) is a division of the day (división del día)."
"""You Are My Destiny"" singer.   		4 letters","ANKA.    	Canadian-born Paul Anka's big hit was in 1957, the song entitled ""Diana"". Anka was the subject of a much-lauded documentary film in 1962 called ""Lonely Boy""."
Writer Anaïs.   		3 letters,"NIN.    	Anaïs Nin was a French writer, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. She also wrote highly regarded erotica, and cited D. H. Lawrence as one author from whom she drew inspiration."
Bit of pottery.   		4 letters,"OLLA.    	An olla is a ceramic jar, usually used for cooking stews."
One coming out.   		3 letters,"DEB.    	Deb is short for ""debutante"", which translates from French as ""female beginner""."
French city said to have given its name to a car.   		5 letters,"SEDAN.    	The American ""sedan"" car is the equivalent of the British ""saloon"" car. By definition, a sedan car has two rows of seating and a separate trunk (boot in the UK), although in some models the engine can be at the rear of the car."
Barely.   		5 letters,"A TAD.    	Back in the 1800s ""tad"" was used to describe a young child, and this morphed into our usage of ""small amount"" in the early 1900s. The original use of ""tad"" for a child is very likely a shortened version of ""tadpole""."
500 sheets of paper.   		4 letters,"REAM.    	A ream is 500 sheets of paper. As there were 24 sheets in a quire, and 20 quires made up a ream, there used to be 480 sheets in a ream. Ever since the standard was changed to 500, a 480-sheet packet of paper has been called a ""short ream""."
___ Reader.   		4 letters,"UTNE.    	The ""Utne Reader"" is known for aggregation and republishing of articles on politics, culture and the environment from other sources in the media. The ""Utne Reader"" was founded in 1984, with ""Utne"" being the family name of the couple that started the publication."
Savoie sweetheart.   		4 letters,"AMIE.    	Savoie (Savoy in English) is a region in the western Alps, straddling the border between France and Italy. And ""amie"" is French for a girlfriend, or sweetheart."
Sénat vote.   		3 letters,NON.    	The French Senate (Sénat) sometimes votes 'yes' (oui) and sometimes 'no' (non).
Big ___.   		4 letters,"EAST.    	The BIG EAST collegiate athletic conference was founded in 1979. The conference went through a major realignment between 2010 and 2013 with 14 schools departing, 15 schools joining the lineup."
Insurance giant.   		5 letters,"AETNA.    	When the health care management and insurance company known as Aetna was founded, the name was chosen to evoke images of Mt. Etna, the European volcano."
Car co-created and named by John DeLorean.   		3 letters,"GTO.    	John DeLorean was an American engineer and executive who worked at General Motors for many years, and was responsible for the design of the Pontiac GTO in particular. His career in the automotive industry really took off, and he began to lead the jet-setter lifestyle. DeLorean left GM in 1973 and formed his own company, eventually manufacturing the famous 'DeLorean' car in Northern Ireland. The DeLorean was a V6 with a distinctive stainless steel body and two gull wings (and was chosen as the car for the 'Back to the Future' movies). But the DeLorean was a flop, and the company went in receivership. In a bid to save his company, DeLorean spent three months trying to set up a deal that involved smuggling cocaine. He fell foul of an FBI sting operation and was arrested. He was found not guilty though, due to entrapment."
"Immediately, on an order.   		4 letters",ASAP.    	As soon as possible (ASAP)
New York city with an amusement park that's a National Historic Landmark.   		3 letters,"RYE.    	The New York city of Rye is the youngest in the state, having received its charter in 1942. Rye is home to the historic amusement park called Playland, which in 1987 was designated a National Historic Landmark. Opened in 1928, today's Playland is actually owned and operated by Westchester County, making it one of the only government-operated amusement parks in the whole country."
Game akin to bingo.   		4 letters,"KENO.    	The name ""Keno"" has French or Latin roots, with the French ""quine"" being a term for five winning numbers, and the Latin ""quini"" meaning ""five each"". The game, however, originated in China. It was introduced to the West by Chinese immigrants who were working on the first Transcontinental Railroad in the 1800s."
Put in one's ___.   		3 letters,"OAR.    	To put in one's oar is to meddle, to interfere."
1990s cartoon dog.   		3 letters,REN.    	'The Ren and Stimpy Show' ran on Nickelodeon from 1991 to 1996. Not my cup of tea ...
Ancient Asia Minor region.   		5 letters,"IONIA.    	Asia Minor is also known as Anatolia, and is the geographic part of Asia that protrudes out into the west, towards Europe. It is roughly equivalent to modern-day Turkey."
___ soup.   		4 letters,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus (!), producing a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
P.D.Q.   		4 letters,"ASAP.    	Pretty darn quick (PDQ) or, as soon as possible (ASAP)."
QB O'Donnell.   		4 letters,NEIL.    	Neil O'Donnell played for various teams in the NFL from 1990-2003. When O'Donnell retired he had the lowest interception percentage in NFL history (a record that has since been surpassed though).
Co.   		3 letters,"IBM.    	I don't think my kids really know what a floppy disk is. A floppy disk is made up of a thin and flexible magnetic material that can store data, enclosed in a protective case. I've used 8-inch floppies in my time, and many 5.25-inch floppy disks. Until fairly recently, I had a desktop that would take 3.5-inch disks, although I think the last 3.5-inch floppy disappeared from the house several years ago ..."
"""You Are My Destiny"" singer, 1958.   		4 letters","ANKA.    	Canadian-born Paul Anka's big hit was in 1957, ""Diana"". He followed this up with ""It's Time to Cry"" in 1958. Paul Anka was the subject of a much-lauded documentary film in 1962, called ""Lonely Boy""."
A.P.O.   		3 letters,GIS.    	Army Post Office (APO)
"Lickety-split, in a memo.   		4 letters","ASAP.    	'Lickety-split' is the latest in a line of terms that derived from the word 'lick', which was used in the sense of a 'fast sprint in a race' back in the early 1800s. From 'lick' there evolved 'licketie', 'lickety-click', 'lickety-cut' and finally 'lickety-split', all just colorful ways to say 'fast'."
"Dance done to ""Hava Nagila"".   		4 letters","HORA.    	The hora is circle dance that originated in the Balkans. It was brought to Israel by Romanian settlers, and is often performed to traditional Israeli folk songs. The hora (also horah) is a regular sight at Jewish weddings."
"One of the superheroes in 2012's ""The Avengers"".   		4 letters","THOR.    	Thor is a superhero who was introduced to us by Marvel Comics in 1962. The character is of course based on the Norse god Thor, and comes complete with a magical hammer. Like so many comic book heroes it seems, Thor has made it to the big screen. Actor Chris Hemsworth played the role in the 2011 film 'Thor' directed by the great Kenneth Branagh. Branagh must have needed the cash. Thor's father Odin is played by Anthony Hopkins. He must have needed the cash too ..."
Language of Kenya: Abbr..   		3 letters,"ENG.    	Kenya has two official languages, Swahili and English.  English is in use as the British were the colonial power in Kenya for decades."
Security measure.   		4 letters,"LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid. When an individual takes out a car loan, for example, the lending bank is usually a lien holder. The bank releases the lien on the car when the loan is paid in full."
"Deuce preceder, maybe.   		5 letters","AD IN.    	In tennis, if the score reaches ""deuce"" (i.e. when both players have scored three points), then the first player to win two points in a row wins the game. The player who wins the point immediately after deuce is said to have the ""advantage"". If the player with the advantage wins the next point then that's two in a row and that player wins the game. If the person with the advantage loses the next point, then advantage is lost and the players return to deuce and try again. If the one of the players is calling out the score then if he/she has the advantage then that player announces ""ad in"" or more formally ""advantage in"". If the score announcer's opponent has the advantage, then the announcement is ""ad out"" or ""advantage out"". Follow all of that ...?"
Feats of Keats.   		4 letters,"ODES.    	The poet John Keats is famous for writing a whole series of beautiful odes. The most renowned are the so-called '1819 Odes', a collection from the year 1819 that includes famous poems such as 'Ode on a Grecian Urn', ""Ode to a Nightingale' and 'Ode to Psyche'."
"Game point, in tennis.   		5 letters","AD IN.    	In tennis, if the score reaches ""deuce"" (i.e. when both players have scored three points), then the first player to win two points in a row wins the game. The player who wins the point immediately after deuce is said to have the ""advantage"". If the player with the advantage wins the next point then that's two in a row and that player wins the game. If the person with the advantage loses the next point, then advantage is lost and the players return to deuce and try again. If the one of the players is calling out the score then if he/she has the advantage then that player announces ""ad in"" or more formally ""advantage in"". If the score announcer's opponent has the advantage, then the announcement is ""ad out"" or ""advantage out"". Follow all of that ...?"
Sedgwick in Warhol films.   		4 letters,EDIE.    	Edie Sedgwick became famous when she starred in several short films made by Andy Warhol in the sixties.
About 45 miles of it touch Canada.   		5 letters,"IDAHO.    	The US state of Idaho has a panhandle that extends northwards between Washington and Montana, right up to the border with Canada. Across that border is the Canadian province of British Columbia. Most of Idaho is in the Mountain Time Zone, but Northern Idaho (the Panhandle) is in the Pacific Time Zone."
___ Jima.   		3 letters,"IWO.    	Iwo Jima today is an uninhabited volcanic island located south of Tokyo, Japan. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out, and no one has lived there ever since."
"""u can't b serious!"".   		3 letters",OMG.    	OMG is text-speak for Oh My Gosh! Oh My Goodness! or any other G words you might think of ...
"Paul with the #1 hit ""Lonely Boy"".   		4 letters","ANKA.    	Canadian-born Paul Anka's big hit was in 1957, the song entitled ""Diana"". Anka was the subject of a much-lauded documentary film in 1962 called ""Lonely Boy"". 'Lonely Boy' had been a number-one hit for Anka in 1959."
Racket-raising Richards.   		5 letters,"RENEE.    	Renée Richards is a former professional tennis player. Richards was at the center of a very public controversy in the seventies when she was banned from playing in the 1976 US Open, as she had been born a man and had undergone gender reassignment surgery. Richards disputed the ban and took her case to the New York Supreme court where she won her case. In 1977 Richards then made it to the women's double final in the US Open. Later she coached Martina Navatilova, helping Navratilova win two Wimbledon titles."
Home to Maine's Black Bears.   		5 letters,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
One of the Bobbsey twins.   		3 letters,"NAN.    	The 'Bobbsey Twins' series of children's novels was first written by Edward Stratemeyer in 1904. Stratemeyer used the pseudonym Laura Lee Hope, as did subsequent authors who wrote 72 books in the series between 1904 and 1979."
P.T.A. member?: Abbr..   		4 letters,ASSN.    	One member of the three word phrase abbreviated by PTA is Association (as in Parent-Teacher Association).
Mon ___.   		4 letters,"AMIE.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
It gets patted on the bottom.   		4 letters,"TALC.    	Talc is a mineral, actually hydrated magnesium silicate. Talcum powder is composed of loose talc, although these days ""baby powder"" can also be corn starch."
Hershiser of the 1980s-'90s Dodgers.   		4 letters,"OREL.    	Orel Hershiser is big into poker now that he has retired from Major League Baseball. Hershiser lives in Las Vegas and when he isn't working for ESPN, apparently he is at the poker tables, playing professionally. When Hershiser is eliminated in a poker tournament, he is in the habit of presenting the person who ousts him with an autographed baseball."
Coastal Anatolian region.   		5 letters,IONIA.    	Lydia and Ionia were ancient territories in a part of the world now covered by modern-day Turkey. Both territories eventually fell under Greek and then Roman rule.
___ Field (former name of Minute Maid Park).   		5 letters,"ENRON.    	Enron Field, as it was known, is a retractable-roof ball park, built next to Houston's old Union Station. Enron paid $100 million to get its name on the field, and then when the world found out what a scam Enron actually was, the Astros bought back the contract for the name, for a mere $2.1 million. The stadium became Astros Field for a few months, until the Coke people paid $170 million for a 28-year contract to christen the stadium Minute Maid Park. A good deal for the Astros, I'd say."
Black Bears' home.   		5 letters,ORONO.    	The Maine Black Bears are the athletic teams of the University of Maine.
Payment guarantee.   		4 letters,LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid.
Flapper accessory.   		3 letters,"BOA.    	Flappers were the so-called 'new breed' of young women of the twenties. The flappers wore their hair short (with ringlets), dressed in short skirts and generally rebelled against the accepted norms of the time. The term ""flapper"" comes from the 1920 movie ""The Flapper"" starring Olive Thomas as a young woman who lived the more liberal lifestyle that was emerging at that time."
There might be one on a car.   		4 letters,LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid.
Proscribed.   		5 letters,"TABOO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
Foofaraw.   		3 letters,"ADO.    	Foofaraw is excessive or flashy ornamentation, or a fuss over something that is unimportant."
"Director Justin of the ""Fast and the Furious"" franchise.   		3 letters","LIN.    	Justin Lin is an American movie director who was born in Taiwan. Lin directed three of the six films in 'The Fast and the Furious' series. Apparently he is directing a new film in the 'Jason Bourne' series called 'The Bourne Betrayal'. I'm not really a fan of 'The Fast and the Furious' films, but would like to see another 'Jason Bourne' movie ..."
Keats collection.   		4 letters,"ODES.    	The poet John Keats is famous for writing a whole series of beautiful odes. The most renowned are the so-called '1819 Odes', a collection from the year 1819 that includes famous poems such as 'Ode on a Grecian Urn', ""Ode to a Nightingale' and 'Ode to Psyche'."
"Restroom, informally.   		3 letters","LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a lavatory became a washroom, and in the 1920s a toilet."
Pique condition?.   		3 letters,"IRE.    	Our term ""pique"" meaning a ""fit of ill feeling"" is a French word meaning a ""prick, sting, irritation""."
Top-Flite holder.   		3 letters,"TEE.    	The Top-Flite brand is currently owned by Calloway, picked up when Spalding's golf division went bankrupt in 2003."
Setting for the highest-grossing movie of 1939.   		4 letters,"TARA.    	Scarlett O'Hara's home is the Tara plantation, in Margaret Mitchell's ""Gone with the Wind"". Tara was founded not far from the Georgia city of Jonesboro by Scarlett's father, Irish immigrant Gerald O'Hara. Gerald named his new abode after the Hill of Tara back in his home country, the ancient seat of the High King of Ireland."
Snake's place.   		5 letters,IDAHO.    	The Snake is a tributary of the Columbia River which crosses six states after rising in Wyoming. One of those states is Idaho.
East Indies tourist destination.   		4 letters,"BALI.    	Bali is the most important tourist destination in Indonesia and is an island lying east of Java. In recent years, Bali's tourist industry has been badly hit in the aftermath of two terrorist bombings. The first one, in 2002, killed 202 people, mainly foreign tourists in a nightclub."
"""Desperate Housewives"" role.   		4 letters","EDIE.    	Edie Britt is a character on television's 'Desperate Housewives' played by Nicollette Sheridan. I'm told that her name is now Edie William, and that she used to be called Edie McLain and also Edie Rothwell. She must be a desperate housewife ..."
Home of Team Coco.   		3 letters,"TBS.    	Team Leno and Team Coco were the two 'sides' in the so called 'War for Late Night' of 2010. Team Leno represented Jay Leno, and Team Coco were behind Conan O'Brien."
Speak on the record?.   		3 letters,RAP.    	Another cleverly worded clue ...
Score after deuce.   		5 letters,"AD IN.    	In tennis, if the score reaches ""deuce"" (i.e. when both players have scored three points), then the first player to win two points in a row wins the game. The player who wins the point immediately after deuce is said to have the ""advantage"". If the player with the advantage wins the next point then that's two in a row and that player wins the game. If the person with the advantage loses the next point, then advantage is lost and the players return to deuce and try again. If the one of the players is calling out the score then if he/she has the advantage then that player announces ""ad in"" or more formally ""advantage in"". If the score announcer's opponent has the advantage, then the announcement is ""ad out"" or ""advantage out"". Follow all of that ...?"
Shakespearean stir.   		3 letters,"ADO.    	""Much Ado About Nothing"" is a favorite of mine, a play of course by William Shakespeare. It is a comedic tale of two pairs of lovers with lots of mistaken identities and double meanings. I once saw it performed in the fabulous Globe Theatre in London ... by an all-female cast!"
"""Ich bin ___ Berliner"".   		3 letters","EIN.    	""Ich bin ein Berliner"" (I am a Berliner) are famous words of support uttered by President John F. Kennedy in 1963 in a speech in West Berlin. The supposed translation of ""Ich bin ein Berliner"" as ""I am a jelly doughnut"" ... that's just an urban legend. Even though a 'Berliner' can be the name of a jelly doughnut, President Kennedy's use of German was perfectly correct."
Prohibited.   		5 letters,"TABOO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
"China and environs, with ""the"".   		4 letters","EAST.    	In geographical terms there are three 'easts'. The Near East and Middle East are terms that are often considered synonymous, although 'Near East' tends to be used when discussing ancient history and 'Middle East' when referring to the present day. The Near/Middle East encompasses most of Western Asia and Egypt. The term 'Far East' describes East Asia (including the Russian Far East), Southeast Asia and South Asia."
Sub ___ (confidentially).   		4 letters,"ROSA.    	'Sub rosa' is a Latin term that translates literally as 'under the rose'. The term is used to denote confidentiality, as the rose has been a symbol of secrecy since ancient times."
London's locale: Abbr..   		3 letters,"ENG.    	London is the largest metropolitan area in the whole of the European Union (and one of my favorite cities in the world). London has been a major settlement for over 2,000 years and was founded as a town by the Romans who called it Londinium. The name ""Londinium"" may have existed prior to the arrival by the Romans, and no one seems too sure of its origins. Famously, the City of London is a one-square-mile area at the center of the metropolis, the area that marked the old medieval London. ""The City"", as it is commonly called, has its own Mayor of the City of London (the Mayor of London is someone else), and it's own City of London Police Force (the London Metropolitan Police are the police we usually see on the street as tourist, a different force)."
"Eating non-halal, to Muslims.   		5 letters","TABOO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
Home of an America East Conference team.   		5 letters,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers."
Original ThinkPad manufacturer.   		3 letters,"IBM.    	IBM introduced the ThinkPad in 1992, and the brand is still sold today, although no longer manufactured by IBM. IBM sold off its personal computer division in 2005 to Lenovo. A ThinkPad was used aboard the Space Shuttle Endeavor in 1993 on a mission focused on repairing the Hubble Telescope. The ThinkPad was being tested to see how it performed in space, given the high levels of radiation found in that environment. Now, there are about 100 (!) ThinkPads on board the International Space Station."
"Mozart's ""___ kleine Nachtmusik"".   		4 letters","EINE.    	Mozart's Serenade No. 13 for strings in G major, is better known as ""Eine Kleine Nachtmusik"", which translates into ""a little serenade"", but the more literal English translation of ""a little night music"" is often used. It is a delightful piece in four, very recognizable movements, although there is much debate about a ""lost"" fifth movement."
Alternative to pumpernickel.   		3 letters,"RYE.    	The lovely bread known as pumpernickel is made with a recipe that originates in the Westphalia region of Germany. The version of the bread that we eat in North America has been adapted over the years from the original recipe, largely to produce a cheaper product. If you taste the European version beside the American version, it's hard to believe they have the same origins. The etymology and literal translation of 'pumpernickel' seems to be unclear, although there are some interesting suggestions given that I won't repeat here, especially as they have to do with 'the devil's flatulence!'"
Sedgwick in Warhol films.   		4 letters,EDIE.    	Edie Sedgwick became famous when she starred in several short films made by Andy Warhol in the sixties. Sedgwick's life was portrayed in a 2006 biographical film called 'Factory Girl'.
"Gran Bretaña, e.g.   		4 letters","ISLA.    	In Spanish, Gran Bretaña (Great Britain) is an isla (an island)."
University town named after a Penobscot chief.   		5 letters,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
"""American ___"".   		4 letters","IDOL.    	""American Idol"" is a spin-off show that was created after the amazing success of the British television show ""Pop Idol"". I can't abide either program(me) ..."
"Ballgoer, for short.   		3 letters","DEB.    	Deb is short for ""débutante"", a French word meaning ""female beginner"", a young lady making her ""debut"". Traditionally the term was reserved for young women of aristocratic families who were newly introduced to society, and who were available for marriage. The male equivalent of a débutante is a ""beau"", also a French word."
Date in France?.   		4 letters,"AMIE.    	Amie is the French word for a female friend, a date perhaps."
Gallic girlfriend.   		4 letters,"AMIE.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
Washer/dryer brand.   		5 letters,"AMANA.    	The Amana Corporation takes its name from the location of its original headquarters, in Middle Amana, Iowa."
Sclera neighbor.   		4 letters,UVEA.    	The uvea is the middle of the three layers that make up the eyeball.
51-Across forerunner.   		3 letters,OSS.    	(51. Surveillance org. : CIA)
___ Reader (alternative magazine).   		4 letters,"UTNE.    	The ""Utne Reader"" is known for aggregation and republishing of articles on politics, culture and the environment from other sources in the media. The ""Utne Reader"" was founded in 1984, with ""Utne"" being the family name of the couple that started the publication."
TV type.   		3 letters,"LCD.    	Liquid Crystal Displays (LCDs) are the screens that are found in most laptops today, and in flat panel computer screens. They basically replaced Cathode Ray Tube (CRT) screens, the old television technology."
One of the 30 Dow Jones industrials.   		3 letters,"IBM.    	Dow Jones & Company was founded as a publishing house in 1882 by three newspaper reporters, Charles Dow, Edward Jones and Charles Bergstresser. Today its most famous publication has to be ""The Wall Street Journal"". In 1884, Charles Dow started reporting the average dollar value of the stock of eleven companies, an index which spawned a whole host of metrics that carry the Dow Jones name to this day, including the renowned Dow Jones Industrials."
Wrestling's ___ the Giant.   		5 letters,"ANDRE.    	André the Giant was a professional wrestler from France, whose real name was André René Roussimoff. He suffered from gigantism, over-production of growth hormone, reaching the height of 6 feet 3 inches by the time he was 12-years-old. But, he used his size to develop a very successful career in the ring."
German auto make.   		4 letters,"OPEL.    	Adam Opel founded his company in 1863, first making sewing machines in a cowshed. Commercial success brought new premises and a new product line in 1886, namely penny-farthing bicycles. Adam Opel died in 1895, leaving his two sons with a company that made more penny-farthings and sewing machines than any other company in the world. In 1899 the two sons partnered with a locksmith and started to make cars, but not very successfully. Two years later, the locksmith was dropped in favor of a licensing arrangement with a French car company. By 1914, Opel was the largest manufacturer of automobiles in Germany. My Dad had an Opel in the seventies, a station wagon (we'd say ""estate car"" in Ireland) called an Opel Kadett."
Org.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when, as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be a part of the new school's curriculum."
N.L.   		3 letters,"STL.    	The National League's St. Louis Cardinals were originally called the ""Brown Stockings"", changing their name to the ""Perfectos"" in 1899. That obviously didn't go down well with the locals, as they changed it one year later to the Cardinals."
"""Game of Thrones"" network.   		3 letters","HBO.    	HBO's 'Game of Thrones' is a fantasy television drama that is adapted from a series of novels by George R. R. Martin called 'A Song of Ice and Fire'. 'Game of Thrones' is actually made in and around Belfast, Northern Ireland."
Security Council veto.   		3 letters,"NON.    	'Oui' is 'yes' in French, and 'non' is 'no'."
"""Game of Thrones"" network.   		3 letters","HBO.    	HBO's 'Game of Thrones' is a fantasy television drama that was adapted from a series of novels by George R. R. Martin called 'A Song of Ice and Fire'. 'Game of Thrones' is actually made in Belfast, Northern Ireland."
U.N.   		3 letters,"ILO.    	The ILO (International Labour Organization) is now an agency administered by the UN, but it was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
Designer of Alabama's Civil Rights Memorial.   		3 letters,"LIN.    	The Civil Rights Memorial in Montgomery, Alabama remembers forty people who died over the years in the struggle for equal rights between the years 1954 (the year of the Brown v. Board of Education decision) and 1968 (the year Martin Luther King was assassinated). The memorial was designed by Maya Lin, whose most famous work is the Vietnam Veteran's Memorial in Washington, D.C."
Letter after wye.   		3 letters,"ZEE.    	X, Y, Z (ex, wye, zee)"
"""Boardwalk Empire"" airer.   		3 letters","HBO.    	'Boardwalk Empire' is an HBO drama series set in Atlantic City, New Jersey. The storyline is set in the 1920s and 1930s during the Prohibition Era. The star of the show is Steve Buscemi."
Recap figure.   		4 letters,"STAT.    	When the game's being recapped, we usually hear loads of statistics."
Bud abroad.   		3 letters,"AMI.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
Democratic senator Kefauver.   		5 letters,ESTES.    	Estes Kefauver was a Democratic politician from Tennessee. In 1956 he was the running mate of Adlai Stevenson. The pair of course lost to the Eisenhower-Nixon ticket.
Circle dance.   		4 letters,"HORA.    	The hora (also ""horah"") is a circle dance that originated in the Balkans. The hora was brought to Israel by Romanian settlers, and is often performed to traditional Israeli folk songs. The dance is a regular sight at Jewish weddings."
Watson's creator.   		3 letters,"IBM.    	Watson is a program still in development at IBM. Watson is designed to answer questions that are posed in natural language, so that it should be able to interpret questions just as you and I would, no matter how the question is phrased. The program is named after the founder of IBM, Thomas J. Watson. Today's Watson competed in a few memorable episodes of 'Jeopardy!' in 2011 taking out two of the best players of the quiz show. That made for fun television ..."
Conan O'Brien's network.   		3 letters,TBS.    	Before Conan O'Brien came to fame as a late night talk show host he was a writer. He wrote for both 'Saturday Night Live' and 'The Simpsons'.
Snoop Lion's genre.   		3 letters,RAP.    	Snoop Lion is an alter-ego of rapper Snoop Dogg.
"*Michael Jackson, 1972.   		3 letters","BEN.    	The song ""Ben"" was recorded by Michael Jackson in 1972. The song was originally written for Donny Osmond, but as he wasn't available to record, it was offered to Michael Jackson. The song was written as the theme song for the 1972 horror film ""Ben"", the sequel to the icky but successful ""Willard"", a killer rat movie."
Jet stream's heading.   		4 letters,EAST.    	Jet streams are narrow air currents high in the atmosphere that move very quickly around the earth. The major jet streams surrounding our planet move in a westerly direction.
Tech giant known as Big Blue.   		3 letters,"IBM.    	The origin of the IBM nickname ""Big Blue"" seems to have been lost in the mists of time. That said, maybe it has something to do with the fact that the IBM logo is blue, and almost every mainframe they produced was painted blue. I remember visiting IBM on business a few times in my career, and back then we were encouraged to wear white shirts and blue suits to ""fit in"" with our client's culture."
1957 Tony winner Adams.   		4 letters,"EDIE.    	Edie Adams was an all-round entertainer. She worked for many years on television with Ernie Kovacs and Jack Paar, marrying Ernie Kovacs in 1954. On the big screen she has a major supporting role in ""The Apartment"", and was one of the stars of ""It's a Mad, Mad, Mad, Mad World""."
Maine college town.   		5 letters,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
PBS science series.   		4 letters,"NOVA.    	'Nova' is an excellent science television series on PBS. 'Nova' was created back in 1974, and was inspired by a very similar BBC show called 'Horizon', a show that I grew up with. Many 'Nova' episodes are actually co-productions with the BBC with an American narrator used for the PBS broadcasts and a British narrator for the BBC broadcasts."
