MO_AR,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
TOCCA_A,"TOCCATA.    	A toccata is a virtuoso piece of music, usually written for a keyboard or plucked string instrument, one that has fast-moving passages that emphasize the dexterity of the performer's fingers. It is a piece of music with an ""improvisatory feel"", a piece that seems very spontaneous in form. The name ""toccata"" comes from the Italian word ""toccare"" meaning ""to touch""."
D_CS,DSCS.    	The Distinguished Service Cross (DSC) is the second highest honor awarded to members of the US Army. The DSC is equivalent to the Navy Cross and the Air Force Cross.
DA_O,"DAY-O.    	'Day-O (The Banana Boat Song)' is a traditional folk song from Jamaica. It is sung from the standpoint of dock workers unloading boats on the night shift, so daylight has come, and they want to go home. The most famous version of 'Day-O' was recorded by Harry Belafonte, in 1956."
_AJAK,"SAJAK.    	Pat Sajak took over the hosting of ""Wheel of Fortune"" from Chuck Woolery back in 1983 and has been doing the job ever since. Sajak had a short run as a talk show host in 1989/1990 and used to sub quite often for Larry King and Regis Philbin."
D_KE,DIKE.    	A dike is an embankment usually made of earth and rock that is used to prevent floods.
BIT_,"BITS.    	""Smithereens"" is such a lovely word and I am proud to say that it comes from Irish. The Irish word ""smiodar"" means fragment. We add the suffix ""-in"" (anglicized as ""-een"") to words to indicate the diminutive form. So, ""little fragment"" is ""smidirin"", anglicized as ""smithereens""."
_IONS,LIONS.    	A group of lions is known as a 'pride' of lions.
RO_ERTS,"ROBERTS.    	John Roberts is the 17th Chief Justice of the United States. Roberts was a nominee of President George W. Bush and assumed office in 2005. President Bush first proposed Roberts as an Associate Justice to replace the retiring Sandra Day O'Connor. However, Chief Justice Rehnquist died before Roberts could be confirmed, so President Bush instead nominated Roberts for the vacant Chief Justice seat."
ROLL_,"ROLLS.    	Henry Royce founded the Rolls-Royce company in 1904 with his partner, Charles Rolls. Royce died at 70 years of age in 1933. His last words were, reportedly, ""I wish I had spent more time in the office ..."""
Z_TS,"ZITS.    	'Zits' is a popular cartoon strip written by Jerry Scott and illustrated by Jim Borgman. The strip debuted in 1997, and features a teenage boy called Jeremy Duncan as the main character."
_OLCE,DOLCE.    	The musical term 'dolce' instructs the performer to play 'gently and sweetly'.
SN_RK,"SNARK.    	'Snark' is a term that was coined by Lewis Carroll in his fabulous 1876 nonsense poem 'The Hunting of the Snark'. Somehow, the term 'snarky' came to mean 'irritable, short-tempered' in the early 1900s, and from there 'snark' became 'sarcastic rhetoric' at the beginning of the 21st century."
_RCHER,"ARCHER.    	Sagittarius is a constellation of the zodiac, with 'sagittarius' being the Latin for 'archer'. The constellation is usually represented by a centaur (half-bull, half-man) with a bow."
LA_AMS,"LA RAMS.    	Merlin Olsen played in the NFL with the LA Rams. Olson was selected to the Pro Bowl 14 a record 14 times (shared with Bruce Matthews). After retiring from the game, his career continued to flourish. He worked as a sports broadcaster for many years, and then landed a major role on television's ""Little House on the Prairie"", playing Jonathan Garvey. In one episode, Garvey was to help coach a boy's football team, so the writers gave Olsen's character the tongue-in-cheek line ""I don't know nothin' about football!"" Olsen was also the commercial face of FTD florists for many years. Olson passed away in March 2010, aged 69."
ANNE_,ANNEE.    	'Bonne année!' is French for 'Happy New Year!'
MINE_,"MINER.    	'Oh My Darling, Clementine' is a folk ballad that dates back to the 1880s. The song is about a man who loses his lover, the daughter of a miner who took part in the 1849 California Gold Rush. The words seem to be very sad, but are actually quite tongue-in-cheek."
F_I,"FRI.    	Thanksgiving Day was observed on different dates in different states for many years, until Abraham Lincoln fixed the date for the whole country in 1863. Lincoln&#8217;s presidential proclamation set that date as the last Thursday in November. In 1941, President Franklin D. Roosevelt moved the holiday to the fourth Thursday in November, arguing that the earlier date would give the economy a much-needed boost. "
PA_K,"PARK.    	Park Place is a street in Lower Manhattan that crosses Broadway, and is just a few blocks from the World Trade Center."
VOL_,"VOLT.    	Despite being late entering the eco-friendly car market, Chevrolet today produces the most fuel-efficient compact car with a gasoline engine that is sold in the US. The Chevrolet Volt went on sale at the end of 2010, a plug-in hybrid car that runs on batteries. The Volt has a gasoline engine that can be used run an electric generator if needed. The Volt also uses a regenerative braking system similar to that on my Honda Civic Hybrid, a car that I really love."
ANN_E,ANNEE.    	Bonne année!' is French for 'Happy New Year!' That's something we might hear in France on the first of January (le premier janvier).
CAMA_O,"CAMARO.    	The Chevrolet Camaro is a car produced by General Motors from 1966 to 2002, and reintroduced in 2009. The Camaro shared much of its design with the Pontiac Firebird, and was introduced as a potential competitor to the Ford Mustang."
LEON_RD,"LEONARD.    	'The Big Bang Theory' is very clever sitcom aired by CBS since 2007. 'The Big Bang Theory' theme song was specially commissioned for the show, and was composed and is sung by Canadian band Barenaked Ladies. The theme song was released in 2007 as a single and is featured on a Barenaked Ladies greatest hits album."
VA_P,"VAMP.    	A 'vamp' (short for vampire) is a seductive woman. The term was first used in reference to the sultry performance of actress Theda Bara in the 1915 film 'A Fool There Was'. The movie's title is a quotation from Rudyard Kipling's 1897 poem 'The Vampire'. Bara's role was positioned as a 'vampire', a woman out to seduce a man, launching the use of 'vamp' as an alternative term for a 'femme fatale'."
ODE_SAN,"ODESSAN.    	The Potemkin Stairs is a symbol of Odessa, Ukraine, and is a staircase with 192 steps in total. Prior names for the structure were Boulevard Steps, the Giant Staircase, the Richelieu Steps and the Primorsky Stairs. The 'Potemkin' name was applied in 1955 in honor of the 30th anniversary of the Battleship Potemkin."
CRIB_,"CRIBS.    	'Homie' is short for 'homeboy', someone from one's home neighborhood, or 'crib'."
ST_GMA,"STIGMA.    	A stigma (plural 'stigmata), in a social sense, is a distinguishing mark of disgrace. For example, one might have to suffer the stigma of being in prison. The term derives from the Greek 'stigma', which was a mark or brand."
W_I,"WEI.    	During the Three Kingdoms Period in Chinese history, there were three kingdoms vying for control of China. The three competing kingdoms were Wei, Shu and Wu."
VO_T,"VOLT.    	Despite being late entering the eco-friendly car market, Chevrolet today produces the most fuel-efficient compact car with a gasoline engine that is sold in the US. The Chevrolet Volt went on sale at the end of 2010, a plug-in hybrid car that runs on batteries. The Volt has a gasoline engine that can be used run an electric generator if needed. The Volt also uses a regenerative braking system similar to that on my Honda Civic Hybrid, a car that I really love."
AMIST_D,"AMISTAD.    	'Amistad' is a 1997 historical drama directed and produced by Steven Spielberg. The film tells the true story of the slave ship 'La Amistad'. The newly captured slaves on board escaped and took over the ship off the coast of Cuba. The ship was then captured by a US military vessel and the slaves taken into custody. The captives were eventually freed when their case was decided in the US Supreme Court, with John Quincy Adams pleading for the imprisoned Africans."
YOR_,"YORK.    	York, Pennsylvania was named for the historic city of York in the North of England. York was one of the cities that served as a capital of the Continental Congress during the Revolutionary War. It was in York that the Articles of Confederation were drafted and adopted."
PA_E,"PAGE.    	In essence, the World Wide Web is a vast collection of documents that is accessible using the Internet, with each document containing hyperlinks which point to other documents in the collection. So the 'Web' is different from the Internet, although the terms are often used interchangeably. The Web is the collection of documents, and the Internet is the global network of computers on which the documents reside."
_POOF,"SPOOF.    	'Scary Movie' is one of those parody movies, a film released in 2000 that pokes fun at famous horror films. It was advertised with the tagline 'No mercy. No shame. No sequel'. The 'no sequel' reference was a parody in itself, making fun of the fact that slasher movies in particular were made into strings of sequels. But there was in fact to be a sequel to 'Scary Movie', in fact three of them with one more on the way. 'Scary Movie 2' came out in 2001, with the tagline 'We lied'."
NAC_O,"NACHO.    	The dish known as 'nachos' were supposedly created by the maître d' at a restaurant called the Victory Club in the city of Piedras Negras, Coahuila, Mexico. The maître d''s name was Ignacio 'Nacho' Anaya."
JACK_OT,"JACKPOT.    	The term ""jackpot"" dates back to the 1800s and is from the game of poker. In some variants there are progressive antes, meaning that players have to ""ante up"" when no player has a pair of ""jacks"" or better ... building a ""jackpot""."
RA_ON,"RAYON.    	Rayon is a little unusual in the textile industry in that it is not truly a synthetic fiber, but nor can it be called a natural fiber. Rayon is produced from naturally occurring cellulose that is dissolved and then reformed into fibers."
BR_AN,"BRIAN.    	Even though Mick Jagger and Keith Richards have been the driving force behind the Rolling Stones for decades, they didn't start the group. The band was the idea of guitarist and harmonica player Brian Jones, and it was he who invited Richards and Jagger to join, as well as Ian Stewart, Bill Wyman and Charlie Watts to make an original lineup of six band members. Jones called the band ""Rollin' Stone"" back then in 1962, named for the song by Muddy Waters. Jones was the leader, manager and decision maker for the first few years until songs written by Richards and Jagger became hits and he started to lose artistic control. In 1967, Jones was arrested for drug possession, and again in 1968. When his trouble with the law prevented him from getting a US work visa, Jones wasn't able to accompany the Stones on a 1969 US tour. That was the last straw, it seems, and Jones and the Stones parted company. Famously, one month later, Jones was found dead, at the bottom of his swimming pool."
_DAGES,"ADAGES.    	Cliché' is a word that comes from the world of printing. In the days when type was added as individual letters into a printing plate, for efficiency some oft-used phrases and words were created as one single slug of metal. The word 'cliché' was used for such a grouping of letters. It's easy to see how the same word would become a term to describe any overused phrase. Supposedly, 'cliché' comes from French, from the verb 'clicher' meaning 'to click'. The idea is that when a matrix of letters was dropped in molten metal to make a cliché, it made a clicking sound."
ULUL_TE,"ULULATE.    	A ululation is a high-pitched trill, a sound usually practiced by women in ritual situations. I came across the practice not too long ago as an expression of celebration at an Arab-American wedding."
KL_M,"KLUM.    	German-born Heidi Klum is a talented lady and has built a multi-faceted career based on her early success as a model. She is the force behind the Bravo reality show called ""Project Runway"" that has been on the air since 2004. Klum has been nominated 4-5 times for an Emmy for her association with the show. Klum was also signed up as the official ambassador for Barbie in 2009, the 50th anniversary of the Barbie Doll, and for her service that year a 'Heidi Klum Barbie' was produced. Klum was married to the successful English singer called Seal until 2012."
MACA_ENA,MACARENA.    	'Macarena' is a dance song in Spanish that was a huge hit worldwide for Los Del Río in 1995-1996.
_ULUS,"LULUS.    	We call a remarkable thing or a person a 'lulu'. The term is used in honor of Lulu Hurst, the Georgia Wonder, who was a stage magician active in the 1880s."
EM_JI,"EMOJI.    	An emoji is a character found on many cell phones now that is like an emoticon, but more elaborate."
GP_S,GPAS.    	Grade point average (GPA)
ME_,"MEW.    	The Abyssinian is a popular short-haired breed of domestic cat. The name 'Abyssinian' would seem to indicate that the breed originated in Ethiopia (formerly 'Abyssinia'), but most stories suggest that the Abyssinian comes from Egypt."
AUSTE_,"AUSTEN.    	Mr. Fitzwilliam Darcy has to be one of the great romantic leads in English literature. He appears opposite Miss Elizabeth Bennet in Jane Austen's ""Pride and Prejudice"". There have been many (terrible) ""sequels"" written for ""Pride and Prejudice"", but I have read one ""spin off"" that I heartily recommend if you'd like to explore the story of Elizabeth and Darcy some more. There is a three-part novel called ""Fitzwilliam Darcy: Gentleman"" written by Pamela Aidan and published in 2003-2005. Ms. Aiden does a great job retelling the story of ""Pride and Prejudice"", but from Darcy's perspective. It really is a great read, even for die-hard Austen fans ..."
ELL_,ELLY.    	Elly May Clampett was played by Donna Douglas on the sixties television show 'The Beverly Hillbillies'. Douglas is best known on the big screen for playing the lead opposite Elvis Presley in 1966's 'Frankie and Johnny'.
TABO_S,"TABOOS.    	Iconoclasm is the deliberate destruction of society's icons, either religious or cultural. The term applies more to a rebellious action from within a society, as opposed to an act by external forces invading another culture. As such, the term ""iconoclast"" has come to have a broader meaning, describing anyone who stands up against established convention."
Y_RTLE,"YERTLE.    	""Yertle the Turtle"" is a story by Dr. Seuss. The book is noted for the inclusion of the word ""burp"", which back in 1958 when it was published, was considered to be vulgar. But no one seemed to mind!"
_YPEB,"TYPE B.    	The Type A and Type B personality theory originated in the fifties. Back then, individuals were labelled as Type A in order to emphasize a perceived increased risk of heart disease. Type A personality types are so called ""stress junkies"", whereas Type B types are relaxed and laid back. But there doesn't seem to be much scientific evidence to support the linkage between the Type A personality and heart problems."
_CRABBLE,"SCRABBLE.    	The highest score recorded in an official game of Scrabble is 830, by Michael Cresta of Massachusetts in an 830-490 win in 2006."
V_NTI,VENTI.    	Starbucks introduced us to coffee drinks in a whole range of volumes:
LAPI_,"LAPIS.    	Lapis lazuli is a blue, semi-precious stone mined mainly in Afghanistan. Lapis Lazuli is Latin for ""stone of Lazhward"", referring to the Persian name for the location where the stone was mined. Our word ""azure"", a shade of blue, has the same root."
E_IQ,"ERIQ.    	Eriq La Salle played Dr. Peter Benton on ""ER"", and is best known in film for his portrayal of Darryl in the 1998 comedy ""Coming to America""."
S_W,"SEW.    	Isaac Singer was not only an inventor, but also an actor. For much of his life, profits made from his inventions supported him while he pursued his acting career. Singer didn't actually invent the sewing machine, and never claimed to have done so. What he did do though, was invent a version of the machine that was practical and easily used in the home."
TIE_RA,"TIERRA.    	'Tierra' is Spanish for 'earth, land'."
ABB_,"ABBE.    	Franz Liszt was a composer and pianist from Hungary active in the 1800s. As a pianist, Liszt was a true virtuoso, and was regarded by most in his day as the greatest player of all time. In 1859, Liszt's 20-year old son died, and then three years later his daughter passed away. These events led to him taking up residence in a monastery outside room. He was ordained in 1865, after which he was often referred to as Abbé Liszt."
DELTA_,DELTAS.    	Delta is the fourth letter of the Greek alphabet. We are most familiar with an upper-case delta and its distinctive triangular shape. The letter's shape has influenced terms such as 'deltoid muscle' and 'river delta'. The upper-case delta is also used in mathematics and science to indicate a change in value.
ICEA_E,"ICE AGE.    	Ice ages are periods in the Earth's history when there are extensive ice sheets present in the northern and southern hemispheres. One might argue that we are still in an ice age that began 2.6 million years ago, as evidenced by the presence of ice sheets covering Greenland and Antarctica."
ITALIANIC_,"ITALIAN ICE.    	A sno-cone (also ""snow cone"") is just a paper cone filled with crushed ice and topped with flavored water. Italian ice is similar, but different. Whereas the flavoring is added on top of the ice to make a sno-cone, Italian ice is made with water that is flavored before it is frozen."
OPE_ETTA,"OPERETTA.    	El Capitan' is John Philip Sousa's most successful operetta. There is also a march called 'El Capitan', which comprises themes from the operetta."
FOR_ ,"FORE!.    	No one seems to know for sure where the golfing term ""fore!"" comes from. It has been used at least as far back as 1881, and since then has been called out to warn other golfers that a wayward ball might be heading their way. My favorite possibility for its origin is that it is a contraction of the Gaelic warning cry ""Faugh a Ballagh!"" (clear the way!) which is still called out in the sport of road bowling. Road bowling is an Irish game where players bowl balls along roads between villages, trying to reach the end of the course in as few bowls as possible, just like in golf!"
AVOCE_,"AVOCET.    	The avocet is found in warm climates, usually in saline wetlands where it uses its upcurved bill to sweep from side-to-side in water searching for aquatic insects on which it feeds. Avocets, and other similar species, may go by the common name of ""stilts"", a moniker applied to them because of their long legs."
HOP_NPOP,"HOP ON POP.    	""Hop on Pop"" is a Dr. Seuss book that was first published in 1963, subtitled ""The Simplest Seuss for Youngest Use"". ""Hop on Pop"" was listed by former First Lady Laura Bush as her favorite title, citing the memories evoked of family life with her young daughters."
RIS_TTO,"RISOTTO.    	Risotto is an Italian rice dish that is usually served as a first course in Italy, but as a main course here in North America."
E_EN,"EWEN.    	David Ewen wrote two biographies of George Gershwin, called 'The Story of George Gershwin' and 'George Gershwin: His Journey to Greatness'."
W_YNE,"WAYNE.    	The city of Detroit is known worldwide as the capital of the automotive industry. However, times have been hard in recent years and the city's population dropped by about 25% from 2000 to 2010 as locals moved to the suburbs and beyond in search of work."
_TRO,STRO.    	The Houston baseball team changed its name to the Astros from the Colt .45s in 1965 when they started playing in the Astrodome. The Astrodome was so called in recognition of the city's long association with the US space program.
AC_CIA,"ACACIA.    	Acacia is a genus of tree and shrub, also known as thorntree, whistling thorn and wattle. The acacia is the primary food source for the giraffe in the wild, with the animal eating the leaves high in the tree, leaves that are inaccessible by competing species."
AS_,"ASA.    	Asa Gray was an important American botanist in the nineteenth century. He was a lifelong friend of Charles Darwin, albeit mainly through correspondence. Darwin's book ""Forms of Flowers"", was dedicated to Gray."
SA_YER,SAWYER.    	Tom Sawyer is a favorite character created by Mark Twain. He turns up in four of Twain's books:
CO_IC,COLIC.    	Baby colic is a condition in which a baby cries for no apparent reason for extended periods. At least one study has shown that breastfed babies are about half as likely to suffer from colic.
HAA_,"HAAG.    	Den Haag is the Dutch name for the city in the Netherlands that we know in English as The Hague. Even though The Hague is the seat of the Dutch parliament and is where Queen Beatrix resides, it is not the country's capital city. That honor goes to Amsterdam."
ODEU_,"ODEUM.    	In Ancient Greece an odeon (also 'odeum') was like a small theater, with ""odeon"" literally meaning a ""building for musical competition"". Odea were used in both Greece and Rome for entertainments such as musical shows and poetry readings."
ABD_L,"ABDUL.    	Paula Abdul is primarily a singer and dancer, and someone who endeared herself even more to the American public in recent years as a judge on ""American Idol"". Abdul had a famous husband for a couple of years, as she was married to actor Emilio Estevez from 1992-94."
SETT_R,"SETTER.    	In volleyball, the ""set"" is the second contact made by a team, the contact that is meant to 'set up' an attacking shot."
I_RE,"IMRE.    	Imre Nagy was twice Prime Minister of Hungary. He was ahead of his time, I think. His second term as Prime Minister came during the Hungarian Uprising against the Soviet Union in October 1956. The Soviet's invaded of course, and arrested Nagy. He was tried in secret, sentenced to death and hanged."
OZA_KS,"OZARKS.    	The Ozark Mountains aren't really mountains geographically speaking, and the Ozarks are better described by the alternate name, the Ozark Plateau. It's not really certain how the Ozarks got their name, but my favorite theory is that ""Ozarks"" is the phonetic spelling of ""aux Arks"", short for ""of Arkansas"" in French."
H_LY,HOLY.    	(30D. See 22-Across : GRAIL)
D_A,DOA.    	Dead on arrival (DOA)
U_E,"UDE.    	Ulan-ude is a city in Eastern Siberia founded by the Russian Cossacks. If you ever get to visit, you'll be able to see a huge sculpture of the head of Vladimir Lenin, the largest head of Lenin ever built."
L_RUE,"LARUE.    	Alfred LaRue was an actor who appeared in a lot of western movies in the forties and fifties. He was very adept with the bullwhip, earning him the nickname 'Lash'. Years after his on screen career ended, LaRue was the guy who trained Harrison Ford how to use a bullwhip for his role in the ""Indiana Jones"" series of films."
SCIEN_E,SCIENCE.    	The National Science Foundation (NSF) supports research and education in all scientific fields outside of medicine. The NSF was founded in 1950 during the Truman administration. Today it has a budget of almost 7 billion dollars.
S_G,"SAG.    	The Screen Actor's Guild is a labor union with over 200,000 members. The SAG was formed back in 1933, at a time when many Hollywood stars were being exploited by the big movie studios, especially the younger and more inexperienced performers. Early supporters of the Guild included famous names like Humphrey Bogart and James Cagney (imagine Bogart and Cagney in a labor negotiation!). Past presidents of SAG have also been big names, such as Eddie Cantor, James Cagney, Ronald Reagan, Howard Keel, Charlton Heston, Ed Asner and Melissa Gilbert."
AD_,"ADE.    	King Sunny Adé is a musician from Nigeria. He is a pioneer of what's called world music, a genre that encompasses many styles of music from all around the globe."
RO_DEO,"ROADEO.    	A 'roadeo' is a competition held between drivers of buses or trucks. Obviously, the term is a play on the words 'road' and 'rodeo'."
GEISH_,GEISHA.    	The Japanese term 'geisha' best translates as 'artist' or 'performing artist'.
S_CS,"SICS.    	'Sic 'em' is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
TR_IS,"TROIS.    	In French, three (trois) is a low prime number."
OB_ADI,"OB-LA-DI.    	""Ob-La-Di, Ob-La-Da"" was one of many songs credited to Lennon/McCartney that was actually written by just one of the pair. Paul McCartney wrote this one, a song that John Lennon really did not like at all. Apparently Lennon was quite obstructionist during the recording of the song and even walked out at one point."
CAREE_S,"CAREENS.    	""Careen"" dates back to 1590 when it meant ""to turn a ship on its side, exposing the keel"". The word evolved from the Middle French word ""carene"" meaning ""keel"". Our modern usage, meaning to lean or tilt, only dates back as far as the 1880s. Careen should not be confused with ""career"", a verb meaning to move rapidly. One has to ""career"" from side-to -side in order to ""careen""."
CAT_UP,"CATSUP.    	'Catsup' is an American spelling of 'ketchup' that is sometimes used, especially in the south of the country."
_CR,ACR.    	Across (acr.)
R_W,"RAW.    	Sushi is a Japanese dish that has as its primary ingredient cooked, vinegared rice. The rice is usually topped with something, most often fish, and can be served in seaweed rolls. If you want raw fish by itself, then you have to order ""sashimi""."
_ONI,"JONI.    	Joni Ernst was elected as a US Senator for Iowa in 2014. Ernst is a Republican who had previously served as a lieutenant colonel in the Iowa National Guard. She is the first female veteran in the US Senate, and the first woman to represent Iowa in the US Congress."
KAO_,"KAOS.    	The satirical comedy series called ""Get Smart"" was the creation of Mel Brooks and Buck Henry, and starred Don Adams as Agent 86, Maxwell Smart. Agent 86 worked for the spy agency CONTROL, alongside the lovely Agent 99. CONTROL's sworn enemy was the criminal organization called KAOS. Smart's shoe phone was a hilarious prop used in almost every episode. When Smart dialed the number 117, the shoe converted into a gun. Cool stuff ..."
ODE_M,"ODEUM.    	In Ancient Greece an odeon (also odeum) was like a small theater, with ""odeon"" literally meaning a ""building for musical competition"". Odea were used in both Greece and Rome for entertainments such as musical shows and poetry readings."
F_R,FOR.    	For your information (fyi)
CHAI_EA,"CHAI TEA.    	Chai is a drink made from spiced black tea, honey and milk, with ""chai"" being the Hindi word for ""tea"". We often called tea ""a cup of char"" growing up in Ireland, with ""char"" being our slang word for tea, derived from ""chai""."
_OSTADA,"TOSTADA.    	In Mexican cuisine, a tostada is a flat or bowl-shaped tortilla. 'Tostada' translates literally from Spanish as 'toasted'."
E_OILE,"ETOILE.    	In the world of ballet, the étoile is the leading dancer in a company (male or female). ""Étoile"" is the French word for ""star""."
EL_,"ELD.    	'Eld' is an archaic word meaning 'antiquity, olden times'."
HIK_,"HIKE.    	We never used the word ""gridiron"" when I was growing up in Ireland (meaning a grill used for cooking food over an open fire). So, maybe I am excused for finding out relatively recently that a football field gridiron is so called because the layout of yard lines over the field looks like a gridiron used in cooking!"
DELI_AH,"DELILAH.    	Delilah is a Biblical figure, the wife of Samson. Delilah was engaged by the Philistines to betray her husband by determining the secret of his great strength. Samson lied to his wife three times, but on the fourth asking he told his wife the truth, that he did not cut his hair. Delilah then convinced Samson to shear his locks and so allowed him to be captured by his enemies. Over the centuries, it has been usual to depict Delilah actually cutting off her husband's hair, but the Bible actually says that she persuaded Samson to do the job himself."
I_IGO,"INIGO.    	Inigo Jones was a British architect, a native of London. The most famous Jones's design is probably London's Covent Garden Square."
M_NS,"MEN'S.    	The YMCA is a worldwide movement that has its roots in London, England. There, in 1844, the Young Men's Christian Association (YMCA) was founded with the intent of promoting Christian principles through the development of ""a healthy spirit, mind and body"". The founder, George Williams, saw the need to create YMCA facilities for young men who were flocking to the cities as the Industrial Revolution flourished. He saw that these men were frequenting taverns and brothels, and wanted to offer a more wholesome alternative."
GREE_,"GREER.    	Germaine Greer is a very outspoken Australian feminist who was catapulted into the limelight with her runaway bestseller ""The Female Eunuch"", first published in 1970. Greer has lived in the UK for many years, and I see her a lot on British television news/panel shows. Apparently she also made what I would have thought is an odd choice for her, to appear on the UK version of ""Celebrity Big Brother"". Mind you, she walked out of the house after just five days."
N_ALS,"NEALS.    	Neal Cassady was a member of the Beat Generation, the group of post-WWII writers who became prominent in the 1950s. Cassady was the inspiration for the character Dean Moriarty in Jack Kerouac's novel 'On the Road'."
VEL_T,"VELDT.    	Also known as Veld, Veldt is the name given to large rural spaces in southern Africa. We might use the term ""boondocks"" for the same thing. The word comes from the German for ""field""."
DON_,"DONA.    	In Spain, a title of respect for men is 'Don'. The equivalent female title is 'Dona'."
REZ_,"REZA.    	The last Shah of Iran was Mohammed-Reza Shah Pahlavi, as he was overthrown in the revolution led by the Ayatollah Khomeini in 1979. The post-revolution government sought the extradition of the Shah back to Iran while he was in the United States seeking medical care (he had cancer). His prolonged stay in the United States, recovering from surgery, caused some unrest back in Iran and resentment towards the United States. Some say that this resentment precipitated the storming of the US Embassy in Tehran and the resulting hostage crisis."
SCIE_CE,"SCIENCE.    	Richard Dawkins is an evolutionary biologist and Oxford professor, and a very articulate and outspoken atheist. Dawkins is also a vocal critic of creationism."
_TATE,"STATE.    	A state of misery, or the state of Missouri."
A_SENIO,"ARSENIO.    	Arsenio Hall got his big break with his role in ""Coming to America"" with Eddie Murphy in 1988. The following year he started hosting ""The Arsenio Hall Show"", which ran until 1994. He had a loyal group of fans that had the habit of almost ""barking"" while pumping their fists in the air. The move became so popular it extended far beyond the influences of Arsenio, and to this day can be seen performed as a mark of appreciation. Not by me, mind you ..."
REDC_OSS,"RED CROSS.    	Back in 1859, a Swiss businessman called Henri Dunant went to meet French emperor Napoleon III, to discuss making it easier to conduct commerce in French-occupied Algeria. The Emperor was billeted at Solferino, where France and Austria were engaged in a major battle. In one day, Dunant witnessed 40,000 soldiers die in battle and countless wounded suffering on the battlefield without any organized medical care. Dunant abandoned his business agenda and instead spent a week caring for the sick and wounded. Within a few years, in 1863, he had founded the precursor to the Red Cross, and in 1901 he was awarded the first ever Nobel Peace Prize."
O_FS,"OFFS.    	'To whack' is 'to off', to murder."
ED_SSA,"EDESSA.    	The Greek city of Edessa is in the Central Macedonian region of the country. Edessa was the ancient capital of Macedon, and home to fabled King Midas."
FAR_O,"FARGO.    	Back in the mid-1800s, Henry Wells founded an express package delivery service called Wells and Company. Around the same time, William Fargo founded Fargo and Company as a competitor. The two decided to join forces instead of competing, and took on a partner and formed the American Express Company (which is still around today). Fargo and Wells then decided to set up a company in California to provide express delivery and banking services, a company they called Wells Fargo."
DAL_I,"DALAI.    	The Dalai Lama is a religious leader in the Gelug branch of Tibetan Buddhism. The current Dalai Lama is the 14th to hold the office. He has indicated that the next Dalai Lama might be found outside of Tibet for the first time, and may even be female."
ADAGIO_,"ADAGIOS.    	An adagio is a piece of music with a slow tempo. The ""adagio"" marking on the score is an instruction to play the piece slowly and in a stately manner. The word adagio is Latin for ""at ease""."
YA_,"YAK.    	The English word ""yak"" is an Anglicized version of the Tibetan name for the male of the species. Yak milk is much prized in the Tibetan culture. It is made into cheese and butter, and the butter is used to make a tea that is consumed in great volume by Tibetans. The butter is also used as a fuel in lamps, and during festivals the butter is even sculpted into religious icons."
YOTEA_O,"YO TE AMO.    	In Spanish, one might say 'I love you' (you te amo) with flowers (con flores)."
UTE_I,"UTERI.    	""In utero"" is a Latin term meaning ""in the uterus"". The Latin ""uterus"" translates as both ""womb"" and ""belly"". The Latin word was derived from the Greek ""hystera"" also meaning womb, which gives us the words ""hysterectomy"", and ""hysterical""."
Y_LLO,"YELLO.    	Like so many beverages introduced by the Coca-Cola Company, Mello Yello was launched to compete against a successful drink already on the market. Mello Yello first hit the shelves in 1979, designed to take market share from Pepsico's ""Mountain Dew""."
AAN_W,"A AND W.    	A&W is a brand of root beer that has been around since 1920, when Roy Allen partnered with Frank Wright to create the A&W moniker from their family names."
W_O?,"WHO?.    	The Five Ws (or 'Five Ws and one H') is a journalistic concept used for gathering information. For a story to be complete, six questions need to be answered:"
R_NTS,RENTS.    	One might keep data such as rents paid in an apartment complex.
L_NS,"LENS.    	Cataracts are a condition in which the lens of the eye gets cloudy, impairing vision. The name of the disease comes from the Latin 'cataracta' meaning 'waterfall'. The idea is that the whiteness of rushing water resembles the white appearance of the affected lens."
ERW_N,"ERWIN.    	Erwin Schrödinger was an Austrian theoretical physicist, one of the so-called ""fathers of Quantum Mechanics"". He won the Nobel Prize for Physics in 1933 for developing the Schrödinger Equation, the 'Newton's Law' of Quantum Mechanics."
RO_OS,"ROLOS.    	Rolo was a hugely popular chocolate candy in Ireland when I was growing up. Rolo was introduced in the thirties in the UK, and is produced under license in the US by Hershey. I was a little disappointed when I had my first taste of the American version as the center is very hard and chewy. The recipe used on the other side of the Atlantic calls for a soft gooey center."
CABA_,"CABAL.    	A cabal is a small group of secret plotters, perhaps scheming against a government or an individual."
H_ILE,HAILE.    	Emperor Haile Selassie I ruled Ethiopia until he was removed from power in a revolution in 1974. Selassie died in 1975 under suspicious circumstances and it is widely believed that he was assassinated.
EDE_LE,"EDERLE.    	Gertrude Ederle was an American swimmer, from New York City. Ederle became the first woman to cross the English Channel, in 1926. Only five men had made the same swim before Ederle, with the fastest crossing being in 16 hours 33 minutes. Ederle blew that record ""out of the water"", arriving in Dover in 14 hours 39 minutes."
RISO_TO,"RISOTTO.    	Risotto is an Italian rice dish that is usually served as a first course in Italy, but as a main course here in North America."
