"To be, to Bernadette.   		4 letters",ETRE.    	The French for 'to be' is 'être'.
One of Frank's wives.   		3 letters,"MIA.    	Mia Farrow is an energetic, award-winning actress who really hasn't looked back in her career since her first leading role, in ""Rosemary's Baby"" back in 1968. Her on-screen celebrity is matched by the interest created by her personal life. Her first husband was Frank Sinatra, a wedding in 1966 that received a lot of attention partly due to the couple's age difference (she was 21, he was 50). Her second husband was almost as famous, the magnificent musician André Previn. Farrow then moved in with Woody Allen, a relationship that famously fell apart when Farrow discovered that Allen was having a sexual relationship with Soon-Yi, one of her adopted daughters from the marriage with André Previn."
Some lobbies.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
Verne captain.   		4 letters,"NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne, the fate of Nemo and his crew isn't quite so cut and dry, although the inference is perhaps that they did indeed head for Davy Jones's Locker."
"O'Hare info, for short.   		4 letters",ETAS.    	Estimated time of arrival (eta)
One concerned with co.   		3 letters,CPA.    	Certified Public Accountant (CPA)
Exam for an aspiring atty.   		4 letters,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
Vientiane native.   		3 letters,"LAO.    	Vientiane is the capital city of Laos, situated on the famous Mekong River. The city was originally called the ""city of sandalwood"" by Buddhist monks, naming after the valued trees that grew in the area. The French took the Pali words for ""city of sandalwood"" and rewrote it as the French-sounding ""Vientiane""."
What can help you toward a peak performance?.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
Canon shooter.   		3 letters,"EOS.    	I've been using Canon EOS cameras for decades now, and have nothing but good things to say about the cameras and the lenses. The EOS name stands for Electro-Optical System, and was chosen because it evokes the name of Eos, the Titan goddess of dawn from Greek mythology."
"Part of an equitable trade, figuratively speaking.   		3 letters","TAT.    	The phrase 'tit for tat', meaning some sort of retaliation, has been around an awfully long time, since the mid-1500s. It might be derived from 'tip for tap', meaning 'blow for blow'."
Baja aunt.   		3 letters,TIA.    	Baja California is both the most northern and the most western of the Mexican states. The name translates from Spanish as 'Lower California'.
Abbr.   		3 letters,EEO.    	Equal Opportunity Employment is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
Alternative to a carpet lift.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair sitting on either side of T-shaped, metal bar."
"Pixar's ""Finding ___"".   		4 letters","NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar. The film was the winner of the Oscar that year for Best Animated Feature. Believe it or not, ""Finding Nemo"" is the best-selling DVD of all time and, until 2010's ""Toy Story 3"", it was the highest-grossing, G-rated movie at the box office."
Its 49-Down is about 200 meters.   		3 letters,UZI.    	(49. Shooting statistic : RANGE)
Maker of the Optima.   		3 letters,KIA.    	The Kia Optima was sold for a while in Canada and Europe as the Kia Magentis.
Actress ___ Flynn Boyle.   		4 letters,"LARA.    	The actress Lara Flynn Boyle plays Donna Hayward on 'Twin Peaks', and Helen Gamble on 'The Practice'."
"What a hand-held - or hand-holding - may be, briefly.   		3 letters",PDA.    	PDA is an acronym used for both 'personal digital assistant' and 'public display of affection'.
"Witherspoon of ""Legally Blonde"".   		5 letters",REESE.    	Reese is not actually actress Witherspoon's given name. She started out life as Laura Jeanne Witherspoon. Reese is her mother's maiden name.
Make lace.   		3 letters,"TAT.    	One is ""tatting"" when one is making lace. The word ""tatting"" has been around since the 1830s, but no one seems to have discovered its etymology."
"The ""E"" of Q.E.D.   		4 letters","ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The QED acronym stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
Pointy part of Mr.   		3 letters,"EAR.    	Leonard Nimoy played the logical Mr. Spock in the original ""Star Trek"" television series. Spock has to be the most popular character on the show, and he keeps popping up in ""Star Trek"" spin offs to this day. Nimoy first worked alongside William Shatner (Captain Kirk) in an episode of ""The Man from U.N.C.L.E."" (I loved that show!), with Nimoy playing a bad guy and Shatner playing an U.N.C.L.E. recruit."
Jazz setting.   		4 letters,"UTAH.    	The Utah Jazz professional basketball team moved to their current home in Salt Lake City in 1979. As one might guess from the name, the team originated in New Orleans, but only played there for five seasons. New Orleans was a tough place to be based because venues were hard to come by, and Mardi Gras forced the team to play on the road for a whole month."
Fictional boss of Stubb and Flask.   		4 letters,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's novel ""Moby Dick""."
Writer T.   		5 letters,"ELIOT.    	T. S. Eliot was born in New England but grew up in St. Louis, Missouri. Much of Eliot's college education was at Oxford, and clearly he became comfortable with life in England. In 1927 he became a British citizen and lived the rest of life in the UK."
Star of the most-watched TV episode ever.   		4 letters,"ALDA.    	The last episode of the television series 'M*A*S*H' was actually written as a television movie, and had the title 'Goodbye, Farewell and Amen'. That last episode was the most watched TV broadcast in US history from 1983 to 2010, before being overtaken in viewership by the 2010 Super Bowl broadcast."
First name in mystery.   		4 letters,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
Continental currency.   		4 letters,"EURO.    	The European Union (EU) today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states in the EU that don't use the Euro includes the UK, Denmark and Sweden."
"Calendar keeper, for short.   		3 letters",PDA.    	Personal digital assistant (PDA)
Network initials.   		3 letters,"DSL.    	The abbreviation 'DSL' originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
French or Italian bread.   		4 letters,"EURO.    	The European Union (EU) today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states in the EU that don't use the Euro includes the UK, Denmark and Sweden."
Language in Southeast Asia.   		3 letters,"LAO.    	The Lao people are an ethnic group found mainly in Laos, but who also have a significant presence in Thailand, Cambodia and Vietnam."
Revolutionary figure.   		3 letters,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
Internet connection inits.   		3 letters,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
Prominent part of a basset hound.   		3 letters,"EAR.    	The Basset Hound wouldn't be my favorite breed of dog, to be honest. Basset Hounds have a great sense of smell with an ability to track a scent that is second only to that of the Bloodhound. The name 'Basset' comes from the French word for 'rather low', a reference to the dog's short legs."
2013 Best Picture nominee.   		3 letters,"HER.    	2003's 'Her' seems to be a rather unusual film, although I've only see the trailer. It stars Joaquin Phoenix as a man who develops a relationship with a computer operating system called 'Samantha', which is voiced by Scarlett Johansson."
"""The Mary Tyler Moore Show"" co-star.   		5 letters","ASNER.    	Ed Asner is most famous for playing the irascible but lovable Lou Grant on ""The Mary Tyler Moore Show"" and on the spin-off drama ""Lou Grant"". Off-screen, Asner is noted for his political activism. He served two terms as president of the Screen Actors Guild (SAG) and was very involved in the 1980 SAG strike. When ""Lou Grant"" was cancelled in 1982, despite decent ratings, there was a lot of talk that the cancellation was a move by the network against Asner personally. In fact one of Asner's activist colleagues, Howard Hesseman (who played Johnny Fever), found that his show ""WKRP in Cincinnati"" was also cancelled ... on the very same day ..."
Actor Alan.   		4 letters,"ALDA.    	Alan Alda had a great television career, perhaps most memorably on ""M*A*S*H"". Alda won his first Emmy in 1972, for playing Hawkeye Pierce on ""M*A*S*H"". He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy ""Same Time, Next Year"" in which he starred opposite Ellen Burstyn."
Sikorsky of aviation.   		4 letters,"IGOR.    	Igor Sikorsky was a Russian pioneer in the world of aviation. He designed and indeed piloted the world's first multi-engine, fixed-wing aircraft in 1913. He moved to the US in 1919 and set up his own aircraft manufacturing business. In the thirties he made the magnificent flying boats that were used by Pan Am in their Clipper era. Sikorsky also developed the world's first mass-produced helicopter, in 1942."
"Entry-level position, for short?.   		3 letters",CPA.    	A certified public accountant (CPA) might make entries in the books.
Author Deighton.   		3 letters,"LEN.    	I used to walk my dog right past author Len Deighton's house years ago, as we lived in the same village in Ireland (probably my only claim to fame!). Deighton wrote the excellent espionage thriller ""The IPCRESS File"", made into a 1965 movie starring Michael Caine."
Grp.   		4 letters,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia). One reason America isn't in OPEC, even though we are a big producer, is that we import a lot more than we export. But we all probably know that already ..."
Actress Carrere.   		3 letters,TIA.    	Tia Carrere is an actress from Honolulu who got her break in the soap opera 'General Hospital'. Carrere is perhaps best known for playing Cassandra Wong in the 'Wayne's World' movies.
Transport method usually used in the winter.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
Carrier to Oslo.   		3 letters,"SAS.    	SAS, formerly known as Scandinavian Airlines System, is the flag carrier of three countries: Denmark, Norway and Sweden."
Corp.   		3 letters,"CEO.    	A honcho is a slang term for a leader or manager. It comes to us from Japanese, where a ""hancho"" is a squad (han) leader (cho)."
"""Middlemarch"" author.   		5 letters","ELIOT.    	George Eliot was the pen name of English novelist Mary Anne Evans. As one might think, Evans chose a male pen name in order that her work might be best appreciated in the Victorian era. Eliot wrote seven novels including 'Adam Bede' (1859), 'The Mill on the Floss' (1860), 'Silas Marner' (1861) and 'Middlemarch' (1871-72)."
Bank abbr.   		3 letters,APR.    	Annual percentage rate (APR)
Zhivago's love.   		4 letters,"LARA.    	Olga Ivinskaya was the mistress of the writer Boris Pasternak. As such, she was the inspiration for the famous Lara character in Pasternak's novel 'Doctor Zhivago'."
"Regarding, on a memo.   		5 letters","IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). It literally means ""in the matter"", and is used as ""in regard to"", or ""in the matter of""."
Genesis brother.   		4 letters,"ABEL.    	In the story of Cain and Abel in the Book of Genesis, Cain murders his brother Abel. Subsequently, God asks Cain, 'Where is Abel thy brother?' Cain replies, 'I do not know. Am I my brother's keeper?'"
2013 Spike Jonze dramedy.   		3 letters,"HER.    	2003's 'Her' is a rather unusual film. It stars Joaquin Phoenix as a man who develops a relationship with a computer operating system called 'Samantha', which is voiced by Scarlett Johansson."
"Burgundy of ""Anchorman"".   		3 letters","RON.    	Ron Burgundy is the title character in the movie 'Anchorman' series of films. Burgundy is a news anchor played by comedian Will Ferrell. Apparently Burgundy loves a glass of scotch, poetry, and his dog Baxter."
Blue ___.   		4 letters,"NILE.    	Depending on definition, the Nile is generally regarded as the longest river on the planet. The Nile forms from two major tributaries, the White Nile and the Blue Nile, which join together near Khartoum, the capital of Sudan. From Khartoum the Nile flows north, traveling almost entirely through desert making it central to life for the peoples living along its length."
"Landing approximations, for short.   		4 letters",ETAS.    	Expected time of arrival (ETA)
Former Big Four record company.   		3 letters,EMI.    	The Big Four recording labels were (until EMI was broken up in 2012 and absorbed by what became 'the Big Three'):
"Animal in Darwin's ""The Descent of Man"".   		3 letters","APE.    	Englishman Charles Darwin studied medicine at the University of Edinburgh in Scotland but neglected his studies largely due to his interest in nature and natural history. In the early 1830s, a friend put forward Darwin's name as a candidate for the post of 'collector' on the voyage of HMS Beagle. The Beagle was intending to spend two years at sea primarily charting the coast of South America. The voyage ended up taking five years, during which time Darwin sent back copious letters describing his findings. Back in Britain these letters were published as pamphlets by a friend and so when Darwin eventually returned home in 1836, he had already gained some celebrity in scientific circles. It was while on the Beagle that Darwin developed his initial ideas on the concept of natural selection. It wasn't until over twenty years later that he formulated his theories into a scientific paper and in 1859 published his famous book 'On the Origin of the Species'. This original publication never even mentioned the word 'evolution' which was controversial even back then. It was in 1871 that Darwin addressed head-on the concept that man was an animal species, in his book 'The Descent of Man, and Selection in Relation to Sex'."
Rank below marquis.   		4 letters,"EARL.    	In the ranking of nobles, an earl comes above a viscount and below a marquis. The rank of earl is used in the British peerage system and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquis and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known as a countess."
Garment with underwires.   		3 letters,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but it applies to a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there was used for a type of woman's corset. The word jumped into English around 1900."
Hibernia.   		4 letters,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
"Verb from which ""suis"" and ""sommes"" are conjugated.   		4 letters",ETRE.    	The French for 'to be' is 'être'.
"Brady bunch, briefly.   		3 letters",TDS.    	Touchdowns (TDs)
Shakes.   		3 letters,"DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
"Lifesaver, briefly.   		3 letters",EMT.    	Emergency medical technician (EMT)
"Brontë's ""Jane ___"".   		4 letters","EYRE.    	""Jane Eyre"" is the celebrated novel written by Charlotte Brontë, under the pen name Currer Bell. Over the years, I've shared here on my blogs that the ""Jane Eyre"" story line is a little too dark and Gothic for my taste, but a very persuasive blog reader convinced me to look more at the romantic side of the story and give it a second chance. I watched a wonderful 4-hour television adaptation of the novel made by the BBC a while back and I have to say that because I was focused on the relationship between Jane and Rochester, I was able to push past the Gothic influences (that depress me) so I really enjoyed the story. I thoroughly recommend the 2006 BBC adaptation to fans of the novel."
"Yellowfin, on a menu.   		3 letters","AHI.    	Yellowfin tuna is usually marketed as ""ahi"", its Hawaiian name. Yellowfin tuna is one big fish, often weighing over 300 pounds."
Actress/model Carrere.   		3 letters,TIA.    	Tia Carrere is an actress from Honolulu who got her break in the soap opera 'General Hospital'. Carrere is perhaps best known for playing Cassandra Wong in the 'Wayne's World' movies.
Israeli weapon.   		3 letters,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
Water source for 11 countries.   		4 letters,"NILE.    	Depending on definition, the Nile is generally regarded as the longest river on the planet. The Nile forms from two major tributaries, the White Nile and the Blue Nile, which join together near Khartoum, the capital of Sudan. From Khartoum the Nile flows north, traveling almost entirely through desert making it central to life for the peoples living along its length."
Way up a mountain.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
Tide type.   		4 letters,"NEAP.    	Tides of course are caused by the gravitational pull of the moon on the oceans. At neap tide, the smaller gravitational effect of the sun cancels out some of the moon's effect. At spring tides, the sun and the moon's gravities act in concert causing more extreme movement of the oceans."
Mountain with a flat top.   		4 letters,"MESA.    	""Mesa"" is the Spanish for ""table"" and is of course is how we get the name ""mesa"", a geographic feature."
Interior designer Aarnio.   		4 letters,"EERO.    	Eero Aarnio is a Finnish interior designer, perhaps most famous for creating in the sixties those round, plastic chairs that often were suspended from the ceiling. It was sort of like sitting inside a big ball."
Fancy hotel features.   		5 letters,"ATRIA.    	In modern architecture an atrium is a large open space, often in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium."
Itinerary abbr.   		3 letters,ARR.    	Arrival (arr.)
Coin with a map on its back.   		4 letters,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of those 27 states. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
H.M.S.   		3 letters,"HER.    	HMS stands for Her Majesty's Ship, a prefix used in the navies of some monarchies, most notably the UK's Royal Navy."
"Voice of Fredricksen in ""Up"".   		5 letters","ASNER.    	""Up"" is the tenth movie released by Pixar studios, featuring wonderful animation as one has come to expect from Pixar. It earned itself two Academy Awards. The main voice actor is Ed Asner, whose animated persona as Carl Fredricksen was created to resemble Spencer Tracy in his last film, 'Guess Who's Coming to Dinner'."
"Drunk's ailment, for short.   		3 letters","DTS.    	The episodes of delirium that can accompany withdrawal from alcohol are called Delirium Tremens (the DTs). The literal translation of this Latin phrase is ""trembling madness""."
Mishmash.   		4 letters,"OLIO.    	'Olio' is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
"Parlor ink, for short.   		3 letters","TAT.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
Currency with a 20-cent coin.   		4 letters,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone."
Intl.   		4 letters,"OPEC.    	The Organization of the Petroleum Exporting Countries (OPEC) was founded in 1960 at a conference held in Baghdad, Iraq that was attended by Iraq, Kuwait, Iran, Saudi Arabia and Venezuela. Nine more countries joined the alliance soon after, and OPEC set up headquarters in Geneva, Switzerland and then Vienna, Austria in 1965. The basic aim of OPEC was to wrench control of oil prices from the oil companies and to put it in the hands of the sovereign states that own the natural resource."
Cooke of soul.   		3 letters,"SAM.    	Sam Cooke was a soul singer from Clarksdale, Mississippi. Cooke is considered by many to have been one of the founders of the soul genre. Cooke's impressive list of hits includes 'You Send Me', Chain Gang' and 'Twistin' the Night Away'. Cooke was only 33 years old when he died. He was shot after a drunken brawl by a motel manager in what was deemed by the courts to be a justifiable homicide."
What's what in Italy?.   		3 letters,CHE.    	'Che' is the Italian word for 'what'.
"Relative of a cuatro, informally.   		3 letters",UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
"With this, you'll probably manage.   		3 letters","MBA.    	The world's first MBA degree was offered by Harvard's Graduate School of Business Administration, in 1908."
___ modem.   		3 letters,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
Carlos the Jackal raided its HQ.   		4 letters,"OPEC.    	Carlos the Jackal (real name 'Ilich Sánchez') is a terrorist from Venezuela who is serving a life sentence in a French jail. One of the most famous operations executed by Sánchez was a 1975 raid on the OPEC headquarters in Vienna in which three people were killed. Sánchez was given the codename 'Carlos' by one of the terrorist organizations that he he joined, because of his South American roots. Carlos was then nicknamed 'the Jackal' by a British newspaper when it was reported that the terrorist was at some point carrying a copy of the novel 'The Day of the Jackal'."
Dawson who played in Super Bowl I.   		3 letters,LEN.    	Len Dawson is a retired AFL-NFL quarterback who played for the Kansas City Chiefs (originally the Dallas Texans).
Letter after sigma.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
Setting for an Agatha Christie mystery.   		4 letters,"NILE.    	Agatha Christie wrote a very successful crime novel called ""Death on the Nile"" that was first published in 1937. That novel had started off life as a play, which was was never performed, one that Christie called ""Moon on the Nile"". Christie then adapted the novel back into a play again calling it ""Murder on the Nile"", which opened in London in 1946."
Long in Hollywood.   		3 letters,"NIA.    	Nia Long is an American actress, probably best known for playing Will Smith's sometime girlfriend and fiancee Lisa Wilkes on the TV show ""The Fresh Prince of Bel Air""."
Overseas court figure.   		4 letters,"EARL.    	In the ranking of nobles, an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known as a countess."
Actress Peeples.   		3 letters,"NIA.    	Actress Nia Peeples played the character Nicole Chapman in the TV series ""Fame""."
First name in design.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK. The list of his lesser-known, but still impressive, works includes several buildings erected on academic campuses. For example, the Chapel and Kresge Auditorium on the MIT campus, the Emma Hartman Noyes House at Vassar College, the Law School building at the University of Chicago, and Yale's David S. Ingalls Rink."
"""The ___ Affair"" (Jasper Fforde novel).   		4 letters","EYRE.    	The Eyre Affair' is the first novel from author Jasper Fforde. The story involves a parallel universe, a master criminal and a literary detective working in the world of Charlotte Bronte's 'Jane Eyre'. That might just be worth reading ..."
Help-wanted letters.   		3 letters,EEO.    	Equal Employment Opportunity (EEO) is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
River through Flanders.   		4 letters,"YSER.    	The Yser originates in northern France and flows through Belgium into the North Sea. The Yser is often associated with WWI as it figured in a major battle early in the conflict. In the first three months of the war, the German Army pushed almost completely through Belgium, inflicting heavy losses on the Belgian Army as the defenders were forced to fight a fast-moving rearguard action. The Germans were intent on pushing right through Belgium and across France in a ""race to the sea"". But the Belgians, with the help of their Allies, decided to make a final stand at the Yser Canal in an effort to prevent the Germans reaching the French ports of Calais and Dunkirk. The 22-mile long defensive line was chosen at the Yser because the river and canal system could be flooded to create a barrier that might be defended. The plan was successful and the front was ""stabilized"". As we now know, millions of lives were lost over the coming years with very little movement of that battle line."
"Actress Long of ""Boyz N the Hood"".   		3 letters","NIA.    	Nia Long is an American actress, probably best known for playing Will Smith's sometime girlfriend and fiancee Lisa Wilkes on the TV show ""The Fresh Prince of Bel Air""."
"Kyle ___, ""The Terminator"" hero.   		5 letters","REESE.    	We sometimes forget that 'the terminator' wasn't the main character in the first 'Terminator' film. The story revolved around Kyle Reese, played by Michael Biehn. Reese is sent back from the future to protect Sarah Connor from the Terminator, played by Arnold Schwarzenegger."
Big Four record co.   		3 letters,EMI.    	The Big Four recording labels were (until EMI was broken up in 2012 and absorbed by what became 'the Big Three'):
Exam for a wannabe atty.   		4 letters,LSAT.    	The Law School Admission Test has been around since 1948.
What some hotel balconies overlook.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
"""Grand, ungodly, godlike man"" of fiction.   		4 letters","AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
Dictator's first words?.   		5 letters,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
Classic car whose name is a monogram.   		3 letters,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
Parts of hearts.   		5 letters,"ATRIA.    	The heart has four chambers. The two upper chambers (the atria) accept deoxygenated blood from the body and oxygenated blood from the lungs. The atria squeeze the blood into the two lower chambers of the heart (the ventricles), 'priming' the pump, as it were. One ventricle pumps deoxygenated blood to the lungs, and the other pumps oxygenated blood to the rest of the body."
Q.E.F.   		4 letters,"ERAT.    	'Quod erat faciendum' (QEF) is similar to the phrase 'quod erat demonstrandum' (QED), both of which were used by Euclid in his theorems. 'Quod erat faciendum' means 'what was to have been done', and is used at the end of a proposition that was not intended as a proof, but rather as a construction."
Gannett's ___ Today.   		3 letters,USA.    	Gannett is a media holding company that is the largest newspaper publisher in the country in terms of circulation. The company's flagship publication is 'USA Today'.
Top point.   		4 letters,"ACME.    	The ""acme"" is the highest point coming from the Greek ""akme"", which has the same meaning."
Locale in Exodus.   		4 letters,"NILE.    	Depending on definition, the Nile is generally regarded as the longest river on the planet. The Nile forms from two major tributaries, the White Nile and the Blue Nile, which join together near Khartoum, the capital of Sudan. From Khartoum the Nile flows north, traveling almost entirely through desert making it central to life for the peoples living along its length."
Friend of Fidel.   		3 letters,"CHE.    	Ernesto ""Che"" Guevara was born in Argentina, and in 1948 he started to study medicine at the University of Buenos Aires. While at school he satisfied his need to ""see the world"" by taking two long journeys around South America, the story of which are told in Guevara's memoir later published as ""The Motorcycle Diaries"". While travelling, Guevara was moved by the plight of the people he saw and their working conditions and what he viewed as capitalistic exploitation. In Mexico City he met brothers Raul and Fidel Castro and was persuaded to join their cause, the overthrow of the US-backed government in Cuba. He rose to second-in-command among the Cuban insurgents, and when Castro came to power Guevara was influential in repelling the Bay of Pigs Invasion and bringing Soviet nuclear missiles to the island. Guevara left Cuba in 1965 to continue his work as a revolutionary. He was captured by Bolivian forces in 1967, and was executed. Fidel Castro led the public mourning of Guevara's death, and soon the revolutionary was an icon for many left-wing movements around the world."
1920s car that had its inventor's initials.   		3 letters,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan. Among the company's most famous models were the REO Royale and the REO Flying Cloud."
"""Frozen"" character who sings ""Let It Go"".   		4 letters","ELSA.    	'Let It Go' is a highly successful song from the Disney animated film 'Frozen' released in 2013. It was performed in the movie by Idina Menzel, who also was the voice actor for the character Elsa. 'Let It Go' is one of the very few Disney songs to make it into the Billboard Top Ten."
Continental coin.   		4 letters,"EURO.    	The European Union today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states not using the Euro includes the UK, Denmark, Sweden and Norway."
Provider of a jawbone to Samson.   		3 letters,"ASS.    	According to the Bible, Samson slays one thousand Philistines using ""the jawbone of an ass""."
"Unaccounted for, briefly.   		3 letters",MIA.    	Missing in action (MIA)
Old touring car.   		3 letters,"REO.    	The REO Motor Company was founded by Ransom E. Olds (hence the name REO). The company made cars, trucks and buses, and was in business from 1905 to 1975 in Lansing, Michigan."
Finnair rival.   		3 letters,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden."
