Port in the eastern Mediterranean.   		4 letters,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
"The ""E"" in Q.E.D.   		4 letters","ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The QED acronym stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
Not exactly old money.   		4 letters,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone. Of course the Irish euro features a harp."
The Emerald Isle.   		4 letters,"EIRE.    	""Éire"", is the Irish word for ""Ireland"". ""Erin"" is an anglicized version of ""Éire"" and actually corresponds to ""Éirinn"", the dative case of ""Éire""."
Grp.   		3 letters,"CSA.    	The Confederate States of America (CSA) had its own Great Seal, with the motto 'Deo Vindice' that can be translated from Latin as 'With God as Our Judge'."
"Miley Cyrus hit ""Party in the ___"".   		3 letters",USA.    	Part in the USA' is a 2009 song recorded by Miley Cyrus. The lyrics refer to the singer's real-life relocation from her home in Nashville to Hollywood.
Future atty.'s challenge.   		4 letters,LSAT.    	The Law School Admission Test (LSAT) has been around since 1948.
Co.   		3 letters,CEO.    	Chief executive officer (CEO)
He played the U.S.   		4 letters,"ALDA.    	'Canadian Bacon' is a 1995 Michael Moore movie that is a satire of Canada-US relations, especially along the border between the two countries. 'Canadian Bacon' is the only film that Moore has made to date that is not a documentary."
"Calculations made while high, for short?.   		4 letters",ETAS.    	Expected time of arrival (ETA)
Item offering support.   		3 letters,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the word the French use for a ""bra"". In France what we call a bra is known as a ""soutien-gorge"", translating to ""held under the neck"". The word ""brassière"" is indeed used in France but there it describes a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there the word was used for a type of woman's corset. The word jumped into English around 1900."
Imbecile.   		3 letters,ASS.    	(48D. Imbeciles : IDIOTS)
"G.M.'s Mary Barra, beginning in 2014.   		3 letters","CEO.    	Mary Barra is the chief executive officer of General Motors (GM). Barra is the first woman to hold the top position in a global automotive manufacturing company. She truly served her apprenticeship with GM, having joined the company in 1980 as a co-op student. She was promoted to her first VP position in 2008, and took over the top spot early in 2014."
Bozo.   		3 letters,"ASS.    	A ""bozo"" is a man with a low IQ, and one who is usually quite muscular. We've been using the word since the early 1900s and it possibly comes from the Spanish ""bozal"" that was used to describe someone who speaks Spanish poorly."
Countess's man.   		4 letters,"EARL.    	In the ranking of nobles, an earl comes above a viscount and below a marquess. The rank of earl is used in the British peerage system and is equivalent to the rank of count in other countries. Other British ranks have female forms (e.g. marquess and marchioness, viscount and viscountess), but there isn't a female word for the rank of earl. A female given the same rank as an earl is known as a countess."
Arm of Israel.   		3 letters,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
One of the music industry's former Big Four.   		3 letters,EMI.    	The Big Four recording labels were (until EMI was broken up in 2012 and absorbed by what became 'the Big Three'):
H H H H.   		4 letters,"ETAS.    	Eta is the seventh letter of the Greek alphabet, and is a forerunner of our Latin character ""H""."
Truncated parlor piece?.   		3 letters,"TAT.    	The word ""tattoo"" was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
Wassailer's tune.   		4 letters,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for ""birth"" (natalis). Noel has come to be used as an alternative name for a Christmas carol."
Author Deighton.   		3 letters,"LEN.    	I used to walk my dog right past author Len Deighton's house years ago, as we lived in the same village in Ireland (probably my only claim to fame!). Deighton wrote the excellent espionage thriller ""The IPCRESS File"", made into a 1965 movie starring Michael Caine."
Skylit courtyards.   		5 letters,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
Showery mo.   		3 letters,APR.    	The phenomenon of 'April Showers' really applies to the UK and Ireland. Increased occurrence of rain during April is largely due to an annual change in the position of the jet stream.
Pull-___.   		3 letters,"TAB.    	The oldest method of opening a can with a device included in the can's design is the pull-tab or ring pull, invented in Canada in 1956. The design was long-lived but it had its problems, so the world heaved a sigh of relief with the invention of the stay-on-tab in 1975. The new design led to less injuries and eliminated all those used pull-tabs that littered the streets."
Camera letters.   		3 letters,"SLR.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
Old World language.   		4 letters,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gaidhlig (in Scotland)."
Writer ___ Stanley Gardner.   		4 letters,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
A Stooge.   		3 letters,"MOE.    	If you've seen a few of the films starring ""The Three Stooges"" you'll have noticed that the line up changed over the years. The original trio was made up of Moe and Shemp Howard (two brothers), and Larry Fine (a good friend of the Howards). This line up was usually known as ""Moe, Larry and Shemp"". Then Curly Howard replaced his brother when Shemp quit the act, creating the most famous trio, ""Moe, Larry And Curly"". Shemp returned when Curly had a debilitating stroke in 1946, and he stayed with the troupe until he died in 1955. Shemp was replaced by Joe Besser, and then ""Curly-Joe"" DeRita. When Larry had a stroke in 1970, it effectively marked the end of the act."
"O'Neill's ""The Hairy ___"".   		3 letters","APE.    	""The Hairy Ape"" is a play by Eugene O'Neill, and tells of a laborer on an ocean liner who leaves the ship and tries to make his way in Manhattan. He finds it hard to fit in, and finds most empathy with a gorilla in the zoo who he regards as a kindred spirit. At the end of the play, the hero dies in the arms of the gorilla."
"Chest compressor, for short.   		3 letters",EMT.    	Emergency medical technician (EMT)
Summers on the Seine.   		4 letters,ETES.    	One might spend the summer (été) under the sun (le soleil) on the Seine in Paris.
Automaker since 1974.   		3 letters,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
Diverse grouping.   		4 letters,"OLIO.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
Org.   		3 letters,DEA.    	Drug Enforcement Agency (DEA)
Coin whose front varies by country.   		4 letters,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone. Of course the Irish euro features a harp."
Letters of interest.   		3 letters,APR.    	Annual percentage rate (APR)
Architect Saarinen.   		4 letters,"EERO.    	Eero Saarinen was a Finnish American architect, renowned in this country for his unique designs for public buildings such as Gateway Arch in St. Louis, Dulles International Airport Terminal, and the TWA building at JFK."
Captain of sci-fi.   		4 letters,"NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne the fate of Nemo and his crew isn't quite so cut and dry, although the inference is perhaps that they did indeed head for Davy Jones' Locker."
"The ""H"" of H.M.S.   		3 letters","HER.    	The ship prefix 'HMS' is used by the warships of the Royal Navy, and stands for 'Her/His Majesty's Ship/Submarine'. The prefix 'RMS' is used by ships of the merchant navy, and stands for 'Royal Mail Ship/Steamer'."
Early Japanese P.M.   		3 letters,"ITO.    	In the 1880s, Japanese leaders were concerned that their system of government was not defined well enough, leading to ambiguity about areas of responsibility and authority. One of the leaders at the time was Ito Hirobumi, and he took himself and his staff over to Europe to examine the systems of government across that continent, especially those of the British and German Empires. On returning to Japan he lobbied for and was successful in the adoption of a constitution for the country and a modern system of government. Ito became the country's first Prime Minister in 1885."
___ chi.   		3 letters,"TAI.    	More correctly called tai chi chuan, tai chi is a martial art that is mostly practiced to improve overall health and increase longevity."
Scruggs on a banjo.   		4 letters,EARL.    	Earl Scruggs and Lester Flatt are the musicians who founded the bluegrass band called the Foggy Mountain Boys in 1948.
"Kellogg offering, briefly.   		3 letters","MBA.    	The business school at Northwestern University is called the John L. Kellogg School of Management. John L. Kellogg was the son of Will Keith Kellogg of breakfast cereal fame, and John's foundation made a generous donation in 1979, hence the current name for the business school."
"Captain in ""Twenty Thousand Leagues Under the Sea"".   		4 letters","NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne the fate of Nemo and his crew isn't quite so cut and dry, although the inference is perhaps that they did indeed head for Davy Jones' Locker."
"Assistant played by Charles Bronson in ""House of Wax"".   		4 letters","IGOR.    	Igor has been the assistant to Dracula, Frankenstein and Young Frankenstein, among others. He is almost invariably portrayed as a hunchback."
"She played Rosemary in ""Rosemary's Baby"".   		3 letters","MIA.    	Mia Farrow is an energetic, award-winning actress who really hasn't looked back in her career since her first leading role, in ""Rosemary's Baby"" back in 1968. Her on-screen celebrity is matched by the interest created by her personal life. Her first husband was Frank Sinatra, a wedding in 1966 that received a lot of attention partly due to the couple's age difference (she was 21, he was 50). Her second husband was almost as famous, the magnificent musician André Previn. Farrow then moved in with Woody Allen, a relationship that famously fell apart when Farrow discovered that Allen was having a sexual relationship with Soon-Yi, one of her adopted daughters from the marriage with André Previn."
"King Kong, for one.   		3 letters","APE.    	King Kong' really is a classic movie. It stars Fay Wray as the young woman (Ann Darrow) with whom Kong falls in love. Wray was very interested in the role as she was told that she would be playing opposite the ""tallest, darkest leading man in Hollywood"". She thought it might be Clark Gable. At least that's how the story goes ..."
It might be under a tank.   		3 letters,"BRA.    	Tank top' is another one of those terms that always catches me out, as it has a different meaning on each side of the Atlantic. In the US a tank top is a sleeveless shirt, something we would call a 'vest' back in Ireland (and the US 'vest' is what we call a 'waist coat'). A tank top in Ireland is a sleeveless sweater, which further adds to the confusion. The name 'tank top' is derived from 'tank suit', an old name for a woman's one-piece bathing suit. The use of 'tank' for the bathing suit came from 'swimming tank', an obsolete term used in the 1920s for a swimming pool."
"Here, in Québec.   		3 letters","ICI.    	The name ""Quebec"" comes from an Algonquin word ""kebec"" meaning ""where the river narrows"". This refers to the area around Quebec City where the St. Lawrence River narrows as it flows through a gap lined by steep cliffs."
Actress Vardalos.   		3 letters,"NIA.    	Not only is the delightful Nia Vardalos the star of the 2002 hit movie ""My Big Fat Greek Wedding"", she also wrote the screenplay. The film never made it to number one at the box office, but it still pulled in more money than any other movie in history that didn't make it to number one. That record I think reflects the fact that the film wasn't a blockbuster but rather a so-called ""sleeper hit"", a movie that people went to see based on referrals from friends. The big fat mistake came when a spin-off TV show was launched called ""My Big Fat Greek Life"". It ran for only 7 episodes."
Luau staple.   		3 letters,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
Melville captain.   		4 letters,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
Going ___.   		3 letters,"APE.    	The US slang ""go ape"" is actually a cleaned up version of ""go apes**t"", American slang that dates back to 1955."
Locomobile competitor.   		3 letters,"REO.    	The Locomobile Company of America was founded in 1899 in Watertown, Massachusetts to manufacture automobiles. The company first produced small steam cars. During the Boer War (1899-1902), Locomobile produced the first car ever designed for use in a war, a generator and searchlight tractor made for the British Army. Production was switched to internal combustion-powered vehicles in 1903, and the company focused on luxury vehicles until it went out of business in 1929."
Job ad abbr..   		3 letters,EEO.    	Equal Opportunity Employment is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
Indent key.   		3 letters,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious, involving lots of tapping on the space bar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key which could be depressed, causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
Ski lift.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skier who remains standing on his/her skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
"Poet who wrote ""Do I dare / Disturb the universe?"".   		5 letters","ELIOT.    	""Do I dare / Disturb the universe?"" are lines from T. S. Eliot's poem 'The Love Song of J. Alfred Prufrock'."
Intl.   		4 letters,"OPEC.    	The Organization of the Petroleum Exporting Countries (OPEC) was founded in 1960 at a conference held in Baghdad, Iraq that was attended by Iraq, Kuwait, Iran, Saudi Arabia and Venezuela. Nine more countries joined the alliance soon after, and OPEC set up headquarters in Geneva, Switzerland and then Vienna, Austria in 1965. The basic aim of OPEC was to wrench control of oil prices from the oil companies and to put it in the hands of the sovereign states that own the natural resource."
Follower of Mar.   		3 letters,"APR.    	The exact etymology of 'April', the fourth month of our year, seems to be uncertain. The ancient Romans called it 'mensis Aprilis', which roughly translated as 'opening month. The suggestion is that April is the month in which fruits, flowers and animals 'open' their life cycles."
Yule tune.   		4 letters,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for 'birth' (natalis). Noel has come to be used as an alternative name for a Christmas carol."
Optima maker.   		3 letters,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
Where to find Darwin's tubercle.   		3 letters,"EAR.    	Darwin's tubercle is a condition found in the ear of just over 10% of the population. The condition is congenital and presents itself as a thickening of the outer rim of the outer ear. The condition's name is in honor of the fact that Charles Darwin first described it, although Darwin himself called the condition 'Woolnerian tip'. thomas Woolner was a British sculptor who routinely included the condition in his human sculptures."
Genesis son.   		4 letters,"ABEL.    	The story of Cain and Abel not only appears in the Christian and Hebrew Bibles, it also features in the Qur'an. In the Muslim account the brothers are named Qabil and Habil."
Apotheosis.   		4 letters,"ACME.    	The apotheosis is the ideal example, the epitome."
One way to the top.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
Means of reaching a peak level?.   		5 letters,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
Looney Tunes manufacturer.   		4 letters,"ACME.    	The Acme Corporation is a fictional company used mainly by Looney Tunes, and within the Looney Tunes empire it was used mainly in the Road Runner cartoons. Wile E. Coyote was always receiving a new piece of gear from Acme, which would hopefully finally capture the Road Runner, but always led to his downfall instead."
"""Deo vindice"" was its motto: Abbr..   		3 letters",CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
Harry Potter's best friend.   		3 letters,"RON.    	In the 'Harry Potter' series of films , Harry has two ""best friends' in school, Hermione Granger and Ron Weasley."
"Address book replacer, for short.   		3 letters",PDA.    	Personal digital assistant (PDA)
Open-air rooms.   		5 letters,"ATRIA.    	In modern architecture an atrium is a large open space, often in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium."
Magazine holder.   		3 letters,"UZI.    	The first Uzi sub-machine gun was designed in the late 1940s, by Major Uziel Gal, who gave his name to the gun."
Home of the daily World-Herald.   		5 letters,"OMAHA.    	Omaha is the largest city in the state of Nebraska. It is located on the Missouri River, about 10 miles north of the mouth of the Platte River When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
Big cheese.   		3 letters,CEO.    	Chief executive officer (CEO)
Two-tone coin.   		4 letters,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone."
Operatic prince.   		4 letters,"IGOR.    	'Prince Igor' is an opera by the Russian composer, Alexander Borodin. Borodin died before he had finished 'Prince Igor', so it was completed by Nikolai Rimsky-Korsakov and Alexander Glazunov. Music from 'Prince Igor' and other Borodin works was used in the American musical 'Kismet'."
It may be clicked on a computer.   		3 letters,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
Oscar- and Grammy-winning singer Smith.   		3 letters,"SAM.    	Sam Smith is a singer from London. I think that the only thing I've heard of his is the theme song from the 2015 James Bond movie 'Spectre', which is called 'Writing's on the Wall'."
___ chi.   		3 letters,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increase longevity."
"Built-in part of a tank top, maybe.   		3 letters","BRA.    	Tank top' is another one of those terms that always catches me out, as it has a different meaning on each side of the Atlantic. In the US a tank top is a sleeveless shirt, something we would call a 'vest' back in Ireland (and the US 'vest' is what we call a 'waist coat'). A tank top in Ireland is a sleeveless sweater, which further adds to the confusion. The name 'tank top' is derived from 'tank suit', an old name for a woman's one-piece bathing suit. The use of 'tank' for the bathing suit came from 'swimming tank', an obsolete term used in the 1920s for a swimming pool."
Disney collectible.   		3 letters,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
"Here, over there.   		3 letters",ICI.    	'Ici' is French for 'here'.
"Spotmatic, e.g., briefly.   		3 letters","SLR.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
Rondo maker.   		3 letters,KIA.    	The Carens is a compact MPV (multi-person vehicle) made by South Korean automaker Kia. The Carens is marketed in North America and Australia as the Rondo.
Children's TV character who refers to himself in the third person.   		4 letters,"ELMO.    	The man behind/under the character Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
Language spoken around Loch Ness.   		4 letters,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gàidhlig (in Scotland)."
"""Spring forward"" inits.   		3 letters","DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall so that afternoons have more daylight."
Candy man.   		5 letters,"REESE.    	Reese's Peanut Butter Cups were invented by Harry Burnett ""H.B."" Reese. Peanut Butter Cups were originally called penny cups, reflecting the price at which they were sold. Then inflation took over, and maybe that's why they were broken into smaller 'Pieces'."
"Don Ho's instrument, informally.   		3 letters",UKE.    	The ukulele originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
Setting that makes things right?.   		3 letters,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
Warner Bros.   		4 letters,"ACME.    	The Acme Corporation is a fictional company used mainly by Looney Tunes, and within the Looney Tunes empire it was used mostly in the ""Road Runner"" cartoons. Wile E. Coyote was always receiving a new piece of gear from Acme designed to finally capture the Road Runner, but the equipment always led to his downfall instead."
___ chi (martial art).   		3 letters,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increasing longevity."
Currency that replaced the drachma.   		4 letters,EURO.    	The drachma was the currency used in Greece that was replaced by the Euro.
"Kyle ___, ""The Terminator"" hero.   		5 letters",REESE.    	I sometimes forget that 'the terminator' wasn't the main character in the first 'The Terminator' film. The story revolved around Kyle Reese (played by Michael Biehn). Reese is sent back from the future to protect Sarah Connor (played by Linda Hamilton) from the Terminator (played by Arnold Schwarzenegger).
Assault weapon named for its designer.   		3 letters,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
Latin phrase on a memo.   		5 letters,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
First name in mysteries.   		4 letters,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
Short coming?.   		3 letters,ARR.    	Arrival (arr.)
Exam administered qtly.   		4 letters,LSAT.    	he Law School Admission Test (LSAT) has been around since 1948.
Owner of Capitol Records and Parlophone.   		3 letters,"EMI.    	EMI is a British music company, with the acronym originally standing for Electric and Musical Industries."
Spring's counterpart.   		4 letters,"NEAP.    	Tides of course are caused by the gravitational pull of the moon on the oceans. At neap tide, the smaller gravitational effect of the sun cancels out some of the moon's effect. At spring tide, the sun and the moon's gravitational forces act in concert causing more extreme movement of the oceans."
Philosopher ___-tzu.   		3 letters,LAO.    	Lao Tse (also Lao-Tzu) was a central figure in the development of the religion/philosophy of Taoism.
Skater Midori.   		3 letters,"ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training, when she was only 8 years old ..."
Carrier to Copenhagen.   		3 letters,"SAS.    	SAS, formerly known as Scandinavian Airlines System, is the flag carrier of three countries: Denmark, Norway and Sweden."
Ecuador and Venezuela are in it.   		4 letters,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia), but isn't part of OPEC. One reason America isn't a member is that even though we are a big producer we import a lot more than we export. But you probably knew that already ..."
Sister co.   		3 letters,"EMI.    	EMI was a British music company, with the acronym originally standing for Electric and Musical Industries."
"""R.O.C.K.   		3 letters","USA.    	John Mellencamp started to use the stage name Johnny Cougar in 1976, a name that evolved into John Cougar, and then to John Cougar Mellencamp in the eighties. In 1992 the ""Cougar"" was dropped altogether and Mellencamp has been performing under his own name since then. Mellencamp was married to former supermodel Elaine Irwin for eighteen years, but the two decided to split. Mellencamp's longtime girlfriend is actress Meg Ryan."
Animation frame.   		3 letters,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
Great ___.   		3 letters,"APE.    	The hominids are the great apes, and belong to the family of primates called Hominidae. Extant genera that make up the family Hominidae are:"
N.F.L.   		3 letters,LEN.    	Len Dawson is a retired AFL-NFL quarterback who played for the Kansas City Chiefs (originally the Dallas Texans).
Pixar title character.   		4 letters,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar, winner of the Oscar that year for Best Animated Feature. Believe it or not, it is the best selling DVD of all time, and until 2010's ""Toy Story 3"", it was the highest grossing G-rated movie of all time."
Flight ticket abbr.   		3 letters,ARR.    	Arrival time.
CPR pro.   		3 letters,EMT.    	Emergency medical technician (EMT).
Web access inits.   		3 letters,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
Cartoon frame.   		3 letters,"CEL.    	In the world of animation a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
Plot segment.   		4 letters,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. Eventually, this was more precisely delineated as a strip of land one furlong long (660 feet) and one chain wide (66 feet). The word ""furlong"" is actually derived from the Old English words meaning ""furrow long"", the length of the furrow plowed by the oxen."
"Aunt, in Acapulco.   		3 letters","TIA.    	The Mexican city of Acapulco is on the southwest coast of the country, in the state of Guerrero. The name 'Acapulco' translates from the local language into 'at the big reeds'."
Carrier to Copenhagen.   		3 letters,"SAS.    	SAS, formerly known as Scandinavian Airlines System, is the flag carrier of three countries: Denmark, Norway and Sweden."
Sorento manufacturer.   		3 letters,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
Letter before upsilon.   		3 letters,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
Carrier with a frequent flier program called EuroBonus.   		3 letters,"SAS.    	SAS, formerly known as Scandinavian Airlines System, is the flag carrier of three countries: Denmark, Norway and Sweden."
Largest city in the state where Lincoln is the capital.   		5 letters,"OMAHA.    	Omaha is the largest city in the state of Nebraska. When Nebraska was still a territory, Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
Broadband inits.   		3 letters,"DSL.    	The acronym 'DSL' originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
Actress Long.   		3 letters,"NIA.    	Nia Long is an American actress, probably best known for playing Will Smith's sometime girlfriend and fiancee Lisa Wilkes on the TV show ""The Fresh Prince of Bel Air""."
"""In principio ___ Verbum"".   		4 letters","ERAT.    	""In principio erat Verbum"" are the opening lines of what is called the Last Gospel, a passage from the gospel according to St. John. The words (and those that follow) are used in the Roman Catholic Mass, and translate as ""In the beginning was the Word""."
Source of some of the oil for 31-Down.   		4 letters,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formerly established in 1960, and has been headquartered in Vienna since 1965."
"Fast way to connect, briefly.   		3 letters","DSL.    	The acronym 'DSL' originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
"Bully in ""Calvin and Hobbes"".   		3 letters","MOE.    	The comic strip ""Calvin and Hobbes"" is still widely syndicated, but hasn't been written since 1995. The cartoonist Bill Watterson named the character Calvin after John Calvin, the 16th century theologian. Hobbes was named for Thomas Hobbes a 17th century English political philosopher."
"Fictional character who says ""I now prophesy that I will dismember my dismemberer"".   		4 letters","AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
