P.T.A. interest: Abbr..   		4 letters,EDUC.    	Parent-Teacher Association (PTA)
Priebus's predecessor as Republican Party chairman.   		6 letters,STEELE.    	Michael Steele served as Chairman of the Republican National Committee from 2009 to 2011 and was the first African American to fill the post.
"Night that ""Friends"" aired: Abbr..   		3 letters","THU.    	The remarkably successful sitcom 'Friends' was created by David Crane and Marta Kauffman. For the first season, the six lead characters were each paid $22,500 per episode. That salary had increased to $1 million per episode by the show's last season. "
Stick in a dugout.   		3 letters,"BAT.    	A 'dugout' is an underground shelter. The term was carried over to baseball because the dugout is slightly depressed below the level of the field. This allows spectators behind the dugout to get a good view of home plate, where a lot of the action takes place."
Image Awards grp.   		5 letters,"NAACP.    	The NAACP Image Awards are presented annually to recognise people of color in the worlds of film, television, music and literature. The first awards were presented in 1967, and the ceremony usually takes place in Los Angeles."
Petrova of tennis.   		5 letters,NADIA.    	Nadia Petrova is a tennis player from Moscow who has ranked third in the world in doubles. Petrova has a good complement of athletic genes as her father was a successful hammer thrower and her mother won an Olympic bronze in the 400m track relay.
Sherlock Holmes appurtenance.   		4 letters,"PIPE.    	An appurtenance is an accessory, perhaps a piece of equipment for a specific task. It might also be an appendage, a suffix to a word, for example."
"1 + 2, in Germany.   		4 letters","DREI.    	The German for 'one, two, three' is ""eins, zwei, drei""."
"___ bin Laden, 2011 Navy SEALs target.   		5 letters","OSAMA.    	Osama bin Laden founded his militant Islamist group called al-Qaeda in the late eighties. 'Al-Qaeda' translates as 'the base', and can refer to a military base. It was originally the name of a training camp set up for mujahedin fighters opposing the Russians who occupied Afghanistan at the time."
"Florida city, for short.   		4 letters","BOCA.    	The name of the city of Boca Raton in Florida translates from Spanish as 'Mouse Mouth'. There doesn't seem to be a definitive etymology of the name but one plausible explanation is a nautical one. 'Boca', as well as meaning 'mouth' can mean 'inlet'. 'Ratón', as well as meaning 'mouse' was also used to describe rocks that chewed away at a ship's anchor cable. So possibly Boca Raton was named for a rocky inlet."
"Some airport postings, for short.   		4 letters",ETDS.    	Estimated time of departure (ETD)
What Khloé might call Kim.   		3 letters,SIS.    	Khloé Kardashian managed to parlay her exposure on the reality show 'Keeping Up with the Kardashians' into spin-offs called 'Kourtney and Khloé Take Miami' and 'Khloé & Lamar'. Guess how many episodes of those three shows that I've seen ...
TV alien's home.   		3 letters,"ORK.    	""Mork & Mindy"" was broadcast from 1978 to 1982. We were first introduced to Mork (played by Robin Williams) in a special episode of ""Happy Days"". The particular episode in question has a bizarre storyline culminating in Fonzie and Mork having a thumb-to-finger duel. Eventually Richie wakes up in bed, and alien Mork was just part of a dream! Oh, and ""Nanu Nanu"" means both ""hello"" and ""goodbye"" back on the planet Ork. ""I am Mork from Ork, Nanu Nanu"". Great stuff ..."
"""___ means nothing"" (1918 manifesto declaration).   		4 letters","DADA.    	Dadaism thrived during and just after WWI, and was an anti-war, anti-bourgeois and anti-art culture. The movement began in Zurich, Switzerland started by a group of artists and writers who met to discuss art and put on performances in the Cabaret Voltaire, frequently expressing disgust at the war that was raging across Europe. According to the Dada Manifesto of 1918:"
Class after trig.   		4 letters,"CALC.    	The Latin word 'calculus' was originally used for a reckoning or an account, and originally applied to a pebble that was used to maintain a count. The Latin word came from the Greek for a pebble, 'khalix'."
"""House,"" but not ""Full House"".   		5 letters","DRAMA.    	I think that 'House' is one of the best shows made by Fox television. It is fun for me to see English actor Hugh Laurie in the title role as coming from the other side of the Atlantic I have been watching him in various comedic roles for decades. Famously he played Bertie Wooster opposite Stephen Fry in P.G. Wodehouse's 'Jeeves & Wooster', as well as one of the bumbling 'bad guys' in '101 Dalmatians' (the version starring Glenn Close)."
All you can take with one hand.   		3 letters,"POT.    	The ""pot"" in a card game has been referred to as the kitty since the 1880s. It's not certain how the name ""kitty"" evolved but possibly it came from ""kit"", the necessary equipment for the game."
Econ.   		3 letters,"GNP.    	A country's Gross National Product (GNP) is the value of all services and products produced by its residents in a particular year. GNP includes all production wherever it is in the world, as long as the business is owned by residents of the country concerned. Gross Domestic Product (GDP) is different, and is the value of all services and goods produced within the borders of the country for that year."
Crazy quilts.   		5 letters,"OLIOS.    	Crazy quilting' is the creation of a patchwork made from layers of fabric of varying design, with no particular motif. A crazy quilt isn't actually 'quilted', but is created by just sewing together patches of material."
Start of a cheer.   		3 letters,SIS.    	'Sis boom bah' is apparently a popular cheer in American high schools and colleges (I didn't know that!). The term was also used by Johnny Carson when he was playing the character Carnac the Magnificent.
Con game.   		5 letters,"MONTE.    	Three-card Monte is a confidence trick in which someone is goaded into betting money on the assumption that he or she can find the 'money card' (usually a queen) among three cards placed face down. The 'mark' who is being duped has all sorts of ways to lose and there are usually several people in on the scam, including others playing who seem to be winning."
Painkiller containing caffeine.   		6 letters,"ANACIN.    	Anacin is a pain reliever, with aspirin and caffeine as active ingredients."
Windsurfing mecca.   		4 letters,"MAUI.    	Maui is the second largest of the Hawaiian islands. Maui is sometimes called the 'Valley Isle' as it is composed of two volcanoes to the northwest and southeast of the island, each with numerous beautiful valleys carved into them."
First name of a 10-year manhunt target.   		5 letters,"OSAMA.    	Osama bin Laden founded his militant Islamist group called al-Qaeda in the late eighties. 'Al-Qaeda' translates as 'the base', and can refer to a military base. It was originally the name of a training camp set up for mujahideen fighters opposing the Russians who occupied Afghanistan at the time."
"Some digital clock readouts, for short.   		4 letters",LCDS.    	Liquid crystal display (LCD)
Computer key near Shift.   		4 letters,CTRL.    	The control key (Ctrl.)
Radiohead frontman Yorke.   		4 letters,"THOM.    	Radiohead is an alternative rock band from England, formed in 1985."
Ancient Assyrian foe.   		4 letters,"MEDE.    	The Medes were an ancient people that lived in what is now northwestern Iran. The Medes held sway in the region only for about 60 years, until Cyrus the Great came along and defeated Astyages, the king of Media (not to be confused with Howard Stern, the self-proclaimed ""king of all media""!)."
Estevez of the Brat Pack.   		6 letters,"EMILIO.    	Emilio Estevez is one of the members of Hollywood's famous 'Brat Pack', having appeared in 'The Breakfast Club' and 'St. Elmo's Fire'. Estevez's father (and can't you tell it from looking at him?) is actor Martin Sheen. Estevez decided to keep his father's real name, and not the stage name of 'Sheen'. Charlie Sheen is Emilio's brother, and Charlie's real name is Carlos Estevez."
Not kosher.   		4 letters,"TREF.    	According to Jewish dietary law, ""kosher"" food is ""fit"" to eat, and food that is not kosher is called ""treif"" (or tref)."
Some Spanish zoo exhibits.   		4 letters,"OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male."
He died at Xanadu.   		4 letters,"KANE.    	In the 1941 film 'Citizen Kane', the newspaper magnate Charles Foster Kane builds himself an immense and opulent estate on the Florida coast called Xanadu. Xanadu boasts a Venetian-style canal, complete with gondolas, and a well-stocked zoo. There is also a championship golf course. The estate was inspired by Hearst Castle, the California mansion owned by William Randolph Hearst."
Stringed instrument for a madrigal.   		4 letters,"LUTE.    	A madrigal is a piece of vocal music, but notably a piece that is secular in content rather than religious. The madrigal originated in Italy in the early 16th century and it dominated secular music for the next one hundred years until it was gradually displaced by the aria, a product of operatic works."
"Pindar, for one.   		5 letters","ODIST.    	Pindar was an ancient Greek poet, best known perhaps for composing a series of Victory Odes that celebrated triumph in competition, most notably the Olympian Games of the day."
"Understand, slangily.   		4 letters","GROK.    	To grok' is to understand, a slang word that's really only used in ""techie"" circles. 'Grok' is the creation of science fiction author Robert Heinlein, who coined the term in his 1961 novel 'Stranger in a Strange Land'."
"Sufficient, to a bard.   		4 letters","ENOW.    	'Enow' is an archaic form of the word ""enough""."
Stage offering.   		5 letters,REVUE.    	'Revue' is the French word for 'review'.
Fleur-de-___.   		3 letters,"LYS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
___ Mawr.   		4 letters,"BRYN.    	I used to live not far from Bryn-mawr (also ""Brynmwar"") in Wales, the town with the highest elevation in the country. Appropriately enough, ""bryn mawr"" is Welsh for ""big hill"". There is also a Bryn Mawr in Pennsylvania (note the different capitalization) that is named after its Welsh counterpart. At the Pennsylvania location there's a Bryn Mawr college, a private women's school that was the first American university to offer graduate degrees to women."
"Quaker State city subject to lake-effect snow, for short.   		8 letters","ERIE, PA.    	Today 'Quaker State' is an unofficial name for Pennsylvania, as it is more correctly known as the Keystone State, and has been so since 1802. However, in colonial times Pennsylvania was known officially as the Quaker Province, recognizing the beliefs and doctrine of the state's founder, William Penn."
"Keats, for one.   		5 letters","ODIST.    	The poet John Keats is famous for writing a whole series of beautiful odes. The most renowned are the so-called '1819 Odes', a collection from the year 1819 that includes famous poems such as 'Ode on a Grecian Urn', ""Ode to a Nightingale' and 'Ode to Psyche'."
Kind of torch at a luau.   		4 letters,"TIKI.    	A tiki torch is a bamboo torch that's very commonly used in Tiki culture. Tiki culture is a relatively modern invention dating from the 20th century, and is the experience created in Polynesian-style restaurants. The word ""Tiki"" is borrowed from Polynesia."
Fleur-de-___.   		3 letters,"LYS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
"Sufficient, for Shakespeare.   		4 letters","ENOW.    	'Enow' is an archaic form of the word ""enough""."
Speak like Cicero.   		5 letters,"ORATE.    	Cicero was a very influential senator in Ancient Rome, in part due to his renowned ability to deliver a persuasive speech. His full name was Marcus Tullius Cicero."
"Frederick who composed ""My Fair Lady"".   		5 letters","LOEWE.    	Frederick Loewe was a composer best known for his collaborations with the lyricist Alan Jay Lerner, the most famous of which were 'My Fair Lady' and 'Camelot'."
Company with a fleet.   		6 letters,"U-HAUL.    	The U-Haul company was started by married couple Leonard Shoen and Anna Mary Carty in Ridgefield, Washington in 1945. The Shoens used $5,000 of seed money to build trailers in their garage, and then cleverly recruited gas station owners as franchisees with whom they would split the rental revenue. There are now about 15,000 U-Haul dealers across the country."
Vetoes.   		3 letters,"NOS.    	""Veto"" comes directly from Latin and means ""I forbid"". The word was used by tribunes of Ancient Rome to indicate that they opposed measures passed by the Senate."
"Tenor standard ""___ Mio"".   		6 letters","O SOLE.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The song's lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
Cereal box title.   		5 letters,"CAP'N.    	The first Cap'n Crunch commercials aired in 1963, at the time the product line was launched. The Cap'n's full name is Captain Horatio Magellan Crunch, would you believe?. Crunch's voice was provided for many years by Daws Butler, the same voice actor who gave us Yogi Bear and Huckleberry Hound."
Pink-slip.   		3 letters,"CAN.    	The term ""pink-slip"" can be used as a verb meaning ""to terminate an employee"". No one really seems to know for sure where the term originated, but there are lots of stories."
Relief provider since 1916.   		6 letters,"ANACIN.    	Anacin is a pain reliever, with aspirin and caffeine as active ingredients."
Leave at the altar.   		4 letters,"JILT.    	To ""jilt"" someone with whom you have a relationship is to drop them suddenly or callously. ""Jilt"" is an obsolete noun that used to mean ""harlot"" or ""loose woman""."
Anita of jazz.   		5 letters,"O'DAY.    	Anita O'Day was the stage name of the jazz singer Anita Colton. She chose the name as 'O'Day' is Pig Latin for 'dough', a slang term for 'money'. O'Day had problems with heroin and alcohol addiction leading to erratic behavior, and earning her the nickname 'The Jezebel of Jazz'."
Theme.   		5 letters,MOTIF.    	A motif is a recurring element in an artistic work or design.
"""Vive ___!"" (old French cry).   		6 letters",LE ROI.    	'Vive le roi!' is French for 'Long live the king!'
"One of two in ""Hamilton"".   		3 letters","ACT.    	'Hamilton' is a 2015 musical based on the life or US Founding Father Alexander Hamilton, as described in the 2004 biography by Ron Chernow. The representations of the main characters is decidedly ground-breaking. The show is rooted in hip-hop and the main roles such as Hamilton, Thomas Jefferson and George Washington are all played by African-American and Hispanic actors."
Bellum's opposite.   		3 letters,"PAX.    	In Latin, the opposite to war (bellum) is peace (pax)."
They turn litmus paper red.   		5 letters,"ACIDS.    	Litmus is a mixture of naturally-occurring dyes that responds to acidity by changing color. Litmus was probably first used around 1300 by the Spanish alchemist Arnaldus de Villa Nova, who extracted the blue dye from lichens. One suggestion is that the term 'litmus' comes from the Old Norse 'litmose' meaning 'lichen for dyeing'."
Penne ___ vodka.   		4 letters,"ALLA.    	Penne alla vodka is a pasta dish with a sauce made of vodka, cream , tomatoes, onions and sausage or bacon."
"""House"" actor Omar.   		4 letters","EPPS.    	Omar Epps is the actor who played Eric Foreman on the excellent television series ""House"". Prior to playing Dr. Foreman, Epps had a recurring role playing Dr. Dennis Grant on ""ER"". And, in another link to the world of medicine, Epps was born in Savannah, Georgia to single mom, Dr. Bonnie Epps."
Turkish topper.   		3 letters,"FEZ.    	""Fez"" is the name given to the red cylindrical hat worn mainly in North Africa, and by Shriners here in the US. The fez used to be a very popular hat across the Ottoman Empire. The etymology of ""fez"" is unclear, although it might have something to do with the Moroccan city named Fez."
Hindu honcho.   		5 letters,RAJAH.    	Raja' (also 'rajah') is word derived from Sanskrit that is used particularly in India for a monarch or princely ruler. The female form is 'rani' (also 'ranee') and is used for a raja's wife.
"More cool, in slang.   		5 letters","ILLER.    	""Ill"" is hip-hop slang, meaning sublime, singularly creative. Not how I use the word ..."
___ Pérignon (Champagne).   		3 letters,"DOM.    	Dom Pérignon is the name given to the prestige label of champagne from Moët et Chandon, the French winery. The label's name honors the Benedictine monk, Dom Pérignon, who helped to improve the quality and production of champagne in the early 18th century. Although Dom Pérignon made major contributions to champagne production, many of the stories in which he figures are just myths. He did not ""invent"" champagne, nor sparkling wine in general. Nor did he say the famous words, ""Come quickly, I am drinking the stars!"". That lovely line first appeared in a print advertisement in the late 1800s!"
Fleur-de-___.   		3 letters,"LYS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
Limey's drink.   		4 letters,"GROG.    	Edward Vernon was a naval officer with the nickname ""Old Grog"". In 1740, Vernon ordered that the daily ration of rum for his sailors should be watered down, in order to reduce discipline problems caused by drunkenness. The diluted rum was sweetened with sugar, and lemon or lime added to help preserve it on long voyages. This recipe, found to reduce scurvy among sailors (because of the citrus) spread throughout the Royal Navy, and ""grog"" was born."
___ bin Laden.   		5 letters,"OSAMA.    	Osama bin Laden founded his militant Islamist group called al-Qaeda in the late eighties. 'Al-Qaeda' translates as 'the base', and can refer to a military base, and was originally the name of a training camp set up for mujahideen fighters opposing Russians occupying Afghanistan."
Engineer Gray who co-founded Western Electric.   		6 letters,"ELISHA.    	Western Electric was a manufacturer of telecommunications products that was founded in 1869 by Enos Barton and Elisha Gray. Western Electric was the main supplier of equipment to AT&T for over a century, from 1881 to 1996."
Mexican wrap.   		6 letters,"SERAPE.    	""Serape"" is the English pronunciation and spelling of the Spanish word ""zarape"". A zarape is like a Mexican poncho, a soft woolen blanket with a hole in the middle for the head. Most serapes have colorful designs that use traditional Mayan motifs."
Feature of a Norman Rockwell self-portrait.   		4 letters,"PIPE.    	Corncob pipes are made from cobs that have been dried for two years and are then hollowed out into the shape of a bowl. Famous smokers of corncob pipes were General Douglas MacArthur, Mark Twain, Norman Rockwell as well as Popeye and Frosty the Snowman."
"""___ Mio"".   		6 letters","O SOLE.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The song's lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
"Language in which ""talofa"" means ""hello"".   		6 letters","SAMOAN.    	The official name for the South Pacific country formerly known as Western Samoa is the Independent State of Samoa. ""Samoa"" is the western part of the island group, with American Samoa lying to the southeast. The whole group of islands used to be known as Navigators Island, a name given by European explorers in recognition of the seafaring skills of the native Samoans."
Field fungus.   		5 letters,"ERGOT.    	Ergot is a fungus, or actually a group of fungi, that cause disease in rye and related plants. If human eat ergot-contaminated grain, a condition called ergotism can result. Ergotism is the result of consumption of alkaloids produced by the fungi, alkaloids that can cause seizures and manic behavior. It has even been suggested that the hysteria exhibited by the Salem ""witches"" was perhaps caused by the ingestion of ergot-contaminated rye."
Instruction written in currants for Alice.   		6 letters,"EAT ME.    	In Lewis Carroll's ""Alice's Adventures in Wonderland"", Alice follows the white rabbit down a rabbit hole and finds a bottle labelled ""DRINK ME"". When she drinks the contents, it causes her to shrink. She also sees a cake adorned with the words ""EAT ME"", and when she eats the cake she grows so big she finds it hard to stand up. After eating the cake, she utters the famous words, ""Curiouser and curiouser""."
___ salad.   		6 letters,"CAESAR.    	The Caesar Salad was created by restaurateur Caesar Cardini at the Hotel Caesar's in Tijuana, Mexico. The original recipe called for whole lettuce leaves that were to be lifted up by the stem and eaten with the fingers."
Greasy spoon order.   		4 letters,"HASH.    	""Hash"", meaning a dish of beef and vegetables mashed together, is a very American term and one that really surprised me when I first came across it. ""Hash"" just seems like such an unappetizing item, but I soon found out how delicious it was. The name ""hash"" in this context comes from the French ""hacher"" meaning ""to chop"". Back in the early 1900s the dish called ""hashed browned potatoes"" was developed, which quickly morphed into ""hash browns"". From there the likes of corned beef hash was introduced."
"Bloody Mary, e.g.   		5 letters","TUDOR.    	The Wars of the Roses was a series of civil wars fought for the throne of England between the rival Houses of Lancaster and York. Ultimately the Lancastrians emerged victorious after Henry Tudor defeated King Richard III at the Battle of Bosworth Field. Henry was crowned King Henry VII and united the two Houses by marrying his cousin, Elizabeth of York. Henry had a relatively long reign of 23 years that lasted until his death, after which his son succeeded to the throne as Henry VIII, continuing the relatively short-lived Tudor dynasty. He ruled from 1509 until his death in 1547. Henry VIII was the last male to lead the the House of Tudor, as his daughter Queen Elizabeth I died without issue."
Soft white mineral.   		5 letters,"BORAX.    	Borax is also known as sodium borate, and is a salt of boric acid. Borax is a white powder that dissolves easily in water. The compound has many uses, for example as an antifungal agent and an antiseptic. Actor and future US president Ronald Reagan used to tout 20 Mule Team Borax that was used as a laundry product."
Terminal requests.   		3 letters,IDS.    	ID (identity document)
Sidewalk scam.   		5 letters,"MONTE.    	Three-card Monte is a confidence trick in which someone is goaded into betting money on the assumption that he or she can find the 'money card' (usually a queen) among three cards placed face down. The 'mark' who is being duped has all sorts of ways to lose and there are usually several people in on the scam, including others playing who seem to be winning."
Title for M.L.K.   		3 letters,"REV.    	Martin Luther King, Jr. was only 35 years old when he won the Nobel Peace Prize, making him the youngest person to be so honored. King was given the award for his work to end racial segregation and discrimination using non-violent means. The following year he was awarded the American Liberties Medallion by the American Jewish Community."
European country whose flag features a George Cross.   		5 letters,"MALTA.    	The island state of Malta is relatively small, but its large number of inhabitants makes it one of the most densely populated countries in Europe. Malta's strategic location has made it a prized possession for the conquering empires of the world. Most recently it was part of the British Empire and was an important fleet headquarters. Malta played a crucial role for the Allies during WWII as it was located very close to the Axis shipping lanes in the Mediterranean. The Siege of Malta lasted from 1940 to 1942, a prolonged attack by the Italians and Germans on the RAF and Royal Navy, and the people of Malta. When the siege was lifted, King George VI awarded the George Cross to the people of Malta collectively in recognition of their heroism and devotion to the Allied cause. The George Cross can still be seen on the Maltese flag, even though Britain granted Malta independence in 1964."
Pirate's quaff.   		4 letters,"GROG.    	Edward Vernon was a naval officer with the nickname ""Old Grog"". In 1740, Vernon ordered that the daily ration of rum for his sailors should be watered down, in order to reduce discipline problems caused by drunkenness. The diluted rum was sweetened with sugar, and lemon or lime added to help preserve it on long voyages. This recipe, found to reduce scurvy among sailors (because of the citrus) spread throughout the Royal Navy, and ""grog"" was born."
Lerner's partner in musicals.   		5 letters,"LOEWE.    	Frederick Loewe was a composer best known for his collaborations with the lyricist Alan Jay Lerner, the most famous of which were 'My Fair Lady' and 'Camelot'."
Dumbledore's killer.   		5 letters,"SNAPE.    	Professor Albus Dumbledore is the headmaster of the school for wizards called Hogwarts, in the Harry Potter universe. The 'Harry Potter' books were written by J. K. Rowling, and she chose the name Dumbledore as it is an Early English word for a bumblebee. Apparently she pictured him wandering around, humming to himself."
Augustus ___.   		6 letters,"CAESAR.    	Gaius Octavius Thurinus (often called Octavian) was the adopted son of Gaius Julius Caesar. After Julius Caesar was assassinated, Octavian came to power in Rome and teamed up with Mark Antony and Marcus Aemilius Lepidus in what was called the Second Triumvirate. When the triumvirate fell apart, especially after Antony's defeat at Actium, Octavian became more powerful within the Roman Republic. Several years later he wrested sufficient power from the Roman Senate to end the Republic and begin the Roman Empire. As the first Emperor of Rome, Octavian was given the name Caesar Augustus."
Rapper's headwear.   		6 letters,"DO-RAG.    	Hip-hoppers might wear do-rags today, but they have been around for centuries. If you recall the famous image of Rosie the Riveter, she was wearing a do-rag. The etymology is pretty evident, a piece of cloth (rag) to hold a hairstyle (do) in place."
"Bon Jovi's ""Livin' ___ Prayer"".   		4 letters","ON A.    	Jon Bon Jovi was born John Francis Bongiovi, Jr., and he is the leader of the band that took his name, Bon Jovi."
Composer Schifrin.   		4 letters,"LALO.    	Lalo Schifrin is an Argentine pianist and composer best-known for writing film and television scores. Famously, Schifrin wrote the theme for 'Mission: Impossible', but also for 'The Man from U.N.C.L.E.', 'Mannix' and 'Starsky and Hutch'."
How many times Laurence Olivier won a Best Actor Oscar.   		4 letters,"ONCE.    	Laurence Olivier won his only Best Actor Oscar in 1948, for playing the lead in his own screen adaptation of William Shakespeare's 'Hamlet'."
Go for apples.   		3 letters,"BOB.    	Bobbing for apples is a game played on Halloween. Participants must hold their hands behind their backs and grab apples floating in a large basin of water, using only their mouths."
Actress Rogers.   		4 letters,"MIMI.    	Mimi Rogers is a favorite actress of mine, although she hasn't really had the starring roles in big movies. Off screen. Rogers is famous for her association with her second husband, Tom Cruise. It was Mimi who introduced Tom to Scientology. Mimi Rogers can also be seen playing a lot of so-called ""celebrity poker"", and she is on the board of directors of the World Poker Tour."
"Mitochondrion-made material, briefly.   		3 letters","ATP.    	Adenosine triphosphate (ATP) is a chemical used in the body to transfer energy for cell-to-cell. One of the main uses of ATP is to shorten muscles, so that they can do work."
"Language from which ""tattoo"" comes.   		6 letters","SAMOAN.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
"Advanced math class, for short.   		4 letters","CALC.    	The Latin word 'calculus' was orignally used for a reckoning or an account, and originally applied to a pebble that was used to maintain a count. The Latin word came from the Greek for a pebble, 'khalix'."
Maker of the LZR Racer suit.   		6 letters,"SPEEDO.    	Speedo brand swimwear was first produced in Australia in 1928, by a hosiery company that wanted to diversify. The brand name was chosen after a slogan competition among employees was won by ""Speed on in your Speedos"". It was a long time ago, I guess ..."
Ancient Greek state.   		6 letters,"SPARTA.    	Sparta was a city-state in ancient Greece, famous for her military might. Spartan children had a tough upbringing, and newborn babies were bathed in wine to see if the child was strong enough to survive. Every child was presented to a council of elders that decided if the baby was suitable for rearing. Those children deemed too puny were executed by tossing them into a chasm. We've been using the term 'spartan' to describe something self-disciplined or austere since the 1600s."
Ingredient in an Americano.   		4 letters,"SODA.    	An Americano is a rather tasty cocktail made from Campari, sweet vermouth and club soda. The cocktail used to known as the 'Milano-Torino', as Campari comes from Milano (Milan) and Cinzano vermouth comes from Torino (Turin). The origin of the 'Americano' name is disputed. Some say that 'Americano' is in honor of the drink's popularity with Americans visiting Italy in the early 1900s. Others say that the name comes from the Italian 'amaro' meaning 'bitter'."
Psychic mediators.   		4 letters,"EGOS.    	Sigmund Freud created a structural model of the human psyche, breaking it into three parts: the id, the ego, and the super-ego. The id is that part of the psyche containing the basic instinctual drives. The ego seeks to please the id by causing realistic behavior that benefits the individual. The super-ego almost has a parental role, contradicting the id by introducing critical thinking and morals to behavioral choices."
"Refine, as ore.   		5 letters","SMELT.    	Metals are found in ore in the form of oxides. In order to get pure metal from the ore, the ore is heated and the metal oxides within are reduced (i.e. the oxygen is removed) in the chemical process known as smelting. The oxygen is extracted by adding a source of carbon or carbon monoxide which uses up the excess oxygen atoms to make carbon dioxide, a waste product of smelting (and of course, a greenhouse gas)."
Some cheaters have them.   		6 letters,"TRYSTS.    	In its most general sense, a tryst is a meeting at an agreed time and place. More usually we consider a tryst to be a prearranged meeting between lovers. The term comes from the Old French 'triste', a waiting place designated when hunting."
Secret get-togethers.   		6 letters,"TRYSTS.    	In its most general sense, a 'tryst' is a meeting at an agreed time and place. More usually we consider a tryst to be a prearranged meeting between lovers. The term comes from the Old French 'triste', a waiting place designated when hunting."
Divas have big ones.   		4 letters,"EGOS.    	""Diva"" comes to us from Latin via Italian. ""Diva"" is the feminine form of ""divus"" meaning ""divine one"". The word is used in Italy to mean ""goddess"" or ""fine lady"", and especially is applied to the prima donna in an opera. We often use the term to describe a singer with a big ego."
Navratilova rival.   		4 letters,"GRAF.    	Steffi Graf is a former World No. 1 professional tennis player from Germany. Graf won 22 Grand Slam singles titles, more than any other man or woman other than Margaret Court. She is married to another former World No. 1, namely Andre Agassi."
R.A.F.   		3 letters,DSO.    	The Distinguished Service Order (DSO) is a British military award that is usually presented to officers with the rank of Major or higher.
Acrobat producer.   		5 letters,"ADOBE.    	Adobe Acrobat is the software used to create .pdf files. Most of us are more familiar with the associated application called Adobe Reader, because that's what we use to read those .pdf files."
Syndicated radio host John.   		4 letters,"TESH.    	John Tesh is a pianist and composer, as well as a radio and television presenter. For many years Tesh presented the show ""Entertainment Tonight"". For ""ET"" he once covered the filming of an episode of ""Star Trek: The Next Generation"". As part of the piece, he volunteered to act as a Klingon warrior and so if you see the ""Star Trek: TNG"" episode called ""The Icarus Factor"" in reruns, watch out for John Tesh engaging in ritual torture with Mr. Worf as his victim."
"Show of shows, with ""the"".   		5 letters","EMMYS.    	The Emmy Awards are the television equivalent of the Oscars in the world of film, the Grammy Awards in music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
Thor or Loki.   		3 letters,"GOD.    	In Norse mythology, Thor was the son of Odin. Thor wielded a mighty hammer and was the god of thunder, lightning and storms. Our contemporary word 'Thursday' comes from 'Thor's Day'."
Funny Margaret.   		3 letters,"CHO.    	Margaret Cho is a very successful stand-up comedian, but she is also a fashion designer with her own line of clothing. Cho also acts, and you might have seen her in the John Travolta/Nicholas Cage movie ""Face/Off"" in which she played John Travolta's FBI colleague."
Squeezes (out).   		4 letters,"EKES.    	To ""eke out"" means to ""make something go further or last longer"". For example, you could eke out your income by cutting back on expenses. I always have a problem with the commonly cited definition of 'eke out' as 'barely get by'. Close but no cigar, I say ..."
Something a chair has.   		6 letters,"AGENDA.    	'Agenda' is a Latin word that translates as 'things to be done', coming from the verb 'agere' meaning 'to do'."
Feature of many a Ludacris lyric.   		3 letters,"PUN.    	'Ludacris' is the stage name of rapper Christopher Bridges from Champaign, Illinois."
Church choir selection.   		5 letters,"PSALM.    	The Greek word 'psalmoi' originally meant 'songs sung to a harp', and gave us the word 'psalms'. In the Jewish and Western Christian traditions, the Book of Psalms contains 150 individual psalms, divided into five sections."
"""Vive ___!"" (old French cry).   		6 letters",LE ROI.    	'Vive le roi!' is French for 'Long live the king!'
Longtime Federer adversary.   		5 letters,"NADAL.    	Rafael 'Rafa' Nadal is a Spanish tennis player, noted for his expertise on clay courts, earning him the nickname 'The King of Clay'."
"Pinocchio, periodically.   		4 letters","LIAR.    	The Adventures of Pinocchio' is an 1883 children's novel by Carlo Collodi, which is all about an animated puppet called Pinocchio, and Geppetto, his poor woodcarver father. Pinocchio is prone to telling lies, the stress of which causes his short nose to become longer."
