MS_,MSS.    	Editors work with manuscripts.
THO_,"THOR.    	Thor is a superhero who was introduced to us by Marvel Comics in 1962. The character is of course based on the Norse god Thor, and comes complete with a magical hammer. Like so many comic book heroes it seems, Thor has made it to the big screen. Actor Chris Hemsworth played the role in the 2011 film 'Thor' directed by the great Kenneth Branagh. Branagh must have needed the cash. Thor's father Odin is played by Anthony Hopkins. He must have needed the cash too ..."
EN_,"ENG.    	Kenya has two official languages, Swahili and English.  English is in use as the British were the colonial power in Kenya for decades."
LI_N,"LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid. When an individual takes out a car loan, for example, the lending bank is usually a lien holder. The bank releases the lien on the car when the loan is paid in full."
A_IN,"AD IN.    	In tennis, if the score reaches ""deuce"" (i.e. when both players have scored three points), then the first player to win two points in a row wins the game. The player who wins the point immediately after deuce is said to have the ""advantage"". If the player with the advantage wins the next point then that's two in a row and that player wins the game. If the person with the advantage loses the next point, then advantage is lost and the players return to deuce and try again. If the one of the players is calling out the score then if he/she has the advantage then that player announces ""ad in"" or more formally ""advantage in"". If the score announcer's opponent has the advantage, then the announcement is ""ad out"" or ""advantage out"". Follow all of that ...?"
O_ES,"ODES.    	The poet John Keats is famous for writing a whole series of beautiful odes. The most renowned are the so-called '1819 Odes', a collection from the year 1819 that includes famous poems such as 'Ode on a Grecian Urn', ""Ode to a Nightingale' and 'Ode to Psyche'."
ADI_,"AD IN.    	In tennis, if the score reaches ""deuce"" (i.e. when both players have scored three points), then the first player to win two points in a row wins the game. The player who wins the point immediately after deuce is said to have the ""advantage"". If the player with the advantage wins the next point then that's two in a row and that player wins the game. If the person with the advantage loses the next point, then advantage is lost and the players return to deuce and try again. If the one of the players is calling out the score then if he/she has the advantage then that player announces ""ad in"" or more formally ""advantage in"". If the score announcer's opponent has the advantage, then the announcement is ""ad out"" or ""advantage out"". Follow all of that ...?"
_DIE,EDIE.    	Edie Sedgwick became famous when she starred in several short films made by Andy Warhol in the sixties.
IDA_O,"IDAHO.    	The US state of Idaho has a panhandle that extends northwards between Washington and Montana, right up to the border with Canada. Across that border is the Canadian province of British Columbia. Most of Idaho is in the Mountain Time Zone, but Northern Idaho (the Panhandle) is in the Pacific Time Zone."
I_O,"IWO.    	Iwo Jima today is an uninhabited volcanic island located south of Tokyo, Japan. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out, and no one has lived there ever since."
O_G,OMG.    	OMG is text-speak for Oh My Gosh! Oh My Goodness! or any other G words you might think of ...
AN_A,"ANKA.    	Canadian-born Paul Anka's big hit was in 1957, the song entitled ""Diana"". Anka was the subject of a much-lauded documentary film in 1962 called ""Lonely Boy"". 'Lonely Boy' had been a number-one hit for Anka in 1959."
REN_E,"RENEE.    	Renée Richards is a former professional tennis player. Richards was at the center of a very public controversy in the seventies when she was banned from playing in the 1976 US Open, as she had been born a man and had undergone gender reassignment surgery. Richards disputed the ban and took her case to the New York Supreme court where she won her case. In 1977 Richards then made it to the women's double final in the US Open. Later she coached Martina Navatilova, helping Navratilova win two Wimbledon titles."
ORO_O,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
NA_,"NAN.    	The 'Bobbsey Twins' series of children's novels was first written by Edward Stratemeyer in 1904. Stratemeyer used the pseudonym Laura Lee Hope, as did subsequent authors who wrote 72 books in the series between 1904 and 1979."
AS_N,ASSN.    	One member of the three word phrase abbreviated by PTA is Association (as in Parent-Teacher Association).
_MIE,"AMIE.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
T_LC,"TALC.    	Talc is a mineral, actually hydrated magnesium silicate. Talcum powder is composed of loose talc, although these days ""baby powder"" can also be corn starch."
ORE_,"OREL.    	Orel Hershiser is big into poker now that he has retired from Major League Baseball. Hershiser lives in Las Vegas and when he isn't working for ESPN, apparently he is at the poker tables, playing professionally. When Hershiser is eliminated in a poker tournament, he is in the habit of presenting the person who ousts him with an autographed baseball."
ION_A,IONIA.    	Lydia and Ionia were ancient territories in a part of the world now covered by modern-day Turkey. Both territories eventually fell under Greek and then Roman rule.
EN_ON,"ENRON.    	Enron Field, as it was known, is a retractable-roof ball park, built next to Houston's old Union Station. Enron paid $100 million to get its name on the field, and then when the world found out what a scam Enron actually was, the Astros bought back the contract for the name, for a mere $2.1 million. The stadium became Astros Field for a few months, until the Coke people paid $170 million for a 28-year contract to christen the stadium Minute Maid Park. A good deal for the Astros, I'd say."
ORON_,ORONO.    	The Maine Black Bears are the athletic teams of the University of Maine.
L_EN,LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid.
B_A,"BOA.    	Flappers were the so-called 'new breed' of young women of the twenties. The flappers wore their hair short (with ringlets), dressed in short skirts and generally rebelled against the accepted norms of the time. The term ""flapper"" comes from the 1920 movie ""The Flapper"" starring Olive Thomas as a young woman who lived the more liberal lifestyle that was emerging at that time."
_IEN,LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid.
_ABOO,"TABOO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
_DO,"ADO.    	Foofaraw is excessive or flashy ornamentation, or a fuss over something that is unimportant."
LI_,"LIN.    	Justin Lin is an American movie director who was born in Taiwan. Lin directed three of the six films in 'The Fast and the Furious' series. Apparently he is directing a new film in the 'Jason Bourne' series called 'The Bourne Betrayal'. I'm not really a fan of 'The Fast and the Furious' films, but would like to see another 'Jason Bourne' movie ..."
_DES,"ODES.    	The poet John Keats is famous for writing a whole series of beautiful odes. The most renowned are the so-called '1819 Odes', a collection from the year 1819 that includes famous poems such as 'Ode on a Grecian Urn', ""Ode to a Nightingale' and 'Ode to Psyche'."
LA_,"LAV.    	Our word 'lavatory' originally referred to a washbasin, and comes from the Latin 'lavatorium', a place for washing. In the 1600s a lavatory became a washroom, and in the 1920s a toilet."
I_E,"IRE.    	Our term ""pique"" meaning a ""fit of ill feeling"" is a French word meaning a ""prick, sting, irritation""."
_EE,"TEE.    	The Top-Flite brand is currently owned by Calloway, picked up when Spalding's golf division went bankrupt in 2003."
_ARA,"TARA.    	Scarlett O'Hara's home is the Tara plantation, in Margaret Mitchell's ""Gone with the Wind"". Tara was founded not far from the Georgia city of Jonesboro by Scarlett's father, Irish immigrant Gerald O'Hara. Gerald named his new abode after the Hill of Tara back in his home country, the ancient seat of the High King of Ireland."
_DAHO,IDAHO.    	The Snake is a tributary of the Columbia River which crosses six states after rising in Wyoming. One of those states is Idaho.
B_LI,"BALI.    	Bali is the most important tourist destination in Indonesia and is an island lying east of Java. In recent years, Bali's tourist industry has been badly hit in the aftermath of two terrorist bombings. The first one, in 2002, killed 202 people, mainly foreign tourists in a nightclub."
_DIE,"EDIE.    	Edie Britt is a character on television's 'Desperate Housewives' played by Nicollette Sheridan. I'm told that her name is now Edie William, and that she used to be called Edie McLain and also Edie Rothwell. She must be a desperate housewife ..."
T_S,"TBS.    	Team Leno and Team Coco were the two 'sides' in the so called 'War for Late Night' of 2010. Team Leno represented Jay Leno, and Team Coco were behind Conan O'Brien."
_AP,RAP.    	Another cleverly worded clue ...
A_IN,"AD IN.    	In tennis, if the score reaches ""deuce"" (i.e. when both players have scored three points), then the first player to win two points in a row wins the game. The player who wins the point immediately after deuce is said to have the ""advantage"". If the player with the advantage wins the next point then that's two in a row and that player wins the game. If the person with the advantage loses the next point, then advantage is lost and the players return to deuce and try again. If the one of the players is calling out the score then if he/she has the advantage then that player announces ""ad in"" or more formally ""advantage in"". If the score announcer's opponent has the advantage, then the announcement is ""ad out"" or ""advantage out"". Follow all of that ...?"
A_O,"ADO.    	""Much Ado About Nothing"" is a favorite of mine, a play of course by William Shakespeare. It is a comedic tale of two pairs of lovers with lots of mistaken identities and double meanings. I once saw it performed in the fabulous Globe Theatre in London ... by an all-female cast!"
_IN,"EIN.    	""Ich bin ein Berliner"" (I am a Berliner) are famous words of support uttered by President John F. Kennedy in 1963 in a speech in West Berlin. The supposed translation of ""Ich bin ein Berliner"" as ""I am a jelly doughnut"" ... that's just an urban legend. Even though a 'Berliner' can be the name of a jelly doughnut, President Kennedy's use of German was perfectly correct."
TAB_O,"TABOO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
_AST,"EAST.    	In geographical terms there are three 'easts'. The Near East and Middle East are terms that are often considered synonymous, although 'Near East' tends to be used when discussing ancient history and 'Middle East' when referring to the present day. The Near/Middle East encompasses most of Western Asia and Egypt. The term 'Far East' describes East Asia (including the Russian Far East), Southeast Asia and South Asia."
R_SA,"ROSA.    	'Sub rosa' is a Latin term that translates literally as 'under the rose'. The term is used to denote confidentiality, as the rose has been a symbol of secrecy since ancient times."
E_G,"ENG.    	London is the largest metropolitan area in the whole of the European Union (and one of my favorite cities in the world). London has been a major settlement for over 2,000 years and was founded as a town by the Romans who called it Londinium. The name ""Londinium"" may have existed prior to the arrival by the Romans, and no one seems too sure of its origins. Famously, the City of London is a one-square-mile area at the center of the metropolis, the area that marked the old medieval London. ""The City"", as it is commonly called, has its own Mayor of the City of London (the Mayor of London is someone else), and it's own City of London Police Force (the London Metropolitan Police are the police we usually see on the street as tourist, a different force)."
TA_OO,"TABOO.    	The word ""taboo"" was introduced into English by Captain Cook in his book ""A Voyage to the Pacific Ocean"". Cook described ""tabu"" (likely imitative of a Tongan word that he had heard) as something that was both consecrated and forbidden."
O_ONO,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers."
_BM,"IBM.    	IBM introduced the ThinkPad in 1992, and the brand is still sold today, although no longer manufactured by IBM. IBM sold off its personal computer division in 2005 to Lenovo. A ThinkPad was used aboard the Space Shuttle Endeavor in 1993 on a mission focused on repairing the Hubble Telescope. The ThinkPad was being tested to see how it performed in space, given the high levels of radiation found in that environment. Now, there are about 100 (!) ThinkPads on board the International Space Station."
EIN_,"EINE.    	Mozart's Serenade No. 13 for strings in G major, is better known as ""Eine Kleine Nachtmusik"", which translates into ""a little serenade"", but the more literal English translation of ""a little night music"" is often used. It is a delightful piece in four, very recognizable movements, although there is much debate about a ""lost"" fifth movement."
_YE,"RYE.    	The lovely bread known as pumpernickel is made with a recipe that originates in the Westphalia region of Germany. The version of the bread that we eat in North America has been adapted over the years from the original recipe, largely to produce a cheaper product. If you taste the European version beside the American version, it's hard to believe they have the same origins. The etymology and literal translation of 'pumpernickel' seems to be unclear, although there are some interesting suggestions given that I won't repeat here, especially as they have to do with 'the devil's flatulence!'"
_DIE,EDIE.    	Edie Sedgwick became famous when she starred in several short films made by Andy Warhol in the sixties. Sedgwick's life was portrayed in a 2006 biographical film called 'Factory Girl'.
ISL_,"ISLA.    	In Spanish, Gran Bretaña (Great Britain) is an isla (an island)."
OR_NO,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
ID_L,"IDOL.    	""American Idol"" is a spin-off show that was created after the amazing success of the British television show ""Pop Idol"". I can't abide either program(me) ..."
_EB,"DEB.    	Deb is short for ""débutante"", a French word meaning ""female beginner"", a young lady making her ""debut"". Traditionally the term was reserved for young women of aristocratic families who were newly introduced to society, and who were available for marriage. The male equivalent of a débutante is a ""beau"", also a French word."
AMI_,"AMIE.    	Amie is the French word for a female friend, a date perhaps."
AM_E,"AMIE.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
_MANA,"AMANA.    	The Amana Corporation takes its name from the location of its original headquarters, in Middle Amana, Iowa."
_VEA,UVEA.    	The uvea is the middle of the three layers that make up the eyeball.
O_S,OSS.    	(51. Surveillance org. : CIA)
U_NE,"UTNE.    	The ""Utne Reader"" is known for aggregation and republishing of articles on politics, culture and the environment from other sources in the media. The ""Utne Reader"" was founded in 1984, with ""Utne"" being the family name of the couple that started the publication."
_CD,"LCD.    	Liquid Crystal Displays (LCDs) are the screens that are found in most laptops today, and in flat panel computer screens. They basically replaced Cathode Ray Tube (CRT) screens, the old television technology."
I_M,"IBM.    	Dow Jones & Company was founded as a publishing house in 1882 by three newspaper reporters, Charles Dow, Edward Jones and Charles Bergstresser. Today its most famous publication has to be ""The Wall Street Journal"". In 1884, Charles Dow started reporting the average dollar value of the stock of eleven companies, an index which spawned a whole host of metrics that carry the Dow Jones name to this day, including the renowned Dow Jones Industrials."
ANDR_,"ANDRE.    	André the Giant was a professional wrestler from France, whose real name was André René Roussimoff. He suffered from gigantism, over-production of growth hormone, reaching the height of 6 feet 3 inches by the time he was 12-years-old. But, he used his size to develop a very successful career in the ring."
OP_L,"OPEL.    	Adam Opel founded his company in 1863, first making sewing machines in a cowshed. Commercial success brought new premises and a new product line in 1886, namely penny-farthing bicycles. Adam Opel died in 1895, leaving his two sons with a company that made more penny-farthings and sewing machines than any other company in the world. In 1899 the two sons partnered with a locksmith and started to make cars, but not very successfully. Two years later, the locksmith was dropped in favor of a licensing arrangement with a French car company. By 1914, Opel was the largest manufacturer of automobiles in Germany. My Dad had an Opel in the seventies, a station wagon (we'd say ""estate car"" in Ireland) called an Opel Kadett."
RO_C,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when, as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be a part of the new school's curriculum."
ST_,"STL.    	The National League's St. Louis Cardinals were originally called the ""Brown Stockings"", changing their name to the ""Perfectos"" in 1899. That obviously didn't go down well with the locals, as they changed it one year later to the Cardinals."
_BO,"HBO.    	HBO's 'Game of Thrones' is a fantasy television drama that is adapted from a series of novels by George R. R. Martin called 'A Song of Ice and Fire'. 'Game of Thrones' is actually made in and around Belfast, Northern Ireland."
NO_,"NON.    	'Oui' is 'yes' in French, and 'non' is 'no'."
HB_,"HBO.    	HBO's 'Game of Thrones' is a fantasy television drama that was adapted from a series of novels by George R. R. Martin called 'A Song of Ice and Fire'. 'Game of Thrones' is actually made in Belfast, Northern Ireland."
IL_,"ILO.    	The ILO (International Labour Organization) is now an agency administered by the UN, but it was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
_IN,"LIN.    	The Civil Rights Memorial in Montgomery, Alabama remembers forty people who died over the years in the struggle for equal rights between the years 1954 (the year of the Brown v. Board of Education decision) and 1968 (the year Martin Luther King was assassinated). The memorial was designed by Maya Lin, whose most famous work is the Vietnam Veteran's Memorial in Washington, D.C."
_EE,"ZEE.    	X, Y, Z (ex, wye, zee)"
H_O,"HBO.    	'Boardwalk Empire' is an HBO drama series set in Atlantic City, New Jersey. The storyline is set in the 1920s and 1930s during the Prohibition Era. The star of the show is Steve Buscemi."
STA_,"STAT.    	When the game's being recapped, we usually hear loads of statistics."
AM_,"AMI.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
EST_S,ESTES.    	Estes Kefauver was a Democratic politician from Tennessee. In 1956 he was the running mate of Adlai Stevenson. The pair of course lost to the Eisenhower-Nixon ticket.
_ORA,"HORA.    	The hora (also ""horah"") is a circle dance that originated in the Balkans. The hora was brought to Israel by Romanian settlers, and is often performed to traditional Israeli folk songs. The dance is a regular sight at Jewish weddings."
IB_,"IBM.    	Watson is a program still in development at IBM. Watson is designed to answer questions that are posed in natural language, so that it should be able to interpret questions just as you and I would, no matter how the question is phrased. The program is named after the founder of IBM, Thomas J. Watson. Today's Watson competed in a few memorable episodes of 'Jeopardy!' in 2011 taking out two of the best players of the quiz show. That made for fun television ..."
T_S,TBS.    	Before Conan O'Brien came to fame as a late night talk show host he was a writer. He wrote for both 'Saturday Night Live' and 'The Simpsons'.
_AP,RAP.    	Snoop Lion is an alter-ego of rapper Snoop Dogg.
_EN,"BEN.    	The song ""Ben"" was recorded by Michael Jackson in 1972. The song was originally written for Donny Osmond, but as he wasn't available to record, it was offered to Michael Jackson. The song was written as the theme song for the 1972 horror film ""Ben"", the sequel to the icky but successful ""Willard"", a killer rat movie."
EA_T,EAST.    	Jet streams are narrow air currents high in the atmosphere that move very quickly around the earth. The major jet streams surrounding our planet move in a westerly direction.
I_M,"IBM.    	The origin of the IBM nickname ""Big Blue"" seems to have been lost in the mists of time. That said, maybe it has something to do with the fact that the IBM logo is blue, and almost every mainframe they produced was painted blue. I remember visiting IBM on business a few times in my career, and back then we were encouraged to wear white shirts and blue suits to ""fit in"" with our client's culture."
EDI_,"EDIE.    	Edie Adams was an all-round entertainer. She worked for many years on television with Ernie Kovacs and Jack Paar, marrying Ernie Kovacs in 1954. On the big screen she has a major supporting role in ""The Apartment"", and was one of the stars of ""It's a Mad, Mad, Mad, Mad World""."
O_ONO,"ORONO.    	The town of Orono is home to the University of Maine, founded in 1862. The college is actually located on an island (Marsh island) lying between the Penobscot and Stillwater rivers. The town of Orono is named after Joseph Orono, a chief of the Penobscot Nation."
N_VA,"NOVA.    	'Nova' is an excellent science television series on PBS. 'Nova' was created back in 1974, and was inspired by a very similar BBC show called 'Horizon', a show that I grew up with. Many 'Nova' episodes are actually co-productions with the BBC with an American narrator used for the PBS broadcasts and a British narrator for the BBC broadcasts."
N_E,"NYE.    	That would be ""Bill Nye the Science Guy"". Bill's show ran on Disney for 4 years from 1993-97. I was surprised to learn that Bill Nye was married briefly to Blair Tindall, the author of ""Mozart in the Jungle"". That's a great book, if anyone is interested ..."
RIT_,"RITA.    	The RITA Awards are presented by Romance Writers of America (RWA) to authors exhibiting excellence in the genre of romantic fiction. The RITA is named for the RWA's first president, Rita Clay Estrada."
AL_A,"ALMA.    	Alma College, in Alma, Michigan was founded by Michigan Presbyterians in 1886. The school has a Scottish heritage of which it is very proud. Alma has its own Scottish marching band, A Scottish dance troupe and even its own design of tartan."
TSETS_,"TSETSE.    	Tsetse flies live on the blood of vertebrate mammals. The name ""tsetse"" comes from Tswana, a language of southern Africa, and translates simply as ""fly"". Tsetse flies are famous for being carriers of the disease known as ""sleeping sickness"". Sleeping sickness is caused by a parasite which is passed onto humans when the tsetse fly bites into human skin tissue. If one considers all the diseases transmitted by the insect, then the tsetse fly is responsible for a staggering quarter of a million deaths each year."
N_VA,"NOVA.    	When I was growing up in Ireland I used to watch a wonderful BBC television science show called ""Horizon"", that had been on the air since 1964. In 1974, PBS struck a deal with the BBC to co-produce a very similar show for American audiences called ""Nova"". Often today, a ""Horizon"" show will simply be a ""Nova"" episode voiced over by an English narrator, and vice versa. Anyway, for my money, ""Nova"" is one of the best shows on television ..."
_YE,"RYE.    	There are conflicting stories about the origin of the Reuben sandwich. One is that it was invented by Arnold Reuben, a German-Jew who owned Reuben's Deli in New York around 1914."
MIS_,"MISO.    	Miso is the name of the seasoning that makes the soup. Basic miso seasoning is made by fermenting rice, barley and soybeans with salt and a fungus (!) to produce a paste. The paste can be added to stock to make miso soup, or perhaps to flavor tofu."
A_OM,"ATOM.    	The Emmy Awards are the television equivalent of the Oscars in the world of film, the Grammy Awards in music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
EN_,"ENA.    	Ena is Bambi's aunt in the 1942 Disney film 'Bambi'. The movie is based on the novel ""Bambi, A Life in the Woods"" written by Austrian author Felix Salten, first published in 1923."
_SS,"OSS.    	The Office of Strategic Services was formed during WWII in order to carry out espionage behind enemy lines. A few years after the end of the war the OSS functions were taken up by a new group, the Central Intelligence Agency, chartered by the National Security Act of 1947."
DE_,"DEB.    	Deb is short for ""debutante"", which translates from French as ""female beginner""."
M_N,"MSN.    	MSN was originally called The Microsoft Network, introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (the 9th most visited site on the Internet)."
ANIT_,"ANITA.    	On the animated TV comedy 'The Simpsons', Bart likes to prank call Moe's Tavern. Bart asks Moe to 'page' someone in the bar using a fictitious name, a name which sounds like a rude phrase when called out loud. This running joke on 'The Simpsons' is a homage to a series of legendary calls made in real life to the Tube Bar in Jersey City by John Elmo and Jim Davidson that were taped and circulated widely in the mid-seventies. Some of the milder names used in the original prank calls were:"
LE_I,LEVI.    	Levi Strauss was the founder of the first company in the world to manufacture blue jeans. Levi Strauss & Co. opened in 1853 in San Francisco. Strauss and his business partner were awarded a patent in 1873 for the use of copper rivets to strengthen points of strain on working pants.
I_O,"ILO.    	The ILO is the International Labour Organization, established by the League of Nations after WWI, and is now an agency administered by the UN. The ILO deals with important issues, such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
_DOL,"IDOL.    	Fox's ""American Idol"" is a spin-off show that was created after the amazing success of the British television show ""Pop Idol"". I can't abide either program(me) ..."
_BER,"UBER.    	Berlin is the capital and largest city in Germany, and is the second most populous city in the European Union (after London)."
AMI_,"AMIE.    	A male friend in France is ""un ami"", and a female friend is ""une amie""."
TA_C,"TALC.    	Talc is a mineral, actually hydrated magnesium silicate. Talcum powder is composed of loose talc, although these days ""baby powder"" is also made from cornstarch."
DE_,"DEB.    	Cotillion' is an American term that we've been using since about 1900 for a formal ball. In France a cotillion was a type of dance, with the term deriving from an Old French word for a petticoat. I guess the cotillion dance was one in which the lady would flash her petticoats as she did a twirl!"
D_T,"DDT.    	DDT is dicholorodiphenyltricholoroethane (don't forget now!). It was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
AN_A,"ANKA.    	Canadian-born Paul Anka's big hit was in 1957, the song entitled ""Diana"". Anka was the subject of a much-lauded documentary film in 1962 called ""Lonely Boy""."
_LUM,"ALUM.    	An 'alumnus' (plural ... alumni) is a graduate or former student of a school or college. The female form is 'alumna' (plural ... alumnae). The term comes into English from Latin, in which alumnus means foster-son or pupil. 'Alum' is an informal term used for either an alumna or an alumnus."
IDAH_,"IDAHO.    	The US state of Idaho has a panhandle that extends northwards between Washington and Montana, right up to the border with Canada. Across that border is the Canadian province of British Columbia. Most of Idaho is in the Mountain Time Zone, but Northern Idaho (the Panhandle) is in the Pacific Time Zone."
RO_A,"ROSA.    	In Spanish, Saint Valentine's Day is a usually translated as 'el Día de San Valentín'. Another possibility is 'el Día de los Enamorados', which translates literally as 'the day of those who have fallen in love'."
LIE_,"LIEN.    	A lien is the right that one has to retain or secure someone's property until a debt is paid. When an individual takes out a car loan, for example, the lending bank is usually a lien holder. The bank releases the lien on the car when the loan is paid in full."
EN_,"ENA.    	Princess Victoria Eugenie of Battenberg was the queen consort of King Alfonso XIII of Spain. Princess Beatrice was actually born in Scotland and given the Gaelic name for Eva, namely ""Eua"". Eua, was written on the official documents, but the clergyman presiding at the christening misread the name as ""Ena"". Her family stuck with ""Ena"", and it was adopted by the public."
ET_I,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported the design, and the word ""etui"", from French. The French also have a modern usage of ""etui"" ... a case for carrying CDs!"
A_T,ATT.    	The original AT&T Corporation was known as the American Telephone and Telegraph Company.
UT_E,"UTNE.    	The ""Utne Reader"" is known for aggregation and republishing of articles on politics, culture and the environment from other sources in the media. The ""Utne Reader"" was founded in 1984, with ""Utne"" being the family name of the couple that started the publication."
RY_,"RYE.    	Jim Beam is the world's biggest-selling brand of bourbon. Jim Beam whiskey has roots going back to around 1795 when Jacob Beam sold his first corn whiskey. The whiskey took on the name ""bourbon"", possibly after Bourbon County in Kentucky."
_TD,"LTD.    	There has been a lot of speculation about what the acronym LTD stands for in the car model known as ""Ford LTD"". Many say it stands for Luxury Trim Decor, and others that it is an abbreviation for ""limited"". Although the car was produced in Australia with the acronym meaning Lincoln Type Design, it seems LTD was originally chosen as just three meaningless letters that sound well together."
_EN,"REN.    	'Star Wars VII: The Force Awakens' is the seventh episode in the 'Star Wars' series of films. Some favorite characters return in 'Star Wars VII', including Han Solo (Harrison Ford), Luke Skywalker (Mark Hamill) and General Leia Organa (or 'Princess Leia' in earlier films, played by Carrie Fisher)."
RA_U,"RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name ""Ragu"" is the word for an Italian sauce used to dress pasta, however, the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
_GT,"SGT.    	Jack Webb played Sergeant Joe Friday on ""Dragnet"" on both TV and radio ... and what a voice he had! Off the screen Webb was a lover of jazz, and he played the cornet. It was within the world of jazz that he met and fell in love with Julie London, the famous singer with ""the smoky voice"". The couple married and had two kids together."
DEE_E,"DEERE.    	John Deere invented the first commercially successful steel plow in 1837. Prior to Deere's invention, farmers used an iron or wooden plow that constantly had to be cleaned as rich soil stuck to its surfaces. The cast-steel plow was revolutionary as its smooth sides solved the problem of 'stickiness'."
OM_I,"OMNI.    	Omni Hotels & Resorts is headquartered in Irvine, California and has properties in the US, Canada and Mexico."
SHE_,"SHEA.    	Shea Stadium in Flushing Meadows, New York was named after William A. Shea, the man credited with bringing National League baseball back to the city in the form of the New York Mets. Shea Stadium was dismantled (not imploded) in 2008-2009, and the site now provides additional parking for the new stadium nearby called Citi Field."
O_R,"OAR.    	The word 'gondola' was originally limited to the famous boats that travel along the canals of Venice. When man started to fly through the air in hot air balloons, 'gondola' was used for the basket in which the passenger(s) traveled. By extension, the structure carrying passengers and crew under an airship is also called a gondola, as are the cars suspended from a cable at a ski resort."
L_V,"LAV.    	The use of ""john"" as a slang term for a toilet is peculiar to North America. It probably comes from the older slang term of ""jack"" or ""jakes"" that has been around since the 16th century. In Ireland we still refer to a toilet as ""the jacks""."
OM_I,"OMNI.    	The Dodge Omni is basically the same car as the Plymouth Horizon, and was produced by Chrysler from 1978-90. The Omni is a front-wheel drive hatchback, the first in a long line of front-wheel drive cars that were very successful for Chrysler. The Omni was actually developed in France, by Chrysler's Simca division. When production was stopped in the US in 1990, the tooling was sold to an Indian company that continued production for the Asian market for several years."
STA_,"STAT.    	The exact etymology of ""stat"", a term meaning ""immediately"" in the medical profession, seems to have been lost in the mists of time. It probably comes from the Latin ""statim"" meaning ""to a standstill, immediately"". A blog reader has helpfully suggested that the term may also come from the world of laboratory analysis, where the acronym STAT stands for ""short turnaround time""."
_PEL,"OPEL.    	I think that someone is mixing up opals (the gems) and Opels (the cars), although I am usually wrong ..."
NOV_,NOVA.    	Nova lox is salmon that has been cured with a mild brine and then cold-smoked. The term originally applied to salmon from Nova Scotia.
_LE,"CLE.    	The Cleveland baseball franchise started out in 1869 as the Forest Citys named after Forest city, the nickname for Cleveland. After a number of transitions, in 1914 the team took on the name ""Indians"". The media came up with name ""Indians"" after being asked for suggestions by the team owners. ""Indians"" was inspired by the successful Boston team of the day, the Boston Braves."
E_N,EIN.    	The title of Richard Strauss' tone poem 'Ein Heldenleben' translates into English as 'A Hero's Life'.
D_B,"DEB.    	Deb is short for ""debutante"", translating from French as ""female beginner""."
_AP,"RAP.    	Macklemore is the stage name of rap artist Ben Haggerty from Seattle, Washington."
