_RE,"TRE.    	In Italian, one sixth of eighteen (diciotto) is three (tre)."
NE_,NES.    	The acronym Super NES stands for Super Nintendo Entertainment System. The kids probably have one somewhere ...
S_A,SPA.    	Luxe is another word for luxury. The term came into English via French from the Latin 'luxus' meaning luxury.
_RO,SRO.    	Standing Room Only.
STE_,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
T_A,"TSA.    	The Transportation Security Administration (TSA) was of course created in 2001, soon after the 9/11 attacks."
AS_E,"ASHE.    	The Arthur Ashe Stadium in Queens, New York opened in 1997 and is the largest outdoor, tennis-only venue in the world. The stadium is sometimes criticized for not having a retractable dome to protect the playing surface from inclement weather."
_OO,"ROO.    	Kanga is a friend of A. A. Milne's 'Winnie-the-Pooh', and is a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
T_E,"TRE.    	The Italian flag has three (tri) colors (colori), green white and red."
_NO,"UNO.    	In my youth I remember being taught a great card game, by a German acquaintance of mine, called Mau Mau. Years later I discovered that Uno is basically the same game, but played with a purpose-printed deck instead of the regular deck of playing cards that's used for Mau Mau. I hear that Mau Mau is derived from the game called Crazy Eights."
TR_,"TRE.    	'One, two, three' in Italian is ""uno, due, tre""."
TS_R,"TSAR.    	The former Soviet Union (USSR) was created in 1922, not long after the Russian Revolution of 1917 that overthrew the Tsar. Geographically, the new Soviet Union was roughly equivalent to the old Russian Empire, and was comprised of fifteen Soviet Socialist Republics (SSRs)."
SST_,"SSTS.    	SuperSonic Transports, like the Concorde, broke Mach 1, the speed of sound. They're all grounded now."
_TE,RTE.    	A Global Positioning System (GPS) might point out a route (rte.).
T_A,"TSA.    	The Transportation Security Administration (TSA) was created in 2001, soon after the 9/11 attacks."
AR_S,"ARES.    	The Greek god Ares is indeed bellicose. He is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter."
K_N,"KEN.    	Barbie's counterpart doll is Ken, and Ken's family name is Carson. Barbie's full name is Barbie Millicent Roberts. When Ken was introduced in 1959, it was as Barbie's boyfriend. In 2004 it was announced that Ken and Barbie were splitting up, and needed to spend quality time apart. Both dolls are still available for purchase though."
KE_,"KEN.    	The famous Barbie doll was created by businesswoman Ruth Handler and first appeared on store shelves in 1959. Barbie was based on a German fashion doll called Bild Lilli that was introduced in 1955. Lilli had been a German cartoon character before taking on a three-dimensional form. Prior to the introduction of Bild Lilli and Barbie, children's dolls were primarily representations of infants."
S_A,"SPA.    	The word ""spa"" comes to us from Belgium, as Spa is the name of a health resort there. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
IS_E,"ISLE.    	The Isle of Wight is the largest island in England, and lies about five miles off the south coast of the country."
R_E,RTE.    	Route (rte.)
P_I,"PSI.    	In the world of parapsychology, the Greek letter psi refers to the phenomena known as extrasensory perception and psychokinesis."
A_NA,ANNA.    	'Frozen' is a 2013 animated feature from Walt Disney Studios that is based on the Hans Christian Andersen fairy tale 'The Snow Queen'.
K_N,"KEN.    	Ken Berry is an actor, singer and dancer from Moline, Illinois. Berry is most associated with his role as single parent Sam Jones on television's 'Mayberry RFD'. Berry led the cast of this 'Andy Griffiths Show' spin-off, in effect taking over from Andy Griffith when he decided to leave the original show."
_OO,"ROO.    	Like most of the characters in A. A. Milne's 'Winnie-the-Pooh', Roo was inspired by a stuffed toy belonging to Milne's son Christopher Robin."
E_RU,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
K_N,"KEN.    	Ken Burns directs and produces epic documentary films that usually make inventive use of archive footage. Recent works are the sensational ""The War"" (about the US in WWII) and the magnificent ""The National Parks: America's Best Idea"". Burns' latest offering is 2014's 'The Roosevelts'."
A_A,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
EL_E,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the highest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she""."
_ASA,"NASA.    	The Nimbus program involved the launching of seven weather satellites starting back in 1964, with launches continuing over the next fourteen years. The satellites led to huge advances in weather forecasting, as well as understanding of solar radiation hitting the planet, the ozone layer, and distribution of sea ice. The Nimbus satellites also provided an early form of global positioning that was used in search and rescue. Cool program ..."
T_A,"TSA.    	The Transportation Security Administration (TSA) was of course created in 2001, soon after the 9/11 attacks."
_ST,SST.    	Very clever wording!
_RO,SRO.    	Standing Room Only (SRO).
LA_,"LAS.    	Gran Canaria, or Grand Canary Island, may be grand but it isn't quite as big as Tenerife, the largest island of the group and the most populated. The capital of Gran Canaria is Las Palmas, a port of call for Christopher Columbus in 1492 on his way to the Americas."
ALO_,"ALOE.    	Aloe vera has a number of names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
E_S,EDS.    	Editorials (eds.)
_OO,"LOO.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when homeowners started installing toilets indoors they often displaced clothes and linens in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure. Another suggestion is that the term comes from the card game of ""lanterloo"" in which the pot was called the loo!"
_NEA,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
TS_R,"TSAR.    	Boris Godunov was the Tsar of Russia from 1598 to 1605. He is perhaps better known these days because of the artistic works that are based on his life. Alexander Pushkin wrote the play ""Boris Godunov"", partially using Shakespeare's ""Macbeth"" to structure the storyline of Godunov's life. Modest Mussorgsky then wrote a famous opera ""Boris Godunov"", based on the Pushkin play."
O_EA,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
OR_,ORO.    	'Oro' is Spanish for 'gold'.
NE_,NES.    	The Nintendo Entertainment System (NES) was sold in North America from 1985 to to 1995. The NES was the biggest selling gaming console of the era.
RO_,"ROO.    	Kanga is a friend of A. A. Milne's 'Winnie-the-Pooh', and is a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
OT_O,"OTTO.    	Sgt. Snorkel ('Sarge') is Beetle Bailey's nemesis in the cartoon strip that bears his name. Snorkel has a dog called Otto that he dresses up to look just like himself. Otto started off as a regular dog, but artist Mort Walker decide to draw him more like his owner, and soon Otto became a big hit."
ONE_,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
IR_NE,"IRENE.    	'Me, Myself & Irene' is a 2000 comedy film starring Jim Carrey ('Me' and 'Myself') and Renée Zellweger (Irene). The movie is a perfect vehicle for Carrey as his character is a state trooper who develops a second personality after a psychotic breakdown. You can just imagine how Jim Carrey plays that extra, unrepressed persona!"
S_L,"SAL.    	Sal ammoniac is a mineral made up of ammonium chloride. It is fairly rare as it is very soluble in water and is quite soft. It is most often found around volcanic vents. Sal ammoniac used to be an ingredient in cookies, making them very crispy."
_EN,"KEN.    	Ken Kesey wrote the novel ""One Flew Over the Cuckoo's Nest"". Kesey was one of a group of friends who called themselves the ""Merry Pranksters"", a bunch of guys who were associated with the likes of Jack Kerouac, Allen Ginsberg and Timothy Leary, all icons of the Beat Generation."
A_OE,"ALOE.    	Aloe vera has a number of names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
AJA_,"AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
AGE_,AGEE.    	Philip Agee was a CIA case officer who left the agency and then wrote a tell-all book in 1975 about his experiences 'Inside the Company'.
S_O,SRO.    	Standing Room Only (SRO).
SP_,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name ""spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
UN_,UNO.    	'Uno' is Spanish for 'one'.
SP_,SPA.    	Manicure & pedicure (mani-pedi)
E_RU,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
A_HE,"ASHE.    	The Arthur Ashe Stadium in Queens, New York opened in 1997 and is the largest outdoor, tennis-only venue in the world. The stadium is sometimes criticized for not having a retractable dome to protect the playing surface from inclement weather."
_NEA,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System. In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
ASI_,"ASIA.    	Istanbul is the only metropolis in the world that is situated in two continents. The city extends both on the European side of the Bosphorus, and on the Asian side."
O_AR,"OMAR.    	Omar Sharif is the great Hollywood actor from Egypt, who played such memorable roles in the movies ""Doctor Zhivago"" and ""Lawrence of Arabia"". But to me he is my bridge hero (the card game). In his heyday he was one of the best players in the world."
S_T,"SST.    	The most famous SuperSonic Transport (SST) was the Concorde, all of which are now grounded. Concorde had that famous ""droop nose"". The nose was moved to the horizontal position during flight to create the optimum aerodynamic shape thereby reducing drag. The nose was lowered during taxi, takeoff and landing, so that the pilot had better visibility. The need for the droop nose was driven largely by the delta-shaped wings on Concorde. The delta wing necessitates a higher angle of attack at takeoff and landing than conventional wing designs, so the pilot needed the nose lowered so that he or she could see the ground."
_SSO,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of 'Standard' and 'Oil' (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
EDA_,"EDAM.    	One cheese that is recognized by its coating is Edam. Edam cheese takes the name after the Dutch town of Edam in North Holland. It is famous for its coating of red paraffin wax, a layer of protection that helps it travel well and prevents spoiling. You might occasionally come across an Edam cheese that is coated in black wax. This means that the underlying cheese has been aged for a minimum of 17 weeks."
_MA,"AMA.    	The American Medical Association was founded in 1847, at the Academy of Natural Sciences in Philadelphia. The first female member joined in 1868, but the first African American members weren't allowed to join until 1968."
LO_,"LOO.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when toilets started to be installed indoors they often displaced clothes in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure."
LA_,LAS.    	Jalisco is a state on the central-west coast of Mexico. The capital city of Jalisco is Guadalajara.
L_S,"LAS.    	""Leaving Las Vegas"" is a 1995 film starring Nicolas Cage as a suicidal alcoholic who tries to drink himself to death in Las Vegas, befriending a prostitute played by Elisabeth Shue along the way. The film is based on a semi-autobiographical novel of the same name written by John O'Brien. Two weeks into production of the movie, O'Brien actually did commit suicide."
ESS_,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company, as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US but it is still used in many other countries."
AN_A,"ANNA.    	Anna Wintour is fashion editor in Britain, and is also the editor-in-chief of American ""Vogue"". Lauren Weisberger wrote the book ""The Devil Wears Prada"", with the tyrannical main character apparently based on Wintour."
_TTA,"ETTA.    	Etta James was best known for her beautiful rendition of the song ""At Last"". Sadly, as she disclosed in her autobiography, James lived a life that was ravaged by drug addiction leading to numerous legal and health problems. Ms. James passed away in January 2012 having suffered from leukemia."
ISL_,"ISLE.    	The Isle of Man is a large island located in the middle of the Irish Sea between Great Britain and Ireland. I used to spend a lot of time there in my youth, and a very interesting place it is indeed. The Isle of Mann is classed as a British Crown Dependency, and isn't part of the United Kingdom at all. It is self-governing and has its own parliament called the Tynwald. The Tynwald was created in AD 979, and is arguably the oldest continuously running parliament in the world. The inhabitants of the island speak English, although they do have their own language called Manx, which is very similar to Irish Gaeilge and Scottish Gaelic. And then there are the Manx cats, the ones without any tails. I've seen lots of them, and can attest that they are found all over the island."
ELL_,"ELLE.    	Cherbourg lies on the northern coast of France, a port on the English Channel. Interestingly, the wreck of the Confederate States of America warship CSS Alabama was recently discovered just outside the port. The Alabama was sunk by the Union cruiser Kearsarge in 1864, after she left the port of Cherbourg to engage the Kearsarge who was lying in wait offshore."
ONE_,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
_LLE,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the highest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she"". 'Elle' is published monthly worldwide, although you can pick up a weekly edition if you live in France."
I_IS,IRIS.    	The iris is the colored part of the eye that has an aperture in the center which can open or close depending on the level of light hitting the eye.
E_S,ESS.    	ESS/SSE
S_ET,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
AJA_,"AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
A_NA,"ANNA.    	Anna Paquin is an actress from New Zealand who won an Oscar as an 11-year-old for her role in ""The Piano"". In the HBO series ""True Blood"" she plays Sookie Stackhouse, a role for which she won a Golden Globe."
SS_,"SST.    	The most famous SuperSonic Transport (SST) was the Concorde, a plane that's no longer flying. Concorde had that famous ""droop nose"". The nose was moved to the horizontal position during flight to create the optimum aerodynamic shape thereby reducing drag, and was lowered during taxi, takeoff and landing, so that the pilot had better visibility. The need for the droop nose was driven largely by the delta-shaped wings. The delta wing necessitates a higher angle of attack at takeoff and landing than conventional wing designs, so the pilot needed the nose lowered so that he or she could see the ground."
_RLO,"ARLO.    	The Good Dinosaur"" is a Pixar movie that premiered in Paris on November 14th, 2015 under the title 'Le Voyage d'Arlo'."
SS_,"SST.    	The delta wing (triangular shaped) is often the choice for supersonic aircraft of all sizes, including the large SuperSonic Transports like the Concorde."
_AL,"SAL.    	The song ""Fifteen Miles on the Erie Canal"" was written in 1905. The lyrics are nostalgic and look back to the days when traffic on the canal was pulled by mules, bemoaning the introduction of the fast-moving engine-powered barges."
_CRU,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
_ES,NES.    	The acronym Super NES stands for Super Nintendo Entertainment System. The kids probably have one somewhere ...
N_S,NES.    	The acronym Super NES stands for Super Nintendo Entertainment System. Our kids probably have one somewhere ...
_DS,EDS.    	Editor (ed.)
E_SO,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company, as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US but it is still used in many other countries around the world."
IRE_E,"IRENE.    	The character Irene Adler only appeared in one of the Sherlock Holmes stories by Sir Arthur Conan Doyle. In that story, 'A Scandal in Bohemia', Holmes expresses remarkable admiration for Adler as a woman and as a foe. As a result, derivative works in the Holmes genre often feature Adler as something of a romantic interest for Sherlock."
_PA,"SPA.    	The word 'spa' migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name 'Spa' comes from the Walloon word 'espa' meaning 'spring, fountain'."
A_OE,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
PS_,"PSI.    	'Water potential' is a concept in physics, the tendency of water to move from one system into another. For example, water tends to move from a more 'watery' cell in a plant to a less 'watery' cell, attempting to balance out the concentration of water in each. This tendency is what drives water throughout a plant, for example."
AR_O,"ARLO.    	Arlo Guthrie is the son of Woody Guthrie. Both father and son are renowned for their singing of protest songs about social injustice. Arlo is most famous for his epic 'Alice's Restaurant Massacree', a song that lasts a full 18m 34s. In the song Guthrie tells how, after being drafted, he was rejected for service in the Vietnam War based on his criminal record. He had only one incident on his public record, a Thanksgiving Day arrest for littering and being a public nuisance when he was 18-years-old."
ID_,"IDA.    	Ida Morgenstern is a character on the seventies sitcom 'Rhoda'. Ida is the mother of the title character, Rhoda Morgenstern. Ida was played by Nancy Walker, and Rhoda by Valerie Harper."
_TRA,"ATRA.    	The Atra was introduced by Gillette in 1977, and sold as the Contour in some markets, and its derivative products are still around today."
SA_,"SAL.    	The song ""Fifteen Miles on the Erie Canal"" was written in 1905. The lyrics are nostalgic and look back to the days when traffic on the canal was pulled by mules, bemoaning the introduction of the fast-moving engine-powered barges. The first line is ""I've got an old mule and her name is Sal""."
_AS,"LAS.    	Back in the 1800s, the Las Vegas Valley was given its name from the extensive meadows (""las vegas"" is Spanish for ""the meadows"") present in the area courtesy of the artesian wells drilled by local farmers. Las Vegas was incorporated as a city in 1905, in the days when it was a stopping-off point for pioneers travelling west. It eventually became a railroad town, although with the coming of the railroad growth halted as travelers began to bypass Las Vegas. The city's tourism industry took off in 1935 with the completion of the nearby Hoover Dam, which is still a popular attraction. Then gambling was legalized, and things really started to move. Vegas was picked, largely by celebrated figures in ""the mob"", as a convenient location across the California/Nevada state line that could service the vast population of Los Angeles. As a result, Las Vegas is the most populous US city founded in the 20th century (Chicago is the most populous city founded in the 19th century, just in case you were wondering)."
RE_,"REA.    	Stephen Rea is an Irish actor, whose most famous role was that of the ""retired"" IRA man in the brilliant 1992 film ""The Crying Game"". He also starred in the chilling movie ""Stuck"", a 2007 film that is based on a true story about a woman who commits a hit and run on a homeless man. The woman leaves the scene of the crime with the victim still ""stuck"" in her windshield. The woman then leaves the man to die in her garage. Chilling, eh? But as I said, a true story ..."
D_E,"DRE.    	Dré Bly is a football cornerback who won a Super Bowl ring with the St. Louis Rams in the year 2000. Bly's real name is Donald André Bly, hence the nickname ""Dré""."
_SHA,"OSHA.    	The Occupational Safety and Health Administration was created in 1970 during the Nixon administration. OSHA regulates workplaces in the private sector. OSHA regulates just one government agency, the US Postal Service."
S_L,"SAL.    	""My Gal Sal"" is a song written by composer Paul Dresser. ""My Gal Sal"" is also the name of the movie recounting Dresser's life made in 1942. It stars Victor Mature as Dresser, and Rita Hayworth as Sally ""Sal"" Elliott."
ET_A,"ETTA.    	Etta James was best known for her beautiful rendition of the song 'At Last'. Sadly, as she disclosed in her autobiography, James lived a life that was ravaged by drug addiction leading to numerous legal and health problems. Ms. James passed away in January 2012 having suffered from leukemia."
ES_O,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the North America, but ESSO is still used in many other countries."
IS_E,"ISLE.    	I had a lovely two-week vacation in Tuscany once, including what was supposed to be a two-night stay on the island of Elba. I had envisioned Elba as a place full of history, and maybe it is, but it is also overrun with tourists who use it as a beach getaway. We left after one day and we won't be going back ..."
T_E,"TRE.    	In Italian, tre (three) precedes quattro (four)."
_RLO,"ARLO.    	Arlo Guthrie was the first performer at Woodstock, followed by Joan Baez."
AR_S,"ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter."
A_HE,ASHE.    	Samuel Ashe was the Governor of North Carolina from 1795 to 1798. North Carolina's Ashe County and the cities of Asheboro and Asheville are named in his honor.
P_I,PSI.    	The Greek letter 'psi' is used as a symbol for the fields of psychology and psychiatry.
_SSO,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
ST_T,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
_PA,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
_AL,"SAL.    	Sal Paolantonio is a reporter for ESPN based in Phildelphia, mostly associated with coverage of the Philadelphia Eagles, New York Giants and the New York Jets."
AM_,AMA.    	American Medical Association (AMA)
_RE,"DRE.    	Beats by Dre is a brand of audio products made by Beats Electronics, a company that was co-founded by rapper Dr. Dre. Apple bought Beats for $3 billion in 2014, the largest acquisition by far in the company's history."
_DAM,"EDAM.    	One cheese that is recognized by its coating is Edam. Edam cheese takes the name after the Dutch town of Edam in North Holland. It is famous for its coating of red paraffin wax, a layer of protection that helps it travel well and prevents spoiling. You might occasionally come across an Edam cheese that is coated in black wax. This means that the underlying cheese has been aged for a minimum of 17 weeks."
_PERA,"OPERA.    	Teatro La Fenice is a famous opera house in Venice, Italy. The current building was opened in 2003, replacing a prior structure destroyed by arson in 1996. The older building was itself a replacement of another theater building destroyed by fire in 1836. Perhaps quite fittingly, ""fenice"" is the Italian for ""phoenix""."
A_EC,"ALEC.    	Alec Waugh was the older brother of the more famous Evelyn Waugh. Both were successful novelists (Evelyn of ""Brideshead Revisited"" fame), but what I like about Alec is that he supposedly invented the cocktail party. He invited his friends around ""for tea"" in the twenties, and served them all rum swizzles instead!"
TS_R,"TSAR.    	The Winter Palace is a magnificent building in St. Petersburg in Russia, home to the Russian tsars (and tsarinas). The Winter Palace houses the famous Hermitage Museum. I was lucky enough to visit the Palace and museum some years ago, and I have to say that I have rarely been more impressed by a historical building."
ARA_,"ARAL.    	The Aral Sea is great example of how man can have a devastating effect on the environment. In the early sixties the Aral Sea covered 68,000 square miles of Central Asia. Soviet Union irrigation projects drained the lake to such an extent that today the total area is less than 7,000 square miles, with 90% of the lake now completely dry. Sad ..."
RO_,"ROO.    	Like most of the characters in A. A. Milne's ""Winnie the Pooh"", Roo is based on one of his son's (Christopher Robin Milne) stuffed toys."
ENY_,"ENYA.    	Enya's real name is Eithne Patricia Ní Bhraonáin, which can translate from the Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career. And she sure does turn up a lot in crosswords!"
ELL_,ELLE.    	The Elle Style Awards have been presented annually since 2002 by 'Elle' magazine.
R_O,"ROO.    	Like most of the characters in A. A. Milne's ""Winnie the Pooh"", Roo is based on one of Christopher Robin Milne's stuffed toys (Christopher Robin was Milne's son)."
_SLE,"ISLE.    	The Isle of Man is a large island located in the middle of the Irish Sea between Great Britain and Ireland. I used to spend a lot of time there in my youth, and a very interesting place it is indeed. The Isle of Man is classed as a British Crown Dependency, and isn't part of the United Kingdom at all. It is self-governing and has its own parliament called the Tynwald. The Tynwald was created in AD 979, and is arguably the oldest continuously-running parliament in the world. The inhabitants of the island speak English, although they do have their own language as well called Manx, which is very similar to Irish Gaeilge and Scottish Gaelic. And then there are the Manx cats, the ones without any tails. I've seen lots of them, and can attest that they are found all over the island."
KE_,"KEN.    	Ken' is a noun meaning 'understanding, perception'. One might say, for example, 'half the clues in Saturday's crossword are beyond my ken, beyond my understanding'."
_DA,"IDA.    	The US state of Idaho has a panhandle that extends northwards between Washington and Montana, right up to the border with Canada. Across that border is the Canadian province of British Columbia. Most of Idaho is in the Mountain Time Zone, but Northern Idaho (the Panhandle) is in the Pacific Time Zone."
NAS_,"NASA.    	The Soviet Union launched the Sputnik satellite towards the end of 1957, a development that shocked the establishment in the US. Within months, President Eisenhower made his move, creating the Advanced Research Projects Agency (ARPA, now DARPA) and the National Aeronautics and Space Administration (NASA)."
NE_,NES.    	The Nintendo Entertainment System (NES) was sold in North America from 1985 to to 1995. The NES was the biggest selling gaming console of the era.
UT_,"UTE.    	The Ute is a group of Native American tribes that now resides in Utah and Colorado. The Ute were not a unified people as such, but rather a loose association of nomadic groups."
_SHA,"OSHA.    	The Occupational Safety and Health Administration was created in 1970 during the Nixon administration. OSHA regulates workplaces in the private sector only, the one exception being the US Postal Service."
A_ES,"ARES.    	The Greek god Ares is indeed bellicose. He is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter."
ATR_,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. It was sold as the Contour in some markets and its derivative products are still around today."
ECR_,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
TA_,"TAO.    	The Chinese character ""tao"" translates as ""path"", but the concept of Tao signifies the true nature of the world."
D_A,"DNA.    	I've always been fascinated by the fact that the DNA of living things is so very similar across different species. Human DNA is almost exactly the same for every individual (to the degree of 99.9%). However, those small differences are sufficient to distinguish one individual from another, and to determine whether or not individuals are close family relations."
_RENE,"IRENE.    	Me, Myself & Irene' is a 2000 comedy film starring Jim Carrey ('Me' and 'Myself') and Renée Zellweger (Irene). It's a perfect vehicle for Carrey, as his character is a state trooper who develops a second personality after a psychotic breakdown. You can just imagine how Jim Carrey plays that extra, unrepressed persona!"
D_E,"DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is perhaps as well known for his own singing career as he is for producing records and starting the careers of others such Snoop Dog, Eminem and 50 Cent."
TS_R,"TSAR.    	By definition, an anarchist is someone who feels that government is oppressive and should be gotten rid of. Anarchists stood side-by-side with the Bolsheviks in the February Revolution of 1917 that led to the abdication of Tsar Nicholas II and the end of the Russian Empire."
SR_,SRO.    	Standing room only (SRO)
ENO_,"ENOS.    	Enos, as the son of Seth, was the grandson of Adam and Eve."
_RO,"ORO.    	""Oro y Plata"" means ""gold and silver"", and is the state motto of Montana. The motto was written in Spanish, solely because ""it had a nice ring to it""."
ATR_,"ATRA.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
_RAL,"ARAL.    	The Aral Sea is another great example of how man can have a devastating effect on the environment. In the early sixties the Aral Sea covered 68,000 square miles of Central Asia. Soviet Union irrigation projects drained the lake to such an extent that today the total area is less than 7,000 square miles, with 90% of the lake now completely dry. Sad ..."
_OO,"ROO.    	Kanga is a friend of Winnie-the-Pooh, and is a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
E_YA,"ENYA.    	Enya's real name is Eithne Ní Bhraonáin, which can translate from Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career. She sure does turn up a lot in crosswords!"
_NT,"ENT.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
RO_,"ROO.    	The name 'kangaroo' comes from the Australian Aborigine term for the animal. There's an oft-quoted story that James Cook (later Captain Cook) asked a local native the name of this remarkable looking animal, and the native responded with 'kangaroo'. The story is that the native was actually saying 'I don't understand you', but as cute as that tale is, it's just an urban myth."
P_I,PSI.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
