Sautéed seafood dish.   		6 letters,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
Field of three Nobel Prizes: Abbr..   		3 letters,"SCI.    	The Peace Prize is the most famous of the five prizes bequeathed by Alfred Nobel. The others are for Physics, Chemistry, Physiology or Medicine, and Literature. There is also a Nobel Prize in Economics that is awarded along with the original five, but it is funded separately and is awarded ""in memory of Alfred Nobel"". Four of the prizes are awarded by Swedish organizations (Alfred Nobel was a Swede) and so the award ceremonies take place in Stockholm. The Peace Prize is awarded by the Norwegian Nobel Committee, and that award is presented in Oslo."
Puerto Rico's Museum City.   		5 letters,PONCE.    	The city of Ponce in Puerto Rico earned the nickname 'Museum City' because it has many quality museums.
Fake chocolate.   		5 letters,"CAROB.    	The carob is a tree or shrub in the pea family, mainly grown for its seed pods. The carob seeds are dried or roasted, and when powdered or chipped make a good substitute for chocolate."
Jam session feature.   		4 letters,"SOLO.    	The use of ""jam"", to mean an improvised passage performed by a whole jazz band, dates back to the late twenties. This gave rise to ""jam session"", a term used a few years later. The use of ""jam"" in this context probably stems from the meaning of ""jam"" as something sweet, something excellent."
Furniture material.   		4 letters,"TEAK.    	Teak is a hardwood tree in the mint family, commonly found in monsoon forests of Asia."
Martha a k a the Big Mouth.   		4 letters,"RAYE.    	Martha Raye was a comic actress as well as a singer. Strangely enough, Raye was famous for the size of her mouth, something that she used to her own advantage. As her nickname was ""The Big Mouth"", she made a little money appearing in commercials for the Polident denture cleaner in the eighties. Her line was, ""So take it from the Big Mouth: new Polident Green gets tough stains clean!"""
"""Bill & ___ Excellent Adventure"".   		4 letters","TEDS.    	Bill & Ted's Excellent Adventure' is a 1989 comedy sci-fi film, starring Alex Winter as Bill and Keanu Reeves as Ted."
What it must do.   		3 letters,"TAG.    	In the schoolyard game, if you're ""it"" you'd better go tag someone."
Nut with caffeine.   		4 letters,"KOLA.    	The nut of the kola tree has a bitter taste, and is loaded with caffeine. So, despite the taste, the nut is habitually chewed in some cultures, especially in West Africa where the tree is commonly found in the rainforest. Of course in the US we best know the kola nut as a flavoring used in cola drinks."
Capone henchman.   		5 letters,"NITTI.    	Frank Nitti was one of the top henchmen working for Al Capone. Unlike Capone, who was born in Brooklyn, New York, Nitti was actually born in Italy, near the city of Salerno. When Capone was eventually put away for 11 years for tax evasion, Netti was convicted of the same crime. Nitti was only imprisoned for 18 months, and when released he was labelled as the new head of Capone's Chicago Outfit. However the truth seems to be that he was just a front man, with others making the decisions."
Casey of radio countdowns.   		5 letters,"KASEM.    	Not only is Casey Kasem closely associated with the radio show ""American Top 40"", but he is also well known for playing the voice of Shaggy Rogers on the ""Scooby-Doo"" animated series."
"""___ that"".   		5 letters","ROGER.    	The term 'roger', meaning 'yes' or 'acknowledged', comes from the world of radio-telephony. The British military used a phonetic alphabet in the fifties that included Roger to represent the letter 'R'. As such, it became customary to say 'Roger' when acknowledging a message, with R (Roger) standing for 'received'."
"""No, No"" girl of Broadway.   		7 letters","NANETTE.    	The 1925 musical ""No, No, Nanette"" spawned two famous songs, ""Tea for Two"" and ""I Want to Be Happy""."
"Daniel who wrote ""Robinson Crusoe"".   		5 letters","DEFOE.    	When Daniel Defoe wrote his marvelous 1719 novel called ""Robinson Crusoe"", he was likely thinking of real-life Scottish castaway, Alexander Selkirk. Selkirk lived alone on the Pacific Island called ""Mas a Tierra"" off the coast of Chile, for four years. The island was officially renamed in 1966, and is now called Robinson Crusoe Island."
Burglar in detective stories.   		4 letters,"YEGG.    	Yegg is a slang word for a burglar, and in particular a safe-cracker. The origin of the term appears to be unknown."
Very wise one.   		6 letters,"ORACLE.    	In Ancient Greece and Rome, an oracle was someone believed to give wise counsel, inspired by the gods. The word ""oracle"" derives from the Latin ""orare"" meaning ""to speak"", with is the same root for our word ""orator""."
N.A.A.C.P. part: Abbr..   		5 letters,"ASSOC.    	The full name of the NAACP, the National Association for the Advancement of Colored People, is remarkable in that it actually still uses the old but offensive term ""colored people"". The NAACP was founded in 1909, by three white people: suffragette and journalist Mary White Ovington, wealthy socialist William English Walling, and civil rights activist Henry Moscowitz."
"They, in Calais.   		3 letters","ILS.    	""Ils"" is the French word for they, when referring to masculine nouns. ""Elles"" is the word used for feminine nouns."
Shanghai's ___ 2010.   		4 letters,"EXPO.    	Expo 2010 started in Shanghai on May 1st, 2010, the biggest World Expo in history, with 190 countries participating."
Substitute currency.   		5 letters,"SCRIP.    	Scrip isn't legal tender, but operates just like currency in specific applications. It is in effect a form of credit. Originally the word 'scrip' was used for a certificate giving one the right to receive something, often shares of a stock. 'Scrip' is probably short for (sub)script(ion) receipt."
Equivalent of five houses in Monopoly.   		5 letters,"HOTEL.    	The commercial game of Monopoly is supposedly a remake of ""The Landlord's Game"" created in 1903 by a Quaker woman called Lizzie Phillips. Phillips used her game as a tool to explain the single tax theory of American economist Henry George. The Landlord's Game was first produced commercially in 1924. The incredibly successful derivative game called Monopoly was introduced in 1933 by Charles Darrow, who became a very rich man when Parker Brothers bought the rights to the game just two years later in 1935."
Heroic exploit.   		4 letters,"GEST.    	Our word ""gest"" meaning a great deed or an exploit has been around since about 1300, and comes from the Old French word ""geste"" meaning the same thing. These days ""geste"" can also mean ""gesture""."
Ex-Spice Girl Halliwell.   		4 letters,"GERI.    	Geri Halliwell was called Ginger Spice because of her red hair when she was with the Spice Girls, although as she was quite a bit older than the rest of the group, she was less charitably sometimes referred to as ""Old Spice""."
Disney title character surnamed Pelekai.   		4 letters,"LILO.    	""Lilo & Stitch"" was released by Disney in 2002. Compared to other Disney feature-length cartoons, ""Lilo & Stitch"" was relatively cheaply produced, using the voices of lesser-known actors. One interesting change had to take place in the storyline during production, when Lilo was meant to fly a Jumbo Jet through downtown Honolulu in one sequence. This was replaced with a sequence using a spaceship instead, as the producers were sensitive to public sentiment after the September 11 attacks."
Ruin.   		4 letters,BANE.    	A bane is a source of persistent annoyance.
Dexterous.   		6 letters,"ADROIT.    	The French for ""to the right"" is ""à droit"", from which we get our word ""adroit"". The original meaning of ""adroit"" was ""rightly, properly"", but it has come to mean dexterous and skillful."
Barrel support.   		5 letters,"STAVE.    	The word ""stave"" was originally the plural of ""staff"", a wooden rod. To ""stave off"" originated with the concept of holding off with a staff. In the world of barrel-making, a stave is a narrow strip of wood that forms part of a barrel's sides."
British P.M.   		6 letters,"ATTLEE.    	Clement Attlee served was leader of Britain's Labour Party and served as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill, and was responsible for major changes not only Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, and the state of Israel was formally created the very next day."
Military hat.   		4 letters,KEPI.    	A kepi is that circular cap with a visor that's worn in particular by the French military.
King on un trono.   		3 letters,"REY.    	In Spanish, a king (rey) sits on a throne (un trono)."
"""The Faerie Queene"" character.   		5 letters","IRENA.    	""The Faerie Queene"" is an epic poem by Edmund Spenser, and one of the longest poems written in English."
Willow whose twigs are used in basketry.   		5 letters,"OSIER.    	Most willows (trees and shrubs of the genus Salix) are called just that, willows. Some of the broad-leaved shrub varieties are called sallow, and the narrow-leaved shrubs are called osier."
Raspberry.   		4 letters,"JEER.    	Not so much here in America, but over in the British Isles ""blowing a raspberry"" is a way of insulting someone (I think it's called ""a Bronx cheer"" here in the US)."
Sapporo competitor.   		5 letters,"ASAHI.    	Asahi is Japanese for ""morning sun"". The usage here is as a brand name of beer. Asahi introduced a ""dry beer"" in 1987, igniting a craze that has rocketed Asahi to the number one ranking beer producer in Japan, with Sapporo now number two."
"Sticks up for, maybe?.   		5 letters","ABETS.    	Cleverly worded clue ... someone who helps out in a ""stick up"", a crime, is said to ""abet""."
___ Bonn Airport.   		4 letters,"KOLN.    	Cologne is the fourth largest city in Germany, and is called 'Koln' in German."
Grandson of Adam.   		5 letters,"ENOCH.    	Enoch was the son of Cain, according to the Bible. After Cain was condemned to wander the earth after killing his brother, he was eventually forgiven and allowed to build a city. Cain named the city Enoch, after his son."
It's just under 8: Abbr..   		4 letters,OPER.    	The 'operator' key is right under the 8-key on the keypad of a telephone.
Child of Uranus.   		5 letters,"TITAN.    	The Titans were a group of twelve older deities in Greek mythology, the twelve children of the primordial Gaia and Uranus, Mother Earth and Father Sky. In the celebrated Battle of the Titans, they were overthrown by the Olympians, who were twelve younger gods. We use the term 'titan' figuratively to describe a powerful person, someone with great influence."
The out crowd?.   		5 letters,"NERDS.    	Dweeb, squarepants, nerd, they're all not-nice terms that mean the same thing: someone excessively studious and socially inept."
Bright swimmer.   		5 letters,"TETRA.    	The neon tetra is a freshwater fish, native to parts of South America. The tetra is a very popular aquarium fish and millions are imported into the US every year. Almost all of the imported tetras are farm-raised in Asia and very few come from their native continent."
Spirit in a bottle.   		5 letters,"GENIE.    	The ""genie"" in the bottle takes his or her name from ""djinn"". ""Djinns"" were various spirits considered lesser than angels, and people who exhibit unsavory characteristics could be said to be possessed by djinn. When the book ""The Thousand and One Nights"" was translated into French, the word ""djinn"" was transformed into the existing word ""génie"", because of the similarity in sound and the related spiritual meaning. This ""génie"" from the Arabian tale became confused with the Latin-derived ""genie"". The Latin ""genius"" was a guardian spirit thought to be assigned to each person at birth. Purely as a result of that translation the word genie has come to mean the ""djinn"" that pops out of the bottle. A little hard to follow, I know, but still quite interesting ..."
"Spirograph, e.g.   		3 letters",TOY.    	One of my favorite toys as a child was my Spirograph. A Spirograph is a geometric drawing device that uses cogs and gears with holes for pens and pencils. Movement of gears in combinations produces lovely geometric patterns on paper.
Chihuahua's bark.   		3 letters,"ARF.    	Chihuahua is a state in northern Mexico, sharing a border with Texas and New Mexico. It is the largest state in the country, so has the nickname ""El Estado Grande"". The state takes its name from the Chihuahuan Desert which lies largely within its borders. And of course the Chihuahua breed of dog takes its name from the state."
A/C measures.   		4 letters,"BTUS.    	In the world of Heating, Ventilation and Air Conditioning, the power of a heating or cooling unit can be measured in British Thermal Units. This dated unit of energy is basically the amount of energy required to heat a pound of water so that the water's temperature increases by one degree Fahrenheit."
Auckland native.   		4 letters,"KIWI.    	Unlike many nicknames for people of a particular country, the name ""Kiwi"" for a New Zealander isn't offensive at all. The term comes from the flightless bird called the kiwi, which is endemic to New Zealand and is the country's national symbol. ""Kiwi"" is a Maori word, and the plural (when referring to the bird) is simply ""kiwi"". However, when you have two or more New Zealanders with you, they are Kiwis (note the ""s"", and indeed the capital ""K""!)."
Ruckus.   		3 letters,"DIN.    	The word 'ruckus' is used to mean a commotion, and has been around since the late 1800s. ""Ruckus"" is possibly a melding of the words 'ruction' and 'rumpus'."
Astin or Martin.   		5 letters,"ACTOR.    	Astin might refer to Sean Astin, or perhaps John Astin. And the Martin could be one of dozens of actors with that family name."
Bologna is in it.   		6 letters,"ITALIA.    	The deli meat known as ""boloney"" is an American invention. It was given the name ""boloney"" because it resembles Italian mortadella sausage, which originated in the city of Bologna in northern Italy."
"Drives a getaway car, maybe.   		5 letters","ABETS.    	The word ""abet"" comes into English from the Old French ""abeter"" meaning ""to bait"" or ""to harass with dogs"" (it literally means ""to make bite""). This sense of encouraging something bad to happen morphed into our modern usage of ""abet"" meaning to aid or encourage someone in a crime."
"""Don't have ___!"".   		5 letters","A COW.    	The phrase ""don't have a cow"" originated in the fifties, a variation of the older ""don't have kittens"". The concept behind the phrase is that one shouldn't get worked up, it's not like one is giving birth to a cow."
1967 Dionne Warwick hit.   		5 letters,"ALFIE.    	There have two versions of the movie ""Alfie"" now. The original, and for my money the best, was made in 1966 with Michael Caine. The remake came out in 2004, and starred Jude Law in the title role. The theme song was performed by Cher in the 1966 movie. However, it was Dionne Warwick's cover version from 1967 that was the most successful in the charts."
Building usually without a 13th floor.   		5 letters,"HOTEL.    	To avoid having a 13th floor, usually the number 13 is skipped, and the 14th floor sits on top of the 12th. But also it can be renamed, to say 12A, or the letter M (the 13th letter of the alphabet). The Radisson Hotel in Manitoba has a pool on the 13th floor, and designates it the Pool Floor."
Chi setting.   		3 letters,CST.    	Chicago (Chi) spends much of the year on Central Standard Time (CST).
Sourpuss's look.   		4 letters,"MOUE.    	Moue comes from French, and it means a small grimace, or a pout."
Bedding item.   		4 letters,"SHAM.    	A sham is something that is imitation, fake. In the world of bed linens, a sham is also imitation and fake, in the sense that it is a decorative cover designed to cover up a regular pillow used for sleeping."
"Wife in John le Carré's ""The Constant Gardener"".   		5 letters","TESSA.    	""The Constant Gardener"" is a 2001 novel by John le Carré (author of ""The Spy Who Came in from the Cold""). The story is about a British diplomat called Justin Quayle who investigates the murder of his wife, Tessa. Le Carré's traditional Cold War setting is replaced by the world of corporate cover-ups."
Ersatz cocoa.   		5 letters,"CAROB.    	The carob is a tree or shrub in the pea family, mainly grown for its seed pods. The carob seeds are dried or roasted, and when powdered or chipped make a good substitute for chocolate."
Fashion's Gucci.   		4 letters,"ALDO.    	Gucci was founded in Rome in 1921, by Guccio Gucci. Guccio's son, Aldo Gucci, took over the company after his father's death in 1953. It was Aldo that established the international presence for the brand, opening the company's first overseas store in New York City."
Narrow inlets.   		4 letters,"RIAS.    	A drowned valley might be called a ria or a fjord. Both are formed when the sea level raised and flooded the valley. A ria can be confused with a fjord, but the difference is that a ria is a drowned valley created by river erosion, and a fjord is a drowned valley created by glaciation."
"Four-star piece, say.   		4 letters",RAVE.    	A rave review from a critic might include a four-star rating.
Wed.   		3 letters,"THU.    	In Norse mythology, Thor was the son of Odin. Thor wielded a mighty hammer and was the god of thunder, lightning and storms. Our contemporary word 'Thursday' comes from 'Thor's Day'."
Tale of derring-do.   		4 letters,"GEST.    	Our word ""gest"", meaning a great deed or an exploit, has been around since about 1300 and comes from the Old French word ""geste"" meaning the same thing. These days ""geste"" can also mean ""gesture""."
"Actress Gershon of ""Bound"".   		4 letters",GINA.    	Gina Gershon is an American actress. Gershon has played a lesbian on screen a number of times and has become somewhat of a gay icon.
Chocolate substitute.   		5 letters,"CAROB.    	The carob is a tree or shrub, in the pea family. It is mainly grown for its seed pods. The carob seeds are dried or roasted, and when powdered or chipped make a good substitute for chocolate."
Workers who play?.   		3 letters,"DJS.    	Supposedly, the world's first radio disk jockey was one Ray Newby of Stockton, California in 1909 would you believe? When he was 16 years old and a student, he started to play his records on a primitive radio located in the Herrold College of Engineering and Wireless in San Jose. The records played back then were mostly recordings of Enrico Caruso."
Ring master's org.   		3 letters,WBA.    	World Boxing Association (WBA)
Brouhaha.   		4 letters,"STIR.    	""Brouhaha"" was a French word that back in the 1550s meant ""the cry of the devil disguised as clergy"" . Wow ..."
Jeweler's eyepiece.   		5 letters,LOUPE.    	A loupe is a little magnifying lens that is held in the hand. 'Loupe' is the French name for such a device.
Great-grandfather of Noah.   		5 letters,"ENOCH.    	Enoch was the great-grandfather of Noah, and the great-grandson of Adam."
Baltic native.   		4 letters,LETT.    	Latvia is one of the former Soviet Socialist Republics. People from Latvia are called Letts.
Japanese noodle.   		4 letters,"UDON.    	Udon noodles are made from wheat-flour, very popular in Japanese cuisine like tempura."
Abbr.   		4 letters,BYOB.    	Bring Your Own Beer/Bottle/Booze (BYOB).
Casey with a countdown.   		5 letters,"KASEM.    	Not only is Casey Kasem so closely associated with the radio show ""American Top 40"", but he is also well known for playing the voice of Shaggy Rogers on the ""Scooby-Doo"" animated series."
Quatre + un.   		4 letters,"CINQ.    	In French, four (quatre) and one (un) adds up to five (cinq)."
"""Know ___ enemy"".   		3 letters",THY.    	Know thy enemy' is a saying from Sun Tzu's 'The Art of War'.
Graf ___.   		4 letters,"SPEE.    	Maximilian Graf von Spee was actually born in Denmark, but of a noble German family. By the time WWI started, Spee had risen to the rank of Rear Admiral in the German Navy. He was killed in the Battle of the Falkland Islands (the original 1914 version!). Of course he gave his name to the powerful pocket battleship, the Admiral Graf Spee, which was damaged in the Battle of the River Plate during WWII. The Graf Spee took refuge in the neutral port of Montevideo and when the boat was expelled by the government of Uruguay, the captain scuttled her rather than face the Allied flotilla waiting for her just outside the port."
___ noire.   		4 letters,"BETE.    	""Bête noire"" translates from French as ""the black beast"" and is used in English for something or someone that is disliked."
"""Stanley & Iris"" director Martin.   		4 letters","RITT.    	Martin Ritt is best remembered as a television and movie director. During the bad old days of the ""Red Scare"", Ritt was working in television until he found himself on a blacklist for supposed support of Communist causes. He turned to the theater for work until the Red Scare had run its course, and then moved into the world of film. Some of his best known movies are 'Hud', ""The Great White Hope"" and ""Norma Rae""."
Textile city of north-central England.   		5 letters,"LEEDS.    	I went to school not far from Leeds, in West Yorkshire in the north of England. Prior to the Industrial Revolution, Leeds was a major center for the production and trading of wool, and then with mechanization, it became a natural hub for manufacture of textiles."
Formations at the mouths of some streams.   		4 letters,"RIAS.    	A drowned valley might be called a ria or a fjord, both formed as sea level raises. A ria is a drowned valley created by river erosion, and a fjord is a drowned valley created by glaciation."
"""Moll Flanders"" author, 1722.   		5 letters","DEFOE.    	""Moll Flanders"" is a novel written by Daniel Defoe in 1722, three years after he achieved fame with ""Robinson Crusoe"". The full title gives a lot of insight into the storyline:"
"Corporate division, informally ...   		7 letters",R AND D.    	Research and Development (R&D)
"Tinker with, with ""with"".   		3 letters",TOY.    	I do love some quirky wording in a clue!
Island group east of the Philippines.   		5 letters,"PALAU.    	Palau is a tiny island nation lying 500 miles east of the Philippines, and 2,000 mile south of Japan. Palau was once a Spanish possession, and was sold by Spain to Germany in the late 19th century. During WWI, Japan invaded the islands (as Japan had declared war on Germany during WWI) and was awarded the islands as a territory by the League of Nations at the end of hostilities. In WWII the US took Palau from the Japanese in a bloody battle in 1944. Palau emerged from American administration in 1994, and is now a sovereign state."
Red Scare prosecutor Roy.   		4 letters,"COHN.    	Roy Cohn was a prominent assistant and associate to Senator Joseph McCarthy in the days when McCarthy was famously investigating Communist activities in the US. Prior to his work with Senator McCarthy, Cohn was a central figure on the prosecuting team in the 1951 espionage trial of Julius and Ethel Rosenberg."
Spy grp.   		3 letters,KGB.    	The Komitet gosudarstvennoy bezopasnosti (KGB) was the national security agency of the Soviet Union until 1991. The KGB was dissolved at that time after the agency's chairman led a failed attempt at a coup d'état designed to depose President Mikhail Gorbachev.
Film director Pier ___ Pasolini.   		5 letters,"PAOLO.    	Film director Pier Paolo Pasolini was another celebrity who met with a violent death. He was found dead on a beach near Rome in 1975, after heaving been run over several times by his own car. The crime was never solved."
Ticket option.   		4 letters,LOGE.    	In most theaters today the loge is the name given to the front rows of a mezzanine level. It can also be the name given to box seating.
Had ___ (flipped).   		5 letters,"A COW.    	The phrase ""don't have a cow"" originated in the fifties, a variation of the older ""don't have kittens"". The concept behind the phrase is that one shouldn't get worked up, it's not like one is giving birth to a cow."
Funny Anne.   		5 letters,"MEARA.    	Anne Meara has been married to fellow comedic actor Jerry Stiller since 1954. Anne and Jerry are the parents of actors Ben and Amy Stiller. Meara co-starred with Carroll O'Connor and Martin Balsam in the eighties sitcom ""Archie Bunker's Place"", a spinoff from ""All in the Family""."
1985 N.L.   		5 letters,"MCGEE.    	Willie McGee is a retired professional league baseball player, who spent most of his career with the St. Louis Cardinals."
Totaled.   		5 letters,"KAPUT.    	'Kaput', meaning completely incapacitated, comes to us from French (via German). The word derives from ""capot"" a term meaning ""not having won a single trick"" in the French card game called Piquet."
"""___ Ben Adhem"" (English poem).   		4 letters","ABOU.    	Abou Ben Adhem, also known as Ibrahim Bin Adham, was an Arab Muslim saint. He was made famous in the western world with the publication in 1838 of the poem ""Abou Ben Adhem"" by James Henry Leigh Hunt, the English poet."
___ Queen.   		6 letters,"ELLERY.    	The Ellery Queen series of detective novels was somewhat unique in that Ellery Queen was the hero of the tales, and was also the pen name of the author. Actually, the 'author' was a pair of writers; two cousins from Brooklyn, New York."
Tostitos bowl?.   		3 letters,DIP.    	Tostitos are a brand of tortilla chips. If you're a vegetarian though you might want to leave them on the supermarket shelf as Frito-Lay uses pork enzymes to 'enhance' flavor.
"Comfy footwear, for short.   		4 letters",MOCS.    	The moccasin is a traditional form of footwear worn by many Native American tribes.
Bitter.   		5 letters,"ACERB.    	Acerb is a variant of acerbic: sour or bitter tasting, acidic, similar to astringent."
Youngster.   		4 letters,"TYKE.    	""Tyke"" has been used playfully to describe a young child since at least 1902, but for centuries before that a tyke was a cur or mongrel, or perhaps a lazy or lower-class man."
Paperless I.R.S.   		6 letters,"E-FILE.    	E-file, that's what I do with my tax returns each year. I saved myself a fortune by saying a polite ""goodbye"" to my tax account five years ago and trusting Turbotax instead."
Student in 25-Down.   		5 letters,"ELEVE.    	French for school is 'école', and French for pupil is 'élève'."
Silver's is 107.87: Abbr..   		5 letters,"AT WT.    	The Atomic Weight of an element is the mass of one atom of the element, relative to the mass of an atom of carbon (which is assumed to have an atomic weight of 12)."
"""The Lamp-Lighter"" painter.   		5 letters","ENSOR.    	James Ensor was a Belgian painter who lived in Ostend for most of his life. His charming 1880 painting ""The Lamp Lighter"" also goes by the name ""The Lamp Boy""."
Device making a 53-Down.   		4 letters,HORN.    	53. Sound made by a 48-Down : BEEP
"""Penny ___"".   		4 letters","LANE.    	When in their teens, Paul McCartney and John Lennon would often head into the center of Liverpool together on the bus. The convenient place for them to meet was at the end of Penny Lane. Years later, Paul McCartney wrote the song 'Penny Lane', which was a big hit in 1967. 'Penny Lane' was released as a double A-side record with ""Strawberry Fields Forever"" penned by John Lennon. Coincidentally, Strawberry Field was also a real location, not far from Penny Lane in Liverpool. Strawberry Field was a Salvation Army Children's Home in the garden of which Lennon would play as a child. I don't think Lennon and McCartney ever really forgot their roots ..."
Dexterous.   		6 letters,"ADROIT.    	The French for ""to the right"" is ""à droit"", from which we get our word ""adroit"". The original meaning of ""adroit"" was ""rightly, properly"", but it has come to mean dexterous and skillful."
"""Ezio"" composer.   		6 letters","HANDEL.    	""Ezio"" is an opera by George Frideric Handel, first performed in 1732 in London."
Ancient empire builders.   		5 letters,"INCAS.    	The Inca people emerged as a tribe around the 12th century, in what is today southern Peru. The Incas developed a vast empire over the next 300 years, extending along most of the western side of South America. The Empire of course fell to the Spanish, finally dissolving in 1572 with the execution of Tupac Amaru, the last Incan Emperor."
"Caterpillar stage, for example.   		5 letters","LARVA.    	The larva is an intermediate stage in the development of an insect. All four stages are embryo, larva, pupa and imago."
Noisy bird.   		5 letters,"MACAW.    	Macaws are beautifully colored birds of native to Central and South America, and are actually a type of parrot. Most species of macaw are now endangered, with several having become extinct in recent decades. The main threats are deforestation and illegal trapping and trafficking of exotic birds."
Philbin of live TV.   		5 letters,"REGIS.    	Regis Philbin is an amazingly popular television personality. He is so in demand, and has had such a long career, that he holds the Guinness World Record for the most time spent in front of a television camera (in excess of 16,000 hours)."
Fountain name.   		5 letters,"TREVI.    	The Trevi Fountain is a huge fountain in Rome, the largest constructed in the Baroque style. The tradition is that if one throws a coin in the fountain, one is guaranteed a return visit to the city one day. Tourists throw in an amazing 3,000 euros (over $4,000) every day. The money is collected and is used to stock a supermarket for the needy of the city."
___ mot.   		3 letters,"BON.    	Bon mot translates from French as ""good word"", and we use it to mean a quip, a witticism."
Alliance between nations.   		7 letters,"ENTENTE.    	'Entente' is a French word meaning ""understanding""."
Prize won by Einstein and Yeats.   		5 letters,"NOBEL.    	The Peace Prize is one of five prizes bequeathed by Alfred Nobel. The others are for Physics, Chemistry, Physiology or Medicine and Literature. There is also Nobel Prize in Economics, awarded along with the original five, but is funded separately, and is awarded ""in memory of Alfred Nobel"". Four of the prizes are awarded by Swedish organizations (Alfred Nobel was a Swede) and so the award ceremonies take place in Stockholm. The Peace Prize is awarded by the Norwegian Nobel Committee, and that award is presented in Oslo."
Dancer Charisse.   		3 letters,"CYD.    	Actress Cyd Charisse was famous for her dancing ability and the many roles she played opposite Fred Astaire and Gene Kelly. Charisse carved out a career based on dance despite the fact that she suffered from polio as a child. In fact, she took up ballet at the age of twelve to help build up her strength as she recovered from the disease."
"___ Valley, German wine region.   		5 letters","RHINE.    	The river running through Germany that we know in English as the Rhine, is called 'Rhein' in German."
Zap with light.   		4 letters,"LASE.    	The term 'laser' comes from an acronym, 'Light Amplification by Stimulated Emission of Radiation' (LASER). It has been pointed out that a more precise name for laser technology is 'Light Oscillation by Stimulated Emission of Radiation', but the resulting acronym isn't quite so appealing, namely LOSER ..."
Former Common Market inits.   		3 letters,"EEC.    	The European Economic Community (also called ""the Common Market"") was a NAFTA-like structure that was eventually absorbed into today's European Union."
Dish made with garlic butter.   		6 letters,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
Comfort's partner.   		3 letters,"AID.    	Aid and comfort (to the enemy, for example)."
Place to be in the hot seat?.   		5 letters,"SAUNA.    	As my Finnish-American wife will tell you, ""sauna"" is a Finnish word, and is correctly pronounced ""sow-nah"" (with ""sow"" as in the female pig)."
Spanish babies.   		5 letters,"NENES.    	""Nene"" is the Spanish word for a male baby or young child."
New Orleans setting: Abbr..   		3 letters,"CST.    	New Orleans, like the whole of the state of Louisiana, is in the Central Time Zone."
"""It's ___ vu all over again"" (Yogiism).   		4 letters","DEJA.    	Yogi Berra is regarded by many as the greatest catcher ever to play in Major League Baseball, and has to be America's most celebrated ""author"" of malapropisms. Here are some greats:"
Plexiglas piece.   		4 letters,"PANE.    	Plexiglas (note the spelling, one ""s"") is a trademark owned by Rohm and Haas since 1933. Plexiglas is a transparent plastic that is used as a light, relatively safe alternative to glass as it is shatter-resistant."
Yucatán youth.   		5 letters,"NENES.    	The Yucatán is one of Mexico's 31 states, and is located in the east of the country, on the northern tip of the Yucatán peninsula."
Steamy place.   		5 letters,"SAUNA.    	As my Finnish-American wife will tell you, ""sauna"" is a Finnish word, and is correctly pronounced ""sow-nah"" (with ""sow"" as in the female pig)."
Hearings channel.   		6 letters,"C-SPAN.    	C-SPAN is a privately funded, non-profit cable channel that broadcasts continuous coverage of government proceedings."
Nike competitor.   		6 letters,"ADIDAS.    	The brand name ""Adidas"" dates back to when Adolf ""Adi"" Dassler started making his own sports shoes in his mother's laundry room in Bavaria after returning from WWI. With his brother, Adi founded Dassler shoes. The companies big break came in 1936 at the Berlin Olympics when Adi persuaded American sprinter Jesse Owens to use his shoes, and with the success of Jesse Owens came success for the fledgling shoe company. After WWII the brothers split, acrimoniously. Adi's brother, Ru-dolf Da-ssler, formed ""Ruda"" shoes (later to become Puma), and Adi Das-sler formed ""Adidas""."
"Actor Penn of ""Van Wilder"".   		3 letters","KAL.    	Indian-American actor Kal Penn made a name for himself in the ""Harold & Kumar"" series of comedy films. These so called ""stoner comedies"" are not my cup of tea, but I dis enjoy watching Penn play his more mainstream roles on TV's ""House"" and ""24"". He left the world of acting when President Obama won the 2008 election and now works as an Associate Director in the White House Office of Public Engagement (although he did leave the White House briefly to film the ""Harold & Kumar"" sequel)."
Hunters of the now-extinct moa.   		6 letters,"MAORIS.    	Moas were flightless birds native to New Zealand that are now extinct. The fate of the Moa is a great example of the detrimental effect that humans can have on animal populations. The Maoris arrived in New Zealand about 1300 AD, upsetting the balance of the ecosystem. The Moa were hunted to extinction within 200 years, which had the knock-on effect of killing off the Haast's Eagle, the Moa's only predator prior to the arrival of man."
Tubes.   		3 letters,"TVS.    	Thermionic tube is another name for a vacuum tube, something we used to come across in old radios and televisions (giving us 'tube' as the slang term for a TV). The tube consists of two electrodes (an anode and cathode) encased in a vacuum in a sealed glass tube. The anode can be heated, just like a light-bulb, and will give off electrons, and so is said to be thermionic."
Last name in skin care.   		5 letters,ARPEL.    	The Adrien Arpel cosmetic company was founded in 1962 and sold its products across Europe. The company started selling in the US in 1968.
Check spec.   		3 letters,AMT.    	Amount (amt.)
Part of a Molière work.   		4 letters,"ACTE.    	Acte' is the French word for 'act', another surprise ..."
"Correct with surgery, maybe, as the eye.   		4 letters",LASE.    	Lase: to use a laser.
