ED_,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'.
BE_A,"BELA.    	Béla Fleck is a banjo player who performed with the bands New Grass Revival and Béla Fleck and the Flecktones. Fleck was born in New York City and was given the name Béla Anton Leoš Fleck. He was named after Hungarian composer Béla Bartók, Austrian composer Anton Webern, and Czech composer Leoš Janáček. That's quite a name to live up to, but by all accounts Fleck is one of the most technically proficient banjo players the world has ever known."
_NEZ,"INEZ.    	Lord Byron wrote the poem ""Don Juan"" based on the legend of the Don Juan the womanizer. In the poem, he created the character Donna Inez, Don Juan's mother. Supposedly, Inez was based on Byron's own wife, Annabella Milbanke."
RDA_,"RDAS.    	Recommended Daily Allowances (RDAs) were introduced during WWII, and were replaced by Recommended Daily Intakes (RDIs) in 1997."
L_L,"LIL.    	Here's yet another rapper (oh, joy!). Lil Wayne's real name is ... Dwayne Carter, Jr."
S_OT,"SPOT.    	In the 'Dick and Jane' series of book for children, Spot was a cat back in the thirties, but then became a dog in later editions."
"I,TI_A","I, TINA.    	""I, Tina"" is the 1986 autobiography of Tina Turner. The book was so successful it was adapted into a movie called ""What's Love Got to Do With It?"" The film version was released in 1993 and starring Angela Bassett as Tina Turner."
C_PRA,"CAPRA.    	I can't tell you how many of Frank Capra's movies are on my list of all-time favorites. He directed such classics as 'It Happened One Night', 'Mr. Deeds Goes to Town', 'Lost Horizon', 'Mr. Smith Goes to Washington', 'Meet John Doe', 'Arsenic and Old Lace' and the holiday favorite 'It's a Wonderful Life'. Capra was the first person to win three directorial Oscars: for 'It Happened One Night', 'Mr. Deeds Goes to Town' and 'You Can't Take It With You'. Capra also did his bit during WWII, enlisting just a few days after Pearl Harbor was attacked. Given his great talent, and the fact that he enlisted at the relatively advanced age of 44, the US Army put him to work directing 11 documentary war films in the 'Why We Fight' series, for which he was awarded the Distinguished Service Medal."
IP_DS,"IPODS.    	I just read an article on hearing loss that cites a study published in the 'Journal of Pediatrics'. According to the study, 12&#189;% of kids between 6 and 19 suffer from a loss of hearing that is directly attributable to the use of earphones set at a dangerously high volume. Personally, I love listening to all sorts of programming using earbuds. I am careful to use 'in-ear' types of earphones that are designed to block out external noise so that I can listen to programming at the lowest possible volume, and don't have to drown out external sounds. My doctor gives me a pat on the back for doing so, and has asked me to spread the word!"
POO_,"POOH.    	Alan Alexander (A.A.) Milne was an English author, best known for his delightful ""Winnie-the-Pooh"" series of books. He had only one son, Christopher Robin Milne, born in 1920. The young Milne was the inspiration for the Christopher Robin character in the Winnie-the-Pooh stories. Winnie-the-Pooh was named after Christopher Robin's real teddy bear, one he called Winnie, who in turn was named after a Canadian black bear called Winnie that the Milnes would visit in London Zoo. The original Winnie teddy bear is on display at the main branch of the New York Public Library in New York."
O_CS,"ORCS.    	Orcs are mythical humanoid creatures that appear in the writings of J. R. R. Tolkien. Since Tolkien's use of orcs, they have also been featured in other fantasy fiction and in fantasy games."
_ND,IND.    	An Independent candidate is neither Democrat nor Republican.
EG_S,"EGGS.    	Tradition states that the first Easter Egg Roll in the nation's capitol was staged by Dolley Madison, wife of President James Madison. The inaugural event was held in 1814, but not at the White House, where it is held today. That first Egg Roll was held on the grounds of the US Capitol. After a new lawn was planted in 1877, Congress passed a law making it illegal to use the lawn as a children's playground (boo! hiss!), and so President Rutherford and his wife Lucy brought the Egg Roll to the White House (hurrah!)."
AN_S,ANOS.    	May (mayo) is one of the months in the Spanish year (año).
M_TA,"META.    	In recent decades the prefix 'meta-' has started to be used as a standalone adjective. In this sense 'meta' means 'self-referential', describing something that refers to itself. For example, 'This sentence starts with the word 'this' and ends with the word 'this'' might be called a meta sentence. A movie that is about the making of the very same movie could also be described as meta."
TC_,"TCU.    	The athletic teams of Texas Christian University (TCU) are known as the TCU Horned Frogs. The Texas horned lizard is known colloquially as the ""horned frog""."
AL_I,"ALII.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. Ovid is usually listed alongside the two other great Roman poets, Horace and Virgil."
A_RAM,"ABRAM.    	Norm Abram is the master carpenter who appeared on the PBS show 'This Old House', and who later starred in the spinoff series called 'The New Yankee Workshop'."
CRE_E,"CRETE.    	Minos was the King of Crete in Greek mythology, and the son of Zeus and Europa. Minos had an elaborate labyrinth built in Crete, designed by the architect Daedalus and his son Icarus (who famously died trying to escape from the island by ""flying"" away). In the labyrinth, King Minos kept the Minotaur, a dreadful creature with the head of a bull on the body of a man."
_NNI,"ANNI.    	In Italian, a millennium (millennio) is divided into years (anni)."
R_AR,REAR.    	Twerking is a dancing move in which a woman (usually) shakes her hips up and down causing a lot of 'wobbling'. It's possible that 'twerk' is a portmanteau of 'twist' and 'jerk'.
_YST,SYST.    	Global positioning system(GPS)
AR_,"ARM.    	Slot machines earned the nickname ""one-armed bandits"" simply because they had ""one arm"", the handle pulled to operate the machine, and they robbed you of all your money like bandits!"
_IU,"LIU.    	Lucy Liu is an Asian-American actress from Queens, New York. Liu's big break came when she was chosen to play the Ling Woo character in ""Ally McBeal"". I liked her in the 2000 film ""Charlie's Angels"" but as I am no fan of Quentin Tarantino, I did not enjoy the movie ""Kill Bill"". I am having fun watching one of Liu's latest projects, in which she plays one of the two leads in the TV crime drama 'Elementary'."
XEN_N,"XENON.    	Metal halide lamps that are called xenons don't actually rely on the incorporated xenon gas to generate light. The xenon gas is added so that the lamp comes on ""instantly"". Without the xenon, the lamp would start up rather like a street lamp, flickering and sputtering for a while before staying alight."
S_UD,"STUD.    	The word ""stud"", meaning ""a male horse kept for breeding"", is derived from the Old English word ""stod"" which described a whole herd of horses."
_SH,"OSH.    	OshKosh B'gosh is a company that produces and sells children's clothes. The trademark OshKosh bib-overalls remind us of the company's roots, as it was originally a manufacturer of adult work clothes based in Oshkosh, Wisconsin."
PELOS_,"PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She is the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
W_S,"WIS.    	Wisconsin is named for the Wisconsin River, the longest river in the state. The famous missionary Father Jacques Marquette recorded the Algonquian name for the river as 'Meskousing'. This was modified by French explorers to 'Ouisconsin', with the first syllable pronounced just like the French word for 'yes' &#8230; 'oui&#8217;. In the early 1800s this was anglicized to 'Wisconsin'."
JE_,"JED.    	The actor Buddy Ebsen is best known for playing Jed Clampett in television's 'The Beverly Hillbillies'. Ebsen had been cast in the role of the Tin Man in the 1939 movie 'The Wizard of Oz', but he developed an allergy to the aluminium dust that was used in the makeup. He ended up in hospital and had to walk away from the part. Ebsen blamed 'The Wizard of Oz' on persistent problems that he had with his lungs in subsequent years. But Ebsen lived 16 years longer that any of the other major cast members of the film, so maybe he got the last laugh!"
IG_ANA,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from an IR lamp to maintain body temperature."
C_PRI,"CAPRI.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight , which takes on a lovely blue color as it passes through the seawater into the cave. Natives of Capri are known as 'Capriotes'."
_SH,"OSH.    	OshKosh B'gosh is a company that produces and sells children's clothes. The trademark OshKosh bib-overalls remind us of the company's roots, as it was originally a manufacturer of adult work clothes based in Oshkosh, Wisconsin."
MOA_,"MOAT.    	A 'moat' is a protective trench that surrounds a castle, say, or a an exhibit in a zoo. A moat may or may not be filled with water."
_EATA,"REATA.    	'Reata' is the Spanish word for 'lasso'. We tend to use the spelling 'riata' in English, but sometimes can use the original Spanish word."
NAV_,"NAVE.    	In large Christian churches, the nave is the main approach to the altar, where most of the congregation are seated."
_ORT,"TORT.    	The word ""tort"" is a French word meaning ""mischief, injury or wrong"". Tort law is generally about negligence, when the action of one party causes injury to another but that action falls outside of the scope of criminal law."
RA_TT,"RAITT.    	Bonnie Raitt is a blues singer, originally from Burbank, California. Raitt has won nine Grammys for her work, but she is perhaps as well known for her political activism as she is for her music. She was no fan of President George W. Bush while he was in office, and she sure did show it."
PELO_I,"PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She was the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
S_LAMI,"SALAMI.    	Salame (note the ""e"" at the end) is an Italian sausage that is traditionally associated with the peasant classes. The meat in the sausage is preserved with salt, and it can be hung and stored for as long as ten years. The name ""salame"" comes from ""sale"", the Italian word for salt, and ""-ame"", a suffix indicating a collective noun. Our English word ""salami"" is actually the Italian plural for ""salame""."
ST_EO,"ST LEO.    	Saint Leo University is a private, Roman Catholic school in Florida. Notable alumni of Saint Leo are Lee Marvin and Desi Arnaz."
ATHEN_,"ATHENA.    	The Greek goddess Athena is often associated with wisdom (among other attributes). In many representations. Athena is depicted with an owl sitting on her head. It is this linkage of the owl with the goddess of wisdom that led to today's perception of the owl as being ""wise""."
_ENON,"XENON.    	Metal halide lamps that are called xenons don't actually rely on the incorporated xenon gas to generate light. The xenon gas is added so that the lamp comes on ""instantly"". Without the xenon, the lamp would start up rather like a street lamp, flickering and sputtering for a while before staying alight."
C_NTO,"CANTO.    	A canto is a section of a long poem, and is a term first used by the Italian poet Dante. ""Canto"" is the Italian for ""song""."
TYR_,"TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. Banks created and hosts the hit show 'America's Next Top Model ', and also has her own talk show. She was also the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
B_RR,"BARR.    	William Barr was the US Attorney General for two years in the administration of President George H. W. Bush. When not working, Barr is a very enthusiastic player of the Scottish bagpipes!"
TU_A,"TUBA.    	The 1951 film ""An American in Paris"" was inspired by the delightful symphonic tone poem of the same name written by George Gershwin in 1928. Gershwin also wrote the music for the film, with lyrics by his brother Ira. The musical is chock full of famous tunes including ""I got Rhythm"" and ""'S Wonderful"". At the end of the movie there is a very unique dance sequence featuring the stars, Gene Kelly and Leslie Caron. The dance lasts a full 16 minutes, choreographed to Gershwin's original ""An American in Paris"" composition."
_AB,"CAB.    	A hansom cab is a very specific design of horse and buggy that was patented by Joseph Hansom in 1834 in England. The ""cab"" in the name is short for ""cabriolet"", a prior design of carriage on which the hansom was based. It's from ""hansom cab"" that we get our modern term ""cab""."
_IS,"WIS.    	Land O' Lakes is a town in the north of Wisconsin, right on the state line with the Upper Peninsula of Michigan. In fact,  Land O' Lakes was founded as the Town of State Line, with the name being changed in 1948. The town has little or nothing to do with the Land O&#8217;Lakes creamery co-op, which originated in Minnesota. "
TAR_,"TARS.    	A Jack Tar, or just ""tar"", was a seaman in the days of the British Empire. The term probably arose due to a sailor's various uses of tar back then, including waterproofing his clothes and using tar in his hair to slick down his ponytail."
OILE_,"OILER.    	An 'oiler' is an oil tanker, an ocean-going vessel used to transport crude oil."
DR_D,"DRED.    	Famously, the slave Dred Scott was unsuccessful in suing for his freedom in St. Louis, Missouri in 1857."
S_ST,"SYST.    	The US Interstate System is more correctly known as the Dwight D. Eisenhower National System of Interstate and Defense Highways, a nod to President Eisenhower who championed the construction. The President had come to recognise the value of the German autobahn system in his experiences during WWII, and resolved to give the US a similar infrastructure. In real terms, the US Interstate construction project is said to have been the largest public works project since the building of the Pyramids of Egypt."
_SATS,LSATS.    	Law School Admission Test (LSAT)
_NIT,"SNIT.    	The exact etymology of 'snit', meaning 'fit of temper', isn't really known. The term was first used in print in the play 'Kiss the Boys Goodbye' by Clare Booth Luce, which dates back to the 1930s and is set in the American South."
LE_,"LET.    	The game of badminton was developed in the mid-1700s by British military officers in India. There was already an old game called battledore and shuttlecock, so the creation of badminton was essentially the addition of a net and boundary lines for play. The game was launched officially as a sport in 1873 at Badminton House in Gloucestershire in England, giving it the name that we now use."
OB_RON,"OBERON.    	Oberon and Titania are the King and Queen of the fairies in Shakespeare's ""A Midsummer Night's Dream""."
RO_,"ROT.    	The word ""bunk"" is short for ""bunkum"", the phonetic spelling of 'Buncombe', which is a county in North Carolina. Supposedly, a state representative made a dull and irrelevant speech that was directed to his home county of Buncombe, bringing the term ""bunkum"" into the language with the meaning of ""nonsense"". The derivative word ""debunk"" first appeared in a novel by William Woodward in 1923, when he used it to describe ""taking the bunk out of things""."
ME_A,"META.    	In recent decades the prefix 'meta-' has started to be used as a standalone adjective. In this sense 'meta' means 'self-referential', describing something that refers to itself. For example, 'This sentence starts with the word 'this' and ends with the word 'this'' might be called a meta sentence. A movie that is about the making of a movie could also be described as meta. For example, 'The Blair Witch Project' might be described as meta, which is a movie about some young people making a scary movie about the Blair Witch."
TKO_,"TKOS.    	In boxing, a knockout (KO) is when one of the fighters can't get up from the canvas within a specified time, usually 10 seconds. This can be due to fatigue, injury, or the participant may be truly ""knocked out"". A referee, fighter or doctor may also decide to stop a fight without a physical knockout, especially if there is concern about a fighter's safety. In this case the bout is said to end with a technical knockout (TKO)."
B_SE,BASE.    	Our decimal numbering system is in the base 10. The binary numbering system used deep down in our computers is in the base 2.
DO_,"DON.    	To doff is to take off, with ""doff"" being a contraction of ""do off"". The opposite of 'doff' is 'don' meaning 'to put on'."
AN_I,"ANNI.    	""Annus"" (plural ""anni"") is the Latin for year."
BY_E,"BYTE.    	In the world of computers, a ""bit"" is the basic unit of information. It has a value of 0 or 1. A ""byte"" is a small collection of bits (usually 8), the number of bits needed to uniquely identify a character of text. The prefix mega- stands for 10 to the power of 6, so a megabyte (meg) is 1,000,000 bytes. And the prefix giga- means 10 to the power of 9, so a gigabyte (gig) is 1,000,000,000 bytes. Well, those are the SI definitions of megabyte and kilobyte. The purists still use 2 to the power of 20 for a megabyte (i.e. 1,048,576), and 2 to the power of 30 for a gigabyte."
_ED,"JED.    	In the excellent television show 'The West Wing', President Jed Bartlet is played by Martin Sheen. Leo McGarry was played very ably by John Spencer. If you haven't seen them, the early seasons of ""The West Wing"" are just fabulous. I learned so much about the workings of the American government through this TV show."
I_K,INK.    	(43. See 38-Across : SAC)
EA_EL,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would carry its load."
DEL_,"DELE.    	Dele is the editorial instruction to delete something from a document, and is often written in red."
EI_,EIS.    	'Eis' is German for 'ice'.
T_RRA,"TERRA.    	'Terra' is the Italian for 'land, ground'."
MO_T,"MOAT.    	A 'moat' is a protective trench that surrounds a castle, say, or a an exhibit in a zoo. A moat may or may not be filled with water."
CT_,CTA.    	Chicago Transit Authority (CTA)
E_E,"ESE.    	O'ahu has been called ""The Gathering Place"", although the word ""O'ahu"" has no translation in Hawaiian. It seems that O'ahu is simply the name of the island. One story is that it is named after the son of the Polynesian navigator that first found the islands. The island is made up of two volcanoes, Wai'anae and Ko'olau, joined together by a broad valley, the O'ahu Plain."
KE_T,"KENT.    	Kent State University's main campus is located in Kent, Ohio. Kent State will forever be associated with student activism and opposition to the Vietnam War in the late sixties and early seventies. The fateful day was May 4, 1970 when members of the Ohio National Guard opened fire on students, killing four protesters and wounding nine."
_NANE,INANE.    	Our word 'inane' meaning silly or lacking substance comes from the Latin 'inanitis' meaning 'empty space'.
RAIM_,"RAIMI.    	Sam Raimi is a very successful director and producer, responsible for the ""Spider-Man"" series of films among others, and TV series' such as ""Xena: Warrior Princess""."
T_RERO,"TORERO.    	'Matador' is a Spanish word used in English for a bullfighter, although the term isn't used in the same way in Spanish. The equivalent in Spanish is ""torero"". ""Matador"" translates aptly enough as 'killer'."
INDI_,"INDIA.    	Pachisi is an ancient Indian game that has been commercialized in the West as Ludo, Sorry! and Parcheesi. The name derives from the Hindi 'pachis' meaning 'twenty-five', which is the largest score that can thrown in one move in the original game."
TONT_,"TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels. Famously, the Lone Ranger's horse was called Silver and Tonto's mount was named Scout. But in the early shows, Tonto rode a horse called White Feller."
LDO_A,"L-DOPA.    	L-3,4-DihydrOxyPhenylAlanine, thankfully can be shortened to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
ORI_AMI,ORIGAMI.    	The Japanese word 'origami' is derived from ori (folding) and kami (paper).
DR_NO,"DRANO.    	To clean out drains we might buy Crystal Drano which is sodium hydroxide (lye) mixed with sodium nitrate, sodium chloride (table salt) and aluminum. The contents of Drano work in concert to clear the clog. The lye reacts with any fats creating soap which may be enough to break up the clog. Also, the finely-divided aluminum reacts with water creating tremendous heat so that that mixture boils and churns, then any hair or fibers are cut by the sharp edges of the nitrate and chloride crystals. Having said all that, I find that boiling water poured down the drain almost always does the job ..."
D_ANO,"DRANO.    	To clean out drains we might buy Crystal Drano which is sodium hydroxide (lye) mixed with sodium nitrate, sodium chloride (table salt) and aluminum. The contents of Drano work in concert to clear the clog. The lye reacts with any fats creating soap which may be enough to break up the clog. Also, the finely-divided aluminum reacts with water creating tremendous heat so that that mixture boils and churns, then any hair or fibers are cut by the sharp edges of the nitrate and chloride crystals. Having said all that, I find that boiling water poured down the drain almost always does the job ..."
OB_ES,"OBOES.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A""."
EE_Y,"EENY.    	Eeny, meeny, miny, moe,"
_UI,"DUI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
ALEU_,"ALEUT.    	The Aleuts live on the Aleutian Islands of the North Pacific, and on the Commander Islands at the western end of the same island chain. The Aleutian Islands are part of the United States, and the Commander Islands are in Russia."
P_OH,"POOH.    	Alan Alexander (A.A.) Milne was an English author, best known for his delightful ""Winnie-the-Pooh"" series of books. He had only one son, Christopher Robin Milne, born in 1920. The young Milne was the inspiration for the Christopher Robin character in the Winnie-the-Pooh stories. Winnie-the-Pooh was named after Christopher Robin's real teddy bear, one he called Winnie, who in turn was named after a Canadian black bear called Winnie that the Milnes would visit in London Zoo. The original Winnie teddy bear is on display at the main branch of the New York Public Library in New York."
T_OPS,T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle above the driver.
_RCS,"ORCS.    	Orcs are mythical humanoid creatures that appear in the writings of J. R. R. Tolkien. Since Tolkien's use of orcs, they have also been featured in other fantasy fiction and in fantasy games."
S_IT,"SNIT.    	The exact etymology of 'snit', meaning 'fit of temper', isn't really known. The term was first used in print in the play 'Kiss the Boys Goodbye' by Clare Booth Luce, which dates back to the 1930s and is set in the American South."
_PS,"EPS.    	An extended-play record, CD or download (EP) contains more music than a single, but less than an LP."
_VITA,"EVITA.    	""Evita"" was the follow up musical to ""Jesus Christ Superstar"" for Andrew Lloyd Webber and Tim Rice. Both of these works were originally released as album musicals, and very successful ones at that (I remember buying them when they first came out). 'Evita' was made into a film in 1996, with Madonna playing the title role and Welsh actor Jonathan Pryce playing her husband Juan Perón."
_OE,ZOE.    	The actress Zoe Kazan is a granddaughter of famed film and theater director Elia Kazan.
_RID,"ARID.    	An arroyo is a small stream, or more often, a dry riverbed."
_TUD,"STUD.    	Stud poker is the name given to many variants of the game, all characterized by the dealer giving each player a mix of cards face-down and face-up. The cards facing downwards are called ""hole cards"", cards only visible to the individual who holds that particular hand. That gives rise to the phrase ""ace in the hole"", a valuable holding that only the player with the ace is aware of."
AK_ON,"AKRON.    	For part of the 1800s, the Ohio city of Akron was the fasting growing city in the country, feeding off the industrial boom of that era. The city was founded in 1825 and its location, along the Ohio and Erie canal connecting Lake Erie with the Ohio River, helped to fuel Akron's growth. Akron sits at the highest point of the canal and the name ""Akron"" comes from the Greek word meaning ""summit"". Indeed, Akron is the county seat of Summit County."
ZI_,"ZIT.    	The slang term 'zit', meaning ""pimple"", came into the language in 1966, but no one seems to know its exact derivation."
ICO_,"ICON.    	Safari is Apple's flagship Internet browser, mainly used on its Mac line of computers. Personally, I use Google Chrome ..."
_AROL,"CAROL.    	'God Rest Ye Merry, Gentlemen' is a favorite Christmas carol of mine. Note the correct punctuation. For years I thought the first line was 'God rest you, merry gentlemen'. In fact, the verb 'rest' here means 'keep, continue to remain'. Rewriting the line in contemporary English might be 'May God keep you happy, gentlemen'."
_EC,"DEC.    	The Universal Declaration of Human Rights was adopted by the United Nations on December 10, 1948."
IGU_NA,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from a UV lamp to maintain body temperature."
_PH,MPH.    	Miles per hour (mph)
_DD,"EDD.    	Edd Roush was a big hitter who played Major League Baseball, starting in 1913 for the Chicago White Sox. He jumped ship to the Federal League in 1914, a league set up to compete with the already well-established National and American Leagues. The upstart league only lasted a couple of seasons. When Edd Roush passed away in 1988 at the age of 94, he was the last surviving player from the short-lived Federal League."
RI_,"RIT.    	Rit. (or sometimes ritard.) is the abbreviation for ritardando, the musical direction to slow down the tempo."
STU_,"STUD.    	The word ""stud"", meaning ""a male horse kept for breeding"", is derived from the Old English word ""stod"", which described a whole herd of horses."
CA_TE,"CASTE.    	The bees in a hive are divided into three castes, three societal levels:"
_SATS,LSATS.    	The Law School Admission Test (LSAT) has been around since 1948.
T_RS,"TARS.    	""Besmirch"" is a derivative of ""smirch"", with both words meaning to ""make dirty"". In particular, to besmirch is to sully someone's reputation."
CO_E,COLE.    	Cole Hamels is a starting pitcher for the Philadelphia Phillies. Hamels is married to Heidi Strobel who was a contestant on the sixth series of the reality television show 'Survivor'.
EG_S,"EGGS.    	You can't get a Belgian waffle in Belgium, and the nearest thing is probably a Brussels waffle. Brussels waffles were introduced to the world in 1958, and arrived in the US in 1962 at the Century 21 Exposition in Seattle. The name 'Brussels' was changed to 'Bel-Gem' for the US market, which evolved into 'Belgian'."
TUB_,"TUBA.    	The tuba is the lowest pitched of all the brass instruments, and one of the most recent additions to the modern symphony orchestra (usually there is just one tuba included in an orchestral line-up). ""Tuba"" is the Latin word for ""trumpet, horn""."
F_AU,"FRAU.    	In Germany, the lady of the house (haus) is the wife (frau)."
"I,T_NA","I, TINA.    	""I, Tina"" is the 1986 autobiography of Tina Turner. The book was so successful it was adapted into a movie called ""What's Love Got to Do With It?"" The film version was released in 1993 and starring Angela Bassett as Tina Turner."
SAPO_,"SAPOR.    	""Sapor"" is another word for a flavor, a quality that can be tasted. ""Sapor"" is the Latin word for ""taste, flavor""."
H_S,"HE'S.    	Harry James was a very popular bandleader, particularly in the swing era. After a stint with Benny Goodman's orchestra, Harry James set up his own band based in Philadelphia. One member of his band, back in 1939, was a vocalist that James wanted to rename as Frankie Satin, but the singer decided to hold onto his own name, Frank Sinatra."
CAP_A,"CAPRA.    	I can't tell you how many of Frank Capra's movies are on my list of all-time favorites. He directed such classics as 'It Happened One Night', 'Mr. Deeds Goes to Town', 'Lost Horizon', 'Mr. Smith Goes to Washington', 'Meet John Doe', 'Arsenic and Old Lace' and the holiday favorite 'It's a Wonderful Life'. Capra also did his bit during WWII, enlisting just a few days after Pearl Harbor was attacked. Given his great talent, and the fact that he enlisted at the relatively advanced age of 44, the US Army put him to work directing 11 documentary war films in the 'Why We Fight' series, for which he was awarded the Distinguished Service Medal."
_AP,"NAP.    	Back in the early 1800s, folks took 'nine winks' when getting a few minutes of sleep during the day. Dr. William Kitchiner extended this concept in his 1821 self-help book 'The Art of Invigorating and Prolonging Life'. He suggested 'A Forty Winks Nap', which we seem to have been taking ever since. Mind you, I'm up to about eighty winks most days ..."
R_T,"ROT.    	Blarney is a town in County Cork in the south of Ireland. Blarney is home to Blarney Castle, and inside the castle is the legendary Blarney Stone. ""Kissing the Blarney Stone"" is a ritual engaged in by oh so many tourists (indeed, I've done it myself!), but it's not a simple process. The stone is embedded in the wall of the castle, and in order to kiss it you have to sit on the edge of the parapet and lean way backwards so that your head is some two feet below your body. There is a staff member there to help you and make sure you don't fall. The Blarney Stone has been labelled as the world's most unhygienic tourist attraction! But once you've kissed it, supposedly you are endowed with the ""gift of the gab"", the ability to talk eloquently and perhaps deceptively without offending. The term 'blarney' has come to mean flattering and deceptive talk."
_LES,"OLES.    	'Matador' is a Spanish word used in English for a bullfighter, although the term isn't used in the same way in Spanish. The equivalent in Spanish is ""torero"". ""Matador"" translates aptly enough as 'killer'."
IPAN_,"IPANA.    	Ipana toothpaste was introduced in 1915 and was at the height of its popularity in the forties and fifties. Sales declined in the sixties and the product was withdrawn from the US market in the seventies. Bucky the Beaver was the ""spokesman"" for Ipana. Bucky the Beaver's slogan was ""Brusha... Brusha... Brusha. Get the New Ipana - it's dandy for your teeth!"""
FL_E,"FLOE.    	An ice floe is a sheet of ice that has separated from the ice field, and is floating freely on the ocean."
O_HO,"OCHO.    	In Spanish, two (dos) raised to the power of three is eight (ocho)."
E_ROY,"ELROY.    	Running back Elroy Hirsch was famous for his unusual running style, earning him the nickname ""Crazylegs"". Hirsch starred in a biopic of his life released in 1953, and called ""Crazylegs"". That wasn't his only acting role, as he also appeared in a 1957 airline disaster movie called ""Zero Hour!""."
ED_,EDD.    	Doctor of Education (Ed.D.)
_MIRS,"EMIRS.    	An emir is a prince or chieftain, most notably in the Middle East. In English, 'emir' can also be written as 'amir' and 'ameer' (watch out for those spellings in crosswords!)."
_LOISE,"ELOISE.    	I loved the Nancy Drew mysteries as a kid (I know, as a boy I ""shouldn't"" have been reading them!). They were written by a number of ghost writers after the character was introduced by Edward Stratemeyer in 1930. Nancy's Aunt Eloise was often the source of the mysteries that were to be solved, as Nancy was often summoned to Eloise's New York City apartment to help unravel some case or other."
ASAD_,"ASADA.    	Carne Asada translates from Spanish as ""roasted meat"", and is a roast beef dish."
LIRA_,"LIRAS.    	The word ""lira"" is used in a number of countries for currency. ""Lira"" comes from the Latin for ""pound"" and is derived from a British pound sterling, the value of a Troy pound of silver. For example, the lira (plural 'lire') was the official currency of Italy before the country changed over to the euro."
_LEE,"E LEE.    	Robert E. Lee is of course renowned as a southern officer in the Civil War. Lee was a somewhat reluctant participant in the war in that he opposed the secession of his home state of Virginia from the Union. At the beginning of the war, President Lincoln invited Lee to take command of the whole Union Army but he declined, choosing instead to stay loyal to his home state."
_WI,"DWI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
FOSS_,"FOSSE.    	Pippin' is a stage musical by Stephen Schwartz that was first produced in 1972, on Broadway. The original Broadway production was directed and choreographed by Bob Fosse, for which work Fosse won two Tony Awards in 1973. The title character's father in 'Pippin' is named Charlemagne. The father-son characters are inspired by the Holy Roman Emperors Charlemagne and Pepin."
EN_R,"ENTR.    	The term entr'acte comes to us from French, and is the interval between two acts of a theatrical performance. It often describes some entertainment provided during that interval."
S_AG,STAG.    	Stag beetles are so called as the males of the species have large mandibles that resemble the antlers of stags.
_ADER,NADER.    	Ralph Nader's 2002 book 'Crashing the Party' describes his experiences running as a third-party candidate in the 2000 US presidential election.
E_S,"EPS.    	An extended-play record, CD or download (EP) contains more music than a single, but less than an LP."
LI_,"LIL.    	Lil Wayne's real name is ... Dwayne Carter, Jr."
_TAIL,"ETAIL.    	""Etail"" is the term used these days for online shopping. Etail is often compared to regular shopping in the ""real world"" by juxtaposing it with a ""brick and mortar"" store."
EAT_,"EATS.    	""Grub"" is slang for food. The word 'grub' has been used in this sense since way back in the 1600s, possible derived from birds eating grubs."
