Part of P.D.A.: Abbr..   		4 letters,ASST.    	Personal Digital Assistant (PDA)
Orchestra woodwinds.   		5 letters,"OBOES.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A"". Oh, and if you want to read a fun book (almost an ""exposé"") about life playing the oboe, you might try ""Mozart in the Jungle"" by oboist Blair Tindall. I heard recently that the folks at HBO are working towards a pilot based on the book, and I can't wait to see it!"
Et ___ (and others).   		4 letters,"ALII.    	Et alii (et al.) is the equivalent of et cetera (etc.), with et cetera being used in place of a list of objects, and et alii used for a list of names. In fact ""et al."" can stand for et alii (for a group of males, or males and females), aliae (for a group of women) and et alia (for a group of neuter nouns, or for a group of people where the intent is to retain gender-neutrality)."
C.   		3 letters,"JED.    	In the excellent television show 'The West Wing', President Jed Bartlet is played by Martin Sheen."
Hack's vehicle.   		3 letters,"CAB.    	Hackney is a location in London, and it probably gave it's name to a ""hackney"", an ordinary type of horse around 1300. By 1700 a ""hackney"" was a person hired to do routine work, and ""hackneyed"" meant ""kept for hire"". This morphed into a hackney carriage, a carriage or car for hire."
Sports car extras.   		6 letters,T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle above the driver.
Kolob Arch locale.   		4 letters,ZION.    	Kolob Arch is one of the natural arches in Zion National Park. Kolob Arch is the second longest natural arch in the world (the longest being Landscape Arch in Arches National Park).
Actress Cannon.   		4 letters,"DYAN.    	In the 1969 film ""Bob & Carol & Ted & Alice"", Dyan Cannon played Alice, a role which earned her an Oscar nomination. She is also famous for having been one of Cary Grant's long list of wives, from 1965 to 1968 (and he was 33 years her senior)."
National park through which the Virgin River runs.   		4 letters,"ZION.    	To me, the most spectacular feature of Zion National Park, in southwestern Utah, is the magnificent Zion Canyon. The canyon cuts through red Navajo sandstone and is a truly beautiful sight."
Rabbit's friend.   		4 letters,"POOH.    	In A. A. Milne's 'Winnie-the-Pooh' collection of stories, Pooh has many friend in Hundred Acre Wood. Besides Christopher Robin, who doesn't actually live in the wood, the list includes Piglet, Eeyore, Kanga, Roo, Rabbit, Tigger and Owl."
Stds.   		4 letters,RDAS.    	Recommended Daily Allowances (RDAs) were introduced during WWII and were replaced by Recommended Daily Intakes (RDIs) in 1997.
Sch.   		4 letters,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry."
Plant in an English hedge.   		3 letters,"YEW.    	The family of trees known as yews propagate by producing a seed surrounded by soft, sweet and brightly colored aril. Birds eat the fruit and then disperse the seed in their droppings. The birds leave the seed undamaged, and so are unharmed by the potent poisons taxine and taxol that are found within the seed. The seeds are highly toxic to humans."
"Good cholesterol, for short.   		3 letters","HDL.    	HDL (High-density lipoprotein) is a chemical that is used to transport fats around the body. When HDL is combined with (is transporting) cholesterol, it is often called ""good cholesterol"". This is because HDL seems to remove cholesterol from where it should not be, say on the wall of arteries, and transports it to the liver for re-use or disposal. Important stuff ..."
Front part of a chimera.   		4 letters,"LION.    	In Greek mythology, a chimera was a female monster with the body of a lioness, a tail that ended in a snake's head, and the head of a goat that emanated from the lioness's spine. The term chimera has entered into our modern languag and means a fanciful illusion or fabrication."
1980s-'90s courtroom drama.   		6 letters,"LA LAW.    	""L.A. Law"" ran on NBC from 1986 to 1994, and was one of the network's most successful drama series. It took over from the equally successful ""Hill Street Blues"" in the Thursday night 10 p.m. slot until, after a six-year run, it was itself replaced by yet another respected drama, ""E.R."" The opening credits showed that famous California licence plate. The plate was on a Jaguar XJ for most of the series, but moved onto a Bentley towards the end of the run. For each series the registration sticker was updated, so no laws were being broken."
"___ Zimmer, Oscar-winning composer for ""The Lion King"".   		4 letters","HANS.    	Hans Zimmer is a film composer from Frankfurt in Germany. The long list of films that Zimmer has scored includes 'Rain Man' (1998), 'The Lion King' (1994), 'Gladiator' (2000), 'The Dark Knight' (2008), 'Inception' (2010) and '12 Years a Slave' (2013)."
G.I.   		4 letters,PSAS.    	Public service announcement (PSA)
Snow ___.   		4 letters,"PEAS.    	Snow peas are lovely vegetables, noted for having edible pods without that any inedible fiber."
Dash abbr.   		3 letters,"MPH.    	Back in the 1800s, 'dashboard' was the name given to a board placed at the front of a carriage to stop mud from ""dashing"" against the passengers in the carriage, mud that was kicked up by the hoofs of the horses. Quite interesting ..."
Former NBC drama.   		6 letters,"LA LAW.    	""L.A. Law"" ran on NBC from 1986 to 1994, and was one of the network's most successful drama series. It took over from the equally successful ""Hill Street Blues"" in the Thursday night 10 p.m. slot until, after a six-year run, it was itself replaced by yet another respected drama, ""E.R."" The opening credits showed that famous California licence plate. The plate was on a Jaguar XJ for most of the series, but moved onto a Bentley towards the end of the run. For each series the registration sticker was updated, so no laws were being broken."
1940's ___ Pact.   		4 letters,"AXIS.    	Before WWII, Hungary's prime minister was lobbying for an alliance between Germany, Hungary and Italy and worked towards such a relationship that he called an ""axis"". The main Axis powers during the war of course were Germany, Italy and Japan. However, also included in the relationship were Romania, Bulgaria and the aforementioned Hungary."
Sch.   		3 letters,"SMU.    	Southern Methodist University (SMU) is located in University Park, Texas (part of Dallas), and was founded in 1911. SMU is home to the George W. Bush Presidential Library."
Suit material?.   		4 letters,"TORT.    	The word ""tort"" is a French word meaning ""mischief, injury or wrong"". Tort law is generally about negligence, when the action of one party causes injury to another but that action falls outside of the scope of criminal law."
Island home of the Minotaur.   		5 letters,"CRETE.    	Crete is the largest of the Greek Islands. Crete figures heavily in Greek mythology. Zeus was born in a cave at Mount Ida, the highest peak on the island. Crete was also home to the Labyrinth where the Minotaur was slain by Theseus. Icarus and Daedalus, after having crafted the Labyrinth, escaped from the island using wings that they crafted."
Woods in a pit.   		5 letters,"OBOES.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A""."
Vacuous.   		5 letters,"INANE.    	""Vacuous"" and ""inane"" both mean ""silly, empty-headed"". ""Vacuous"" comes from the Latin word ""vacuus"" meaning ""empty"". 'Inane' comes from the Latin 'inanitis' meaning 'empty space'."
U.S.   		4 letters,"UTEP.    	The University of Texas at El Paso (UTEP) was founded in 1914, originally as the Texas State School of Mines and Metallurgy. To this day there is a mine shaft on the campus, and the mascot of the school's sports teams is Paydirt Pete, a prospector from the mining industry. The teams are also known as the UTEP Miners and Lady Miners."
Army one-striper: Abbr..   		3 letters,PFC.    	Private First Class (PFC)
Place for visual aids.   		5 letters,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would be made to carry a load."
Farmhand's material.   		5 letters,"DENIM.    	Denim fabric originated in Nimes in France. The French phrase ""de Nimes"" (from Nimes) gives us the word ""denim"". Also, the French phrase ""bleu de Genes"" (blue of Genoa) gives us our word ""jeans""."
"Lucy of TV's ""Elementary"".   		3 letters","LIU.    	Lucy Liu is an actress from Queens, New York. Liu's big break came when she was chosen to play the Ling Woo character in ""Ally McBeal"". I liked her in the 2000 film ""Charlie's Angels"" but as I am no fan of Quentin Tarantino, I did not enjoy the movie ""Kill Bill"". I am having fun watching one of Liu's more recent projects, in which she plays Joan Watson, one of the two lead characters in the TV crime drama 'Elementary'."
"Spot concealed by makeup, maybe.   		3 letters","ZIT.    	The slang term 'zit', meaning a pimple, came into the language in 1966, but no one seems to know its exact derivation."
Edmonton player.   		5 letters,"OILER.    	The National Hockey League's Edmonton Oilers are so called because they are located in Alberta, Canada ... oil country."
Program file-name extension.   		3 letters,"EXE.    	In the Windows Operating System, a file with the extension .exe is an ""executable"" file."
___'acte.   		4 letters,"ENTR.    	The term entr'acte comes to us from French, and is the interval between two acts of a theatrical performance. It often describes some entertainment provided during that interval."
Black Sabbath's genre.   		5 letters,"METAL.    	Black Sabbath are an English heavy metal band set up in 1969 in Birmingham in the north of the country. Black Sabbath's most famous band member was the lead singer, Ozzy Osbourne. Ozzy was kicked out of the group in 1979 as his drug usage was becoming overly disruptive."
___ Flags.   		3 letters,"SIX.    	The Six Flags Entertainment Corporation is an operator of amusement parks that is headquartered in Grand Prairie, Texas. Six Flags owns more amusement parks than any other company in the world. The first of these properties to open was Six Flags Over Texas. The park's name was chosen as a homage to the flags of the six nations that have governed Texas, namely Spain, France, Mexico, the Republic of Texas, the United States of America, and the Confederate States of America."
Fair-hiring inits.   		3 letters,EOE.    	An Equal Opportunity Employer.
Corp.   		4 letters,"MBAS.    	The world's first Master of Business Administration (MBA) degree was offered by Harvard's Graduate School of Business Administration, in 1908."
Early touter of air bags.   		5 letters,"NADER.    	Ralph Nader has run as a third-party candidate for the office of President of the United States four times now, in every election from 1996 to 2008. Nader's name was first first linked with the presidential race in 1971, when the famous Dr. Benjamin Spock offered to stand aside as candidate in the 1972 race if Nader would agree to run, but he declined."
U.K.   		3 letters,MPS.    	Member of Parliament (MP)
Govt.   		4 letters,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
Deep-toned instrument.   		4 letters,"TUBA.    	The tuba is the lowest pitched of all the brass instruments, and one of the most recent additions to the modern symphony orchestra (usually there is just one tuba included in an orchestral line-up). ""Tuba"" is the Latin word for ""trumpet, horn""."
Madre's treasure.   		4 letters,"BEBE.    	In Spanish, a madre's (mother's) treasure is her bebe (baby)."
King of rhyme.   		4 letters,COLE.    	
___ slaw.   		4 letters,"COLE.    	The term ""coleslaw"" is an Anglicized version of the Dutch name ""koolsla"", which in itself is a shortened form of ""Koolsalade"" meaning ""cabbage salad""."
Lufthansa connection?.   		3 letters,UND.    	'Und' is German for 'and'.
Coors competitor.   		5 letters,"PABST.    	Pabst Blue Ribbon is the most recognizable brand of beer from the Pabst Brewing Company. There appears to be some dispute over whether or not Pabst beer ever won a ""blue ribbon"" prize, but the company claims that it did so at the World's Columbian Exposition in Chicago in 1893. The beer was originally called Pabst Best Select, and then just Pabst Select. With the renaming to Blue Ribbon, the beer was sold with an actual blue ribbon tied around the neck of the bottle until it was dropped in 1916 and incorporated into the label."
Diez menos dos.   		4 letters,"OCHO.    	In Spanish, ten minus two (diez menos dos) is eight (ocho)."
"""Save Me"" singer Mann.   		5 letters",AIMEE.    	Aimee Mann is an American rock singer and guitarist.
College abroad.   		3 letters,UNI.    	In Australia (Down Under) and in the British Isles the term 'Uni' is routinely used for 'university'.
"""Spider-Man"" director Sam.   		5 letters","RAIMI.    	Sam Raimi is a very successful director and producer, responsible for the ""Spider-Man"" series of films among others and TV series' such as ""Xena: Warrior Princess""."
City near Lake Nasser.   		5 letters,"ASWAN.    	The Egyptian city of Aswan lies in the south of the country, on the River Nile. Aswan is famous for its stone quarries, going back to ancient times. The most celebrated granite rock from the area is called syenite. Stone from Aswan was shipped northwards along the Nile and used in the construction of the pyramids. From ancient times right up to 1970, the annual flooding of the Nile was a significant event in Egypt. The flooding allowed the deposition of fertile silt far beyond the banks of the river, helping the region's agriculture. However, the flooding was unpredictable. So the Aswan Dam was built in the sixties and from 1970 the flooding was brought under control."
Drowsiness-inducing drug.   		6 letters,"OPIATE.    	Opiates are the narcotic alkaloids found in the opium poppy plant, although some synthetic versions and derivatives of the same alkaloids are also called opiates. To produce opiates, the latex sap of the opium poppy is collected and processed. The naturally-occurring drugs of morphine and codeine can both be extracted from the sap. Some synthesis is required to make derivative drugs like heroin and oxycodone."
One who might stick his tongue out at you?.   		6 letters,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from an IR lamp to maintain body temperature."
Singer Mann.   		5 letters,AIMEE.    	Aimee Mann is an American rock singer and guitarist.
Strobe light element.   		5 letters,"XENON.    	Xenon gas is used in flash tubes. The gas is ionized into a light emitting plasma by discharging a high voltage through it, using current stored in a capacitor."
"Cher or Dolly Parton, e.g.   		4 letters","ICON.    	Cher's real name is Cherilyn Sarkisian, born in 1946. In her acting career, Cher was nominated for the Best Supporting Actress Oscar of 1984 for her performance in ""Silkwood"". She went further in 1988 and won the Best Actress Oscar for playing Loretta Castorini in ""Moonstruck""."
"""The Pearl Fishers"" priestess.   		5 letters","LEILA.    	""The Pearl Fishers"" ('Les Pêcheurs de Perles') is the second most famous opera produced by Georges Bizet, the French composer from the Romantic era. 'The Pearl Fishers' is about two Ceylon fishermen (Nadir and Zurga) who are lifelong friends, but that friendship is threatened when the pair fall in love with the same woman (Leila)."
Airhead.   		4 letters,"DODO.    	A dodo is a foolish person, and dodo is word that comes into English from the Portuguese ""doudo"". ""Doudo"" was a slang term used by Portuguese sailors for the extinct bird that we now know as the dodo."
Offshoot.   		5 letters,"SCION.    	""Scion"" comes from the old French word ""sion"" or ""cion"", meaning ""a shoot or a twig"". In botanical terms today, a scion is used in grafting two compatible plants together. In grafting, one plant is selected for its root system (the 'rootstock'), and the other plant is selected for its stems, leaves and fruit (the ""scion""). The term scion migrated naturally into the world of family history. A scion is simply a descendant, a son or a daughter and therefore a branching point in the family tree."
"Boston footballer, for short.   		3 letters","PAT.    	The New England Patriots football team was founded in 1959 as the Boston Patriots. The 'Patriots' name was selected from suggestions made by football fans in Boston. The team played at several different stadiums in the Boston area for just over ten years, before moving to their current home base in Foxborough, Massachusetts. At the time of the move, the 'Boston' name was dropped and changed to 'New England'."
Midwest transportation inits.   		3 letters,CTA.    	Chicago Transit Authority (CTA)
Something Garfield often takes.   		3 letters,NAP.    	'Garfield' is a comic strip drawn by Jim Davis since 1978. Garfield is an orange tabby cat. Davis named his hero Garfield after his own grandfather.
Part of N.B.   		4 letters,"NOTA.    	'Nota bene' is the Latin for ""note well"""
"Publicity, in Variety-speak.   		3 letters","INK.    	'Variety' is a trade magazine dedicated to the entertainment industry. It was founded in 1905 in New York, but is now based in Los Angeles."
Tibia's place.   		4 letters,"SHIN.    	The tibia is the larger of the two bones right below the knee, and is the strongest weight-bearing bone in the human body. ""Tibia"" is the Roman name for a Greek flute and it is thought that the shin bone was given the same name because flutes were often fashioned out of the shin bones of animals."
Figure at the left side of a musical staff.   		4 letters,"CLEF.    	Clef is the French word for ""key"". In music, a clef is used to indicate the pitch of the notes written on the stave. The bass clef is also known as the F-clef, and the treble clef is the G-clef."
"""The Wild Duck"" dramatist.   		5 letters","IBSEN.    	Henrik Ibsen was a Norwegian playwright, considered by many to be the greatest playwright since William Shakespeare. Ibsen was famous for shocking his audiences by exploring subjects that offended the sensibilities of the day (the late 1800s)."
Conductor Seiji.   		5 letters,"OZAWA.    	Seiji Ozawa is most famous for his work as music director of the Boston Symphony Orchestra, although he is also the principal conductor of the Vienna State Opera. Ozawa is renowned for wearing a white turtleneck under his dress suit when he conducts, rather than the traditional starched shirt and white tie."
One with notions.   		3 letters,"KIT.    	In the world of sewing, notions is a term used for a collection of small objects and accessories. So (pun intended!), in a notions kit there might be buttons, collar stays and other accessories, as well as small sewing tools like thread, pins, and marking pens. New to me ..."
1980s-'90s legal drama that won 15 Emmys.   		6 letters,"LA LAW.    	L.A. Law' ran on NBC from 1986 to 1994, and was one of the network's most successful drama series. It took over from the equally successful 'Hill Street Blues' in the Thursday night 10 p.m. slot until, after a six-year run, it was itself replaced by yet another respected drama, 'E.R.' The opening credits showed that famous California licence plate. The plate was on a Jaguar XJ for most of the series, but moved onto a Bentley towards the end of the run. For each series the registration sticker was updated, so no laws were being broken."
"Elvis's ""Blue ___ Shoes"".   		5 letters","SUEDE.    	Blue Suede Shoes' was written and first recorded by Carl Perkins, in 1955. The idea for the song was given to him by Johnny Cash. Cash had been serving with the military in Germany and there met an airman who referred to his military regulation air shoes as 'blue suede shoes'. The idea was reinforced when Perkins heard a young man who was dancing say to his partner, 'Don't step on my suede shoes'. Perkins version of the song was very, very successful, actually 'going gold' in sales. Elvis Presley's version of course did even better."
Intl.   		3 letters,"SEP.    	September 21 has been designated as the International Day of Peace since 2001, although the day itself was inaugurated in 1981 (then the third Tuesday of each September). There is a Peace Bell in the United Nations that rings out on each Peace Day, a gift from the Diet of Japan. The bell itself was cast from coins donated by children all over the world."
AWOL chasers.   		3 letters,MPS.    	Military Police officers (MPs) are concerned with personnel who go AWOL (Absent Without Leave).
"Comedian/TV host once called the ""Queen of Nice"".   		5 letters",ROSIE.    	We don't get to see Rosie O'Donnell on the screen very much these days. She had a very successful chat show that ran from 1996 to 2002. My favorite performance of hers on the big screen is in a supporting role to Meg Ryan in the 1993 movie 'Sleepless in Seattle'.
"""Left!"".   		3 letters","HAW.    	""Haw!"" is a command given to a trained animal that is hauling something (like a horse or an ox), to turn to the left. The equivalent command for a right turn is ""Gee!"""
"""Twelfth Night"" woman.   		5 letters","VIOLA.    	Viola is the main character in Shakespeare's ""Twelfth Night"". Viola is shipwrecked at the beginning of the play in a land ruled by the Duke Orsino. Viola disguises herself as a boy and works for Orsino as a page, and complications ensue ..."
"Sam who directed ""Spider-Man"".   		5 letters","RAIMI.    	Sam Raimi is a very successful director and producer, responsible for the ""Spider-Man"" series of films among others, and TV series' such as ""Xena: Warrior Princess""."
Tats.   		3 letters,"INK.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
Mrs.   		4 letters,"CORA.    	""Blondie"" was created as a comic strip by Chic Young. It was first published in 1930, and is still being created today (although the strip is now controlled by Chic's son, Dean). The series spawned a series of radio programs (1939-1950) and a series of Blondie films (1938-1950). Blondie is married to Dagwood Bumstead. Dagwood slaves away at a construction company run by Julius Dithers, whose wife is Cora."
The City of a Thousand Minarets.   		5 letters,"CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed ""The City of a Thousand Minarets"" because of its impressive skyline replete with Islamic architecture. The name ""Cairo"" is a European corruption of the city's original name in Arabic, ""Al-Qahira"", which translates as 'the Vanquisher' or 'the Conqueror'."
Wasabi ___ (bar snack).   		4 letters,"PEAS.    	Wasabi peas are peas that have been fried and then coated with wasabi powder mixed with sugar, salt and oil. They are a crunchy snack, and a favorite of mine."
Sushi bar quaff.   		4 letters,"SAKE.    	We refer to the Japanese alcoholic beverage made from rice as ""sake"". We've gotten things a bit mixed up in the West. ""Sake"" is actually the word that the Japanese use for all alcoholic drinks. What we know as sake, we sometimes refer to as 'rice wine'. It is indeed made from rice, but it is a brewed rather than fermented and so is more like a beer than a wine."
"Genre featured on MTV's ""Headbangers Ball"".   		5 letters","METAL.    	""Headbangers Ball"" was an MTV show aired late at night that featured hard rock and heavy metal music videos."
Wind River Reservation native.   		7 letters,"ARAPAHO.    	Wind River Indian Reservation is in Wyoming, and is shared by the Eastern Shoshone and Northern Arapaho Native American tribes."
Cut in the direction of the grain.   		3 letters,"RIP.    	In woodworking, a cut across the grain is known as a cross cut. A cut along the grain is called a rip cut. Most saws are designed to perform the best cross cuts, but there is a special rip saw that more easily cuts straight lines along the grain."
Fiji alternative.   		5 letters,"EVIAN.    	Évian-les-Bains (or simply Évian) is in the very east of France, on the shores of Lake Geneva directly across the lake from Lausanne, Switzerland. As you might imagine, Évian is the home of Évian mineral water, the most successful business in town. I can't stand the taste of Évian water ..."
One way to stand.   		3 letters,"PAT.    	To stand pat' is to resist change. The term comes from the game of poker, in which one 'stands pat' if one keeps one's hand as is, not drawing any extra cards."
Composer Bartók.   		4 letters,"BELA.    	Bela Bartok was a composer and a pianist, and is considered by many to be Hungary's greatest composer after Liszt."
"Busted boozer's offense, for short.   		3 letters","DUI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
Subjects of some 911 calls.   		4 letters,"UFOS.    	In 1952, the USAF revived its studies of reported sightings of unidentified flying objects (UFOs) in a program called Project Blue Book. Project Blue Book ran from 1952 until it was shut down in 1969 with the conclusion that there was no threat to national security and that there were no sightings that could not be explained within the bounds of modern scientific knowledge."
"""From knowledge, sea power"" org.   		4 letters","USNA.    	The motto of the United States Naval Academy (USNA) is 'Ex Scientia Tridens', which translates as 'From Knowledge, Sea Power'."
Halloween decoration letters.   		3 letters,RIP.    	Rest in peace (RIP)
Leaders in robes.   		5 letters,"EMIRS.    	An emir is a prince or chieftain, most notably in the Middle East. In English, emir can also be written as emeer, amir and ameer (watch out for those spellings in crosswords!)."
Big 12 sch.   		3 letters,"TCU.    	Texas Christian University (TCU) is a private school in Fort Worth, Texas. TCU used to be called AddRan Male & Female, named after an AddRan Clark, the son of Addison Clark who died at the age of 3-years-old from diphtheria. Poor young AddRan was named after his father and his brother, Addison and Randolph."
The Garden of England.   		4 letters,"KENT.    	Kent is a county in the southeast of England. Kent is a little unusual in that it shares a ""land"" border with France. That border nominally exists halfway through the Channel Tunnel, one end of which comes to surface in the Kent port of Folkestone. Kent's nickname is 'the Garden of England'"
Row with many people.   		5 letters,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means ""confused fight""."
Brand with a paw print in its logo.   		4 letters,"IAMS.    	Iams dog food was produced by the animal nutritionist Paul Iams. He felt that household pets were suffering somewhat by being fed a diet of table scraps, so he developed a dry dog food that he felt was more nutritious and suitable for pet dogs. He founded the Iams company, now part of Proctor & Gamble, in 1946."
"Non-mono, say.   		6 letters","STEREO.    	Monophonic sound (""mono"") is sound reproduced using just one audio channel, which is usually played out of just one speaker. Stereophonic sound is reproduced using two audio channels, with the sound from each channel played out of two different speakers. The pair of stereo speakers are usually positioned apart from each other so that sound appears to come from between the two. Quadraphonic sound (4.0 surround sound) uses four audio channels with the sound played back through four speakers often positioned at the corners of the room in which one is listening."
Word on many LPs.   		6 letters,"STEREO.    	Monophonic sound (""mono"") is sound reproduced using just one audio channel which is usually played out of just one speaker. Stereophonic sound is reproduced using two audio channels, with the sound from those channels usually played out of two speakers. The pair of stereo are usually positioned apart from each other so that sound appears to come from between the two. Quadraphonic sound (4.0 surround sound) uses four audio channels with the sound played back through four speakers often positioned at the corners of the room in which one is listening."
Nickname for José.   		4 letters,"PEPE.    	'José' is the Spanish for 'Joseph'. Friends might also refer to José as 'Pepe'. Both José and Pepe derive from Saint Joseph, the father of Jesus. Saint Joseph is sometimes referred to as 'padre putativo' meaning 'presumed father"". The acronym 'PP', standing for 'padre putativo', led to the name 'Pepe'."
It can be felt on felt.   		3 letters,NAP.    	A 'nap' is a soft and perhaps fuzzy surface on cloth or leather.
"2001 #1 album with the hit ""Love Don't Cost a Thing"".   		4 letters","J.LO.    	J.Lo is the nickname of singer and actress Jennifer Lopez. J.Lo is also the title of her second studio album, released in 2001."
"Brief albums, in brief.   		3 letters","EPS.    	An extended play record (EP) contains more music than a single, but less than an long play record (LP)."
Epithet for many a rapper.   		3 letters,"LIL.    	Lil Wayne, Lil Italy, Lil' Vicious etc."
Harry Reid's state: Abbr..   		3 letters,"NEV.    	The official nickname of Nevada is the ""Silver State"", a reference to importance of silver ore in the state&#8217;s growth and economy. The unofficial nickname is the ""Battle Born State"". ""Battle Born"" is a reference to Nevada being awarded statehood during the American Civil War."
"Franz's partner in old ""S.N.L."" sketches.   		4 letters",HANS.    	'Pumping up with Hans & Franz' was a popular sketch on 'Saturday Night Live'. The title characters were played by Dana Carvey and Kevin Nealon.
One of tennis's Williams sisters.   		6 letters,SERENA.    	Serena Williams is the younger of the two Williams sisters playing professional tennis. Serena has won more prize money in her career than any other female athlete.
Part of a C.S.A.   		5 letters,"E LEE.    	Robert E. Lee is renowned as a southern officer in the Civil War. Lee was a somewhat reluctant participant in the war in that he opposed the secession of his home state of Virginia from the Union. At the beginning of the war, President Lincoln invited Lee to take command of the whole Union Army but he declined, choosing instead to stay loyal to his home state."
Missing women?.   		4 letters,"STAG.    	Back where I come from, bachelor parties are called stag parties, and bachelorette parties are hen parties. And in Ireland the fairer sex usually isn't welcome at a stag party, not even for entertainment purposes. We tend to focus on the drink ..."
Head of a family.   		4 letters,"CAPO.    	More properly called a ""caporegime"", a ""capo"" is high-ranking member of the Mafia (Cosa Nostra)."
"""Bali ___"" (""South Pacific"" song).   		3 letters","HAI.    	The song ""Bali Ha'i"" is from the musical ""South Pacific"" by Rodgers and Hammerstein. In the musical, Bali Ha'i is the name of a volcanic island that neighbors the island on which the story takes place."
Home of George W.   		3 letters,"SMU.    	Southern Methodist University (SMU) is located in University Park, Texas (part of Dallas), and was founded in 1911. SMU is home to the George W. Bush Presidential Library."
Layer in global warming discussions.   		5 letters,"OZONE.    	Ozone gets its name from the Greek word ozein, meaning ""to smell"". It was given this name as ozone's formation during lightning storms was detected by the gas's distinctive smell. Famously, there is a relatively high concentration of the gas in the 'ozone layer' in the Earth's stratosphere. This ozone layer provides a vital function for animal life on the planet as it absorbs most of the sun's UV radiation. A molecule of ozone is made up of three oxygen atoms, whereas a 'normal' oxygen has just two atoms."
Suffix with meteor.   		4 letters,"-ITE.    	A shooting star is what we call the visible path of a meteoroid as is it enters the earth's atmosphere. Almost all meteoroids burn up, but if one is large enough to survive and reach the ground, we call it a meteorite. The word 'meteor' comes from the Greek 'meteōros' meaning 'high in the air'."
"Coat, in old slang.   		3 letters","TOG.    	The verb ""tog"", meaning to dress up, comes from the Latin ""toga"", the garment worn in Ancient Rome. ""Tog"" can be use as an informal word for a coat or a cloak. Back in Ireland, togs are what we call swimming shorts."
Cellist Casals.   		5 letters,"PABLO.    	Pablo Casals was a wonderful cellist, from Catalonia in Spain. Casals lived at the time of the Franco regime in Spain. As a supporter of the Spanish Republican Government he placed himself in self-imposed exile in 1938, vowing not to return home until democracy had been restored. Casals never again set foot on Spanish soil, and died in Puerto Rico in 1973."
Kite relatives.   		4 letters,"ERNS.    	An ern (also erne) is also called the while-tailed eagle, and the sea-eagle."
Assault or battery.   		4 letters,"TORT.    	The word ""tort"" comes to us directly from the French word, meaning ""mischief, injury or wrong"". It's a fitting word, as tort law is generally about negligence, when the action of one party causes injury to another, but that action is outside of the scope of criminal law."
"Dynamite component, briefly.   		5 letters","NITRO.    	Nitroglycerin (also known as 'nitro') is a very unstable, oily, colorless liquid. It is usually used as the explosive ingredient in a stabilized product like dynamite or cordite. Nitroglycerin is also used medically, as a vasodilator. Right after it hits the bloodstream is causes the blood vessels to dilate to that the heart has less work to do. I had occasion to take it a couple of times, and boy, what a speedy and fundamental effect it has."
Cuckoo.   		5 letters,INANE.    	Our word 'inane' meaning silly or lacking substance comes from the Latin 'inanitis' meaning 'empty space'.
Communist bloc news source.   		4 letters,"TASS.    	TASS is the abbreviation used for the former news agency that had the full name Telegraph Association of the Soviet Union (Telegrafnoe Agentstvo Sovetskovo Soyuza). When the Soviet Union dissolved in 1992, the Moscow-based agency's scope changed along with its name. It is now known as the Information Telegraph Agency of Russia (ITAR-TASS)."
Fast pitch.   		5 letters,"SPIEL.    	A spiel is a lengthy speech or argument designed to persuade, like a sales pitch. ""Spiel"" comes to us from German, either directly (""spiel"" is the German for ""play"") or via the Yiddish ""shpil""."
Elvis ___ Presley.   		4 letters,"ARON.    	Elvis Aron Presley was the younger of two identical twins. is brother was stillborn, delivered 35 minutes before Elvis. The brother was named Jesse Garon Presley. So, though born a twin, Elvis was raised as an only child."
