Reggae/dancehall artist ___ Paul.   		4 letters,"SEAN.    	Sean Paul is the stage name of Sean Paul Ryan Francis Henriques, a Jamaican reggae artist."
"Versatile, electrically.   		5 letters","AC/DC.    	Anyone with a laptop with an external power supply has an AC/DC converter, that big 'block' in the power cord. It converts the AC current from a wall socket into the DC current that is used by the laptop."
Serengeti roamer.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, and is an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
"Anaïs of ""Henry & June"".   		3 letters","NIN.    	100. Thurman of ""Henry & June"" : UMA"
Eagles tight end Igwenagu.   		4 letters,EMIL.    	Emil Igwenagu plays football for the Philadelphia Eagles.
Grease dissolver.   		3 letters,"LYE.    	To clean out drains we might buy Crystal Drano which is sodium hydroxide (lye) mixed with sodium nitrate, sodium chloride (table salt) and aluminum. The contents of Drano work in concert to clear the clog. The lye reacts with any fats creating soap which may be enough to break up the clog. Also, the finely-divided aluminum reacts with water creating tremendous heat so that that mixture boils and churns, then any hair or fibers are cut by the sharp edges of the nitrate and chloride crystals. Having said all that, I find that boiling water poured down the drain almost always does the job ..."
"Kilmer of ""Real Genius"".   		3 letters","VAL.    	""Real Genius"" is a comedy movie released in 1985, starring Val Kilmer. It's one of those clever kid on a college campus films. The final scene in the film is perhaps notable. In the scene, the students destroy a professor's house using laser-popped popcorn. The cast of the TV show ""Mythbusters"" delved into the movie premise, and showed that even though popcorn could indeed be popped by lasers, the popped corn wasn't hard enough to break window-glass, never mind bring a house down."
A Lennon.   		4 letters,"SEAN.    	""Beautiful Boy (Darling Boy)"" is a John Lennon song, which was released on the 1980 album ""Double Fantasy"", produced with Yoko Ono, the last album released before Lennon was murdered. The ""beautiful boy"" in the song is Sean, the only child that Lennon and Ono had together. The song contains the famous line ""Life is what happens to you while you're busy making other plans""."
Robert Devereux's earldom.   		5 letters,"ESSEX.    	Robert Devereux was the 2nd Earl of Essex, and a favorite in the court of Queen Elizabeth I of England. Eventually however, Essex fell foul of the government and was found guilty of treason. He was executed on Tower Green in the Tower of London. Famously, his executor took three strokes of the axe to complete the beheading. Essex was the last person to be beheaded at the Tower."
"Satyajit Ray's ""The ___ Trilogy"".   		3 letters","APU.    	Satyajit Ray was a Bengali film maker, famous for directing ""The Apu Trilogy"". These were three Bengali films that were released between 1955 and 1959. They featured music composed by Ravi Shankar, and are considered to be some of the greatest movies of all times by international critics, yet they were filmed on tiny budgets."
Tolkien forest creatures.   		4 letters,"ENTS.    	Ents are those tree-like creatures that live in J. R. R. Tolkien's Middle-earth, in his series of books ""The Lord of the Rings"". 'Ent' is an Old English word for 'giant'."
"Shape of the Aleutian Islands, on a map.   		3 letters",ARC.    	The Aleutian Islands are a chain of 69 volcanic islands that extend in an arc-shape in the Northern Pacific Ocean. The Aleutian Islands are home to 57 volcanoes.
"Byron's ""before"".   		3 letters","ERE.    	George Gordon Byron, known simply as ""Lord Byron"", was an English poet active in the early 1800s. Byron was equally as famous for his poetry as he was for the wild excesses in his personal life. Byron lived much of that life outside of England, and fought for revolutionaries in both Italy and Greece. He died from a fever contracted while fighting for the Greeks against the Ottomans."
One running races for a living?.   		3 letters,POL.    	Politician (pol)
Sur citizen.   		5 letters,"OMANI.    	The city of Sur is a regional capital in northeastern Oman, sitting right on the coast on the Gulf of Oman."
"Before, to Byron.   		3 letters","ERE.    	George Gordon Byron, known simply as ""Lord Byron"", was an English poet active in the early 1800s. He was equally as famous for his poetry as he was for the wild excesses in his personal life. He lived much of his life outside of England, and fought for revolutionaries in both Italy and Greece, and died from a fever contracted while fighting for the Greeks against the Ottomans."
"Life force, in meditation.   		3 letters",CHI.    	In Chinese culture 'qi' or 'chi' is the life force in any living thing.
Steely one?.   		3 letters,"DAN.    	Steely Dan's heyday was in the seventies when they toured for a couple of years, although the group mainly focused on studio work. The band was formed in 1972 and broke up in 1981. The core of the band reunited in 1993, and they are still going strong today."
Precipitation around 32 degrees.   		5 letters,"SLEET.    	Sleet is a term used to describe two weather conditions. One is a shower of ice pellets, smaller than hail, and the second is a mixture of rain and snow, with the snow melting as it falls. It's the second definition that I have always used ..."
"""The ___ Trilogy"" (1955-59 film series).   		3 letters","APU.    	Satyajit Ray was a Bengali film maker, famous for directing ""The Apu Trilogy"". These were three Bengali films that were released between 1955 and 1959. They featured music composed by Ravi Shankar, and are considered to be some of the greatest movies of all times by international critics, yet they were filmed on tiny budgets."
Boss Tweed lampooner.   		4 letters,"NAST.    	Thomas Nast was an American caricaturist and cartoonist. He was the creator of the Republican Party elephant, the Democratic Party's donkey, Uncle Sam and the image of the plump and jocular Santa Claus that we use today."
U.N.   		3 letters,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN which was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
Campus org.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is based in colleges all around the US. The ROTC program was established in 1862 when, as a condition of receiving a land-grant, the federal government required that military tactics be a part of a new school's curriculum."
Oslo Accords grp.   		3 letters,"PLO.    	The Oslo Accords grew out of secret negotiations between the Palestinian Liberation Organization (PLO) and Israel in a residence in Oslo in the early nineties. The delegates shared the same house while they conducted 14 meetings. While eating all their meals together at the same table, the negotiators came to respect one another and apparently friendships developed."
"That, in Tijuana.   		3 letters","ESO.    	Tijuana is the largest city in the Mexican state of Baja California, and lies just across the US-Mexico border from San Diego. Tijuana is also the most westerly of all Mexican cities. A lot of the Tijuana's growth took place in the twenties, as tourists flocked south of the border during the days of prohibition in the US."
Kind of rug or code.   		4 letters,"AREA.    	Area codes were introduced in the 1940s. Back then the 'clicks' one heard when dialling a number led to mechanical wear on various pieces of equipment. In order to minimize overall mechanical wear, areas with high call volumes were given the most efficient area codes (lowest number of clicks). That led to New York getting the area code 212, Los Angeles 213 and Chicago 313."
Much of what is auctioned at Sotheby's.   		3 letters,"ART.    	Sotheby's is one of the world's oldest auction houses, having opened its doors for business in 1744 in London. However, the company is now headquartered in New York City."
Raptors' home: Abbr..   		3 letters,"TOR.    	The Raptors are the NBA basketball team based in Toronto, Ontario. "
Shirt brand that once had a crocodile symbol.   		4 letters,"IZOD.    	Jack Izod was a tailor of some repute over in England, producing shirts for King George V as well as other members of the Royal Family. As Izod was about to retire, he was approached for the use of his name by an American clothing manufacturer based in New York. The brand Izod of London was introduced to America in 1938."
French CD holder.   		4 letters,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported both the case design and the word ""etui"" from France. The French also have a modern usage of ""etui"", using the term to depict a case for carrying CDs."
"""The poet in my heart,"" per a Fleetwood Mac song.   		4 letters","SARA.    	Fleetwood Mac was founded in 1967 in London. The band was started by Peter Green, and he chose the name from two friends in former bands (named Fleetwood and McVie). This is despite the fact the drummer's name happens to be Mick Fleetwood."
Bit of Indian music.   		4 letters,"RAGA.    	Raga isn't really a type of music, but has been described as the ""tonal framework"" in which Indian classical music is composed. Ravi Shankar was perhaps the most famous raga virtuoso (to us Westerners)."
He's unrefined.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
"Op-ed, e.g.   		5 letters","ESSAY.    	Op-Ed is an abbreviation for ""opposite the editorial page"". Op-Eds started in ""The New York Evening World"" in 1921 when the page opposite the editorials was used for articles written by a named guest writer, someone independent of the editorial board."
Needle case.   		4 letters,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported both the case design and the word ""etui"" from France. The French also have a modern usage of ""etui"", using the term to depict a case for carrying CDs."
Grain in Nutri-Grain.   		3 letters,OAT.    	The Nutri-Grain brand of breakfast foods is made by Kellogg. The brand was actually first introduced in Australia in 1981.
Chaney of horror films.   		3 letters,"LON.    	Lon Chaney, Sr. played a lot of crazed-looking characters in the days of silent movies. He did much of his own make-up work, developing the grotesque appearances that became his trademark, and earning himself the nickname ""the man of a thousand faces"". Most famous were his portrayals of the title characters in the films 'The Hunchback of Notre Dame' (1923) and ""The Phantom of the Opera"" (1925)."
1960s Greystoke portrayer.   		3 letters,"ELY.    	Ron Ely is most famous for playing the title role in the ""Tarzan"" TV series in the sixties. Years later, Ely hosted the 1980 and 1981 ""Miss America"" pageants right after longtime host Bert Parks retired, before the job was taken over by Gary Collins. And Ely is a successful mystery novelist. He wrote ""Night Shadows"" and ""East Beach"" in the mid-nineties, both of which featured his private eye Jake Sands."
Cowardly Lion portrayer Bert.   		4 letters,"LAHR.    	Bert Lahr's most famous role was the cowardly lion in ""The Wizard of Oz"". Lahr had a long career in burlesque, vaudeville and on Broadway. Lahr also starred in the first US production of Samuel Beckett's play 'Waiting for Godot', alongside Tom Ewell."
"Flexible, electrically speaking.   		5 letters","AC/DC.    	Anyone with a laptop with an external power supply has an AC/DC converter, that big 'block' in the power cord. It converts the AC current from a wall socket into the DC current that is used by the laptop."
Sermon leader.   		4 letters,"IMAM.    	An imam is a Muslim leader, often the one in charge of a mosque or perhaps a Muslim community."
French key.   		3 letters,CLE.    	'Clé' is the French word for 'key'.
"Old ___, ""Game of Thrones"" character.   		3 letters","NAN.    	HBO's 'Game of Thrones' is a fantasy television drama that was adapted from a series of novels by George R. R. Martin called 'A Song of Ice and Fire'. 'Game of Thrones' is actually made in and around Belfast, Northern Ireland."
British business abbr..   		3 letters,"LTD.    	In Britain and Ireland the most common type of business (my perception anyway) is one that has private shareholders whose liability is limited to the value of their investment. Such a company is known as a private limited company, and has the letters ""Ltd"" after the name. If the shares are publicly traded, then the company is a public limited company, and has the letters ""plc"" after the name."
"The Devil, e.g.   		5 letters","TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment as a game. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future. The list of tarot cards includes the Wheel of Fortune, the Devil, the Hanged Man and the Lovers."
Some submissions: Abbr..   		3 letters,MSS.    	An editor (ed.) has to wade his or her way through a manuscript (MS) that has been submitted.
N.J.   		3 letters,"DEL.    	The state of Delaware takes its name from Virginia's first colonial governor, Englishman Thomas West, 3rd Baron De La Warr. Delaware is known as the First State as it was the first to ratify the US Constitution, in 1787."
"Cavs, on a scoreboard.   		3 letters","CLE.    	The Cleveland Cavaliers are the professional basketball team based in Cleveland, Ohio. The Cavs joined the NBA as an expansion team in 1970. The team plays at the Quicken Loans Arena in downtown Cleveland, a facility that the locals refer to as 'the Q'."
"""Lucky Jim"" author.   		4 letters","AMIS.    	Kingsley Amis (what a great name!) was a very successful English writer, famous for producing entertaining, comedic novels. His most famous novel probably is his first, ""Lucky Jim"" published in 1954, although he won a Booker Prize for a later novel, ""The Old Devils"" published in 1986. He passed on some of his talent through his genes, it seems, as his son Martin Amis is a very successful novelist too."
Chaney Sr.   		3 letters,"LON.    	Lon Chaney, Sr. played a lot of crazed looking characters in the days of silent movies. He did much of his own make-up work, developing the grotesque appearances that became his trademark, and earned him the nickname of ""the man of a thousand faces"". Most famous of all was portrayal of ""The Phantom of the Opera"" in 1925."
Forum wear.   		4 letters,"TOGA.    	In Ancient Rome the classical attire known as a toga (plural 'togae') was usually worn over a tunic. The tunic was made from linen, and the toga itself was a piece of cloth about twenty feet long made from wool. The toga could only be worn by men, and only if those men were Roman citizens. The female equivalent of the toga was called a ""stola""."
Santa drawer.   		4 letters,"NAST.    	Thomas Nast was an American caricaturist and cartoonist. He was the creator of the Republican Party elephant, the Democratic Party's donkey, Uncle Sam and the image of the plump and jocular Santa Claus that we use today."
Potential mag.   		3 letters,MSS.    	An editor (ed.) might be faced with a pile of manuscripts (MSs).
"""Happy Days"" network.   		3 letters","ABC.    	""Happy Days"" is a hilarious ABC show that aired originally for ten years starting in 1974. The show was so successful that it spawned a three spin-offs: ""Laverne & Shirley"", ""Mork & Mindy"", and ""Joanie Loves Chachi"". And, there is even a stage musical version of the show that is touring the US right now."
Noted elephant designer.   		4 letters,"NAST.    	Thomas Nast was an American caricaturist and cartoonist. He was the creator of the Republican Party elephant, the Democratic Party's donkey, Uncle Sam and the image of the plump and jocular Santa Claus that we use today."
Tierra ___ Fuego.   		3 letters,"DEL.    	Tierra del Fuego is an archipelago off the southern tip of South America and is the location of the famed Cape Horn. Tierra del Fuego was discovered by the Portuguese explorer Ferdinand Magellan. He saw native fires on land as he passed by and originally called the location ""Land of Smoke"" This was later changed to ""Land of Fire"", or ""Tierra del Fuego"" in Spanish."
Icy precipitation.   		5 letters,"SLEET.    	Sleet is a term used to describe two weather conditions. One is a shower of ice pellets, smaller than hail, and the second is a mixture of rain and snow, with the snow melting as it falls. It's the second definition that I have always used ..."
One-named sports star who was once the highest-paid athlete in the world.   		4 letters,"PELE.    	Pelé is the nickname of Edson de Nascimento, a soccer player who has used the name Pelé for most of his life. Pelé is now retired, and for my money was the world's greatest ever player of the game. He is the only person to have been part of three World Cup winning squads, and is a national treasure in his native Brazil."
Smidgen.   		3 letters,"TAD.    	A tad is a small boy, with the term possibly coming from the word ""tadpole""."
"Managed care plan, for short.   		3 letters",HMO.    	Health Maintenance Organization (HMO)
"The ""A"" of BART.   		4 letters",AREA.    	Bay Area Rapid Transit (BART) serves the San Francisco Bay Area.
"""___ Femme Mariée"" (Jean-Luc Godard film).   		3 letters","UNE.    	""Une femme marriee"" translates from French into ""A Married Woman"", and is a 1964 film by Jean-Luc Godard. Godard is a so-called ""Nouvelle Vague"" (New Wave) cinematographer, making movies that challenge the conventions of both traditional Hollywood and French cinema."
"Seized property, informally.   		4 letters",REPO.    	Repo: repossessed property.
Blood-typing letters.   		3 letters,"ABO.    	The most important grouping of blood types is the ABO system. Blood is classified as either A, B, AB or O, depending on the type of antigens on the surface of the red blood cells. A secondary designation of blood is the Rh factor, in which other antigens are labelled as either positive or negative. When a patient receives a blood transfusion, ideally the donor blood should be the same type as that of the recipient, as incompatible blood cells can be rejected. However, blood type O-neg can be accepted by recipients with all blood types, A, B, AB or O, and positive or negative. Hence someone with O-neg blood type is called a ""universal donor""."
Ed.'s workload.   		3 letters,MSS.    	An editor has to wade his or her way through a manuscript (MS) that has been submitted.
1994 Jodie Foster role.   		4 letters,"NELL.    	""Nell"" is a thoughtful drama film from 1994 starring Jodie Foster in the title role, playing a young woman who had been raised by her mother in isolation, away from all human contact. She is discovered as an untamed child and gradually introduced into society. The movie is a screen adaptation of a play by Mark Handley called ""IdioGlossia""."
Salinger title girl.   		4 letters,"ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
Lawless role.   		4 letters,"XENA.    	Lucy Lawless is a New Zealand actress (and singer), famous for playing the title role in TV;s ""Xena: Warrior Princess"". Lawless first played the Xena character in a made-for-TV movie called Hercules and the Amazon Women, and later played the character again in a series called ""Hercules: The Legendary Journeys"". Xena became so popular that a series was built around the character, with Lawless retained for the role."
"""The Untouchables"" role.   		4 letters",NESS.    	'The Untouchables' is a crime series that originally ran on television from 1959 to 1963. Star of the show is Robert Stack who plays Eliot Ness.
Actress Watts.   		5 letters,NAOMI.    	The actress Naomi Watts was born in the UK and moved to Australia when she was 14 years of age. It was in Australia that Watts got her break in television and movies. Probably her most acclaimed role was in the 2003 film '21 Grams' with Sean Penn and Benicio del Toro. Watts is best friends with fellow Australian actress Nicole Kidman.
Ruth's mother-in-law.   		5 letters,"NAOMI.    	In the Bible, Naomi was the mother-in-law of Ruth. Naomi's husband and two sons died, making her very bitter. Because of this, Naomi changed her name to 'Mara', which translates as 'bitter'."
"The ""E"" in E.S.L.: Abbr..   		3 letters",ENG.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
___ diavolo (spicy sauce).   		3 letters,"FRA.    	Fra diavolo is a spicy sauce used for pasta and seafood, usually made with chili peppers in a tomato base. The name 'Fra diavolo' translates to 'Brother devil'. The sauce may be named for the Italian revolutionary Michele Pezza who was also known as Fra Diavolo."
Kilmer of film.   		3 letters,"VAL.    	Val Kilmer's first big leading role in a movie was playing Jim Morrison in Oliver Stone's 1991 biopic ""The Doors"". A few years later he was chosen for the lead in another big production, ""Batman Forever"". Things haven't really gone as well for Kilmer since then, I'd say. Off the screen, he flirted with the idea of running for Governor of New Mexico in 2010. A Hollywood actor as a Governor? Would never happen ..."
"Jack's love in ""Titanic"".   		4 letters","ROSE.    	When James Cameron made his epic movie 'Titanic', released in 1997, it was the most expensive film ever made, costing about $200 million. It was a good investment for the studio as it became the highest-grossing film of all time, bringing in over $1.8 billion. 'Titanic' remained the highest-grossing film until 2010, when Cameron eclipsed the prior record with 'Avatar'."
Catastrophic start or end?.   		3 letters,CEE.    	There is a letter C (cee) at both the start and the end of the word 'catastrophic'.
Loch ___ monster.   		4 letters,"NESS.    	The Loch Ness monster has been talked about for centuries, but modern interest started in 1933 when a spate of sightings was reported. Those sightings don't seem to have stopped, with photographs really sparking the imagination."
AOL competitor.   		3 letters,"MSN.    	MSN was originally called The Microsoft Network, and was introduced in 1995 as an integral part of Microsoft's Windows 95 operating system. MSN is a whole bundle of services including email, instant messaging, and the MSN.com portal (which is the 9th most visited site on the Internet)."
"Police broadcast, for short.   		3 letters",APB.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
Tammany tiger creator.   		4 letters,"NAST.    	The building known as Tammany Hall was home to the Tammany Society, an organization in New York City that came to be the political machine behind the Democratic Party that held sway in New York State from the late-18th century to the mid-20th century. The society was named for Tamanend, a leader of the Native American Lenape people."
Capital on the Willamette River.   		5 letters,"SALEM.    	Salem is the state capital of Oregon. It is thought that the city takes its name from the older city of Salem, Massachusetts."
Source of enlightenment.   		3 letters,"ZEN.    	Zen is one of the Buddhist schools, and it developed it's own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
Where the action is.   		5 letters,"ARENA.    	Our term 'arena' comes from the Latin 'harena', a place of combat. Originally 'harena' was used to describe sand or a sandy place. Those Ancient Roman places of combat were covered with sand to soak up blood."
Beast with a beard.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, an antelope native to Africa. Wildebeest is actually the Dutch word for ""wild beast""."
N.Y.C.   		3 letters,"MTA.    	The MTA is the Metropolitan Transportation Authority, which has public transportation responsibility in the state of New York (as well as part of Connecticut)."
Olds of old.   		5 letters,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
Putin put-down?.   		4 letters,"NYET.    	""Nyet"" is Russian for ""no"", and 'da' is Russian for 'yes'."
Brother of George W.   		4 letters,NEIL.    	Neil is the fourth child (of six) of former President George Herbert Walker Bush. Neil is a businessman living in Texas.
Brown who founded The Daily Beast.   		4 letters,"TINA.    	Tina Brown is a British journalist, best known in America as author of ""The Diana Chronicles"", a biography of Diana, Princess of Wales, of whom Brown was a personal friend. Brown moved to the US in 1984 to take up the post of editor for 'Vanity Fair'. After also serving as editor of 'The New Yorker', she co-founded 'The Daily Beast' news website."
Duchess of ___ (Goya subject).   		4 letters,ALBA.    	María Cayetana de Silva was the 13th Duchess of Alba. She was a favorite subject of the Spanish painter Francisco Goya. The duchess is the subject in the famous portraits known as 'La maja desnuda' (The Nude Maja) and 'La maja vestida' (The Clothed Maja). 'Maja' translates from Spanish as 'beautiful lady'.
"""Mama's Special Garden"" brand.   		4 letters","RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name ""Ragu"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
Tombstone lawman.   		4 letters,"EARP.    	Wyatt Earp is famous as one of the participants in the gunfight at the O.K. Corral. Earp was a city policeman in Wichita, Kansas and also in Dodge City, Kansas. Earp was also deputy sheriff in Tombstone, Arizona where the O.K. Corral gunfight took place. Years later, Earp joined the Alaska Gold Rush and with a partner built and operated the Dexter Saloon in Nome."
First in command?.   		3 letters,CEE.    	The first letter in the word 'command' is the letter C (cee).
Plain folk.   		5 letters,"AMISH.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
___ weight.   		4 letters,"TROY.    	The system of troy weights is now only used to measure the mass of precious metals and gemstones. The name 'troy' likely came from the French town of Troyes, which was famous for trading with the English as far back as the 9th century."
"With 70-Across, member of Hollywood's Frat Pack.   		3 letters",BEN.    	(70A. See 45-Down : STILLER)
Medvedev's denial.   		4 letters,"NYET.    	Dmitry Medvedev was the third President of Russia from from 2008 to 2012, at which time he was appointed as the country's tenth Prime Minister. That appointment was made by Medvedev's successor as president, Vladimir Putin. The president supposedly wields more power than the prime minister according to Russia's constitution, although it is generally assumed that Putin has been calling most of the shots consistently for many years now. Medvedev had served as Putin's campaign manager in the 2000 presidential election."
Kit ___ bar.   		3 letters,"KAT.    	I grew up eating Kit Kat bars as a kid, as the chocolate confection has been around since the thirties. Kit Kats didn't hit the shelves in the US until the seventies. I've seen new varieties of Kit Kat over in the UK, such as an orange-flavored version, but haven't seen anything like that over here."
"Kilmer of ""Top Gun"".   		3 letters","VAL.    	Val Kilmer's first big leading role in a movie was playing Jim Morrison in Oliver Stone's 1991 biopic ""The Doors"". A few years later, Morrison was chosen for the lead in another big production, ""Batman Forever"". Things haven't really gone as well for Kilmer since then, I'd say. Off the screen, he flirted with the idea of running for Governor of New Mexico in 2010. A Hollywood actor as governor? Would never happen ..."
Condé ___ (magazine company).   		4 letters,"NAST.    	Condé Nast has a very large portfolio of publications, including ""Vogue"", ""GQ"", ""House and Garden"", ""Golf Digest"", ""Wired"", ""Vanity Fair"" and ""The New Yorker""."
Baddie in Perrault's tales.   		4 letters,"OGRE.    	Charles Perrault was a French author, famous for fairy tales. Most of his stories were based on existing folk tales, including ""Little Red Riding Hood"", ""Cinderella"" and ""Puss in Boots"". Perrault's stories have been adapted over the years for the stage and the big screen, including the celebrated ballet ""Sleeping Beauty"" by Tchaikovsky."
Diarist Anaïs.   		3 letters,"NIN.    	Anaïs Nin was a French author, famous for her journals that she wrote for over sixty years from the age of 11 right up to her death. Nin also wrote highly regarded erotica and cited D. H. Lawrence as someone from whom she drew inspiration. Nin was married to banker and artist Hugh Parker Guiler in 1923. Decades later in 1955, Nin married former actor Rupert Pole, even though she was still married to Guiler. Nin and Pole had their marriage annulled in 1966, but just for legal reasons, and they continued to live together as husband and wife until Nin passed away in 1977."
"Free ad, for short.   		3 letters",PSA.    	Public service announcement (PSA)
Greek symbol for the golden ratio.   		3 letters,"PHI.    	The golden ratio, denoted by the Greek letter phi, is a mathematical constant that often turns up in the world of art. Phi is approximately equal to 1.61, and is represented by the two distances, a and b, where (a+b)/a = a/b. Somehow we perceive the ratio of 1.61 as ""pleasing"" so it appears in many works of art and in building design. For example, many aspects of the Parthenon in Athens have the ratio of 1.61 (width compared to height). Leonardo da Vinci's famous drawing of the Vitruvian Man also illustrates the golden ratio in the proportions of the human body, where he shows that the distance from the foot to the navel, compared to the distance from the navel to the head, is 1.61."
Blood-typing system.   		3 letters,"ABO.    	The most important grouping of blood types is the ABO system. Blood is classified as either A, B, AB or O, depending on the type of antigens on the surface of the red blood cells. A secondary designation of blood is the Rh factor, in which other antigens are labelled as either positive or negative. When a patient receives a blood transfusion, ideally the donor blood should be the same type as that of the recipient, as incompatible blood cells can be rejected. However, blood type O-neg can be accepted by recipients with all blood types, A, B, AB or O, and positive or negative. Hence someone with O-neg blood type is called a ""universal donor""."
___-Magnon.   		3 letters,"CRO.    	Remains of early man, dating back to 35,000 years ago, were found in Abri de Cro-Magnon in southwest France, giving the name to those early humans. Cro-Magnon remains are the oldest human relics that have been discovered in Europe."
Southern African game.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, and is an antelope native to Africa. 'Wildebeest' is actually the Dutch word for 'wild beast'."
Guy whose face might get slapped.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
Food label abbr..   		3 letters,CAL.    	CAL: calories.
Cross-state rival of CIN.   		3 letters,"CLE.    	The Cleveland Browns football team was a charter member of the All-American Football Conference, formed in 1946. Cleveland is the only NFL city that has never hosted nor sent a team to the Super Bowl."
Operation Mail Call grp.   		3 letters,"USO.    	The USO's Operation Mail Call is designed to make life a little less stressful for our servicemen who are away from loved ones on special occasions. The program provides troops an easy way to send up to ten paper greeting cards for free, to loved ones back home."
Certain spirit.   		3 letters,"GIN.    	The spirit known as gin gets its unique flavor mainly from juniper berries. The name 'gin' comes into English from the translation of 'juniper' from either French (genièvre), Dutch (jenever) or Italian (ginepro)."
Fashion monogram.   		3 letters,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. He started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 Saint-Laurent was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together, and started his own fashion house. A remarkable story ..."
Big ___.   		3 letters,"SUR.    	Big Sur is a lovely part of the California Coast, south of Monterrey and Carmel. The name ""Big Sur"" comes from the original Spanish description of the area as ""el sur grande"" meaning ""the big south""."
Swiss river.   		4 letters,"AARE.    	The Aar (also called the ""Aare"" in German) is the longest river entirely in Switzerland. A famous spot along the Aar is the Reichenbach Falls in the center of the country, actually a series of waterfalls near the city of Meiringen. These falls are renowned in the world of literature as it was here that Sherlock Holmes fell to his supposed doom with his nemesis Professor Moriarty (in ""The Adventure of the Final Problem"")."
Sleazeball.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
Simon of Broadway.   		4 letters,"NEIL.    	Neil Simon is one of my favorite playwrights. Simon has written over thirty plays and about thirty screenplays. He has received more nominations for Oscars and Tony Awards than any other writer. My favorite play penned by Simon has to be ""Brighton Beach Memoirs"", but the list of his great stage works seems endless and includes ""Barefoot in the Park"", ""The Odd Couple"", ""Sweet Charity"", ""Plaza Suite"", ""California Suite"", ""Biloxi Blues"" and ""The Goodbye Girl""."
___ Bolognese.   		4 letters,"RAGU.    	The Ragu brand of pasta sauce is owned by Unilever. The name "" Ragù"" is the Italian word for a sauce used to dress pasta, however the spelling is off a little. In Italian the word is ""Ragù"" with a grave accent over the ""u"", but if you look at a jar of the Unilever sauce, it is spelled ""Ragú"" on the label, with an acute accent. Sometimes I think we just don't try ..."
Fabled 90-Down.   		4 letters,HARE.    	(90D. Race loser : ALSO-RAN)
Antioxidant berry.   		4 letters,ACAI.    	Açaí is a palm tree native to Central and South America. The fruit has become very popular in recent years and its juice is a very fashionable addition to juice mixes and smoothies.
___ Bingle (Crosby).   		3 letters,"DER.    	During WWII, Bing Crosby performed lots of live shows in Europe for American troops. He also read propaganda broadcasts in German that were directed towards German forces. In Germany he became known as 'Der Bingle', a name that was eventually picked up by many of his English-speaking fans."
