ACR_,ACRE.    	Acre is a port city in northern Israel on Haifa Bay.
N_MO,"NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne the fate of Nemo and his crew isn't quite so cut and dry, although the inference is perhaps that they did indeed head for Davy Jones' Locker."
H_R,"HER.    	The ship prefix 'HMS' is used by the warships of the Royal Navy, and stands for 'Her/His Majesty's Ship/Submarine'. The prefix 'RMS' is used by ships of the merchant navy, and stands for 'Royal Mail Ship/Steamer'."
I_O,"ITO.    	In the 1880s, Japanese leaders were concerned that their system of government was not defined well enough, leading to ambiguity about areas of responsibility and authority. One of the leaders at the time was Ito Hirobumi, and he took himself and his staff over to Europe to examine the systems of government across that continent, especially those of the British and German Empires. On returning to Japan he lobbied for and was successful in the adoption of a constitution for the country and a modern system of government. Ito became the country's first Prime Minister in 1885."
TA_,"TAI.    	More correctly called tai chi chuan, tai chi is a martial art that is mostly practiced to improve overall health and increase longevity."
_ARL,EARL.    	Earl Scruggs and Lester Flatt are the musicians who founded the bluegrass band called the Foggy Mountain Boys in 1948.
_BA,"MBA.    	The business school at Northwestern University is called the John L. Kellogg School of Management. John L. Kellogg was the son of Will Keith Kellogg of breakfast cereal fame, and John's foundation made a generous donation in 1979, hence the current name for the business school."
NE_O,"NEMO.    	In the 1954 movie version of ""20,000 Leagues Under the Sea"", Captain Nemo goes down with his ship. In the novel by Jules Verne the fate of Nemo and his crew isn't quite so cut and dry, although the inference is perhaps that they did indeed head for Davy Jones' Locker."
IGO_,"IGOR.    	Igor has been the assistant to Dracula, Frankenstein and Young Frankenstein, among others. He is almost invariably portrayed as a hunchback."
_IA,"MIA.    	Mia Farrow is an energetic, award-winning actress who really hasn't looked back in her career since her first leading role, in ""Rosemary's Baby"" back in 1968. Her on-screen celebrity is matched by the interest created by her personal life. Her first husband was Frank Sinatra, a wedding in 1966 that received a lot of attention partly due to the couple's age difference (she was 21, he was 50). Her second husband was almost as famous, the magnificent musician André Previn. Farrow then moved in with Woody Allen, a relationship that famously fell apart when Farrow discovered that Allen was having a sexual relationship with Soon-Yi, one of her adopted daughters from the marriage with André Previn."
_PE,"APE.    	King Kong' really is a classic movie. It stars Fay Wray as the young woman (Ann Darrow) with whom Kong falls in love. Wray was very interested in the role as she was told that she would be playing opposite the ""tallest, darkest leading man in Hollywood"". She thought it might be Clark Gable. At least that's how the story goes ..."
_RA,"BRA.    	Tank top' is another one of those terms that always catches me out, as it has a different meaning on each side of the Atlantic. In the US a tank top is a sleeveless shirt, something we would call a 'vest' back in Ireland (and the US 'vest' is what we call a 'waist coat'). A tank top in Ireland is a sleeveless sweater, which further adds to the confusion. The name 'tank top' is derived from 'tank suit', an old name for a woman's one-piece bathing suit. The use of 'tank' for the bathing suit came from 'swimming tank', an obsolete term used in the 1920s for a swimming pool."
I_I,"ICI.    	The name ""Quebec"" comes from an Algonquin word ""kebec"" meaning ""where the river narrows"". This refers to the area around Quebec City where the St. Lawrence River narrows as it flows through a gap lined by steep cliffs."
NI_,"NIA.    	Not only is the delightful Nia Vardalos the star of the 2002 hit movie ""My Big Fat Greek Wedding"", she also wrote the screenplay. The film never made it to number one at the box office, but it still pulled in more money than any other movie in history that didn't make it to number one. That record I think reflects the fact that the film wasn't a blockbuster but rather a so-called ""sleeper hit"", a movie that people went to see based on referrals from friends. The big fat mistake came when a spin-off TV show was launched called ""My Big Fat Greek Life"". It ran for only 7 episodes."
U_E,UKE.    	The ukulele ('uke') originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
A_AB,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
_PE,"APE.    	The US slang ""go ape"" is actually a cleaned up version of ""go apes**t"", American slang that dates back to 1955."
RE_,"REO.    	The Locomobile Company of America was founded in 1899 in Watertown, Massachusetts to manufacture automobiles. The company first produced small steam cars. During the Boer War (1899-1902), Locomobile produced the first car ever designed for use in a war, a generator and searchlight tractor made for the British Army. Production was switched to internal combustion-powered vehicles in 1903, and the company focused on luxury vehicles until it went out of business in 1929."
EE_,EEO.    	Equal Opportunity Employment is a term that has been around since 1964 when the Equal Employment Commission was set up by the Civil Rights Act.
_AB,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious, involving lots of tapping on the space bar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key which could be depressed, causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
TBA_,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skier who remains standing on his/her skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
EL_OT,"ELIOT.    	""Do I dare / Disturb the universe?"" are lines from T. S. Eliot's poem 'The Love Song of J. Alfred Prufrock'."
OPE_,"OPEC.    	The Organization of the Petroleum Exporting Countries (OPEC) was founded in 1960 at a conference held in Baghdad, Iraq that was attended by Iraq, Kuwait, Iran, Saudi Arabia and Venezuela. Nine more countries joined the alliance soon after, and OPEC set up headquarters in Geneva, Switzerland and then Vienna, Austria in 1965. The basic aim of OPEC was to wrench control of oil prices from the oil companies and to put it in the hands of the sovereign states that own the natural resource."
AP_,"APR.    	The exact etymology of 'April', the fourth month of our year, seems to be uncertain. The ancient Romans called it 'mensis Aprilis', which roughly translated as 'opening month. The suggestion is that April is the month in which fruits, flowers and animals 'open' their life cycles."
NO_L,"NOEL.    	'Noël' is the French word for the Christmas season, ultimately coming from the Latin word for 'birth' (natalis). Noel has come to be used as an alternative name for a Christmas carol."
K_A,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
_AR,"EAR.    	Darwin's tubercle is a condition found in the ear of just over 10% of the population. The condition is congenital and presents itself as a thickening of the outer rim of the outer ear. The condition's name is in honor of the fact that Charles Darwin first described it, although Darwin himself called the condition 'Woolnerian tip'. thomas Woolner was a British sculptor who routinely included the condition in his human sculptures."
A_EL,"ABEL.    	The story of Cain and Abel not only appears in the Christian and Hebrew Bibles, it also features in the Qur'an. In the Muslim account the brothers are named Qabil and Habil."
A_ME,"ACME.    	The apotheosis is the ideal example, the epitome."
_BAR,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
TB_R,"T-BAR.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair standing (not sitting!) either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skiers as they remain standing on their skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
A_ME,"ACME.    	The Acme Corporation is a fictional company used mainly by Looney Tunes, and within the Looney Tunes empire it was used mainly in the Road Runner cartoons. Wile E. Coyote was always receiving a new piece of gear from Acme, which would hopefully finally capture the Road Runner, but always led to his downfall instead."
_SA,CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
_ON,"RON.    	In the 'Harry Potter' series of films , Harry has two ""best friends' in school, Hermione Granger and Ron Weasley."
PD_,PDA.    	Personal digital assistant (PDA)
_TRIA,"ATRIA.    	In modern architecture an atrium is a large open space, often in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium."
U_I,"UZI.    	The first Uzi sub-machine gun was designed in the late 1940s, by Major Uziel Gal, who gave his name to the gun."
OM_HA,"OMAHA.    	Omaha is the largest city in the state of Nebraska. It is located on the Missouri River, about 10 miles north of the mouth of the Platte River When Nebraska was still a territory Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
_EO,CEO.    	Chief executive officer (CEO)
_URO,"EURO.    	Euro coins are issued by all the participating European states. The reverse side is a common design used by all countries, whereas the obverse is a design specific to each nation. For example, the one euro coin issued by Malta features the Maltese Cross. That Maltese euro is legal tender right across the eurozone."
I_OR,"IGOR.    	'Prince Igor' is an opera by the Russian composer, Alexander Borodin. Borodin died before he had finished 'Prince Igor', so it was completed by Nikolai Rimsky-Korsakov and Alexander Glazunov. Music from 'Prince Igor' and other Borodin works was used in the American musical 'Kismet'."
TA_,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
SA_,"SAM.    	Sam Smith is a singer from London. I think that the only thing I've heard of his is the theme song from the 2015 James Bond movie 'Spectre', which is called 'Writing's on the Wall'."
T_I,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increase longevity."
_RA,"BRA.    	Tank top' is another one of those terms that always catches me out, as it has a different meaning on each side of the Atlantic. In the US a tank top is a sleeveless shirt, something we would call a 'vest' back in Ireland (and the US 'vest' is what we call a 'waist coat'). A tank top in Ireland is a sleeveless sweater, which further adds to the confusion. The name 'tank top' is derived from 'tank suit', an old name for a woman's one-piece bathing suit. The use of 'tank' for the bathing suit came from 'swimming tank', an obsolete term used in the 1920s for a swimming pool."
C_L,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
I_I,ICI.    	'Ici' is French for 'here'.
S_R,"SLR.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
K_A,KIA.    	The Carens is a compact MPV (multi-person vehicle) made by South Korean automaker Kia. The Carens is marketed in North America and Australia as the Rondo.
ELM_,"ELMO.    	The man behind/under the character Elmo on 'Sesame Street' is Kevin Clash. If you want to learn more about Elmo and Clash, you can watch the 2011 documentary 'Being Elmo: A Puppeteer's Journey'."
ERS_,"ERSE.    	There are actually three Erse languages: Irish, Manx (spoken on the Isle of Man) and Scots Gaelic. In their own tongues, these would be Gaeilge (in Ireland), Gaelg (on the Isle of Man) and Gàidhlig (in Scotland)."
_ST,"DST.    	On the other side of the Atlantic, Daylight Saving Time (DST) is known as ""summer time"". The idea behind summer/daylight-savings is to move clocks forward an hour in spring and backwards in the fall so that afternoons have more daylight."
_EESE,"REESE.    	Reese's Peanut Butter Cups were invented by Harry Burnett ""H.B."" Reese. Peanut Butter Cups were originally called penny cups, reflecting the price at which they were sold. Then inflation took over, and maybe that's why they were broken into smaller 'Pieces'."
_KE,UKE.    	The ukulele originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
TA_,"TAB.    	Like most features on our computer keyboards, the tab key is a hangover from the days of typewriters. When using a typewriter, making entries into a table was very tedious as it involved lots of tapping on the spacebar and backspace key. So, a lever was added to typewriters that allowed the operator to ""jump"" across the page to positions that could be set by hand. Later this was simplified to a tab key, which could be depressed causing the carriage to jump to the next tab stop in much the same way that the modern tab key works on a computer."
ACM_,"ACME.    	The Acme Corporation is a fictional company used mainly by Looney Tunes, and within the Looney Tunes empire it was used mostly in the ""Road Runner"" cartoons. Wile E. Coyote was always receiving a new piece of gear from Acme designed to finally capture the Road Runner, but the equipment always led to his downfall instead."
T_I,"TAI.    	More properly called tai chi chuan, tai chi is a martial art mostly practiced to improve overall health and increasing longevity."
EU_O,EURO.    	The drachma was the currency used in Greece that was replaced by the Euro.
_EESE,REESE.    	I sometimes forget that 'the terminator' wasn't the main character in the first 'The Terminator' film. The story revolved around Kyle Reese (played by Michael Biehn). Reese is sent back from the future to protect Sarah Connor (played by Linda Hamilton) from the Terminator (played by Arnold Schwarzenegger).
_ZI,UZI.    	The first Uzi submachine gun was designed in the late 1940s by Major Uziel Gal of the Israel Defense Forces who gave his name to the gun.
INR_,"IN RE.    	The term ""in re"" is Latin, derived from ""in"" (in) and ""res"" (thing, matter). ""In re"" literally means ""in the matter"", and is used to mean ""in regard to"", or ""in the matter of""."
_RLE,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of exams. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. Gardner went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
_RR,ARR.    	Arrival (arr.)
_SAT,LSAT.    	he Law School Admission Test (LSAT) has been around since 1948.
EM_,"EMI.    	EMI is a British music company, with the acronym originally standing for Electric and Musical Industries."
NE_P,"NEAP.    	Tides of course are caused by the gravitational pull of the moon on the oceans. At neap tide, the smaller gravitational effect of the sun cancels out some of the moon's effect. At spring tide, the sun and the moon's gravitational forces act in concert causing more extreme movement of the oceans."
L_O,LAO.    	Lao Tse (also Lao-Tzu) was a central figure in the development of the religion/philosophy of Taoism.
_TO,"ITO.    	Midori Ito is a Japanese figure skater. Ito was the first woman to land a triple/triple jump and a triple axel in competition. In fact she landed her first triple jump in training, when she was only 8 years old ..."
S_S,"SAS.    	SAS, formerly known as Scandinavian Airlines System, is the flag carrier of three countries: Denmark, Norway and Sweden."
_PEC,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formally established in 1960 and has been headquartered in Vienna since 1965. The US is actually the third largest oil producer in the world (after Russia and Saudi Arabia), but isn't part of OPEC. One reason America isn't a member is that even though we are a big producer we import a lot more than we export. But you probably knew that already ..."
E_I,"EMI.    	EMI was a British music company, with the acronym originally standing for Electric and Musical Industries."
_SA,"USA.    	John Mellencamp started to use the stage name Johnny Cougar in 1976, a name that evolved into John Cougar, and then to John Cougar Mellencamp in the eighties. In 1992 the ""Cougar"" was dropped altogether and Mellencamp has been performing under his own name since then. Mellencamp was married to former supermodel Elaine Irwin for eighteen years, but the two decided to split. Mellencamp's longtime girlfriend is actress Meg Ryan."
C_L,"CEL.    	In the world of animation, a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
AP_,"APE.    	The hominids are the great apes, and belong to the family of primates called Hominidae. Extant genera that make up the family Hominidae are:"
_EN,LEN.    	Len Dawson is a retired AFL-NFL quarterback who played for the Kansas City Chiefs (originally the Dallas Texans).
NEM_,"NEMO.    	""Finding Nemo"" is a 2003 animated blockbuster from Pixar, winner of the Oscar that year for Best Animated Feature. Believe it or not, it is the best selling DVD of all time, and until 2010's ""Toy Story 3"", it was the highest grossing G-rated movie of all time."
A_R,ARR.    	Arrival time.
_MT,EMT.    	Emergency medical technician (EMT).
D_L,"DSL.    	DSL originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
C_L,"CEL.    	In the world of animation a cel is a transparent sheet on which objects and characters are drawn. In the first half of the 20th century the sheet was actually made of celluloid, giving the ""cel"" its name."
_CRE,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. Eventually, this was more precisely delineated as a strip of land one furlong long (660 feet) and one chain wide (66 feet). The word ""furlong"" is actually derived from the Old English words meaning ""furrow long"", the length of the furrow plowed by the oxen."
TI_,"TIA.    	The Mexican city of Acapulco is on the southwest coast of the country, in the state of Guerrero. The name 'Acapulco' translates from the local language into 'at the big reeds'."
S_S,"SAS.    	SAS, formerly known as Scandinavian Airlines System, is the flag carrier of three countries: Denmark, Norway and Sweden."
K_A,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai (and Hyundai is a part owner in Kia now). In recent years, Kia has focused on sales into Europe, and has been remarkably successful."
TA_,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) have long been symbolically associated with the cross."
SA_,"SAS.    	SAS, formerly known as Scandinavian Airlines System, is the flag carrier of three countries: Denmark, Norway and Sweden."
_MAHA,"OMAHA.    	Omaha is the largest city in the state of Nebraska. When Nebraska was still a territory, Omaha was its capital, but when Nebraska achieved statehood the capital was moved to the city of Lincoln."
_SL,"DSL.    	The acronym 'DSL' originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
NI_,"NIA.    	Nia Long is an American actress, probably best known for playing Will Smith's sometime girlfriend and fiancee Lisa Wilkes on the TV show ""The Fresh Prince of Bel Air""."
ERA_,"ERAT.    	""In principio erat Verbum"" are the opening lines of what is called the Last Gospel, a passage from the gospel according to St. John. The words (and those that follow) are used in the Roman Catholic Mass, and translate as ""In the beginning was the Word""."
_PEC,"OPEC.    	The OPEC cartel (the Organization of the Petroleum Exporting Countries) was formerly established in 1960, and has been headquartered in Vienna since 1965."
D_L,"DSL.    	The acronym 'DSL' originally stood for Digital Subscriber Loop, but is now accepted to mean (Asymmetric) Digital Subscriber Line. DSL is the technology that allows Internet service be delivered down the same telephone line as voice service, by separating the two into different frequency signals."
MO_,"MOE.    	The comic strip ""Calvin and Hobbes"" is still widely syndicated, but hasn't been written since 1995. The cartoonist Bill Watterson named the character Calvin after John Calvin, the 16th century theologian. Hobbes was named for Thomas Hobbes a 17th century English political philosopher."
AHA_,"AHAB.    	Captain Ahab is the obsessed and far from friendly Captain of the Pequod in Herman Melville's ""Moby Dick""."
ACR_,"ACRE.    	At one time an acre was defined as the amount of land a yoke of oxen could plow in a day. Eventually, this was more precisely delineated as a strip of land one furlong long (660 feet) and one chain wide (66 feet). The word ""furlong"" is actually derived from the Old English words meaning ""furrow long"", the length of the furrow plowed by the oxen."
_MT,EMT.    	Emergency medical technician (EMT)
ELM_,"ELMO.    	St. Elmo is the patron saint of sailors. He lends his name to the electrostatic weather phenomenon (often seen at sea) known as St. Elmo's fire. The ""fire"" is actually a plasma discharge caused by air ionizing at the end of a pointed object (like the mast of a ship), something often observed during electrical storms."
ET_S,"ETES.    	In French, we are (nous sommes), you are (vous êtes), they are (ils/elles sont)."
TD_,"TDS.    	There are touchdowns in all those bowl games, well, most of them anyway ..."
SH_,"SHE.    	Ain't She Sweet' is a popular song first published in 1927, composed by Milton Ager and Jack Yellen. Ager wrote the song for his daughter, Shana. Shana grew up to become Shana Alexander, a political commentator on CBS's '60 Minutes'."
TI_,"TIA.    	Tia Maria is a coffee liqueur that was invented just after WWII in Jamaica, using Jamaica coffee beans. The name of course translates to ""Aunt Maria""."
EA_,"EAR.    	In 'Star Trek', the Vulcan characters (say, Mr Spock) wear prosthetic ears."
EL_A,"ELSA.    	The life story of Elsa the lion was told by game warden Joy Adamson, who had a very close relationship with the lioness from when Elsa was orphaned as a young cub. Adamson wrote the book ""Born Free"" about Elsa, and then ""Living Free"" which tells the story of Elsa and her three lion cubs. In the 1966 film based on ""Born Free"", Adamson is played by the talented actress Virginia McKenna."
_AS,"SAS.    	SAS was formerly known as Scandinavian Airlines System and is the flag carrier of three countries: Denmark, Norway and Sweden. SAS is based at Stockholm Arlanda Airport located just north of the Swedish capital."
_EN,"LEN.    	Director and screenwriter Len Wiseman is best known for directing the ""Underworld"" series of vampire movies, and the fourth of the ""Die Hard"" films, ""Live Free or Die Hard"". Wiseman met actress Kate Beckinsale on the set of the original ""Underworld"" movie, and the two were married in 2004."
UT_H,"UTAH.    	""Big Love"" is an absolutely superb HBO drama series about a polygamous man and his three families trying to live a relatively ""normal"" life in Utah. The lead is played by Bill Paxton, and his first wife by Jeanne Tripplehorne. I recommend it for its entertainment value, but should point out that it has been frowned upon by some churches."
R_N,"RON.    	Ron Burgundy is the title character in the movie 'Anchorman' series of films. Burgundy is a news anchor played by comedian Will Ferrell. Apparently Burgundy loves a glass of scotch, poetry, and his dog Baxter."
D_A,DEA.    	Drug Enforcement Administration (DEA)
OMAH_,"OMAHA.    	The Normandy landings on D-Day in 1944 took place along a 50-mile stretch of the Normandy coast divided into five sectors: Utah, Omaha, Gold, Juno and Sword. The worst fighting by far took place on Omaha Beach, a sector assigned to the US Army that was transported by elements of the US Navy and the Royal Navy."
LS_T,"LSAT.    	J.D. stands for Juris Doctor, and is a graduate law degree."
ERA_,"ERAT.    	QED is used at the end of a mathematical proof or a philosophical argument. The QED acronym stands for the Latin ""quod erat demonstrandum"" meaning ""that which was to be demonstrated""."
TA_,"TAT.    	The word ""tattoo"" was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
_AB,"TAB.    	When we 'run a tab' at a bar say, we are 'running a tabulation', a listing of what we owe. Such a use of 'tab' is American slang that originated in the 1880s."
ALD_,"ALDA.    	Alan Alda had a great television career, perhaps most memorably on ""M*A*S*H"". Alda won his first Emmy in 1972, for playing Hawkeye Pierce on ""M*A*S*H"". He won his most recent Emmy in 2006 for his portrayal of Presidential candidate Arnold Vinick in 'The West Wing'. When it comes to the big screen, my favorite of Alda's movies is the 1978 romantic comedy ""Same Time, Next Year"" in which he starred opposite Ellen Burstyn."
OP_C,OPEC.    	(118A. Neighbor of Oman: Abbr. : UAE)
U_E,UKE.    	The ukulele originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
TB_R,"T-BAR.    	Here's another nicely disguised meaning. A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair sitting on either side of T-shaped, metal bar."
EL_OT,"ELIOT.    	""This is the way the world ends / Not with a bang but a whimper"" are lines from T.S. Eliot's 1925 poem 'The Hollow Men'."
ET_S,"ETES.    	In French, 'été' (summer) is 'la saison chaude' (the warm season)."
ERL_,"ERLE.    	I must have read all of the Perry Mason books when I was in college. I think they kept me sane when I was facing the pressure of finals. Author Erle Stanley Gardner was himself a lawyer, although he didn't get into the profession the easy way. He went to law school, but got himself suspended after a month. So, he became a self-taught attorney and opened his own law office in Merced, California. Understandably, he gave up the law once his novels became successful."
M_A,"MBA.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia."
C_N,"CNN.    	Anderson Cooper is a great news personality on CNN and on various shows around the dial. My favorite appearances of his, although he would call them trivial I am sure, was as host of a great reality game show called ""The Mole"" that aired in 2001."
_GOR,"IGOR.    	39 IGOR: Igor has been the assistant to Dracula, Frankenstein and Young Frankenstein, among others. He is almost invariably portrayed as a hunchback."
MO_,"MOE.    	Moe Szyslak is the surly bartender in ""The Simpson"" animated TV show. I don't really care for ""The Simpsons"", but Hank Azaria who supplies the voice for the character ... him I like."
T_U,"TAU.    	Tau is the 19th letter of the Greek alphabet, the letter which gave rise to our Roman ""T"". Both the letters tau (T) and chi (X) were symbolically associated with the cross."
_KE,UKE.    	The ukulele originated in the 1800s and mimicked a small guitar brought to the Hawaiian Islands by Portuguese immigrants.
A_RIA,"ATRIA.    	The heart has four chambers. The two upper chambers (the atria) accept deoxygenated blood from the body and oxygenated blood from the lungs. The atria squeeze the blood into the two lower chambers of the heart (the ventricles), 'priming' the pump, as it were. One ventricle pumps deoxygenated blood to the lungs, and the other pumps oxygenated blood to the rest of the body."
I_I,"ICI.    	""Vous êtes ici"", important words when navigating your way around Paris. It means, ""You are here""."
_EESE,"REESE.    	Pee Wee Reese met Jackie Robinson after Robinson was signed to the Brooklyn Dodgers in 1947. As Reese tells the story, when he greeted Robinson it was the first time he had shaken hands with a black man. In those early days life was difficult for Robinson, and Reese made himself very visible as a friend, supporting the breaking down of racial barriers despite very vocal opposition."
_AM,SAM.    	'Muskrat Love' was a hit in 1976 for Captain & Tennille. The song tells of a romance between two muskrats named Susie and Sam.
BR_,"BRA.    	The word ""brassière"" is of course French in origin, but it isn't the French word for a ""bra"". In France a bra is a ""soutien-gorge"", translating to ""held under the neck"". The word 'brassière"" in French is used for a baby's undershirt, a lifebelt or a harness. ""Brassière"" comes from the Old French word for an ""arm protector"" in a military uniform (""bras"" is the French for ""arm""). Later ""brassière"" came to mean ""breast plate"" and from there was used for a type of woman's corset. The word jumped into English around 1900."
C_O,CEO.    	Chief executive officer (CEO)
_PEC,"OPEC.    	The Organization of the Petroleum Exporting Countries (OPEC) was founded in 1960 at a conference held in Baghdad, Iraq that was attended by Iraq, Kuwait, Iran, Saudi Arabia and Venezuela. Nine more countries joined the alliance soon after, and OPEC set up headquarters in Geneva, Switzerland and then Vienna, Austria in 1965. The basic aim of OPEC was to wrench control of oil prices from the oil companies and to put it in the hands of the sovereign states that own the natural resource."
_TAS,ETAS.    	Expected time of arrival (ETA)
EL_A,"ELSA.    	We've often heard the ""Bridal Chorus"" from Richard Wagner's opera ""Lohengrin"". It's the tune to ""Here comes the bride ..."" played regularly at the start of wedding ceremonies as the bride walks down the aisle. In the opera, the ""Bridal Chorus"" is played not at the start of the ceremony, but afterwards, by the women of the wedding party as they accompany the bride, Elsa, to the bridal chamber."
LA_,"LAO.    	The official name for the country of Laos is the Lao People's Democratic Republic. In the Lao language, the country's name is ""Meuang Lao"". The French ruled Laos as part of French Indochina, having united three separate Lao kingdoms. As there was a plural of ""Lao"" entities united into one, the French added the ""S"" and so today we tend to use ""Laos"" instead of ""Lao""."
NIL_,"NILE.    	Lake Tana is the largest lake in Ethiopia, and is the source of the Blue Nile. The lake has a number of islands of significant size, many of which are home to ancient monasteries."
_EN,"LEN.    	Len Barker is a former Major league Baseball pitcher. He pitched a perfect game in 1981, playing for the Cleveland Indians, the tenth official perfect game in major league history. It was apparently the most pristine of performances, with Barker never getting to ball three against any of the opposing hitters (the Blue Jays, by the way)."
_AO,"LAO.    	The official name for the country of Laos is the Lao People's Democratic Republic. In the Lao language, the country's name is ""Meuang Lao"". The French ruled Laos as part of French Indochina, having united three separate Lao kingdoms. As there was a plural of ""Lao"" entities united into one, the French added the ""S"" and so today we tend to use ""Laos"" instead of ""Lao""."
_IA,"KIA.    	Kia Motors is the second largest manufacturer of cars in South Korea, behind Hyundai. In recent years, Kia has focused on sales into Europe and has been remarkably successful."
R_M,REM.    	REM is an acronym standing for Rapid Eye Movement sleep. REM sleep takes up 20-25% of the sleeping hours and is the period associated with one's most vivid dreams.
_BEL,"ABEL.    	I suppose it depends on how one defines 'major', but an alphabetical list of major characters in the Bible might start with:"
IG_R,"IGOR.    	Igor has been the assistant to Dracula, Frankenstein and Young Frankenstein, among others. He is almost invariably portrayed as a hunchback."
A_RE,"ACRE.    	At one time, an acre was defined as the amount of land a yoke of oxen could plow in a day. This was more precisely defined as a strip of land 'one furrow long' (i.e. one furlong) and one furlong wide. The length of one furlong was equal to 10 chains, or 40 rods. A area of one furlong times 10 rods was one rood."
_LSA,"ELSA.    	Elsa Benítez is a Mexican model, known for her appearances in the 'Sports Illustrated Swimsuit Issue'. For a few years she was married to NBA player Rony Seikaly, someone I remember watching play for Syracuse when I lived there."
ATR_A,ATRIA.    	In modern architecture an atrium (plural 'atria' or 'atriums') is a large open space usually in the center of a building and extending upwards to the roof. The original atrium was an open court in the center of an Ancient Roman house. One could access most of the enclosed rooms of the house from the atrium.
AP_,"APE.    	The Bonobo used to be called the Pygmy Chimpanzee, and is a cousin of the Common Chimpanzee. The Bonobo is an endangered species, found in the wild only in the Democratic Republic of the Congo in Africa. Along with the Common Chimpanzee, the Bonobo is genetically the closest species to humans."
