NAI_,"NAIF.    	A naïf is someone who is naive, as ""naïf"" is the French word for ""naive""."
T_PE,"TAPE.    	Back in the days of yore in England, official documents were bound in bundles with red ribbon. So, getting through all the paperwork required 'cutting through the red tape'."
S_ALE,"SCALE.    	50. Segment of the 47-Across : RE, MI"
T_RT,TART.    	That would be the pie.
ME_E,"MENE.    	In the Book of Daniel, there is the story of the words ""Mene, Mene, Tekel u-Pharson"" being written mysteriously on the walls of the royal place. This story is the origin of the phrase ""the writing's on the wall""."
POR_,"PORK.    	Pork barrel politics have been around for a long time. The term originated in 1863 in a story by Edward Everett Hale called ""The Children of the Public"". Hale used ""pork barrel"" in a positive way, describing any public spending by government for the benefit of citizens. By the 1870s the term ""pork"" had negative connotations, with references in the press to ""pork barrel bills"" in Congress. Nowadays ""pork"" really applies to any government project designed to benefit a relatively small group of citizens (usually potential voters for a particular politician) with the bill being paid by the citizenry as a whole."
S_NATRA,"SINATRA.    	Frank Sinatra was the only child of Italian immigrants living in Hoboken, New Jersey. Like so many of our heroes, Sinatra had a rough upbringing. His mother was arrested several times and convicted of running an illegal abortion business in the family home. Sinatra never finished high school, being expelled for rowdy conduct, and he was arrested on a morals charge as a youth, for carrying on with a married woman, an offence back then. But, he straightened himself out by the time he was twenty, and started singing professionally."
RA_IS,"RAMIS.    	Harold Ramis was a real all-rounder, working as an actor, director and writer. Indeed, in both 'Ghostbusters' and ""Stripes"" he was a co-writer as well as playing a lead character. Ramis worked as writer-director on 'Caddyshack', 'National Lampoon's Vacation', 'Groundhog Day' and 'Analyze This'."
DA_,"DAL.    	I love dal dishes, which are prepared from various beans and peas that have been stripped of their outer skins and split. I suppose in Indian terms, split pea soup (another of my favorites) would be called a dal."
_MI,"NMI.    	I think NMI in this case means ""No Middle Initial"", but I could be wrong ..."
A_Y,"ALY.    	Aly Khan was the familiar name used by the media when referring to Prince Ali Solomone Aga Khan, the Pakistani ambassador to the UN from 1958 to 1960. He was also the third husband of actress Rita Hayworth."
AGIN_,"AGING.    	The word ""senescence comes from the Latin word ""senex"" (old man, old age)."
C_RCA,"CIRCA.    	""Circa"" is a Latin word meaning ""around, near, about the time of"". We use it directly in English, as well as derivative words such as ""circle"" and ""circus""."
W_RD,"WARD.    	A ward is someone placed in the custody of another, usually by a court of law. For example, in the ""Batman"" stories, Bruce Wayne (Batman) had a ward, Dick Grayson (Robin). Coincidentally, on the original TV series, Dick Grayson was played by Burt Ward."
BR_,BRO.    	Yo!
CH_C,"CHOC.    	Neapolitan ice cream is made up of blocks of strawberry, vanilla and chocolate ice cream. Neapolitan ice cream is assumed to be of Italian origin, from the city of Naples. Duh!"
SEN_TE,"SENATE.    	The US Congress is described 'bicameral' in that it is divided into two separate assemblies, namely the Senate and the House of Representatives. The term 'bicameral' comes from the prefix 'bi-' meaning 'two', and the Latin 'camera' meaning 'chamber'."
PO_,"POO.    	The Mikado' is a wonderful comic opera by Gilbert and Sullivan, set in the exotic location of Japan. 'Mikado' is a former term for the 'Emperor of Japan'. In the story, Nanki-Poo is the Mikado's son, who falls in love with Yum-Yum."
_IENA,"SIENA.    	Siena is a beautiful city in the Tuscany region of Italy. In the center of Siena is the magnificent medieval square called Piazza del Campo, a paved sloping open area made up of nine triangular sections. The square has to be seen to be believed. Twice a year, the famous bareback horse-race called the Palio di Siena is held in the Piazza."
CRAZ_,"CRAZE.    	'Pokémon GO' is a reality-based video game in which players must locate, capture, battle and train virtual creatures known as Pokémon. The Pokémon are hidden in the real world, in the sense that they have to be located on an electronic device (like a smartphone) in 'the real world', for which a GPS location is needed. Players see the Pokémon overlaid on a view of the real world on their smart device."
_YOB,MYOB.    	Mind your own business (MYOB)
LASER_EAM,"LASER BEAM.    	There's a famous scene in the James Bond movie 1964 'Goldfinger' when 007 is shackled to a table and in danger of being cut in half by an industrial laser. The scene is inspired by a situation in the 1959 novel by Ian Fleming. However, lasers hadn't been invented at the time of the book's writing, and so in print, Bond had to escape from a circular saw."
B_RD,"BARD.    	William Shakespeare is known as the Bard of Avon, as he was born and raised in the lovely town of Stratford-upon Avon."
KI_,"KIL.    	A kilometer is a unit of length in the metric system, approximately equal to 3,281 feet. ""Kilometer"" is an American spelling. In the rest of the world the French spelling of ""kilometre"" is used."
SAMIA_,"SAM I AM.    	You know, I probably should read a Dr. Seuss book some day. They weren't big where I grew up. I understand that the character called Sam in the book, is also known as ""Sam-I-Am""."
S_LVA,"SILVA.    	Luiz Inácio Lula da Silva is the 35th and current President of Brazil. Lula da Silva has thrust himself onto the international stage in recent years, positioning himself as a negotiator. For example, he befriended both President Hugo Chavez on Venezuela and President George W. Bush, two leaders with very, very different political positions."
AN_I,"AND I.    	French-Canadienne singer Celine Dion first came to international attention when she won the 1988 Eurovision Song Contest, representing Switzerland in the competition that was hosted in Dublin, Ireland."
O_BS,OTBS.    	Off-Track Betting is the legal gambling that takes place on horse races outside of a race track. A betting parlor can be referred to as an OTB.
DELTA_,"DELTAS.    	Delta is the fourth letter of the Greek alphabet. We are most familiar with an upper-case delta and its distinctive triangular shape. The letter's shape has influenced terms such as 'deltoid muscle' and 'river delta'. The upper-case delta is also used in mathematics and science to indicate a change in value. The lower-case delta looks a bit like our lower-case D, and indeed the Greek letter delta gave us our Latin letter D."
_VOIR,"AVOIR.    	""Avoir"", the French for ""to have""."
EXET_R,"EXETER.    	J. K. Rowling is the author of the amazingly successful Harry Potter series of books. Rowling wrote the first book when she was living on welfare in Edinburgh in Scotland, and in long hand. She would often write in local cafes, largely because she needed to get her baby daughter out of the house (she was a single mom), as the youngster would tend to fall asleep on walks. Within five years, the single mom on welfare became a very rich woman, and is now worth about $1 billion!"
ND_K,NDAK.    	8. Carpenter's standard : TRUE LEVEL
RA_ER,"RACER.    	""The Tortoise and the Hare"" is one of Aesop's famous fables. Aesop lived in Ancient Greece, probably, around the sixth century BC. Supposedly he was born a slave, somehow became a free man, but then met with a sorry end. He was sent to the city of Delphi on a diplomatic mission, but apparently insulted the Delphians instead. He was tried on a charge of stealing from a temple, and then sentenced to death and was thrown off a cliff."
EVONN_,"EVONNE.    	Evonne Goolagong is a former Australian tennis player who was at the pinnacle of her success in seventies and early eighties. Her colorful family name, Goolagong, came from her Aboriginal father who worked for much of his life as an itinerant sheep shearer. I remember seeing Goolagong play back then, and I always thought that she was so elegant and such a lady on the court ..."
_IONA,FIONA.    	Fiona Apple is a singer-songwriter and pianist from New York City.
DOT_RD,"DOTARD.    	A dotard is a person who is in his or her dotage, someone who has become senile."
_XT,"EXT.    	One's business card might show one's telephone extension number. Why have telephone extensions? Well, in a location with lots of telephones, not everyone is dialing out at the same time, so it is usually cheaper to have a relatively small number of trunk lines leaving the location that can be shared by a relatively large number of extensions. That's why we used to ""dial 9 for an outside line""."
MA_E,"MAME.    	The musical 'Mame' opened on Broadway in 1966, with Angela Lansbury in the title role. The musical is based on the 1955 novel 'Auntie Mame' written by Patrick Dennis."
NEU_O,"NEURO-.    	A neurotransmitter is a chemical substance that transmits signals from one nerve cell to another nerve cell, or to a gland or muscle cell."
_EW,"REW.    	Video Cassette Recorders have rewind buttons, but have you tried to buy one lately?"
HAS_A,"HASTA.    	Hasta luego: Spanish for ""See you later!"""
MAC_,"MACH.    	The Mach number of a moving object (like say an airplane) is it's speed relative to the speed of sound. A plane travelling at Mach 2 for example, is moving at twice the speed of sound. The term ""Mach"" takes its name from the Austrian physicist Ernst Mach who published a groundbreaking paper in 1877 that predicted the ""sonic boom""."
_STATE,"ESTATE.    	My favorite screen version of Jane Austen's ""Pride and Prejudice"" is the 1995 miniseries starring Jennifer Ehle and Colin Firth. Lyme Park, located near Stockport in the north of England, was the used to represent Pemberley."
U_E,"USE.    	As in ""use caution, practice care"", I guess ..."
SAL_D,"SALAD.    	Our word 'salad' comes from the Latin 'salare' meaning 'to salt'. The Latin 'herba salata' translates as 'salted vegetables', which I guess could be a salad ..."
POS_S,"POSTS.    	Many folks who visit this website regard it as just that, a website. That is true, but more correctly it is referred to as a blog, as I make regular posts (actually daily posts) which then occupy the ""front page"" of the site. The blog entries are in reverse chronological order, and one can just look back day-by-day, reading older and older posts. Blog is a contraction of the term ""web log""."
_EWAGER,"NEW AGER.    	The New Age Movement is a western philosophy with roots that date back to the early 1800s. The movement focuses on achieving the highest human potential as an individual and embraces many traditionally eastern spiritual practices, but eschews all religious doctrines. New Age music is composed with the intent of supporting this philosophy. It tends to be very minimalistic, very tonal and harmonic. It is often used as a backdrop for relaxation or meditation."
CR_NNA,"CRENNA.    	Actor Richard Crenna's most recognized role was probably that of Colonel Trautman in the first three ""Rambo"" movies. Crenna wasn't the first person hired to play Trautman. Kirk Douglas accepted the role but walked off the set on the first day of shooting."
WI_E,"WIFE.    	WIFE is an AM radio station broadcasting out of Connersville, Indiana. There is also a WIFE-FM broadcasting out of Rushville, Indiana."
SY_S,SYNS.    	Synonyms ...
LETT_,"LETTS.    	Belarusians live in Belaruse, and Letts live in the neighboring country, Latvia. Both Belaruse and Latvia were former Soviet Socialist Republics."
W_E,WEE.    	'Wee Willie Winkie' is a nursery rhyme from Scotland that starts out:
T_IVIA,TRIVIA.    	Trivia are things of little consequence. 'Trivia' is the plural of the Latin word 'trivium' which means 'a place where three roads meet'. Now that's what I call a trivial fact ...
_ATS,"BATS.    	Wayne Manor is where Bruce Wayne lives, the alter-ego of Batman. It is a huge manor that lies just outside Gotham City. Looking after the house is the Wayne family servant, Alfred. Beneath the grounds of the manor is an extensive cave system where Bruce Wayne put together his Batcave. Access is to the cave is via a staircase behind a hidden door. The door is opened by moving the hands of a non-functioning grandfather clock to 10:47, the time at which Wayne's parents were murdered. It is the murder of his parents that sets Bruce off on his journey of crime fighting."
ISHO_,"I SHOT.    	The Bob Marley song 'I Shot the Sheriff' tells of someone who killed the local sheriff. Marley wanted to say 'I shot the police', but figured the government wouldn't like that too much. He also stated that the song is about justice."
EX_,EXT.    	The extension number comes after the phone number.
DOOWO_,"DOO-WOP.    	If you believe the storyline of the ""Rocky"" movies, guys stand around the South Philly neighborhood singing doo-wop."
KA_UNA,"KAHUNA.    	Like many words in Hawaiian, the term 'kahuna' has several English translations, everything from a priest to an expert in some profession. The expression 'the Big Kahuna' comes from the movie 'Gidget', released in 1959. The Big Kahuna was the leader of one of the surfing gangs in the film, and was played by Cliff Robertson."
_ASO,FASO.    	Burkina Faso is an inland country in western Africa. The country used to be called the Republic of Upper Volta and was renamed in 1984 to Burkina Faso meaning 'the land of upright people'.
PI_ATE,"PILATE.    	""Jesus of Nazareth"" was a 1977 television mini-series directed by Franco Zeffirelli for British television. By all accounts it is a spectacular piece of work, although I haven't seen it myself. English actor Robert Powell plays Jesus, and Rod Steiger plays Pontius Pilate. Others in the star-studded cast include, Anne Bancroft (Mary Magdelene), Ernest Borgnine, Claudia Cardinale, James Earl Jones, James Mason, Laurence Olivier ... the list goes on and on. I will have to put on my ""wish list"" ..."
INATR_E,"IN A TREE.    	Charlie Brown is the main character in the long-running comic strip called 'Peanuts', created by Charles Schulz. Charlie has several persistent frustrations in his life, including an inability to fly a kite. The focus of his kite-flying frustration is the dreaded Kite-Eating Tree."
PO_,"POX.    	Chickenpox is a viral infection, a classic disease of childhood most commonly caught by 4-10 year olds. There is a complication that can arise later in life as the virus sometimes reactivates to cause shingles."
_EAPOT,"TEAPOT.    	I guess the reference here is to the oft quoted English phrase 'a spot of tea'. Mind you, I've only ever heard that said in jest ..."
MRHYD_,"MR HYDE.    	Robert Louis Stevenson's novella ""The Strange Case of Dr. Jekyll and Mr. Hyde"" was first published in 1886. There are many tales surrounding the writing of the story including one that the author wrote the basic tale in just three to six days, and spent a few weeks simply refining it. Allegedly, Stevenson's use of cocaine stimulated his creative juices during those few days of writing."
JO_I,"JONI.    	Joni Ernst was elected as a US Senator for Iowa in 2014. Ernst is a Republican who had previously served as a lieutenant colonel in the Iowa National Guard. She is the first female veteran in the US Senate, and the first woman to represent Iowa in the US Congress."
AQUIN_,"AQUINO.    	Corazon Aquino was the first woman to hold the office of President of the Philippines. She led the popular revolt against the Ferdinand Marcos in 1986 which led to the restoration of democracy in the country. She came to lead the movement against Marcos upon the assassination of her husband, the most visible opponent of Marcos. She took to the role reluctantly, proclaiming herself a ""plain housewife"". I lived in the Philippines for a couple of years, when Aquino's successor Ferdinand Ramos was in power. Based on what I learned there, President Aquino transformed the country."
HOFF_,"HOFFA.    	""Hoffa"" is the biographical film about the life of Jimmy Hoffa, the colorful leader of the Teamsters Union. The movie was directed by Danny DeVito, who also played the supporting role of Bobby Ciaro, Hoffa's close friend and confidante."
I_EAGE,"ICE AGE.    	Ice ages are periods in the Earth's history when there are extensive ice sheets present in the northern and southern hemispheres. One might argue that we are still in an ice age that began 2.6 million years ago, as evidenced by the presence of ice sheets covering Greenland and Antarctica."
TH_RPE,"THORPE.    	Ian Thorpe is a retired competitive swimmer from Australia. He won five gold medals , and earned himself the nickname ""The Thorpedo""."
AREACO_ES,"AREA CODES.    	Area codes were introduced in the 1940s. Back then the 'clicks' one heard when dialling a number led to mechanical wear on various pieces of equipment. In order to minimize overall mechanical wear, areas with high call volumes were given the most efficient area codes (lowest number of clicks). That led to New York getting the area code 212, Los Angeles 213 and Chicago 313."
QUI_O,"QUITO.    	The full name of the capital city of Ecuador is San Francisco de Quito. It is the second highest administrative capital city in the world, after La Paz, Bolivia."
MIS_A,"MISHA.    	Mikhail 'Misha' Baryshnikov started his dancing career with the Kirov Ballet in Leningrad before defecting to Canada in 1974. The only time my wife ever lined up to get an autograph was when she did so outside the stage door after seeing Baryshnikov dance in Syracuse, New York many moons ago. The man is a god in her eyes ..."
AL_,"ALY.    	Aly Khan was the familiar name used by the media when referring to Prince Ali Solomone Aga Khan, the Pakistani ambassador to the UN from 1958 to 1960. He was also the third husband of actress Rita Hayworth."
S_TA,"SETA.    	""Seta"" is derived from the Latin word for a ""bristle"", and is used to describe bristle-like structures on both plants and animals."
ANAE_OBE,"ANAEROBE.    	Anaerobic organisms are those that do not require oxygen to live. A good example would be the bacteria working away in a septic tank. It's fortunate that they are anaerobes, otherwise the tank would have to be opened up to the air."
_STRADA,"ESTRADA.    	Actor Erik Estrada got his big break in the movie ""Airport 1975"", before playing motorcycle police officer Poncherello on the television show 'CHiPs' from 1977-81."
_RAS,"FRAS.    	The title ""Fra"" (brother) is used by Italian monks. Both Fra Bartolommeo and Fra Angelico were Italian Renaissance painters."
PAJA_AS,"PAJAMAS.    	Our word ""pajamas"" comes to us from the Indian subcontinent, where ""pai jamahs"" were loose fitting pants, tied at the waist, that were worn at night by locals and eventually by the Europeans living there. And ""pajamas"" is another of those words that I had to learn to spell differently when I came to America. In the British Isles the spelling is ""pyjamas""."
AP_S,APRS.    	Annual percentage rate (APR)
V_A,"VOA.    	The United States Information Agency (USIA) was established under President Eisenhower in 1953, and continued operating until 1999. It's mission was ""public diplomacy"", another term for propaganda broadcast over radio airwaves. The intent from day one was to avoid having the broadcasts identified as propaganda, and speaking as a former listener to the USIA's Voice of America (VOA) over in Europe, there were a lot of fun programs that had one coming back to hear more, but we all knew it was propaganda quite frankly ..."
SCI_NCE,"SCIENCE.    	Adam Smith was a pioneer in the field of 'political economy', an original term used for the study of production and trade and their relationship with law, government and the distribution of wealth. Adam Smith's great work is called 'The Wealth of Nations', published in 1776. The book was a big hit within his own lifetime and went a long way to earning him the reputation as the father of modern economics and capitalism. Smith coined the phrase 'the invisible hand of the market', describing his assertion that a marketplace tends to self-regulate."
S_ARM,SMARM.    	The word smarm comes from a colloquial word smalm meaning to smear the hair with some sort of styling product.
ROSE_TE,"ROSEATE.    	Something roseate is ""rose colored"", like rose colored glass, and hence also refers to something that is optimistic, perhaps overly so."
MO_,MOL.    	Carbon monoxide gas (CO) is made up of molecules containing one atom of carbon (C) and one atom of oxygen (O).
S_NE,"SANE.    	Even though the game of ""marbles"" has been around since the early 1700s, the use of marbles meaning ""one's faculties, common sense"", probably has nothing to do with the game. Rather, the French word ""meubles"" meaning furniture, was brought into English as ""marbles"" in the mid-1800s to mean ""personal effects, furniture"". It was ""marbles"" in this sense that evolved into ""having one marbles"", a slang term from the late twenties, meaning ""having one's faculties""."
OB_IEN,"O'BRIEN.    	The protagonist in George Orwell's novel 'Nineteen Eighty-Four' is Winston Smith, just an ordinary individual. Winston is tormented by O'Brien, a member of the Inner Party who poses as someone open to counter-revolutionary resistance."
_LBOW,"ELBOW.    	The word ""elbow"" comes from Old English ""ell"" meaning the length of the forearm, an ancient measure, and from ""boga"" meaning bow or arch."
S_CROIX,"ST CROIX.    	Saint Croix has been ruled by a number of countries, most recently the US. The first colonists were the Spanish, who named the island Santa Cruz. After Britain and the Netherlands the French took over control of the island, and named it Saint Croix. Both Santa Cruz and Saint Croix can be translated in to English as ""Holy Cross""."
ATR_P,"ATRIP.    	When many anchors are thrown overboard, they not only are attached to an anchor chain, but they also have a ""trip line"" that is attached to the head of the anchor. When the vessel pulls on the anchor chain, it cause the anchor to dig deeper into the bottom, so attempting to pull up the anchor just by the chain is often problematic. However, if one pulls on the trip line first, the anchor is pulled out of the seabed, and can then be lifted by winding in the anchor chain. After the trip line has been used, the anchor is off the bottom, and is said to be ""atrip""."
ST_NTS,"STENTS.    	In the world of medicine and surgery, a stent is an artificial tube inserted inside a vessel in the body, say a blood vessel, so that it reduces the effects of a local restriction in the body's conduit."
K_ZOO,"KAZOO.    	The modern instrument we know today as the kazoo was invented by one Alabama Vest of Macon, Georgia in the 1800s. The kazoo first came to the public's attention at the Georgia State Fair of 1852, when it was known as the 'Down-South Submarine' (because of it's shape, I would imagine)."
_WEN,"EWEN.    	Scottish actor Ewen Bremner played the character 'Spud' Murphy in the 1996 film 'Trainspotting', and SPC Shawn Nelson in 'Black Hawk Down'."
GA_O,GATO.    	A cat (gato) in a house (una casa) in Spanish.
UNITA_,"UNITAS.    	Johnny Unitas was nicknamed ""the Golden Arm"" as well as ""Johnny U"". He played in the fifties through the seventies, mainly for the Baltimore Colts. He holds the record for throwing touchdown passes in consecutive games (47 games)."
B_SH,"BOSH.    	Our word ""bosh"" meaning nonsense came into English via a well-defined route. It was first used in the novel ""Ayesha, the Maid of Kars"" written by J. J. Morier in 1905, and is a Turkish word that literally translates as ""empty""."
CAE_URA,"CAESURA.    	In poetry, a caesura is an audible pause that breaks up a line of verse. An example would be (from Alexander Pope): ""To err is human; to forgive, divine."""
MARS_,"MARSH.    	Crocodiles and alligators do indeed bear a resemblance to each other, although they belong to distinct biological families. One of the main ways used to distinguish them is by their teeth and jaws. Both the upper and lower sets of teeth of a crocodile are visible when its mouth is closed, whereas only the upper teeth of an alligator are visible with the mouth shut."
C_JUN,"CAJUN.    	The great explorer Verrazzano gave the name ""Arcadia"" to the coastal land that stretched from north of present day Virginia right up the North American continent to Nova Scotia. The name Arcadia was chosen as it was also the name for a part of Greece that had been viewed as ""idyllic"" from the days of classical antiquity. The ""Arcadia"" name quickly evolved into the word ""Acadia"" that was used locally here in North America. Much of Acadia was settled by the French in the 1600s, and then in 1710 Acadia was conquered by the British. There followed the French and Indian War after which there was a mass migration of French Acadians, often via the French colony of Saint-Dominique (present-day Haiti) to the French colony of Louisiana. The local dialectic pronunciation of the word ""Acadian"" was ""Cajun"", giving the name to the ethnic group for which Louisiana has been home for about 300 years."
HO_ORE,"HONORE.    	Honore Daumier was a French caricaturist, but also a respected painter, sculptor and printmaker."
APAC_E,"APACHE.    	The Apache are a group of Native American peoples originally from the Southwest US. The Navajo are a separate but related people, through culture and language, and are often described as 'Apachean'."
G_AD,"GRAD.    	What a devious clue! ""Grad"" used to ""adhere"" to ""Lenin"", when St. Petersburg was known as Leningrad. St. Petersburg, simply a beautiful city to visit, was renamed Petrograd in 1914, Leningrad in 1924, and back to St. Petersburg in 1991."
_ABYS,"BABY'S.    	Baby's-breath is the name used in the US and Canada for Gypsophila, a genus of flowering plants. Gypsophila can often be found on calcium-rich soils including gypsum, which gives the plant its name. Baby's-breath is often used as a filler in floral bouquets, and an adornment worn in the hair by young women at weddings."
ETOIL_,"ETOILE.    	""Étoile"" is the French word for ""star""."
PETUNI_,PETUNIA.    	The flowering plants known as petunias are in a genus that related to the tobacco plant. The name 'petunia' comes from the obsolete French word 'petun' meaning 'tobacco plant'.
N_NS,"NANS.    	Naan (also 'nan') bread is very popular in Indian restaurants, as well as in other West, Central and South Asian cuisines. Indian Naan is traditionally baked in a clay oven known as a tandoor."
JARE_,"JARED.    	Jared Leto is an actor and musician. In the world of music he is the lead singer and rhythm guitarist for the rock band 30 Seconds to Mars. In the film world his most critically acclaimed role was that of a heroin addict in ""Requiem for a Dream"". He also appeared in ""American Psycho"", ""Panic Room"" and ""Lord of War""."
"O,P_ONEERS ","O, PIONEERS!.    	""O Pioneers!"" was written in 1913 by American novelist Willa Cather. It tells the story of a family of Swedish immigrants in Nebraska."
WI_,"WIL.    	Wil Wheaton is the actor who grew up playing Ensign Crusher on the best of the ""Star Trek"" TV series, ""Star Trek: The Next Generation"". In recent years Wheaton has become a de facto spokesman for the so-called ""geek"" or ""nerd"" community via a weblog that he writes called ""Wil Wheaton Dot Net"". He has been playing Dungeons & Dragons for years, and is also someone you'll see at celebrity poker games on TV."
L_NOLIN,LANOLIN.    	Lanolin is a greasy substance secreted from the skin of woolly animals. It usually extracted from wool sheared from sheep as it is prepared for use in textiles. Medical grade lanolin is used to soothe skin in ointments. It is relatively hypoallergenic and has antibacterial properties.
ELINO_,"ELINOR.    	Elinor Dashwood is the delightful main character in Jane Austen's ""Sense and Sensibility"". She is played by Emma Thompson in my favorite adaptation of the story, the 1995 movie."
DO_T,"DO IT.    	Back in Ireland we don't hardware stores as such, but rather DIY Centres (and that's the spelling). DIY: Do It Yourself."
I_DB,"IMDB.    	The website called the Internet Movie Database (IMDb) was launched in 1990, and is now owned by Amazon.com. It's a great site for answering question one has about movies and actors."
GA_ES,"GASES.    	The chemical element argon has the symbol Ar. Argon is a noble gas, and so by definition is relatively nonreactive. The name 'argon' comes from the Greek word for 'lazy, inactive'. There's a lot of argon around, as it is the third-most abundant gas in our atmosphere."
EL_C,"ELEC.    	Tesla Motors is a manufacturer of electric vehicles based in Palo Alto, California. Tesla is noted for producing the first electric sports car, called the Tesla Roadster. The current base price of a roadster is about $100,000, should you be interested &#8230;"
S_REW,"SHREW.    	William Shakespeare's ""The Taming of the Shrew"" was written in the late 1500s, and has to be one of the original romantic comedies. And we still see the storyline today, as Shakespeare's play has been adapted into more contemporary works like Cole Porter's ""Kiss Me, Kate"" and the 1999 movie ""10 Things I Hate About You"" starring Julia Stiles and Heath Ledger."
S_UTNIK,"SPUTNIK.    	The Soviet Union launched the Sputnik satellite towards the end of 1957, a development that shocked the establishment in the US. Within months, President Eisenhower created the Advanced Research Projects Agency (ARPA, now DARPA) and the National Aeronautics and Space Administration (NASA). The Space Race had begun ..."
VOWE_,VOWEL.    	Yet another clever clue ...
COM_S,"COMAS.    	""Coma"" comes from the Greek word ""koma"" meaning ""deep sleep""."
HAR_,"HARP.    	She's Leaving Home' is a 1967 song released by the Beatles on the 'Sgt. Pepper's Lonely Hearts Club Band' album. None of the four members of the band play an instrument in this song, and instead the music is played by a small string orchestra. The lyrics are performed by Paul McCartney and John Lennon. In fact, George Harrison and Ringo Starr weren't even in the studio at the time of the recording."
B_KE,"BIKE.    	""Hog"" is an informal name for a large motorcycle (and not just a Harley-Davidson)."
MO_,"MOP.    	""Swabbie"" (also ""swab, swabber"") is a slang term for a sailor that we've been using since the late 1700s. A ""swab"" was originally a member of the crew assigned to the swabbing of the ship's decks."
HERO_C,HEROIC.    	The heroic couplet is a form of poetry first used by Geoffrey Chaucer.
AD_Y,"A DAY.    	""A Day in the Life"" is the last track on the Beatles' infamous ""Sgt. Pepper's Lonely Hearts Club Band"" album. There's a line in the song ""I'd love to turn you on"", an apparent reference to drug use. As a result, ""A Day in the Life"" was banned for a while by the BBC."
AS_S,"ASE'S.    	""Ase's Death"" is a movement in Edvard Grieg's beautiful ""Peer Gynt"" suite. The suite is a collection of incidental music that Grieg composed for Ibsen's play of the same name. Ase is the widow of a peasant, and the mother of Peer Gynt."
_ILA,"MILA.    	Mila Kunis is a Ukrainian-born, American actress, who plays Jackie Burkhart on ""That '70s Show"". Fans of the cartoon series ""Family Guy"" might recognize her voicing the Meg Griffin character. I am quite looking forward to seeing an upcoming release called ""Black Swan"" in which which she and Natalie Portman play rival ballet dancers. Kunis has been dating Macauley Culkin for 8 years."
_IBBER,"FIBBER.    	To ""fib"" is to ""to tell a lie"". It likely comes from ""fibble-fable"" meaning ""nonsense"", itself derived from ""fable""."
ONTHEWAT_RFRONT,"ON THE WATERFRONT.    	The 1954 drama ""On the Waterfront"" told a story of violence and corruption among longshoremen, and was based on a series of 24 articles written by investigative journalist Malcolm Johnston and published in ""The New York Sun"". The original news stories uncovered mob infiltration on the New York City Waterfront, but in the film, the location was changed to Hoboken, New Jersey."
_IAMO,"TI AMO.    	""Ti amo"" is the Italian for ""I love you""."
_TAL.,"ET AL..    	Et alii is the equivalent of et cetera, with et cetera being used in place of a list of objects, and et alii used for a list of names."
_ALOO,"BALOO.    	""The Jungle Book"" by Rudyard Kipling was originally published in 189r, and is a collection of adventure stories or fables, featuring the animals of the jungle and a young boy called Mowgli. Baloo is a sloth bear who teaches the cubs of a wolf pack the Law of the Jungle. His most challenging pupil however is no lupine, but the man-cub Mowgli."
PAR_A,"PARMA.    	Parma is a city in northern Italy, famous for its ham (prosciutto) and cheese (parmesan). Although the word prosciutto is used in Italian to mean ham however it is prepared, in English we use the word to describe the dry-cured ham that is served raw, in thin slices. Apparently, prosciutto can be made out of the meat from the leg of a pig, or from the thigh of a wild horse."
LET_E,"LETHE.    	The Lethe is one of the five rivers of Hades in Greek mythology. All the souls who drank from the river Lethe experienced complete forgetfulness. The Greek word 'lethe' means 'oblivion, forgetfulness'."
WMD_,"WMDS.    	The first recorded use of the term ""Weapon of Mass Destruction"" (WMD) was in a 1937. The words were used by Cosmo Gordon Lang, the Archbishop of Canterbury at the time, in reference to the bombardment Guernica in Spain during the Spanish Civil by the German Luftwaffe. He said, ""Who can think without horror of what another widespread war would mean, waged as it would be with all the new weapons of mass destruction?"""
_HASAN,"LHASAN.    	Lhasa is the capital city of Tibet, and the name 'Lhasa' translates as 'place of the gods'. However, Lhasa used to be called Rasa, a name that translates into the less auspicious 'goat's place'. Lhasa was also once called the 'Forbidden City' due to its inaccessible location high in the Himalayas and a traditional hostility exhibited by residents to outsiders. The 'forbidden' nature of the city has been reinforced since the Chinese took over Tibet in the early 1950s as it has been difficult for foreigners to get permission to visit Lhasa."
TYC_O,"TYCHO.    	Rather than hear about Tycho Brahe as an astronomer, maybe you'd like to know that he lost his nose in a duel, and wore a replacement made of either silver or gold pasted onto his face!"
OTHEL_O,OTHELLO.    	The game of Reversi is also sold as Othello. The name Othello was chosen as a nod to the play by William Shakespeare.
SNA_ES,"SNARES.    	Snare drums are so called because they have a set of wire strands (called snares) stretched across the bottom surface of the drum. When the drum is struck, the snares vibrate against the bottom drumhead producing a unique sound."
MA_OR,"MANOR.    	""Animal Farm"" is the 1945 novella written by George Orwell, a satire of life in the Soviet Union under Joseph Stalin. Orwell had trouble getting his novel published in his homeland of the UK during WWII as anti-Soviet literature wasn't a good thing to publish while the UK and USSR were on the same side of a World War. In fact, one publisher who was willing to publish changed his mind after being warned off by the British Ministry of Information. I find it interesting that Orwell should write ""Nineteen Eight-Four"" a few years later, and introduce the world to Big Brother."
B_ES,"BEES.    	Back in 18th century America, when neighbors would gather to work together for the benefit of one of their group, such a meeting was called a ""bee"". The name ""bee"" was an allusion to the social nature of the insect. In modern parlance, a further element of entertainment and pleasure has been introduced, for example in a ""quilting bee""."
