Lollapalooza.   		4 letters,"ONER.    	A lollapalooza is something outstanding, one of a kind."
"""Red Balloon"" painter Paul.   		4 letters","KLEE.    	The artist Paul Klee was born in Switzerland, but studied art in Munich in Germany. You can see many of Klee's works in the San Francisco Museum of Modern Art. If you get to Bern in Switzerland, even more of them can be seen at the Zentrum Paul Klee that was opened in 2005."
Zodiac creature.   		4 letters,"CRAB.    	The Zodiac sign of the crab is called ""Cancer"", as ""cancer"" is the Latin word for crab. By the way, Greek physician Galen noted that some tumors with swollen veins looked like crabs, given the disease its name."
Some shortening.   		4 letters,"LARD.    	Fat, when extracted from the carcass of an animal, is called ""suet"". Untreated suet decomposes at room temperature quite easily so it has to be ""rendered"" or purified to make it stable. Rendered fat from pigs is what we call ""lard"". Rendered beef or mutton fat is known as ""tallow""."
"""Super Hits"" company.   		5 letters","K-TEL.    	K-Tel was founded in 1962 in Winnipeg, Manitoba by one Philip Kives. The company's recipe for success was the sale of inexpensive goods with a simple sales pitch and mail-order distribution."
Politico whose name is an anagram of GAOLER.   		7 letters,"AL GORE.    	Al Gore was born in Washington DC, the son of Al Gore, Sr., then a US Representative for the state of Tennessee. After deferring his military service in order to attend Harvard, the younger Gore became eligible for the draft on graduation. Many of his classmates found ways of avoiding the draft, but he decided to serve and even took the ""tougher"" option of joining the army as an enlisted man. Actor Tommy Lee Jones shared a house with Gore in college and says that his buddy told him that even if he could find a way around the draft, someone with less options than him would have to go in his place and that was just wrong."
Doctor seen by millions.   		4 letters,"PHIL.    	Dr. Phil (McGraw) met Oprah Winfrey when he was hired to work with her as a legal consultant during the Amarillo Texas beef trial (when the industry sued Oprah for libel over ""Mad Cow Disease"" statements). Oprah was impressed with Dr. Phil and invited him onto her show, and we haven't stopped seeing him since!"
Dairy Queen order.   		4 letters,"CONE.    	Soft serve ice cream was developed by John McCullough in 1938. McCullough was able to get his new dessert carried by a local ice cream store in Illinois. He and the store owner became so swamped with sales that they opened a store specifically built around the product in Joliet, Illinois, hence creating the first Dairy Queen outlet. There are now over 5,700 Dairy Queen franchises in 19 countries. We've even got one in Ireland ..."
"""Hoarders"" airer.   		7 letters",A AND E.    	'Hoarders' is a documentary show on the A&E channel that tells the stories of real-life people who suffer from compulsive hoarding. The show ran for six seasons before being canceled in 2013.
"10-point Q, e.g.   		4 letters","TILE.    	The Q tile is worth 10 points in the game of ""Scrabble""."
Antiseptic agent.   		5 letters,"BORAX.    	Borax is also known as sodium borate, and is a salt of boric acid. It is a white powder that dissolves easily in water. Borax has many uses, including as an anti-fungal agent and an anti-septic."
Outdoor gear chain.   		3 letters,"REI.    	REI is a sporting goods store, the initialism standing for Recreational Equipment Inc. REI was founded in Seattle by Lloyd and Mary Anderson in 1938 as a cooperative that supplies quality climbing gear to outdoor enthusiasts. The first full-time employee hired by the Andersons was Jim Whittaker, who was the American to climb Mount Everest."
Cash in Baja.   		5 letters,"PESOS.    	The coin called a 'peso' is used in many Spanish-speaking countries around the world. The coin originated in Spain where the word 'peso' means 'weight'. The original peso was what we know in English as a 'piece of eight', a silver coin of a specific weight that had a nominal value of eight 'reales'."
Network owned by Showtime.   		3 letters,"TMC.    	The Movie Channel is owned by Showtime, which in turn is subsidiary of CBS. The channel's name is often abbreviated to 'TMC', although this is informal usage."
Kind of torch.   		4 letters,"TIKI.    	A tiki torch is a bamboo torch that's very commonly used in Tiki culture. Tiki culture is a modern invention dating from the 20th century and describes the experience created in Polynesian-style restaurants. The name ""Tiki"" is borrowed from Polynesia."
"Hayes portrayer in ""The Mod Squad,"" 1999.   		4 letters","EPPS.    	The 1999 movie ""The Mod Squad"" was an adaptation of the television show of the same name. The part of Lincoln Hayes was played by Omar Epps."
Gurus' titles.   		4 letters,SRIS.    	Sri is a title of respect for a male in India.
Like much avant-garde music.   		6 letters,"ATONAL.    	People described as being avant-garde are especially innovative. ""Avant-garde"" is French for 'advance guard'."
Remove impurities from.   		5 letters,"SMELT.    	Metal is present in ore in the form of oxides. In order to get pure metal from the ore, it is heated and the oxides reduced (the oxygen is removed) in the chemical process known as smelting. The oxygen is extracted by adding a source of carbon or carbon monoxide which uses up the excess oxygen atoms to make carbon dioxide, a waste product of smelting."
"Radius, e.g.   		4 letters","BONE.    	The radius and ulna are bones in the forearm. If you hold the palm of your hand up in front of you, the radius is the bone on the ""thumb-side"" of the arm, and the ulna is the bone on the ""pinkie-side""."
"Expensive violin, for short.   		5 letters","STRAD.    	Generations of the Stradivari family produced violins, the most famous of which were constructed by Antonio Stradivari."
"Galifianakis of ""The Hangover"".   		4 letters","ZACH.    	Zach Galifianakis is a stand-up comedian who is making a name for himself on the big screen. He garnered a lot of attention for his role in 2009's ""The Hangover"", and also stars opposite Robert Downey Jr. in the 2010 release ""Due Date""."
Some 35mm cameras.   		4 letters,"SLRS.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
"""___ Mine"" (hit of 1957 or 1995).   		4 letters","HE'S.    	He's Mine' was a hit for the Platters in 1957. A completely different song, also called 'He's Mine', was a hit for MoKenStef in 1995."
"Howdah occupant, maybe.   		5 letters",RAJAH.    	A howdah is that carriage that sits on the back of an elephant (and is also seen on the back of camels).
"Uncle on ""Duck Dynasty"".   		5 letters","SILAS.    	'Duck Dynasty' is a reality television show on the A&E cable channel. The show is centered on the Robertson family from Monroe, Louisiana who made a lot of money selling products to duck hunters. Phil Robertson was in the news awhile back for views he expressed on homeosexuality and other subjects in an interview with 'GQ' magazine."
Scrabble draw.   		4 letters,"TILE.    	The game of Scrabble has been around since 1938, the invention of an architect named Alfred Moshoer Butts. Butts determined the optimum number of tiles of each letter and the appropriate point value of each tile by analyzing letter distributions in publications like our beloved ""New York Times"" ..."
Common concerto closer.   		5 letters,"RONDO.    	A rondo was often chosen by composers in the classical period for the last movement of a sonata (or symphony or concerto, for that matter). In rondo form there is a principal theme that alternates with a contrasting theme(s). So, the original theme anchors the whole piece in between secondary digressions."
"""Copper Canyon"" and ""Coroner Creek"".   		6 letters","OATERS.    	The term ""oater"", used for a western movie, comes from the number of horses seen, as horses love oats!"
Source of amber.   		5 letters,"RESIN.    	Amber's technical name is ""resinite"", reflecting its composition and formation. Amber starts out life as soft sticky tree resin but then under high temperature and pressure from overlying layers of soil, it fossilizes. The sticky resin can trap organisms or other plant matter, and this material can sometimes remain virtually intact inside the amber fossil, a unique gift from the past."
City near Ben-Gurion Airport.   		3 letters,"LOD.    	The city of Lod lies just a few miles southeast of Tel Aviv, and is the home of Ben Gurion International, Israel's main airport."
Leader exiled in 1979.   		4 letters,"AMIN.    	Idi Amin received most of his military training in the British armed forces, eventually achieving the highest rank possible for a Black African in the British Colonial Army in 1959, that of Warrant Officer. On his return to Uganda he joined the military and quickly rose to the rank of Deputy Commander of the Army. During that time he was quite the athlete. He was a noted rugby player and swimmer, and for nine years held the Ugandan national light-heavyweight boxing title. By the early seventies Amin was commander of all the armed forces of Uganda, and in 1971 seized power in a military coup, displacing the country's president Milton Obote. There followed seven years of brutal rule by Amin during which it is estimated that between 100,000 and 500,000 people were murdered. Amin was ousted from power in 1979 after a war with Tanzania, and fled to Libya where he stayed for a year. He then moved to Saudi Arabia, where he was financially supported by the Saudi Royal Family for the remainder of his life. He died in 2003."
City in the Plain of Sharon.   		3 letters,"LOD.    	The city of Lod lies just a few miles southeast of Tel Aviv, and is the home of Ben Gurion International, Israel's main airport."
Noted ring family.   		4 letters,"ALIS.    	Cassius Marcellus Clay, Jr. was born in 1942 in Louisville, Kentucky. He changed his name to Muhammad Ali when he converted to Islam in 1964. Who can forget Muhammad Ali lighting the Olympic flame for the 1996 games in Atlanta? Ali won a gold medal in the 1960 games, which he threw into the Ohio River after being refused service at a ""whites only"" restaurant. He was presented with a replacement medal during the 1996 Games."
Buoyant wood sometimes used in rafts.   		5 letters,"BALSA.    	Balsa is a very fast growing tree that is native to parts of South America. Even though balsa wood is very soft, it is actually classified as a hardwood, the softest of all the hardwoods (go figure!). Balsa is light and strong, so is commonly used in making model airplanes, and rafts. Amazingly, in WWII a full-size British plane, the de Havilland Mosquito, was built largely from balsa and plywood. No wonder they called it ""The Wooden Wonder"" and ""The Timber Terror""."
One on the Lee-ward side?.   		3 letters,"REB.    	Robert E. Lee is renowned as a southern officer in the Civil War. Lee was a somewhat reluctant participant in the war in that he opposed the secession of his home state of Virginia from the Union. At the beginning of the war, President Lincoln invited Lee to take command of the whole Union Army but he declined, choosing instead to stay loyal to his home state. During the Civil War, Lee's men referred to him affectionately as 'Marse Robert', with 'marse' being slang for 'master'."
Code of silence.   		6 letters,"OMERTA.    	Omertà is a code of honor in southern Italian society. The term has been adopted by the Mafia to mean a code of silence designed to prevent a Mafioso from becoming an informer. For example, the famous Joe Valachi was someone who broke the code of silence in 1963, informing on the New York Mafia. Valachi's story was told in the movie ""The Valachi Papers"", with Charles Bronson playing the lead."
Antiaircraft artillery.   		4 letters,"FLAK.    	Flak was originally an acronym from the German term for an aircraft defense cannon (FLiegerAbwehrKanone). Flak then became used in English as a general term for antiaircraft fire, and ultimately a term for verbal criticism, as in ""take flak""."
Iconic chomper.   		7 letters,"PAC-MAN.    	The Pac-Man arcade game was first released in Japan in 1980 and is as popular today as it ever was, at least in some circles. The game features characters that are maneuvered around the screen to eat up dots and earn points. The name comes from the Japanese folk hero ""Paku"", known for his appetite."
Pontificate.   		5 letters,"ORATE.    	To ""pontificate"" is to issue dogmatic decrees, with a pompous air. Back in 1818, the word had the more literal meaning, ""to act as a pontiff, pope""."
Gymnast Comaneci.   		5 letters,"NADIA.    	Nadia Comaneci won three golds in the 1976 Summer Olympics and was the first gymnast to be awarded a perfect score of a ten in the gymnastics competition. She published a book ""Letters to a Young Gymnast"" in 2003, and now lives in the United States."
Last picture in an alphabet book.   		5 letters,"ZEBRA.    	Zee is for Zebra (although it was ""zed"" is for zebra in my alphabet book!)."
Burgundy or Bordeaux.   		4 letters,"WINE.    	The Burgundy region of France is famous for its wine production. If you're looking at a label that isn't translated into English though, you'll see Burgundy written in French, namely 'Bourgogne'."
"Manages, with ""out"".   		4 letters","EKES.    	I believe that technically speaking one can't actually ""eke out"" an existence, as to ""eke out"" means to ""make something tangible go further or last longer"". So, you can eke out your income by cutting back on expenses, but you can't eke out your existence, or any existence."
Alter.   		4 letters,"SPAY.    	Our verb 'to spay', meaning 'to surgically remove the ovaries of' (an animal) comes from an old Anglo-French word 'espeier' meaning 'to cut with a sword'."
Online newsgroup system.   		6 letters,"USENET.    	Remember the good old days, when you read messages online in ""newsgroups""? Well, that system of aggregating public messages is known as Usenet, and it's still around today. Usenet started operating in 1980, some ten years before the World Wide Web was introduced (which system has displaced Usenet in terms of popularity). Usenet definitely played a significant part in the history of the Internet. For instance, the terms ""FAQ"" and ""spam"" were both born on Usenet."
River of York.   		4 letters,"OUSE.    	York is the biggest city on the River Ouse in Yorkshire. The name ""Ouse"" comes from the Celtic word ""usa"" meaning water."
Troubadour's instrument.   		4 letters,"LUTE.    	A troubadour was a composer and musician of the Middle Ages, whose works dealt mainly with chivalry and courtly love. Troubadours were usually men, and a female troubadour would have been called a trobairitz."
Criticism.   		4 letters,"FLAK.    	Flak was originally an acronym from the German term for an aircraft defense cannon (FLiegerAbwehrKanone). Flak then became used in English as a general term for antiaircraft fire, and ultimately a term for verbal criticism, as in ""take flak""."
Grain beard.   		3 letters,"AWN.    	Awns are hair- or bristle-like structures found in numerous species of plants. In some species, like barley, the awns can contain photosynthetic tissue."
"""September 1, 1939"" poet.   		5 letters","AUDEN.    	""September 1, 1939"" is a poem by W. H. Auden, first published in October of 1939. The poem was ""inspired"" by the outbreak of WWII, which started on September 1, 1939 with the German invasion of Poland."
"Tiger, e.g., informally.   		4 letters","ALER.    	The origins of the Detroit Tigers MLB team's nickname seems a little unclear. One story is that it was taken from the Detroit Light Guard military unit who were known as ""The Tigers"". The Light Guard fought with distinction during the Civil War and in the Spanish-American War. Sure enough, when the Detroit baseball team went into the Majors they were formally given permission to use ""The Tigers"" name by the Detroit Light Guard."
"Spring break locale, casually.   		7 letters","ST PETE.    	St. Petersburg, Florida is often referred to as St. Pete by locals and visitors alike. The neighboring city of St. Petersburg Beach also had its name shorted routinely, so in 1994 the residents voted to change the name officially to St. Pete Beach."
Don Everly's singing brother.   		4 letters,"PHIL.    	The Everly Brothers are noted for their steel guitar sound, and their great use of harmony. Their harmony onstage wasn't reflected off the stage though. In 1973 the brothers decided to pursue separate careers and scheduled a farewell performance attended by many fans, family and stalwarts from the music industry. Don Everly came on stage too drunk to perform, and eventually brother Phil just stormed off into the wings, smashing his guitar as he left. The boys didn't talk to each other for ten years after that incident. Phil Everly passed away in January 2014."
Photographer Cartier-Bresson.   		5 letters,"HENRI.    	As an amateur photographer, Henri Cartier-Bresson is one of my heroes. He was a French photographer, famous for shooting candid shots, many of them just in the street. He was very simple in his use of equipment. He was one of the first professionals to accept the 35mm camera, and mainly used a 'normal' 50 mm lens. He only shot in black-and-white, and never bothered with developing his own prints. He focused on taking the photograph."
Buck.   		4 letters,"CLAM.    	""Buck"" and ""clam"" are both slang terms for ""a dollar"". The term ""buck"" has been around at least since 1856, and is thought to derive from the tradition of using buckskin as a unit of trade with Native Americans during the frontier days. It has been suggested that ""clam"" has a similar derivation, a throwback to the supposed use of clams as units of currency in ancient cultures."
Criterion: Abbr..   		3 letters,STD.    	Standard (std.)
Father-and-daughter boxers.   		4 letters,"ALIS.    	Cassius Marcellus Clay, Jr. was born in 1942 in Louisville, Kentucky, changing his name to Muhammad Ali when he converted to Islam in 1964. Who can forget Muhammad Ali lighting the Olympic flame for the 1996 games in Atlanta? Ali was presented with a gold medal during those '96 Games, a replacement for the medal he won at the 1960 Olympics. He had thrown the original into the Ohio River as a gesture of disgust after being refused service at a ""whites only"" restaurant."
Mercury or Saturn.   		3 letters,"GOD.    	Mercury was a Roman god, the messenger, and the god of trade. His name comes from the Latin word ""merx"" meaning merchandise (and therefore has the same roots as ""merchant"" and ""commerce""). Saturn was also a Roman deity, the god of agriculture and harvest. The planet, and ""Saturday"" are named after Saturn, the god."
"Taylor of ""The Haunting"".   		4 letters","LILI.    	Lili Taylor had supporting roles in films like ""Mystic Pizza"", ""The Haunting"" and ""Rudy"", and she had a recurring role in the HBO series ""Six Feet Under""."
It often starts in Sept.   		3 letters,SCH.    	School (sch.)
Federal biomedical agcy.   		3 letters,"NIH.    	The National Institutes of Health (NIH) is made up of 27 different institutes that coordinate their research and services. Examples of member institutes are the National Cancer Institute, the National Institute of Mental Health and the National Institute on Aging."
Title for Mike Huckabee: Abbr..   		3 letters,"REV.    	Mike Huckabee is a former Governor of Arkansas, and currently the host of his own show in Fox News Channel. Just like President Bill Clinton, Huckabee was born in Hope, Arkansas. "
"""Diaspora"" author Greg.   		4 letters","EGAN.    	Greg Egan is science fiction author from Australia. Egan is a very private individual, one who does not do book signings or appearances at science fiction fairs. His own website doesn't even feature a picture of himself. I couldn't find his photo anywhere on the Web ..."
Bucolic poem.   		4 letters,"IDYL.    	An idyl is a short poem with a pastoral theme, usually depicting the scene in romantic and idealized terms. The word comes from the Greek ""eidyllion"", which literally translates to ""little picture"" but was a word describing a short, poem with a rustic theme."
"""A Full Moon in March"" poet.   		5 letters","YEATS.    	Irish poet and dramatist William Butler Yeats won the Nobel Prize in Literature in 1923, for ""inspired poetry"" that gave ""expression to a whole nation"". He was the first Irishman to be so honored."
"___, Crackle and Pop.   		4 letters","SNAP.    	The three elves Snap, Crackle and Pop are the mascots for Kellogg's Rice Krispies. They first appeared in an ad campaign in 1933, although the phrase ""snap, crackle and pop"" had been used for the cereal before then in radio commercials. By the way, instead of Rice Krispies, the elves promote ""Rice Bubbles"" in Australia, and the elves are called ""Cric!, Crac! and Croc! in Quebec."
Clinton's 1996 opponent.   		4 letters,"DOLE.    	Despite all Bob Dole's success in the world of politics, he is remembered by many as the VP candidate who lost to Walter Mondale (and Jimmy Carter) and the presidential candidate who lost to incumbent Bill Clinton. The man is a true war hero. He joined up in 1942 and fought with the Army's 10th Mountain Division in Italy. In 1945 he was hit by machine gun fire in his right arm and back, so badly injured that his comrades could only dose him up with morphine, write ""M"" on his forehead with his own blood (so that another, fatal dose of morphine would not be administered) and continue fighting the battle. Dole had to wait nine hours to be evacuated from the battlefield, and wait another three years before being discharged from hospital back in the States."
What some caddies hold.   		5 letters,PEKOE.    	A pekoe (or more commonly 'orange pekoe') is a medium-grade black tea. There is no orange flavor in an orange pekoe tea. The 'orange' name most likely derived from the name of the trading company that brought the tea to Europe from Asia.
LP player.   		5 letters,"HI-FI.    	Hi-fi systems were introduced in the late forties, audio equipment designed to give a much higher quality reproduction of sound than cheaper systems available up to that point. 'Hi-fi' of course stands for 'high fidelity'."
Home to Mohammed V University.   		5 letters,"RABAT.    	Rabat is the capital city of Morocco. After WWII, the United States had a major Air Force Base in Rabat, part of Strategic Air Command (SAC). Responding to pressure by the Moroccan government of King Mohammed V, the USAF pulled out in 1963."
Title Mr.   		4 letters,"HYDE.    	Robert Louis Stevenson's novella ""The Strange Case of Dr. Jekyll and Mr. Hyde"" was first published in 1886. There are many tales surrounding the writing of the story including one that the author wrote the basic tale in just three to six days, and spent a few weeks simply refining it. Allegedly, Stevenson's use of cocaine stimulated his creative juices during those few days of writing."
Jouster's weapon.   		5 letters,"LANCE.    	Tilting is the most recognized form of jousting. Jousting can involve the use of a number of different weapons, but when lances are used the competition is called ""tilting""."
European leader?.   		5 letters,"INDO-.    	The Indo-European languages are a large group of related languages that includes most of the major languages of Europe, the Iranian plateau and South Asia. It is the largest grouping of languages in the world."
Medicinal shrub.   		5 letters,SENNA.    	Sennas are used as purgatives and laxatives.
Wimple wearer.   		3 letters,"NUN.    	A wimple is a garment worn mainly in medieval Europe by women. The wimple covers the back of the head, neck and chin. It was tradition back then for genteel women to cover their hair. In modern times, habits worn by nuns include wimples."
Actress Singer.   		4 letters,"LORI.    	Lori Singer is an actress, and also a cellist. Singer's most famous acting role was the daughter of the Reverend Shaw Moore (played by John Lithgow) in ""Footloose""."
Articles that are sometimes prewritten.   		5 letters,"OBITS.    	""Obituary"" comes from the Latin ""obituaris"", originally the record of the death of a person, although the literal meaning is ""pertaining to death""."
Vegetable that becomes gooey when cooked.   		4 letters,"OKRA.    	The plant known as okra is mainly grown for it edible green pods. The pods are said to resemble 'ladies' fingers', which is an alternative name for the plant. Okra is known as 'ngombo' in Bantu, a name that might give us the word 'gumbo', the name for the name of the southern Louisiana stew that includes okra as a key ingredient."
___ wheels.   		3 letters,"MAG.    	Mag wheels are often used on racing cars. They are made from a magnesium alloy, giving them their name. But beware, they are flammable and have been banned in many motor-sports in the UK."
Antipoverty agcy.   		3 letters,"OEO.    	The Office of Economic Opportunity (OEO) was created during the Lyndon Johnson administration. The agency was responsible for administering the War on Poverty programs that were part of the President Johnson's Great Society agenda. The OEO was shut down by President Nixon, although some of the office's programs were transferred to other agencies. A few of the OEO's programs are still around today, like Head Start for example."
Southwestern home.   		4 letters,"CASA.    	In Spanish, one's 'residencia' (residence) is usually one's 'casa' (house)."
"Eric of ""Troy"".   		4 letters","BANA.    	Eric Bana is an Australian actor who enjoyed a successful career in his home country before breaking into Hollywood playing an American Delta Force sergeant in ""Black Hawk Down"". A couple of years later he played the lead in Ang Lee's 2003 movie ""The Hulk"", the role of Dr Bruce Banner. More recently he played the Romulan villain Nero, in the 2009 ""Star Trek"" movie."
"""L'___ del Cairo"" (unfinished Mozart opera).   		3 letters","OCA.    	L'oca del Cairo' is an unfinished opera by Mozart, one that he started but apparently gave up on as he didn't like the farcical ending in the libretto with which he was working. With the title translating as 'The Goose of Cairo', the opera tells of a Spanish Marquess who manages to meet up with his imprisoned beloved by smuggling himself inside a large mechanical goose. Sort of a Trojan Horse with feathers ..."
"Just manages, with ""out"".   		4 letters","EKES.    	To ""eke out"" means to ""make something go further or last longer"". So, you can eke out your income by cutting back on expenses. I always have a problem with the definition that 'eke out' means to 'barely get by'. Close but no cigar, I say ..."
Something you might get a charge out of.   		5 letters,"RHINO.    	There are five types of rhinoceros that survive today, and the smaller Javan Rhino is the most rare. The rhinoceros is probably the rarest large mammal on the planet, thanks to poaching. Hunters mainly prize the horn of the rhino as it is used in powdered form in traditional Chinese medicine."
___ nova.   		5 letters,"BOSSA.    	Bossa Nova is style of music from Brazil that evolved from samba. The most famous piece of bossa nova is the song ""The Girl from Ipanema""."
It's good for the long haul.   		4 letters,"SEMI.    	A 'semi' is a 'semi-trailer truck'. The vehicle is so called because it consists of a tractor and a half-trailer. The half-trailer is so called because it only has wheels on the back end, with the front supported by the tractor."
Jekyll's alter ego.   		4 letters,"HYDE.    	Robert Louis Stevenson's novella 'The Strange Case of Dr. Jekyll and Mr. Hyde' was first published in 1886. There are many tales surrounding the writing of the story including one that the author wrote the basic tale in just three to six days, and spent a few weeks simply refining it. Allegedly, Stevenson's use of cocaine stimulated his creative juices during those few days of writing."
"Here, in Juárez.   		3 letters","ACA.    	The Mexican city sitting across the border from El Paso is more correctly called Ciudad Juarez. Juarez used to be called El Paso del Norte (the North Pass). It was to be the younger settlement on the northern side of the Rio Grande which would retain the ""El Paso"" name."
Singer Lovett.   		4 letters,"LYLE.    	As well as being famous in his own right as a successful country singer, Lyle Lovett is known for his marriage to the actress Julia Roberts in 1993. The pair had a whirlwind romance lasting just three weeks before they eloped and were wed. The marriage was also relatively whirlwind, lasting less than two years."
Cell on a slide.   		6 letters,"AMOEBA.    	An ameba (or ""amoeba"" as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats or reproduces."
Nicholas Gage memoir.   		5 letters,"ELENI.    	Nicholas Gage is a Greek-American author and investigative journalist. He wrote two memoirs, ""Eleni"" and ""A Place for Us"". ""Eleni"" tells of his life in Greece during WWII and the Greek Civil War. The title is a tribute to his mother, Eleni, who was executed by Communists who occupied her village, simply because she helped her children escape from the ravages of a war of occupation. ""Eleni"" was adapted into a movie in 1985, starring John Malkovitch as Gage."
Neighbor of Chad.   		5 letters,NIGER.    	The Republic of Niger is a landlocked country in Western Africa that gets its name from the Niger River. 80% of the country lies in the Sahara Desert.
___ in a blue moon.   		4 letters,"ONCE.    	As there is a full moon once every four weeks, approximately monthly, there are usually twelve full moons in any given year. However, every 2-3 years, depending on the phase of the moon at the beginning of the calendar year, there may be a thirteenth full moon. The ""extra"" full moon is called a ""blue moon"", although no one seems to really know why as far as I can tell. Which of the thirteen full moons that is designated as the blue moon varies depending on tradition. My favorite definition is from the Farmer's Almanac. It states that as each of the seasons normally have three full moons (twelve divided by the four seasons), then the season with four full moons is designated as ""special"", then, the THIRD full moon in that ""special"" season is the blue moon. Complicated, huh?"
Jouster's weapon.   		5 letters,"LANCE.    	Tilting is the most recognized form of jousting. Jousting can involve the use of a number of different weapons, but when lances are used the competition is called ""tilting"". Jousting took place in a roped-off enclosure that was called the lists, or list field. In later medieval times, some castles and palaces had purpose-built ""tiltyards"" that were used for jousting. Do you remember where the Beach Volleyball events were held in the 2012 London Olympics? Well that was Horse Guards Parade, the former tiltyard for the Palace of Whitehall that was used in the time of King Henry VIII."
Japanese verse form.   		5 letters,"HAIKU.    	A haiku is a very elegant form of Japanese verse. When writing a haiku in English we impose the rule that the verse must contain 17 syllables. This restriction comes from the rule in Japanese that the verse must contain 17 sound units called ""moras"", but moras and syllables aren't the same thing. What the difference is though, is not so clear to me ..."
10 sawbucks make one.   		6 letters,"C-NOTE.    	""Sawbuck"" is slang for a ten dollar bill. The term was applied to the bill as the Roman numeral X (ten) resembles the end of sawhorse."
"Actress Taylor of ""Six Feet Under"".   		4 letters","LILI.    	The actress Lili Taylor had supporting roles in films like ""Mystic Pizza"", ""The Haunting"" and ""Rudy"", and she had a recurring role in the HBO series ""Six Feet Under""."
Savory sensation.   		5 letters,"UMAMI.    	Umami is one of the five basic tastes, along with sweet, sour, bitter and salty. 'Umami' is a Japanese word used to describe ""a pleasant savory taste'. Umami was proposed as a basic taste in 1908, but it wasn't until 1985 that the scientific community finally accepted it as such."
Nero's soul.   		5 letters,"ANIMA.    	'Anima' is the Latin word for 'soul, life'."
Bin Laden hunter.   		4 letters,"SEAL.    	SEAL is an acronym, used by the US Navy's SEa, Air and Land teams. The SEALs were born out of the Navy's special warfare groups from WWII, like the Underwater Demolition Teams and the Motor Torpedo Boat Squadrons. The Navy SEAL unit was established soon after President Kennedy's speech in which he announced the plan to put a man on the moon, as in the same speech the president allocated $100m of funding to strengthen special operations forces. The Navy used some of this money to set up guerrilla and counter-guerrilla units, which soon became the SEALs."
"Original ""American Idol"" judge with Randy and Paula.   		5 letters","SIMON.    	Simon Cowell was invited to be a judge on 'Pop Idol', a British show that spawned 'American Idol'. Cowell was then asked to take part in the US spin-off, and we haven't stopped seeing him since ..."
Coniferous trees.   		4 letters,"YEWS.    	Coniferous trees are usually evergreen, and always bear cones (hence the name)."
Humdinger.   		4 letters,"ONER.    	A humdinger, or a oner, is someone or something outstanding. Humdinger is American slang dating back to the early 1900s, originally used to describe a particularly attractive woman."
High-profile defendant of 1992.   		5 letters,"GOTTI.    	John Gotti was the boss of the Gambino crime family from 1985 (when his predecessor was gunned down, allegedly on Gotti's orders) until he was sentenced to life in prison in 1992. Gotti died of throat cancer after ten years behind bars, in 2002."
"""___ and the Wolf"".   		5 letters","PETER.    	As is the case for many I am sure, Prokofiev's ""Peter and the Wolf"" was my introduction to the world of classical music, as it was played for us at school many, many moons ago. Prokofiev wrote the piece as a commissioned work for the Central Children's Theater in Moscow, in 1936. He loved the idea of the project, and wrote the story and music in just four days!"
Mexican moolah.   		5 letters,"PESOS.    	Lettuce, cabbage, kale, dinero, dough and moola (also moolah) are all slang terms for money."
Giorgio of fashion.   		6 letters,"ARMANI.    	Giorgio Armani is an Italian fashion designer and founder of the company that has borne his name since 1975. Although Armani is famous for his menswear, the company makes everything from jewelry to perfume."
A TD is worth six: Abbr..   		3 letters,PTS.    	A touchdown is worth six points.
Certain helicopter.   		5 letters,"COBRA.    	The Bell AH-1 Cobra attack helicopter was the mainstay of the US Army's helicopter fleet, until it was replaced by the AH-64 Apache."
Hank Williams's home state: Abbr..   		3 letters,"ALA.    	Hank Williams was a country singer, regarded by many as the perhaps the greatest country singer of all time. He topped the charts eleven times between 1948 and 1953. His career was cut short though, as he died at only 29 years of age. Williams suffered from spina bifida, and was prescribed strong painkillers for his back pain, including morphine. He abused the drugs and alcohol, and in 1952, even though he was at the height of his success, he was fired from the ""Grand Ole Opry"" and told not to return until he was sober. He died on New Year's Day 1953, after injecting himself with morphine."
Mata ___ (spy).   		4 letters,"HARI.    	Mata Hari was the stage name used by Margaretha Geertruida Zella, born in the Netherlands in 1876. After an unsuccessful and somewhat tragic marriage, Zella moved to Paris in 1903 where she struggled to make a living. By 1905 she was working as an exotic dancer and using the name Mata Hari. She was a successful courtesan, notably moving in various circles of high-ranking military officers. She apparently worked as a double agent, both for the French and the Germans. When Mata Hari was accused by the French of passing information to the enemy, she was tried, found guilty and executed by firing squad at the height of WW1, in 1917."
___ nova.   		5 letters,"BOSSA.    	Bossa Nova is style of music from Brazil that evolved from samba. The most famous piece of bossa nova is the song ""The Girl from Ipanema""."
Ninny.   		4 letters,"TWIT.    	""Twit"" is a word not used very often here in America. It's a slang term that was quite common in England where it was used for ""someone foolish and idiotic""."
Yahtzee equipment.   		4 letters,"DICE.    	The dice game of Yahtzee was introduced in 1956, a variant of earlier dice games, especially the game ""Yacht"" (which even has a similar name). Yahtzee is required playing in our house at holidays."
