One-sixth of diciotto.   		3 letters,"TRE.    	In Italian, one sixth of eighteen (diciotto) is three (tre)."
Tess's literary seducer.   		4 letters,"ALEC.    	The full name of Thomas Hardy's 1891 novel is ""Tess of the d'Urbervilles: A Pure Woman Faithfully Presented"". When it was originally published, ""Tess"" received very mixed reviews, largely because it addressed some difficult sexual themes including rape, and sexual double standards (attitudes towards men vs women). I suppose the most celebrated screen adaption is Roman Polanski's ""Tess"" released in 1979. Polanski apparently made ""Tess"" because his wife, Sharon Tate, gave him Hardy's novel as her last act before she was murdered by the Manson family. There is a dedication at the beginning of the movie that just says ""To Sharon""."
Boise's state: Abbr..   		3 letters,"IDA.    	Boise, Idaho is the largest metropolitan area in the state by far. There are a number of stories pertaining to the etymology of the name 'Boise'. One is that French trappers named the tree-lined river that ran through the area 'la rivière boisée', meaning 'the wooded river'. "
John.   		3 letters,"LOO.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when homeowners started installing toilets indoors they often displaced clothes and linens in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure. Another suggestion is that the term comes from the card game of ""lanterloo"" in which the pot was called the loo!"
Rap's Dr.   		3 letters,"DRE.    	Dr. Dre is the stage name of rapper Andre Romelle Young. Dr. Dre is known for his own singing career as well as for producing records and starting the careers of others such Snoop Dogg, Eminem and 50 Cent."
Memorable 2011 hurricane.   		5 letters,"IRENE.    	Hurricane Irene caused extensive flooding as it travelled through the Caribbean, up the East Coast of the United States and into the Atlantic seaboard of Canada. The hurricane was unusual in that it came so far up north. Fifty-five deaths were attributed to Irene."
Immigrant's subj.   		3 letters,ESL.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
Sellout show sign.   		3 letters,SRO.    	Standing room only (SRO)
"""I've got a mule, her name is ___"".   		3 letters","SAL.    	The song ""Fifteen Miles on the Erie Canal"" was written in 1905. The lyrics are nostalgic, and look back to the days when traffic on the canal was pulled by mules, and bemoans the introduction of the fast-moving engine powered barges. The first line is ""I've got an old mule and her name is Sal""."
"Stephen of ""The End of the Affair"".   		3 letters","REA.    	""The End of the Affair"" is a largely autobiographical novel by Graham Greene. There have been a couple of movie adaptions of the book, including a 1999 Neil Jordan version starring Ralph Fiennes, Julianne Moore and Stephen Rea."
Sparkle.   		4 letters,"ELAN.    	Our word ""élan"" was imported from French, in which it has a similar meaning, ""style"" or ""flair""."
"""___ the land of the free ..."".   		4 letters","O'ER.    	The words ""o'er the land of the free"" come from ""The Star Spangled Banner"" written by Francis Scott Key. The lyrics were written first as a poem by Key, inspired by his witnessing of the bombarding by the British of the American forces at Fort McHenry during the Battle of Baltimore in September 1814. The words were then set to the tune of a popular British drinking song written by John Stafford Smith called ""The Anacreontic Song"", with Anacreontic Society being a men's club in London."
"""Winnie-the-Pooh"" young 'un.   		3 letters","ROO.    	Like most of the characters in A. A. Milne's ""Winnie the Pooh"", Roo was inspired by on a stuffed toy belonging to Milne's son Christopher Robin."
"Magazine that serialized Simone de Beauvoir's 1967 ""La femme rompue"".   		4 letters","ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the biggest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she""."
Belligerent Greek god.   		4 letters,"ARES.    	The Greek god Ares is often referred to as the Olympian god of warfare, but originally he was regarded as the god of bloodlust and slaughter. Ares united with Aphrodite to create several gods, including Phobos, Deimos and Eros. The Roman equivalent to Ares was Mars."
One-named Irish Grammy winner.   		4 letters,"ENYA.    	Enya's real name is Eithne Ní Bhraonáin, which can translate from Irish into Enya Brennan. Her Donegal family (in the northwest of Ireland) formed a band called Clannad, which included Enya. In 1980 Enya launched her very successful solo career, eventually becoming Ireland's best-selling solo musician. And ... she sure does turn up a lot in crosswords!"
U.S.   		3 letters,ESL.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
Anastasia's father was one.   		4 letters,"TSAR.    	The last ruler of Imperial Russia was Tsar Nicholas II (of the House of Romanov). Famously, the Tsar and his family were murdered in 1918 in the basement of a house in Yekaterinburg, Russia by members of the Bolshevik secret police. The Tsar's youngest daughter was 16-year-old Anastasia and rumors of her escape have persisted for years. The rumors grew with the help of numerous women who claimed to be Anastasia. In 2009, DNA testing finally proved that the remains of all of the Tsar's immediate family, including Anastasia, have been found and identified."
Ingredient in some suntan lotions.   		4 letters,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
Org.   		3 letters,AMA.    	American Medical Association (AMA)
PBS benefactor.   		3 letters,"NEA.    	The National Education Association (NEA) is the largest labor union in the country, and mainly represents public school teachers."
Director Preminger.   		4 letters,"OTTO.    	Otto Preminger was noted for his films that pushed the envelope in terms of subject matter, at least in the fifties and sixties. Great examples would be 1955's ""The Man with the Golden Arm"" that dealt with drug addiction, 1959's ""Anatomy of a Murder"" that dealt with rape, and 1962's ""Advise and Consent"" that dealt with homosexuality. If you've seen these films, you'll have noticed that the references are somewhat indirect and disguised, in order to get past the censors."
"Stephen of ""V for Vendetta"".   		3 letters","REA.    	Stephen Rea is an Irish actor, whose most famous role was that of the ""retired"" IRA man in the brilliant 1992 film ""The Crying Game"". He also starred in the chilling movie ""Stuck"", a 2007 film that is based on a true story about a woman who commits a hit-and-run on a homeless man. The woman leaves the scene of the crime with the victim still ""stuck"" in her windshield. The woman then leaves the man to die in her garage. Chilling, eh? But as I said, a true story ..."
"Proofreader's ""reinstate"" mark.   		4 letters","STET.    	Stet is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" beside the change, and then underscoring the change with a line of dots (or dashes)."
Slender reed.   		4 letters,"OBOE.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A""."
Org.   		3 letters,AMA.    	(9. Members of the 22-Across : DRS)
"Woman in ""The King and I"".   		4 letters","ANNA.    	The King and I' is a Rodgers and Hammerstein musical based on a book by Margaret Landon called 'Anna and the King of Siam' first published in 1944. Landon's book is based on a true story, told in the memoirs of Anna Leonowens. Leonowens was the governess of the children of King Mongkut of Siam in the 1860s, and she also taught the king's wives."
Style.   		4 letters,"ELAN.    	Our word ""élan"" was imported from French, in which language the word has a similar meaning, ""style"" or ""flair""."
Subj.   		3 letters,ESL.    	English as a Second Language (ESL) is sometimes referred to as English for Speakers of Other Languages (ESOL) and English as a Foreign Language (EFL).
Cousin of an English horn.   		4 letters,"OBOE.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance, you'll note (pun intended!) the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A"". Oh, and if you want to read a fun book (almost an ""exposé"") about life playing the oboe, you might try ""Mozart in the Jungle"" by oboist Blair Tindall."
Janis's cartoon husband.   		4 letters,"ARLO.    	The comic strip ""Arlo and Janis"" is written by Jimmy Johnson. It was first published in 1985. The lead characters are named after the musicians Arlo Guthrie and Janis Joplin."
Number before dos and tres.   		3 letters,"UNO.    	Uno, dos, tres ... (one, two, three in Spanish)."
Novelist Kesey.   		3 letters,"KEN.    	Ken Kesey wrote the novel ""One Flew Over the Cuckoo's Nest"". He was part of a group of friends that called themselves the ""Merry Pranksters"", a bunch of guys that were associated with the likes of Jack Karouac, Allen Ginsberg and Timothy Leary, icons of the Beat Generation."
Video game letters.   		3 letters,NES.    	The acronym Super NES stands for Super Nintendo Entertainment System. The kids probably have one somewhere ...
Luxe spot.   		3 letters,SPA.    	Luxe is another word for luxury. The term came into English via French from the Latin 'luxus' meaning luxury.
"Sign that might mean ""Good play!"".   		3 letters",SRO.    	Standing Room Only.
"Latin for ""let it stand"".   		4 letters","STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
J.F.K.   		3 letters,"TSA.    	The Transportation Security Administration (TSA) was of course created in 2001, soon after the 9/11 attacks."
"___ Stadium, sports venue since 1997.   		4 letters","ASHE.    	The Arthur Ashe Stadium in Queens, New York opened in 1997 and is the largest outdoor, tennis-only venue in the world. The stadium is sometimes criticized for not having a retractable dome to protect the playing surface from inclement weather."
Inhabitant of Kanga's pouch.   		3 letters,"ROO.    	Kanga is a friend of A. A. Milne's 'Winnie-the-Pooh', and is a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
Number of colori on the Italian flag.   		3 letters,"TRE.    	The Italian flag has three (tri) colors (colori), green white and red."
Discarding card game.   		3 letters,"UNO.    	In my youth I remember being taught a great card game, by a German acquaintance of mine, called Mau Mau. Years later I discovered that Uno is basically the same game, but played with a purpose-printed deck instead of the regular deck of playing cards that's used for Mau Mau. I hear that Mau Mau is derived from the game called Crazy Eights."
One more than due.   		3 letters,"TRE.    	'One, two, three' in Italian is ""uno, due, tre""."
Despot until 1917.   		4 letters,"TSAR.    	The former Soviet Union (USSR) was created in 1922, not long after the Russian Revolution of 1917 that overthrew the Tsar. Geographically, the new Soviet Union was roughly equivalent to the old Russian Empire, and was comprised of fifteen Soviet Socialist Republics (SSRs)."
Onetime J.F.K.   		4 letters,"SSTS.    	SuperSonic Transports, like the Concorde, broke Mach 1, the speed of sound. They're all grounded now."
Something a GPS recalculates: Abbr..   		3 letters,RTE.    	A Global Positioning System (GPS) might point out a route (rte.).
Grp.   		3 letters,"TSA.    	The Transportation Security Administration (TSA) was created in 2001, soon after the 9/11 attacks."
Bellicose deity.   		4 letters,"ARES.    	The Greek god Ares is indeed bellicose. He is often referred to as the Olympian god of warfare, but originally he was regarded as the god of blood-lust and slaughter."
Boy toy?.   		3 letters,"KEN.    	Barbie's counterpart doll is Ken, and Ken's family name is Carson. Barbie's full name is Barbie Millicent Roberts. When Ken was introduced in 1959, it was as Barbie's boyfriend. In 2004 it was announced that Ken and Barbie were splitting up, and needed to spend quality time apart. Both dolls are still available for purchase though."
Figure in a celebrated 2004 breakup.   		3 letters,"KEN.    	The famous Barbie doll was created by businesswoman Ruth Handler and first appeared on store shelves in 1959. Barbie was based on a German fashion doll called Bild Lilli that was introduced in 1955. Lilli had been a German cartoon character before taking on a three-dimensional form. Prior to the introduction of Bild Lilli and Barbie, children's dolls were primarily representations of infants."
Hydrotherapy spot.   		3 letters,"SPA.    	The word ""spa"" comes to us from Belgium, as Spa is the name of a health resort there. The name ""Spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
___ of Wight.   		4 letters,"ISLE.    	The Isle of Wight is the largest island in England, and lies about five miles off the south coast of the country."
Mail deliverer's assignment: Abbr..   		3 letters,RTE.    	Route (rte.)
Clairvoyance and such.   		3 letters,"PSI.    	In the world of parapsychology, the Greek letter psi refers to the phenomena known as extrasensory perception and psychokinesis."
"""Frozen"" princess.   		4 letters",ANNA.    	'Frozen' is a 2013 animated feature from Walt Disney Studios that is based on the Hans Christian Andersen fairy tale 'The Snow Queen'.
"Berry of ""Mayberry R.F.D."".   		3 letters","KEN.    	Ken Berry is an actor, singer and dancer from Moline, Illinois. Berry is most associated with his role as single parent Sam Jones on television's 'Mayberry RFD'. Berry led the cast of this 'Andy Griffiths Show' spin-off, in effect taking over from Andy Griffith when he decided to leave the original show."
"""Winnie-the-Pooh"" baby.   		3 letters","ROO.    	Like most of the characters in A. A. Milne's 'Winnie-the-Pooh', Roo was inspired by a stuffed toy belonging to Milne's son Christopher Robin."
Relative of beige.   		4 letters,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
Burns with a camera.   		3 letters,"KEN.    	Ken Burns directs and produces epic documentary films that usually make inventive use of archive footage. Recent works are the sensational ""The War"" (about the US in WWII) and the magnificent ""The National Parks: America's Best Idea"". Burns' latest offering is 2014's 'The Roosevelts'."
Parseghian of Notre Dame.   		3 letters,"ARA.    	Ara Parseghian coached the Notre Dame football team from 1964 to 1974, a period known as ""The Era of Ara""."
Vogue alternative.   		4 letters,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the highest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she""."
Nimbus launcher of 1964.   		4 letters,"NASA.    	The Nimbus program involved the launching of seven weather satellites starting back in 1964, with launches continuing over the next fourteen years. The satellites led to huge advances in weather forecasting, as well as understanding of solar radiation hitting the planet, the ozone layer, and distribution of sea ice. The Nimbus satellites also provided an early form of global positioning that was used in search and rescue. Cool program ..."
Agcy.   		3 letters,"TSA.    	The Transportation Security Administration (TSA) was of course created in 2001, soon after the 9/11 attacks."
Retired runway model.   		3 letters,SST.    	Very clever wording!
"""No seating"" letters on Broadway.   		3 letters",SRO.    	Standing Room Only (SRO).
"___ Palmas, Spain.   		3 letters","LAS.    	Gran Canaria, or Grand Canary Island, may be grand but it isn't quite as big as Tenerife, the largest island of the group and the most populated. The capital of Gran Canaria is Las Palmas, a port of call for Christopher Columbus in 1492 on his way to the Americas."
Natural soother.   		4 letters,"ALOE.    	Aloe vera has a number of names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
"Slate slate, for short.   		3 letters",EDS.    	Editorials (eds.)
British bathroom.   		3 letters,"LOO.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when homeowners started installing toilets indoors they often displaced clothes and linens in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure. Another suggestion is that the term comes from the card game of ""lanterloo"" in which the pot was called the loo!"
Draft classification.   		5 letters,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
Central figure in a Mussorgsky opera.   		4 letters,"TSAR.    	Boris Godunov was the Tsar of Russia from 1598 to 1605. He is perhaps better known these days because of the artistic works that are based on his life. Alexander Pushkin wrote the play ""Boris Godunov"", partially using Shakespeare's ""Macbeth"" to structure the storyline of Godunov's life. Modest Mussorgsky then wrote a famous opera ""Boris Godunov"", based on the Pushkin play."
Ready for service.   		5 letters,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
Spanish treasure.   		3 letters,ORO.    	'Oro' is Spanish for 'gold'.
Super Mario Bros.   		3 letters,NES.    	The Nintendo Entertainment System (NES) was sold in North America from 1985 to to 1995. The NES was the biggest selling gaming console of the era.
Son of Kanga.   		3 letters,"ROO.    	Kanga is a friend of A. A. Milne's 'Winnie-the-Pooh', and is a kangaroo. She is the mother of Roo, who appears more frequently in the storyline."
"""Beetle Bailey"" dog.   		4 letters","OTTO.    	Sgt. Snorkel ('Sarge') is Beetle Bailey's nemesis in the cartoon strip that bears his name. Snorkel has a dog called Otto that he dresses up to look just like himself. Otto started off as a regular dog, but artist Mort Walker decide to draw him more like his owner, and soon Otto became a big hit."
Fit to serve.   		5 letters,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
"""Me, Myself & ___"" (2000 comedy).   		5 letters","IRENE.    	'Me, Myself & Irene' is a 2000 comedy film starring Jim Carrey ('Me' and 'Myself') and Renée Zellweger (Irene). The movie is a perfect vehicle for Carrey as his character is a state trooper who develops a second personality after a psychotic breakdown. You can just imagine how Jim Carrey plays that extra, unrepressed persona!"
___ ammoniac.   		3 letters,"SAL.    	Sal ammoniac is a mineral made up of ammonium chloride. It is fairly rare as it is very soluble in water and is quite soft. It is most often found around volcanic vents. Sal ammoniac used to be an ingredient in cookies, making them very crispy."
Merry Prankster Kesey.   		3 letters,"KEN.    	Ken Kesey wrote the novel ""One Flew Over the Cuckoo's Nest"". Kesey was one of a group of friends who called themselves the ""Merry Pranksters"", a bunch of guys who were associated with the likes of Jack Kerouac, Allen Ginsberg and Timothy Leary, all icons of the Beat Generation."
Lotion ingredient.   		4 letters,"ALOE.    	Aloe vera has a number of names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
Cracked just slightly.   		4 letters,"AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
Philip with a 1975 best seller on C.I.A.   		4 letters,AGEE.    	Philip Agee was a CIA case officer who left the agency and then wrote a tell-all book in 1975 about his experiences 'Inside the Company'.
Welcome sign for a B'way angel.   		3 letters,SRO.    	Standing Room Only (SRO).
Elite retreat.   		3 letters,"SPA.    	The word ""spa"" migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name ""spa"" comes from the Walloon word ""espa"" meaning ""spring, fountain""."
Start for a Spanish count.   		3 letters,UNO.    	'Uno' is Spanish for 'one'.
Mani-pedi spot.   		3 letters,SPA.    	Manicure & pedicure (mani-pedi)
Shade darker than eggshell.   		4 letters,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
Queens stadium eponym.   		4 letters,"ASHE.    	The Arthur Ashe Stadium in Queens, New York opened in 1997 and is the largest outdoor, tennis-only venue in the world. The stadium is sometimes criticized for not having a retractable dome to protect the playing surface from inclement weather."
Most eligible for service.   		5 letters,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System. In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
Part of Istanbul is in it.   		4 letters,"ASIA.    	Istanbul is the only metropolis in the world that is situated in two continents. The city extends both on the European side of the Bosphorus, and on the Asian side."
Bridge maven Sharif.   		4 letters,"OMAR.    	Omar Sharif is the great Hollywood actor from Egypt, who played such memorable roles in the movies ""Doctor Zhivago"" and ""Lawrence of Arabia"". But to me he is my bridge hero (the card game). In his heyday he was one of the best players in the world."
It began commercial service in '76.   		3 letters,"SST.    	The most famous SuperSonic Transport (SST) was the Concorde, all of which are now grounded. Concorde had that famous ""droop nose"". The nose was moved to the horizontal position during flight to create the optimum aerodynamic shape thereby reducing drag. The nose was lowered during taxi, takeoff and landing, so that the pilot had better visibility. The need for the droop nose was driven largely by the delta-shaped wings on Concorde. The delta wing necessitates a higher angle of attack at takeoff and landing than conventional wing designs, so the pilot needed the nose lowered so that he or she could see the ground."
North-of-the-border station.   		4 letters,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company as it uses the initial letters of 'Standard' and 'Oil' (ESS-O). The Esso brand was replaced by Exxon in the US, but ESSO is still used in many other countries."
Cheese ball?.   		4 letters,"EDAM.    	One cheese that is recognized by its coating is Edam. Edam cheese takes the name after the Dutch town of Edam in North Holland. It is famous for its coating of red paraffin wax, a layer of protection that helps it travel well and prevents spoiling. You might occasionally come across an Edam cheese that is coated in black wax. This means that the underlying cheese has been aged for a minimum of 17 weeks."
Drs.' org.   		3 letters,"AMA.    	The American Medical Association was founded in 1847, at the Academy of Natural Sciences in Philadelphia. The first female member joined in 1868, but the first African American members weren't allowed to join until 1968."
Can of Prince Albert?.   		3 letters,"LOO.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when toilets started to be installed indoors they often displaced clothes in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure."
Jalisco article.   		3 letters,LAS.    	Jalisco is a state on the central-west coast of Mexico. The capital city of Jalisco is Guadalajara.
"""Leaving ___ Vegas"".   		3 letters","LAS.    	""Leaving Las Vegas"" is a 1995 film starring Nicolas Cage as a suicidal alcoholic who tries to drink himself to death in Las Vegas, befriending a prostitute played by Elisabeth Shue along the way. The film is based on a semi-autobiographical novel of the same name written by John O'Brien. Two weeks into production of the movie, O'Brien actually did commit suicide."
"Old ""Put a tiger in your tank"" brand.   		4 letters","ESSO.    	The brand name Esso has its roots in the old Standard Oil company, as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US but it is still used in many other countries."
Wintour of fashion.   		4 letters,"ANNA.    	Anna Wintour is fashion editor in Britain, and is also the editor-in-chief of American ""Vogue"". Lauren Weisberger wrote the book ""The Devil Wears Prada"", with the tyrannical main character apparently based on Wintour."
Rock and Roll Hall-of-Famer James.   		4 letters,"ETTA.    	Etta James was best known for her beautiful rendition of the song ""At Last"". Sadly, as she disclosed in her autobiography, James lived a life that was ravaged by drug addiction leading to numerous legal and health problems. Ms. James passed away in January 2012 having suffered from leukemia."
___ of Man.   		4 letters,"ISLE.    	The Isle of Man is a large island located in the middle of the Irish Sea between Great Britain and Ireland. I used to spend a lot of time there in my youth, and a very interesting place it is indeed. The Isle of Mann is classed as a British Crown Dependency, and isn't part of the United Kingdom at all. It is self-governing and has its own parliament called the Tynwald. The Tynwald was created in AD 979, and is arguably the oldest continuously running parliament in the world. The inhabitants of the island speak English, although they do have their own language called Manx, which is very similar to Irish Gaeilge and Scottish Gaelic. And then there are the Manx cats, the ones without any tails. I've seen lots of them, and can attest that they are found all over the island."
"She, in Cherbourg.   		4 letters","ELLE.    	Cherbourg lies on the northern coast of France, a port on the English Channel. Interestingly, the wreck of the Confederate States of America warship CSS Alabama was recently discovered just outside the port. The Alabama was sunk by the Union cruiser Kearsarge in 1864, after she left the port of Cherbourg to engage the Kearsarge who was lying in wait offshore."
Fit for service.   		5 letters,"ONE-A.    	The US government maintains information on all males who are potentially subject to military conscription, using what is called the Selective Service System(SS). In the event that a draft was held, men registered would be classified into groups to determine eligibility for service. Class 1-A registrants are those available for unrestricted military service. Other classes are 1-A-O (conscientious objector available for noncombatant service), 4-A (registrant who has completed military service) and 4-D (Minister of religion)."
Vogue competitor.   		4 letters,"ELLE.    	""Elle"" magazine was founded in 1945 in France and today has the highest circulation of any fashion magazine in the world. ""Elle"" is the French word for ""she"". 'Elle' is published monthly worldwide, although you can pick up a weekly edition if you live in France."
Colored part of the eye.   		4 letters,IRIS.    	The iris is the colored part of the eye that has an aperture in the center which can open or close depending on the level of light hitting the eye.
Season opener?.   		3 letters,ESS.    	ESS/SSE
Restoration notation.   		4 letters,"STET.    	""Stet"" is a Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" and then underscoring that change with a line of dots or dashes."
Not fully shut.   		4 letters,"AJAR.    	Our word ""ajar"" is thought to come from Scottish dialect, in which ""a char"" means ""slightly open""."
Actress Paquin.   		4 letters,"ANNA.    	Anna Paquin is an actress from New Zealand who won an Oscar as an 11-year-old for her role in ""The Piano"". In the HBO series ""True Blood"" she plays Sookie Stackhouse, a role for which she won a Golden Globe."
"Former flier, for short.   		3 letters","SST.    	The most famous SuperSonic Transport (SST) was the Concorde, a plane that's no longer flying. Concorde had that famous ""droop nose"". The nose was moved to the horizontal position during flight to create the optimum aerodynamic shape thereby reducing drag, and was lowered during taxi, takeoff and landing, so that the pilot had better visibility. The need for the droop nose was driven largely by the delta-shaped wings. The delta wing necessitates a higher angle of attack at takeoff and landing than conventional wing designs, so the pilot needed the nose lowered so that he or she could see the ground."
"Dinosaur in Pixar's ""The Good Dinosaur"".   		4 letters","ARLO.    	The Good Dinosaur"" is a Pixar movie that premiered in Paris on November 14th, 2015 under the title 'Le Voyage d'Arlo'."
"One with delta wings, briefly.   		3 letters","SST.    	The delta wing (triangular shaped) is often the choice for supersonic aircraft of all sizes, including the large SuperSonic Transports like the Concorde."
"""She's a good old worker and a good old pal,"" in song.   		3 letters","SAL.    	The song ""Fifteen Miles on the Erie Canal"" was written in 1905. The lyrics are nostalgic and look back to the days when traffic on the canal was pulled by mules, bemoaning the introduction of the fast-moving engine-powered barges."
Linen shade.   		4 letters,"ECRU.    	The shade called ecru is a grayish, yellowish brown. The word ""ecru"" comes from French and means ""raw, unbleached"". ""Ecru"" has the same roots as our word ""crude""."
Super ___ (1990s video game console).   		3 letters,NES.    	The acronym Super NES stands for Super Nintendo Entertainment System. The kids probably have one somewhere ...
Wii forerunner.   		3 letters,NES.    	The acronym Super NES stands for Super Nintendo Entertainment System. Our kids probably have one somewhere ...
"Workers on Times tables, briefly?.   		3 letters",EDS.    	Editor (ed.)
Old U.S.   		4 letters,"ESSO.    	The brand name Esso has its roots in the old Standard Oil company, as it uses the initial letters of ""Standard"" and ""Oil"" (ESS-O). The Esso brand was replaced by Exxon in the US but it is still used in many other countries around the world."
"""The woman,"" to Sherlock Holmes.   		5 letters","IRENE.    	The character Irene Adler only appeared in one of the Sherlock Holmes stories by Sir Arthur Conan Doyle. In that story, 'A Scandal in Bohemia', Holmes expresses remarkable admiration for Adler as a woman and as a foe. As a result, derivative works in the Holmes genre often feature Adler as something of a romantic interest for Sherlock."
Where you might get rubbed the right way.   		3 letters,"SPA.    	The word 'spa' migrated into English from Belgium, as Spa is the name of a municipality in the east of the country that is famous for its healing hot springs. The name 'Spa' comes from the Walloon word 'espa' meaning 'spring, fountain'."
Balm ingredient.   		4 letters,"ALOE.    	Aloe vera has a number of alternate names that are descriptive of its efficacy as a medicine. These include the First Aid plant, Wand of Heaven, Silent Healer and Miracle Plant."
Symbol for water potential.   		3 letters,"PSI.    	'Water potential' is a concept in physics, the tendency of water to move from one system into another. For example, water tends to move from a more 'watery' cell in a plant to a less 'watery' cell, attempting to balance out the concentration of water in each. This tendency is what drives water throughout a plant, for example."
Guthrie who sang at Woodstock.   		4 letters,"ARLO.    	Arlo Guthrie is the son of Woody Guthrie. Both father and son are renowned for their singing of protest songs about social injustice. Arlo is most famous for his epic 'Alice's Restaurant Massacree', a song that lasts a full 18m 34s. In the song Guthrie tells how, after being drafted, he was rejected for service in the Vietnam War based on his criminal record. He had only one incident on his public record, a Thanksgiving Day arrest for littering and being a public nuisance when he was 18-years-old."
Rhoda's TV mom.   		3 letters,"IDA.    	Ida Morgenstern is a character on the seventies sitcom 'Rhoda'. Ida is the mother of the title character, Rhoda Morgenstern. Ida was played by Nancy Walker, and Rhoda by Valerie Harper."
Razor brand.   		4 letters,"ATRA.    	The Atra was introduced by Gillette in 1977, and sold as the Contour in some markets, and its derivative products are still around today."
Mule of song.   		3 letters,"SAL.    	The song ""Fifteen Miles on the Erie Canal"" was written in 1905. The lyrics are nostalgic and look back to the days when traffic on the canal was pulled by mules, bemoaning the introduction of the fast-moving engine-powered barges. The first line is ""I've got an old mule and her name is Sal""."
