ERN_T,ERNST.    	(61A. See 13-Down : MACH)
NA_T,"NAST.    	William Magear Tweed was known as ""Boss"" Tweed. He was a 19th-century, American politician who led the Democratic Party machine in New York, headquartered in Tammany Hall. He was one of the most successful of the corrupt politicians of the day, siphoning from taxpayers (in today's money) billions of dollars. In 1871 he was arrested, and served time in jail. He was then rearrested on civil charges and served time in debtor's prison. He managed to escape to Spain, but was arrested once more and extradited to the United States. He died in jail in 1878."
_AN,"NAN.    	The 'Bobbsey Twins' series of children's novels was first written by Edward Stratemeyer in 1904. Stratemeyer used the pseudonym Laura Lee Hope, as did subsequent authors who wrote 72 books in the series between 1904 and 1979."
A_O,"ABO.    	The most important grouping of blood types is the ABO system. Blood is classified as either A, B, AB or O, depending on the type of antigens on the surface of the red blood cells. A secondary designation of blood is the Rh factor, in which other antigens are labelled as either positive or negative. When a patient receives a blood transfusion, ideally the donor blood should be the same type as that of the recipient, as incompatible blood cells can be rejected. However, blood type O-neg can be accepted by recipients with all blood types, A, B, AB or O, and positive or negative. Hence someone with O-neg blood type is called a ""universal donor""."
REP_,REPO.    	Repossession (repo)
UV_A,UVEA.    	The uvea is the middle of the three layers that make up the eyeball.
_ELE,"PELE.    	Pelé is the nickname of Edson de Nascimento, a soccer player who has used the name Pelé for most of his life. Pelé is now retired, and for my money was the world's greatest ever player of the game. He is the only person to have been part of three World Cup winning squads, and is a national treasure in his native Brazil."
T_GA,"TOGA.    	In Ancient Rome the classical attire known as a toga (plural 'togae') was usually worn over a tunic. The tunic was made from linen, and the toga itself was a piece of cloth about twenty feet long made from wool. The toga could only be worn by men, and only if those men were Roman citizens. The female equivalent of the toga was called a ""stola""."
_MIL,"EMIL.    	Emil Zátopek was a long-distance runner from Czechoslovakia who is best-remembered for winning three gold medals at the 1952 Summer Olympics. He had trained for the 5,000 meter and 10,000 meter events, and won both of them. He then decided to run the first marathon of his life, and won that too!"
T_D,"TAD.    	Just a whisper, just a tad, not too much ..."
C_O,"CRO.    	Remains of early man, dating back to 35,000 years ago, were found in Abri de Cro-Magnon in southwest France, giving the name to those early humans. Cro-Magnon remains are the oldest human relics that have been discovered in Europe."
ITE_,"ITEM.    	An unmarried couple known to be involved with each other might appear in the gossip columns. This appearance as ""an item"" in the papers, led to the use of ""item"" to refer to such a couple, but only since the very early seventies. Brad Pitt and Angelina Jolie were an item in the gossip columns after they met on the set of the 2005 film 'Mr. and Mrs. Smith'. Since then, they have unravelled their prior marriages and are now husband and wife with six children."
ORZ_,"ORZO.    	Orzo is pasta that has been formed into granular shapes, much like barley. And indeed, ""orzo"" is the Italian word for ""barley""."
_VAN,"EVAN.    	Steve Carell's ""Evan Almighty"" was actually a sequel, to Jim Carrey's ""Bruce Almighty"". ""Evan Almighty"" is a cute enough film, with Evan mutating into a Noah character who goes as far as building an ark in his front yard."
R_M,"RPM.    	The tachometer takes its name from the Greek word ""tachos"" meaning ""speed"". A tachometer measures Revolutions Per Minute."
E_NE,"ERNE.    	The ern (also erne) is also called the white-tailed eagle, and the sea-eagle."
YS_,"YSL.    	Yves Saint-Laurent was French fashion designer, actually born in Algeria. He started off as a young man working as an assistant to Christian Dior, at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950, Saint-Laurent was conscripted into the French Army, and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life together again, and started his own fashion house. Remarkable ..."
E_NE,ERNE.    	The ern (also erne) is also called the white-tailed eagle or sea-eagle.
GN_,"GNU.    	A gnu is also known as a wildebeest, and is an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
RO_C,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
OLL_,OLLA.    	An olla is a traditional clay pot used for the making of stews. 'Olla' was the Latin word used in Ancient Rome to describe a similar type of pot.
SL_V,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
SMO_,"SMOG.    	""Smog"" is of course a portmanteau word, formed by melding ""smoke"" and ""fog"". The word was first used to describe the air around London in the early 1900s."
M_E,MME.    	Madame (Mme.)
ALER_,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
EDY_,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
ESSA_,"ESSAY.    	George Will is a journalist and author who is noted for his conservative political commentary. Outside the world of politics, Will is a big baseball fan and wrote the bestseller 'Men at Work: The Craft of Baseball'."
NE_L,"NEIL.    	""The Odd Couple"" is a play by the wonderfully talented Neil Simon first performed on Broadway, in 1965. This great play was adapted for the big screen in 1968, famously starring Jack Lemmon (as Felix Unger, the neat-freak) and Walter Matthau (as Oscar Madison, the slob). The success of the play and the film gave rise to an excellent television sitcom that ran from 1970-1975, starring Tony Randall and Jack Klugman. In 1985, Neil Simon even went so far as to adapt the play for an all-female cast, renaming it ""The Female Odd Couple"". I'd like to see that one ..."
_EN,"ZEN.    	Zen is one of the Buddhist schools, and it developed it's own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
B_N,"BEN.    	Ben Cohen and Jerry Greenfield did a correspondence course on ice-cream making in 1977 given by Pennsylvania State University's Creamery. The following year they opened an ice cream parlor in an old gas station in Burlington, Vermont. Today Ben & Jerry's has locations in over 20 countries around the world, and theirs was the first brand ice-cream to go into space."
D_T,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
OHAR_,"O'HARA.    	Scarlett O'Hara home is the Tara plantation, in Margaret Mitchell's ""Gone with the Wind"". Tara was founded not far from the Georgia city of Jonesboro by Scarlett's father, Irish immigrant Gerald O'Hara. Gerald named his new abode after the Hill of Tara back in his home country, the ancient seat of the High King of Ireland."
_AN,"NAN.    	In an Indian restaurant, naan bread is very popular. Naan is traditionally baked in a clay oven known as a tandoor."
ZE_,"ZEN.    	Zen is a Buddhist school that developed its own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
_NG,"ENG.    	ACT is an abbreviation for American College Testing. The ACT is an entrance exam used by many universities. It has four sections, English, Reading, Math and Science, and an optional 30-minute essay."
PL_,"PLO.    	The Oslo Accords grew out of secret negotiations between the Palestinian Liberation Organization (PLO) and Israel in a residence in Oslo in the early nineties. The delegates shared the same house while they conducted 14 meetings. While eating all their meals together at the same table, the negotiators came to respect one another and apparently friendships developed."
RA_,"RAS.    	RAs are resident assistants or resident advisers, the peer leaders found in residence halls, particularly on a college campus."
S_L,"STL.    	'Dancing in the Dark' is a 1984 Bruce Springsteen song, his biggest hit. If you take a look at the music video released at the same time, it features Springsteen performing the song on stage. At the end of the video, the singer brings a fan on stage and dances with her, and that fan is played by actress Courtney Cox."
E_TS,"ENTS.    	Ear, Nose and Throat specialist (ENT)"
_ZOD,"IZOD.    	Jack Izod was a tailor of some repute over in England, producing shirts for King George V as well as other members of the Royal Family. As Izod was about to retire, he was approached for the use of his name by an American clothing manufacturer based in New York. The brand Izod of London was introduced to America in 1938."
SAMO_,"SAMOA.    	Pago Pago is the capital of American Samoa in the South Pacific. The island was used by the US Navy during WWII and it managed to escape most of the conflict. The only military incident of consequence was the shelling of the city's harbor by a Japanese submarine. A more devastating event was the tsunami that hit Pago Pago and surrounding areas in 2009, causing widespread damage and numerous deaths."
EST_,"ESTE.    	In French, the orient (oriente) is to the east (este)."
_ELL,"NELL.    	Dudley Do-Right appeared on the Rocky and Bullwinkle Show, a cartoon that appeared on television in a couple of different versions from 1959-1964. Dudley was a bungling Mountie who struggled with his nemesis, the evil Snidely Whiplash."
_LY,"ELY.    	Ron Ely is most famous for playing the title role in the ""Tarzan"" TV series in the sixties. Years later, Ely hosted the 1980 and 1981 ""Miss America"" pageants right after longtime host Bert Parks retired, before the job was taken over by Gary Collins. And Ely is a successful mystery novelist. He wrote ""Night Shadows"" and ""East Beach"" in the mid-nineties, both of which featured his private eye Jake Sands."
AS_RO,"ASTRO.    	Orbit is the mascot of the Houston Astros baseball team. He is an alien creature with two antennae tipped by baseballs. Orbit was introduced by the Astros in 1990, and then retired in 1999 to make way for Junction Jack, the team mascot when the Astros moved to Enron Field. Orbit was resurrected in 2013 when the Astros moved from the National to the American League."
_LAV,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
A_RE,"AARE.    	The Aar (also called the ""Aare"" in German) is the longest river entirely in Switzerland. A famous spot along the Aar is the Reichenbach Falls in the center of the country, actually a series of waterfalls near the city of Meiringen. These falls are renowned in the world of literature as it was here that Sherlock Holmes fell to his supposed doom with his nemesis Professor Moriarty (in ""The Adventure of the Final Problem"")."
_EAN,"SEAN.    	""Beautiful Boy (Darling Boy)"" is a John Lennon song, which was released on the 1980 album ""Double Fantasy"". Produced with Yoko Ono, it was the last album released before Lennon was murdered. The ""beautiful boy"" in the song is Sean, the only child that Lennon and Ono had together. The song contains the famous line ""Life is what happens to you while you're busy making other plans""."
OMAN_,"OMANI.    	The Rial is name of the currency of Oman (as well as Yemen , Iran, Cambodia and Tunisia!)."
_ARP,"EARP.    	Wyatt Earp is famous as one of the participants in the gunfight at the O.K. Corral. Earp was a city policeman in Wichita, Kansas and also in Dodge City, Kansas. Earp was also deputy sheriff in Tombstone, Arizona where the O.K. Corral gunfight took place. Years later, Earp joined the Alaska Gold Rush and with a partner built and operated the Dexter Saloon in Nome."
_NE,"-ENE.    	Acetylene is one of the simplest hydrocarbons, and has the formula C2H2. About 20% of the acetylene produced in the world is used for oxyacetylene gas welding and cutting."
P_I,"PHI.    	Those five rhyming Greek letters are: xi, pi, phi, chi and psi."
CH_,"CHI.    	The Chicago Bulls have won six NBA championships in the life of the franchise, all of them in the nineties. They won in the 1991, 1992 and 1993 seasons (a so-called 'three-peat'), and then again in 1996, 1997 and 1998 (a second 'three-peat')."
D_L,"DEL.    	The state of Delaware takes its name from Virginia's first colonial governor, Englishman Thomas West, 3rd Baron De La Warr. Delaware is known as ""The First State"" as it was the first to ratify the US Constitution, in 1787."
I_O,"IWO.    	Iwo Jima is a volcanic island located south of Tokyo that today is uninhabited. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of Japanese military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out and no one has lived there since."
ENRO_,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
_AROT,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment in games. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future."
E_TS,ENTS.    	J. R. R. Tolkien's novel 'The Lord of the Rings' consists of the three volumes:
C_I,"CHI.    	""The Chicago Tribune"" was first published in 1847. The most famous edition of ""The Trib"" was probably in 1948 when the headline was ""DEWEY DEFEATS TRUMAN"", on the occasion of that year's presidential election. When it turned out Truman had actually won, the victor picked up the paper with the erroneous headline and posed for photographs with it ... a famous, famous photo, that must have stuck in the craw of the editor at the time."
_AD,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". Cad was first used for a servant, and then students at British universities used ""cad"" as a name for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
_RENA,"ARENA.    	86. ""Gladiator,"" for one : EPIC"
M_A,"MTA.    	The MTA is the Metropolitan Transportation Authority, which has public transportation responsibility in the state of New York (as well as part of Connecticut)."
_NU,"GNU.    	A gnu is also known as a wildebeest, an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
SEI_E,"SEINE.    	Paradoxically, Pont Neuf is the oldest bridge standing today that crosses the River Seine in Paris. The paradox is that the name translates to 'new bridge'. The bridge is in two parts, as it crosses from the Left Bank to the Île de la Cité (on which stands Notre Dame) and then from the Île de la Cité to the Right Bank."
NO_,"NOG.    	It's not really clear where the term ""nog"" comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
_RE,"ERE.    	Ere now, before now."
OMA_I,"OMANI.    	Bedouin tribes are Arab ethnic groups that predominately live in the Middle East, in desert areas. Bedouin tribes tend to be nomadic, not settling permanently in one location."
FR_,"FRA.    	The title ""Fra"" (brother) is used by Italian monks."
_AA,FAA.    	The Federal Aviation Administration.
D_T,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
EN_,ENG.    	Today there are six official languages of the United Nations:
S_EET,"SLEET.    	Apparently ""sleet"" is a term used to describe two weather conditions. One is a shower of ice pellets, smaller than hail, and the second is a mixture of rain and snow, with the snow melting as it falls. It's the second definition that I have always used ..."
_EN,"ZEN.    	Zen is a Buddhist school that developed its own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
D_R,"DER.    	""Der Fuehrer's Face"" is a famous Donald Duck cartoon short produced to support the American war effort. It is a blatant anti-Nazi propaganda piece, and was well received, winning an Academy Award in 1943, the only Donald Duck cartoon to win an Oscar. If you get the chance, you just have to see it ..."
LY_,"LYE.    	Today when we purchase what is labelled as ""lye"", it is caustic soda (sodium hydroxide)."
_AR,"UAR.    	The UAR, United Arab Republic, was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement."
RA_I,"RAVI.    	Ravi Shankar is perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and is most famous for his sitar playing. Shankar is the father of the beautiful pop singer Norah Jones."
_MIL,"EMIL.    	Emil Jannings, an actor from Switzerland, was the first person to receive an Oscar. He was the star of the 1928 silent movie ""The Last Command""."
I_T,"IRT.    	The Interborough Rapid Transit Company (IRT) was the original private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
_LERO,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
ES_E,"ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
U_EA,UVEA.    	The uvea is the middle of the three layers that make up the eyeball.
D_R,"DER.    	Ludwig Mies van der Rohe was a German architect who was routinely referred to simply as ""Mies"". I am a philistine, I know, but Mies' buildings look very plain to me. However, he did come up with two far-from-plain sayings: ""less is more"" and ""God is in the details""."
N_G,"NOG.    	It's not really clear where the term ""nog"" comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
_ER,"DER.    	""Der Spiegel"" is a very successful German magazine found on news-stands all over Europe. The name ""Der Spiegel"" translates from German into ""the Mirror""."
_DYS,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
_RS,"RRS.    	The Pennsylvania Railroad (PRR) was a large rail network in the northeast that was founded in 1846. Even though the 'Pennsy' (as it was called) was the busiest railroad in the first half of the twentieth century, it went out of business in 1968. The PRR was also the largest public company in the world at one point, and it still holds the record for the longest continuous dividend history, having paid out an annual dividend for over one hundred years in a row."
CH_,"CHI.    	The Chicago Cubs are one of only two teams still playing that are charter members of baseball's National League (the other is the Atlanta braves). The Cubs are known as the ""Lovable Losers"", because they haven't won the World Series since 1908 (after winning it in 1907 as well), giving the Cubs the longest spell without a World Series title in the whole of baseball."
IZO_,"IZOD.    	Jack Izod was a tailor of some repute over in England, producing shirts for King George V as well as other members of the Royal Family. As Izod was about to retire, he was approached for the use of his name by an American clothing manufacturer based in New York. The brand Izod of London was introduced to America in 1938."
_STE,"ESTE.    	'Este' (east) is a 'dirección' (direction), in Spanish."
C_L,"CAL.    	Cal Ripken played his entire, 20-year professional baseball career for the Baltimore Orioles. Ripken was known as the ""Iron Man"" because he showed up for work every day, come rain or shine. He played 2,632 straight games, blowing past the previous 2,130-game record held by Lou Gehrig."
A_ISH,"AMISH.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
_RT,"ART.    	Robert Indiana is the working name used by artist Robert Clark, who was born and raised in Indiana. Indiana's most famous work is his 'LOVE' print, which first appeared in a series of poems written in 1958. The most famous version of the 'LOVE' work was created for a 1964 Christmas card used by the Museum of Modern Art. Famously, the print was then used for an 8-cent US postage stamp in 1973."
_RT,"IRT.    	The Interborough Rapid Transit Company (IRT) was the original private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
NO_,"NOG.    	It's not really clear where the term ""nog"" (as in 'eggnog') comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
_AA,"FAA.    	The Federal Aviation Administration was set up in 1958 (as the Federal Aviation Agency). The agency was established at that particular time largely in response to an increasing number of midair collisions. The worst of these disasters had taken place two years earlier over the Grand Canyon, a crash between two commercial passenger airplanes that resulted in 128 fatalities."
_SS,MSS.    	An editor has to wade his or her way through a manuscript (MS) that has been submitted.
_IM,"TIM.    	Tim Armstrong is a musician best known as singer and guitarist with the punk rock band Rancid and the supergroup the Transplants. Armstrong also used the stage name Lint earlier in his career, as well as Tim Timebomb."
UVE_,"UVEA.    	The uvea is the middle of the three layers that make up the eyeball. The outer layer is called the fibrous tunic, and the inner layer is the retina."
AC/D_,"AC/DC.    	The Heavy Metal band known as AC/DC was formed by two brothers in Australia. The group is usually called ""Acca Dacca"" down under."
PH_,PHI.    	Phi is the 21st letter of the Greek alphabet.
S_SHA,"SASHA.    	Sasha Cohen is an American figure skater. Her mother is a Jewish immigrant from the Ukraine, a former ballet dancer. Sasha (the nickname for Alexandra, her birth name) can herself understand Russian."
E_NST,ERNST.    	Ernst Stavro Blofeld is a villain in the James Bond universe. Blofeld has been played on the big screen several times by different actors. My favorite is Donald Pleasance in 1967's 'You Only Live Twice'.
_DT,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
S_MOA,"SAMOA.    	The official name for the South Pacific country formerly known as Western Samoa is the Independent State of Samoa. 'Samoa' is the western part of the island group, with American Samoa lying to the southeast. The whole group of islands used to be known as Navigators Island, a name given by European explorers in recognition of the seafaring skills of the native Samoans."
S_OG,"SMOG.    	""Smog"" is of course a portmanteau word formed by melding ""smoke"" and ""fog"". The term was first used to describe the air around London in the early 1900s."
SLE_T,"SLEET.    	Apparently ""sleet"" is a term used to describe two weather conditions. One is a shower of ice pellets, smaller than hail, and the second is a mixture of rain and snow, with the snow melting as it falls. It's the second definition that I have always used ..."
_GUA,"AGUA.    	In Spanish, a desert (un desierto) lacks water (agua)."
_OAH,"NOAH.    	Genesis 6:19-20 states that Noah was instructed to take two animals of every kind into the ark. Later, in Genesis 7:2-3 Noah was instructed to take on board ""every clean animal by sevens ... male and female, to keep offspring alive on the face of all the earth"". Apparently ""extras"" (7 rather than 2) were needed for ritual sacrifice."
_TA,STA.    	At a station (sta.) one might catch a bullet train. 
ES_AY,"ESSAY.    	John Locke was the English philosopher who postulated that the mind is a blank slate (or ""tabula rasa"") when we are born, and that we fill that slate with our experiences and observations."
_IN,"GIN.    	The original tonic water was a fairly strong solution of the drug quinine dissolved in carbonated water. It was used in tropical areas in South Asia and Africa where malaria is rampant. The quinine has a prophylactic effect against the disease, and was formulated as ""tonic water"" so that it could be easily distributed. In British colonial India, the colonial types got into the habit of mixing in gin with the tonic water to make it more palatable by hiding the bitter taste of the quinine. Nowadays, the level of quinine in tonic water has been dropped, and sugar has been added."
D_N,"DAN.    	""The Da Vinci Code"" is an excellent story, written by Dan Brown. However, Brown's first book to feature the character Robert Langdon was even better in my opinion, namely ""Angels & Demons""."
TI_A,"TINA.    	Comic actress Tina Fey has a scar on her face a few inches long on her left cheek, which I was shocked to learn was caused by a childhood ""slashing"" incident. When she was just five years old and playing in the front yard of her house, someone just came up to her and slashed her with a knife. How despicable!"
RR_,RRS.    	Railroads (RRs)
IR_,"IRT.    	The Interborough Rapid Transit Company (IRT) was the original private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
_SO,"USO.    	The United Service Organization was founded in 1941 at the request of FDR, ""to handle the on-leave recreation of the men in the armed forces"". A USO tour is a tour by a troupe of entertainers, many who are big-name celebrities, to troop locations that often including combat zones."
_TV,ATV.    	An all-terrain vehicle (ATV)
AR_,"ART.    	The founding of the Museum of Modern Art (MoMA) in New York City was very much driven by Abby Aldrich Rockefeller, the wife of John D. Rockefeller, son of the oil magnate. Working with two friends, Abby managed to get the museum opened in 1929, just nine days after the Wall Street Crash. The MoMA's sculpture garden bears the name of Abby Aldrich Rockefeller, and has done so since 1949."
R_S,"RRS.    	Railroad ties are usually wooden, oblong members used to support and maintain the separation between&nbsp;the rails. Over in Europe we call ties 'sleepers', which I think is a much more colorful term!"
DD_,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
RA_A,"RAGA.    	Raga isn't really a type of music, but has been described as the ""tonal framework"" in which Indian classical music is composed. Ravi Shankar was perhaps the most famous raga virtuoso (to us Westerners). Western rock music with a heavy Indian influence might be called raga rock."
A_C,"ABC.    	Modern Family' is a marvelous television show shown on ABC since 2009. The show's format is that of a 'mockumentary', with the cast often addressing the camera directly. In that respect 'Modern Family' resembles two other excellent shows: 'The Office' and 'Parks and Recreation', both of which might also be described a 'mockumentaries'."
C_D,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". ""Cad"" was first used for a servant, and then students at British universities used ""cad"" as a term for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
_AT,"KAT.    	""Krazy Kat"" is a successful comic strip that ran from 1913-1944 and was drawn by George Herriman."
AS_RO,"ASTRO.    	The Jetsons' is an animated show from Hanna-Barbera that had its first run in 1962-1963, and then was recreated in 1985-1987. When it was debuted in 1963 by ABC, ""The Jetsons"" was the network's first ever color broadcast. 'The Jetsons' are like a space-age version of 'The Flintstones'. The four Jetson family members are George and Jane, the parents, and children Judy and Elroy. Residing with the family are Rosie the household robot, and Astro the pet dog."
_EAN,"SEAN.    	Sean Connery wasn't the first choice for the role of James Bond. Six potential actors were selected for a screen test, after which a 28-year-old model was chosen called Peter Anthony. It turned out that Anthony wasn't up to the part, and so second-choice Connery was given a call."
Y_L,"YSL.    	Yves Saint-Laurent was a French fashion designer, actually born in Algeria. He started off working as an assistant to Christian Dior at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950 Saint-Laurent was conscripted into the French Army and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted on him by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life back together, and started his own fashion house. A remarkable story ..."
_RE,ERE.    	William Shakespeare is known as the Bard of Avon as he was born and raised in the lovely town of Stratford-upon-Avon in the English midlands.
A_UA,"AGUA.    	The Agua Fria River that runs from a spot near the city of Prescott, Arizona south through the Agua Fria National Monument and into Lake Pleasant located near Peoria, Arizona. 'Agua Fria' translates from Spanish as 'Cold Water'."
S_AV,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
SE_A,"SELA.    	Sela Ward turns up in crosswords a lot. She played Teddy Reed in the TV show ""Sisters"" in the nineties, was in ""Once and Again"" from 1999-2002. I don't know either show. I do know her from ""House"" though. She played the hospital's lawyer, and Greg House's ex-partner. That was a fun role, I thought."
RAV_,"RAVI.    	Ravi Shankar was perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and was noted for his sitar playing. Shankar was the father of the beautiful singer Norah Jones."
S_L,"STL.    	The St. Louis Cardinals were originally called the 'Brown Stockings', changing their name to the 'Perfectos' in 1899. That obviously didn&#8217;t go down well with the locals, as the owners changed it one year later to the Cardinals."
_SAT,PSAT.    	Preliminary Scholastic Aptitude Test (PSAT)
AV_A,"AVIA.    	The Avia brand name for athletic shoes was chosen as ""avia"" is the Latin word for ""to fly"", and suggests the concept of aviation. Avia was founded in Oregon in 1979."
AN_L,"ANIL.    	Anil is another name for the indigo plant, as well as the name for the blue indigo dye that is obtained from it. And that blue is relatively close to ""navy"" blue."
M_N,"MSN.    	The Microsoft Network (MSN) used to be an Internet service provider (ISP). These days, MSN is mainly a web portal."
ESS_Y,"ESSAY.    	Charles Lamb published a famous collection of essays simply entitled ""Essays of Elia"". Elia was actually a clerk and co-worker of Charles Lamb, whereas Lamb was the author."
_NISE,"ANISE.    	Liquorice (also licorice) and aniseed do indeed have similar flavors, but they come from unrelated plants. The liquorice plant is a legume like a bean, and the sweet flavor is an extract from the roots. The flavor mainly comes from an ether compound called anethole, the same substance that gives the distinctive flavor to anise. The seedpods of the anise plant are what we know as ""aniseed"". The anise seeds themselves are usually ground to release the flavor."
ETU_,"ETUI.    	An etui is an ornamental case used to hold small items, in particular sewing needles. We imported both the case design and the word ""etui"" from France. The French also have a modern usage of ""etui"", using the term to depict a case for carrying CDs."
I_O,"IWO.    	Iwo Jima is a volcanic island located south of Tokyo that today is uninhabited. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of Japanese military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out and no one has lived there since."
_RT,"ART.    	In the world of art, a 'mobile' is described as a kinetic sculpture as it can move. It can also sit in equilibrium, with heavier elements hanging on the end of rods so that balance is achieved."
