Announcer Hall.   		3 letters,EDD.    	Edd Hall is most famous as the former announcer for Jay Leno on 'The Tonight Show'.
Malarkey.   		3 letters,"ROT.    	It's not really known how the word 'malarkey' came to mean 'lies and exaggeration', although 'Malarkey' is also used as a family name."
Hole maker.   		4 letters,"MOTH.    	The larvae of several types of moth are noted for eating fabrics made from natural fibers such as wool or cotton. Many people store woolens in cedar chests believing that the scent of the wood prevents a moth infestation. In fact, the only known effective repellent is the naphthalene found in mothballs, which might be a health concern for humans. One way to kill moth larvae in fabric is to freeze the garment for several days at a temperature below 8 degrees centigrade."
"""Spider-Man"" director Sam.   		5 letters","RAIMI.    	Sam Raimi is a very successful director and producer, responsible for the ""Spider-Man"" series of films among others and TV series' such as ""Xena: Warrior Princess""."
Exuberant flamenco cries.   		4 letters,"OLES.    	Flamenco is a style of Spanish music and dance. The origin of the word ""flamenco"" isn't clearly understood, but the explanation that seems most credible to me is that it comes from Flanders in Northern Europe. Given that ""flamenco"" is the Spanish word for ""Flemish"" and Flanders is home to the Flemish people it makes perfect sense, doesn't it?"
"Chevy, e.g.   		4 letters","AUTO.    	Louis-Joseph Chevrolet was a Swiss race car driver who co-founded the Cevrolet Motor Car Company in 1911. The company logo to this day is a stylized Swiss cross, in honor of Chevrolet's Swiss roots."
Calmer?.   		6 letters,"OPIATE.    	Opiates are the narcotic alkaloids found in the opium poppy plant, although some synthetic versions and derivatives of the same alkaloids are also called opiates. To produce opiates, the latex sap of the opium poppy is collected and processed. The naturally-occurring drugs of morphine and codeine can both be extracted from the sap. Some synthesis is required to make derivative drugs like heroin and oxycodone."
Native of the 49th state.   		5 letters,"ALEUT.    	The Aleuts live on the Aleutian Islands of the North Pacific, and on the Commander Islands at the western end of the same island chain. The Aleutian Islands are part of the United States, and the Commander Islands are in Russia."
Court figure Williams.   		6 letters,SERENA.    	Serena Williams is the younger of the two Williams sisters playing professional tennis. Serena has won more prize money in her career than any other female athlete.
"State in which ""That '70s Show"" was set: Abbr..   		3 letters","WIS.    	'That &#8216;70s Show' is a sitcom that originally aired from 1998 to 2006. As the title suggests, it is set in the 1970s and explores the issues of the time. Two actors that made it particularly big from the show are Mila Kunis and Ashton Kutcher. "
"Problem on the red carpet, maybe.   		3 letters",RIP.    	I guess we're talking about a rip in one of those expensive gowns that are display on the red carpet.
Royal Arms of England symbol.   		4 letters,"LION.    	The Royal Arms of England is the coat of arms that is used as a symbol for the country and for the English monarchy. The design of the coat of arms features three golden lions in a column on a red shield. The first use of the three-lions symbol on a shield goes back to King Richard I, also known as Richard the Lionheart."
Fly-by-night?.   		4 letters,"MOTH.    	It isn't really understood why moths are attracted to artificial lights. There is one theory that sounds plausible to me though. It is suggested that moths navigate at night by maintaining the moon (the brightest celestial object) at a fixed angle. When a moth finds a brighter light source, like an artificial light, it gets confused."
Vittles.   		4 letters,"EATS.    	'Victuals' is a term for food that is fit for consumption. We tend to pronounce 'victuals' as 'vittles', and we use the term 'vittles' and 'victuals' interchangeably."
Libel or slander.   		4 letters,"TORT.    	The word ""tort"" is a French word meaning ""mischief, injury or wrong"". Tort law is generally about negligence, when the action of one party causes injury to another but that action falls outside of the scope of criminal law."
Santa ___ (hot winds).   		4 letters,"ANAS.    	Santa Ana is the county seat of Orange County, California and takes its name from the Santa Ana River that runs through the city. The Santa Ana winds are the very dry air currents that sweep offshore late in the year in Southern California. Because these air currents are so dry, they are noted for their influence over forest fires in the area, especially in the heat of the fall. The winds arise from a buildup of air pressure in the Great Basin that lies between the Rocky Mountains and the Sierra Nevada. Under the right conditions, that air spills over the peaks of the Sierra Nevada and basically ""falls"" down the side of the Sierra range, heading for the ocean. As the air falls it becomes drier and heats up, so that relative humidity can fall to below 10% by the time it hits the coast."
Rarin' to go.   		5 letters,"ANTSY.    	The word ""antsy"" embodies the concept of ""having ants in one's pants"", meaning being nervous and fidgety. However, ""antsy"" has been used in English since the 1830s, whereas ""ants in the pants"" originated a century later."
Wiener link?.   		3 letters,UND.    	'Und' is the German word for 'and'.
Place for a tattoo.   		3 letters,"ARM.    	The word ""tattoo"" was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
Something that might come to light?.   		4 letters,"MOTH.    	It isn't really understood why moths are attracted to artificial lights. There is one theory that sounds plausible to me though. It is suggested that moths navigate at night by maintaining the moon (the brightest celestial object) at a fixed angle. When a moth finds a brighter light source, like an artificial light, it gets confused."
Onetime propaganda source.   		4 letters,"TASS.    	TASS is the abbreviation used for the former news agency, the Telegraph Association of the Soviet Union (Telegrafnoye Agentstvo Sovetskovo Soyuza). When the Soviet Union dissolved in 1992, the Moscow-based agency's scope changed, along with its name. It is now known as the Information Telegraph Agency of Russia (ITAR-TASS)."
Piece in a rockhound's collection.   		5 letters,GEODE.    	A geode is a rock in which there is a cavity lined or filled with crystal formations.
Sub choice.   		6 letters,"SALAMI.    	Salame (note the ""e"" at the end) is an Italian sausage that is traditionally associated with the peasant classes. The meat in the sausage is preserved with salt, and it can be hung and stored for as long as ten years. The name ""salame"" comes from ""sale"", the Italian word for salt, and ""-ame"", a suffix indicating a collective noun. Our English word ""salami"" is actually the Italian plural for ""salame""."
Religious leader who met with Attila the Hun.   		6 letters,ST LEO.    	The first pope named Leo is now known as Pope Saint Leo the Great. Leo I is famous for meeting with the feared Attila the Hun and persuading him to turn back his invading force that was threatening to overrun Western Europe.
Want ad abbr..   		3 letters,EOE.    	An Equal Opportunity Employer.
Foot bones.   		5 letters,"TARSI.    	The tarsals (also 'tarsi') are the ankle bones, equivalent to the carpals in the wrist."
"To be, in Tijuana.   		3 letters","SER.    	Tijuana is the largest city in the Mexican state of Baja California, and lies just across the US-Mexico border from San Diego. Tijuana is also the most westerly of all Mexican cities. A lot of Tijuana's growth took place in the twenties as tourists flocked south of the border during the days of prohibition in the US. One of the many casinos and hotels that flourished at that time was Hotel Caesar's in the Avenida Revolución area. Hotel Caesar's claims to be the birthplace of the now ubiquitous Caesar Salad."
"""The way beer was meant to be"" sloganeer, once.   		5 letters","PABST.    	Pabst Blue Ribbon is the most recognizable brand of beer from the Pabst Brewing Company. There appears to be some dispute over whether or not Pabst beer ever won a ""blue ribbon"" prize, but the company claims that it did so at the World's Columbian Exposition in Chicago in 1893. The beer was originally called Pabst Best Select, and then just Pabst Select. With the renaming to Blue Ribbon, the beer was sold with an actual blue ribbon tied around the neck of the bottle until it was dropped in 1916 and incorporated into the label."
Balderdash.   		3 letters,"ROT.    	""Balderdash"" means 'senseless jumble of words'. The original balderdash (back before the late 1600s) was a jumbled mix of liquids, like maybe beer and wine, or even beer and milk!"
Galápagos creature.   		6 letters,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from a UV lamp to maintain body temperature."
Some Wharton alums.   		4 letters,"MBAS.    	The world's first MBA degree was offered by Harvard's Graduate School of Business Administration, in 1908."
Banjoist Fleck.   		4 letters,"BELA.    	Béla Fleck is a banjo player who performed with the bands New Grass Revival and Béla Fleck and the Flecktones. Fleck was born in New York City and was given the name Béla Anton Leoš Fleck. He was named after Hungarian composer Béla Bartók, Austrian composer Anton Webern, and Czech composer Leoš Janáček. That's quite a name to live up to, but by all accounts Fleck is one of the most technically proficient banjo players the world has ever known."
Don Juan's mother.   		4 letters,"INEZ.    	Lord Byron wrote the poem ""Don Juan"" based on the legend of the Don Juan the womanizer. In the poem, he created the character Donna Inez, Don Juan's mother. Supposedly, Inez was based on Byron's own wife, Annabella Milbanke."
Nutrition amts.   		4 letters,"RDAS.    	Recommended Daily Allowances (RDAs) were introduced during WWII, and were replaced by Recommended Daily Intakes (RDIs) in 1997."
Rapper ___ Wayne.   		3 letters,"LIL.    	Here's yet another rapper (oh, joy!). Lil Wayne's real name is ... Dwayne Carter, Jr."
"""See ___ run"".   		4 letters","SPOT.    	In the 'Dick and Jane' series of book for children, Spot was a cat back in the thirties, but then became a dog in later editions."
Singer Turner's autobiography.   		7 letters,"I, TINA.    	""I, Tina"" is the 1986 autobiography of Tina Turner. The book was so successful it was adapted into a movie called ""What's Love Got to Do With It?"" The film version was released in 1993 and starring Angela Bassett as Tina Turner."
"Frank who directed ""It's a Wonderful Life"".   		5 letters","CAPRA.    	I can't tell you how many of Frank Capra's movies are on my list of all-time favorites. He directed such classics as 'It Happened One Night', 'Mr. Deeds Goes to Town', 'Lost Horizon', 'Mr. Smith Goes to Washington', 'Meet John Doe', 'Arsenic and Old Lace' and the holiday favorite 'It's a Wonderful Life'. Capra was the first person to win three directorial Oscars: for 'It Happened One Night', 'Mr. Deeds Goes to Town' and 'You Can't Take It With You'. Capra also did his bit during WWII, enlisting just a few days after Pearl Harbor was attacked. Given his great talent, and the fact that he enlisted at the relatively advanced age of 44, the US Army put him to work directing 11 documentary war films in the 'Why We Fight' series, for which he was awarded the Distinguished Service Medal."
Music devices with earbuds.   		5 letters,"IPODS.    	I just read an article on hearing loss that cites a study published in the 'Journal of Pediatrics'. According to the study, 12&#189;% of kids between 6 and 19 suffer from a loss of hearing that is directly attributable to the use of earphones set at a dangerously high volume. Personally, I love listening to all sorts of programming using earbuds. I am careful to use 'in-ear' types of earphones that are designed to block out external noise so that I can listen to programming at the lowest possible volume, and don't have to drown out external sounds. My doctor gives me a pat on the back for doing so, and has asked me to spread the word!"
Winnie-the-___.   		4 letters,"POOH.    	Alan Alexander (A.A.) Milne was an English author, best known for his delightful ""Winnie-the-Pooh"" series of books. He had only one son, Christopher Robin Milne, born in 1920. The young Milne was the inspiration for the Christopher Robin character in the Winnie-the-Pooh stories. Winnie-the-Pooh was named after Christopher Robin's real teddy bear, one he called Winnie, who in turn was named after a Canadian black bear called Winnie that the Milnes would visit in London Zoo. The original Winnie teddy bear is on display at the main branch of the New York Public Library in New York."
Tolkien creatures.   		4 letters,"ORCS.    	Orcs are mythical humanoid creatures that appear in the writings of J. R. R. Tolkien. Since Tolkien's use of orcs, they have also been featured in other fantasy fiction and in fantasy games."
Not Dem.   		3 letters,IND.    	An Independent candidate is neither Democrat nor Republican.
Ones in an annual hunt.   		4 letters,"EGGS.    	Tradition states that the first Easter Egg Roll in the nation's capitol was staged by Dolley Madison, wife of President James Madison. The inaugural event was held in 1814, but not at the White House, where it is held today. That first Egg Roll was held on the grounds of the US Capitol. After a new lawn was planted in 1877, Congress passed a law making it illegal to use the lawn as a children's playground (boo! hiss!), and so President Rutherford and his wife Lucy brought the Egg Roll to the White House (hurrah!)."
Mayo containers?.   		4 letters,ANOS.    	May (mayo) is one of the months in the Spanish year (año).
"Self-referential, in modern lingo.   		4 letters","META.    	In recent decades the prefix 'meta-' has started to be used as a standalone adjective. In this sense 'meta' means 'self-referential', describing something that refers to itself. For example, 'This sentence starts with the word 'this' and ends with the word 'this'' might be called a meta sentence. A movie that is about the making of the very same movie could also be described as meta."
The Horned Frogs of the Big 12 Conf.   		3 letters,"TCU.    	The athletic teams of Texas Christian University (TCU) are known as the TCU Horned Frogs. The Texas horned lizard is known colloquially as the ""horned frog""."
"Others, to Ovid.   		4 letters","ALII.    	The Roman poet Publius Ovidius Naso is today known simply as Ovid. Ovid is usually listed alongside the two other great Roman poets, Horace and Virgil."
"Norm of ""This Old House"".   		5 letters","ABRAM.    	Norm Abram is the master carpenter who appeared on the PBS show 'This Old House', and who later starred in the spinoff series called 'The New Yankee Workshop'."
Land of Minos.   		5 letters,"CRETE.    	Minos was the King of Crete in Greek mythology, and the son of Zeus and Europa. Minos had an elaborate labyrinth built in Crete, designed by the architect Daedalus and his son Icarus (who famously died trying to escape from the island by ""flying"" away). In the labyrinth, King Minos kept the Minotaur, a dreadful creature with the head of a bull on the body of a man."
Millennio divisions.   		4 letters,"ANNI.    	In Italian, a millennium (millennio) is divided into years (anni)."
Area jiggled while twerking.   		4 letters,REAR.    	Twerking is a dancing move in which a woman (usually) shakes her hips up and down causing a lot of 'wobbling'. It's possible that 'twerk' is a portmanteau of 'twist' and 'jerk'.
GPS component: Abbr..   		4 letters,SYST.    	Global positioning system(GPS)
"Mechanical ""bandit"" feature.   		3 letters","ARM.    	Slot machines earned the nickname ""one-armed bandits"" simply because they had ""one arm"", the handle pulled to operate the machine, and they robbed you of all your money like bandits!"
"Lucy of ""Kill Bill"".   		3 letters","LIU.    	Lucy Liu is an Asian-American actress from Queens, New York. Liu's big break came when she was chosen to play the Ling Woo character in ""Ally McBeal"". I liked her in the 2000 film ""Charlie's Angels"" but as I am no fan of Quentin Tarantino, I did not enjoy the movie ""Kill Bill"". I am having fun watching one of Liu's latest projects, in which she plays one of the two leads in the TV crime drama 'Elementary'."
Headlight gas.   		5 letters,"XENON.    	Metal halide lamps that are called xenons don't actually rely on the incorporated xenon gas to generate light. The xenon gas is added so that the lamp comes on ""instantly"". Without the xenon, the lamp would start up rather like a street lamp, flickering and sputtering for a while before staying alight."
Macho sort.   		4 letters,"STUD.    	The word ""stud"", meaning ""a male horse kept for breeding"", is derived from the Old English word ""stod"" which described a whole herd of horses."
___Kosh B'Gosh.   		3 letters,"OSH.    	OshKosh B'gosh is a company that produces and sells children's clothes. The trademark OshKosh bib-overalls remind us of the company's roots, as it was originally a manufacturer of adult work clothes based in Oshkosh, Wisconsin."
House speaker after Hastert.   		6 letters,"PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She is the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
Superior home?: Abbr..   		3 letters,"WIS.    	Wisconsin is named for the Wisconsin River, the longest river in the state. The famous missionary Father Jacques Marquette recorded the Algonquian name for the river as 'Meskousing'. This was modified by French explorers to 'Ouisconsin', with the first syllable pronounced just like the French word for 'yes' &#8230; 'oui&#8217;. In the early 1800s this was anglicized to 'Wisconsin'."
"""The Beverly Hillbillies"" dad.   		3 letters","JED.    	The actor Buddy Ebsen is best known for playing Jed Clampett in television's 'The Beverly Hillbillies'. Ebsen had been cast in the role of the Tin Man in the 1939 movie 'The Wizard of Oz', but he developed an allergy to the aluminium dust that was used in the makeup. He ended up in hospital and had to walk away from the part. Ebsen blamed 'The Wizard of Oz' on persistent problems that he had with his lungs in subsequent years. But Ebsen lived 16 years longer that any of the other major cast members of the film, so maybe he got the last laugh!"
Pet that's a herbivore.   		6 letters,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from an IR lamp to maintain body temperature."
Isle of ___.   		5 letters,"CAPRI.    	The island of Capri off the coast of Southern Italy has been a tourist resort since the days of ancient Rome. Capri is home to the famous Blue Grotto, a sea cave that is illuminated with sunlight , which takes on a lovely blue color as it passes through the seawater into the cave. Natives of Capri are known as 'Capriotes'."
___Kosh B'Gosh.   		3 letters,"OSH.    	OshKosh B'gosh is a company that produces and sells children's clothes. The trademark OshKosh bib-overalls remind us of the company's roots, as it was originally a manufacturer of adult work clothes based in Oshkosh, Wisconsin."
Feature of a modern zoo.   		4 letters,"MOAT.    	A 'moat' is a protective trench that surrounds a castle, say, or a an exhibit in a zoo. A moat may or may not be filled with water."
Bit of cowboy gear.   		5 letters,"REATA.    	'Reata' is the Spanish word for 'lasso'. We tend to use the spelling 'riata' in English, but sometimes can use the original Spanish word."
Area in front of a chancel.   		4 letters,"NAVE.    	In large Christian churches, the nave is the main approach to the altar, where most of the congregation are seated."
Legal wrong.   		4 letters,"TORT.    	The word ""tort"" is a French word meaning ""mischief, injury or wrong"". Tort law is generally about negligence, when the action of one party causes injury to another but that action falls outside of the scope of criminal law."
"""Something to Talk About"" singer, 1991.   		5 letters","RAITT.    	Bonnie Raitt is a blues singer, originally from Burbank, California. Raitt has won nine Grammys for her work, but she is perhaps as well known for her political activism as she is for her music. She was no fan of President George W. Bush while he was in office, and she sure did show it."
Former House speaker Nancy.   		6 letters,"PELOSI.    	Nancy Pelosi is a former Speaker of the House, the 60th person to hold that position. Ms. Pelosi represents a district not far from here, which covers most of San Francisco. She was the first Californian, the first Italian-American and the first woman to be Speaker of the House. As Speaker, she was also second in line, after the Vice President, to take over if President Obama could not finish his term. That made Nancy Pelosi the highest-ranking female politician in US history."
Deli supply.   		6 letters,"SALAMI.    	Salame (note the ""e"" at the end) is an Italian sausage that is traditionally associated with the peasant classes. The meat in the sausage is preserved with salt, and it can be hung and stored for as long as ten years. The name ""salame"" comes from ""sale"", the Italian word for salt, and ""-ame"", a suffix indicating a collective noun. Our English word ""salami"" is actually the Italian plural for ""salame""."
"Catholic university near Tampa, Fla.   		6 letters","ST LEO.    	Saint Leo University is a private, Roman Catholic school in Florida. Notable alumni of Saint Leo are Lee Marvin and Desi Arnaz."
Her helmet is shown on West Point's coat of arms.   		6 letters,"ATHENA.    	The Greek goddess Athena is often associated with wisdom (among other attributes). In many representations. Athena is depicted with an owl sitting on her head. It is this linkage of the owl with the goddess of wisdom that led to today's perception of the owl as being ""wise""."
Arc lamp gas.   		5 letters,"XENON.    	Metal halide lamps that are called xenons don't actually rely on the incorporated xenon gas to generate light. The xenon gas is added so that the lamp comes on ""instantly"". Without the xenon, the lamp would start up rather like a street lamp, flickering and sputtering for a while before staying alight."
Division of a long poem.   		5 letters,"CANTO.    	A canto is a section of a long poem, and is a term first used by the Italian poet Dante. ""Canto"" is the Italian for ""song""."
"Host Banks of TV's ""America's Next Top Model"".   		4 letters","TYRA.    	Tyra Banks is a tremendously successful model and businesswoman. Banks created and hosts the hit show 'America's Next Top Model ', and also has her own talk show. She was also the first African American woman to make the cover of the 'Sports Illustrated"" swimsuit issue."
Attorney general under Bush 41.   		4 letters,"BARR.    	William Barr was the US Attorney General for two years in the administration of President George H. W. Bush. When not working, Barr is a very enthusiastic player of the Scottish bagpipes!"
"It has a solo near the end of ""An American in Paris"".   		4 letters","TUBA.    	The 1951 film ""An American in Paris"" was inspired by the delightful symphonic tone poem of the same name written by George Gershwin in 1928. Gershwin also wrote the music for the film, with lyrics by his brother Ira. The musical is chock full of famous tunes including ""I got Rhythm"" and ""'S Wonderful"". At the end of the movie there is a very unique dance sequence featuring the stars, Gene Kelly and Leslie Caron. The dance lasts a full 16 minutes, choreographed to Gershwin's original ""An American in Paris"" composition."
Rainy day rarity.   		3 letters,"CAB.    	A hansom cab is a very specific design of horse and buggy that was patented by Joseph Hansom in 1834 in England. The ""cab"" in the name is short for ""cabriolet"", a prior design of carriage on which the hansom was based. It's from ""hansom cab"" that we get our modern term ""cab""."
Land O' Lakes land: Abbr..   		3 letters,"WIS.    	Land O' Lakes is a town in the north of Wisconsin, right on the state line with the Upper Peninsula of Michigan. In fact,  Land O' Lakes was founded as the Town of State Line, with the name being changed in 1948. The town has little or nothing to do with the Land O&#8217;Lakes creamery co-op, which originated in Minnesota. "
Hands on deck.   		4 letters,"TARS.    	A Jack Tar, or just ""tar"", was a seaman in the days of the British Empire. The term probably arose due to a sailor's various uses of tar back then, including waterproofing his clothes and using tar in his hair to slick down his ponytail."
Gulf vessel.   		5 letters,"OILER.    	An 'oiler' is an oil tanker, an ocean-going vessel used to transport crude oil."
Scott in an 1857 Supreme Court case.   		4 letters,"DRED.    	Famously, the slave Dred Scott was unsuccessful in suing for his freedom in St. Louis, Missouri in 1857."
Interstate hwy.   		4 letters,"SYST.    	The US Interstate System is more correctly known as the Dwight D. Eisenhower National System of Interstate and Defense Highways, a nod to President Eisenhower who championed the construction. The President had come to recognise the value of the German autobahn system in his experiences during WWII, and resolved to give the US a similar infrastructure. In real terms, the US Interstate construction project is said to have been the largest public works project since the building of the Pyramids of Egypt."
Exams with analytical reasoning parts: Abbr..   		5 letters,LSATS.    	Law School Admission Test (LSAT)
Cross state.   		4 letters,"SNIT.    	The exact etymology of 'snit', meaning 'fit of temper', isn't really known. The term was first used in print in the play 'Kiss the Boys Goodbye' by Clare Booth Luce, which dates back to the 1930s and is set in the American South."
Badminton call.   		3 letters,"LET.    	The game of badminton was developed in the mid-1700s by British military officers in India. There was already an old game called battledore and shuttlecock, so the creation of badminton was essentially the addition of a net and boundary lines for play. The game was launched officially as a sport in 1873 at Badminton House in Gloucestershire in England, giving it the name that we now use."
Puck's master.   		6 letters,"OBERON.    	Oberon and Titania are the King and Queen of the fairies in Shakespeare's ""A Midsummer Night's Dream""."
Bunk.   		3 letters,"ROT.    	The word ""bunk"" is short for ""bunkum"", the phonetic spelling of 'Buncombe', which is a county in North Carolina. Supposedly, a state representative made a dull and irrelevant speech that was directed to his home county of Buncombe, bringing the term ""bunkum"" into the language with the meaning of ""nonsense"". The derivative word ""debunk"" first appeared in a novel by William Woodward in 1923, when he used it to describe ""taking the bunk out of things""."
"Like the ""Scream"" horror films.   		4 letters","META.    	In recent decades the prefix 'meta-' has started to be used as a standalone adjective. In this sense 'meta' means 'self-referential', describing something that refers to itself. For example, 'This sentence starts with the word 'this' and ends with the word 'this'' might be called a meta sentence. A movie that is about the making of a movie could also be described as meta. For example, 'The Blair Witch Project' might be described as meta, which is a movie about some young people making a scary movie about the Blair Witch."
"Some boxing results, for short.   		4 letters","TKOS.    	In boxing, a knockout (KO) is when one of the fighters can't get up from the canvas within a specified time, usually 10 seconds. This can be due to fatigue, injury, or the participant may be truly ""knocked out"". A referee, fighter or doctor may also decide to stop a fight without a physical knockout, especially if there is concern about a fighter's safety. In this case the bout is said to end with a technical knockout (TKO)."
___ 10.   		4 letters,BASE.    	Our decimal numbering system is in the base 10. The binary numbering system used deep down in our computers is in the base 2.
Get into.   		3 letters,"DON.    	To doff is to take off, with ""doff"" being a contraction of ""do off"". The opposite of 'doff' is 'don' meaning 'to put on'."
"Years, in Rome.   		4 letters","ANNI.    	""Annus"" (plural ""anni"") is the Latin for year."
"10100110, e.g.   		4 letters","BYTE.    	In the world of computers, a ""bit"" is the basic unit of information. It has a value of 0 or 1. A ""byte"" is a small collection of bits (usually 8), the number of bits needed to uniquely identify a character of text. The prefix mega- stands for 10 to the power of 6, so a megabyte (meg) is 1,000,000 bytes. And the prefix giga- means 10 to the power of 9, so a gigabyte (gig) is 1,000,000,000 bytes. Well, those are the SI definitions of megabyte and kilobyte. The purists still use 2 to the power of 20 for a megabyte (i.e. 1,048,576), and 2 to the power of 30 for a gigabyte."
"Presidential moniker on ""The West Wing"".   		3 letters","JED.    	In the excellent television show 'The West Wing', President Jed Bartlet is played by Martin Sheen. Leo McGarry was played very ably by John Spencer. If you haven't seen them, the early seasons of ""The West Wing"" are just fabulous. I learned so much about the workings of the American government through this TV show."
"With 43-Across, part of a squid.   		3 letters",INK.    	(43. See 38-Across : SAC)
Stand in a studio.   		5 letters,"EASEL.    	The word ""easel"" comes from an old Dutch word meaning ""donkey"" would you believe? The idea is that an easel carries its load (an oil painting, say) just as a donkey would carry its load."
Take out.   		4 letters,"DELE.    	Dele is the editorial instruction to delete something from a document, and is often written in red."
Rostock bar stock.   		3 letters,EIS.    	'Eis' is German for 'ice'.
Land at an Italian airport?.   		5 letters,"TERRA.    	'Terra' is the Italian for 'land, ground'."
Drawbridge locale.   		4 letters,"MOAT.    	A 'moat' is a protective trench that surrounds a castle, say, or a an exhibit in a zoo. A moat may or may not be filled with water."
Inits.   		3 letters,CTA.    	Chicago Transit Authority (CTA)
Oahu-to-Molokai dir.   		3 letters,"ESE.    	O'ahu has been called ""The Gathering Place"", although the word ""O'ahu"" has no translation in Hawaiian. It seems that O'ahu is simply the name of the island. One story is that it is named after the son of the Polynesian navigator that first found the islands. The island is made up of two volcanoes, Wai'anae and Ko'olau, joined together by a broad valley, the O'ahu Plain."
___ State.   		4 letters,"KENT.    	Kent State University's main campus is located in Kent, Ohio. Kent State will forever be associated with student activism and opposition to the Vietnam War in the late sixties and early seventies. The fateful day was May 4, 1970 when members of the Ohio National Guard opened fire on students, killing four protesters and wounding nine."
Silly.   		5 letters,INANE.    	Our word 'inane' meaning silly or lacking substance comes from the Latin 'inanitis' meaning 'empty space'.
"""Spider-Man"" director Sam.   		5 letters","RAIMI.    	Sam Raimi is a very successful director and producer, responsible for the ""Spider-Man"" series of films among others, and TV series' such as ""Xena: Warrior Princess""."
Ring leader?.   		6 letters,"TORERO.    	'Matador' is a Spanish word used in English for a bullfighter, although the term isn't used in the same way in Spanish. The equivalent in Spanish is ""torero"". ""Matador"" translates aptly enough as 'killer'."
*Origin of the game Parcheesi.   		5 letters,"INDIA.    	Pachisi is an ancient Indian game that has been commercialized in the West as Ludo, Sorry! and Parcheesi. The name derives from the Hindi 'pachis' meaning 'twenty-five', which is the largest score that can thrown in one move in the original game."
Classic TV sidekick.   		5 letters,"TONTO.    	On the television version of 'The Lone Ranger', Tonto was played by the actor Jay Silverheels. Famously, the Lone Ranger's horse was called Silver and Tonto's mount was named Scout. But in the early shows, Tonto rode a horse called White Feller."
Parkinson's treatment.   		6 letters,"L-DOPA.    	L-3,4-DihydrOxyPhenylAlanine, thankfully can be shortened to L-DOPA. Swedish scientist Arvid Carlsson won a Nobel Prize for showing that L-DOPA could be used to reduce the symptoms of Parkinson's Syndrome."
Paper work.   		7 letters,ORIGAMI.    	The Japanese word 'origami' is derived from ori (folding) and kami (paper).
Bathroom brand with a Snake Plus variety.   		5 letters,"DRANO.    	To clean out drains we might buy Crystal Drano which is sodium hydroxide (lye) mixed with sodium nitrate, sodium chloride (table salt) and aluminum. The contents of Drano work in concert to clear the clog. The lye reacts with any fats creating soap which may be enough to break up the clog. Also, the finely-divided aluminum reacts with water creating tremendous heat so that that mixture boils and churns, then any hair or fibers are cut by the sharp edges of the nitrate and chloride crystals. Having said all that, I find that boiling water poured down the drain almost always does the job ..."
Some bathroom crystals.   		5 letters,"DRANO.    	To clean out drains we might buy Crystal Drano which is sodium hydroxide (lye) mixed with sodium nitrate, sodium chloride (table salt) and aluminum. The contents of Drano work in concert to clear the clog. The lye reacts with any fats creating soap which may be enough to break up the clog. Also, the finely-divided aluminum reacts with water creating tremendous heat so that that mixture boils and churns, then any hair or fibers are cut by the sharp edges of the nitrate and chloride crystals. Having said all that, I find that boiling water poured down the drain almost always does the job ..."
Black winds.   		5 letters,"OBOES.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A""."
Start of a count-off.   		4 letters,"EENY.    	Eeny, meeny, miny, moe,"
"Cause of an insurance increase, for short.   		3 letters","DUI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
Unalaska native.   		5 letters,"ALEUT.    	The Aleuts live on the Aleutian Islands of the North Pacific, and on the Commander Islands at the western end of the same island chain. The Aleutian Islands are part of the United States, and the Commander Islands are in Russia."
___ Bear.   		4 letters,"POOH.    	Alan Alexander (A.A.) Milne was an English author, best known for his delightful ""Winnie-the-Pooh"" series of books. He had only one son, Christopher Robin Milne, born in 1920. The young Milne was the inspiration for the Christopher Robin character in the Winnie-the-Pooh stories. Winnie-the-Pooh was named after Christopher Robin's real teddy bear, one he called Winnie, who in turn was named after a Canadian black bear called Winnie that the Milnes would visit in London Zoo. The original Winnie teddy bear is on display at the main branch of the New York Public Library in New York."
Sporty auto options.   		6 letters,T-TOPS.    	A T-top is a car roof that has removable panels on either side of a rigid bar that runs down the center of the vehicle above the driver.
Ugly Middle-earth creatures.   		4 letters,"ORCS.    	Orcs are mythical humanoid creatures that appear in the writings of J. R. R. Tolkien. Since Tolkien's use of orcs, they have also been featured in other fantasy fiction and in fantasy games."
