E_UC,EDUC.    	Parent-Teacher Association (PTA)
G_OK,"GROK.    	To grok' is to understand, a slang word that's really only used in ""techie"" circles. 'Grok' is the creation of science fiction author Robert Heinlein, who coined the term in his 1961 novel 'Stranger in a Strange Land'."
_NOW,"ENOW.    	'Enow' is an archaic form of the word ""enough""."
REVU_,REVUE.    	'Revue' is the French word for 'review'.
L_S,"LYS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
BRY_,"BRYN.    	I used to live not far from Bryn-mawr (also ""Brynmwar"") in Wales, the town with the highest elevation in the country. Appropriately enough, ""bryn mawr"" is Welsh for ""big hill"". There is also a Bryn Mawr in Pennsylvania (note the different capitalization) that is named after its Welsh counterpart. At the Pennsylvania location there's a Bryn Mawr college, a private women's school that was the first American university to offer graduate degrees to women."
"ERI_,PA","ERIE, PA.    	Today 'Quaker State' is an unofficial name for Pennsylvania, as it is more correctly known as the Keystone State, and has been so since 1802. However, in colonial times Pennsylvania was known officially as the Quaker Province, recognizing the beliefs and doctrine of the state's founder, William Penn."
O_IST,"ODIST.    	The poet John Keats is famous for writing a whole series of beautiful odes. The most renowned are the so-called '1819 Odes', a collection from the year 1819 that includes famous poems such as 'Ode on a Grecian Urn', ""Ode to a Nightingale' and 'Ode to Psyche'."
_IKI,"TIKI.    	A tiki torch is a bamboo torch that's very commonly used in Tiki culture. Tiki culture is a relatively modern invention dating from the 20th century, and is the experience created in Polynesian-style restaurants. The word ""Tiki"" is borrowed from Polynesia."
_YS,"LYS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
EN_W,"ENOW.    	'Enow' is an archaic form of the word ""enough""."
O_ATE,"ORATE.    	Cicero was a very influential senator in Ancient Rome, in part due to his renowned ability to deliver a persuasive speech. His full name was Marcus Tullius Cicero."
_OEWE,"LOEWE.    	Frederick Loewe was a composer best known for his collaborations with the lyricist Alan Jay Lerner, the most famous of which were 'My Fair Lady' and 'Camelot'."
UH_UL,"U-HAUL.    	The U-Haul company was started by married couple Leonard Shoen and Anna Mary Carty in Ridgefield, Washington in 1945. The Shoens used $5,000 of seed money to build trailers in their garage, and then cleverly recruited gas station owners as franchisees with whom they would split the rental revenue. There are now about 15,000 U-Haul dealers across the country."
NO_,"NOS.    	""Veto"" comes directly from Latin and means ""I forbid"". The word was used by tribunes of Ancient Rome to indicate that they opposed measures passed by the Senate."
O_OLE,"O SOLE.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The song's lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
CA_N,"CAP'N.    	The first Cap'n Crunch commercials aired in 1963, at the time the product line was launched. The Cap'n's full name is Captain Horatio Magellan Crunch, would you believe?. Crunch's voice was provided for many years by Daws Butler, the same voice actor who gave us Yogi Bear and Huckleberry Hound."
_AN,"CAN.    	The term ""pink-slip"" can be used as a verb meaning ""to terminate an employee"". No one really seems to know for sure where the term originated, but there are lots of stories."
AN_CIN,"ANACIN.    	Anacin is a pain reliever, with aspirin and caffeine as active ingredients."
J_LT,"JILT.    	To ""jilt"" someone with whom you have a relationship is to drop them suddenly or callously. ""Jilt"" is an obsolete noun that used to mean ""harlot"" or ""loose woman""."
O_AY,"O'DAY.    	Anita O'Day was the stage name of the jazz singer Anita Colton. She chose the name as 'O'Day' is Pig Latin for 'dough', a slang term for 'money'. O'Day had problems with heroin and alcohol addiction leading to erratic behavior, and earning her the nickname 'The Jezebel of Jazz'."
MOTI_,MOTIF.    	A motif is a recurring element in an artistic work or design.
L_ROI,LE ROI.    	'Vive le roi!' is French for 'Long live the king!'
A_T,"ACT.    	'Hamilton' is a 2015 musical based on the life or US Founding Father Alexander Hamilton, as described in the 2004 biography by Ron Chernow. The representations of the main characters is decidedly ground-breaking. The show is rooted in hip-hop and the main roles such as Hamilton, Thomas Jefferson and George Washington are all played by African-American and Hispanic actors."
_AX,"PAX.    	In Latin, the opposite to war (bellum) is peace (pax)."
A_IDS,"ACIDS.    	Litmus is a mixture of naturally-occurring dyes that responds to acidity by changing color. Litmus was probably first used around 1300 by the Spanish alchemist Arnaldus de Villa Nova, who extracted the blue dye from lichens. One suggestion is that the term 'litmus' comes from the Old Norse 'litmose' meaning 'lichen for dyeing'."
ALL_,"ALLA.    	Penne alla vodka is a pasta dish with a sauce made of vodka, cream , tomatoes, onions and sausage or bacon."
EPP_,"EPPS.    	Omar Epps is the actor who played Eric Foreman on the excellent television series ""House"". Prior to playing Dr. Foreman, Epps had a recurring role playing Dr. Dennis Grant on ""ER"". And, in another link to the world of medicine, Epps was born in Savannah, Georgia to single mom, Dr. Bonnie Epps."
FE_,"FEZ.    	""Fez"" is the name given to the red cylindrical hat worn mainly in North Africa, and by Shriners here in the US. The fez used to be a very popular hat across the Ottoman Empire. The etymology of ""fez"" is unclear, although it might have something to do with the Moroccan city named Fez."
RA_AH,RAJAH.    	Raja' (also 'rajah') is word derived from Sanskrit that is used particularly in India for a monarch or princely ruler. The female form is 'rani' (also 'ranee') and is used for a raja's wife.
IL_ER,"ILLER.    	""Ill"" is hip-hop slang, meaning sublime, singularly creative. Not how I use the word ..."
DO_,"DOM.    	Dom Pérignon is the name given to the prestige label of champagne from Moët et Chandon, the French winery. The label's name honors the Benedictine monk, Dom Pérignon, who helped to improve the quality and production of champagne in the early 18th century. Although Dom Pérignon made major contributions to champagne production, many of the stories in which he figures are just myths. He did not ""invent"" champagne, nor sparkling wine in general. Nor did he say the famous words, ""Come quickly, I am drinking the stars!"". That lovely line first appeared in a print advertisement in the late 1800s!"
LY_,"LYS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
GR_G,"GROG.    	Edward Vernon was a naval officer with the nickname ""Old Grog"". In 1740, Vernon ordered that the daily ration of rum for his sailors should be watered down, in order to reduce discipline problems caused by drunkenness. The diluted rum was sweetened with sugar, and lemon or lime added to help preserve it on long voyages. This recipe, found to reduce scurvy among sailors (because of the citrus) spread throughout the Royal Navy, and ""grog"" was born."
O_AMA,"OSAMA.    	Osama bin Laden founded his militant Islamist group called al-Qaeda in the late eighties. 'Al-Qaeda' translates as 'the base', and can refer to a military base, and was originally the name of a training camp set up for mujahideen fighters opposing Russians occupying Afghanistan."
_LISHA,"ELISHA.    	Western Electric was a manufacturer of telecommunications products that was founded in 1869 by Enos Barton and Elisha Gray. Western Electric was the main supplier of equipment to AT&T for over a century, from 1881 to 1996."
SERAP_,"SERAPE.    	""Serape"" is the English pronunciation and spelling of the Spanish word ""zarape"". A zarape is like a Mexican poncho, a soft woolen blanket with a hole in the middle for the head. Most serapes have colorful designs that use traditional Mayan motifs."
P_PE,"PIPE.    	Corncob pipes are made from cobs that have been dried for two years and are then hollowed out into the shape of a bowl. Famous smokers of corncob pipes were General Douglas MacArthur, Mark Twain, Norman Rockwell as well as Popeye and Frosty the Snowman."
OS_LE,"O SOLE.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The song's lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
_AMOAN,"SAMOAN.    	The official name for the South Pacific country formerly known as Western Samoa is the Independent State of Samoa. ""Samoa"" is the western part of the island group, with American Samoa lying to the southeast. The whole group of islands used to be known as Navigators Island, a name given by European explorers in recognition of the seafaring skills of the native Samoans."
ER_OT,"ERGOT.    	Ergot is a fungus, or actually a group of fungi, that cause disease in rye and related plants. If human eat ergot-contaminated grain, a condition called ergotism can result. Ergotism is the result of consumption of alkaloids produced by the fungi, alkaloids that can cause seizures and manic behavior. It has even been suggested that the hysteria exhibited by the Salem ""witches"" was perhaps caused by the ingestion of ergot-contaminated rye."
EAT_E,"EAT ME.    	In Lewis Carroll's ""Alice's Adventures in Wonderland"", Alice follows the white rabbit down a rabbit hole and finds a bottle labelled ""DRINK ME"". When she drinks the contents, it causes her to shrink. She also sees a cake adorned with the words ""EAT ME"", and when she eats the cake she grows so big she finds it hard to stand up. After eating the cake, she utters the famous words, ""Curiouser and curiouser""."
CAESA_,"CAESAR.    	The Caesar Salad was created by restaurateur Caesar Cardini at the Hotel Caesar's in Tijuana, Mexico. The original recipe called for whole lettuce leaves that were to be lifted up by the stem and eaten with the fingers."
HA_H,"HASH.    	""Hash"", meaning a dish of beef and vegetables mashed together, is a very American term and one that really surprised me when I first came across it. ""Hash"" just seems like such an unappetizing item, but I soon found out how delicious it was. The name ""hash"" in this context comes from the French ""hacher"" meaning ""to chop"". Back in the early 1900s the dish called ""hashed browned potatoes"" was developed, which quickly morphed into ""hash browns"". From there the likes of corned beef hash was introduced."
TUD_R,"TUDOR.    	The Wars of the Roses was a series of civil wars fought for the throne of England between the rival Houses of Lancaster and York. Ultimately the Lancastrians emerged victorious after Henry Tudor defeated King Richard III at the Battle of Bosworth Field. Henry was crowned King Henry VII and united the two Houses by marrying his cousin, Elizabeth of York. Henry had a relatively long reign of 23 years that lasted until his death, after which his son succeeded to the throne as Henry VIII, continuing the relatively short-lived Tudor dynasty. He ruled from 1509 until his death in 1547. Henry VIII was the last male to lead the the House of Tudor, as his daughter Queen Elizabeth I died without issue."
B_RAX,"BORAX.    	Borax is also known as sodium borate, and is a salt of boric acid. Borax is a white powder that dissolves easily in water. The compound has many uses, for example as an antifungal agent and an antiseptic. Actor and future US president Ronald Reagan used to tout 20 Mule Team Borax that was used as a laundry product."
ID_,IDS.    	ID (identity document)
M_NTE,"MONTE.    	Three-card Monte is a confidence trick in which someone is goaded into betting money on the assumption that he or she can find the 'money card' (usually a queen) among three cards placed face down. The 'mark' who is being duped has all sorts of ways to lose and there are usually several people in on the scam, including others playing who seem to be winning."
RE_,"REV.    	Martin Luther King, Jr. was only 35 years old when he won the Nobel Peace Prize, making him the youngest person to be so honored. King was given the award for his work to end racial segregation and discrimination using non-violent means. The following year he was awarded the American Liberties Medallion by the American Jewish Community."
MA_TA,"MALTA.    	The island state of Malta is relatively small, but its large number of inhabitants makes it one of the most densely populated countries in Europe. Malta's strategic location has made it a prized possession for the conquering empires of the world. Most recently it was part of the British Empire and was an important fleet headquarters. Malta played a crucial role for the Allies during WWII as it was located very close to the Axis shipping lanes in the Mediterranean. The Siege of Malta lasted from 1940 to 1942, a prolonged attack by the Italians and Germans on the RAF and Royal Navy, and the people of Malta. When the siege was lifted, King George VI awarded the George Cross to the people of Malta collectively in recognition of their heroism and devotion to the Allied cause. The George Cross can still be seen on the Maltese flag, even though Britain granted Malta independence in 1964."
G_OG,"GROG.    	Edward Vernon was a naval officer with the nickname ""Old Grog"". In 1740, Vernon ordered that the daily ration of rum for his sailors should be watered down, in order to reduce discipline problems caused by drunkenness. The diluted rum was sweetened with sugar, and lemon or lime added to help preserve it on long voyages. This recipe, found to reduce scurvy among sailors (because of the citrus) spread throughout the Royal Navy, and ""grog"" was born."
L_EWE,"LOEWE.    	Frederick Loewe was a composer best known for his collaborations with the lyricist Alan Jay Lerner, the most famous of which were 'My Fair Lady' and 'Camelot'."
S_APE,"SNAPE.    	Professor Albus Dumbledore is the headmaster of the school for wizards called Hogwarts, in the Harry Potter universe. The 'Harry Potter' books were written by J. K. Rowling, and she chose the name Dumbledore as it is an Early English word for a bumblebee. Apparently she pictured him wandering around, humming to himself."
CAES_R,"CAESAR.    	Gaius Octavius Thurinus (often called Octavian) was the adopted son of Gaius Julius Caesar. After Julius Caesar was assassinated, Octavian came to power in Rome and teamed up with Mark Antony and Marcus Aemilius Lepidus in what was called the Second Triumvirate. When the triumvirate fell apart, especially after Antony's defeat at Actium, Octavian became more powerful within the Roman Republic. Several years later he wrested sufficient power from the Roman Senate to end the Republic and begin the Roman Empire. As the first Emperor of Rome, Octavian was given the name Caesar Augustus."
DO_AG,"DO-RAG.    	Hip-hoppers might wear do-rags today, but they have been around for centuries. If you recall the famous image of Rosie the Riveter, she was wearing a do-rag. The etymology is pretty evident, a piece of cloth (rag) to hold a hairstyle (do) in place."
O_A,"ON A.    	Jon Bon Jovi was born John Francis Bongiovi, Jr., and he is the leader of the band that took his name, Bon Jovi."
L_LO,"LALO.    	Lalo Schifrin is an Argentine pianist and composer best-known for writing film and television scores. Famously, Schifrin wrote the theme for 'Mission: Impossible', but also for 'The Man from U.N.C.L.E.', 'Mannix' and 'Starsky and Hutch'."
_NCE,"ONCE.    	Laurence Olivier won his only Best Actor Oscar in 1948, for playing the lead in his own screen adaptation of William Shakespeare's 'Hamlet'."
BO_,"BOB.    	Bobbing for apples is a game played on Halloween. Participants must hold their hands behind their backs and grab apples floating in a large basin of water, using only their mouths."
_IMI,"MIMI.    	Mimi Rogers is a favorite actress of mine, although she hasn't really had the starring roles in big movies. Off screen. Rogers is famous for her association with her second husband, Tom Cruise. It was Mimi who introduced Tom to Scientology. Mimi Rogers can also be seen playing a lot of so-called ""celebrity poker"", and she is on the board of directors of the World Poker Tour."
AT_,"ATP.    	Adenosine triphosphate (ATP) is a chemical used in the body to transfer energy for cell-to-cell. One of the main uses of ATP is to shorten muscles, so that they can do work."
SAMO_N,"SAMOAN.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
CA_C,"CALC.    	The Latin word 'calculus' was orignally used for a reckoning or an account, and originally applied to a pebble that was used to maintain a count. The Latin word came from the Greek for a pebble, 'khalix'."
SPEED_,"SPEEDO.    	Speedo brand swimwear was first produced in Australia in 1928, by a hosiery company that wanted to diversify. The brand name was chosen after a slogan competition among employees was won by ""Speed on in your Speedos"". It was a long time ago, I guess ..."
_PARTA,"SPARTA.    	Sparta was a city-state in ancient Greece, famous for her military might. Spartan children had a tough upbringing, and newborn babies were bathed in wine to see if the child was strong enough to survive. Every child was presented to a council of elders that decided if the baby was suitable for rearing. Those children deemed too puny were executed by tossing them into a chasm. We've been using the term 'spartan' to describe something self-disciplined or austere since the 1600s."
SOD_,"SODA.    	An Americano is a rather tasty cocktail made from Campari, sweet vermouth and club soda. The cocktail used to known as the 'Milano-Torino', as Campari comes from Milano (Milan) and Cinzano vermouth comes from Torino (Turin). The origin of the 'Americano' name is disputed. Some say that 'Americano' is in honor of the drink's popularity with Americans visiting Italy in the early 1900s. Others say that the name comes from the Italian 'amaro' meaning 'bitter'."
EG_S,"EGOS.    	Sigmund Freud created a structural model of the human psyche, breaking it into three parts: the id, the ego, and the super-ego. The id is that part of the psyche containing the basic instinctual drives. The ego seeks to please the id by causing realistic behavior that benefits the individual. The super-ego almost has a parental role, contradicting the id by introducing critical thinking and morals to behavioral choices."
_MELT,"SMELT.    	Metals are found in ore in the form of oxides. In order to get pure metal from the ore, the ore is heated and the metal oxides within are reduced (i.e. the oxygen is removed) in the chemical process known as smelting. The oxygen is extracted by adding a source of carbon or carbon monoxide which uses up the excess oxygen atoms to make carbon dioxide, a waste product of smelting (and of course, a greenhouse gas)."
T_YSTS,"TRYSTS.    	In its most general sense, a tryst is a meeting at an agreed time and place. More usually we consider a tryst to be a prearranged meeting between lovers. The term comes from the Old French 'triste', a waiting place designated when hunting."
TR_STS,"TRYSTS.    	In its most general sense, a 'tryst' is a meeting at an agreed time and place. More usually we consider a tryst to be a prearranged meeting between lovers. The term comes from the Old French 'triste', a waiting place designated when hunting."
EG_S,"EGOS.    	""Diva"" comes to us from Latin via Italian. ""Diva"" is the feminine form of ""divus"" meaning ""divine one"". The word is used in Italy to mean ""goddess"" or ""fine lady"", and especially is applied to the prima donna in an opera. We often use the term to describe a singer with a big ego."
G_AF,"GRAF.    	Steffi Graf is a former World No. 1 professional tennis player from Germany. Graf won 22 Grand Slam singles titles, more than any other man or woman other than Margaret Court. She is married to another former World No. 1, namely Andre Agassi."
D_O,DSO.    	The Distinguished Service Order (DSO) is a British military award that is usually presented to officers with the rank of Major or higher.
A_OBE,"ADOBE.    	Adobe Acrobat is the software used to create .pdf files. Most of us are more familiar with the associated application called Adobe Reader, because that's what we use to read those .pdf files."
TE_H,"TESH.    	John Tesh is a pianist and composer, as well as a radio and television presenter. For many years Tesh presented the show ""Entertainment Tonight"". For ""ET"" he once covered the filming of an episode of ""Star Trek: The Next Generation"". As part of the piece, he volunteered to act as a Klingon warrior and so if you see the ""Star Trek: TNG"" episode called ""The Icarus Factor"" in reruns, watch out for John Tesh engaging in ritual torture with Mr. Worf as his victim."
EMM_S,"EMMYS.    	The Emmy Awards are the television equivalent of the Oscars in the world of film, the Grammy Awards in music and the Tony Awards for the stage. Emmy Awards are presented throughout the year, depending on the sector of television being honored. The most famous of these ceremonies are the Primetime Emmy Awards and the Daytime Emmy Awards. The distinctive name of ""Emmy"" is a softened version of the word ""immy"", the nickname given to the video camera tubes found in old television cameras."
GO_,"GOD.    	In Norse mythology, Thor was the son of Odin. Thor wielded a mighty hammer and was the god of thunder, lightning and storms. Our contemporary word 'Thursday' comes from 'Thor's Day'."
C_O,"CHO.    	Margaret Cho is a very successful stand-up comedian, but she is also a fashion designer with her own line of clothing. Cho also acts, and you might have seen her in the John Travolta/Nicholas Cage movie ""Face/Off"" in which she played John Travolta's FBI colleague."
EK_S,"EKES.    	To ""eke out"" means to ""make something go further or last longer"". For example, you could eke out your income by cutting back on expenses. I always have a problem with the commonly cited definition of 'eke out' as 'barely get by'. Close but no cigar, I say ..."
AG_NDA,"AGENDA.    	'Agenda' is a Latin word that translates as 'things to be done', coming from the verb 'agere' meaning 'to do'."
PU_,"PUN.    	'Ludacris' is the stage name of rapper Christopher Bridges from Champaign, Illinois."
PS_LM,"PSALM.    	The Greek word 'psalmoi' originally meant 'songs sung to a harp', and gave us the word 'psalms'. In the Jewish and Western Christian traditions, the Book of Psalms contains 150 individual psalms, divided into five sections."
L_ROI,LE ROI.    	'Vive le roi!' is French for 'Long live the king!'
_ADAL,"NADAL.    	Rafael 'Rafa' Nadal is a Spanish tennis player, noted for his expertise on clay courts, earning him the nickname 'The King of Clay'."
L_AR,"LIAR.    	The Adventures of Pinocchio' is an 1883 children's novel by Carlo Collodi, which is all about an animated puppet called Pinocchio, and Geppetto, his poor woodcarver father. Pinocchio is prone to telling lies, the stress of which causes his short nose to become longer."
PR_SM,"PRISM.    	When light passes through a prism, it is split up ('disperses') into differing wavelengths. It then becomes clear that white light is actually a mixture of different colors, which show up as beautiful spectra."
ZU_U,"ZULU.    	The Anglo-Zulu War of 1879 was fought between British colonial forces and the Zulu kingdom of southern Africa. The war opened with a stunning victory by the Zulu as Isandlwana, but ended with Britain emerging victorious and the Zulu nation losing its independence."
CU_A,CUBA.    	Cuba is the largest island in the Caribbean. The exact etymology of the name 'Cuba' seems a little unclear. Most believe 'Cuba' to be derived from the Taíno terms for 'where fertile land is abundant' (cubao) or 'great place' (coabana).
_BGUN,"BB GUN.    	A BB gun is an air pistol or rifle that shoots birdshot known as BBs. Birdshot comes in a number of different sizes, from size 9 (0.080"" in diameter) to size FF (.23""). 0.180"" diameter birdshot is size BB, which gives the airgun its name."
_REPE,CREPE.    	'Crêpe' is the French word for 'pancake'.
L_GE,"LUGE.    	A luge is a small sled used by one or two people, on which one lies face up and feet first. The luge can be compared to the skeleton, a sled for only one person and on which the rider lies face down and goes down the hill head first."
A_ZE,"ADZE.    	An adze (also adz) is similar to an axe, but is different in that the blade of an adze is set at right angles to the tool's shaft. An axe's blade is set in line with the shaft."
H_LO,"HILO.    	The largest island in the state of Hawaii is named Hawaii, and nicknamed 'the Big Island'. Of the Hawaiian islands that I've had the pleasure to visit, the Big Island is definitely my favorite."
D_O,DSO.    	The Distinguished Service Order (DSO) is a British military award that is usually presented to officers with the rank of Major or higher.
CP_S,CPAS.    	Certified public accountant (CPA)
_DONIS,"ADONIS.    	In Greek mythology, Adonis is a beautiful young god loved by Aphrodite. Adonis dies in a hunting accident (gored by a boar), but not before he gives Aphrodite a child. Adonis was originally a Phoenician god ""absorbed"" into Greek lore (Phoenicia is modern day Lebanon). The child born of Adonis to Aphrodite was called Beroe, after which is named Beirut, the capital city of Lebanon. We also use the term 'adonis' to mean 'beautiful male'."
_MUS,"IMUS.    	Don Imus's syndicated radio show ""Imus in the Morning"" broadcasts from New York City. Imus has been described as a 'shock jock', a disc jockey who deliberately uses provocative language and humor that many would find offensive . I don't like shock jocks ..."
E_EIO,"E-I-E-I-O.    	There was an American version of the English children's song ""Old MacDonald Had a Farm"" (E-I-E-I-O), that was around in the days of WWI. The first line of the US version goes ""Old MacDougal had a farm, in Ohio-i-o""."
_ACMAN,"PAC-MAN.    	The Pac-Man arcade game was first released in Japan in 1980, and is as popular today as it ever was. The game features characters that are maneuvered around the screen to eat up dots and earn points. The name comes from the Japanese folk hero ""Paku"", known for his voracious appetite. The spin-off game called Ms. Pac-Man was released in 1981."
SER_PE,"SERAPE.    	""Serape"" is the English pronunciation and spelling of the Spanish word ""zarape"". A zarape is like a Mexican poncho, a soft woolen blanket with a hole in the middle for the head. Most serapes have colorful designs that use traditional Mayan motifs."
_ADAL,"NADAL.    	Rafael Nadal is a Spanish tennis player who is noted for his expertise on clay courts, earning him the nickname ""The King of Clay""."
AUD_N,"AUDEN.    	The noted poet W. H. Auden was born and raised in England, but eventually became a US citizen. As well as hundreds of poems, Auden also wrote librettos for operas, including Igor Stravinsky's 'The Rake's Progress'."
ALUM_A,"ALUMNA.    	Wellesley is a private women's school located in the town of Wellesley, Massachusetts. Wellesley was founded in 1870 and is one of the original Seven Sisters Colleges."
G_OM,"GLOM.    	'Glom' is a slang term meaning 'steal', although it can also be used to mean 'latch onto' when used as 'glom onto'. The term probably comes from the Scots word 'glam' meaning 'to snatch at'."
OSAM_,"OSAMA.    	Osama bin Laden founded his militant Islamist group called al-Qaeda in the late eighties. 'Al-Qaeda' translates as 'the base', and can refer to a military base, and was originally the name of a training camp set up for mujahideen fighters opposing Russians occupying Afghanistan."
KAR_T,"KARAT.    	A karat (also 'carat', the spelling outside of North America) is a measure of the purity of gold alloys, with 24-karat representing pure gold."
_MIN,"AMIN.    	Idi Amin received most of his military training in the British armed forces, eventually achieving the highest rank possible for a Black African in the British Colonial Army in 1959, that of Warrant Officer. On his return to Uganda Amin joined his country's military and quickly rose to the rank of Deputy Commander of the Army. During that time he was quite the athlete. He was a noted rugby player and swimmer, and for nine years held the Ugandan national light-heavyweight boxing title. By the early seventies, Amin was commander of all the armed forces of Uganda and in 1971 seized power in a military coup, displacing the country's president Milton Obote. There followed seven years of brutal rule by Amin during which it is estimated that between 100,000 and 500,000 people were murdered. Amin was ousted from power in 1979 after a war with Tanzania, and fled to Libya where he stayed for a year. He then moved to Saudi Arabia, where he was financially supported by the Saudi Royal Family for the remainder of his life. Amin died in 2003."
E_OS,"EGOS.    	Sigmund Freud created a structural model of the human psyche, breaking it into three parts: the id, the ego, and the super-ego. The id is that part of the psyche containing the basic instinctual drives. The ego seeks to please the id by causing realistic behavior that benefits the individual. The super-ego almost has a parental role, contradicting the id by introducing critical thinking and morals to behavioral choices."
LOR_A,"LORNA.    	The novel 'Lorna Doone: A Romance of Exmoor' was written by Richard Doddridge Blackmore. R. D. Blackmore was an English novelist, very celebrated and in demand in his day (the late 1800s). His romantic story ""Lorna Doone"" was by no means a personal favorite of his, and yet it is the only one of his works still in print."
"T.N.G_""","T.N.G."".    	Brent Spiner played Lieutenant Commander Data on television's 'Star Trek: The Next Generation'."
HE_RI,"HENRI.    	Henri Matisse was a French artist renowned for his contribution to modern art. In his early career, Matisse was classed as a ""fauve"", one of the group of artists known as the ""wild beasts"" who emphasized strong color over realism in their works. He was a lifelong friend of Pablo Picasso, and the two were considered to be good-natured rivals so their works are often compared. One major difference between their individual portfolios is that Picasso tended to paint from his imagination, whereas Matisse tended to use nature as his inspiration."
T_BLE,"TABLE.    	These ""tabling"" and ""shelving"" idioms drive me crazy, because they are often misused. If a topic is shelved, it is set aside. If a topic is tabled, it is brought ""off the shelf"" and put 'on the table' for discussion. But, maybe it's just me ..."
_TEL,"K-TEL.    	K-Tel was founded in 1962 in Winnipeg, Manitoba by one Philip Kives. K-Tel's recipe for success was the sale of inexpensive goods with a simple sales pitch and mail-order distribution."
_TIP,"Q-TIP.    	Cotton swabs were originally marketed under the name ""Baby Gays"", but this was changed in 1926 to ""Q-Tips"", with the Q standing for ""quality""."
AC_,ACA.    	The correct name for what has been dubbed 'Obamacare' is the 'Patient Protection and Affordable Care Act' (ACA).
P_ISM,PRISM.    	Pink Floyd were an English rock band founded in 1965. The band's most famous albums are probably 'The Dark Side of the Moon' and 'The Wall'.
ARI_,"ARIL.    	The casing surrounding many seeds is called the aril, and it may be quite fleshy. This fruit-like characteristic makes it desirable as a food and aids in the dispersion of the seeds."
P_EAN,"PAEAN.    	A paean is a poem or song that expresses triumph or thanksgiving. 'Paean' comes from the ancient Greek 'paian' meaning ""song of triumph'."
_ADES,"HADES.    	Cerberus is a dog with three heads that appears in both Greek and Roman mythology. Cerberus had the job of guarding the gates of Hades and preventing those who had crossed the River Styx from ever escaping. A sop is a piece of food that has been dipped in some liquid, as one might sop a piece of bread in soup. There is an idiomatic expression, ""to give a sop to Cerberus"", which means to give someone a bribe, or pay someone off. The idea is that if one could bribe Cerberus, give him a sop to eat, then he would let you pass and escape from Hades."
_AIR,NAIR.    	Nair is a hair removal product that has some pretty harsh ingredients. The most important active constituents are calcium hydroxide ('slake lime') and sodium hydroxide ('caustic soda'). Other Nair components seem to be there to soothe the skin after the harsher chemicals have done their job. The name 'Nair' probably comes from combining 'no' and 'hair'.
L_GE,"LUGE.    	A luge is a small sled used by one or two people, on which one lies face up and feet first. The luge can be compared to the skeleton, a sled for only one person and on which the rider lies face down and goes down the hill head-first. Yikes!"
ANNA_,"ANNAL.    	'Annal' is a rarely used word, the singular of the more common 'annals'. An annal would be the recorded events of one year, with annals being the chronological record of events in successive years. The term 'annal' comes from the Latin 'annus' meaning 'year'."
K_NE,KANE.    	The DC Comics superhero Batman was created in 1939 by Bob Kane and Bill Finger.
X_XO,"XOXO.    	In the sequence XOX, the X represents a kiss and the O a hug. Hugs and kisses ..."
EA_ES,"EAMES.    	Charles and Ray Eames were a husband-wife team of furniture designers. One of the more famous of their designs is the Eames lounge chair that comes with an ottoman. This trendy piece of furniture featured in a late episode of the television show 'Frasier'. In the show, Frasier's Dad remarks that the Eames chair is so comfortable that he might have gotten rid of his tatty old recliner a long time ago."
H_S,"HOS.    	Saint Nicholas of Myra is the inspiration for Santa Claus. Nicholas was the Bishop of Myra (now in modern-day Turkey) during the 4th century AD, and was known for being generous to the poor. Centuries after he died, his remains were desecrated by Italian sailors and moved to Bari in Italy. One legend has it that the relics were moved again centuries later and reburied in the grounds of Jerpoint Abbey in Co. Kilkenny in Ireland, where you can visit the grave today. I choose to believe that Santa Claus's relics are indeed buried in Ireland ..."
O_IOS,"OLIOS.    	Olio is a term meaning a hodgepodge or a mixture, coming from the mixed stew of the same name. The stew in turn takes its name from the Spanish ""olla"", the clay pot used for cooking."
BIDE_,"BIDET.    	""Bidet"" is a French word that we imported into English. In French, the word ""bidet"" originally described a small horse or a pony. What we know as a bidet was so called because one can straddle it like a horse in order to use it."
BAR_,BART.    	Bart Simpson is the main character in television's 'The Simpsons'. Bart's name was chosen by the writers as it is an anagram of 'brat'. Bart is voiced by actress and comedian Nancy Cartwright.
