SCAM_I,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
JEE_,"JEER.    	Not so much here in America, but over in the British Isles ""blowing a raspberry"" is a way of insulting someone (I think it's called ""a Bronx cheer"" here in the US)."
A_AHI,"ASAHI.    	Asahi is Japanese for ""morning sun"". The usage here is as a brand name of beer. Asahi introduced a ""dry beer"" in 1987, igniting a craze that has rocketed Asahi to the number one ranking beer producer in Japan, with Sapporo now number two."
ABE_S,"ABETS.    	Cleverly worded clue ... someone who helps out in a ""stick up"", a crime, is said to ""abet""."
KOL_,"KOLN.    	Cologne is the fourth largest city in Germany, and is called 'Koln' in German."
ENO_H,"ENOCH.    	Enoch was the son of Cain, according to the Bible. After Cain was condemned to wander the earth after killing his brother, he was eventually forgiven and allowed to build a city. Cain named the city Enoch, after his son."
O_ER,OPER.    	The 'operator' key is right under the 8-key on the keypad of a telephone.
_ITAN,"TITAN.    	The Titans were a group of twelve older deities in Greek mythology, the twelve children of the primordial Gaia and Uranus, Mother Earth and Father Sky. In the celebrated Battle of the Titans, they were overthrown by the Olympians, who were twelve younger gods. We use the term 'titan' figuratively to describe a powerful person, someone with great influence."
NER_S,"NERDS.    	Dweeb, squarepants, nerd, they're all not-nice terms that mean the same thing: someone excessively studious and socially inept."
T_TRA,"TETRA.    	The neon tetra is a freshwater fish, native to parts of South America. The tetra is a very popular aquarium fish and millions are imported into the US every year. Almost all of the imported tetras are farm-raised in Asia and very few come from their native continent."
GE_IE,"GENIE.    	The ""genie"" in the bottle takes his or her name from ""djinn"". ""Djinns"" were various spirits considered lesser than angels, and people who exhibit unsavory characteristics could be said to be possessed by djinn. When the book ""The Thousand and One Nights"" was translated into French, the word ""djinn"" was transformed into the existing word ""génie"", because of the similarity in sound and the related spiritual meaning. This ""génie"" from the Arabian tale became confused with the Latin-derived ""genie"". The Latin ""genius"" was a guardian spirit thought to be assigned to each person at birth. Purely as a result of that translation the word genie has come to mean the ""djinn"" that pops out of the bottle. A little hard to follow, I know, but still quite interesting ..."
T_Y,TOY.    	One of my favorite toys as a child was my Spirograph. A Spirograph is a geometric drawing device that uses cogs and gears with holes for pens and pencils. Movement of gears in combinations produces lovely geometric patterns on paper.
_RF,"ARF.    	Chihuahua is a state in northern Mexico, sharing a border with Texas and New Mexico. It is the largest state in the country, so has the nickname ""El Estado Grande"". The state takes its name from the Chihuahuan Desert which lies largely within its borders. And of course the Chihuahua breed of dog takes its name from the state."
_TUS,"BTUS.    	In the world of Heating, Ventilation and Air Conditioning, the power of a heating or cooling unit can be measured in British Thermal Units. This dated unit of energy is basically the amount of energy required to heat a pound of water so that the water's temperature increases by one degree Fahrenheit."
KIW_,"KIWI.    	Unlike many nicknames for people of a particular country, the name ""Kiwi"" for a New Zealander isn't offensive at all. The term comes from the flightless bird called the kiwi, which is endemic to New Zealand and is the country's national symbol. ""Kiwi"" is a Maori word, and the plural (when referring to the bird) is simply ""kiwi"". However, when you have two or more New Zealanders with you, they are Kiwis (note the ""s"", and indeed the capital ""K""!)."
DI_,"DIN.    	The word 'ruckus' is used to mean a commotion, and has been around since the late 1800s. ""Ruckus"" is possibly a melding of the words 'ruction' and 'rumpus'."
ACT_R,"ACTOR.    	Astin might refer to Sean Astin, or perhaps John Astin. And the Martin could be one of dozens of actors with that family name."
ITALI_,"ITALIA.    	The deli meat known as ""boloney"" is an American invention. It was given the name ""boloney"" because it resembles Italian mortadella sausage, which originated in the city of Bologna in northern Italy."
A_ETS,"ABETS.    	The word ""abet"" comes into English from the Old French ""abeter"" meaning ""to bait"" or ""to harass with dogs"" (it literally means ""to make bite""). This sense of encouraging something bad to happen morphed into our modern usage of ""abet"" meaning to aid or encourage someone in a crime."
ACO_,"A COW.    	The phrase ""don't have a cow"" originated in the fifties, a variation of the older ""don't have kittens"". The concept behind the phrase is that one shouldn't get worked up, it's not like one is giving birth to a cow."
AL_IE,"ALFIE.    	There have two versions of the movie ""Alfie"" now. The original, and for my money the best, was made in 1966 with Michael Caine. The remake came out in 2004, and starred Jude Law in the title role. The theme song was performed by Cher in the 1966 movie. However, it was Dionne Warwick's cover version from 1967 that was the most successful in the charts."
HOT_L,"HOTEL.    	To avoid having a 13th floor, usually the number 13 is skipped, and the 14th floor sits on top of the 12th. But also it can be renamed, to say 12A, or the letter M (the 13th letter of the alphabet). The Radisson Hotel in Manitoba has a pool on the 13th floor, and designates it the Pool Floor."
CS_,CST.    	Chicago (Chi) spends much of the year on Central Standard Time (CST).
_OUE,"MOUE.    	Moue comes from French, and it means a small grimace, or a pout."
_HAM,"SHAM.    	A sham is something that is imitation, fake. In the world of bed linens, a sham is also imitation and fake, in the sense that it is a decorative cover designed to cover up a regular pillow used for sleeping."
TE_SA,"TESSA.    	""The Constant Gardener"" is a 2001 novel by John le Carré (author of ""The Spy Who Came in from the Cold""). The story is about a British diplomat called Justin Quayle who investigates the murder of his wife, Tessa. Le Carré's traditional Cold War setting is replaced by the world of corporate cover-ups."
CAR_B,"CAROB.    	The carob is a tree or shrub in the pea family, mainly grown for its seed pods. The carob seeds are dried or roasted, and when powdered or chipped make a good substitute for chocolate."
_LDO,"ALDO.    	Gucci was founded in Rome in 1921, by Guccio Gucci. Guccio's son, Aldo Gucci, took over the company after his father's death in 1953. It was Aldo that established the international presence for the brand, opening the company's first overseas store in New York City."
_IAS,"RIAS.    	A drowned valley might be called a ria or a fjord. Both are formed when the sea level raised and flooded the valley. A ria can be confused with a fjord, but the difference is that a ria is a drowned valley created by river erosion, and a fjord is a drowned valley created by glaciation."
R_VE,RAVE.    	A rave review from a critic might include a four-star rating.
_HU,"THU.    	In Norse mythology, Thor was the son of Odin. Thor wielded a mighty hammer and was the god of thunder, lightning and storms. Our contemporary word 'Thursday' comes from 'Thor's Day'."
G_ST,"GEST.    	Our word ""gest"", meaning a great deed or an exploit, has been around since about 1300 and comes from the Old French word ""geste"" meaning the same thing. These days ""geste"" can also mean ""gesture""."
GIN_,GINA.    	Gina Gershon is an American actress. Gershon has played a lesbian on screen a number of times and has become somewhat of a gay icon.
CAR_B,"CAROB.    	The carob is a tree or shrub, in the pea family. It is mainly grown for its seed pods. The carob seeds are dried or roasted, and when powdered or chipped make a good substitute for chocolate."
D_S,"DJS.    	Supposedly, the world's first radio disk jockey was one Ray Newby of Stockton, California in 1909 would you believe? When he was 16 years old and a student, he started to play his records on a primitive radio located in the Herrold College of Engineering and Wireless in San Jose. The records played back then were mostly recordings of Enrico Caruso."
W_A,WBA.    	World Boxing Association (WBA)
S_IR,"STIR.    	""Brouhaha"" was a French word that back in the 1550s meant ""the cry of the devil disguised as clergy"" . Wow ..."
_OUPE,LOUPE.    	A loupe is a little magnifying lens that is held in the hand. 'Loupe' is the French name for such a device.
ENOC_,"ENOCH.    	Enoch was the great-grandfather of Noah, and the great-grandson of Adam."
LE_T,LETT.    	Latvia is one of the former Soviet Socialist Republics. People from Latvia are called Letts.
UD_N,"UDON.    	Udon noodles are made from wheat-flour, very popular in Japanese cuisine like tempura."
B_OB,BYOB.    	Bring Your Own Beer/Bottle/Booze (BYOB).
KASE_,"KASEM.    	Not only is Casey Kasem so closely associated with the radio show ""American Top 40"", but he is also well known for playing the voice of Shaggy Rogers on the ""Scooby-Doo"" animated series."
CIN_,"CINQ.    	In French, four (quatre) and one (un) adds up to five (cinq)."
T_Y,THY.    	Know thy enemy' is a saying from Sun Tzu's 'The Art of War'.
SPE_,"SPEE.    	Maximilian Graf von Spee was actually born in Denmark, but of a noble German family. By the time WWI started, Spee had risen to the rank of Rear Admiral in the German Navy. He was killed in the Battle of the Falkland Islands (the original 1914 version!). Of course he gave his name to the powerful pocket battleship, the Admiral Graf Spee, which was damaged in the Battle of the River Plate during WWII. The Graf Spee took refuge in the neutral port of Montevideo and when the boat was expelled by the government of Uruguay, the captain scuttled her rather than face the Allied flotilla waiting for her just outside the port."
_ETE,"BETE.    	""Bête noire"" translates from French as ""the black beast"" and is used in English for something or someone that is disliked."
_ITT,"RITT.    	Martin Ritt is best remembered as a television and movie director. During the bad old days of the ""Red Scare"", Ritt was working in television until he found himself on a blacklist for supposed support of Communist causes. He turned to the theater for work until the Red Scare had run its course, and then moved into the world of film. Some of his best known movies are 'Hud', ""The Great White Hope"" and ""Norma Rae""."
L_EDS,"LEEDS.    	I went to school not far from Leeds, in West Yorkshire in the north of England. Prior to the Industrial Revolution, Leeds was a major center for the production and trading of wool, and then with mechanization, it became a natural hub for manufacture of textiles."
_IAS,"RIAS.    	A drowned valley might be called a ria or a fjord, both formed as sea level raises. A ria is a drowned valley created by river erosion, and a fjord is a drowned valley created by glaciation."
DEFO_,"DEFOE.    	""Moll Flanders"" is a novel written by Daniel Defoe in 1722, three years after he achieved fame with ""Robinson Crusoe"". The full title gives a lot of insight into the storyline:"
RA_DD,R AND D.    	Research and Development (R&D)
_OY,TOY.    	I do love some quirky wording in a clue!
PA_AU,"PALAU.    	Palau is a tiny island nation lying 500 miles east of the Philippines, and 2,000 mile south of Japan. Palau was once a Spanish possession, and was sold by Spain to Germany in the late 19th century. During WWI, Japan invaded the islands (as Japan had declared war on Germany during WWI) and was awarded the islands as a territory by the League of Nations at the end of hostilities. In WWII the US took Palau from the Japanese in a bloody battle in 1944. Palau emerged from American administration in 1994, and is now a sovereign state."
C_HN,"COHN.    	Roy Cohn was a prominent assistant and associate to Senator Joseph McCarthy in the days when McCarthy was famously investigating Communist activities in the US. Prior to his work with Senator McCarthy, Cohn was a central figure on the prosecuting team in the 1951 espionage trial of Julius and Ethel Rosenberg."
K_B,KGB.    	The Komitet gosudarstvennoy bezopasnosti (KGB) was the national security agency of the Soviet Union until 1991. The KGB was dissolved at that time after the agency's chairman led a failed attempt at a coup d'état designed to depose President Mikhail Gorbachev.
PAO_O,"PAOLO.    	Film director Pier Paolo Pasolini was another celebrity who met with a violent death. He was found dead on a beach near Rome in 1975, after heaving been run over several times by his own car. The crime was never solved."
LO_E,LOGE.    	In most theaters today the loge is the name given to the front rows of a mezzanine level. It can also be the name given to box seating.
ACO_,"A COW.    	The phrase ""don't have a cow"" originated in the fifties, a variation of the older ""don't have kittens"". The concept behind the phrase is that one shouldn't get worked up, it's not like one is giving birth to a cow."
ME_RA,"MEARA.    	Anne Meara has been married to fellow comedic actor Jerry Stiller since 1954. Anne and Jerry are the parents of actors Ben and Amy Stiller. Meara co-starred with Carroll O'Connor and Martin Balsam in the eighties sitcom ""Archie Bunker's Place"", a spinoff from ""All in the Family""."
MC_EE,"MCGEE.    	Willie McGee is a retired professional league baseball player, who spent most of his career with the St. Louis Cardinals."
KAP_T,"KAPUT.    	'Kaput', meaning completely incapacitated, comes to us from French (via German). The word derives from ""capot"" a term meaning ""not having won a single trick"" in the French card game called Piquet."
_BOU,"ABOU.    	Abou Ben Adhem, also known as Ibrahim Bin Adham, was an Arab Muslim saint. He was made famous in the western world with the publication in 1838 of the poem ""Abou Ben Adhem"" by James Henry Leigh Hunt, the English poet."
E_LERY,"ELLERY.    	The Ellery Queen series of detective novels was somewhat unique in that Ellery Queen was the hero of the tales, and was also the pen name of the author. Actually, the 'author' was a pair of writers; two cousins from Brooklyn, New York."
_IP,DIP.    	Tostitos are a brand of tortilla chips. If you're a vegetarian though you might want to leave them on the supermarket shelf as Frito-Lay uses pork enzymes to 'enhance' flavor.
MO_S,MOCS.    	The moccasin is a traditional form of footwear worn by many Native American tribes.
A_ERB,"ACERB.    	Acerb is a variant of acerbic: sour or bitter tasting, acidic, similar to astringent."
T_KE,"TYKE.    	""Tyke"" has been used playfully to describe a young child since at least 1902, but for centuries before that a tyke was a cur or mongrel, or perhaps a lazy or lower-class man."
EF_LE,"E-FILE.    	E-file, that's what I do with my tax returns each year. I saved myself a fortune by saying a polite ""goodbye"" to my tax account five years ago and trusting Turbotax instead."
E_EVE,"ELEVE.    	French for school is 'école', and French for pupil is 'élève'."
A_WT,"AT WT.    	The Atomic Weight of an element is the mass of one atom of the element, relative to the mass of an atom of carbon (which is assumed to have an atomic weight of 12)."
E_SOR,"ENSOR.    	James Ensor was a Belgian painter who lived in Ostend for most of his life. His charming 1880 painting ""The Lamp Lighter"" also goes by the name ""The Lamp Boy""."
HOR_,HORN.    	53. Sound made by a 48-Down : BEEP
LA_E,"LANE.    	When in their teens, Paul McCartney and John Lennon would often head into the center of Liverpool together on the bus. The convenient place for them to meet was at the end of Penny Lane. Years later, Paul McCartney wrote the song 'Penny Lane', which was a big hit in 1967. 'Penny Lane' was released as a double A-side record with ""Strawberry Fields Forever"" penned by John Lennon. Coincidentally, Strawberry Field was also a real location, not far from Penny Lane in Liverpool. Strawberry Field was a Salvation Army Children's Home in the garden of which Lennon would play as a child. I don't think Lennon and McCartney ever really forgot their roots ..."
ADROI_,"ADROIT.    	The French for ""to the right"" is ""à droit"", from which we get our word ""adroit"". The original meaning of ""adroit"" was ""rightly, properly"", but it has come to mean dexterous and skillful."
HA_DEL,"HANDEL.    	""Ezio"" is an opera by George Frideric Handel, first performed in 1732 in London."
I_CAS,"INCAS.    	The Inca people emerged as a tribe around the 12th century, in what is today southern Peru. The Incas developed a vast empire over the next 300 years, extending along most of the western side of South America. The Empire of course fell to the Spanish, finally dissolving in 1572 with the execution of Tupac Amaru, the last Incan Emperor."
_ARVA,"LARVA.    	The larva is an intermediate stage in the development of an insect. All four stages are embryo, larva, pupa and imago."
M_CAW,"MACAW.    	Macaws are beautifully colored birds of native to Central and South America, and are actually a type of parrot. Most species of macaw are now endangered, with several having become extinct in recent decades. The main threats are deforestation and illegal trapping and trafficking of exotic birds."
_EGIS,"REGIS.    	Regis Philbin is an amazingly popular television personality. He is so in demand, and has had such a long career, that he holds the Guinness World Record for the most time spent in front of a television camera (in excess of 16,000 hours)."
_REVI,"TREVI.    	The Trevi Fountain is a huge fountain in Rome, the largest constructed in the Baroque style. The tradition is that if one throws a coin in the fountain, one is guaranteed a return visit to the city one day. Tourists throw in an amazing 3,000 euros (over $4,000) every day. The money is collected and is used to stock a supermarket for the needy of the city."
BO_,"BON.    	Bon mot translates from French as ""good word"", and we use it to mean a quip, a witticism."
ENTE_TE,"ENTENTE.    	'Entente' is a French word meaning ""understanding""."
_OBEL,"NOBEL.    	The Peace Prize is one of five prizes bequeathed by Alfred Nobel. The others are for Physics, Chemistry, Physiology or Medicine and Literature. There is also Nobel Prize in Economics, awarded along with the original five, but is funded separately, and is awarded ""in memory of Alfred Nobel"". Four of the prizes are awarded by Swedish organizations (Alfred Nobel was a Swede) and so the award ceremonies take place in Stockholm. The Peace Prize is awarded by the Norwegian Nobel Committee, and that award is presented in Oslo."
_YD,"CYD.    	Actress Cyd Charisse was famous for her dancing ability and the many roles she played opposite Fred Astaire and Gene Kelly. Charisse carved out a career based on dance despite the fact that she suffered from polio as a child. In fact, she took up ballet at the age of twelve to help build up her strength as she recovered from the disease."
RHI_E,"RHINE.    	The river running through Germany that we know in English as the Rhine, is called 'Rhein' in German."
L_SE,"LASE.    	The term 'laser' comes from an acronym, 'Light Amplification by Stimulated Emission of Radiation' (LASER). It has been pointed out that a more precise name for laser technology is 'Light Oscillation by Stimulated Emission of Radiation', but the resulting acronym isn't quite so appealing, namely LOSER ..."
_EC,"EEC.    	The European Economic Community (also called ""the Common Market"") was a NAFTA-like structure that was eventually absorbed into today's European Union."
SCAMP_,SCAMPI.    	The Italian dish known as 'scampi' is a serving of shrimp in garlic butter and dry white wine.
AI_,"AID.    	Aid and comfort (to the enemy, for example)."
SA_NA,"SAUNA.    	As my Finnish-American wife will tell you, ""sauna"" is a Finnish word, and is correctly pronounced ""sow-nah"" (with ""sow"" as in the female pig)."
NE_ES,"NENES.    	""Nene"" is the Spanish word for a male baby or young child."
CS_,"CST.    	New Orleans, like the whole of the state of Louisiana, is in the Central Time Zone."
D_JA,"DEJA.    	Yogi Berra is regarded by many as the greatest catcher ever to play in Major League Baseball, and has to be America's most celebrated ""author"" of malapropisms. Here are some greats:"
P_NE,"PANE.    	Plexiglas (note the spelling, one ""s"") is a trademark owned by Rohm and Haas since 1933. Plexiglas is a transparent plastic that is used as a light, relatively safe alternative to glass as it is shatter-resistant."
NENE_,"NENES.    	The Yucatán is one of Mexico's 31 states, and is located in the east of the country, on the northern tip of the Yucatán peninsula."
S_UNA,"SAUNA.    	As my Finnish-American wife will tell you, ""sauna"" is a Finnish word, and is correctly pronounced ""sow-nah"" (with ""sow"" as in the female pig)."
CSP_N,"C-SPAN.    	C-SPAN is a privately funded, non-profit cable channel that broadcasts continuous coverage of government proceedings."
ADID_S,"ADIDAS.    	The brand name ""Adidas"" dates back to when Adolf ""Adi"" Dassler started making his own sports shoes in his mother's laundry room in Bavaria after returning from WWI. With his brother, Adi founded Dassler shoes. The companies big break came in 1936 at the Berlin Olympics when Adi persuaded American sprinter Jesse Owens to use his shoes, and with the success of Jesse Owens came success for the fledgling shoe company. After WWII the brothers split, acrimoniously. Adi's brother, Ru-dolf Da-ssler, formed ""Ruda"" shoes (later to become Puma), and Adi Das-sler formed ""Adidas""."
KA_,"KAL.    	Indian-American actor Kal Penn made a name for himself in the ""Harold & Kumar"" series of comedy films. These so called ""stoner comedies"" are not my cup of tea, but I dis enjoy watching Penn play his more mainstream roles on TV's ""House"" and ""24"". He left the world of acting when President Obama won the 2008 election and now works as an Associate Director in the White House Office of Public Engagement (although he did leave the White House briefly to film the ""Harold & Kumar"" sequel)."
MAOR_S,"MAORIS.    	Moas were flightless birds native to New Zealand that are now extinct. The fate of the Moa is a great example of the detrimental effect that humans can have on animal populations. The Maoris arrived in New Zealand about 1300 AD, upsetting the balance of the ecosystem. The Moa were hunted to extinction within 200 years, which had the knock-on effect of killing off the Haast's Eagle, the Moa's only predator prior to the arrival of man."
T_S,"TVS.    	Thermionic tube is another name for a vacuum tube, something we used to come across in old radios and televisions (giving us 'tube' as the slang term for a TV). The tube consists of two electrodes (an anode and cathode) encased in a vacuum in a sealed glass tube. The anode can be heated, just like a light-bulb, and will give off electrons, and so is said to be thermionic."
AR_EL,ARPEL.    	The Adrien Arpel cosmetic company was founded in 1962 and sold its products across Europe. The company started selling in the US in 1968.
_MT,AMT.    	Amount (amt.)
A_TE,"ACTE.    	Acte' is the French word for 'act', another surprise ..."
L_SE,LASE.    	Lase: to use a laser.
U_C,"USC.    	The University of Southern California (USC) is a private school in Los Angeles. Apart from its excellent academic record, USC is known the success of its athletic program. USC athletes have won more Olympic medals than the students of any other university in the world. The USC marching band is very famous as well, and is known as the 'Spirit of Troy'. The band has performed with many celebrities, and is the only college band to have two platinum records."
LI_O,"LILO.    	""Lilo & Stitch"" was released by Disney in 2002. Compared to other Disney feature-length cartoons, ""Lilo & Stitch"" was relatively cheaply produced, using the voices of lesser known actors. One interesting change had to take place in the storyline during production, when Lilo was meant to fly a Jumbo Jet through downtown Honolulu in one sequence. This was replaced with a sequence using a spaceship instead, as the producers were sensitive to public sentiment after the September 11 attacks."
STA_,"STAX.    	Booker T. & the M.G.'s were in effect the house band at Stax Records, and so appeared on loads of famous recordings, including some by Wilson Pickett and Otis Redding. As such, they became synonymous with what became known as the Stax Sound. One of the unique things about the band was that it was racially integrated, with two white guys making a name for themselves in soul music, which at the time was very much part of black culture. And of course, they produced the fabulous 1962 hit 'Green Onions'."
_OWAN,IOWAN.    	The Skunk River in Iowa is a tributary of the Mississippi. I guess it's named after a skunk ...
S_STINE,"SISTINE.    	The 'Sistine Madonna' is a painting created by the Italian artist Raphael in 1513-1514. The work was commissioned by the Benedictine monks of the Monastery of San Sisto in northern Italy, hence the painting's name."
MO_EL,"MOREL.    	The morel is that genus of mushroom with the honeycomb-like structure on the cap. They're highly prized, especially in French cuisine. Morels should never be eaten raw as they are toxic, with the toxins being removed by thorough cooking."
RICO_,RICOH.    	Ricoh is a Japanese company that started out in 1936 and by the year 2000 was the biggest manufacturer of copiers in the world. The company is also well known as a supplier of cameras. The most successful of Ricoh's lines of cameras is the compact model called a Caplio.
_STH,"ESTH.    	Esther was a Jewish queen, wife of the Persian king Ahasuerus, and the heroine of the Book of Esther in the Bible. By the way, Esther is the only book in the Bible that doesn&#8217;t mention ""God""."
B_N,"BON.    	Bon appetit, enjoy your meal in French. The Germans say the exact same thing, only in German ... Guten Appetit. Just thought you'd like to know ..."
B_AD,"BRAD.    	'Brad' is a name given to the brass fastener that is used to hold sheets of paper together. The brad is used by inserting it through holes punched in the paper, and then spreading out the two legs of the fastener."
PRO_,"PROM.    	A prom is a formal dance held upon graduation from high school (we call them ""formals"" over in Ireland). The term ""prom"" is short for ""promenade"", the name given to a type of dance or ball."
MADME_,"MAD MEN.    	If you haven't seen the AMC show ""Mad Men"" then I urge you to go buy the first season on DVD and allow yourself to get addicted. It is a great series set in the sixties, telling all that goes on in and around the advertising business on Madison Avenue in New York City. It brings you right back to the days of three-martini lunches, office affairs, and chain-smoking of cigarettes. Great stuff ..."
GA_L,"GAEL.    	Iona College is a Roman Catholic school run by Christian Brothers in New Rochelle, New York."
_ST,CST.    	Central Standard Time.
L_CE,"LACE.    	There was a draper in London in the seventeenth century called Doiley, and he gave his name to fabric that he sold, which in turn gave its name to the ornamental mats we call doilies. I can't stand them!"
RO_S,ROIS.    	There was a line of kings (rois) in France.
O_ER,"OPER.    	The operator button is the zero on the phone, which lies between the * and the # keys."
ERT_S,"ERTES.    	Erté was the pseudonym of French artist (Russian born) Romain de Tirtoff. Erté is the French pronunciation of his initials ""R.T."""
AI_T,AIN'T.    	Is You Is or Is You Ain't My Baby' is a song released in 1944 by Louis Jordan.
_ERC,"MERC.    	The Chicago Mercantile Exchange started its life as the Chicago Butter and Egg Board in 1898. The Merc is the site for exchange of commodities, among other things."
ATTL_E,"ATTLEE.    	Clement Attlee served as leader of Britain's Labour Party and as Deputy Prime Minister in the coalition government during the war years under the leadership of Winston Churchill, a Conservative. Attlee swept into power right after WWII in a landslide victory over Churchill and was responsible for major changes not only in Britain but around the waning British Empire. It was under Attlee that former British colonies like India, Pakistan, Burma, Sri Lanka and Jordan became independent. Also, the Palestine Mandate was terminated in 1948, while he was in office, with the state of Israel being declared the very next day."
S_M,SWM.    	Single white male (SWM)
PB_,PBA.    	PBA: the Professional Bowlers Association.
OVA_,"OVAL.    	Cameo is a method of carving, often the carving of a gemstone or a piece of jewelry. The resulting image is in relief (sits proud of the background), whereas an engraved image would be produced by the similar carving method known as intaglio. Nowadays, the term cameo is used for any piece of oval-shaped jewelry that contains the image of a person's head, usually in profile (maybe even a photograph)."
YU_I,"YURI.    	""Doctor Zhivago"" is of course the epic novel by Boris Pasternak, first published in 1957. I haven't tried to read it, but the 1965 film version is a must see, directed by David Lean and starring Omar Sharif in the title role. The story centers on Yuri Zhivago, a doctor and poet, and how he is affected by the Russian Revolution and the Russian Civil War."
O_EIL,"O'NEIL.    	Buck O'Neil was a first baseman and manager with the Kansas City Monarchs, a team in the Negro American League."
OLIV_,"OLIVE.    	All of the other reindeer' is a lyric from the song 'Rudolph the Red-Nosed Reindeer'. Apparently the line is sometimes misheard as 'Olive, the other reindeer'. The song 'Rudolph the Red-Nosed Reindeer' was written by Johnny Marks, and was based on the story created by Marks' brother-in-law, Robert L. May."
KI_,"KIM.    	Kim Clijsters is a retired professional tennis player from Belgium who was one point ranked number one in women's tennis. Kim's younger sister Elke was also a professional tennis player, and her father Leo was a Belgian footballer player. A competitive family, I would guess ..."
_OCCE,"BOCCE.    	The Italian bowling game of 'bocce' (anglicized as 'bocci') is based on a game played in Ancient Rome. 'Bocce' is the plural of the Italian word ""boccia"" meaning ""bowl""."
SA_S,"SATS.    	Today the standardized test for admission to colleges is known as the SAT Reasoning Test, but it used to be called the Scholastic Aptitude Test and Scholastic Assessment Test, which led to the acronym SAT."
NO_,"NOL.    	Lon Nol was a soldier and politician in Cambodia, later serving twice as the country's president. When the Khmer Rouge took over Cambodia in 1975, Nol escaped the country to Indonesia. He eventually found a home in Fullerton, California, where he died in 1985."
E_AM,"ELAM.    	Jack Elam was a movie actor noted for playing the bad guy in Westerns. When Elam was a boy scout, he was accidentally stabbed in the eye with a pencil. The incident left him blind in that eye, and the iris remained skewed to the outside of his face. This gave him a crazed, wide-eyed look that helped add a sense of menace to the characters Elam played."
RIA_,"RIAS.    	A ria is actually a drowned river valley. It is formed where the sea level has raised, and the sea has flooded a valley. As a result, a ria can be confused with a fjord. A fjord is also a drowned valley, but that valley was originally formed by glaciation and not by river erosion."
B_RAK,"BARAK.    	Ehud Barak served as Prime Minister of Israel from 1999 to 2001. He left office after he called a special election for Prime Minister and lost the vote to Ariel Sharon. He resigned from the Knesset and took an advisory job with the US company Electronic Data Systems (EDS), and did some security related work with a private equity company. In 2007, Barak took over leadership of Israel's Labor Party, and is now the country's Minister of Defense."
AO_T,"AOUT.    	Août is the French for August, and juillet is French for July (note that the name of months aren't capitalized in French)."
YE_TS,"YEATS.    	American novelist Cormac McCarthy published the novel ""No Country for Old Men"" in 2005, and saw it adapted into a very successful film of the same name released in 2007. The title comes from the opening line of the William Butler Yeats poem ""Sailing to Byzantium"", which we Irish schoolkids all had to read and learn to recite ..."
_WE,"SWE.    	The country of Sweden emerged during the Middle Ages, and became one of the great powers of Europe in the days of the Swedish Empire in 17th and early 18th century. Since then Sweden's influence has waned. What was the eastern part of Sweden was lost to Russia in the early 1800s, and is now modern-day Finland. In the 20th century Sweden has adopted a very non-aggressive stance and was neutral in both World Wars."
_ENA,PENA.    	Tony Peña is a former professional baseball catcher and manager. He is now a coach with the New York Yankees.
DE_EB,"DENEB.    	Deneb is the brightest star in the constellation Cygnus, the Swan. The name ""Deneb"" comes from the Arabic word ""dhaneb"" meaning tail, as it lies at ""the tail"" of the swan."
BEE_,"BEER.    	A boilermaker is a beer cocktail, a serving of beer mixed with a shot of whiskey, or sometimes a shot of tequila or vodka. If the whiskey is still in a shot glass when it's dropped into the beer, then it's known as a depth charge."
OP_H,"OPAH.    	Opah is the more correct name for the fish also known as the sunfish, moonfish or Jerusalem haddock. I've seen one in the Monterrey Aquarium. It was huge ..."
L_LO,"LILO.    	""Lilo & Stitch"" was released by Disney in 2002. Compared to other Disney feature-length cartoons, ""Lilo & Stitch"" was relatively cheaply produced, using the voices of lesser known actors. One interesting change had to take place in the storyline during production, when Lilo was meant to fly a Jumbo Jet through downtown Honolulu in one sequence. This was replaced with a sequence using a spaceship instead, as the producers were sensitive to public sentiment after the September 11 attacks."
_ONA,"MONA.    	Leonardo da Vinci's masterpiece that we know in English as the ""Mona Lisa"" is called ""La Gioconda"" in Italian, the language of the artist. It's also known as ""La Joconde"" by the Government of France which owns the painting and displays it in the Louvre Museum in Paris. The title comes from the name of the subject, almost certainly Lisa Gherardini, wife of Francesco del Giocondo. Giocondo was a wealthy silk merchant in Florence who commissioned the painting for the couple's new home to celebrate the birth of their second son."
LEE_,LEER.    	112. Gillette product : ATRA
C_E,"CIE.    	""Cie."" is an abbreviation used in French. 'Cie.' is short for ""compagnie"", the French word for ""company"", and is used as we would use ""Co."""
_EIDI,"HEIDI.    	German-born Heidi Klum is married to the successful English singer, Seal. She is a talented lady and has built a multi-faceted career based on her early success as a model. She is the force behind the Bravo reality show called ""Project Runway"" that has been on the air since 2004. Klum has been nominated for an Emmy for the show 4-5 times."
W_A,"WPA.    	The Work Progress Administration was the largest of the New Deal agencies. It employed millions of people during the Depression, putting them to work on various public works projects. The total spending through the WPA from 1936 to 1939 was nearly $7 billion."
NOT_E,"NOTRE.    	Notre Dame de Paris is the spectacular Gothic cathedral that sits on the Île de la Cité, one of the islands in the middle on the River Seine in Paris. Notre Dame is home to many beautiful and significant artifacts, the most famous of which is the Crown of Thorns supposedly worn by Jesus Christ at his execution, placed in the cathedral in 1239. It's also home to some magnificent gargoyles on the roof, and you can climb up to the roof and take a very close look at them."
