O_ER,"ONER.    	A lollapalooza is something outstanding, one of a kind."
AM_N,"AMIN.    	Idi Amin received most of his military training in the British armed forces, eventually achieving the highest rank possible for a Black African in the British Colonial Army in 1959, that of Warrant Officer. On his return to Uganda he joined the military and quickly rose to the rank of Deputy Commander of the Army. During that time he was quite the athlete. He was a noted rugby player and swimmer, and for nine years held the Ugandan national light-heavyweight boxing title. By the early seventies Amin was commander of all the armed forces of Uganda, and in 1971 seized power in a military coup, displacing the country's president Milton Obote. There followed seven years of brutal rule by Amin during which it is estimated that between 100,000 and 500,000 people were murdered. Amin was ousted from power in 1979 after a war with Tanzania, and fled to Libya where he stayed for a year. He then moved to Saudi Arabia, where he was financially supported by the Saudi Royal Family for the remainder of his life. He died in 2003."
LO_,"LOD.    	The city of Lod lies just a few miles southeast of Tel Aviv, and is the home of Ben Gurion International, Israel's main airport."
ALI_,"ALIS.    	Cassius Marcellus Clay, Jr. was born in 1942 in Louisville, Kentucky. He changed his name to Muhammad Ali when he converted to Islam in 1964. Who can forget Muhammad Ali lighting the Olympic flame for the 1996 games in Atlanta? Ali won a gold medal in the 1960 games, which he threw into the Ohio River after being refused service at a ""whites only"" restaurant. He was presented with a replacement medal during the 1996 Games."
BA_SA,"BALSA.    	Balsa is a very fast growing tree that is native to parts of South America. Even though balsa wood is very soft, it is actually classified as a hardwood, the softest of all the hardwoods (go figure!). Balsa is light and strong, so is commonly used in making model airplanes, and rafts. Amazingly, in WWII a full-size British plane, the de Havilland Mosquito, was built largely from balsa and plywood. No wonder they called it ""The Wooden Wonder"" and ""The Timber Terror""."
R_B,"REB.    	Robert E. Lee is renowned as a southern officer in the Civil War. Lee was a somewhat reluctant participant in the war in that he opposed the secession of his home state of Virginia from the Union. At the beginning of the war, President Lincoln invited Lee to take command of the whole Union Army but he declined, choosing instead to stay loyal to his home state. During the Civil War, Lee's men referred to him affectionately as 'Marse Robert', with 'marse' being slang for 'master'."
OMERT_,"OMERTA.    	Omertà is a code of honor in southern Italian society. The term has been adopted by the Mafia to mean a code of silence designed to prevent a Mafioso from becoming an informer. For example, the famous Joe Valachi was someone who broke the code of silence in 1963, informing on the New York Mafia. Valachi's story was told in the movie ""The Valachi Papers"", with Charles Bronson playing the lead."
_LAK,"FLAK.    	Flak was originally an acronym from the German term for an aircraft defense cannon (FLiegerAbwehrKanone). Flak then became used in English as a general term for antiaircraft fire, and ultimately a term for verbal criticism, as in ""take flak""."
_ACMAN,"PAC-MAN.    	The Pac-Man arcade game was first released in Japan in 1980 and is as popular today as it ever was, at least in some circles. The game features characters that are maneuvered around the screen to eat up dots and earn points. The name comes from the Japanese folk hero ""Paku"", known for his appetite."
ORAT_,"ORATE.    	To ""pontificate"" is to issue dogmatic decrees, with a pompous air. Back in 1818, the word had the more literal meaning, ""to act as a pontiff, pope""."
_ADIA,"NADIA.    	Nadia Comaneci won three golds in the 1976 Summer Olympics and was the first gymnast to be awarded a perfect score of a ten in the gymnastics competition. She published a book ""Letters to a Young Gymnast"" in 2003, and now lives in the United States."
ZEB_A,"ZEBRA.    	Zee is for Zebra (although it was ""zed"" is for zebra in my alphabet book!)."
W_NE,"WINE.    	The Burgundy region of France is famous for its wine production. If you're looking at a label that isn't translated into English though, you'll see Burgundy written in French, namely 'Bourgogne'."
_KES,"EKES.    	I believe that technically speaking one can't actually ""eke out"" an existence, as to ""eke out"" means to ""make something tangible go further or last longer"". So, you can eke out your income by cutting back on expenses, but you can't eke out your existence, or any existence."
SP_Y,"SPAY.    	Our verb 'to spay', meaning 'to surgically remove the ovaries of' (an animal) comes from an old Anglo-French word 'espeier' meaning 'to cut with a sword'."
_SENET,"USENET.    	Remember the good old days, when you read messages online in ""newsgroups""? Well, that system of aggregating public messages is known as Usenet, and it's still around today. Usenet started operating in 1980, some ten years before the World Wide Web was introduced (which system has displaced Usenet in terms of popularity). Usenet definitely played a significant part in the history of the Internet. For instance, the terms ""FAQ"" and ""spam"" were both born on Usenet."
O_SE,"OUSE.    	York is the biggest city on the River Ouse in Yorkshire. The name ""Ouse"" comes from the Celtic word ""usa"" meaning water."
_UTE,"LUTE.    	A troubadour was a composer and musician of the Middle Ages, whose works dealt mainly with chivalry and courtly love. Troubadours were usually men, and a female troubadour would have been called a trobairitz."
FL_K,"FLAK.    	Flak was originally an acronym from the German term for an aircraft defense cannon (FLiegerAbwehrKanone). Flak then became used in English as a general term for antiaircraft fire, and ultimately a term for verbal criticism, as in ""take flak""."
AW_,"AWN.    	Awns are hair- or bristle-like structures found in numerous species of plants. In some species, like barley, the awns can contain photosynthetic tissue."
AUD_N,"AUDEN.    	""September 1, 1939"" is a poem by W. H. Auden, first published in October of 1939. The poem was ""inspired"" by the outbreak of WWII, which started on September 1, 1939 with the German invasion of Poland."
_LER,"ALER.    	The origins of the Detroit Tigers MLB team's nickname seems a little unclear. One story is that it was taken from the Detroit Light Guard military unit who were known as ""The Tigers"". The Light Guard fought with distinction during the Civil War and in the Spanish-American War. Sure enough, when the Detroit baseball team went into the Majors they were formally given permission to use ""The Tigers"" name by the Detroit Light Guard."
STP_TE,"ST PETE.    	St. Petersburg, Florida is often referred to as St. Pete by locals and visitors alike. The neighboring city of St. Petersburg Beach also had its name shorted routinely, so in 1994 the residents voted to change the name officially to St. Pete Beach."
PH_L,"PHIL.    	The Everly Brothers are noted for their steel guitar sound, and their great use of harmony. Their harmony onstage wasn't reflected off the stage though. In 1973 the brothers decided to pursue separate careers and scheduled a farewell performance attended by many fans, family and stalwarts from the music industry. Don Everly came on stage too drunk to perform, and eventually brother Phil just stormed off into the wings, smashing his guitar as he left. The boys didn't talk to each other for ten years after that incident. Phil Everly passed away in January 2014."
HEN_I,"HENRI.    	As an amateur photographer, Henri Cartier-Bresson is one of my heroes. He was a French photographer, famous for shooting candid shots, many of them just in the street. He was very simple in his use of equipment. He was one of the first professionals to accept the 35mm camera, and mainly used a 'normal' 50 mm lens. He only shot in black-and-white, and never bothered with developing his own prints. He focused on taking the photograph."
C_AM,"CLAM.    	""Buck"" and ""clam"" are both slang terms for ""a dollar"". The term ""buck"" has been around at least since 1856, and is thought to derive from the tradition of using buckskin as a unit of trade with Native Americans during the frontier days. It has been suggested that ""clam"" has a similar derivation, a throwback to the supposed use of clams as units of currency in ancient cultures."
S_D,STD.    	Standard (std.)
ALI_,"ALIS.    	Cassius Marcellus Clay, Jr. was born in 1942 in Louisville, Kentucky, changing his name to Muhammad Ali when he converted to Islam in 1964. Who can forget Muhammad Ali lighting the Olympic flame for the 1996 games in Atlanta? Ali was presented with a gold medal during those '96 Games, a replacement for the medal he won at the 1960 Olympics. He had thrown the original into the Ohio River as a gesture of disgust after being refused service at a ""whites only"" restaurant."
GO_,"GOD.    	Mercury was a Roman god, the messenger, and the god of trade. His name comes from the Latin word ""merx"" meaning merchandise (and therefore has the same roots as ""merchant"" and ""commerce""). Saturn was also a Roman deity, the god of agriculture and harvest. The planet, and ""Saturday"" are named after Saturn, the god."
LIL_,"LILI.    	Lili Taylor had supporting roles in films like ""Mystic Pizza"", ""The Haunting"" and ""Rudy"", and she had a recurring role in the HBO series ""Six Feet Under""."
_CH,SCH.    	School (sch.)
NI_,"NIH.    	The National Institutes of Health (NIH) is made up of 27 different institutes that coordinate their research and services. Examples of member institutes are the National Cancer Institute, the National Institute of Mental Health and the National Institute on Aging."
_EV,"REV.    	Mike Huckabee is a former Governor of Arkansas, and currently the host of his own show in Fox News Channel. Just like President Bill Clinton, Huckabee was born in Hope, Arkansas. "
EGA_,"EGAN.    	Greg Egan is science fiction author from Australia. Egan is a very private individual, one who does not do book signings or appearances at science fiction fairs. His own website doesn't even feature a picture of himself. I couldn't find his photo anywhere on the Web ..."
ID_L,"IDYL.    	An idyl is a short poem with a pastoral theme, usually depicting the scene in romantic and idealized terms. The word comes from the Greek ""eidyllion"", which literally translates to ""little picture"" but was a word describing a short, poem with a rustic theme."
_EATS,"YEATS.    	Irish poet and dramatist William Butler Yeats won the Nobel Prize in Literature in 1923, for ""inspired poetry"" that gave ""expression to a whole nation"". He was the first Irishman to be so honored."
SN_P,"SNAP.    	The three elves Snap, Crackle and Pop are the mascots for Kellogg's Rice Krispies. They first appeared in an ad campaign in 1933, although the phrase ""snap, crackle and pop"" had been used for the cereal before then in radio commercials. By the way, instead of Rice Krispies, the elves promote ""Rice Bubbles"" in Australia, and the elves are called ""Cric!, Crac! and Croc! in Quebec."
D_LE,"DOLE.    	Despite all Bob Dole's success in the world of politics, he is remembered by many as the VP candidate who lost to Walter Mondale (and Jimmy Carter) and the presidential candidate who lost to incumbent Bill Clinton. The man is a true war hero. He joined up in 1942 and fought with the Army's 10th Mountain Division in Italy. In 1945 he was hit by machine gun fire in his right arm and back, so badly injured that his comrades could only dose him up with morphine, write ""M"" on his forehead with his own blood (so that another, fatal dose of morphine would not be administered) and continue fighting the battle. Dole had to wait nine hours to be evacuated from the battlefield, and wait another three years before being discharged from hospital back in the States."
PEK_E,PEKOE.    	A pekoe (or more commonly 'orange pekoe') is a medium-grade black tea. There is no orange flavor in an orange pekoe tea. The 'orange' name most likely derived from the name of the trading company that brought the tea to Europe from Asia.
_IFI,"HI-FI.    	Hi-fi systems were introduced in the late forties, audio equipment designed to give a much higher quality reproduction of sound than cheaper systems available up to that point. 'Hi-fi' of course stands for 'high fidelity'."
R_BAT,"RABAT.    	Rabat is the capital city of Morocco. After WWII, the United States had a major Air Force Base in Rabat, part of Strategic Air Command (SAC). Responding to pressure by the Moroccan government of King Mohammed V, the USAF pulled out in 1963."
HY_E,"HYDE.    	Robert Louis Stevenson's novella ""The Strange Case of Dr. Jekyll and Mr. Hyde"" was first published in 1886. There are many tales surrounding the writing of the story including one that the author wrote the basic tale in just three to six days, and spent a few weeks simply refining it. Allegedly, Stevenson's use of cocaine stimulated his creative juices during those few days of writing."
LAN_E,"LANCE.    	Tilting is the most recognized form of jousting. Jousting can involve the use of a number of different weapons, but when lances are used the competition is called ""tilting""."
IN_O,"INDO-.    	The Indo-European languages are a large group of related languages that includes most of the major languages of Europe, the Iranian plateau and South Asia. It is the largest grouping of languages in the world."
SENN_,SENNA.    	Sennas are used as purgatives and laxatives.
N_N,"NUN.    	A wimple is a garment worn mainly in medieval Europe by women. The wimple covers the back of the head, neck and chin. It was tradition back then for genteel women to cover their hair. In modern times, habits worn by nuns include wimples."
L_RI,"LORI.    	Lori Singer is an actress, and also a cellist. Singer's most famous acting role was the daughter of the Reverend Shaw Moore (played by John Lithgow) in ""Footloose""."
OBI_S,"OBITS.    	""Obituary"" comes from the Latin ""obituaris"", originally the record of the death of a person, although the literal meaning is ""pertaining to death""."
OKR_,"OKRA.    	The plant known as okra is mainly grown for it edible green pods. The pods are said to resemble 'ladies' fingers', which is an alternative name for the plant. Okra is known as 'ngombo' in Bantu, a name that might give us the word 'gumbo', the name for the name of the southern Louisiana stew that includes okra as a key ingredient."
MA_,"MAG.    	Mag wheels are often used on racing cars. They are made from a magnesium alloy, giving them their name. But beware, they are flammable and have been banned in many motor-sports in the UK."
O_O,"OEO.    	The Office of Economic Opportunity (OEO) was created during the Lyndon Johnson administration. The agency was responsible for administering the War on Poverty programs that were part of the President Johnson's Great Society agenda. The OEO was shut down by President Nixon, although some of the office's programs were transferred to other agencies. A few of the OEO's programs are still around today, like Head Start for example."
CA_A,"CASA.    	In Spanish, one's 'residencia' (residence) is usually one's 'casa' (house)."
BA_A,"BANA.    	Eric Bana is an Australian actor who enjoyed a successful career in his home country before breaking into Hollywood playing an American Delta Force sergeant in ""Black Hawk Down"". A couple of years later he played the lead in Ang Lee's 2003 movie ""The Hulk"", the role of Dr Bruce Banner. More recently he played the Romulan villain Nero, in the 2009 ""Star Trek"" movie."
_CA,"OCA.    	L'oca del Cairo' is an unfinished opera by Mozart, one that he started but apparently gave up on as he didn't like the farcical ending in the libretto with which he was working. With the title translating as 'The Goose of Cairo', the opera tells of a Spanish Marquess who manages to meet up with his imprisoned beloved by smuggling himself inside a large mechanical goose. Sort of a Trojan Horse with feathers ..."
E_ES,"EKES.    	To ""eke out"" means to ""make something go further or last longer"". So, you can eke out your income by cutting back on expenses. I always have a problem with the definition that 'eke out' means to 'barely get by'. Close but no cigar, I say ..."
R_INO,"RHINO.    	There are five types of rhinoceros that survive today, and the smaller Javan Rhino is the most rare. The rhinoceros is probably the rarest large mammal on the planet, thanks to poaching. Hunters mainly prize the horn of the rhino as it is used in powdered form in traditional Chinese medicine."
BOS_A,"BOSSA.    	Bossa Nova is style of music from Brazil that evolved from samba. The most famous piece of bossa nova is the song ""The Girl from Ipanema""."
SEM_,"SEMI.    	A 'semi' is a 'semi-trailer truck'. The vehicle is so called because it consists of a tractor and a half-trailer. The half-trailer is so called because it only has wheels on the back end, with the front supported by the tractor."
HYD_,"HYDE.    	Robert Louis Stevenson's novella 'The Strange Case of Dr. Jekyll and Mr. Hyde' was first published in 1886. There are many tales surrounding the writing of the story including one that the author wrote the basic tale in just three to six days, and spent a few weeks simply refining it. Allegedly, Stevenson's use of cocaine stimulated his creative juices during those few days of writing."
A_A,"ACA.    	The Mexican city sitting across the border from El Paso is more correctly called Ciudad Juarez. Juarez used to be called El Paso del Norte (the North Pass). It was to be the younger settlement on the northern side of the Rio Grande which would retain the ""El Paso"" name."
L_LE,"LYLE.    	As well as being famous in his own right as a successful country singer, Lyle Lovett is known for his marriage to the actress Julia Roberts in 1993. The pair had a whirlwind romance lasting just three weeks before they eloped and were wed. The marriage was also relatively whirlwind, lasting less than two years."
AMOEB_,"AMOEBA.    	An ameba (or ""amoeba"" as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats or reproduces."
E_ENI,"ELENI.    	Nicholas Gage is a Greek-American author and investigative journalist. He wrote two memoirs, ""Eleni"" and ""A Place for Us"". ""Eleni"" tells of his life in Greece during WWII and the Greek Civil War. The title is a tribute to his mother, Eleni, who was executed by Communists who occupied her village, simply because she helped her children escape from the ravages of a war of occupation. ""Eleni"" was adapted into a movie in 1985, starring John Malkovitch as Gage."
N_GER,NIGER.    	The Republic of Niger is a landlocked country in Western Africa that gets its name from the Niger River. 80% of the country lies in the Sahara Desert.
_NCE,"ONCE.    	As there is a full moon once every four weeks, approximately monthly, there are usually twelve full moons in any given year. However, every 2-3 years, depending on the phase of the moon at the beginning of the calendar year, there may be a thirteenth full moon. The ""extra"" full moon is called a ""blue moon"", although no one seems to really know why as far as I can tell. Which of the thirteen full moons that is designated as the blue moon varies depending on tradition. My favorite definition is from the Farmer's Almanac. It states that as each of the seasons normally have three full moons (twelve divided by the four seasons), then the season with four full moons is designated as ""special"", then, the THIRD full moon in that ""special"" season is the blue moon. Complicated, huh?"
LAN_E,"LANCE.    	Tilting is the most recognized form of jousting. Jousting can involve the use of a number of different weapons, but when lances are used the competition is called ""tilting"". Jousting took place in a roped-off enclosure that was called the lists, or list field. In later medieval times, some castles and palaces had purpose-built ""tiltyards"" that were used for jousting. Do you remember where the Beach Volleyball events were held in the 2012 London Olympics? Well that was Horse Guards Parade, the former tiltyard for the Palace of Whitehall that was used in the time of King Henry VIII."
_AIKU,"HAIKU.    	A haiku is a very elegant form of Japanese verse. When writing a haiku in English we impose the rule that the verse must contain 17 syllables. This restriction comes from the rule in Japanese that the verse must contain 17 sound units called ""moras"", but moras and syllables aren't the same thing. What the difference is though, is not so clear to me ..."
CN_TE,"C-NOTE.    	""Sawbuck"" is slang for a ten dollar bill. The term was applied to the bill as the Roman numeral X (ten) resembles the end of sawhorse."
LIL_,"LILI.    	The actress Lili Taylor had supporting roles in films like ""Mystic Pizza"", ""The Haunting"" and ""Rudy"", and she had a recurring role in the HBO series ""Six Feet Under""."
UMAM_,"UMAMI.    	Umami is one of the five basic tastes, along with sweet, sour, bitter and salty. 'Umami' is a Japanese word used to describe ""a pleasant savory taste'. Umami was proposed as a basic taste in 1908, but it wasn't until 1985 that the scientific community finally accepted it as such."
ANI_A,"ANIMA.    	'Anima' is the Latin word for 'soul, life'."
SEA_,"SEAL.    	SEAL is an acronym, used by the US Navy's SEa, Air and Land teams. The SEALs were born out of the Navy's special warfare groups from WWII, like the Underwater Demolition Teams and the Motor Torpedo Boat Squadrons. The Navy SEAL unit was established soon after President Kennedy's speech in which he announced the plan to put a man on the moon, as in the same speech the president allocated $100m of funding to strengthen special operations forces. The Navy used some of this money to set up guerrilla and counter-guerrilla units, which soon became the SEALs."
SI_ON,"SIMON.    	Simon Cowell was invited to be a judge on 'Pop Idol', a British show that spawned 'American Idol'. Cowell was then asked to take part in the US spin-off, and we haven't stopped seeing him since ..."
Y_WS,"YEWS.    	Coniferous trees are usually evergreen, and always bear cones (hence the name)."
ON_R,"ONER.    	A humdinger, or a oner, is someone or something outstanding. Humdinger is American slang dating back to the early 1900s, originally used to describe a particularly attractive woman."
GO_TI,"GOTTI.    	John Gotti was the boss of the Gambino crime family from 1985 (when his predecessor was gunned down, allegedly on Gotti's orders) until he was sentenced to life in prison in 1992. Gotti died of throat cancer after ten years behind bars, in 2002."
PE_ER,"PETER.    	As is the case for many I am sure, Prokofiev's ""Peter and the Wolf"" was my introduction to the world of classical music, as it was played for us at school many, many moons ago. Prokofiev wrote the piece as a commissioned work for the Central Children's Theater in Moscow, in 1936. He loved the idea of the project, and wrote the story and music in just four days!"
_ESOS,"PESOS.    	Lettuce, cabbage, kale, dinero, dough and moola (also moolah) are all slang terms for money."
ARMA_I,"ARMANI.    	Giorgio Armani is an Italian fashion designer and founder of the company that has borne his name since 1975. Although Armani is famous for his menswear, the company makes everything from jewelry to perfume."
PT_,PTS.    	A touchdown is worth six points.
CO_RA,"COBRA.    	The Bell AH-1 Cobra attack helicopter was the mainstay of the US Army's helicopter fleet, until it was replaced by the AH-64 Apache."
AL_,"ALA.    	Hank Williams was a country singer, regarded by many as the perhaps the greatest country singer of all time. He topped the charts eleven times between 1948 and 1953. His career was cut short though, as he died at only 29 years of age. Williams suffered from spina bifida, and was prescribed strong painkillers for his back pain, including morphine. He abused the drugs and alcohol, and in 1952, even though he was at the height of his success, he was fired from the ""Grand Ole Opry"" and told not to return until he was sober. He died on New Year's Day 1953, after injecting himself with morphine."
_ARI,"HARI.    	Mata Hari was the stage name used by Margaretha Geertruida Zella, born in the Netherlands in 1876. After an unsuccessful and somewhat tragic marriage, Zella moved to Paris in 1903 where she struggled to make a living. By 1905 she was working as an exotic dancer and using the name Mata Hari. She was a successful courtesan, notably moving in various circles of high-ranking military officers. She apparently worked as a double agent, both for the French and the Germans. When Mata Hari was accused by the French of passing information to the enemy, she was tried, found guilty and executed by firing squad at the height of WW1, in 1917."
BO_SA,"BOSSA.    	Bossa Nova is style of music from Brazil that evolved from samba. The most famous piece of bossa nova is the song ""The Girl from Ipanema""."
TW_T,"TWIT.    	""Twit"" is a word not used very often here in America. It's a slang term that was quite common in England where it was used for ""someone foolish and idiotic""."
_ICE,"DICE.    	The dice game of Yahtzee was introduced in 1956, a variant of earlier dice games, especially the game ""Yacht"" (which even has a similar name). Yahtzee is required playing in our house at holidays."
L_REN,"LOREN.    	Sophia Loren certainly has earned her exalted position in the world of movies. In 1962 Loren won an Oscar for Best Actress for her role in the Italian film 'Two Women', the first actress to win an Academy Award for a non-English speaking performance. She received a second nomination for Best Actress for her role in 'Marriage Italian-Style', another Italian-language movie, released in 1964."
SKY_,SKYE.    	The Skye terrier is a breed of dog that is actually under threat of extinction. A few years ago there were only 30 Skye terriers born in the breed's native land of the UK.
H_RT,"HART.    	The Hart Memorial Trophy is awarded annually to the player judged to be most valuable for his team in the NHL. The award is named for Dr. David Hart, a Canadian who donated the original trophy to the league."
NA_SAU,"NASSAU.    	Nassau County on Long Island, New York is so called as Long Island used to have the name 'Nassau'. The Dutch gave it that name in honor of Price William of Nassau, Prince of Orange, later to be King William III of England. The county's colors are orange and blue, the colors of the House of Orange. Nassau County is the richest county per capita in the whole of New York State."
YEAT_,"YEATS.    	Irish poet and dramatist William Butler Yeats won the Nobel Prize in Literature in 1923 for ""inspired poetry"" that gave ""expression to a whole nation"". Yeats was Ireland's first Nobel laureate."
SI_ES,"SINES.    	A sine wave is a mathematical function that describes a simple, smooth, repetitive oscillation. The sine wave is found right throughout the natural world. Ocean waves, light waves and sound waves all have a sine wave pattern."
ES_,-ESE.    	'Telegraphese' is the clipped form of language that was used in writing a telegram.
S_AY,"SHAY.    	A shay is a light carriage. It is an American design based on the French 'chaise', from which it takes its name. A shay is sometimes called a ""whisky"", as riders would 'whisk' around from stop to stop."
OSO_E,"O SOLE.    	""'O sole mio"" is a famous Italian song from Naples, written in 1898. The lyrics are usually sung in the original Neapolitan, as opposed to Italian. The title translates from Neapolitan into ""My Sun"" (and not into ""O, My Sun"" as one might expect). It's a love song of course, sung by a young man declaring that there is a sun brighter than that in the sky, the sun that is his lover's face. Awww ..."
C_Y,"CAY.    	A ""key"" (also ""cay"") is a low island offshore, as in the Florida Keys for example. Our term in English comes from the Spanish ""cayo"" meaning ""shoal, reef""."
O_G,"ORG.    	Internet addresses are Uniform Resource Locators. The Internet addresses that end with the letters .org were originally intended for use by non-profit organizations, but as anyone can register a .org name, there are plenty of commercial concerns that use it ... so be careful!"
PANA_,"PAN AM.    	Pan Am started out as a mail and passenger service between Key West, Florida and Havana, Cuba in 1927. From very early in the company's life it was the de facto representative air carrier of the United States. For many years Pan Am's fleet was built around the Boeing 314 Clipper, a long-range flying boat that was one of the largest aircraft around at the time. Pan Am adopted the Clipper as part of its image, even using ""clipper"" as the call sign for its flights."
"T_N.G.""","T.N.G."".    	Deanna Troi, the character on ""Star Trek: The Next Generation"", is played by the lovely Marina Sirtis. Sirtis is a naturalized American citizen and has what I would call a soft American accent on the show. However, she was born in the East End of London and has a natural accent off-stage that is more like that of a true Cockney."
_IR,DIR.    	Director (dir.)
XO_O,"XOXO.    	In the sequence XOXO, I think the X represents a kiss, and the O a hug. Hugs and kisses ..."
TA_,"TAZ.    	The 'Looney Tunes' character known as the Tasmanian Devil, or 'Taz', first appeared on screens in 1964 but gained real popularity in the 1990s."
_PEEDO,"SPEEDO.    	Speedo brand swim-wear was first produced in Australia in 1928, by a hosiery company that wanted to diversify. The brand name was chosen after a slogan competition among the employees was won by ""Speed on in your Speedos"". It was a long time ago, I guess ..."
_ORAG,"DO-RAG.    	Hip-hoppers might wear do-rags today, but they have been around for centuries. If you recall the famous image of Rosie the Riveter, she was wearing a do-rag. The etymology is pretty transparent, a piece of cloth (rag) to hold a hairstyle (do) in place."
SNAP_,"SNAPE.    	Severus Snape is a character in the Harry Potter novels, played by the wonderful Alan Rickman in the movies."
E_MES,"EAMES.    	Charles and Ray Eames were a husband-wife team of furniture designers. One of the more famous of their designs is the Eames lounge chair that comes with an ottoman. This trendy piece of furniture featured in a late episode of the television show 'Frasier'. In the show, Frasier's Dad remarks that the Eames chair is so comfortable that he might have gotten rid of his tatty old recliner a long time ago."
X_RS,"XERS.    	The term Generation X originated in the UK where it was the name of a book by Jane Deverson. Her book detailed the results of a study of British youths in 1964, contrasting their lifestyle to those of previous generations. It was Canadian author Douglas Coupland who was responsible for popularizing the term, with his more successful publication ""Generation X: Tales for an Accelerated Culture"". By the latest accepted definition, Gen-Xers were born between 1961 and 1981."
R_SS,"ROSS.    	You know, I've never seen ""ER"". The most famous doctor in the TV show has to have been Dr. Doug Ross, played by George Clooney, the role that really gave Clooney his big break."
PAL_N,"PALIN.    	When John McCain selected Sarah Palin as candidate for Vice President in the 2008 presidential election, she became the first Alaskan to go on the national ticket for a major party. She also became the first woman nominated for Vice President by the Republican Party."
_LRS,"SLRS.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
B_S,"BAS.    	In French, things can be 'bas' (low) or 'haut' (high)."
EF_S,"EFTS.    	Newts wouldn't be my favorite animals in the world. They are found all over the world, living on land or in the water depending on the species, but always associated with water, even if it is only for breeding. Newts metamorphose through three distinct developmental stages during their lives. They start of as larvae in water, fertilized eggs that often cling to aquatic plants, unlike the eggs of frogs and toads which float freely. The eggs hatch into tadpoles, the first developmental form of the newt. After living some months as tadpoles swimming around in the water, they undergo metamorphosis, sprouting legs and replacing their external gills with lungs. At this juvenile stage they are known as efts, and leave the water to live on land. A more gradual transition takes place then, as the eft takes on the lizard-like appearance of the adult newt."
JE_I,"JEDI.    	The Jedi are the 'good guys' in the 'Star Wars' series of movies. The most famous Jedi knights from the films are Obi-Wan Kenobi (played by Alec Guinness, and later Ewan McGregor) and Yoda (voiced by Frank Oz). Well, they're my favorites anyway ..."
_STR,ASTR.    	Astronomy (Astr.).
ELISH_,"ELISHA.    	The prophet Elisha is mentioned both in the Hebrew Bible and the Qur'an. In the Islamic tradition, Elisha is usually known by his Arabic name, Alyasa."
C_DRE,"CADRE.    	A ""cadre"" is most commonly a group of experienced personnel at the core of a larger organization that the small group trains or heavily influences. ""Cadre"" is a French word meaning a ""frame"". We use it in the sense that a cadre is a group that provides a ""framework"" for the larger organization."
_ULU,ZULU.    	The NATO phonetic alphabet is also called the International Civil Aviation Organization (ICAO) phonetic alphabet.
Z_BRA,ZEBRA.    	'Zebra' is a slang term for a referee in football.
T_Z,"TAZ.    	The 'Looney Tunes' character known as the Tasmanian Devil, or 'Taz', first appeared on screens in 1964 but gained real popularity in the 1990s."
ANIM_,"ANIMA.    	The concept of anima and animus is found in the Carl Jung school of analytical psychology. The idea is that within each male their resides a feminine inner personality called the anima, and within each female there is a male inner personality known as the animus."
T_LIP,"TULIP.    	There are many tulip festivals around the US, almost all taking place in cities originally inhabited by Dutch settlers. The biggest of these is the Tulip Time Festival that has been held annually since 1929."
DO_E,"DOLE.    	The word ""dole"", meaning ""financial relief"", originated as the Old English word ""dal"", the state of sharing, giving out. Our term ""on the dole"", relating to institutional relief, dates back to the twenties."
KAR_A,"KARMA.    	'Karma' is religious concept with its basis in Indian faiths. Karma embraces the notion of cause and effect. Good deeds have good consequences at some later point in one's life, future life, or afterlife and vice versa."
_OO,ZOO.    	This place is like a zoo! It's crazy!
STPET_,"ST PETE.    	St. Petersburg, Florida is often referred to as St. Pete by locals and visitors alike. The neighboring city of St. Petersburg Beach also had its name shortened routinely, so in 1994 the residents voted to change the name officially to St. Pete Beach."
SM_LT,"SMELT.    	Metals are found in ore in the form of oxides. In order to get pure metal from the ore, it is heated and the oxides reduced (i.e. the oxygen is removed) in the chemical process known as smelting. The oxygen is extracted by adding a source of carbon or carbon monoxide which uses up the excess oxygen atoms to make carbon dioxide, a waste product of smelting."
OS_S,"OSOS.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male."
TR_C,"TRAC.    	Gillette introduced the Trac II in 1971, the world's first twin-blade razor."
YEA_,"YEAR.    	In Greek mythology Oeno was the goddess of wine, giving us ""oen-"" as a prefix meaning ""wine"". For example, oenology is the study of wine and an oenophile is a wine-lover."
_HAD,"CHAD.    	We are all familiar with ""hanging chads"" after the famous Florida election recounts of 2000. A chad is any piece of paper punched out from a larger sheet. So, those round bits of paper we've all dropped over the floor when emptying a hole punch, they're chads."
PE_T,"PEAT.    	When dead plant matter accumulates in marshy areas, it may not fully decay due to a lack of oxygen or acidic conditions. We are familiar with this in Ireland, because what can form then is peat, and we have lots of peat bogs. If the peat bogs get covered over with sedimentary matter, then over time pressure and heat can dry out the peat forming a soft brown material called lignite. Given further heat and pressure, and time, this lignite converts to coal. So, lignite is a material with characteristics between peat and coal, and is often called ""brown coal""."
