API_N,APIAN.    	'Apis' is the Latin for 'bee'.
_EZ,"FEZ.    	""Fez"" is the name given to the red cylindrical hat worn mainly in North Africa, and by Shriners here in the US. It used to be very popular right across the Ottoman Empire. The etymology of ""fez"" is unclear, although it might have something to do with the Moroccan city named Fez."
PU_,"PUN.    	Samuel Johnson (also known as Dr. Johnson) was a British author active in the 1700s. He is famous for producing a ""Dictionary of the English Language"" published in 1755. Johnson's dictionary was the standard used until the OED was published 150 years later."
_TONAL,"ATONAL.    	""Wozzeck"" is the first opera composed by Alban Berg. I can't stand atonal music. It is just beyond me ..."
P_LO,"PALO.    	The Palo Verde nuclear power plant lies just 45 miles west of Phoenix, Arizona. Every other nuclear power plant in the world is located near to a source of water which is used for cooling, but the Palo Verde plant, located in the desert, evaporates water from treated sewage."
ELYS_,"ELYSE.    	""Family Ties"" was one of the first TV shows that I fell for when I arrived in the US back in 1983. I found the situation very appealing, with two ex-hippie parents facing off against an ultra-conservative son. The main characters in the show were Michael J. Fox as Alex, Meredith Baxter-Birney as Alex's mom, Elyse, and Michael Gross as Alex's Dad, Steven. But some future stars had recurring roles, including Courtney Cox as one of Alex's girlfriends and Tom Hanks as Elyse's young brother."
PE_A,"PETA.    	People for the Ethical Treatment of Animals (PETA) is a very large animal rights organization, with 300 employees and two million members and supporters worldwide. Although the group campaigns for animal rights across a broad spectrum of issues, it has a stated focus in opposition of four practices:"
TE_EE,"TEPEE.    	A tepee (also written as ""tipi"" and ""teepee"") is a cone-shaped tent traditionally made from animal hides that is used by the Great Plains Native Americans. A wigwam is a completely different structure and is often a misnomer for a tepee. A wigwam is a domed structure built by Native Americans in the West and Southwest, intended to be a more permanent dwelling. The wigwam can also be covered with hides but more often was covered with grass, reeds, brush or cloth."
E_AN,"EGAN.    	Richard Egan was an actor from San Francisco. One of Egan's more famous roles was playing Elvis Presley's older brother in 'Love Me Tender'. Rod Serling eventually chose to narrate his epic 'The Twilight Zone' series himself, but his first choice for narrator had been Richard Egan. It was perhaps lucky that Egan couldn't do the 'The Twilight Zone' gig due to other contractual obligations, as Serling's commentary added so much to the show."
LOR_A,"LORNA.    	'Lorna Doone' was written by Richard Doddridge Blackmore. R. D. Blackmore was an English novelist, very celebrated and in demand in his day (the late 1800s). His romantic story ""Lorna Doone"" was by no means a personal favorite of his, and yet it is the only one of his works still in print."
I_DO,"INDO-.    	The Indo-European languages are a large group that includes most of the major languages of Europe, the Iranian plateau and South Asia. It is the largest grouping of languages in the world."
RR_,"RRR.    	The 'three Rs' are Reading, 'Riting and 'Rithmetic."
PANA_,"PAN AM.    	Pan American World Airways (usually just 'Pan Am') started out as a mail and passenger service between Key West, Florida and Havana, Cuba in 1927. From very early in the company's life it was the de facto representative air carrier of the United States. For many years Pan Am's fleet was built around the Boeing 314 Clipper, a long-range flying boat that was one of the largest aircraft around at the time. Pan Am adopted the Clipper as part of its image, even using ""clipper"" as the call sign for its flights."
O_ERTA,"OMERTA.    	The novelist and screenwriter Mario Puzo, was best known for his book 'The Godfather', which he also co-adapted for the big screen. Puzo also wrote two sequels, 'The Last Don' and 'Omertà', that latter being published after his death. His name is less associated with some very famous screenplays that he wrote, including 'Earthquake', 'Superman' and 'Superman II'. Puzo won two Oscars for Best Adapted Screenplay: for 'The Godfather' (1972) and for 'The Godfather Part II' (1974)."
KEBA_,"KEBAB.    	The name ""kebab"" (also 'kabob') covers a wide variety of meat dishes that originated in Persia. In the West, we usually use ""kebab"" when talking about shish kebab, which is meat (often lamb) served on a skewer."
CA_RE,"CADRE.    	A ""cadre"" is most commonly a group of experienced personnel at the core of a larger organization that the small group trains or heavily influences. ""Cadre"" is a French word meaning a ""frame"". We use it in the sense that a cadre is a group that provides a ""framework"" for the larger organization."
RAJ_,"RAJA.    	""Raja"" is an Indian word for ""monarch""."
_ESOS,"PESOS.    	The writing on bank notes in the Philippines used to be in English, so the currency was recorded as the 'peso'. Since 1967 the language on the notes has been Filipino, and now the name of the currency is written as 'Piso'."
_MAC,"GMAC.    	GMAC is short for General Motors Acceptance Corporation. General Motors has only a small stake in GMAC now, and indeed the name has been officially changed to Ally Bank. You and me, we are the biggest shareholders in GMAC/Ally today, since the US government gave the bank $12.5 billion to bail it out in 2008-2009."
SL_ES,"SLOES.    	The sloe is the fruit of the blackthorn bush, and is the flavoring that gives gin its distinctive taste."
O_AN,"O-LAN.    	Pearl S. Buck's novel ""The Good Earth"" won a Pulitzer in 1932, and helped Buck win the Nobel Prize for literature a few years later. The story tells of life in a Chinese village, and follows the fortunes of Wang Lung and his wife O-Lan. Although ""The Good Earth"" has been around a while, it hit the best seller list again in 2004 when it was picked by Oprah's Book Club."
R_SS,"ROSS.    	""The Birth of Old Glory"" is a 1908 painting by E. Percy Moran. It depicts Betsy Ross presenting the new American flag to George Washington and some members of the Continental Congress."
_NAPE,"SNAPE.    	Severus Snape is a character in the Harry Potter novels, played by the wonderful Alan Rickman on the big screen."
EA_ES,EAMES.    	Eames House is a building in Los Angeles with a very avant-garde design that was built in 1949. It was constructed by the married design team Charles and Ray Eames who used it as their home and studio.
_RG,"ORG.    	The Internet addresses that end with the letters .org are intended for use by non-profit organizations, but as anyone can register a .org name, there are plenty of commercial concerns that use it ... so be careful with whom you're dealing!"
CAR_,"CARL.    	Carl Carlson is a friend of Homer's on ""The Simpsons"", and one of his co-workers at the Springfield Nuclear Power Plant. Carl is voiced by actor Hank Azaria."
RAH_,"RAHM.    	The current Mayor of Chicago, Rahm Emanuel, was an Illinois representative in the US House before resigning to take up President Obama's offer to become the White House Chief of Staff."
NT_B,NTSB.    	The National Transportation Safety Board (NTSB) is responsible for the investigation of major accidents involving transportation. Included in this broad definition is the transportation of fluids in pipelines. The organization is independent in that it has no ties to other government agencies or departments so that its investigations can be viewed as 'impartial'. The NTSB also earns a little money for the US as it hires out its investigation teams to countries who don't have the necessary resources available on their own soil.
_VS,"IVS.    	I think that 'House' is one of the better shows made by Fox television. It is fun for me to see English actor Hugh Laurie in the title role as coming from the other side of the Atlantic I have been watching him in various comedic roles for decades. Famously he played Bertie Wooster opposite Stephen Fry in P.G. Wodehouse's 'Jeeves & Wooster', as well as one of the bumbling 'bad guys' in '101 Dalmatians' (the version starring Glenn Close)."
T_LE,"TALE.    	Scheherazade was a Persian queen of legend, and the storyteller in the wonderful ""One Thousand and One Nights""."
_ONY,SONY.    	Sony introduced the PlayStation line of video game consoles in 1994.
P_S,PTS.    	2 pints make up a quart.
_ACS,"MACS.    	The iMac is a desktop computer platform from Apple introduced in 1998. One of the main features of the iMac is an ""all-in-one"" design, with the computer console and monitor integrated. The iMac also came in a range of colors, that Apple marketed as 'flavors', such strawberry, blueberry and lime."
D_LL,"DELL.    	Dell, the computer manufacturer, is named after the company's founder Michael Dell. Michael Dell started his company in his dorm room at college, shipping personal computers that were customized to the specific needs of his customers. He dropped out of school in order to focus on his growing business, a decision that I doubt he regrets. Michael Dell is now one of the richest people in the world."
NO_SE,"NORSE.    	Leif Erikson was a Norse explorer and was the first European to land in North America, some 500 years before Christopher Columbus's landing in 1492. The Norsemen named the area they discovered 'Vinland', which might translate as 'Wine Land' or 'Pasture Land'. Erikson built a small settlement called Leifsbudir, which archaeologists believe they have found in modern day Newfoundland, at L'Anse aux Meadows. The settlement discovered in Newfoundland is definitely Norse, but there is some dispute over whether it is actually Erikson's Leifsbudir."
KARA_,"KARAT.    	The Krugerrand is a gold coin minted in South Africa. The coin takes its name from the Rand, the South African unit of currency, and Paul Kruger, the President of the South African Republic whose face appears on the obverse of the coin. The Krugerrand is made from a gold alloy that is almost 92% pure i.e. 22 karats."
ALI_NS,"ALIENS.    	'Aliens' is a 1986 sequel to the very successful science-fiction movie 'Alien' released in 1979. Aliens was filmed at Pinewood Studios in England, and at the decommissioned Acton Lane Power Station in London."
_ILT,"JILT.    	To ""jilt"" someone with whom you have a relationship is to drop them suddenly or callously. ""Jilt"" is an obsolete noun that used to mean ""harlot"" or ""loose woman""."
AR_IN,"ARKIN.    	The actor Alan Arkin won his only Oscar (Best Supporting Actor) for his role in ""Little Miss Sunshine"" from 2006, a movie I just did not understand ..."
_KRA,"OKRA.    	Gumbo is a type of stew or soup that originated in Louisiana. The primary ingredient can be meat or fish, but to be true gumbo it must include the ""holy trinity"" of vegetables, namely celery, bell peppers and onion. Okra used to be a requirement but this is no longer the case. Okra gave the dish its name as the vernacular word for the African vegetable is ""okingumbo', from the Bantu language spoken by many of the slaves brought to America."
_ACMAN,"PAC-MAN.    	The Pac-Man arcade game was first released in Japan in 1980, and is as popular today as it ever was. The game features characters that are maneuvered around the screen to eat up dots and earn points. The name comes from the Japanese folk hero ""Paku"", known for his voracious appetite."
_ETES,TETES.    	'Tête' is French for 'head'.
SH_MU,"SHAMU.    	Shamu was the name of the third orca, or killer whale, ever to be featured in a public exhibition. Shamu starred in a popular SeaWorld show in San Diego in the sixties. After she died in 1971, her name lived on as the name ""Shamu"" is still used by SeaWorld for its killer whale shows. That original Shamu was retired after she grabbed and refused to let go of the leg of one of her trainers."
A_TI,"ANTI-.    	In the world of particle physics, antimatter is made up of particles that have the same mass as particles of ordinary matter, but with the opposite charge and quantum spin. Mixing matter and antimatter causes the annihilation of both, with a release of energy equal to the mass of the particles according to Einstein's equation E=mc2."
RICO_,"RICOH.    	Ricoh is a Japanese company that started out in 1936, and by the year 2000 was the biggest manufacturer of copiers in the world."
NI_,"NIH.    	The National Institutes of Health is made up of 27 different institutes, which coordinate their research and services. Examples of member institutes are the National Cancer Institute, the National Institute of Mental Health and the National Institute on Aging."
SN_P,"SNAP.    	""Ginger snap cookies"" are known as ""ginger nut biscuits"" back in Ireland where I come from."
_AIC,"LAIC.    	Anything described is laic (or laical) is related to the laity, those members of the church who are not clergy. The term ""laic"" ultimately comes from the Greek ""laikos"" meaning ""of the people""."
KTE_,"K-TEL.    	I know that a lot of people detested the ""Hooked on Classics"" albums, but to be honest, I found them to be a lot of fun. But then again, I liked disco! The original ""Hooked on Classics"" album was recorded in 1981 by the Royal Philharmonic Orchestra from London. The music was a selection of recognizable extracts from the world of classical music played over a continuous, disco beat."
_IRR,"LIRR.    	The Long Island Rail Road is the commuter rail service that runs all over Long Island, New York, with 124 stations and 700 miles of track. More people use the LIRR than any other commuter railroad in the US. It is also the only commuter railroad in the country that operates 24 hours a day, 7 days a week."
O_RIC,"OSRIC.    	In William Shakespeare's play ""Hamlet"", Osric is the courtier that Claudius dispatches to invite Hamlet to participate in a duel."
AM_S,"AMYS.    	Amy Grant is known as 'The Queen of Christian Pop' and her most famous songs are Gospel and Contemporary Christian works. Grant recorded two songs that made it to number one in the commercial charts: 'The Next Time I Fall' (1981, duet with Peter Cetera) and 'Baby Baby' (1991)."
FL_E,FLOE.    	An ice floe is a sheet of ice that has separated from an ice field and is floating freely on the ocean.
NO_,"NOV.    	Guy Fawkes was a Catholic who plotted to kill the Protestant King James in 1605. Fawkes's plan was blow up the Houses of Parliament when King James was in attendance. However, he was discovered in the basement of the building, along with several barrels of gunpowder. Fawkes was taken to the Tower of London where he was tortured for over two months, before being hanged. The assassination attempt is referred to as the Gunpowder Plot, and is commemorated across the UK on November 5th each year as 'Bonfire Night'."
HOY_,"HOYA.    	The athletic teams of Georgetown University are known as the Hoyas. The name is derived from ""Hoya Saxa"", a traditional cheer yelled out at Georgetown games as far back as 1893. The term is a mixture of Greek and Latin, with the Greek word ""hoya"" meaning ""such"" or ""what"", and ""saxa"" translating from Latin as ""rocks"" or ""small stones"". The cheer is usually rendered in English as ""what rocks!""."
P_AT,"PEAT.    	When dead plant matter accumulates in marshy areas, it may not fully decay due to a lack of oxygen or acidic conditions. We are familiar with this in Ireland, because what can form then is peat. If the peat bogs get covered over with sedimentary matter, then over time, pressure and heat can dry it out the peat forming a soft brown material called lignite. Given further heat and pressure, and time, this lignite coverts to coal. So, lignite is a material with characteristics between peat and coal, and if often called ""brown coal""."
PA_R,"PAAR.    	Jack Paar was most famous as the host of 'The Tonight Show', from 1957 to 1962. When he died in 2004, 'Time' magazine wrote that Paar was 'the fellow who split talk show history into two eras: Before Paar and Below Paar'. Very complimentary ..."
S_YE,SKYE.    	The Skye terrier is a breed that is actually under threat of extinction. A few years ago there were only 30 born in its native UK.
B_DET,"BIDET.    	""Bidet"" is of course a French word that we imported into English. In French, the word ""bidet"" originally applied to a small horse or a pony. What we know as a bidet was so called because one can straddle it like a horse in order to use it."
A_LAI,"ADLAI.    	Adlai Stevenson I served as Vice President of the US from 1893 to 1897 under Grover Cleveland. Stevenson was the grandfather of Adlai Stevenson II, the Democratic candidate for president in 1952 and 1956."
_ARE,"TARE.    	""Tare"" is the weight of a container that is deducted from the gross weight to determine the net weight, the weight of the container's contents."
_AR,"LAR.    	Lar Lubovitch is an American choreographer, noted for his stage work, but also for choreographing figure skating routines for the likes of John Curry, Peggy Fleming and Dorothy Hamill."
RE_,"REV.    	The Reverend Al Sharpton is a high-profile Baptist minister and civil rights activist, with his own radio talk show. Sharpton preached his first sermon when he was only 4-years-old."
MAL_A,"MALTA.    	The island of Malta is relatively small, but with a large population, making it one of the most densely populated countries in Europe. Malta's strategic location has made it a prized possession for the conquering empires of the world. Most recently it was part of the British Empire, and was an important fleet headquarters for Britain. Malta played a crucial role for the Allies during WWII as it was located very close to the Axis shipping lanes in the Mediterranean. The Siege of Malta lasted from 1940 to 1942, a prolonged attack by the Italians and Germans on the RAF and Royal Navy, and the people of Malta. When the siege was lifted, King George VI awarded the George Cross to the people of Malta collectively in recognition of their heroism and devotion to the Allied cause. The George Cross can still be seen on the Maltese flag, even though Malta has been an independent country since 1964."
AG_SSI,"AGASSI.    	""Open"" is the autobiography of tennis professional Andre Agassi published in 2009. An amazing revelation in the book was that Agassi's famous head of hair was actually a wig for much of playing career. Can you imagine how hard it must have been to play tennis at his level, with a rug pinned on?"
TM_,"TMC.    	Showtime (SHO) is a competitor of the Movie Channel (TMC) in terms of program lineup, although both channels are in fact owned by CBS."
DONH_,"DON HO.    	Don Ho apparently had a pretty liberal arrangement with his wife. When he was touring with his two backing singers Pattie Swallie and Elizabeth Gevara, all three of them shared a room together. He had two children with each of his roommates, giving a total of ten kids including the six he had with his wife. The arrangement was quite open, it seems, with all ten kids visiting each other regularly. To each his own ..."
MAU_,"MAUI.    	Maui is the second largest of the Hawaiian islands. Maui is sometimes called the 'Valley Isle' as it is composed of two volcanoes to the northwest and southeast of the island, each with numerous beautiful valleys carved into them."
OR_,"ORK.    	The sitcom ""Mork & Mindy"" was broadcast from 1978 to 1982. We were first introduced to Mork (played by Robin Williams, of course) in a special episode of ""Happy Days"". The particular episode in question has a bizarre storyline culminating in Fonzie and Mork having a thumb-to-finger duel. Eventually Richie wakes up in bed, and alien Mork was just part of a dream! Oh, and ""Nanu Nanu"" means both ""hello"" and ""goodbye"" back on the planet Ork. ""I am Mork from Ork, Nanu Nanu"". Great stuff ..."
RIO_,"RIOT.    	""Laugh riot"" is a slang term, basically meaning ""a riot"", the act of laughing hilariously at something, usually with others."
_DAK,"S DAK.    	Here's an old chestnut of a trivia question for you ... what's the only state capital in the Union in which the name of the capital and the name of its state share no common letters? You guessed it ... Pierre, South Dakota ..."
CE_T,"CELT.    	Larry Bird played basketball for the Boston Celtics from 1978 to 1992. Bird has a lot of very loyal fans, and some might even be described as fanatical. In 2005 an Oklahoma City man was convicted of a crime involving a shooting. On being sentenced to 30 years imprisonment, the guilty man requested that the sentence be changed to 33 years so that it matched the number on Larry Bird's jersey. The judge obliged ..."
YETI_,"YETIS.    	A yeti is a beast of legend, also called an abominable snowman. It is a Tibetan term, and the yeti is fabled to live in the Himalayan regions of Nepal and Tibet. Our equivalent legend in North America is that of Bigfoot. The study of beasts whose existence have not yet been substantiated is called cryptozoology."
ELEN_,"ELENI.    	Nicholas Gage is a Greek-American author and investigative journalist. He wrote two memoirs, ""Eleni"" and ""A Place for Us"". ""Eleni"" tells of his life in Greece during WWII and the Greek Civil War. The title is a tribute to his mother, Eleni, who was executed by Communists who occupied her village simply because she helped her children escape from the ravages of a war of occupation. ""Eleni"" was adapted into a movie in 1985, and starred John Malkovitch as Gage."
S_CEM,"SIC 'EM.    	Sic 'em is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
TRIP_,"TRIPE.    	'Tripe' is an informal term meaning 'rubbish, of little value'. Tripe is actually the rubbery lining of say a cow, that in the UK is traditionally eaten with onions."
_TETNA,"MT ETNA.    	Mt. Etna is the largest of three active volcanoes in Italy. Mt Etna is about 2 1/2 times the height of its equally famous sister, Mt. Vesuvius."
IN_,"INO.    	Ino was a mortal queen of Thebes through her marriage to King Athamas. In Greek mythology, Ino became the goddess Leukothea after her death. As Leukothea she provided divine aid to Odysseus, according to Homer's 'Odyssey'. She provided Odysseus with a magical veil that he used to escape from Poseidon."
_LA,"ALA.    	The Cammelia is indeed the state flower of Alabama, but 'the Camellia City' is Sacramento, the state capitol of California."
A_HOS,"ATHOS.    	The ""Three Musketeers"" were Athos, Porthos and Aramis, and their young protégé was D'Artagnan. A musketeer was an infantry soldier who was equipped with a musket. Funnily enough, Alexander Dumas' ""Three Musketeers"" really didn't use their muskets, and were better known for their prowess with their swords."
ODA_,O'DAY.    	Anita O'Day was the stage name of the jazz singer Anita Colton. O'Day had problems with heroin and alcohol addiction leading to erratic behavior and earning her the nickname 'The Jezebel of Jazz'.
TWE_N,"TWEEN.    	I saw Justin Bieber on television the other day for the first time, and boy do I feel old. This heartthrob from Canada was born in 1994(!), and he is recording hit after hit record. Me, I'll stick with the Beatles ..."
_NS,ONS.    	A 'run-on sentence' is one in which two separate clauses are linked without appropriate conjugation. Two examples would be:
J_M,JAM.    	That would be in basketball.
_IL,"S'IL.    	RSVP stands for ""Répondez s'il vous plaît"", which is French for ""please, answer""."
R_M,"RAM.    	Chrysler put ram hood ornaments on all of its Dodge branded vehicles starting in 1933. When the first line of Dodge trucks and vans were introduced in 1981, they were named 'Rams' in honor of that hood ornament."
A_SEA,"AT SEA.    	Clever, clever wording! A junk is a sailing boat often seen in Chinese waters today, and as far back as 200 BC. The English word ""junk"" is just a phonetic spelling of a Chinese word for ""ship"", although it would more correctly be pronounced ""joong""."
STEV_,STEVE.    	(58A. See 49-Down : ALLEN)
HI_I,"HI-FI.    	Hi-fi systems were introduced in the late forties, audio equipment designed to give a much higher quality reproduction of sound than cheaper systems available up to that point. 'Hi-fi' of course stands for 'high fidelity'."
ROA_,"ROAR.    	The successful singer Helen Reddy was born in Melbourne, Australia. In 1966, Reddy won a talent contest, and earned herself a trip to New York City for an audition. The 25-year-old single mother decided to stay in the US, and a few years later was able to launch a successful singing career. Her hit song 'I Am Woman', released in 1972, was the first recording by an Australian artist to reach #1 in the US charts."
_HAW,"SHAW.    	George Bernard Shaw was a very successful Irish playwright. Shaw is the only person to have been awarded both a Nobel Prize for Literature, and an Oscar. He won his Oscar for adapting his own play ""Pygmalion"" for the 1938 film of the same name starring Leslie Howard and Wendy Hiller. Most people are more likely to have seen the musical adaptation of ""Pygmalion"" that went by the title ""My Fair Lady""."
BAR_,BART.    	Bart Simpson is the main character in television's 'The Simpsons'. Bart's name was chosen by the writers as it is an anagram of 'brat'.
IN_EL,"INTEL.    	Intel is the world's largest manufacturer of semiconductor chips. The company was founded in 1968, and the name 'Intel' is a derived from INT-egrated EL-ectronics Corporation."
OCEA_,OCEAN.    	The earliest known mention of the name 'Atlantic' for the world's second-largest ocean was in Ancient Greece. The Greeks called the ocean 'the Sea of Atlas' or 'Atlantis thalassa'.
I_PS,"ISPS.    	An Internet Service Provider (ISP) is just what the name indicates, a company that provides its customers with access to the Internet. One way that ISPs differentiate themselves from each other is in the way in which end users are connected to the ISP's network. So, there are cable ISPs, DSL ISPs, dial-up ISPs and satellite ISPs. I'd go with cable if I were you, if it's available in your area ..."
ARAB_,"ARABS.    	After WWI, the League of Nations gave Britain the Mandate for Palestine, in effect administrative responsibility for the region but with the specific responsibility to establish in Palestine a national home for the Jewish people. After WWII, the United Nations proposed partition of Palestine and creation of a Jewish state (leaving an Arab state, and a UN-administered Jerusalem). This was not accepted by all parties, and civil war ensued. Israel declared independence in 1948, and Arab states immediately attacked. The ensuing conflict is often referred to as the 1948 Arab-Israeli War, but is known within Israel as the War of Independence, and within the Arab world as the Catastrophe. The 1948 War ended with armistice agreements in 1949, although as we all know, the conflict persists to this day."
_EONS,PEONS.    	A peon is a lowly worker with no real control over his/her working conditions. The word comes into English from Spanish where it has the same meaning.
MA_X,"MARX.    	Karl Marx was a German philosopher and revolutionary who helped develop the principles of modern communism and socialism. Marx argued that feudal society created internal strife due to class inequalities which led to its destruction and replacement by capitalism. He further argued that the inequalities created in a capitalist society create tensions that will also lead to its self-destruction. His thesis was that the inevitable replacement of capitalism was a classless (and stateless) society, which he called pure communism."
NA_IA,"NADIA.    	Nadia Comaneci won three golds in the 1976 Summer Olympics, and was the first gymnast to be awarded a perfect score of a ten in the Olympics. She published a book ""Letters to a Young Gymnast"" in 2003, and now lives in the United States."
SPEED_,"SPEEDO.    	Speedo brand swim-wear was first produced in Australia in 1928, by a hosiery company that wanted to diversify. The brand name was chosen after a slogan competition among employees was won by ""Speed on in your Speedos"". It was a long time ago, I guess ..."
_ALE,"TALE.    	Geoffrey Chaucer was an English author. He is often referred to as the father of English literature because he established vernacular English as a legitimate language for artistic works, as up to that point authors used French or Latin. Chaucer's most famous work is actually unfinished, a collection of stories called ""The Canterbury Tales"", all written at the end of the 14th century."
ADLA_,"ADLAI.    	Adlai Stevenson (AES) ran for president unsuccessfully against Dwight D. Eisenhower in 1952 and in 1956. Some years after his second defeat, Stevenson served under President Kennedy as Ambassador to the United Nations. Stevenson was always noted for his eloquence and he had a famous exchange in a UN Security Council meeting during the Cuban missile crisis. Stevenson bluntly demanded that the Soviet representative on the council tell the world if the USSR was installing nuclear weapons in Cuba. His words were ""Don't wait for the translation, answer 'yes' or 'no'!"" followed by ""I am prepared to wait for my answer until Hell freezes over!"""
P_CMAN,"PAC-MAN.    	The Pac-Man arcade game was first released in Japan in 1980, and is as popular today as it ever was. The game features characters that are maneuvered around the screen to eat up dots and earn points. The name comes from the Japanese folk hero ""Paku"", known for his voracious appetite."
BID_T,"BIDET.    	""Bidet"" is of course a French word that we imported into English. In French, the word ""bidet"" originally described a small horse or a pony. What we know as a bidet was so called because one can straddle it like a horse in order to use it."
R_F,"REF.    	A series of colored penalty cards is used by referees and umpires in several sports, most notably in soccer. The cards were first used in the 1970 FIFA World Cup in Mexico, after language difficulties created confusion during the prior competition in 1966. The main cards used are a yellow card indicating a caution, and a red card indicating expulsion from the game."
AL_,ALA.    	Alabama appears first in an alphabetical list of the 50 US states. Wyoming comes in last.
MH_,MHO.    	Conductance (measured in mhos) is the inverse of resistance (measured in ohms). The mho has been replaced by the SI unit called the siemens.
RR_,"RRR.    	The 'three Rs' (RRR) are reading, 'riting and rithmetic."
TR_N,"TRON.    	Released in 1982, Disney's 'Tron' was one of the first mainstream films to make extensive use of computer graphics. The main role in the movie is played by Jeff Bridges. The original spawned a 2010 sequel called 'Tron: Legacy', as well as a 2012 TV show called 'Tron: Uprising'."
AV_LA,"AVILA.    	Major League Baseball player Booby Ávila was a native of Veracruz, Mexico. He won the 1954 American League batting championship, even though he played most of the season with a broken thumb."
_EN,HEN.    	The Blue Hen has been the state bird of Delaware since 1939.
R_ES,"RYES.    	For whiskey to be labelled 'rye' in the US, it has to be distilled from at least 51% rye grain. In Canada however, a drink called rye whiskey sometimes contains no rye at all."
_YDE,"HYDE.    	Hyde Park is a Chicago neighborhood located on the shores of Lake Michigan. The area is home to the University of Chicago, and is also home to President Barack Obama when he is away from Washington."
WI_,"WIE.    	Michelle Wie is an American golfer on the LPGA Tour. She began playing golf at the age of four, and was the youngest player ever to qualify for an LPGA tour event. She turned pro just before her 16th birthday."
AL_SKA,"ALASKA.    	The International Date Line (IDL) is an imaginary line that runs north-south along the 180-degree line of latitude (with a few deviations). The IDL is located on the opposite side of the Earth to the Prime Meridian, which runs through Greenwich, England. A person flying non-stop around the world from east to west loses one hour each time he or she crosses a time zone. When that person arrives back at his or her starting point, she would have lost 24 hours in total, a full day. So, the traveller has to compensate by moving the calendar forward 24 hours, by adding a day. By convention, this change of date is made when crossing the IDL."
_OON,"LOON.    	The slang term ""loon"" for a deranged person probably comes from the loud cry of the bird, the loon, but is also probably influenced by the word ""lunatic""."
N_RMA,"NORMA.    	""Norma"" is an opera written by Vincenzo Bellini, first performed in 1831. One aria from the work is ""Casta diva"", which is one of the most popular arias of the 1800s."
LYR_,"LYRE.    	In Greek mythology, the muses are the goddesses who inspire the creation of literature and the arts. The number of muses is a subject of debate at times, but the most popular view is that there are nine:"
S_E,"SEE.    	The past tense of 'see' is 'saw', and the pair can make 'seesaw'."
AC_,"ACT.    	The term 'Thespian' is used for an actor. It derives from the name of the Greek poet of the 6th century Thespis, who was known as the father of Greek tragedy."
S_RS,"SLRS.    	SLR stands for ""single lens reflex"". Usually cameras with changeable lenses are the SLR type. The main feature of an SLR is that a mirror reflects the image seen through the lens out through the viewfinder, so that the photographer sees exactly what the lens sees. The mirror moves out of the way as the picture is taken, and the image that comes through the lens falls onto unexposed film, or nowadays onto a digital sensor."
PES_TA,"PESETA.    	The peseta is the former currency of Spain, replaced by the euro in 2002."
NU_,"NUS.    	The Latin equivalent of the Greek letter nu is ""N"". An uppercase nu looks just like the Latin capital N, however, the lowercase nu looks like our lowercase ""v"". Very confusing ..."
AJ_,"AJA.    	Steely Dan's heyday was in the seventies when they toured for a couple of years, although the group mainly focused on studio work. The band was formed in 1972 and broke up in 1981. The core of the band reunited in 1993 and they are still going strong today."
_REF,"TREF.    	According to Jewish dietary law, kosher food is ""fit"" to eat, and food that is not kosher is called treif (or tref)."
O_O,"OVO.    	A lacto-ovo vegetarian is someone who does not consume meat or fish, but does eat eggs (ove) and dairy (lacto) products."
_ERE,"PERE.    	In French, the 'père' of the 'mariée' might pay for the wedding."
ORAL_,"ORAL-B.    	The Oral-B toothbrush was introduced to the world in 1950, designed by a California periodontist. The first ""model"" was the Oral-B 60, a name given to reflect the 60 tufts in the brush. In 1969, the Oral-B was the first toothbrush to get to the moon as it was the toothbrush of choice for the crew of the Apollo 11 spacecraft."
A_K,A-OK.    	All systems OK (A-OK)
_RH,HRH.    	His or Her Royal Highness (HRH).
"_RIE,PA","ERIE, PA.    	Gannon University in Erie, PA is a private, Catholic school, founded in 1925, It is named after the then Bishop of Erie, John Mark Gannon, the man most influential in the establishment of the university."
TI_E,"TILE.    	The game of Scrabble has been around since 1938, the invention of an architect named Alfred Moshoer Butts. Butts determined the optimum number of tiles of each letter, and the appropriate point value of each tile, by analyzing letter distributions in publications like ""The New York Times"" ..."
WIK_,"WIKI.    	A wiki is a website in which users are allowed to create and edit content themselves. The term 'wiki' comes from the name of the first such site, introduced in 1994 and called WikiWikiWeb. 'Wiki' is a Hawaiian word for 'quick', and is used because comprehensive content is created very quickly a there are so many collaborators contributing to the site."
O_ER,ONER.    	Something that is a dandy or a oner is remarkable or outstanding.
ALUMN_,"ALUMNA.    	An ""alumnus"" (plural ... alumni) is a graduate or former student of a school or college. The female form is ""alumna"" (plural ... alumnae). The term comes into English from Latin, in which alumnus means foster-son or pupil."
_AUNA,"SAUNA.    	As my Finnish-American wife will tell you, ""sauna"" is a Finnish word, and is pronounced ""sow-nah"" (with ""sow"" as in the female pig)."
TO_RE,"TORRE.    	As manager, Joe Torre was part of four World Series wins, all of them with the New York Yankees. Torre is an Italian American, born in Brooklyn, New York. During the run up (pun intended!) to the 2006 Winter Olympics in Turin, Torre carried the Olympic flame part of the way through Florence, handing it over to the next runner at the famous Ponte Vecchio. I'd say that was quite a thrill ..."
C_AS,CPAS.    	Certified Public Accountants.
