"Some ""CSI"" figs.   		3 letters",DAS.    	District Attorney (DA)
Abba of Israel.   		4 letters,"EBAN.    	Abba Eban was an Israeli diplomat and politician, born Aubrey Solomon Meir Eban in Cape Town. While working at the United Nations after WWII he changed his name to ""Abba"", the Hebrew word for ""father"", apparently as he could see himself as the father of the nation of Israel."
"""Cómo ___?"".   		4 letters","ESTA.    	""Come esta usted?"" is the more formal way of asking, ""how are you?"" in Spanish."
"Texter's ""However ..."".   		4 letters",OTOH.    	On the other hand (OTOH)
Barker in a basket.   		4 letters,"TOTO.    	Toto is Dorothy's dog in the film 'The Wizard of Oz'. Toto was played by a dog called Terry, but Terry's name was soon changed to Toto in real life, due to the success of the film."
Island west of Maui.   		5 letters,"LANAI.    	Lanai is the sixth largest of the Hawaiian Islands. Lanai was first spotted by Europeans just a few days after Captain Cook was killed on the Big Island of Hawaii in 1779. In 1922, the Hawaiian Pineapple Company bought the whole island of Lanai and turned most of it into the world's largest pineapple plantation. Since then, Lanai has been known as ""The Pineapple Island""."
"Heart of a computer, for short.   		3 letters","CPU.    	The Central Processing Unit (CPU) is the main component on the ""motherboard"" of a computer. The CPU is the part of the computer that carries out most of the functions required by a program. Nowadays you can get CPUs in everything from cars to telephones."
U.S.   		4 letters,"NOME.    	Nome, Alaska has over 3,500 residents, the majority of whom are Native American. The next largest ethnic group in Nome is the white population."
Rose of rock.   		3 letters,"AXL.    	Axl Rose is the lead vocalist of the American rock band, Guns N' Roses."
Mexican coin.   		4 letters,"PESO.    	The coin called a 'peso' is used in many Spanish-speaking countries around the world. The coin originated in Spain where the word 'peso' means 'weight'. The original peso was what we know in English as a 'piece of eight', a silver coin of a specific weight that had a nominal value of eight 'reales'."
Tulsa sch.   		3 letters,"ORU.    	Oral Roberts University (ORU) is a private school in Tulsa, Oklahoma. ORU was founded relatively recently, in 1963 by the late televangelist Oral Roberts. The campus includes a Prayer Tower at its center, a spectacular glass and steel structure designed by architect Frank Wallace. The tower includes an observation deck, and is a popular tourist attraction."
"Umbrella holder, maybe.   		7 letters","MAI TAI.    	The Mai Tai cocktail is strongly associated with the Polynesian islands, but the drink was supposedly invented in 1944 in Trader Vic's restaurant in Oakland, California. One recipe is 6 parts white rum, 3 parts orange curaçao, 3 parts Orgeat syrup, 1 part rock candy syrup, 2 parts fresh lime juice, all mixed with ice and then a float added of 6 parts dark rum."
It flows through Gainsborough.   		5 letters,"TRENT.    	Gainsborough is town on the River Trent in Lincolnshire, England. The alleged story about King Canute demonstrating his lack of divine power by being unable to turn back the tide, that was supposed to have taken place in the tidal waters of the River Trent at Gainsborough."
Former Laker Lamar.   		4 letters,"ODOM.    	Lamar Odom is a basketball forward in NBA. Apparently Odom loves candy, and that's how he earned his nickname, 'The Candy Man'. Odom is married to Khloé Kardashian, and the couple's wedding featured on an episode of the reality show 'Keeping Up with the Kardashians'. Not a show that I have ever seen ..."
Chinese calendar figure.   		3 letters,RAT.    	The 12-year cycle in the Chinese Calendar uses the following animals in order:
Spanish bear.   		3 letters,"OSO.    	In Spanish, ""osa"" is a female bear, and ""oso"" is a male."
Eastern nurse.   		4 letters,"AMAH.    	""Amah"" is an interesting word in that we associate it so much with Asian culture and yet it actually comes from the Portuguese ""ama"" meaning ""nurse"". Ama was imported into English in the days of the British Raj in India when a wet-nurse became known as an ""amah""."
Asian nurse.   		4 letters,"AMAH.    	""Amah"" is an interesting word in that we associate it so much with Asian culture, and yet it actually comes from the Portuguese ""ama"" meaning ""nurse"". Ama was imported into English in the days of the British Raj in India when it was used to describe a wet-nurse, and amah."
Honor for Harry Potter's creator: Abbr..   		3 letters,"OBE.    	The Most Excellent Order of the British Empire is an order of chivalry in the UK that was established in 1917 by King George V. There are five classes within the order, which are in descending seniority:"
"Painter portrayed by Adrien Brody in ""Midnight in Paris"".   		4 letters","DALI.    	The 2011 Woody Allen movie called 'Midnight in Paris' is a real gem in my opinion. I've never liked Woody Allen films, to be honest, mainly because I'm not a fan of Woody Allen as an actor. 'Midnight in Paris' is very much a Woody Allen script, with Owen Wilson playing the role that Allen would usually reserve for himself. Wilson plays a much better Woody Allen! Highly recommended ..."
Fleet.   		6 letters,"ARMADA.    	The most famous Armada was the Spanish fleet that sailed against England in order to overthrow Queen Elizabeth I in 1588. It failed in its mission, partly due to bad weather encountered en route. Ironically, the English mounted a similar naval attack against Spain the following year, and it failed as well."
URL start.   		4 letters,"HTTP.    	""http"" are the first letters in most Internet links. 'http' stands for HyperText Transfer Protocol."
Biblical matriarch who lived to 127.   		5 letters,"SARAH.    	In the Hebrew Bible and the Quaran, Sarah is the wife of Abraham and the mother of Isaac."
Penpoint.   		3 letters,"NIB.    	""Nib"" is a Scottish variant of the Old English word ""neb"", with both meaning the beak of a bird. This usage of ""nib"" as a beak dates back to the 14th century, with ""nib"" meaning the tip of a pin or quill coming a little later, in the early 1600s."
"Many hand-helds, for short.   		4 letters","PDAS.    	A device like perhaps an iPhone, Droid, or Treo can be termed a Personal Digital Assistant (PDA)."
Home to Mongolian nomads.   		4 letters,"GOBI.    	The large desert in Asia called the Gobi lies in northern China and southern Mongolia. The Gobi desert is growing at an alarming rate, particularly towards the south. This 'desertification' is caused by increased human activities, and the Chinese government is actively trying to halt the desert's progress by planting great swaths of new forests, the so called ""Green Wall of China""."
Castor ___ of the comics.   		3 letters,"OYL.    	""Thimble Theater"" was the precursor comic strip to the famous ""Popeye"" drawn by E. C. Seger. Before Popeye came into the story, the brother and sister characters Castor Oyl and Olive Oyl were the main protagonists. And then, along comes a sailor ..."
"""A Little Bitty Tear"" singer, 1962.   		4 letters","IVES.    	As well as being an actor, Burl Ives was a folk singer, which was his original calling. In Hollywood he had a distressing experience with the House Unamerican Activities Committee and avoided being blacklisted by cooperating to some level with McCarthy and his team. This cooperation created a rift between him and Pete Seeger in particular, a fellow singer whom he ""discussed"" with the committee."
"Candy Crush Saga, for one.   		3 letters","APP.    	Candy Crush Saga' is an 'app' version of the browser video game 'Candy Crush'. Apparently it is very, very popular. Not with me ..."
Political pundit Perino.   		4 letters,"DANA.    	Dana Perino served as the White House Press Secretary from 2007 until 2009, working in the administration of President George W. Bush. Perino was the second woman to work as White House Press Secretary, with Dee Dee Myers having paved the way during the Clinton Administration."
Flair of pro wrestling.   		3 letters,"RIC.    	The wrestler Ric Flair's real name if Richard Fliehr. Perhaps following the lead of his compatriot Jesse Ventura, Flair explored the possibility of running for governor of the state of North Carolina. Dearie, dearie me ..."
Pen with a cap.   		3 letters,"BIC.    	Societe Bic is a French company, based in Clichy in France. The first product the company produced more than fifty years ago was the Bic Crystal, what we now call the Bic pen."
Eastern nurse.   		4 letters,"AMAH.    	""Amah"" is an interesting word in that we associate it so much with Asian culture and yet it actually comes from the Portuguese ""ama"" meaning ""nurse"". Ama was imported into English in the days of the British Raj in India when a wet-nurse became known as an amah."
Mandela's org.   		3 letters,"ANC.    	The African National Congress (ANC) started out as the South African Native National Congress in 1912 with the goal of improving the lot of Black South Africans. After years of turmoil, the ANC came to power in the first open election in 1964."
Editors' marks.   		5 letters,"STETS.    	Stet is the Latin word meaning ""let it stand"". In editorial work, the typesetter is instructed to disregard any change previously marked by writing the word ""stet"" beside the change, and then underscoring the change with a line of dots (or dashes)."
Sea-___ Airport.   		3 letters,TAC.    	Sea-Tac Airport is more fully known as Seattle-Tacoma International Airport. It is the main hub for Alaska Airlines.
Japanese masked drama.   		3 letters,"NOH.    	Noh is a form of musical drama in Japan that has been around since the 14th century. Many of the Noh performers are masked, allowing all the roles to be played by men, both male and female parts."
Locale of the Città del Vaticano.   		4 letters,"ROMA.    	In Italian, Vatican City (Città del Vaticano) is located in Rome (Roma)."
Apology opener.   		3 letters,"MEA.    	Many Roman Catholics are very familiar with the Latin phrase ""mea culpa"" meaning ""my fault"", as it is used in the Latin Mass. The additional term ""mea maxima culpa"" translates as ""my most grievous fault""."
"""Puttin' on the ___"".   		4 letters","RITZ.    	As well as being the title to a 2009 biography of Fred Astaire, 'Puttin' on the Ritz' is a song written by Irving Berlin in 1929 for the musical film of the same name. Back in the twenties, the expression 'puttin' on the Ritz' was used to mean 'dressing very fashionably', well enough for a visit to the Ritz Hotel ..."
Barneys rival.   		4 letters,"SAKS.    	Saks Fifth Avenue is a high-end specialty store that competes with the likes of Bloomingdale's and Nieman Marcus. The original Saks & Company business was founded by Andrew Saks in 1867, and the first Saks Fifth Avenue store was opened on Fifth Avenue in New York City in 1924."
1960s chess champ Mikhail.   		3 letters,"TAL.    	Mikhail Tal was truly a chess legend. Tal holds the record for the longest unbeaten streak in competition chess. And the second longest winning streak, well, that was by Tal as well."
First name in linguistics.   		4 letters,NOAM.    	Noam Chomsky is a professor of linguistics at MIT. He is known as one of the fathers of modern linguistics.
Anything below 7 on the pH scale.   		4 letters,"ACID.    	As we all recall from chemistry class, a pH of 7 is considered neutral. Anything less than 7 is an acid, and anything above 7 is a base."
Old French narrative poem.   		3 letters,"LAI.    	In the mid-13th century a 'lay' was a short song. 'Lay' evolved from the Old French word ""lai"" meaning ""song, lyric""."
Feathered 500-pounder of old.   		3 letters,"MOA.    	Moas were flightless birds native to New Zealand that are now extinct. The fate of the Moa is a great example of the detrimental effect that humans can have on animal populations. The Maoris arrived in New Zealand about 1300 AD, upsetting the balance of the ecosystem. The Moa were hunted to extinction within 200 years, which had the knock-on effect of killing off the Haast's Eagle, the Moa's only predator prior to the arrival of man."
Cowboy Rogers.   		3 letters,"ROY.    	Cowboy actor and singer Roy Rogers' real name was Leonard Franklin Slye, and his nickname was ""King of the Cowboys"". Roy Rogers married Dale Evans in 1947. Evans' nickname was ""Queen of the West""."
1984 award for Elmore Leonard.   		5 letters,EDGAR.    	The Edgar Allan Poe Awards (the Edgars) are presented annually by the Mystery Writers of America.
"God whose name sounds like a word meaning ""understated"".   		4 letters",LOKI.    	'Loki' sounds like 'low-key'.
A/C meas.   		3 letters,"BTU.    	In the world of heating, ventilation and air conditioning (HVAC), the power of a heating or cooling unit can be measured in British Thermal Units (BTUs). This dated unit is the amount of energy required to heat a pound of water so that the water's temperature increases by one degree Fahrenheit."
Provincial capital NW of Madrid.   		4 letters,"LEON.    	León is a city in the north of Spain, the capital of the autonomous community of Castile and León."
"Hit musical with the song ""N.Y.C."".   		5 letters","ANNIE.    	The Broadway musical 'Annie' is produced in more than one version. There is an 'Annie Jr.' that has been edited down to a shortened version more suitable for young performers and audiences. An even shorter version that lasts only 30 minutes is called 'Annie KIDS', and is meant for performers still in elementary school."
Exercise in which you might sit cross-legged.   		4 letters,"YOGA.    	""Asana"" is a Sanskrit word literally meaning ""sitting down"". The asanas are the poses that a practitioner of yoga assumes. The most famous is the lotus position, the cross-legged pose called ""padmasana""."
Golden Globe winner Sommer.   		4 letters,"ELKE.    	Elke Sommer is a German-born actress, who was at the height of her success on the silver screen in the sixties, winning a Golden Globe as Most Promising Newcomer Actress for her role opposite Paul Newman in 1964's ""The Prize"". She also sings and has released several albums. Now she focuses on painting, producing artwork that is strongly influenced by Marc Chagall."
Compère.   		5 letters,"EMCEE.    	Emcee: meaning ""MC"", the Master or Mistress of Ceremonies."
An Arnaz.   		4 letters,"DESI.    	Desi Arnaz was of course famous for his turbulent marriage to Lucille Ball. Arnaz was a native of Cuba, and was from a privileged family. His father was Mayor of Santiago and served in the Cuban House of Representatives. However, the family had to flee to Miami after the 1933 revolt led by Batista."
Greek vowels.   		5 letters,"IOTAS.    	Iota is the ninth letter in the Greek alphabet. We use the word ""iota"" to portray something very small as it is the smallest of all Greek letters."
Lusitania sinker.   		6 letters,"U-BOAT.    	U-boat stands for the German ""Unterseeboot"" (undersea boat). Notably, a U-boat sank the RMS Lusitania in 1915, an event that helped propel the US into WWI."
Olive ___ (Popeye's sweetie).   		3 letters,"OYL.    	""Thimble Theater"" was the precursor comic strip to the famous ""Popeye"" drawn by E. C. Seger. Before Popeye came into the story, the characters Castor Oyl and Olive Oyl, brother and sister, were the main protagonists. And then, along comes a sailor ..."
Oriole rival.   		3 letters,"RAY.    	The Tampa Bay Rays is a relatively ""young"" franchise, being formed in 1998. The initial name of the franchise was the Tampa Bay Devil Rays. and while known as the Devil Rays the team finished last in the league in almost every year. The name was changed to the Tampa Bay Rays in 2008, and I am told the Rays started into a streak of winning seasons soon after."
Council city of 1545-63.   		5 letters,"TRENT.    	Trento is a city in northern Italy, famous as the host of the 16th century Council of Trent held by the Roman Catholic Church. This Ecumenical Council meeting was held largely in response to the growing Protestant Reformation. It was the decisions made at the Council of Trent that led to the Counter-Reformation, the revival of the Catholic church over the following 100 years."
Baltic Sea feeder.   		4 letters,"ODER.    	The Oder rises in the Czech Republic, and forms just over a hundred miles of the border between Germany and Poland, before eventually emptying into the Baltic Sea."
Counterpart to 24-Across.   		4 letters,YANG.    	24. Counterpart to 22-Across : YIN
Breakable records.   		3 letters,"LPS.    	Vinyl records designed to play at 33 1/3 rpm were introduced by RCA Victor in 1931, but were discontinued due to quality problems. The first Long Play (LP), 33 1/3 rpm disc was introduced by Columbia Records in 1948, with RCA Victor following up with a 45 rpm ""single"" the following year, in 1949."
Ascap rival.   		3 letters,"BMI.    	ASCAP (the American Society of Composers, Authors and Publishers) collects licence fees for musicians and distributes royalties to composers whose works have been performed. BMI (Broadcast Music Incorporated) provides the same service."
"Pitlik who directed ""Barney Miller"" and ""Mr.   		4 letters","NOAM.    	Noam Pitlik was a television director and actor. He won a Best Director Emmy in 1979, for his work on the sitcom 'Barney Miller'."
Long-billed bird.   		4 letters,"IBIS.    	The ibis is a wading bird that was revered in ancient Egypt. ""Ibis"" is an interesting word grammatically speaking. You can have one ""ibis"" or two ""ibises"", and then again one has a flock of ""ibis"". And if you want to go with the classical plural, instead of two ""ibises"" you would have two ""ibides""!"
Monte Palatino locale.   		4 letters,"ROMA.    	In Italian, Palatine Hill (Monte Palatino) is one of the seven hills of Rome (Roma)."
"42, for Mo.   		5 letters","AT NO.    	The atomic number of an element is also called the proton number, and is the number of protons found in the nucleus of each atom of the element."
Former C.I.A.   		4 letters,"LEON.    	Leon Panetta was Chief of Staff under President Clinton, and took over as CIA Director in 2009. Panetta has long been interested in protecting the world's oceans. As an example, he wrote the legislation that created the Monterey Bay National Marine Sanctuary."
"Apple core, briefly.   		3 letters","CPU.    	The Central Processing Unit (CPU) is the main component on the ""motherboard"" of a computer. The CPU is the part of the computer that carries out most of the functions required by a program. Nowadays you can get CPUs in everything from cars to telephones."
Colorado ski town.   		5 letters,"ASPEN.    	Aspen, Colorado used to be known as Ute City, with the name change taking place in 1880. Like many communities in the area, Aspen was a mining town, and in 1891 and 1892 it was at the center of the highest production of silver in the US. Nowadays of course, it's all about skiing and movie stars."
"""Independent Lens"" network.   		3 letters",PBS.    	'Independent Lens' is a PBS series that introduces new drama and documentary films that have been created by independent filmmakers.
2004 Chevy debut.   		4 letters,"AVEO.    	I think that the Aveo was introduced in 2002, and 2004 as asserted in the clue ..."
First name in '50s TV comedy.   		4 letters,"DESI.    	Desi Arnaz was of course famous for his turbulent marriage to Lucille Ball. Desi Arnaz was a native of Cuba, and from a privileged family. His father was Mayor of Santiago and served in the Cuban House of Representatives. However, the family had to flee to Miami after the 1933 revolution led by Batista."
"Cheers, on TV.   		3 letters","BAR.    	The wonderful sitcom ""Cheers"" ran for eleven seasons on NBC, from 1982 to 1993. ""Cheers"" spawned an equally successful spin-off show called ""Frasier"", which also ran for eleven seasons and often featured guest appearances of characters from the original ""Cheers"". The Cheers bar was styled on the Bull & Finch Pub in Boston (in which I've had a pint of Guinness two!). The owner of the Bill & Finch cleverly agreed to the initial interior and exterior shots, charging only one dollar. Since then he has made millions from selling ""Cheers"" memorabilia, and also from increased trade."
W.C.   		3 letters,"MEN.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when homeowners started installing toilets indoors they often displaced clothes and linens in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure. Another suggestion is that the term comes from the card game of ""lanterloo"" in which the pot was called the loo!"
Skin Bracer alternative.   		4 letters,AFTA.    	Afta is an aftershave in the Mennen range of products that is owned by Colgate-Palmolive.
Two under par.   		5 letters,EAGLE.    	The following terms are routinely used in golf for scores relative to par:
Trash-talking Muppet?.   		5 letters,"OSCAR.    	Oscar the Grouch is the Muppet that lives in a garbage can. Oscar's persona comes from various sources. He is named after Oscar Brand who was one of the board members of the Children's Television Workshop, the backers for Sesame Street as the Muppets were being developed in the sixties. Oscar's personality was inspired by an angry waiter that once served Jim Henson (father of the Muppets). And the voice was modeled on a grumpy New York cab driver encountered one day by Caroll Spinney, the puppeteer who brings Oscar to life."
Hollywood's Sommer.   		4 letters,"ELKE.    	Elke Sommer is a German-born actress who was at the height of her success on the silver screen in the sixties. Sommer won a Golden Globe as Most Promising Newcomer Actress for her role opposite Paul Newman in 1964's ""The Prize"". She also sings and has released several albums. Now Sommer focuses on painting, producing artwork that is strongly influenced by the work of Marc Chagall."
Linguist Chomsky.   		4 letters,NOAM.    	Noam Chomsky is a professor of linguistics at MIT. Chomsky is known as one of the fathers of modern linguistics.
Former Chevy subcompact.   		4 letters,"AVEO.    	The Chevrolet Aveo is a subcompact that has been around since 2002. The Aveo is manufactured by GM Daewoo, the GM subsidiary in South Korea. Although the Aveo name is still used in some markets, here in North America the Aveo has been sold as the Chevrolet Sonic since 2012. By the way, GM Daewoo is the third largest manufacturer of automobiles in South Korea, after Hyundai and Kia."
Sauce made with pine nuts.   		5 letters,"PESTO.    	The term 'pesto' applies to anything made by pounding. What we tend to know as 'pesto' sauce is more properly called 'pesto alla genovese', pesto from Genoa in northern Italy."
Celebrated Bombay-born conductor.   		5 letters,"MEHTA.    	Zubin Mehta is an Indian conductor of western classical music, from Mumbai. Mehta studied music in Vienna, where he made his conducting debut in 1958. In 1961 he was named assistant director of the Los Angeles Philharmonic, creating a fuss with the music director designate of the orchestra, Georg Solti. Solti resigned as a protest, and Mehta took his job. In 1978 Mehta took over as Music Director and Principal Conductor of the New York Philharmonic, eventually becoming the longest holder of that position."
___ culpa.   		3 letters,"MEA.    	Roman Catholics are very familiar with the Latin phrase ""mea culpa"" meaning ""my fault"", as it is used in the Latin Mass. The additional term ""mea maxima culpa"" translates as ""my most grievous fault""."
Tight ends?.   		4 letters,TEES.    	The letter T (tee) can be found at both ends of the word 'tight'.
J.F.K.'s predecessor.   		3 letters,"DDE.    	President Eisenhower was born David Dwight Eisenhower, but by the time he made it to the White House, he was going by the name Dwight D. Eisenhower. Growing up, his family called him Dwight, and when ""Ike"" enrolled in West Point he himself reversed the order of his given names."
Apology start.   		3 letters,"MEA.    	Roman Catholics are very familiar with the Latin phrase ""mea culpa"" meaning ""my fault"", as it is used in the Latin Mass. The additional term ""mea maxima culpa"" translates as ""my most grievous fault""."
Front.   		4 letters,"NOSE.    	I guess for something to be in front of you, it is under your nose."
"Mother of Horus, in Egyptian myth.   		4 letters","ISIS.    	Isis was the ancient Egyptian goddess of fertility, and the mother of Horus. The Egyptian pharaohs were supposedly incarnations of Horus."
Pungent dressing.   		5 letters,"AIOLI.    	To the purist (especially in Provence in the South of France, the 'home' of aioli), aioli is prepared just by grinding garlic with olive oil. However, other ingredients are often added to the mix, particularly egg yolks."
Shirt style.   		4 letters,"POLO.    	René Lacoste was a French tennis player who went into the clothing business, and came up with a more comfortable shirt that players could use. This became known as a 'tennis shirt'. When it was adopted for use in the sport of polo, the shirts also became known as 'polo shirts'. And then the 'golf shirt' is basically the same thing."
Stalin defier.   		4 letters,"TITO.    	Marshal Josip Broz Tito led the Yugoslav resistance during WWII. After the war, Tito led the country as Prime Minister and then President."
TV ET.   		3 letters,"ALF.    	'ALF' is a sitcom that aired in the late eighties. ALF is a hand-puppet, supposedly an alien that crash-landed in a suburban neighborhood. 'ALF' stands for 'alien life form'."
Pro ___.   		4 letters,"RATA.    	""Pro rata"" is a Latin phrase meaning ""in proportion""."
Prez before J.F.K.   		3 letters,"DDE.    	President Eisenhower was born David Dwight Eisenhower, but by the time he made it to the White House, he was going by the name Dwight D. Eisenhower. Growing up, his family called him Dwight, and when ""Ike"" enrolled in West Point he himself reversed the order of his given names."
Captain's record.   		3 letters,"LOG.    	The word ""logbook"" dates back to the days when the captain kept a daily record of the ship's speed, progress etc. using a ""log"". A log was a wooden float on a knotted line that was dropped overboard to measure the vessel's speed."
Washington's Sea-___ Airport.   		3 letters,TAC.    	Sea-Tac Airport is more fully known as Seattle-Tacoma International Airport. Sea-Tac is the main hub for Alaska Airlines.
Commercial prefix with -flot.   		5 letters,"AERO-.    	Aeroflot is the flag carrier of the Russian Federation. Aeroflot is one of the oldest airlines in the world and started operations as the Russian Society of Voluntary Air Fleet in 1923. Back in the days of the Soviet Union, Aeroflot was also the world's largest airline, an honor that now goes to Delta Airlines. I flew Aeroflot into Moscow one time. Quite memorable ..."
Miler Sebastian.   		3 letters,"COE.    	Sebastian Coe is a retired middle distance runner from the UK who won four Olympic medals including golds in the 1500m in 1980 and 1984. After retiring from athletics he went into politics and served as a Member of Parliament from 1992 to 1997. He headed up London's successful bid to host the 2012 Summer Olympic Games, so he has to be getting pretty excited as that event is coming up pretty soon."
Morse dashes.   		4 letters,"TEES.    	A 'dah' or ""dash"" is Morse code for the letter 'T'."
Host.   		5 letters,"EMCEE.    	""Emcee"" come from ""MC"", an abbreviation for the Master or Mistress of Ceremonies."
Fraternity characters.   		4 letters,PSIS.    	The Greek letter psi is the one that looks a bit like a trident.
Rock's ___ Rose.   		3 letters,"AXL.    	Axl Rose is the lead vocalist of the American rock band, Guns N' Roses."
Area crossed by Marco Polo.   		4 letters,"GOBI.    	Marco Polo was a merchant from Venice and a famous traveler throughout Asia. He journeyed with his father and uncle on an epic tour of Central Asia and China that lasted 24 years. Marco tends to be the member of the party we remember today though, because it was he who documented their travels in his book ""Il Milione""."
Dwarf planet discovered in 2005.   		4 letters,"ERIS.    	Eris is the largest known dwarf planet in our solar system. It is also the ninth largest body orbiting the sun, a fact that helped relegate Pluto (the tenth largest body) from its status of planet in 2006. Eris was discovered in 2005."
Fraternity characters.   		4 letters,PSIS.    	The Greek letter psi is the one that looks a bit like a trident or a pitchfork.
___ de la Société.   		4 letters,"ILES.    	The Society Islands (in French, 'Îles de la Société') are a group of islands in the South Pacific that are part of French Polynesia. It is thought that the islands were named by English explorer Captain James Cook in honor of the Royal Society. The Society Islands are divided into two groups: The Windward Islands (the most famous of which is Tahiti) and the Leeward Islands (which includes the island of Bora Bora)."
Many a noble element.   		3 letters,"GAS.    	The noble gases are those elements over on the extreme right of the Periodic Table. Because of their ""full"" complement of electrons, noble gases are very unreactive. The noble gases are Helium, Neon, Argon, Krypton and Xenon."
Roping event.   		5 letters,"RODEO.    	""Rodeo' is a Spanish word, which is usually translated as 'round up'."
Asian nurse.   		4 letters,"AMAH.    	""Amah"" is an interesting word, one that we associate so much with Asian culture and yet it actually comes from the Portuguese ""ama"" meaning ""nurse"". Ama was imported into English in the days of the British Raj in India when a wet-nurse became known as an ""amah""."
Actress Elizabeth with older twins.   		5 letters,"OLSEN.    	Elizabeth Olsen is an actress and singer, and the younger sister of the famed Olsen twins Mary-Kate and Ashley."
Candy company whose first flavor was Pfefferminz.   		3 letters,"PEZ.    	PEZ is an Austrian brand name for a particular candy sold in a mechanical dispenser. The name PEZ comes from the first, middle and last letters of ""Pfefferminz"", the German word for ""peppermint""."
Witty Mort.   		4 letters,"SAHL.    	Mort Sahl is a Canadian-born actor and comedian who moved to the US with his family when he was a child. Sahl became friends with John F. Kennedy. When Kennedy became president, Sahl wrote a lot of jokes for the President's speeches, although he also told a lot of Kennedy jokes in his acts. After the President was assassinated in 1963, Sahl was intensely interested in finding out who was behind the crime and even got himself deputized as a member of one of the investigating teams. He was very outspoken against the results of the Warren Commission report on the assassination, and soon found himself out of favor with the public. It took a few years for him to make his comeback, but come back he did."
N.B.A.   		4 letters,CHET.    	Chet Walker is a former basketball player who played with the Syracuse Nationals (which team became the Philadelphia 76ers) and the Chicago Bulls.
Puppet of old TV.   		5 letters,"OLLIE.    	'Kukla, Fran and Ollie' is an early television show that aired from 1947-1957. Kukla and Ollie (Oliver J. Dragon) were puppets and Fran was Fran Allison, usually the only human on the show."
Documentarian Burns.   		3 letters,"RIC.    	Ric Burns is a documentary filmmaker, the younger brother of Ken Burns (who was behind ""The Civil War"", ""Baseball"" and ""The War"")."
"The Golf Channel co-founder, to fans.   		5 letters","ARNIE.    	Arnold Palmer is one of the greats of the world of golf. Palmer is very popular with many fans of the game, and his followers are usually referred to as 'Arnie's Army'."
"""Fargo"" director.   		4 letters","COEN.    	""Fargo"" is one of my favorite films of all time, and stars perhaps my favorite actress, Frances McDormand. Fargo was directed by the Coen brothers, Joel and Ethan. Frances McDormand is Joel's wife."
Singer India.___.   		4 letters,"ARIE.    	India.Arie is an American soul and R&B singer, born India Arie Simpson."
Suffix with Gator or Power.   		4 letters,"-ADE.    	Gatorade was developed at the University of Florida by a team of researchers at the request of the school's football team. And so, Gatorade is named after the Gators football team."
"""Lean Forward"" sloganeer.   		5 letters","MSNBC.    	MSNBC was founded in 1996 as a partnership between Microsoft (""MS"") and General Electric's ""NBC"" broadcasting operation. Microsoft only owns a minority share in MSNBC today, but is still an equal partner in the separate company that runs msnbc.com."
Enzyme suffix.   		4 letters,"-ASE.    	Enzymes are basically catalysts, chemicals that act to increase the rate of a particular chemical reaction. For example, starches will break down into sugars over time, especially under the right conditions. However, in the presence of the enzyme amylase (found in saliva) this production of sugar happens very, very quickly."
Cliffside home.   		5 letters,"AERIE.    	An aerie is the nest of an eagle, and is also known as an 'eyrie'."
Native Canadian.   		4 letters,CREE.    	The Cree are one of the largest groups of Native Americans on the continent. In the US most of the Cree nation live in Montana on a reservation shared with the Ojibwe people. In Canada most of the Cree live in Manitoba.
Tulipe relative.   		3 letters,"LIS.    	In French, a 'tulipe' is a tulip, and a 'lis' is a lily."
"Mmes., to Don Juan.   		4 letters","SRAS.    	Don Juan is a flighty character who has been featured by a number of authors, poets and composers, including Molière, Byron, and Mozart. In the underlying legend, Don Juan ends up talking to the statue of the dead father of one of his conquests. Don Juan dines with the ghost of the dead man and when shaking the hand of the ghost he is dragged away to hell. We now use the term 'Don Juan' to describe any womanizer or ladies' man."
Fleur-de-___.   		3 letters,"LIS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
Easy-to-chew food.   		3 letters,"PAP.    	One meaning of ""pap"" is soft or semi-liquid food for babies and small children. ""Pap"" comes into English via French, from the Latin word used by children for ""food"". In the 1500s, ""pap"" also came to mean ""an oversimplified"" idea. This gives us a usage that's common today, describing literature or perhaps TV programming that lacks real value or substance. Hands up those who think there's a lot of pap out there, especially on television ..."
First name in the 2012 Republican primary.   		4 letters,"NEWT.    	Newt ... what a name! Newt Gingrich was born Newton Leroy McPherson in 1943, in Harrisburg, Pennsylvania. Newt's mother remarried when he was very young and his new father, Robert Gingrich, adopted Newt giving him the Gingrich name."
Linguist Chomsky.   		4 letters,NOAM.    	Noam Chomsky is a professor of linguistics at MIT. Chomsky is known as one of the fathers of modern linguistics.
"Blue Moon ___, three-time World Series winner for the 1970s A's.   		4 letters","ODOM.    	Blue Moon Odom's real name was Johnny Lee Odom, and he was a pitcher for the Oakland Athletics. With the A's, Odom won three consecutive World Series, from 1972 to 1974."
Staple of a vegan diet.   		4 letters,"TOFU.    	Tofu is another name for bean curd, and is a Japanese word meaning just that ... bean that has 'curdled'. Tofu is produced by coagulating soy milk, using either salt or something acidic. Once the protein has coagulated, the curds are pressed into the familiar blocks. Personally I love tofu, but my wife, she absolutely hates it ..."
