_MC,"GMC.    	GMC is a division of General Motors (GM) established in 1901 that started out as ""GMC Truck""."
_OE,"COE.    	Sebastian Coe is a retired middle distance runner from the UK who won four Olympic medals including golds in the 1500m in 1980 and 1984. After retiring from athletics, Coe went into politics and served as a Member of Parliament from 1992 to 1997. He headed up London's successful bid to host the 2012 Summer Olympic Games."
MIE_,"MIEN.    	One's mien is one's bearing or manner. ""Mien"" shares the same etymological root as our word ""demeanor""."
ERES_U,"ERES TU.    	We have a big event across Europe every year called the Eurovision Song Contest. Each nation enters one song in competition with each other, and then voters across the whole continent decide on the winner. That's how ABBA got their big break when they won in 1974 with ""Waterloo"". In 1972, Spain's entry was ""Eres tu"" (the Spanish for ""You Are"") sung by the band Mocedades. ""Eres tu"" came second in the competition, but should have won in my humble opinion."
SH_Q,"SHAQ.    	Shaquille O'Neal is one of the heaviest players ever to have played in the NBA (weighing in at around 325 pounds). Yep, he's a big guy, at 7 foot 1 inch. He is also the oldest player active in the NBA today, at 38 years old."
OSCA_S,"OSCARS.    	Walt Disney was awarded a record 26 Oscars in his lifetime, winning 22 and receiving 4 honorary awards. He also holds the record for the number of Oscars won in the same year, taking away a total of four in the 1954 awards ceremony."
_EG,"EEG.    	An electroencephalogram is a record of electrical activity caused by the firing of neurons within the brain. The EEG is used to diagnose epilepsy, as well as to determine if a patient is ""brain dead""."
CH_T,"CHET.    	The famous jazz trumpeter Chet Baker was noted for his heroin addiction, a problem that nearly put an end to his performing career. He managed a comeback in the late seventies, mainly appearing and recording in Europe. But he never kicked the drug habit and was found dead one day after falling from his hotel room window in Amsterdam."
O_YX,"ORYX.    	The oryx is a large antelope species, mainly found in Africa but also in the Arabian Peninsula. One species was introduced by man into the White Sands Missile Range. As a result, the oryx is now considered an invasive species in the neighboring White Sands National Monument."
AM_,"AMC.    	Better Call Saul' is a spinoff drama series from the hit show 'Breaking Bad'. The main character is small-time lawyer Saul Goodman, played by Bob Odenkirk, who featured in the original series. 'Better Call Saul' is set six years before Goodman makes an appearance in the 'Breaking Bad' storyline. The lawyer's real name is James Morgan McGill, and his pseudonym is a play on the words 'S'all good, man!'"
MA_IA,"MARIA.    	Leonard Bernstein's musical ""West Side Story"" is of course based on William Shakespeare's ""Romeo and Juliet"". The musical is set in New York City and features two rival gangs: the Sharks from Puerto Rico and the Jets with working-class, Caucasian roots. Tony from the Jets falls in love with Maria from the Sharks. All this parallels Romeo from the House of Montague falling for Juliet from the House of Capulet in the Italian city of Verona."
A_BS,APBS.    	An All Points Bulletin (APB) is a broadcast from one US law enforcement agency to another.
_UE,"TUE.    	The Wall Street Crash of 1929 signalled the end of the Roaring Twenties and the start of the Great Depression. That same year, 23.000 people committed suicide in the US, the highest number ever."
BE_ET,"BERET.    	The US Army Special Forces are known as the Green Berets because they wear ... green berets. The Green Beret is also worn by the Royal Marines of the British Army. When US Army Rangers and OSS operatives were trained by the Royal Marines in Scotland during WWII, graduates of the gruelling training program were awarded green berets by their British instructors. The US soldiers, although proud of their new headgear, were not allowed to wear it as part of their uniform and had to wait until 1961 when President Kennedy authorized the green beret for exclusive use by US Special Forces."
SIN_W,"SINEW.    	Sinew is another name for a tendon. Tendons are bands of collagen that connect muscle to bone. Tendons are similar to ligaments and fasciae, which are also connective tissue made out of collagen, but ligaments join bone to bone, and fasciae connect muscle to muscle. We also use the term 'sinew' to mean muscular power."
_IE,"HIE.    	""To hie"" is to move quickly, to bolt."
_HEO,"THEO.    	Malcolm-Jamal Warner was the child actor who played Theo Huxtable on 'The Cosby Show'. You can see the grown-up Warner today, playing Dr. Alex Reed on the BET sitcom 'Reed Between the Lines'."
_OL,COL.    	Colonel Mustard is one of the suspects in the board game 'Clue'.
EDGA_,EDGAR.    	The Edgar Allan Poe Awards (the Edgars) are presented annually by the Mystery Writers of America.
DI_C,"DISC.    	The Frisbee concept started back in 1938 with a couple who had an upturned cake pan that they were tossing between each other on Santa Monica Beach in California. They were offered 25 cents for the pan on the spot, and as pans could be bought for 5 cents, the pair figured there was a living to be earned."
DD_,DDS.    	Doctor of Dental Surgery (DDS)
CLAR_,"CLARA.    	If you ever get the chance to see it, I highly recommend the movie 1947 ""Song of Love"", a biopic about the lives of Robert Schumann and his extraordinary wife, Clara Wieck. Schumann is played by Paul Henreid (of ""Casablanca"" fame) and Clara is played wonderfully by Katherine Hepburn. Clara was an concert pianist, and as Katherine Hepburn was an accomplished pianist herself, you see Hepburn actually playing some challenging pieces herself at the keyboard (although the soundtrack does feature a professional player)."
DD_,DDS.    	Doctor of Dental Surgery (DDS)
SYN_,"SYNE.    	The song 'Auld Lang Syne' is a staple at New Year's Eve (well, actually in the opening minutes of New Year's Day). The words were written by Scottish poet Robbie Burns. The literal translation of 'Auld Lang Syne' is 'old long since', but is better translated as 'old times'. The sentiment of the song is 'for old time's sake'."
NO_SG,"NO MSG.    	Monosodium glutamate is the sodium salt of a naturally occurring (and non-essential) amino acid, glutamic acid. It is used widely as a flavor enhancer, particularly in many Asian cuisines. Whether or not it is harmful seems to be still under debate. My vote is yes ... it's not good for you. something that comes out of test tube shouldn't be in food."
A_PCA,"ASPCA.    	Unlike in most developed countries, there is no ""umbrella"" organization in the US with the goal of preventing cruelty to animals. Instead there are independent organizations set up all over the nation using the name SPCA. Having said that, there is an organization called the American Society for the Prevention of Cruelty to Animals (ASPCA) that was originally intended to operate across the country, but really it now focuses its efforts in New York City."
_RIEL,"ARIEL.    	William Shakespeare's ""The Tempest"" tells the story of Prospero, who was removed from the throne of Milan and banished to a deserted island along with his daughter Miranda. Prospero learns sorcery while cast away, and eventually conjures up a tempest that drives those who usurped his throne onto the island's shores (in particular his own brother, Antonio). On the island, Prospero is eventually successful in revealing Antonio's lowly nature."
T_E,"TUE.    	Election Day was chosen by Congress back in 1845. The month of November was selected as it suited an agricultural society, following the fall harvest and yet not too far into winter, which could make travel difficult. Tuesday was chosen so that people had time to travel to polling stations. Monday elections might have meant that some would have to start out on Sunday, and that could interfere with Christian services."
SUM_,"SUMO.    	Sumo is a sport that is practiced professionally only in Japan, the country of its origin. There is an international federation of sumo wrestling now, and one of the organization's aims is to have the sport accepted as an Olympic event."
A_U,"ABU.    	Abu Dhabi is one of the seven Emirates that make up the federation known as the United Arab Emirates (UAE). The two largest members of the UAE (geographically) are Dubai and Abu Dhabi, the only two of the seven members that have veto power over UAE policy. Before 1971, the UAE was a British Protectorate, a collection of sheikdoms. The sheikdoms entered into a maritime truce with Britain in 1835, after which they became known as the Trucial States, derived from the word 'truce'."
EE_S,"EELS.    	Electrophorus electricus is the biological name for the electric eel. Despite its name, the electric ""eel"" isn't an eel at all, but rather what is called a knifefish, a fish with an elongated body related to the catfish. The electric eel has three pairs of organs along its abdomen, each capable of generating an electric discharge. The shock can go as high as 500 volts with 1 ampere of current (that's 500 watts), and that could perhaps kill a human."
_ODEO,RODEO.    	The phrase 'not my first rodeo' means 'not the first time I've done this'. The phrase started to be used after country singer Vern Gosdin released the song 'This Ain't My First Rodeo' in 1990. Gosdin said that he'd first heard the idiom from a workman who added an extra room over his garage.
ELK_,"ELKE.    	Elke Sommer is a German-born actress who was at the height of her success on the silver screen in the sixties. Sommer won a Golden Globe as Most Promising Newcomer Actress for her role opposite Paul Newman in 1964's ""The Prize"". She also sings and has released several albums. Now Sommer focuses on painting, producing artwork that is strongly influenced by the work of Marc Chagall."
EE_,EES.    	Electrical engineer (EE) 
_EESE,"GEESE.    	Apparently geese fly in that V-formation for a couple of reasons. One is that it makes for efficient flight and conserves energy. The leading bird gets no advantage, but every following bird gets to ""slipstream"" a little. It has been noted that the lead bird drops to the back of the formation when he/she gets fatigued. It's also thought that the flock can stick together more easily when in formation, so it is more difficult to lose someone along the way."
TUT_,"TUTU.    	The word ""tutu"", used for a ballet dancer's skirt, is actually a somewhat ""naughty"" term. It came into English from French in the early 20th century. The French ""tutu"" is an alteration of the word ""cucu"", a childish word for ""cul"" meaning the ""bottom, backside""."
TIT_,"TITO.    	After serving in the navy in WWII for three years, the musician Tito Puente studied at Juilliard, where he got a great grounding in conducting, orchestration and theory. Puente parlayed this education into a career in Latin Jazz and Mambo. He was known as ""El Rey"" as well as ""The King of Latin Music""."
_DE,DDE.    	General Dwight D. Eisenhower (DDE) was in command of the European Theater of Operations (ETO) during WWII.
AC_RA,"ACCRA.    	Accra sits on Ghana's coast and is a major seaport as well as the country's capital city. The name ""Accra"" comes from a local word ""Nkran"" meaning ""ants"", a name chosen because of the large number of anthills found in the area when the city was founded."
THE_,"THEO.    	Kojak' is a fun police drama that had an original run on TV from 1973 to 1978. The title character was NYPD Detective Lieutenant Theo Kojak, played by Telly Savalas. Famously, Kojak sucks away on lollipops as he tries to quit cigarettes. Kojak is assisted in his cases by Sergeant 'Fatso' Stavros, a character played by George Savalas, Telly's younger brother."
A_F,"ALF.    	'ALF' is a sitcom that aired in the late eighties. ALF is a hand-puppet, supposedly an alien from the planet Melmac that crash-landed in a suburban neighborhood. 'ALF' stands for 'alien life form'."
_RNAZ,"ARNAZ.    	Desi Arnaz was of course famous for his turbulent marriage to Lucille Ball. Arnaz was a native of Cuba, and was from a privileged family. His father was Mayor of Santiago and served in the Cuban House of Representatives. However, the family had to flee to Miami after the 1933 revolt led by Batista."
ME_,"MET.    	Mr. Met is the mascot of the New York Mets, that now play at Citi Field. He is a guy with a large baseball as a head, and has been elected to the Mascot Hall of Fame (woo hoo!)."
YM_,YMA.    	Yma Sumac was a Peruvian soprano. Sumac had a notable vocal range of five octaves.
MG_,"MGM.    	The Metro-Goldwyn-Mayer (MGM) film studio was founded in 1924 by Marcus Loew. Loew was already a successful movie theater owner when he purchased Metro Pictures Corporation in 1919, and then Goldwyn Pictures in 1924. Later in 1924, Loew also purchased Louis B. Mayer Pictures, mainly so that Louis B. Meyer himself could run all three merged studios as Metro-Goldwyn-Mayer."
_YNE,"DYNE.    	A dyne is a unit of force. The name ""dyne"" comes from the Greek ""dynamis"" meaning ""power, force""."
_AC,"TAC.    	Tic Tacs aren't American candy (as I always mistakenly believed). Tic Tacs are made by the Italian company Ferrero, and were introduced in 1969."
A_TS,ACTS.    	The Acts of the Apostles is the fifth book of the New Testament.
_AD,"DAD.    	Father's Day was added as an official holiday in 1972, although bills to create the holiday had been with Congress since 1913. By rights, the holiday should be called 'Fathers' Day' (note the punctuation), but the Bill that was introduced in 1913 used the 'Father's Day' spelling, and that's the one that has stuck."
AR_EL,"ARIEL.    	The Story Of Civilization' is an epic work by husband and wife team Will and Ariel Durant. The eleven-volume set of books tells at least part of the story of Western Civilization, in over 4 million words written on almost 10,000 pages. The books were published from 1935 to 1975, clearly a life's work. The history stops at 'The Age of Napoleon', as the authors both passed away in the eighties before they could finish the task they'd set themselves."
_LF,"ALF.    	'ALF' is a sitcom that aired in the late eighties. ALF is a hand-puppet, supposedly an alien from the planet Melmac that crash-landed in a suburban neighborhood. 'ALF' stands for 'alien life form'."
HOP_,HOPI.    	Many of the Hopi nation live on a reservation that is actually located within the much larger Navajo reservation in Arizona.
_NGA,"INGA.    	Inga Swenson is an American actress. Her best known role was ""Gretchen Kraus"", the German cook and later housekeeper on the TV show ""Benson"". Swenson also appeared in a couple of episodes of ""Bonanza"" playing the second wife of Ben Cartwright (Lorne Greene), and mother of Hoss Cartwright (Dan Blocker). This was despite the fact that in real life she was actually 4 years younger than Blocker!"
OA_ER,"OATER.    	The term ""oater"", used for a western movie, comes from the number of horses seen, and horses love oats!"
_TD,"FTD.    	Back in 1910, fifteen florists from around America agreed to fulfill each other's orders using the telegraph system, setting up what they called the Florists' Telegraph Delivery. The concept grew so large that in 1965 the group started to offer international service, and changed its name to Florists' Transworld Delivery (FTD)."
O_ZO,"OUZO.    	Ouzo is an aperitif from Greece that is colorless and flavored with anise. Ouzo is similar to pastis from France and also has a flavor like sambuca from Italy. Most of the ouzo produced comes from the Greek island of Lesbos, where the aperitif supposedly originated."
H_RR,"HERR.    	In Germany, a 'Mr.' (Herr) is married to a 'Mrs.' (Frau)."
ENN_,"ENNA.    	The city of Enna sits very high up in the hills of Sicily, overlooking the whole island below. Enna is the capital of the province that bears its name, which is the highest province in the whole of Italy. As the city is located in the center of the island, Enna is sometimes called the navel (ombelico) of Sicily."
_NKH,"ANKH.    	The ankh was the ancient Egyptian hieroglyphic character for ""eternal life"". The ankh wasn't just used in inscriptions but was often fashioned into amulets and as surrounds for mirrors (perhaps symbolizing a view into another world)."
PES_I,"PESCI.    	Joe Pesci got his big break in movies in a supporting role in ""Raging Bull"", earning him an Oscar nomination early in his career. There followed a string of gangster roles played alongside De Niro, namely ""Once Upon a Time in America"", ""Goodfellas"" and ""Casino"". But I like his comedic acting best of all. He was marvelous in the ""Home Alone"" films, the ""Lethal Weapon"" series, and my personal favorite, ""My Cousin Vinnie"". He gets a mention in the stage musical ""Jersey Boys"", which isn't too surprising as he is one of the show's producers."
TS_,"TSR.    	Dungeons & Dragons is a complex role-playing game first published in 1974, by Tactical Studies Rules Incorporated (TSR). Dungeons & Dragons was probably the first of the modern role-playing games to be developed, and the most successful. It is still played by lots of people today, including my nerdy son ..."
_EM,"TEM.    	""Pro tempore"" can be abbreviated to ""pro tem"" or ""p.t."" ""Pro tempore"" is a Latin phrase that best translates as ""for the time being"". It is used to describe a person who is acting for another, usually a superior. The President pro tempore of the US Senate is the person who presides over the Senate in the absence of the Vice President of the US. It has been tradition since 1890 that the president pro tem is the most senior senator in the majority party. The president pro tem ranks highly in the line of succession to the presidency, falling third in line after the Vice President and the Speaker of the House."
S_MO,"SUMO.    	Sumo is a sport that is practiced professionally only in the country of its origin, Japan. There is an international federation of sumo wrestling now, and one of it's aims is to have the sport accepted as an Olympic event."
N_U,"NYU.    	The main campus of the private New York University (NYU) is located right in Manhattan, in Greenwich Village. It has over 12,000 resident students, the largest number of residents in a private school in the whole country."
_OME,"TOME.    	'Tome' first came into English from the Latin ""tomus"" which means ""section of a book"". The original usage in English was for a single volume in a multi-volume work. By the late 16th century ""tome"" had come to mean ""a large book""."
_SCARS,OSCARS.    	There is an Academy Award for the Best Documentary Feature.
_VANA,"IVANA.    	Ivana Winklmayr was born in Czechoslovakia. She was an excellent skier, and was named as an alternate for the 1982 Czech Olympic Team. She was promoting the Montreal Olympics in New York in 1976 when she met Donald Trump. Their marriage was very public and well-covered by the media, but not nearly so well as their very litigious divorce in 1990."
LP_,LPS.    	Pink Floyd were an English rock band founded in 1965. The band's most famous albums are probably 'The Dark Side of the Moon' and 'The Wall'.
LE_CA,"LEICA.    	As an amateur photographer, Henri Cartier-Bresson is one of my heroes. He was a French photographer who was famous for shooting candid shots, many of them just in the street. He was very simple in his use of equipment. He was one of the first professionals to accept the 35mm camera, and mainly used a 'normal' 50mm lens. He only shot in black-and-white, and never bothered with developing his own prints. He focused on taking the photograph."
_HOE,SHOE.    	'There Was an Old Woman Who Lived in a Shoe' is an English nursery rhyme.
ADE_TE,"ADESTE.    	The lovely hymn ""Adeste Fideles"" was written by one John Francis Wade in the the 13th century. Well, he wrote the original four verses, with four more verses being added over time."
AIOL_,"AIOLI.    	To the purist, especially in Provence in the South of France, the 'home' of aioli, aioli is prepared just by grinding garlic with olive oil. However, other ingredients are often added to the mix, particularly egg yolks."
EEN_E,"EENIE.    	Eenie Meenie' is a 2010 hit song recorded by Sean Kingston and Justin Bieber. Nope, never heard it ..."
SAD_E,"SADIE.    	Sadie Thompson is a character in 'Rain', a short story written by the English playwright and novelist Somerset Maugham. In the story Sadie is a prostitute on a Pacific Island who becomes the focus of a local missionary who tries to convert her. 'Rain' has been adapted for the big screen a few times, most recently in 1953 with Rita Hayworth playing the title role of ""Little Miss Sadie""."
A_IAGO,"ASIAGO.    	Asiago is a crumbly cheese, named after the region in northeastern Italy where it originates."
T_MEI,"TOMEI.    	Marisa Tomei's first screen role was in 'As the World Turns', but her break came with a recurring role in 'The Cosby Show' spinoff called 'A Different World'. Tomei won an Oscar for her delightful performance in 'My Cousin Vinny' in 1992."
_UE,"TUE.    	To help the war effort, the United States Food Administration (led by Herbert Hoover) introduced 'Meatless Tuesdays' and 'Wheatless Wednesdays' for the duration of WWI. Similar campaigns were revived during WWII. Wheatless Wednesdays have fallen by the wayside but Meatless Monday is very much in vogue these days as an attempt to improve the population&#8217;s health and help reduce global warming (less methane from fewer cows)."
NET_,"NETS.    	The New Jersey Nets NBA team used to play in the Prudential Center in Newark, New Jersey. The franchise relocated to the Barclays Center in Brooklyn, New York that opened for business recently. The team's name has now changed to the Brooklyn Nets. The franchise was founded back in 1967 as the New Jersey Americans, when they played in Teaneck, New Jersey."
H_X,"HEX.    	""Hexen"" is a German word meaning ""to practice witchcraft"". The use of the word ""hex"" in English started with the Pennsylvania Dutch in the early 1800s."
_RESTU,"ERES TU.    	We have a big event across Europe every year called the Eurovision Song Contest. Each nation enters one song in competition with each other, and then voters across the whole continent decide on the winner. That's how ABBA got their big break when they won in 1974 with ""Waterloo"". In 1972, Spain's entry was ""Eres tu"" (the Spanish for ""You Are"") sung by the band Mocedades. It came second in the competition, but should have won in my humble opinion."
AS_AGO,"ASIAGO.    	Asiago is a crumbly cheese, named after the region in northeastern Italy from where it originates."
_OL,COL.    	Spreadsheets are divided into columns.
ATO_L,"ATOLL.    	An atoll is a coral island that is shaped in a ring and enclosing a lagoon. There is still some debate as to how an atoll forms, but a theory proposed by Charles Darwin while on his famous voyage aboard HMS Beagle still holds sway. Basically an atoll was once a volcanic island that had subsided and fallen into the sea. The coastline of the island is home to coral growth which persists even as the island continues to subside internal to the circling coral reef."
T_YST,"TRYST.    	In its most general sense, a tryst is a meeting at an agreed time and place. More usually we consider a tryst to be a prearranged meeting between lovers. The term comes from the Old French 'triste', a waiting place designated when hunting."
IM_O,IMHO.    	In My Humble Opinion.
E_G,"EEG.    	An electroencephalogram is a record of electrical activity caused by the firing of neurons within the brain. The EEG might be used to diagnose epilepsy, or perhaps to determine if a patient is ""brain dead""."
AVE_,"AVES.    	The commercial game of Monopoly is supposedly a remake of ""The Landlord's Game"" created in 1903 by a Quaker woman called Lizzie Phillips. Phillips used her game as a tool to explain the single tax theory of American economist Henry George. The Landlord's Game was first produced commercially in 1924. The incredibly successful derivative game called Monopoly was introduced in 1933 by Charles Darrow, who became a very rich man when Parker Brothers bought the rights to the game just two years later in 1935."
P_A,"PEA.    	Gregor Mendel was an Austrian monk, and a scientist who achieved fame after his passing when his work in the field of genetics was rediscovered. The conclusions he drew from his studies of garden peas led to him earning the moniker ""father of modern genetics""."
_MS,RMS.    	Rooms (rms.)
G_S,"GAS.    	Irishman Robert Boyle is regarded as one of the founders of modern chemistry, although his early work would better be described as 'alchemy'. His name is best known from Boyle's Law, his experimental observation that the pressure of a gas decreases proportionally as its volume increases."
_AST,"OAST.    	An oast is a kiln used for drying hops as part of the brewing process. Such a structure might also be called an ""oast house""."
DIE_,"DIEU.    	The man (l'homme) upstairs is God (Dieu), in French."
D_EU,DIEU.    	'Dieu' is French for 'god'.
PI_TA,"PINTA.    	As we all know, Christopher Columbus used three ships in his first voyage across the Atlantic: the Santa Maria, the Niña and the Pinta. The Pinta was the fastest of the three, and it was from the Pinta that the New World was first spotted, by a sailor on lookout called Rodrigo de Triana. Pinta was a nickname (as was Niña), meaning ""the painted one"". The Pinta's real name has been lost in mists of time."
PAT_,"PATE.    	Pâté is a rich spreadable paste made up of a mixture of ground meat and fat, to which various vegetables, herbs and spices may be added. The most famous version is pâté de fois gras, made from the fattened livers of geese (""fois gras"" means ""fat liver"" in French)."
OS_EA,"O'SHEA.    	Milo O'Shea is a great Irish character actor, who has appeared in everything from ""Romeo and Juliet"" to ""The West Wing"". In the 1968 adaptation of Shakespeare's ""Romeo and Juliet"" directed by Franco Zeffirelli, O'Shea plays Friar Laurence, advisor to the tragic lovers."
_IS,"LIS.    	""Lys"" (also 'lis') is the French word for ""lily"", as in ""fleur-de-lys"", the heraldic symbol often associated with the French monarchy."
G_S,"GAS.    	I reckon use of ""a gas"" to mean something fun must come from Ireland (I couldn't confirm it though). We use the word ""gas"" as an adjective meaning ""hilarious"". So, we'd say ""that's gas"" when describing something very funny."
DE_I,"DESI.    	Desi Arnaz was famous for his turbulent marriage to Lucille Ball. Arnaz was a native of Cuba, and was from a privileged family. His father was Mayor of Santiago and served in the Cuban House of Representatives. However, the family had to flee to Miami after the 1933 revolt led by Batista."
HR_,HRS.    	Home Runs ...
A_IE,ARIE.    	'Arie' is the German word for 'aria'.
O_CAR,"OSCAR.    	The Academy of Motion Picture Arts and Sciences (AMPAS) is the organization that gives the annual Academy Awards also known as the ""Oscars"". The root of the name ""Oscar"" is hotly debated, but what is agreed is that the award was officially named ""Oscar"" in 1939. The first Academy Awards were presented at a brunch in 1929 with an audience of just 29 people. The Awards ceremony is a slightly bigger event these days ..."
AI_,"AIT.    	Aits are little islands found usually in a river. Aits aren't typically formed by erosion, but by the deposition of silt over time. As a result, aits often have a long and narrow shape running parallel to the banks as the sediment builds up with the flow of the water. Many of the islands in the River Thames that flows through London have been given the name Ait, like Raven's Ait in Kingston-upon-Thames, and Lot's Ait in Brentford."
_ERR,"HERR.    	Münster is a city in the northwestern part of Germany, in the Westphalia region. Münster is noted for being the most bicycle-friendly city in the country with almost 40% of all traffic in the city being bicyclists."
EG_,"EGG.    	Humpty Dumpty is a character in a nursery rhyme, actually an egg although that isn't specifically called out in the original rhyme:"
DE_,"DEO.    	Deo Juvante is Latin for ""with god's help"". But the independent principality of Monaco also needs the help of France, as France is responsible for its defense!"
_FO,CFO.    	Chief Financial Officer (CFO).
_LAG,SLAG.    	Wrought iron is an iron alloy containing fibrous filaments called slag. The term 'wrought' is a allusion to the iron being worked (wrought) by hand. One of the more famous uses of wrought iron was the construction of the Eiffel Tower in Paris.
TAM_A,"TAMPA.    	The Battle of Fort Brooke was a relatively minor engagement that took place near Tampa, Florida during the Civil War. The battle involved the bombardment of Fort brooke by two ships in the Union Navy and a landing by a raiding party."
SO_S,"SOTS.    	Our word ""sot"" comes from the Old English words ""sott"", meaning a fool. The word ""sot"" started to be associated with alcohol and not just foolery in the late 1500s."
ZAN_,ZANE.    	Zane Grey sure did hit on a the right niche. He wrote romanticized western novels and stories that really lent themselves to the big screen in the days when westerns were very popular. There have been an incredible 110 films made based on his work.
_ERA,"SERA.    	Blood serum is the clear, yellowish part of blood i.e. that part which is neither a blood cell or a clotting factor. Included in blood serum are antibodies, the proteins that are central to our immune system. Blood serum from animals that have immunity to some disease can be transferred to another individual, hence providing that second individual with some level of immunity. Blood serum used to pass on immunity can be called 'antiserum'."
ARD_N,ARDEN.    	Elizabeth Arden was the business name used by Canadian-American Florence Nightingale Graham. She built a cosmetics empire that made her one of the wealthiest women in the world at the height of her success in the forties and fifties.
EEL_,"EELS.    	Jellied eels is a traditional English dish. It is prepared by boiling up chopped eels in a spiced stock, and then allowing the stock to cool. As the eel is very gelatinous, proteins from the fish permeate the stock during cooking so that on cooling it solidifies into a jelly. I tried it years ago ... disgusting ..."
_AS,"GAS.    	I reckon use of ""a gas"" to mean something fun must come from Ireland (I couldn't confirm it though). We use the word ""gas"" as an adjective meaning ""hilarious"". So, we'd say ""that's gas"" when describing something very funny."
ASS_D,"ASSAD.    	Dr. Bashar al-Assad is the current President of the Syrian Arab Republic, and is the son of the former President, Hafez al-Assad, whom he replaced in 2001. President Assad is a medical doctor, speaks fluent English and conversational French. Assad was studying ophthalmology in London when he met his wife, an Englishwoman."
I_BN,"ISBN.    	The International Standard Book Number (ISBN) was invented by one Gordon Foster who is now a professor at Trinity College Dublin in Ireland. The code was originally developed for booksellers, so that they had a unique number (and now a barcode) for each publication."
TREN_,"TRENT.    	Trento is a city in northern Italy, famous as the host of the 16th century Council of Trent held by the Roman Catholic Church. This Ecumenical Council meeting was held largely in response to the growing Protestant Reformation. It was the decisions made at the Council of Trent that led to the Counter-Reformation, the revival of the Catholic church over the following 100 years."
_INSK,"MINSK.    	Minsk is the capital of Belarus, formerly known as the Belorussion Soviet Socialist Republic."
CF_,CFO.    	Chief Financial Officer (CFO)
IS_S,"ISIS.    	ISIS is an extremist Sunni rebel group, with the acronym standing for the Islamic State of Iraq and Syria. Today, ISIS controls territory in Iraq, Syria, Sinai and eastern Libya and has declared it the Islamic State (IS)."
_ODEO,"RODEO.    	""Rodeo' is a Spanish word, which is usually translated as 'round up'."
MR_,"MRE.    	The Meal, Ready-to-Eat (MRE) comes in a lightweight package that's easy to tote around. The MRE replaced the more cumbersome Meal, Combat, Individual (MCI) in 1981, a meal-in-a-can. In turn, the MCI had replaced the C-ration in 1958, a less sophisticated meal-in-a-can with a more limited choice."
YI_,"YIN.    	The yin and the yang can be explained using many different metaphors. In one, as the sun shines on a mountain, the side in the shade is the yin and the side in the light is the yang. The yin is also regarded as the feminine side, and the yang the masculine. The yin can also be associated with the moon, while the yang is associated with the sun."
_ANA,LANA.    	Lana Del Rey is the stage name of singer/songwriter Elizabeth Grant. Del Rey calls herself a 'self-styled gangsta Nancy Sinatra'. Nice ...
_AGLE,EAGLE.    	The following terms are routinely used in golf for scores relative to par:
E_LS,"EELS.    	Electrophorus electricus is the biological name for the electric eel. Despite its name, the electric ""eel"" isn't an eel at all, but rather what is called a knifefish, a fish with an elongated body that is related to the catfish. The electric eel has three pairs of organs along its abdomen, each capable of generating an electric discharge. The shock can go as high as 500 volts with 1 ampere of current (that's 500 watts), and that could perhaps kill a human."
AN_,"-ANE.    	The 'smaller' alkanes are gases and are quite combustible. Methane (CH4) is the main component of natural gas with ethane (C2H6) being the second largest component. Propane (C3H8) is another component of natural gas and is heavy enough to be readily turned into a liquid by compression, for ease of transportation and storage. Butane (C4H10) is also easily liquefied under pressure and can be used as the fuel in cigarette lighters or as the propellant in aerosol sprays. The heavier alkanes are liquids and solids at room temperature."
_OI,"TOI.    	In French, the pronouns 'toi' and 'vous' both mean 'you', with the former being used with family and friends, and children. 'Vous' is more formal, and also the plural form of 'you'."
C_EE,CREE.    	The Cree are one of the largest groups of Native Americans on the continent. In the US most of the Cree nation live in Montana on a reservation shared with the Ojibwe people. In Canada most of the Cree live in Manitoba.
_TOS,"GTOS.    	'Three deuces and a four-speed' are words appearing the song 'G.T.O', the debut recording for the surf rock group of the sixties known as Ronny & the Daytonas."
C_L,COL.    	Colonel Mustard is one of the suspects in the board game 'Clue'.
TENO_,"TENON.    	One simple type of joint used in carpentry is a mortise and tenon, basically a projection carved at the end of one piece of wood that fits into a hole cut into the end of another. The mortise is the ""hole"" and the tenon is the ""projection""."
L_EB,"LOEB.    	The phrase ""trial of the century"" is really a bit overused, I think, and has been applied to a number of cases including, the Leopold and Loeb murder trial, the Nuremberg trials, and the O. J. Simpson murder trial."
SONA_,"SONAR.    	The British developed the first underwater detection system that used sound waves. Research was driven by defence demands during WWI, leading to production of working units in 1922. This new sound detection system was described as using ""supersonics"", but for the purpose of secrecy the term was dropped in favor of an acronym. The work was done under the auspices of the Royal Navy's Anti-Submarine Division, so ASD was combined with the IC from ""superson-ic-s"" to create the name ASDIC. The navy even went as far as renaming the quartz material at the heart of the technology ""ASDivite"". By the time WWII came along, the Americans were producing their own systems and coined the term SONAR, playing off the related application, RADAR. And so the name ASDIC was deep-sixed ..."
BA_I,"BARI.    	Bari is a major port city on the Adriatic coast of Italy. Bari has the unfortunate distinction of being the only city in Europe to experience chemical warfare during WWII. Allied stores of mustard gas were released during a German bombing raid on Bari in 1943. Fatalities caused by the chemical agent were reported as 69, although other reports list the number as maybe a thousand military personnel and a thousand civilians."
ARNI_,"ARNIE.    	Arnold Schwarzenegger was born in Graz in Austria, the son of the local police chief. Schwarzenegger's family name translates into the more prosaic ""black plough man""."
