"""J'accuse!"" reply.   		4 letters",MOI?.    	'J'accuse!' is the French for 'I accuse!'.
"""Koochie-___!"".   		3 letters","KOO.    	Koochie-Koo is slang term, apparently used by girls when talking to boys."
PC hearts.   		4 letters,"CPUS.    	The Central Processing Unit (CPU) is the main component on the ""motherboard"" of a computer. The CPU is the part of the computer that carries out most of the functions required by a program. Nowadays you can get CPUs in everything from cars to telephones."
Team nicknamed the Black Knights.   		4 letters,"ARMY.    	The Army Black Knights is the name given to the athletic teams of the United States Military Academy. The name was originally ""The Black Knights of the Hudson"", as the academy's football team wore black uniforms and West Point is situated on the Hudson River in New York State."
Country that's home to Dracula's Castle.   		7 letters,"ROMANIA.    	""Dracula"" is a novel written by the Irish author Bram Stoker and first published in 1897. Dracula wasn't the first vampire of literature, but he certainly was the one who spawned the popularity of vampires in theater, film and television, and indeed more novels. Personally, I can't stand vampire fiction ..."
Battle locale that marked a turning point in W.W.   		5 letters,"MARNE.    	The River Marne runs roughly northwestward for over 300 miles, running into the River Seine just outside Paris. The Marne was the site of two major battles in WWI, one fought in 1914, and one in 1918."
Place to buy cotton candy.   		4 letters,"FAIR.    	What we call cotton candy here in the US has some interesting names in the rest of the world. Back in Ireland it's candyfloss, and in France it ""barbe à papa"" (Dad's beard). In Australia it is called fairy floss, which is actually the original name for cotton candy, first used when it was introduced at the St. Louis World's Fair in 1904."
Something matzo lacks.   		5 letters,"YEAST.    	Matzo is a unleavened bread, that is very brittle. The bread is crushed, creating Matzo meal that is then formed into balls using eggs and oil as a binder. The balls are usually served in a chicken stock."
"Scary, Baby, Ginger, Posh and Sporty.   		11 letters","SPICE GIRLS.    	Scary Spice (Melanie Brown), Baby Spice (Emma Bunton, and may fave!), Ginger Spice (Geri Halliwell), Posh Spice (Victoria Beckham) and Sporty Spice (Melanie Chisholm)."
Rapper Fiasco.   		4 letters,"LUPE.    	Lupe Fiasco's real name is Wasalu Jaco, an American rapper."
"Caesar's ""I came"".   		4 letters","VENI.    	The oft-quoted ""Veni, vidi, vici"" (I came, I saw, I conquered) was apparently written by Julius Caesar. The words date back to 47 BC and refer to the short war between Rome and Pharnaces II of Pontus."
Axel alternative.   		8 letters,TOE LOOP.    	An Axel is a forward take-off jump in figure skating. It was first performed by Norwegian Axel Paulsen at the 1882 World Figure Skating championships.
Merchant selling records.   		7 letters,"NATALIE.    	Another clever, deceptively-worded clue. Natalie Merchant is an American musician, who sang for the band 10,000 Maniacs for twelve years, until launching a solo career in 1993."
Rapper Snoop ___.   		4 letters,"DOGG.    	The rap star Snoop Dogg's real name is Cordozar Calvin Broadus. He is the most famous protege of the notorious rapper Dr. Dre. Sadly, Snoop Dogg has had numerous run ins with police all round the world, even after he started to live the good life that came with his fame."
1974 Best Picture nominee directed by Bob Fosse.   		5 letters,"LENNY.    	The 1974 movie called ""Lenny"" is a biopic, about the life of comedian Lenny Bruce (played by Dustin Hoffman). It's a pretty sad tale, with Lenny Bruce finally dying of a morphine overdose in 1966."
Mello ___ (soft drink).   		5 letters,"YELLO.    	Like so many beverages introduced by the Coca-Cola Company, Mello Yello was launched to compete against a successful drink already on the market. Mello Yello first hit the shelves in 1979, designed to take market share from Pepsi Cola's ""Mountain Dew""."
The wind unwinds it.   		4 letters,"KITE.    	As the wind blows, you can unwind the line tied to your kite."
City with the Great Sphinx.   		4 letters,"GIZA.    	Giza is located on the west bank of the Nile, about 20km southwest of Cairo. The nearby Giza Plateau is home to some of the most amazing ancient monuments on the planet, including the Great Pyramid of Giza and the Great Sphinx."
"Eocene, e.g.   		5 letters","EPOCH.    	The Eocene Epoch lasted from 56 to 34 million years ago, and is noted for the emergence of the first mammals on the planet."
Big inits.   		3 letters,"WSJ.    	'The Wall Street Journal' (WSJ) is a daily newspaper with a business bent that is published in New York City by Dow Jones & Company. The WSJ has a larger US circulation than any other newspaper, with 'USA Today' coming in second place."
"Handful, maybe.   		4 letters","BRAT.    	The word ""brat"" is a slang term that has been around since the 1500s, and back then it was used for the child of a beggar."
Viking in a Dik Browne strip.   		5 letters,"HAGAR.    	""Hagar the Horrible"" was created by the late Dik Browne, and is now drawn by his son, Chris Browne. ""Hagar the Terrible"" (not ""Horrible"") was the nickname given to Dik by his sons."
Wonder of note.   		6 letters,"STEVIE.    	The great musician Stevie Wonder signed up with Motown Records when he was just 11-years-old. He has been remarkably loyal to the label and is still recording with Motown some 50 years later. The level of Stevie Wonder's success is illustrated by his 22 Grammy Awards, the most Grammys awarded to a male solo artist. Wonder was born 6 weeks prematurely, and incomplete development of blood vessels in his eyes caused the retinas to detach leaving him blind soon after birth."
Part of B.Y.O.B.   		3 letters,OWN.    	Bring Your Own Beer/Bottle/Booze (BYOB)
1972 hit for Eric Clapton.   		5 letters,"LAYLA.    	""Layla"" is one of the great rock anthems of the seventies, released by Derek and the Dominos in December of 1970. It is a masterpiece of composition, with the first half of the song a great vehicle for the guitar-playing talents of Eric Clapton. The second half is a beautifully melodic piano coda (a coda ... taking up half the length of the track!). To top things off we have the ""unplugged"" version recorded by Clapton in 1992, a fabulous and inventive variation on the original."
TiVo predecessor.   		3 letters,VCR.    	Video cassette recorder (VCR)
Mexican civilization known for its colossal head sculptures.   		5 letters,OLMEC.    	The Olmec were an ancient civilization that lived in the lowlands of south-central Mexico from about 1500 BC to about 400 BC.
Torah expert.   		5 letters,"RABBI.    	The word ""Torah"" best translates as ""teaching"", I am told."
Baltimore's ___ McHenry.   		4 letters,FORT.    	Fort McHenry sits on a peninsula in the opening to Baltimore Harbor in Maryland. The fort saw action in the War of 1812 as US forces were successful there in defending an attack by the British Navy. Francis Scott Key was watching the bombardment of Fort McHenry when he was inspired to write the words to 'The Star Spangled Banner'.
Golden Globe winner Pia.   		6 letters,"ZADORA.    	Pia Zadora is an American actress and singer. Her most famous role was in 1982 film ""Butterfly"" in which she got to work with Orson Welles and Stacey Keach. The film was based on the novel ""The Butterfly"" by James M. Cain, and deals with the difficult subject of father-daughter incest."
Bigwig.   		6 letters,"HONCHO.    	'Honcho' is a slang term for a leader or manager. The term comes to us from Japanese, in which language a ""hancho"" is a squad (han) leader (cho)."
N.B.A.   		5 letters,"AINGE.    	Danny Ainge is a retired professional basketball and baseball player, now serving as the President of Basketball Operations for the Boston Celtics. Ainge was an outstanding athlete from an early age, and is the only person to be named a high-school All American in the three sports of football, basketball and baseball."
___-Saxon.   		5 letters,"ANGLO.    	Germanic tribes invaded Great Britain from the early 5th century and created the nation that we now call England. The Anglo-Saxons (sometimes simply 'Saxons'), as these tribes came to be called, held sway in the country until 1066, the year of the Norman Conquest. The Anglo-Saxons were descendants of three Germanic tribes:"
Mournful ring.   		5 letters,"KNELL.    	The word ""knell"" is used for a solemn ring from a bell, often associated with death or a funeral. ""Knell"" comes the Old English ""cnell"" and is probably imitative in origin, sounding like a peal from a large bell."
"Feature at an auto show, in two different ways.   		5 letters","MODEL.    	There are pretty models leaning up against the new models at an auto show, so I hear ..."
Where to find a piece of Turkey.   		6 letters,EUROPE.    	11. Like most Turks : ASIAN
"""Tootsie"" Oscar winner.   		5 letters","LANGE.    	Jessica Lange had three children with her former partner, the great Russian dancer Mikhail Baryshnikov. Those must be some good looking kids ..."
Bath sponge.   		5 letters,"LOOFA.    	I knew that real sponges came from the sea (I'm a SCUBA diver, for my sins) and I kind of knew that real LOOFAHS were natural too, but not the specifics. The loofah(also loofa, lufah and luffa, Arabic words) is a vine, with fruit that's very popular in Asia and Africa. If the fruit is allowed to mature, it can be processed to remove everything but the more rigid xylem structure (remember your high school botany class?) leaving a soft, sponge-like mass that is used as skin polisher."
Boxer Ali.   		5 letters,"LAILA.    	Laila Ali is the daughter of the great Muhammad Ali and is a very capable boxer in her own right. Laila's professional record is an impressive 24 wins, including 21 knockouts. Now retired, she never lost a fight, and nor did she ever draw. One of those victories was against Jackie Frazier-Lyde, daughter of her father's nemesis Joe Frazier. Laila is not a bad dancer either, coming in third place in the fourth season of 'Dancing with the Stars'."
Shaped like Saturn.   		6 letters,"OBLATE.    	Something that is described as having an ""oblate"" shape is spherical, slightly depressed at top and bottom, just like the Earth for example. A more extreme example of an oblate shape is an M&M."
"""Feel the ___"" (2016 campaign slogan).   		4 letters",BERN.    	'Feel the Bern' is perhaps the best-known of several slogans used by the Bernie Sanders campaign for the 2016 Democratic presidential nomination.
She's tried often.   		8 letters,"JANE DOE.    	Although the English court system does not use the term today, John Doe first appeared as the ""name of a person unknown"" in England in 1659, along with another unknown, Richard Roe. The female equivalent of John Doe is Jane Doe, with the equivalent to Richard Roe being Jane Roe (as in Roe v. Wade)."
Letter holder: Abbr..   		3 letters,ENV.    	Mail that letter in an envelope.
Group working on a plot.   		5 letters,"CABAL.    	A cabal is a small group of secret plotters, perhaps scheming against a government or an individual."
"Word on Harry Powell's left fingers in ""The Night of the Hunter"".   		4 letters","HATE.    	""The Night of the Hunter"" is a novel by Davis Grubb, a bestseller first published in 1953. The book is based on the true story of Harry Powers, a murderer who was hanged in 1932. The story was adapted into a movie directed by Charles Laughton in 1955 (Laughton's only directorial work) starring Robert Mitchum and Shelley Winters."
Michelob ___ (light beer).   		5 letters,ULTRA.    	Michelob Ultra is a diet beer that was introduced in 2002. Ultra is labeled 'diet' as it is relatively low in carbohydrates.
Alternative form of a gene.   		6 letters,"ALLELE.    	A gene is a section of a chromosome that is responsible for a particular characteristic in an organism. For example, one gene may determine eye color and another balding pattern. We have two copies of each gene, one from each of our parents, with each copy known as an allele."
Some zoo employees.   		4 letters,"VETS.    	'Vet' is an abbreviation for 'veterinarian', a professional who treat animals for disease and injury. The word 'veterinary' comes from the Latin 'veterinae' meaning 'working animals, beasts of burden'."
Liszt or Schubert.   		5 letters,"FRANZ.    	Franz Liszt (1811-1886) was a Hungarian composer, and a fabulous pianist. Franz Schubert (1797-1828) was an Austrian composer, particularly noted for his large portfolio of lieder (songs). After he died, Liszt was one of the musicians who promoted Schubert's works."
One of Utah's state symbols.   		5 letters,"TOPAZ.    	Topaz is a semiprecious stone made from silicate containing aluminum and fluorine. Topaz is the state gemstone of Utah, and the rare blue topaz is the state gemstone of Texas."
Metro entrance.   		5 letters,"STILE.    	A stile is a structure allowing people to pass over or through a fence, while at the same time preventing livestock from escaping. The derivative term 'turnstile' describes a revolving structure in a wall or fence that allows the controlled passage of people."
Green gem source.   		5 letters,"BERYL.    	The mineral beryl is a source of a number of different, semi-precious stones, depending on the nature of the impurities present. Pure beryl is colorless; blue beryl is called aquamarine, and green beryl is emerald. The source of the green color is mainly chromium."
Giant among Giants.   		4 letters,"MAYS.    	Willie Mays' nickname was the 'Say Hey Kid', although his friends and teammates were more likely to refer to him as 'Buck'. When Mays was inducted into the Baseball Hall of Fame, he was asked who was the best player he'd ever seen in the game. He replied, 'I don't mean to be bashful, but I was.'"
Word that becomes its own synonym when its first letter is moved to the end.   		3 letters,"AYE.    	'Aye' and 'yea' are synonyms, both meaning 'yes'."
"""House Hunters"" network.   		4 letters","HGTV.    	HGTV first went on air in 1994, as the 'Home, Lawn and Garden Channel'. The name was shortened (the lawn was dropped) soon after, but nowadays it's just known as HGTV."
Israel's Olmert.   		4 letters,"EHUD.    	Ehud Olmert took over as Acting Prime Minister when Ariel Sharon suffered a severe stroke early in 2006. Olmert then led his party to victory in a general election held later that same year. He held Israel's highest office in his own right until 2009, when he had to step down facing allegations of corruption."
___-suiter.   		4 letters,"ZOOT.    	A zoot suit has pants that are fairly loose fitting, except around the cuff at the bottom of the leg. The pants also have a high waist. The jacket of the suit has wide lapels and wide, padded shoulders. Zoot-suits were popular in the US in the thirties and forties, and often associated with the African American, Latino American and Italian American ethnic groups. Over in the UK, the zoot suit was worn by the ""Teddy boys"" of the fifties and sixties. ""Zoot"" is probably just a slang iteration of the word ""suit""."
Steelers' grp.   		3 letters,"AFC.    	The Pittsburgh Steelers football team were founded in 1933, making them the oldest franchise in the AFC. Back in 1933, the team was known as the Pittsburgh Pirates. The Pirates name was chosen as the Pittsburgh baseball team was the Pirates. The name was changed to the Steelers in 1940, and then the Steagles in 1943 when the team merged with the Philadelphia Eagles. There was a further merger in 1944, with the Chicago Cardinal to form Card-Pitt. From 1945, the Steelers name was resurrected."
"Certain pool sites, for short.   		5 letters","YMCAS.    	The YMCA is a worldwide movement that has its roots in London, England. There, in 1844, the Young Men's Christian Association (YMCA) was founded with the intent of promoting Christian principles through the development of ""a healthy spirit, mind and body"". The founder, George Williams, saw the need to create YMCA facilities for young men who were flocking to the cities as the Industrial Revolution flourished. He saw that these men were frequenting taverns and brothels, and wanted to offer a more wholesome alternative."
Dr.   		10 letters,"HOP ON POP.    	""Hop on Pop"" was first published in 1963, written by Dr. Seuss and subtitled ""The Simplest Seuss for Youngest Use"". ""Hop on Pop"" was listed by former First Lady Laura Bush as her favorite title, citing the memories evoked of family life with her young daughters."
Bit of Morse code.   		4 letters,"DASH.    	Samuel Morse was a very accomplished and reputable painter (he was engaged to paint a portrait of President John Adams, for example). In 1825 he was in Washington working on a commissioned painting when he received a one-line letter by horse messenger telling him that his wife was ill. He left immediately for his home in New Haven, Connecticut but by the time he arrived she had already died and had been buried. This single event spurred him to move from painting to the development of a rapid means of long distance communication, leading to the single-wire telegraph and Morse code."
Commercial ending with Power.   		3 letters,"ADE.    	Powerade is one of those sports drinks, the only real competitor to Gatorade. Pepsi makes Gatorade, so in 1988, Coke introduced Powerade. I really do question the value of these hyped up beverages ..."
Guardian Angels' toppers.   		6 letters,BERETS.    	The Guardian Angels is an organization of unarmed volunteers who patrol high-crime areas and make citizen arrests when necessary. The group was founded in 1979 and originally focused on patrols of the New York City subway system. Now there are Guardian Angels operating in 15 countries and 144 cities around the world. You might recognize a Guardian Angel from his or her distinctive red beret.
"""The Clan of the Cave Bear"" heroine.   		4 letters","AYLA.    	""The Clan of the Cave Bear"" is the first of a series of novels written by Jean Auel, set in prehistoric times. I haven't read any myself, but they are on my reading to-do list as my wife recommends them. Ayla is a little Cro-Magnon girl that is orphaned and then adopted by a Neanderthal tribe. Sounds interesting ..."
Big name in oil.   		6 letters,"CRISCO.    	The Crisco brand of shortening was the first shortening to be made entirely from vegetable oil. Although that sounds like a good thing, it's actually made by hydrogenating vegetable oil so that it has physical properties similar to the animal shortening it was designed to replace. That hydrogenation turns good fats into bad fats, so medical professionals suggest limited intake."
Harry's 1948 Dixiecrat opponent.   		5 letters,"STROM.    	Strom Thurmond was a US Senator for the state of South Carolina for 48 years, until he stepped down in 2003. Thurmond was the oldest-serving senator in US history. He retired from his office at the age of 100-years-old, and passed away just a few months after leaving Washington."
@@@.   		3 letters,"ATS.    	The 'at symbol' (@) originated in the commercial word, as shorthand for 'each at, per' and similar phrases. I suppose we see the symbol most commonly these days as part of all email addresses."
Aptly named sprinter Usain.   		4 letters,"BOLT.    	Usain Bolt is a Jamaican sprinter who in the 2008 Olympics won three sprint gold medals. Back in Jamaica Bolt was big into cricket, and probably would have been a very successful fast bowler had he not hit the track instead."
Neighbor of Nigeria and Togo.   		5 letters,"BENIN.    	The Republic of Benin is a country in West Africa. Benin used to be a French colony, and was known as Dahomey. It gained independence in 1975, and took the name Benin after the Bight of Benin, the body of water on which the country lies."
Sturm und ___.   		5 letters,"DRANG.    	Sturm und Drang translates from the German into ""Storm and Stress"" or perhaps ""Storm and Impulse"". It was the name given to a movement in German literature and music in the latter half of the 18th century."
Bell ___.   		4 letters,"LABS.    	Bell Labs dates back to the days of Alexander Graham Bell. The first Bell Labs building was in the carriage house of Bell's father's house in Washington, D.C."
Color of la Méditerranée.   		4 letters,"AZUR.    	I think that this clue is a little off. In French, 'la Méditerranée' (the Mediterranean, a feminine noun) is 'azure' (azure-colored). 'Azur' is the spelling used with feminine nouns. The confusion might come from the phrase 'Côte d'Azur', which describes part of the French Mediterranean coast."
Friends and neighbors.   		4 letters,"KITH.    	The word ""kith"" describes friends and acquaintances, and is used used in the phrase ""kith and kin"" meaning ""friends and family"". ""Kith"" comes from an Old English word meaning ""native country, home"", as the expression ""kith and kin"" originally was used, in the late 1300s, to mean ""country and kinsmen""."
"Pat of ""Wheel of Fortune"".   		5 letters","SAJAK.    	Pat Sajak took over the hosting of ""Wheel of Fortune"" back in 1983, and has been doing the job ever since. He had a short run as a talk show host in 1989/1990, and has subbed quite often for Larry King and Regis Philbin."
Deep secrets.   		6 letters,"ARCANA.    	Arcana are deep secrets or mysteries. ""Arcana"" is from the Latin adjective ""arcanum"" meaning ""secret, hidden""."
Start of the musical scale.   		8 letters,"DO RE MI.    	The solfa syllables are: do, re, mi, fa, sol, la & ti. The solfa scale was developed from a six-note ascending scale created by Guido of Arezzo in the 11th century. He used the first verse of a Latin hymn to name the syllables of the scale:"
The court's Bucharest Buffoon.   		7 letters,"NASTASE.    	I thought that Ilie Nastase was the most entertaining tennis player of the 70s, the days of Jimmy Connors, Bjorn Borg and John McEnroe. No matter how much pressure there was in a match, he always had time to give the crowd a laugh."
"The Beatles' ""___ No One"".   		3 letters","FOR.    	""For No One"" is a ballad written by Paul McCartney, known to be a favorite of John Lennon. The song features a lovely French horn solo."
Environmental transition area.   		7 letters,ECOTONE.    	An ecotone is a transition area between two different types of land that sit adjacent to each other.
iPod control: Abbr..   		3 letters,VOL.    	Be careful not to have the volume too high on your iPod!
"Wharton's home, briefly.   		5 letters","UPENN.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia. The school was established in 1881 largely due to a donation from industrialist Joseph Wharton, co-founder of Bethlehem Steel."
Follower of a diet system.   		5 letters,"JAPAN.    	The Diet is the national legislature of Japan. The Diet is a bicameral institution, comprising a lower house known as the House of Representatives and an upper house known as the House of Councillors. The Imperial Diet first convened in 1889, although the current form first met in 1947 after Japan adopted her post-WWII constitution."
"""Wild"" flowers in a Sara Teasdale poem.   		6 letters","ASTERS.    	Sara Teasdale was a poet from St. Louis, Missouri, although she spent much of her adult life in New York City. Examples of her most famous poems are ""There Will Come Soft Rains"" and ""I Shall Not Care"". Teasdale committed suicide in 1933 by taking an overdose of sleeping pills."
Bamboozle.   		4 letters,HOSE.    	It's thought that the lovely word 'bamboozle' came into English from the Scottish 'bombaze' meaning 'perplex'. We've been using 'bamboozle' since the very early 1700s.
Paradise.   		6 letters,XANADU.    	Kubla Khan' by Samuel Taylor Coleridge is my wife's favorite poem. Coleridge wrote his masterpiece one night in 1797 after a vivid dream heavily influenced by opium.
Burden.   		4 letters,"ONUS.    	""Onus"" is the Latin word for ""burden""."
"Massive, in Marne.   		6 letters","ENORME.    	""Enorme"" is the French word for ""big"" or ""enormous""."
Rice field.   		5 letters,"PADDY.    	A paddy field is the flooded piece of land used to grow rice. The water reduces competition from weeds allowing the rice to thrive. The word ""paddy"" is an anglicized version of the word ""padi"", the Malay name for the rice plant."
Progressive competitor.   		5 letters,"GEICO.    	GEICO was founded in 1936 with a very specific mission, to provide auto insurance for employees of the federal government and their families, hence the name Government Employees Insurance Company (GEICO). GEICO is a private company, despite the word ""government"" in its name. The founders' idea was to focus on government employees as they believed such a group represented a lower risk profile than the rest of the population. Nowadays any qualifying person can take out a policy with GEICO."
"""Wheel of Fortune"" purchase.   		4 letters","AN E.    	Contestants have been buying ""an E"" on ""Wheel of Fortune"" on the the air since 1975."
"""Hop-Frog"" author, for short.   		6 letters","EA POE.    	""Hop-Frog"" is a short story written by Edgar Allan Poe, first published in 1849. Hop-Frog is a jester in a king's court, intent on revenge against his master and his retinue. The jester convinces the king and his inner circle to dress up as orangutans for a masquerade ball, and then sets fire to their costumes killing them all."
Conservative I.R.A.   		6 letters,"T-NOTE.    	A Treasury note (T-Note) is a government debt that matures in 1-10 years. A T-Note has a coupon (interest) payment made every six months. The T-note is purchased at a discount to face value, and at the date of maturity can be redeemed at that face value. A T-Bill is a similar financial vehicle, but it matures in one year or less, and a T-Bond matures in 20-30 years."
Sound made while working on a mop.   		4 letters,"SNIP.    	Snip snip, while working on that mop of hair."
Start to freeze?.   		4 letters,"ANTI.    	The antifreeze that we put into our cars has ethylene glycol as the active ingredient. It is dangerous stuff, and is very poisonous. It can be detected in the body as calcium oxalate crystals form in the kidneys. It sounds like a horrible way to go ..."
Grp.   		3 letters,"BBB.    	The Better Business Bureau is a private concern (nope, it is not a government agency), founded in 1912. It operates like a franchise, with local BBB's managed independently but operating to a set of ""corporate"" guidelines."
One of 20 in a book.   		5 letters,"MATCH.    	Matchbooks have become quite collectible. A 1927 matchbook celebrating Charles Lindbergh's famous flight across the Atlantic fetched $6,000 in auction in 2015."
"What ""whisky"" is to ""whiskey"": Abbr..   		3 letters","VAR.    	Don&#8217;t forget that we use the spelling 'whiskey' for American and Irish versions of the drink, and 'whisky' for Scotch, the Scottish version."
Hershey bar with toffee.   		4 letters,"SKOR.    	Skor is a candy bar produced by Hershey's. 'Skor' is Swedish for 'shoes', and the candy bar's wrapping features a crown that is identical to that found in the Swedish national emblem. What 'shoes' have to do with candy, I don't know ..."
Procured (Producer) for many big 2000s comedies.   		6 letters,"APATOW.    	Judd Apatow is known for producing the TV series ""Freaks and Geeks"" and ""Undeclared"". Those shows aren't my cup of tea, but he also collaborated with Lena Dunham to create the show 'Girls'. I could drink that tea all day long. 'Girls' is a very entertaining series ..."
"""To life!"".   		7 letters","L'CHAIM.    	""L'Chaim"" is a Hebrew toast meaning ""to life"", as ""chai"" is the Hebrew word for ""life""."
Meatheads.   		5 letters,"DODOS.    	The dodo was a direct relative of the pigeon and dove, although the fully-grown dodo was usually three feet tall. One of the reasons the dodo comes to mind when we think of extinction of a species, is that it disappeared not too long ago (last recorded alive in 1681) and humans were the reason for its demise. The dodo lived exclusively on the island of Mauritius and when man arrived, we cut back the forests that were its home. We also introduced domestic animals, such as dogs and pigs, that ransacked the dodo's nests. The dodo was deemed to be an awkward flightless bird and so the term 'dodo' has come to mean a dull-witted person."
Particular form of government.   		6 letters,"POLITY.    	A polity is the form of government of a nation, or perhaps a state, church or organization. Another term for polity might be ""body politic""."
"""At the Milliner's"" painter.   		5 letters","DEGAS.    	Edgar Degas was a French artist, famous for his paintings and sculptures. Some of Degas' most beautiful works feature female ballet dancers, and others depict women bathing."
Flash ___ (faddish assembly).   		3 letters,"MOB.    	A flash mob is a group of people who gather to perform a sudden, brief act in a public location and then quickly disperse. Flash mobs originated in Manhattan in 2003, as a social experiment by an editor of 'Harper's Magazine' called Bill Wasik. Wasik's first attempt to form a flash mob was unsuccessful, but the second attempt worked. The first successful flash mob was relatively tame by today's elaborate standards, and consisted of about 130 people gathered on the 9th floor of Macy's department store pretending to be shopping en masse for a 'love rug'."
Joe.   		3 letters,"MUD.    	It seems that no one really knows why we refer to coffee as ""joe"", but we've been doing so since early in WWII."
Big name in chips and pretzels.   		3 letters,"UTZ.    	Utz is the largest, privately held, producer of snack foods in the US. The company was founded in 1921 and is based in Hanover, Pennsylvania."
"Wars, in ancient Rome.   		5 letters","BELLA.    	""Bellum"" is the Latin for ""war"", the plural of which is ""bella""."
Church councils.   		6 letters,"SYNODS.    	The word synod comes from the Greek word for assembly, or meeting. A synod is a church council, usually in the Christian faith."
Lb.   		4 letters,ABBR.    	Lb. and oz. are abbreviations for pound and ounce.
Home of the Imperial Palace.   		5 letters,"TOKYO.    	The Tokyo Imperial Palace is a beautiful estate in the center of Tokyo and is the main residence of the Emperor of Japan and many of his family members. It is a relatively large park-like area, featuring a number of moats and bridges. The palace covers about seven and a half square kilometers of prime real estate in the city. During the Japanese property bubble of the eighties, the palace grounds were believed to have been worth more money than all of the real estate in the state of California!"
"Lou who sang ""A Natural Man"".   		5 letters","RAWLS.    	Lou Rawls was an American soul and blues singer known for his smooth vocal style. With his singing career well on the way, Rawls was asked to sing ""The Star Spangled Banner"" in 1977 at a Muhammad Ali fight in Madison Square Garden. This performance led to him being asked to sing the anthem many, many times in the coming years with his last rendition being at a World Series game in 2005. Rawls passed away in January of the following year."
"Ben of ""Zoolander"".   		7 letters",STILLER.    	Ben Stiller is the son of actors Jerry Stiller and Anne Meara. Ben is perhaps as well-known as a director as he is an actor. He made his debut as a director in the film 'Reality Bites' in 1994.
Comic Mandel.   		5 letters,"HOWIE.    	Howie Mandel is a Canadian ""funny guy"". He's making a lot of money a few years ago as host of ""Deal or No Deal"", and now as a judge on ""America's Got Talent"". But I remember him from ""St. Elsewhere"" in the eighties, the first American TV show that I started to watch regularly when I moved to the US."
"""___ in Calico"" (jazz standard).   		5 letters","A GAL.    	""A Gal in Calico"" is a jazz song written for the 1946 movie ""The Time, the Place and the Girl""."
"""The Color Purple"" role.   		5 letters","CELIE.    	Whoopi Goldberg played Celie Harris Johnson in Steven Spielberg's ""The Color Purple"", the 1985 screen adaptation of the novel of the same name by Alice Walker."
One with a deadly tongue.   		8 letters,"ANTEATER.    	Anteaters tear open ant and termite nests using their sharp claws and then eat up the eggs, larvae and mature ants using their tongues. They have very sticky saliva which coats the tongue hence making the feeding very efficient. The tongue also moves very quickly, flicking in and out of the mouth at 150 times per minute."
La Scala's home.   		5 letters,"MILAN.    	La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name: 'Teatro alla Scala' in Italian."
Bean.   		4 letters,"CONK.    	The bean, the conk, the head ..."
Riled (up).   		3 letters,"HET.    	Someone who is 'het up' is 'worked up, angry'. 'Het' is an archaic word meaning 'heated'."
"""Network"" director.   		5 letters","LUMET.    	The movie ""Network"" was released in 1976. It was directed by Sidney Lumet and stars Peter Finch in his final role, for which he won a posthumous Academy Award. That Oscar for Peter Finch was remarkable in that it was the time the Best Actor award had been won after the actor passed away, and it was the first time it had been won my an Australian."
Corleone who broke Michael's heart.   		5 letters,"FREDO.    	Fredo Corleone is a middle son in the Corleone family that features in Mario Puzo's ""The Godfather"". He was considered the weak son, and was reduced to the role of ""gopher"". Fredo was with his father when Don Corleone was shot. He tried to retaliate as the shooting took place, but dropped his gun. On the screen, Fredo was played by Italian-American actor John Cazale."
"Herb sometimes called ""sweet anise"".   		6 letters","FENNEL.    	Fennel is a hardy perennial plant species in the celery family that is used as a herb. It also goes by the name 'sweet anise'. Personally, I can't stand fennel ..."
"""To Live and Die ___"" (1985 film).   		5 letters","IN LA.    	""To Live and Die in L.A."" is novel written by Gerald Petievich, a former Secret Service agent. The book was made into a pretty successful 1985 film starring William L. Petersen, the former lead from TV's ""CSI"". Petersen plays the good guy, and Willem Dafoe the bad guy. The plot is all about a pair of Secret Service agents tracking down a counterfeiter. I haven't seen the film, but it's on my list ..."
"Cleveland player, for short.   		3 letters","CAV.    	The Cleveland Cavaliers are the professional basketball team based in Cleveland, Ohio. The Cavs joined the NBA as an expansion team in 1970."
Singer Green.   		6 letters,CEE LO.    	Cee Lo Green is the stage name of rapper Thomas DeCarlo Callaway. Apparently Green is one of the coaches for the contestants on the singing TV show 'The Voice'. That's all I need to know ...
Tag end?.   		3 letters,GEE.    	The end of the word 'tag' is a letter G (gee).
River that drains the Everglades into Biscayne Bay.   		5 letters,"OLETA.    	The Oleta River runs just north of Miami, and drains the northern Everglades into Biscayne Bay. The Oleta River shoreline runs for about 7 miles and is undeveloped, a haven in the middle of the the largely built-up Miami-Dada County."
Oscar snubber of 1972.   		6 letters,"BRANDO.    	Marlon Brando won the Oscar for Best Actor for his portrayal of Vito Corleone in the 1972 blockbuster ""The Godfather"". He turned down the award and didn't attend the ceremony. Instead he sent a Native American rights activist called Sacheen Littlefeather who made a speech protesting the depiction of Native Americans in Hollywood movies. Brando wasn't the first person to refuse an Oscar. George C. Scott did the same thing when he won for playing the title role in 1970's ""Patton"". Scott just didn't like the whole idea of ""competing"" with other actors."
Street with an office.   		5 letters,DELLA.    	Della Street was Perry Mason's very capable secretary in the Erle Stanley Gardner novels. Street was played in the TV show by the lovely Barbara Hale.
Cask maker.   		6 letters,"COOPER.    	A cooper is a craftsman who makes wooden vessels, such as barrels."
