Standoff.   		7 letters,IMPASSE.    	Impasse is a French word for a blind alley or an impassable road.
Union in 1999 news.   		10 letters,"EXXONMOBIL.    	The Exxon Corporation was a descendant of John D. Rockefeller's Standard Oil Company. Exxon merged with Mobil (yet another descendant of Standard Oil) in 1999, forming ExxonMobil."
"Larry Bird, during his playing days.   		6 letters","CELTIC.    	Larry Bird played basketball for the Boston Celtics from 1978 to 1992. Bird has a lot of very loyal fans, and some might even be described as fanatical. In 2005 an Oklahoma City man was convicted of a crime involving a shooting. On being sentenced to 30 years imprisonment, the guilty man requested that the sentence be changed to 33 years so that it matched the number on Larry Bird's jersey. The judge obliged ..."
Bay window.   		5 letters,"ORIEL.    	An oriel window is a bay window that projects from a wall, but does not reach all the way to the ground."
Astronomical red giant.   		6 letters,"C STAR.    	A carbon star (""C"" star) is a star with an atmosphere rich in carbon, more carbon than oxygen. Such an atmosphere is very 'sooty' and as such might appear very red in color when viewed through a telescope."
"""Pygmalion"" monogram.   		3 letters","GBS.    	George Bernard Shaw was a very successful Irish playwright. He is the only person to have been awarded both a Nobel Prize for Literature, and an Oscar. Shaw won his Oscar for the adapting his own play ""Pygmalion"" for the 1938 film of the same name starring Leslie Howard and Wendy Hiller. Most people are more likely to have seen the musical adaption of ""Pygmalion"" that went by the title ... ""My Fair Lady""."
"Person with a mortgage, e.g.   		6 letters","LIENEE.    	Many a homeowner has a mortgage payment, meaning that a consensual lien is in place, an arrangement between creditor and debtor."
Something placed in the mouth of a pitcher?.   		4 letters,CHAW.    	A baseball pitcher might pop some 'chaw' in his (or her) mouth.
"""The Joy Luck Club"" director, 1993.   		4 letters",WANG.    	'The Joy Luck Club' is a 1993 screen adaptation of the book of the same name by Amy Tan. The movie was directed by the Chinese American director Wayne Wang.
Priority Inbox offerer.   		5 letters,"GMAIL.    	I use Gmail for almost all my email needs, and find it to be the best of the free services, and better than the pay service I had for many years. Gmail ""learns"" what is important in your inbox and as emails arrive it places what it calls Priority Inbox emails at the top of the list."
"Scan, as a U.P.C.   		4 letters","READ.    	UPC stands for Universal Price Code. The first UPC-marked item to get scanned in a store was on June 26, 1974 at 08:01 a.m. at Marsh's supermarket in Troy, Ohio. It was a 10-pack of Wrigley's Juicy Fruit chewing gum ..."
Smiley's creator.   		8 letters,"LE CARRE.    	John Le Carre is the pen name of David Cornwell, an English author famous for his spy novels. Cornwell worked for British Intelligence during the fifties and sixties, even as he was writing his spy thrillers. He left MI6 soon after his most famous 1963 novel ""The Spy Who Came in from the Cold"", became such a great success."
Fiancée of Napoleon.   		7 letters,"DESIREE.    	Désirée Clary was a young lady from Marseille in the south of France. Clary was engaged for a few months to Napoleon Bonaparte, until the general met Joséphine de Beauharnais whom he married in 1796. Eventually though, Clary became Queen of Sweden and Norway as consort to King Charles XIV John."
640 57-Acrosses: Abbr..   		5 letters,"SQ MI.    	One square mile is the same as one mile square. However, ten square miles isn&#8217;t the same as ten miles square. Ten miles square is a square area with side of ten miles each, hence one hundred square miles (10 miles x 10 miles)."
One present in spirit?.   		5 letters,"GHOUL.    	Our word 'ghoul' comes from the Arabic 'ghul', the name for an evil spirit that feeds on corpses."
"""You ___ handle the truth!"".   		5 letters","CAN'T.    	The line, 'You can't handle the truth!' is of course spoken by the Jack Nicholson character in the superb 1992 movie 'A Few Good Men'. The line was voted the 29th greatest American movie quote of all time in the AFI's 2005 list ('Frankly, my dear, I don't give a damn' was at the number-one spot)."
Gang woman.   		4 letters,"MOLL.    	The slang term 'moll' is a used for the female companion of a gangster. 'Moll' is short for 'Molly', which is a nickname for 'Mary'. In 17th century England a moll was a prostitute."
*Does some batiking.   		4 letters,"DYES.    	Genuine batik cloth is produced by applying wax to the parts of the cloth that are not to be dyed. After the cloth has been dyed, it is dried and then dipped into a solvent that dissolves the wax."
Rabid dog in a Stephen King story.   		4 letters,"CUJO.    	""Cujo"" is a Stephen King horror novel, which means that I have never read it (I don't do horror). The character Cujo is a rabid St. Bernard dog which besieges a young couple for three days in their stalled car. King tells us that he lifted the dog's name from real life, as Cujo was the nickname of Willie Wolfe, one of the men responsible for the 1974 kidnapping of Patty Hearst by the Symbionese Liberation Army."
Cuban musical form.   		5 letters,"MAMBO.    	The form of music and dance known as mambo developed in Cuba. 'Mambo' means 'conversation with the gods' in Kikongo, a language spoken by slaves taken to Cuba from Central Africa."
Hipbone-related.   		5 letters,ILIAC.    	The sacrum and the two ilia are three bones in the human pelvis.
Challah form.   		5 letters,BRAID.    	Challah is a special braided bread that is eaten by Ashkenazi Jews on the Sabbath. The bread is served to commemorate the manna that fell from the heavens as the Israelites wandered around the desert after the Exodus from Egypt.
20 Questions category.   		7 letters,MINERAL.    	The parlor game of Twenty Questions originated in the US and really took off in the late forties as it became a weekly quiz show on the radio. Am I the only one who thinks that there aren't enough quiz shows on the radio these days? I have to resort to listening to the BBC game shows over the Internet ...
Subject of 2002 Senate authorization.   		8 letters,"IRAQ WAR.    	The Iraq Resolution authorizing the use of military force passed the US Congress in October 2002. The vote passed in the House of Representatives with 297 Ayes, 133 Nays (including 6 Republicans and 1 independent). The vote passed in the Senate with 77 Ayes and 23 Nays (including one Independent and one Republican, Lincoln Chafee, now the Independent Governor of Rhode Island)."
Word puzzle with pictures.   		5 letters,REBUS.    	You'll see rebus crosswords in the New York Times quite often. A rebus puzzle is one in which some squares are replaced with a symbol or picture (although we often use multiple letters when solving).
Heads across the pond.   		3 letters,"WCS.    	When I was growing up in Ireland, a ""bathroom"" was a room that had a bath and no toilet. The separate room with the commode was called ""the toilet"" or sometimes the W.C. (the water closet). Apparently the term closet was used because in the 1800s when homeowners started installing toilets indoors they often displaced clothes and linens in a ""closet"", as a closet was the right size to take the commode. It has been suggested that the British term ""loo"" comes from Waterloo (water-closet ... water-loo), but no one seems to know for sure. Another suggestion is that the term comes from the card game of ""lanterloo"" in which the pot was called the loo!"
Pleasure boats.   		6 letters,"SLOOPS.    	Sloops and cutters are sailboats, and each has just one mast. One major difference between the two types of vessel is that the mast on a cutter is set much further aft than the mast on a sloop."
Indiana Jones venue.   		4 letters,TOMB.    	Apparently Sean Connery's version of James Bond was a major inspiration for the Indiana Jones character created by George Lucas and Steven Spielberg. And that's why Connery was invited to play Indiana's father in 'Indiana Jones and the Last Crusade'.
"Nelson who wrote ""The Man With the Golden Arm"".   		6 letters","ALGREN.    	Nelson Algren was an author from Detroit who is best known today for his 1949 novel 'The Man with the Golden Arm'. The famous novel won the National Book Award and was made into a celebrated 1955 film of the same name starring Frank Sinatra. Algren also wrote a novel called 'A Walk on the Wild Side', the title of which was used in a great 1972 Lou Reed song."
Billiards need.   		4 letters,"RACK.    	What are known as 'billiard sports' are also called 'cue sports', with billiard being the French name for the cue. It's thought that 'billiard' is derived from an Old French word for a 'stick'."
"Naval petty officer, briefly.   		3 letters","YEO.    	In the US Navy, a yeoman is tasked with administrative and clerical work. In fact, the position of yeoman is the oldest rating in the navy."
Bonn exclamations.   		4 letters,"ACHS.    	The German exclamation ""ach!"" is usually translated into English as ""oh!"""
Afghanistan's national airline.   		6 letters,"ARIANA.    	Ariana Afghan Airlines was established in 1955, with 49% of the company being owned by Pan Am, although these days the airline is 100% owned by the Afghan government. Due to perceived safety issues, the Ariana was nicknamed ""Scariana"" in an article in ""National Geographic""."
___ de France.   		4 letters,"TOUR.    	Back in the late 1800s, long-distance cycle races were used as promotional events, traditionally to help boost sales of newspapers. These races usually took place around tracks, but in 1902 the backers of the struggling sports publication ""L'Auto"" decided to stage a race that would take the competitors all around France. That first Tour de France took place in 1903, starting in Paris and passing through Lyon, Marseilles, Bordeaux, Nantes and then back to Paris."
Slave-making ants steal them.   		5 letters,"PUPAE.    	The Amazon ant is a remarkable creature. It has evolved to the extent that it can no longer care for its young or even provide for itself directly. What it can do is raid the nests of other ant species, stealing pupae and bringing them back to its own nest. When the pupae develop into maturity, the ""enslaved"" ants take care of the young Amazon ants and provide food for the whole colony."
"Wolfe or Woolf, e.g.: Abbr..   		4 letters","AUTH.    	The American author Tom Wolfe started out his career as a journalist, and was very much at the center of the New Journalism literary movement of the sixties and seventies. His first book of note was 'The Electric Kool-Aid Acid Test' that tells the story of Ken Kesey and his Merry Pranksters. Wolfe also wrote 'The Right Stuff' about the post-war test pilots and the Project Mercury astronauts."
"""Casablanca"" villains.   		7 letters","GESTAPO.    	Gestapo is a contraction for ""Geheime Staatspolizei"", or ""Secret State Police"". The Gestapo was formed in 1934, not long after Adolf Hitler took power as Chancellor of Germany in 1933."
Rat Island natives.   		6 letters,"ALEUTS.    	Rat Island in the western Aleutians in Alaska has no permanent human population. A Japanese ship was wrecked on the coast of the island in 1780, and as a result the ship's population of rats ran for land. Since then, the island has been overrun with the offspring of those Japanese brown rats."
Biblical mount where Aaron died.   		3 letters,"HOR.    	In the Hebrew Bible and the Qur'an, Aaron was the brother of Moses."
Creator of Aslan and the White Witch.   		9 letters,"C S LEWIS.    	In the C. S. Lewis books, Aslan is the name of the lion character (as in ""The Lion, the Witch and the Wardrobe""). Aslan is actually the Turkish word for lion. Anyone who has read the books will recognize the the remarkable similarity between the story of Aslan and the story of Christ, including a sacrifice and resurrection."
Stanford of Stanford University.   		6 letters,"LELAND.    	Leland Stanford became a very successful businessman in California after moving there from New York during the Gold Rush. Stanford then served as governor of the state for two years, and later US Senator for California. He founded the Leland Standford Junior University in memory of his teenage son who died of typhoid fever while the family was travelling in Italy in 1884. The university opened its doors for business in 1891, and the first student admitted was none other than Herbert Hoover, the man would become the 31st President of the US."
Dancer's strap?.   		4 letters,"REIN.    	Santa Claus controls Dancer, and the rest of his reindeer, using reins."
Pond creatures.   		6 letters,"AMEBAE.    	An ameba (or ""amoeba"" as we spell it back in Ireland) is a single-celled microorganism. The name comes from the Greek ""amoibe"", meaning change. The name is quite apt, as the cell changes shape readily as the ameba moves, eats and reproduces."
"Very clumsy person, in slang.   		4 letters","SPAZ.    	I don't like the term ""spaz"" at all. 'Spaz' describes someone who is clumsy or inept, and comes from the word ""spastic""."
Wimbledon champ Gibson.   		6 letters,"ALTHEA.    	Althea Gibson was known as ""the Jackie Robinson of tennis"" as she broke the ""color barrier"" and became the first African-American woman to win a Grand Slam title, in France in 1956. She was quite the athlete and was a great golfer as well as tennis player. She was the first African-American woman to play in the Ladies PGA tour, although she never had a win. Outside of sport, she sang a little and recorded an album, and even appeared in a movie (""The Horse Soldiers"") with John Wayne and William Holden. Sadly, towards the end of her life she ended up destitute and on welfare. When her plight was made known in a tennis magazine, well-wishers from all over the world sent her gifts of money, a total of nearly one million dollars. Quite a story ..."
Record listing.   		5 letters,PRIOR.    	A criminal's police record lists prior offences.
"""Mona Lisa"" feature.   		5 letters","SMILE.    	Leonardo da Vinci's masterpiece that we know in English as the ""Mona Lisa"" is called ""La Gioconda"" in Italian, the language of the artist. It's also known as ""La Joconde"" by the Government of France which owns the painting and displays it in the Louvre Museum in Paris. The title comes from the name of the subject, almost certainly Lisa Gherardini, wife of Francesco del Giocondo. Giocondo was a wealthy silk merchant in Florence who commissioned the painting for the couple's new home to celebrate the birth of their second son."
"Fleetwood or Eldorado, informally.   		5 letters",CADDY.    	Fleetwood and Eldorado are models of Cadillac.
Nickname for the Anaheim Angels.   		5 letters,"HALOS.    	The Anaheim Angels are today more correctly called the Los Angeles Angels of Anaheim. The 'Angels' name comes from when team was founded in 1961 in the 'City of Angels', Los Angeles. When the franchise moved to Anaheim in 1965 they were known as the California Angels, then the Anaheim Angels, and most recently the Los Angeles Angels at Anaheim."
Pivotal times.   		6 letters,"D-DAYS.    	The most famous D-Day in history was June 6, 1944, the date of the Normandy landings in WWII. The term ""D-Day"" is used in the military to designate the day on which a combat operation is to be launched, especially when the actual date has yet to be determined. What D stands for seems to have been lost in the mists of time although the tradition is that it just stands for ""Day"". In fact, the French have a similar term, ""Jour J"" (Day J), with a similar meaning. We also use H-Hour to denote the hour the attack is to commence."
Surfboard fin.   		4 letters,"SKEG.    	A skeg is an extension to the keel of a boat, towards the stern. A skeg is also the name for the fin on the underside of a surfboard, positioned towards the rear."
1990 A.L.   		6 letters,"ALOMAR.    	Sandy Alomar, Jr. is a professional baseball player from a famous baseballing family. His father is former major leaguer Sandy Alomar, Sr. and his brother is former second baseman Roberto Alomar."
Cheesemaker's supply.   		6 letters,RENNET.    	Rennet is an enzyme complex that is produced in the stomach of mammals. It is used by children to digest a mother's milk. Rennet is also used to coagulate milk in cheese production.
Fishing hooks.   		5 letters,GAFFS.    	A gaff is that dangerous-looking metal hook on the end of a pole that fishermen use to drag large fish into their boats.
"""Bad Teacher"" star, 2011.   		4 letters","DIAZ.    	The Hollywood actress Cameron Diaz started out her professional life as a model. Diaz's first acting role was in the 1994 film 'The Mask', starring alongside Jim Carrey."
Jonas who developed a polio vaccine.   		4 letters,"SALK.    	Jonas Salk was an American medical researcher, famous for developing the first safe polio vaccine. In the fifties, especially after the 1952 polio epidemic, the biggest health fear in the US was polio because it killed thousands, left even more with disabilities and most of the victims were children. The situation was dire and the authorities immediately quarantined the family of any polio victim, and that quarantine was so strict that in many cases the families were not even permitted to attend the funeral of a family member who died from the disease."
Start of Caesar's boast.   		6 letters,"I CAME.    	The oft-quoted ""Veni, vidi, vici"" (""I came, I saw, I conquered"") is believed by many to have been written by Julius Caesar. The words date back to 47 BC and refer to the short war between Rome and Pharnaces II of Pontus."
"""Stat!"".   		3 letters","NOW.    	The exact etymology of ""stat"", used to mean ""immediately"" in the medical profession, seems to have been lost in the mists of time. It probably comes from the Latin ""statim"" meaning ""to a standstill"". How that morphed into ""at once"" is unclear."
"Actor Patel of ""The Best Exotic Marigold Hotel"".   		3 letters","DEV.    	Dev Matel is an actor from Harrow in England. Patel is best known for playing the lead in the hit movie 'Slumdog Millionaire'. Most recently I saw him a lovely 2012 film called 'The Best Exotic Marigold Hotel' alongside an incredible cast that included Judi Dench, Bill Nighy, Maggie Smith and Tom Wilkinson."
El ___.   		4 letters,"PASO.    	Although there have been human settlements in the El Paso area for thousands of years, the first European settlement was founded in 1659 by the Spanish. That first community was on the south bank of the Rio Grande, and was called El Paso del Norte (the North Pass). Most of the urban development under Spanish rule took place on the south side of the river, with El Paso del Norte acting as the center of governance for the Spanish for the territory of New Mexico. The Rio Grande was chosen as the border between Mexico and the US in 1848, so most of the city of El Paso del Norte became part of the Mexican state of Chihuahua (and is now called Cuidad Juarez). The area north of the river developed as a US military post, eventually becoming the modern city of El Paso, Texas."
Oscar-nominated Pat.   		6 letters,"MORITA.    	Pat Morita was a Japanese-American actor, born in Isleton, California. Morita's most noted roles were playing 'Arnold' on TV's 'Happy Days', and Mr. Miyagi in 'The Karate Kid' movies. Morita was just a child during WWII and spent most of it in the Gila River internment camp in Arizona with this family"
Side of a road.   		4 letters,"BERM.    	A berm is narrow ledge, usually at the top or bottom of a slope. The name 'berm' is also used as the shoulder of a road in some parts of the United States."
Weathercaster's pressure line.   		6 letters,ISOBAR.    	An isobar is a line on a weather map connecting points of equal barometric pressure.
Massey of old movies.   		5 letters,"ILONA.    	Ilona Massey was a Hollywood actress, a native of Budapest in Hungary. Given her cultural background and the period at which she hit the big screen, she was marketed by the studios as ""the new Dietrich""."
TKO callers.   		4 letters,"REFS.    	In boxing, a knockout (KO) is when one of the fighters can't get up from the canvas within a specified time, usually 10 seconds. This can be due to fatigue, injury, or the participant may be truly ""knocked out"". A referee, fighter, or doctor may also decide to stop a fight without a physical knockout, especially if there is concern about a fighter's safety. In this case, the bout is said to end with a technical knockout (TKO)."
The hotheaded Corleone.   		5 letters,"SONNY.    	Sonny Corleone was oldest son of Don Vito Corleone in Mario Puzo's great novel ""The Godfather"". In the movie, Sonny was played by James Caan. Sonny appears as a boy in the movie ""The Godfather: Part II"", and is played by director Francis Ford Coppola's own son, Roman Coppola."
"""That's mine!"".   		4 letters","DIBS.    	When a child says 'dibs', he or she is making a claim on something, calling it his or hers. 'Dibs' is derived from the word 'dibstone', a piece once used as a jack in a children's game."
"Rescuer of Mowgli in ""The Jungle Book"".   		3 letters",KAA.    	Kaa is the python character in Rudyard Kipling's 'The Jungle Book'.
"Aretha Franklin, the Queen of ___.   		4 letters","SOUL.    	I think Aretha Franklin, the Queen of Soul, had a tough life. She had her first son when she was 13-years-old, and her second at 15. In 2008, ""Rolling Stone"" magazine ranked her as number one in their list of the greatest singers of all time."
"Home to da Vinci's ""L'Ultima Cena"".   		6 letters","MILANO.    	""L'Ultima Cena"" is Italian for ""The Last Supper""."
Stronghold.   		7 letters,CITADEL.    	A citadel is a fortress built to protect a town or a city. Both the words 'city' and 'citadel' come from the Latin word 'civis' meaning 'citizen'.
Keys.   		6 letters,"ISLETS.    	A ""key"" (also ""cay"") is a low island offshore, as in the Florida Keys. Our term in English comes from the Spanish ""cayo"" meaning ""shoal, reef""."
"Incendiary fuel in ""Apocalypse Now"".   		6 letters","NAPALM.    	The epic war drama ""Apocalypse Now"" was released in 1979 and starred Martin Sheen as Captain Willard and Marlon Brando as Colonel Kurtz. The premise of the film is that both Willard and Kurtz are special ops officers, with Willard sent into the jungle to assassinate Kurtz who has ""gone rogue"". The film is notorious for the trouble that director Francis Ford Coppola had completing the shoot. Brando turned up on set grossly overweight (as a special ops guy!), and Martin Sheen had a heart attack during filming."
Like flicks seen without special glasses.   		5 letters,"TWO-D.    	Characters in 3D movies appear to jump of the screen, moving in three dimensions. In a regular film the characters move around on the flat screen, in just two dimensions."
Feature of many a Jet Li film.   		7 letters,"TAI CHI.    	Jet Li's real name is Li Jian Jie, a martial artist and international film star from Beijing, China. He played a villain in ""Lethal Weapon 4"", and had a leading role in the 2000 movie ""Romeo Must Die""."
Vertebral column parts.   		5 letters,SACRA.    	The sacrum is a bone at the base of the spine.
Garden pest genus.   		5 letters,"APHIS.    	What we commonly call aphids belong to the genus ""aphis""."
Product whose name lost its period in the 1950s.   		9 letters,"DR PEPPER.    	Dr Pepper was introduced in 1885 in Waco, Texas, one year before the competing Coca-Cola was released to the market."
"Player of the bad teacher in ""Bad Teacher"".   		4 letters","DIAZ.    	The Hollywood actress Cameron Diaz started out her professional life as a model. Diaz's first acting role was in the 1994 film 'The Mask', starring alongside Jim Carrey."
London's Old ___.   		3 letters,"VIC.    	The Old Vic is a very famous theater (or I should I say ""theatre""?) in London, previously known as the Royal Coburg Theatre and then the Royal Victorian Theatre (giving it the current name ""The Old Vic""). The theater owes a lot of its fame and standing to the fact that it housed the National Theater of Great Britain after it was founded in 1963 by Sir Laurence Olivier. Today the National Theater has new, modern premises, but the Old Vic Theatre Company stills garners a lot of attention. The current, and very energetic, artistic director of the company is American actor, Kevin Spacey."
Sch.   		4 letters,"CCNY.    	The City College of New York is a college of the City University of New York. The City College was founded as the Free Academy of the City of New York in 1847, and was the first free public institution of higher education in the whole country."
"Slinky, e.g.   		4 letters","COIL.    	The marvelous Slinky toy was invented in the early forties by a naval engineer called Richard James. James was developing springs for the navy that could stabilize sensitive instruments in rough seas. One day he accidentally knocked one of his experimental coils off a shelf and watched it ""step' onto a stack of books, then onto a table, and onto the floor where it recoiled itself very neatly. The Slinky was born ..."
Capitale européenne.   		5 letters,"BERNE.    	In French, Bern (Berne) is a European capital (capitale européenne)."
"Winston's biggest fear in ""1984"".   		4 letters","RATS.    	George Orwell's famous novel actually has the title 'Nineteen Eighty-Four' (as opposed to ""1984""), with the date spelled out."
Learn by ___.   		7 letters,"OSMOSIS.    	Osmosis is the movement of a solvent (often just water) across a semi-permeable membrane. In the process of osmosis, the solvent tends to flow from an area of less concentration to an area of higher concentration. This sense of ""absorbing"" water effortlessly gives rise to the expression ""learning by osmosis""."
"One of the housewives on ""Desperate Housewives"".   		4 letters","BREE.    	The character Bree is played by Marcia Cross on ""Desperate Housewives"" (I haven't even seen one episode!). During pre-production, the show was called ""Wisteria Lane"" and then ""The Secret Lives of Housewives""."
Bridge type.   		7 letters,"AUCTION.    	The version of the card game bridge that is mostly played today is 'contract bridge'. 'Auction bridge' is a similar game, and a precursor to contract bridge."
1959 doo-wop classic.   		18 letters,A TEENAGER IN LOVE.    	The classic song 'A Teenager in Love' was released by Dion and the Belmonts in 1959.
"Conan O'Brien, e.g.   		7 letters","REDHEAD.    	Before Conan O'Brien came to fame as a late night talk show host, he was a writer. O'Brien wrote for both ""Saturday Night Live"" and ""The Simpsons""."
Literary critic Broyard.   		7 letters,"ANATOLE.    	Anatole Broyard was a writer and critic, and for fifteen years wrote daily book reviews for 'The New York Times'."
"""Frasier"" character.   		5 letters","NILES.    	In the sitcom called 'Frasier', Niles Crane is the brother of the title character Frasier Crane. Fraiser is played by Kelsey Grammar and Niles is played by David Hyde Pierce. Frasier was originally intended to be an only child in the show's storyline, but the producers decided to add a brother when they noted that David Hyde Pierce looked remarkably like Kelsey Grammar."
"""...   		6 letters","IN HIS.    	He's Got the Whole World in His Hands' is an American spiritual. The song was first published in 1927, and gained popularity in 1958 when English singer Laurie London released a version that topped the charts on both sides of the Atlantic. London was only 13 years old when he had that number one hit."
Towers in the high country?.   		6 letters,"T-BARS.    	A T-bar is a type of ski lift in which the skiers are pulled up the hill in pairs, with each pair sitting either side of T-shaped metal bar. The bar is placed behind the thighs, pulling along the skier who remains standing on his/her skis (hopefully!). There's also a J-bar, a similar device, but with each J-shaped bar used by one skier at a time."
Julian Assange posting.   		4 letters,"LEAK.    	Julian Assange is the man who founded WikiLeaks, the website that is notorious for publishing information provided by whistleblowers. Assange is currently in England and recently lost an appeal to avoid extradition to Sweden to face charges of sexual assault. Just today, Assange entered the Ecuadorian Embassy in London and is seeking political asylum."
Country with a tree on its flag: Abbr..   		3 letters,"LEB.    	The Lebanese flag has two red stripes, one at the top and one at the bottom, designed to symbolize the blood that was shed in the cause of the country's liberation. Between each red stripe is a white background that represents peace, as well as the snow on the Lebanese mountains. In the center of the flag is a green cedar tree, a reference to the cedars of Lebanon that are mentioned several times in the Bible."
*Black(JACK).   		10 letters,"TWENTY-ONE.    	The game of ""twenty-one"" was first referred to in a book by Cervantes, the author famous for writing ""Don Quixote"". He called the game ""ventiuna"" (Spanish for ""twenty-one""). Cervantes wrote his story just after 1600, so the game has been around at least since then. Twenty-one came to the US but it wasn't all that popular so bonus payouts were introduced to create more interest. One of more noted bonuses was a ten-to-one payout to a player who was dealt an ace of spades and a black jack. This bonus led to the game adopting the moniker ""Blackjack""."
French words describing how roast beef is often served.   		6 letters,AU JUS.    	The French term 'au jus' is usually translated as 'with it's own juice'.
"""The Lion, the Witch and the Wardrobe"" writer.   		9 letters","C S LEWIS.    	Irishman C. S. Lewis moved to Britain after serving in the British Army in WWI. A man of many achievements, he is perhaps today best remembered for his series of novels for children called ""The Chronicles of Narnia"" (which includes 'The Lion, the Witch and the Wardrobe'). He also wrote the ""The Four Loves"", a non-fiction work exploring the nature of love from a Christian perspective."
Entre ___.   		4 letters,"NOUS.    	""Entre nous"" is French for ""between us""."
"90210, e.g.   		8 letters","ZIP CODE.    	ZIP codes were introduced in 1963. The acronym ZIP stands for Zone Improvement Plan, a name indicating that mail travels more efficiently when the codes are included in the postal address."
Mythical archer.   		5 letters,CUPID.    	Cupid is the god of desire and erotic love in Roman mythology. The Greek counterpart of Cupid is Eros.
1978 Bob Fosse musical.   		7 letters,DANCIN'.    	The 1978 musical revue 'Dancin'' was Bob Fosse's answer to the hit 1975 music 'A Chorus Line'.
Like centenarians.   		4 letters,AGED.    	A centenarian is someone aged 100 years or older.
1973 nonfiction best seller about a woman with multiple personalities.   		5 letters,"SYBIL.    	""Sybil"" is a 1973 book by journalist Flora Rheta Schreiber about a woman who suffers from dissociative identity disorder. Sybil (a pseudonym to protect the identity of the patient) at various times manifests sixteen different, very specific personalities, each with very specific characteristics. The book was made into a well-received television mini-series in 1976, starring Sally Field in the title role."
"""___ Ballet"" (""A Chorus Line"" song).   		6 letters","AT THE.    	'A Chorus Line' is a phenomenal hit musical first staged in 1975. The original Broadway production ran for well over 6,000 performances, making it the longest running production in Broadway history, a record held for over 20 years (until ""Cats"" came along)."
A search may be done with it.   		4 letters,"BING.    	Bing is the search engine from Microsoft. Bing is the latest name for an engine that Microsoft used to call Live Search, Windows Live Search and MSN Search."
"Silver, in the Sierra Madres.   		5 letters","PLATA.    	'Oro, plata, bronce' is 'gold, silver, bronze' in Spanish."
Man-made habitat.   		6 letters,"SEALAB.    	SEALAB I, II and II were man-made habitats built by the US Navy designed to advance the technology needed for humans to live and work underwater for extended periods. SEALAB I was lowered to a depth of just under 200 feet off the coast of Bermuda in 1964. Four divers stayed in SEALAB for 11 days, before the experiment was halted due to the approach of a tropical storm."
Letter attachment?.   		7 letters,CEDILLA.    	A cedilla is the diacritical mark under the letter C in the word 'garçon'.
___-Obama Proliferation and Threat Reduction Initiative (2007 law).   		5 letters,"LUGAR.    	Richard ""Dick"" Lugar is a veteran Republican Senator representing Indiana in the US Congress. He is the ranking member on the Senate Foreign Relations Committee, and is noted for his work to dismantle existing weapons of mass destruction all around the world."
Galahad's protection.   		5 letters,"ARMOR.    	Sir Galahad is one of the Knights of the Round Table of Arthurian legend. He is the illegitimate son of Sir Lancelot, so appears a little later in the tales. He is very gallant and noble, and some see him as the embodiment of Jesus in the Arthurian tradition. Indeed, legend has it that his soul was brought to heaven by Joseph of Arimathea, the man who donated his own tomb for the burial of Jesus according to the Gospels."
Dr.   		9 letters,"THE LORAX.    	""The Lorax"" is a children's book written by Dr. Seuss. It is an allegorical work, questioning the problems created by industrialization, and in particular the impact of industry on the environment."
Line of cliffs.   		5 letters,"SCARP.    	A scarp is a steep slope or a line of cliffs, especially one created by erosion. An alternative name is an escarpment."
"Singer whose first top 10 hit was ""Where Does My Heart Beat Now"".   		11 letters","CELINE DION.    	French-Canadienne singer Céline Dion first came to international attention when she won the 1988 Eurovision Song Contest, representing Switzerland in the competition that was hosted in Dublin, Ireland."
Prefix with -porosis.   		6 letters,"OSTEO-.    	The name 'osteoporosis' is Greek for 'porous bones', a very descriptive name for a disease that is caused by a loss of mineral density in bones."
"""Love Lockdown"" singer West.   		5 letters","KANYE.    	Kanye West is a rap singer from Atlanta, Georgia. That's all I know ..."
"Eavesdrop, maybe.   		3 letters","PRY.    	To ""eavesdrop"" is to listen in on someone else's conversation without being invited to do so. The term comes from the practice of spies loitering in the area just outside the walls of a house, particularly in the ""eavesdrip"", the ground close to a house that catches the drips of rainwater falling from the eaves of the roof."
Pipsqueak.   		5 letters,TWERP.    	Twerp and pipsqueak are both terms used for someone who is insignificant and contemptible.
"Calypso, e.g.   		6 letters","NEREID.    	In Greek mythology, Nereus and Doris had fifty daughters, the sea nymphs or nereids. The nereids often hung around with Poseidon, and were generally very helpful creatures to sailors in distress. Mainly, they were to be found in the Aegean, where they lived with their father in a cave in the deep. Some of the more notable names of the nereids are: Agave, Asia, Calypso, Doris, Erato, and Eunice."
"Sibelius's ""___ Triste"".   		5 letters","VALSE.    	Jean Sibelius is the most famous Finnish classical composer, and shall forever be linked with his wonderful symphonic poem, ""Finlandia"". Sibelius composed many lovely pieces of music right up until the mid 1920s when he was in his fifties. Despite all his efforts, he wasn't able to produce any noted works for the last thirty years of his life."
"Ravel's ""La ___"".   		5 letters","VALSE.    	Maurice Ravel was a great French composer of the Romantic Era. His most famous piece of music by far is his 'Bolero', the success of which he found somewhat irksome as he thought it to be a trivial work. Personally though, I love minimalism and simplicity ..."
Author ___ Hubbard.   		6 letters,"L. RON.    	L. Ron Hubbard wrote a self-improvement book in 1950 called ""Dianetics: The Modern Science of Mental Health"". A few years later the concepts were used in the founding of the Church of Scientology."
Bathe.   		4 letters,"LAVE.    	""To lave"" is to ""to wash, bathe"", from the Latin ""lavare"" meaning ""to wash""."
