"With 61-Across, physicist who studied supersonics.   		5 letters",ERNST.    	(61A. See 13-Down : MACH)
Actress Watts.   		5 letters,NAOMI.    	Naomi Watts was born in the UK and moved to Australia when she was 14 years of age. It was in Australia that Watts got her break in television and movies. Probably her most acclaimed role was in the 2003 film '21 Grams' with Sean Penn and Benicio del Toro. Watts is best friends with fellow Australian actress Nicole Kidman.
Order member.   		3 letters,"FRA.    	The title ""Fra"" (brother) is used by Italian monks."
Filtered stuff.   		4 letters,"SPAM.    	I think that the oft-quoted story may be true that the term SPAM, used for unwanted email, is taken from a ""Monty Python"" sketch. In the famous sketch the dialog is taken over by the word SPAM, a play on the glut of canned meat in the markets in Britain after WWII. So SPAM is used for the glut of emails that takes over online communication. I can just imagine nerdy Internet types adopting something from a ""Monty Python"" sketch to describe an online phenomenon ..."
Plain People.   		5 letters,"AMISH.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
Muslim leader.   		4 letters,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
Last Oldsmobile model.   		5 letters,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
"33 1/3, for an LP.   		3 letters","RPM.    	The first standard set for rotational speed of gramophone records was 78 rpm, but like so many things it seems, the US version of ""78"" was slightly different from that for the rest of the world. The US record was designed to play at 78.26 rpm, whereas the standard in the rest of the world was 77.92 rpm. So, imported records played on American equipment didn't sound quite as they were intended."
Grp.   		3 letters,"PLO.    	The Palestine Liberation Organization (PLO) was founded in 1964. The PLO's early stated goal was the liberation of Palestine, with Palestine defined as the geographic entity that existed under the terms of the British Mandate granted by the League of Nations back in 1923. The PLO was granted observer status (i.e. no voting rights) at the United Nations in 1974."
Brand with the flavor Fudge Tracks.   		5 letters,"EDY'S.    	Dreyer's ice cream sells it's products under the name Dreyers in Western United States, and Edy's in the Eastern states."
1964 Pontiac debut.   		3 letters,GTO.    	GTO stands for Gran Turismo Omologato.
Bulgarian or Croat.   		4 letters,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
U.S.   		6 letters,"O'HARA.    	Kelley O'Hara is soccer player who was a member of the national team when the US won the FIFA World Cup in 2015, and Olympic gold in 2012."
Priam's domain.   		4 letters,"TROY.    	Priam was king of Troy during the Trojan War. Reputedly, Priam was father to fifty sons and many daughters with his many wives. His eldest son and heir to the throne was Hector. Paris was another of Priam's sons, the man who caused the Trojan War by eloping with Helen, Queen of Sparta."
Dadaist Max.   		5 letters,"ERNST.    	Max Ernst was a painter and sculptor, a pioneer in the Dada movement and Surrealism. Ernst was born near Cologne in Germany in 1891 and he was called up to fight in WWI, as were most young German men at that time. In his autobiography he writes ""Max Ernst died the 1st of August, 1914"" a statement about his experiences in the war. In reality, Ernst died in 1976 having lived to the ripe old age of 85."
Bygone operator of N.Y.C.'s Second Avenue El.   		3 letters,"IRT.    	The Interborough Rapid Transit Company (IRT) was the original private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
"Dorm police, for short.   		3 letters","RAS.    	RAs are resident assistants or resident advisers, the peer leaders found in residence halls, particularly on a college campus."
Berkeley campus nickname.   		3 letters,"CAL.    	The University of California, Berkeley (Cal) is the most difficult public university to get into in the world. It opened in 1869 and is named for Anglo-Irish philosopher George Berkeley."
1958-61 polit.   		3 letters,UAR.    	The United Arab Republic (UAR) was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement.
Diamond with many cuts.   		4 letters,"NEIL.    	I saw Neil Diamond in concert about 15 years ago, and I must say he does put on a great show. His voice is cracking a bit, but that didn't seem to spoil anyone's enjoyment. I've also seen Diamond interviewed a few times on television, and I wouldn't say he has the most scintillating personality."
Content of la mar.   		4 letters,"AGUA.    	In Spanish, the sea (la mar) is full of water (agua)."
"With 22-Across, obsolescent club.   		3 letters",TWO.    	(22. See 4-Down : IRON)
"Ward of ""The Fugitive,"" 1993.   		4 letters","SELA.    	Sela Ward turns up in crosswords a lot. She played Teddy Reed in the TV show ""Sisters"" in the nineties, was in ""Once and Again"" from 1999-2002. I don't know either show. I do know her from ""House"" though. She played the hospital's lawyer, and Greg House's ex-partner. That was a fun role, I thought."
"""___ Beso"" (1962 hit).   		3 letters","ESO.    	""Eso Beso"" is Spanish for ""That Kiss"", and was the name of a hit for Canadian-born singer Paul Anka."
U.N.   		3 letters,"ILO.    	The ILO (International Labour Organization) is an agency now administered by the UN which was established by the League of Nations after WWI. The ILO deals with important issues such as health and safety, discrimination, child labor and forced labor. The organization was recognized for its work in 1969 when it was awarded the Nobel Peace Prize."
"""Glee"" girl.   		4 letters","TINA.    	The TV show called ""Glee"" has proven to be very popular. The storyline focuses on a high school glee club in Lima, Ohio called New Directions."
Valentine's Day flower.   		4 letters,"ROSE.    	Saint Valentine's Day was chosen by Pope Gelasius I in 496 AD to honor various martyrs with the name Valentine. However, the saints' day was dropped by the Catholic church in 1969, by Pope Paul VI. Try telling that to Hallmark though ..."
Actress Ward.   		4 letters,"SELA.    	The actress Sela Ward turns up in crosswords a lot. Ward played Teddy Reed in the TV show ""Sisters"" in the nineties, and was in ""Once and Again"" from 1999-2002. I don't know either show, but I do know her from the medical drama ""House"" in which she played the hospital's lawyer, and Greg House's ex-partner. That was a fun role, I thought. More recently Ward has been playing a lead role on ""CSI: NY"" and is a very welcome and much-needed addition to the cast ..."
"Tablet banner, say, briefly.   		3 letters",FDA.    	Food and Drug Administration (FDA)
Car in a Ronny & the Daytonas song.   		3 letters,GTO.    	The 1964 song 'G.T.O' was the debut recording for the surf rock group from the sixties known as Ronny & the Daytonas.
U.N.   		3 letters,"PLO.    	The Palestine Liberation Organization (PLO) was founded in 1964. The PLO's early stated goal was the liberation of Palestine, with Palestine defined as the geographic entity that existed under the terms of the British Mandate granted by the League of Nations back in 1923. The PLO is recognized as the sole legitimate representative of the Palestinian people by over one hundred countries, and was granted observer status (i.e. no voting rights) at the United Nations in 1974."
Rx overseer.   		3 letters,FDA.    	Food and Drug Administration (FDA)
Bond villain ___ Stavro Blofeld.   		5 letters,ERNST.    	Ernst Stavro Blofeld is a villain in the James Bond universe. Blofeld has been played on the big screen several times by different actors. My favorite is Donald Pleasance in 1967's 'You Only Live Twice'.
Kit ___.   		3 letters,"KAT.    	I grew up eating Kit Kat bars as a kid, as the chocolate confection has been around since the thirties. Kit Kats didn't hit the shelves in the US until the seventies. I've seen new varieties of Kit Kat over in the UK, such as an orange-flavored version, but haven't seen anything like that over here."
Rice-size pasta.   		4 letters,"ORZO.    	Orzo is pasta that has been formed into granular shapes, much like barley. And indeed, ""orzo"" is the Italian word for ""barley""."
Religious scholar.   		4 letters,"IMAM.    	An imam is a Muslim leader, often the person in charge of a mosque or perhaps a Muslim community."
Manhattan's ___ D.   		4 letters,"SARA.    	Sara Delano Roosevelt Park is in the Lower East Side of Manhattan. The park is named for Sara, the mother of President Franklin D. Roosevelt."
Mexico City sight.   		4 letters,"SMOG.    	""Smog"" is a portmanteau word formed by melding ""smoke"" and ""fog"". The term was first used to describe the air around London in the early 1900s. Several cities around the world have a reputation of being particularly smoggy. For example, the most smog-plagued city in Latin America is Mexico City, which is located in a highland 'bowl' that traps industrial and vehicle pollution."
RR stop.   		3 letters,STA.    	A station is a stop on a railroad line.
Boss Tweed nemesis.   		4 letters,"NAST.    	William Magear Tweed was known as ""Boss"" Tweed. He was a 19th-century, American politician who led the Democratic Party machine in New York, headquartered in Tammany Hall. He was one of the most successful of the corrupt politicians of the day, siphoning from taxpayers (in today's money) billions of dollars. In 1871 he was arrested, and served time in jail. He was then rearrested on civil charges and served time in debtor's prison. He managed to escape to Spain, but was arrested once more and extradited to the United States. He died in jail in 1878."
A Bobbsey twin.   		3 letters,"NAN.    	The 'Bobbsey Twins' series of children's novels was first written by Edward Stratemeyer in 1904. Stratemeyer used the pseudonym Laura Lee Hope, as did subsequent authors who wrote 72 books in the series between 1904 and 1979."
Blood-typing system.   		3 letters,"ABO.    	The most important grouping of blood types is the ABO system. Blood is classified as either A, B, AB or O, depending on the type of antigens on the surface of the red blood cells. A secondary designation of blood is the Rh factor, in which other antigens are labelled as either positive or negative. When a patient receives a blood transfusion, ideally the donor blood should be the same type as that of the recipient, as incompatible blood cells can be rejected. However, blood type O-neg can be accepted by recipients with all blood types, A, B, AB or O, and positive or negative. Hence someone with O-neg blood type is called a ""universal donor""."
"Towed-away auto, maybe.   		4 letters",REPO.    	Repossession (repo)
Part of the eye.   		4 letters,UVEA.    	The uvea is the middle of the three layers that make up the eyeball.
One-named soccer star.   		4 letters,"PELE.    	Pelé is the nickname of Edson de Nascimento, a soccer player who has used the name Pelé for most of his life. Pelé is now retired, and for my money was the world's greatest ever player of the game. He is the only person to have been part of three World Cup winning squads, and is a national treasure in his native Brazil."
Senate cover-up.   		4 letters,"TOGA.    	In Ancient Rome the classical attire known as a toga (plural 'togae') was usually worn over a tunic. The tunic was made from linen, and the toga itself was a piece of cloth about twenty feet long made from wool. The toga could only be worn by men, and only if those men were Roman citizens. The female equivalent of the toga was called a ""stola""."
"___ Zátopek, four-time Olympic track gold medalist.   		4 letters","EMIL.    	Emil Zátopek was a long-distance runner from Czechoslovakia who is best-remembered for winning three gold medals at the 1952 Summer Olympics. He had trained for the 5,000 meter and 10,000 meter events, and won both of them. He then decided to run the first marathon of his life, and won that too!"
Whisper.   		3 letters,"TAD.    	Just a whisper, just a tad, not too much ..."
___-Magnon man.   		3 letters,"CRO.    	Remains of early man, dating back to 35,000 years ago, were found in Abri de Cro-Magnon in southwest France, giving the name to those early humans. Cro-Magnon remains are the oldest human relics that have been discovered in Europe."
Gossip column subject.   		4 letters,"ITEM.    	An unmarried couple known to be involved with each other might appear in the gossip columns. This appearance as ""an item"" in the papers, led to the use of ""item"" to refer to such a couple, but only since the very early seventies. Brad Pitt and Angelina Jolie were an item in the gossip columns after they met on the set of the 2005 film 'Mr. and Mrs. Smith'. Since then, they have unravelled their prior marriages and are now husband and wife with six children."
Minestrone ingredient.   		4 letters,"ORZO.    	Orzo is pasta that has been formed into granular shapes, much like barley. And indeed, ""orzo"" is the Italian word for ""barley""."
"2007 film ""___ Almighty"".   		4 letters","EVAN.    	Steve Carell's ""Evan Almighty"" was actually a sequel, to Jim Carrey's ""Bruce Almighty"". ""Evan Almighty"" is a cute enough film, with Evan mutating into a Noah character who goes as far as building an ark in his front yard."
Tach measure.   		3 letters,"RPM.    	The tachometer takes its name from the Greek word ""tachos"" meaning ""speed"". A tachometer measures Revolutions Per Minute."
Cliff dweller.   		4 letters,"ERNE.    	The ern (also erne) is also called the white-tailed eagle, and the sea-eagle."
Fashion monogram.   		3 letters,"YSL.    	Yves Saint-Laurent was French fashion designer, actually born in Algeria. He started off as a young man working as an assistant to Christian Dior, at the age of 17. Dior died just four years later, and as a very young man Saint-Laurent was named head of the House of Dior. However, in 1950, Saint-Laurent was conscripted into the French Army, and ended up in a military hospital after suffering a mental breakdown from the hazing inflicted by his fellow soldiers. His treatment included electroshock therapy and administration of sedatives and psychoactive drugs. He was released from prison, managed to pull his life together again, and started his own fashion house. Remarkable ..."
Shore bird.   		4 letters,ERNE.    	The ern (also erne) is also called the white-tailed eagle or sea-eagle.
Serengeti antelope.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, and is an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
Provider of two- and four-yr.   		4 letters,"ROTC.    	The Reserve Officers' Training Corps (ROTC) is a training program for officers based in colleges all around the US. The ROTC program was established in 1862 when as a condition of receiving a land-grant to create colleges, the federal government required that military tactics be part of a new school's curriculum."
Ceramic jar.   		4 letters,OLLA.    	An olla is a traditional clay pot used for the making of stews. 'Olla' was the Latin word used in Ancient Rome to describe a similar type of pot.
Many a person behind the Iron Curtain.   		4 letters,SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
Urban pollution.   		4 letters,"SMOG.    	""Smog"" is of course a portmanteau word, formed by melding ""smoke"" and ""fog"". The word was first used to describe the air around London in the early 1900s."
"Marie Curie, e.g.: Abbr..   		3 letters",MME.    	Madame (Mme.)
Former G.M.   		5 letters,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
Breyers rival.   		5 letters,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
Will work.   		5 letters,"ESSAY.    	George Will is a journalist and author who is noted for his conservative political commentary. Outside the world of politics, Will is a big baseball fan and wrote the bestseller 'Men at Work: The Craft of Baseball'."
"Simon who won a Tony for writing ""The Odd Couple"".   		4 letters","NEIL.    	""The Odd Couple"" is a play by the wonderfully talented Neil Simon first performed on Broadway, in 1965. This great play was adapted for the big screen in 1968, famously starring Jack Lemmon (as Felix Unger, the neat-freak) and Walter Matthau (as Oscar Madison, the slob). The success of the play and the film gave rise to an excellent television sitcom that ran from 1970-1975, starring Tony Randall and Jack Klugman. In 1985, Neil Simon even went so far as to adapt the play for an all-female cast, renaming it ""The Female Odd Couple"". I'd like to see that one ..."
Eastern sect.   		3 letters,"ZEN.    	Zen is one of the Buddhist schools, and it developed it's own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
Jerry's partner.   		3 letters,"BEN.    	Ben Cohen and Jerry Greenfield did a correspondence course on ice-cream making in 1977 given by Pennsylvania State University's Creamery. The following year they opened an ice cream parlor in an old gas station in Burlington, Vermont. Today Ben & Jerry's has locations in over 20 countries around the world, and theirs was the first brand ice-cream to go into space."
Banned insecticide.   		3 letters,"DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
Scarlett of Tara.   		6 letters,"O'HARA.    	Scarlett O'Hara home is the Tara plantation, in Margaret Mitchell's ""Gone with the Wind"". Tara was founded not far from the Georgia city of Jonesboro by Scarlett's father, Irish immigrant Gerald O'Hara. Gerald named his new abode after the Hill of Tara back in his home country, the ancient seat of the High King of Ireland."
Tikka masala go-with.   		3 letters,"NAN.    	In an Indian restaurant, naan bread is very popular. Naan is traditionally baked in a clay oven known as a tandoor."
___ Buddhist.   		3 letters,"ZEN.    	Zen is a Buddhist school that developed its own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
A.C.T.   		3 letters,"ENG.    	ACT is an abbreviation for American College Testing. The ACT is an entrance exam used by many universities. It has four sections, English, Reading, Math and Science, and an optional 30-minute essay."
1993 accord grp.   		3 letters,"PLO.    	The Oslo Accords grew out of secret negotiations between the Palestinian Liberation Organization (PLO) and Israel in a residence in Oslo in the early nineties. The delegates shared the same house while they conducted 14 meetings. While eating all their meals together at the same table, the negotiators came to respect one another and apparently friendships developed."
"They may do write-ups, for short.   		3 letters","RAS.    	RAs are resident assistants or resident advisers, the peer leaders found in residence halls, particularly on a college campus."
Cardinal's cap letters.   		3 letters,"STL.    	'Dancing in the Dark' is a 1984 Bruce Springsteen song, his biggest hit. If you take a look at the music video released at the same time, it features Springsteen performing the song on stage. At the end of the video, the singer brings a fan on stage and dances with her, and that fan is played by actress Courtney Cox."
"Vertigo diagnosers, briefly.   		4 letters","ENTS.    	Ear, Nose and Throat specialist (ENT)"
Classic brand in men's apparel.   		4 letters,"IZOD.    	Jack Izod was a tailor of some repute over in England, producing shirts for King George V as well as other members of the Royal Family. As Izod was about to retire, he was approached for the use of his name by an American clothing manufacturer based in New York. The brand Izod of London was introduced to America in 1938."
Island home of Pago Pago.   		5 letters,"SAMOA.    	Pago Pago is the capital of American Samoa in the South Pacific. The island was used by the US Navy during WWII and it managed to escape most of the conflict. The only military incident of consequence was the shelling of the city's harbor by a Japanese submarine. A more devastating event was the tsunami that hit Pago Pago and surrounding areas in 2009, causing widespread damage and numerous deaths."
Oriente.   		4 letters,"ESTE.    	In French, the orient (oriente) is to the east (este)."
Dudley's love in old cartoondom.   		4 letters,"NELL.    	Dudley Do-Right appeared on the Rocky and Bullwinkle Show, a cartoon that appeared on television in a couple of different versions from 1959-1964. Dudley was a bungling Mountie who struggled with his nemesis, the evil Snidely Whiplash."
Early Tarzan Ron.   		3 letters,"ELY.    	Ron Ely is most famous for playing the title role in the ""Tarzan"" TV series in the sixties. Years later, Ely hosted the 1980 and 1981 ""Miss America"" pageants right after longtime host Bert Parks retired, before the job was taken over by Gary Collins. And Ely is a successful mystery novelist. He wrote ""Night Shadows"" and ""East Beach"" in the mid-nineties, both of which featured his private eye Jake Sands."
Pro athlete whose mascot is an orange-capped alien.   		5 letters,"ASTRO.    	Orbit is the mascot of the Houston Astros baseball team. He is an alien creature with two antennae tipped by baseballs. Orbit was introduced by the Astros in 1990, and then retired in 1999 to make way for Junction Jack, the team mascot when the Astros moved to Enron Field. Orbit was resurrected in 2013 when the Astros moved from the National to the American League."
"Pomeranian, e.g.   		4 letters",SLAV.    	The Slavic peoples are in the majority in communities covering over half of Europe. This large ethnic group is traditionally broken down into three smaller groups:
Longest river wholly in Switzerland.   		4 letters,"AARE.    	The Aar (also called the ""Aare"" in German) is the longest river entirely in Switzerland. A famous spot along the Aar is the Reichenbach Falls in the center of the country, actually a series of waterfalls near the city of Meiringen. These falls are renowned in the world of literature as it was here that Sherlock Holmes fell to his supposed doom with his nemesis Professor Moriarty (in ""The Adventure of the Final Problem"")."
Son of John and Yoko.   		4 letters,"SEAN.    	""Beautiful Boy (Darling Boy)"" is a John Lennon song, which was released on the 1980 album ""Double Fantasy"". Produced with Yoko Ono, it was the last album released before Lennon was murdered. The ""beautiful boy"" in the song is Sean, the only child that Lennon and Ono had together. The song contains the famous line ""Life is what happens to you while you're busy making other plans""."
Certain rial spender.   		5 letters,"OMANI.    	The Rial is name of the currency of Oman (as well as Yemen , Iran, Cambodia and Tunisia!)."
Lawman Wyatt.   		4 letters,"EARP.    	Wyatt Earp is famous as one of the participants in the gunfight at the O.K. Corral. Earp was a city policeman in Wichita, Kansas and also in Dodge City, Kansas. Earp was also deputy sheriff in Tombstone, Arizona where the O.K. Corral gunfight took place. Years later, Earp joined the Alaska Gold Rush and with a partner built and operated the Dexter Saloon in Nome."
Suffix with acetyl.   		4 letters,"-ENE.    	Acetylene is one of the simplest hydrocarbons, and has the formula C2H2. About 20% of the acetylene produced in the world is used for oxyacetylene gas welding and cutting."
One of five rhyming Greek letters.   		3 letters,"PHI.    	Those five rhyming Greek letters are: xi, pi, phi, chi and psi."
"Home of the Bulls, informally.   		3 letters","CHI.    	The Chicago Bulls have won six NBA championships in the life of the franchise, all of them in the nineties. They won in the 1991, 1992 and 1993 seasons (a so-called 'three-peat'), and then again in 1996, 1997 and 1998 (a second 'three-peat')."
Joe Biden's state: Abbr..   		3 letters,"DEL.    	The state of Delaware takes its name from Virginia's first colonial governor, Englishman Thomas West, 3rd Baron De La Warr. Delaware is known as ""The First State"" as it was the first to ratify the US Constitution, in 1787."
___ Jima.   		3 letters,"IWO.    	Iwo Jima is a volcanic island located south of Tokyo that today is uninhabited. There were about a thousand Japanese civilians living on the island prior to WWII. In 1944, there was a massive influx of Japanese military personnel in anticipation of the inevitable US invasion. As the Japanese military moved in, the civilians were forced out and no one has lived there since."
Name in a 2002 scandal.   		5 letters,"ENRON.    	After all the trials following the exposure of fraud at Enron, several of the key players ended up in jail. Andrew Fastow was the Chief Financial Officer. He plea-bargained and received ten years without parole, and became the key witness in the trials of others. Even Fastow's wife was involved and she was sentenced to one year for helping her husband hide money. Jeffrey Skilling (ex-CEO) was sentenced to 24 years and 4 months. Kenneth Lay (CEO) died in 2006 after he had been found guilty but before he could be sentenced. The accounting firm Arthur Andersen was found guilty of obstruction of justice for shredding thousands of pertinent documents and deleting emails and files (a decision that the Supreme Court later overturned on a technicality). But still, Arthur Andersen collapsed under the weight of the scandal and 85,000 people lost their jobs (despite only a handful being directly involved with Enron)."
Gypsy's aid.   		5 letters,"TAROT.    	Tarot cards have been around since the mid-1400s, and for centuries were simply used for entertainment in games. It has only been since the late 1800s that the cards have been used by fortune tellers to predict the future."
"Foes of Saruman in ""The Two Towers"".   		4 letters",ENTS.    	J. R. R. Tolkien's novel 'The Lord of the Rings' consists of the three volumes:
Trib's home.   		3 letters,"CHI.    	""The Chicago Tribune"" was first published in 1847. The most famous edition of ""The Trib"" was probably in 1948 when the headline was ""DEWEY DEFEATS TRUMAN"", on the occasion of that year's presidential election. When it turned out Truman had actually won, the victor picked up the paper with the erroneous headline and posed for photographs with it ... a famous, famous photo, that must have stuck in the craw of the editor at the time."
Heel.   		3 letters,"CAD.    	Our word ""cad"", meaning ""a person lacking in finer feelings"", is a shortening of the word ""cadet"". Cad was first used for a servant, and then students at British universities used ""cad"" as a name for a boy from the local town. ""Cad"" took on its current meaning in the 1830s."
"""Gladiator"" locale.   		5 letters","ARENA.    	86. ""Gladiator,"" for one : EPIC"
N.Y.C.   		3 letters,"MTA.    	The MTA is the Metropolitan Transportation Authority, which has public transportation responsibility in the state of New York (as well as part of Connecticut)."
Animal whose young is a calf.   		3 letters,"GNU.    	A gnu is also known as a wildebeest, an antelope native to Africa. ""Wildebeest"" is actually the Dutch word for ""wild beast""."
River flowing beneath Paris's Pont Neuf.   		5 letters,"SEINE.    	Paradoxically, Pont Neuf is the oldest bridge standing today that crosses the River Seine in Paris. The paradox is that the name translates to 'new bridge'. The bridge is in two parts, as it crosses from the Left Bank to the Île de la Cité (on which stands Notre Dame) and then from the Île de la Cité to the Right Bank."
Yule libation.   		3 letters,"NOG.    	It's not really clear where the term ""nog"" comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
Lead-in to now.   		3 letters,"ERE.    	Ere now, before now."
Certain Bedouin.   		5 letters,"OMANI.    	Bedouin tribes are Arab ethnic groups that predominately live in the Middle East, in desert areas. Bedouin tribes tend to be nomadic, not settling permanently in one location."
Abbey title.   		3 letters,"FRA.    	The title ""Fra"" (brother) is used by Italian monks."
"Carrier overseer, for short.   		3 letters",FAA.    	The Federal Aviation Administration.
"""Silent Spring"" subject.   		3 letters","DDT.    	DDT is dichlorodiphenyltrichloroethane (don't forget now!). DDT was used with great success to control disease-carrying insects during WWII, and when made available for use after the war it became by far the most popular pesticide. And then Rachel Carson published her famous book ""Silent Spring"", suggesting there was a link between DDT and diminishing populations of certain wildlife. It was the public outcry sparked by the book, and reports of links between DDT and cancer, that led to the ban on the use of the chemical in 1972. That ban is touted as the main reason that the bald eagle was rescued from near extinction."
An official U.N. language: Abbr..   		3 letters,ENG.    	Today there are six official languages of the United Nations:
Hard fall.   		5 letters,"SLEET.    	Apparently ""sleet"" is a term used to describe two weather conditions. One is a shower of ice pellets, smaller than hail, and the second is a mixture of rain and snow, with the snow melting as it falls. It's the second definition that I have always used ..."
Japanese path of enlightenment.   		3 letters,"ZEN.    	Zen is a Buddhist school that developed its own tradition in China back in the 7th century AD. Zen is a Japanese spelling of the Chinese word ""chan"", which in turn derives from the Sanskrit word ""dhyana"" meaning ""meditation""."
"""___ Fuehrer's Face"" (1942 Disney short).   		3 letters","DER.    	""Der Fuehrer's Face"" is a famous Donald Duck cartoon short produced to support the American war effort. It is a blatant anti-Nazi propaganda piece, and was well received, winning an Academy Award in 1943, the only Donald Duck cartoon to win an Oscar. If you get the chance, you just have to see it ..."
Oven cleaner component.   		3 letters,"LYE.    	Today when we purchase what is labelled as ""lye"", it is caustic soda (sodium hydroxide)."
Former Mideast inits.   		3 letters,"UAR.    	The UAR, United Arab Republic, was a union between Egypt and Syria made in 1958 and dissolved in 1961 when Syria pulled out of the arrangement."
Sitarist Shankar.   		4 letters,"RAVI.    	Ravi Shankar is perhaps the most famous virtuoso (to us Westerners) from the world of Indian classical music, and is most famous for his sitar playing. Shankar is the father of the beautiful pop singer Norah Jones."
Oscar winner Jannings.   		4 letters,"EMIL.    	Emil Jannings, an actor from Switzerland, was the first person to receive an Oscar. He was the star of the 1928 silent movie ""The Last Command""."
N.Y.C.   		3 letters,"IRT.    	The Interborough Rapid Transit Company (IRT) was the original private operator of the New York Subway when it opened in 1904. The city took over ownership of the system in 1940, but the lines originally operated by the IRT are still known by the IRT moniker."
Last Oldsmobile to be made.   		5 letters,ALERO.    	The Oldsmobile Alero was the last car made under the Oldsmobile brand. The Alero was produced from 1999 to 2004.
Salinger girl.   		4 letters,"ESME.    	J. D. Salinger wrote a short story called ""For Esme - with Love and Squalor"", originally published in ""The New Yorker"" in 1950. It is a story about a young English girl called Esme and an American soldier, and is set in WWII."
Eye layer.   		4 letters,UVEA.    	The uvea is the middle of the three layers that make up the eyeball.
Architect Mies van ___ Rohe.   		3 letters,"DER.    	Ludwig Mies van der Rohe was a German architect who was routinely referred to simply as ""Mies"". I am a philistine, I know, but Mies' buildings look very plain to me. However, he did come up with two far-from-plain sayings: ""less is more"" and ""God is in the details""."
Eggy drink.   		3 letters,"NOG.    	It's not really clear where the term ""nog"" comes from although it might derive from the word ""noggin"", which was originally a small wooden cup that was long associated with alcoholic drinks."
German magazine ___ Spiegel.   		3 letters,"DER.    	""Der Spiegel"" is a very successful German magazine found on news-stands all over Europe. The name ""Der Spiegel"" translates from German into ""the Mirror""."
Nestlé brand.   		5 letters,"EDY'S.    	Dreyers' ice cream sells its products under the name Dreyers in the Western United States, and Edy's in the Eastern states. The company's founders were William Dryer and Joseph Edy."
Pennsylvania and others: Abbr..   		3 letters,"RRS.    	The Pennsylvania Railroad (PRR) was a large rail network in the northeast that was founded in 1846. Even though the 'Pennsy' (as it was called) was the busiest railroad in the first half of the twentieth century, it went out of business in 1968. The PRR was also the largest public company in the world at one point, and it still holds the record for the longest continuous dividend history, having paid out an annual dividend for over one hundred years in a row."
___-Town (Cubbies' home).   		3 letters,"CHI.    	The Chicago Cubs are one of only two teams still playing that are charter members of baseball's National League (the other is the Atlanta braves). The Cubs are known as the ""Lovable Losers"", because they haven't won the World Series since 1908 (after winning it in 1907 as well), giving the Cubs the longest spell without a World Series title in the whole of baseball."
Sport shirt brand.   		4 letters,"IZOD.    	Jack Izod was a tailor of some repute over in England, producing shirts for King George V as well as other members of the Royal Family. As Izod was about to retire, he was approached for the use of his name by an American clothing manufacturer based in New York. The brand Izod of London was introduced to America in 1938."
"Sunrise direction, in Sonora.   		4 letters","ESTE.    	'Este' (east) is a 'dirección' (direction), in Spanish."
Ripken with a 17-year consecutive game streak.   		3 letters,"CAL.    	Cal Ripken played his entire, 20-year professional baseball career for the Baltimore Orioles. Ripken was known as the ""Iron Man"" because he showed up for work every day, come rain or shine. He played 2,632 straight games, blowing past the previous 2,130-game record held by Lou Gehrig."
Some buggy drivers.   		5 letters,"AMISH.    	The Amish are a group of Christian churches, a sub-group of the Mennonite churches. The Amish church originated in Switzerland and Alsace in 1693 when it was founded by Jakob Ammann. It was Ammann who gave the name to the Amish people. Many Amish people came to Pennsylvania in the 18th century."
