Tinker to ___ to Chance (classic double play).   		5 letters,EVERS.    	Baseball's Sad Lexicon' is a poem written by Franklin Pierce Adams in 1910:
Campaign grps.   		4 letters,"PACS.    	A Political Action Committee (PAC) is a private group that works to influence the outcome of a particular election or group of elections. Any group becomes a PAC by law when it receives or spends more than $1,000 for the purpose of influencing the outcome of an election. In 2010 the Supreme Court ruled that PACS that did not make direct contributions to candidates or parties could accept unlimited contributions. These 'independent-expenditure only committees' are commonly referred to as 'super PACs'."
Google finding.   		3 letters,"HIT.    	The search engine ""Google"" was originally called ""BackRub"" would you believe? The name was eventually changed to Google, an intentional misspelling of the word ""googol"". A googol is a pretty big number, 10 to the power of 100. That would be the digit 1 followed by 100 zeros."
Kind of boom.   		5 letters,"SONIC.    	Supersonic transports (SSTs) like the Concorde broke Mach 1, the speed of sound. As a plane flies through air, it creates pressure waves in front (and behind) rather like the bow and stern waves of a boat. These pressure waves travel at the speed of sound, so as an aircraft itself accelerates towards the speed of sound it catches up with the pressure waves until they cannot ""get out of the way"". When the aircraft reaches the speed of sound, the compressed waves merge into one single shock wave, creating a sonic boom."
Summer coolers.   		5 letters,ICEES.    	Icee and Slurpee are brand names of those slushy drinks. Ugh ...
Moneyed campaign orgs.   		4 letters,"PACS.    	A Political Action Committee (PAC) is a private group that works to influence the outcome of a particular election or group of elections. Any group becomes a PAC by law when it receives or spends more than $1,000 for the purpose of influencing the outcome of an election. In 2010 the Supreme Court ruled that PACS that did not make direct contributions to candidates or parties could accept unlimited contributions. These 'independent-expenditure only committees' are commonly referred to as 'super PACs'."
"""___ Boys"" (Alcott novel).   		4 letters","JO'S.    	Louisa May Alcott's ""Jo's Boys"" is a sequel to her novel ""Little Men"", which in turn is a sequel to ""Little Women"". 'Jo's Boys' is the final book in the trilogy."
Teen heartthrob Zac.   		5 letters,"EFRON.    	Zac Efron is an actor from San Luis Obispo, California. Apparently Efron is a heartthrob to 'tweenyboppers'. His big break was in the Disney hit movie 'HIgh School Musical'."
"Old newspaper humorist Arthur ""Bugs"" ___.   		4 letters",BAER.    	Arthur 'Bugs' Baer was a sports journalist and cartoonist in New York. Among Baer's claims to fame is the coining of the nickname 'Sultan of Swat' for Babe Ruth.
Phi Beta ___.   		5 letters,"KAPPA.    	Phi Beta Kappa was the first collegiate Greek fraternity in the US, founded in 1776 at the College of William and Mary. The organization served as a model for future collegiate fraternities and sororities, although in the 19th century Phi Beta Kappa distanced itself from the fraternal focus and transformed into the honor society that it is today, recognizing academic excellence. The initials Phi Beta Kappa stand for ""philosophia biou kybernētēs"", which translates into ""philosophy is the guide of life"". The symbol of the Phi Beta Kappa Society is a golden key."
Thüringen thoroughfare.   		7 letters,"STRASSE.    	'Strasse' is the German word for ""street""."
"Pirate's ""Stop!"".   		6 letters","AVAST!.    	""Avast"" is a nautical term used to tell someone to stop or desist from what they are doing. The word comes from the Dutch ""hou vast"" meaning ""hold fast""."
"Throat bug, briefly.   		5 letters","STREP.    	Streptococcus bacteria multiply and divide along a single axis so that they form linked chains. That behavior gives the genus of bacteria its name, as 'streptos' is Greek for 'easily twisted, like a chain'. I had a battle with streptococcal pharyngitis (strep throat) not too long ago and it was not at all pleasant, I must say. Another species of streptococcus is responsible for that terrible 'flesh-eating' infection that makes the news from time to time."
"Phil ___, 1984 Olympic skiing gold medalist.   		5 letters","MAHRE.    	Phil Mahre is one of the great alpine ski racers, a native of Yakima, Washington. Phil's twin brother Steve was also a skier on the World Cup circuit."
Golden Arches buy.   		7 letters,BIG MAC.    	The iconic Big Mac sandwich was introduced nationally by McDonald's in 1967. It was the creation of a Pittsburgh franchisee who offered it on the menu as a response to the very similar Big Boy sandwich offered by the competing 'Big Boy' restaurant chain.
No wuss.   		5 letters,"RAMBO.    	A 'rambo' is very violent and militant person. The term is relatively recent one, coming from the character John Rambo played by Sylvester Stallone in the 'Rambo' series of movies. The first Rambo film made was 'First Blood' in 1982. The film in turn is based on the 1972 novel of the same name by David Morrell."
Cry for attention.   		5 letters,"OYEZ!.    	Town criers make public announcements on the streets, usually shouting 'Oyez! Oyez! Oyez!' to attract attention. The term 'oyez' derives from the Anglo-Norman word for 'listen' and is used in this instance to mean 'Hear ye!' ""Oyez!"" might also be used in a courtroom as the court's proceedings are opened."
Inventor of a mineral hardness scale.   		4 letters,MOHS.    	The Mohs scale of mineral hardness was developed in 1812 by Friedrich Mohs. Basically Mohs took minerals and scratched them with other minerals. In this way he was able to determine which minerals were hardest (most scratch resistant) and which softest.
"Like Dylan Thomas, by birth.   		5 letters","WELSH.    	Dylan Thomas is perhaps the most famous Welsh poet and writer. His most famous poems are 'Do not go gentle in that good night' and 'And death shall have no dominion'. He also wrote a famous radio drama called 'Under Milk Wood' that was first broadcast in in 1954, and that was eventually adapted for the stage and the big screen. My favorite Dylan Thomas work is 'A Child's Christmas in Wales' that was also written originally for the radio, before being published as a work of prose."
___ Féin (Irish political party).   		4 letters,"SINN.    	Sinn Féin is a political party in Ireland, largely representing the Catholic community in Northern Ireland. It is led by Gerry Adams, and has the stated aim of uniting Ireland north and south. Sinn Féin is Irish for ""we ourselves"". It is currently the second largest party in the Northern Ireland Assembly, and the fourth largest in the Republic of Ireland's parliament."
South Korea's capital.   		5 letters,"SEOUL.    	Seoul is the capital city of South Korea. The Seoul National Capital Area is home to over 25 million people and is the second largest metropolitan area in the world, second only to Tokyo, Japan."
"Heavy drinker, in slang.   		5 letters","DIPSO.    	""Dipsomania"" is a craving for alcohol to the point of damaging one's health. ""Dipsa"" is the Greek for ""thirst"", hence dipsomania is a ""manic thirst""."
"""General Hospital,"" e.g.   		4 letters","SOAP.    	The original soap operas were radio dramas back in the fifties. Given the structure of society back then, the daytime broadcasts were aimed at housewives working in the home. For some reason the sponsors of those radio shows, and the television shows that followed, were soap manufacturers like Procter & Gamble, Colgate-Palmolive and Lever Brothers. And that's how the ""soap"" opera got its name ..."
Scandinavian coin with a hole in it.   		5 letters,"KRONE.    	""Krone"" translates into English as ""crown"", and was the name given to coins that bore the image of the monarch in several countries. Today, the krone is the name given to the currency of Norway and of Denmark. Some of the Norwegian and Danish kroner have holes in the middle, giving them a ""doughnut"" or ""torus"" shape."
"Garbanzos, e.g.   		5 letters","BEANS.    	The garbanzo, or chickpea, is absolutely my favorite legume to eat."
City near Arches National Park.   		4 letters,"MOAB.    	Moab is a city in eastern Utah that attracts a lot of visitors each year, mainly those heading for Arches and Canyonlands National Parks, which are nearby."
1970s sitcom production co.   		3 letters,"MTM.    	MTM Enterprises was a television production company founded in 1969 by Mary Tyler Moore, originally to produce the 'The Mary Tyler Moore Show'. The company subsequently produced the likes of 'The Bob Newhart Show', 'Rhoda', 'WKRP in Cincinnati', 'Hill Street Blues' and 'St. Elsewhere'. That's a lot of great television ..."
Certain iPods.   		5 letters,"NANOS.    	The iPod Nano is the successor to the iPod Mini and was introduced to the market at the end of 2005. There have been seven versions of the Nano to date and the current Nano as well as playing tunes is an FM player, records voice memos, has a pedometer and can connect with external devices (like a heart monitor, maybe) using Bluetooth technology."
Touchstones: Abbr..   		4 letters,"STDS.    	A 'touchstone' is an excellent example of something, a sample that is used to test the excellence or genuineness of other samples,a standard."
Grp.   		4 letters,HUAC.    	The House Committee on Un-American Activities (HUAC) was formed by the US House of Representatives in 1947 and disbanded in 1975. The House Committee is best remembered for its investigation of the Hollywood film industry in the late forties and fifties which led to the blacklisting of hundreds of people. The House Committee had no formal connection with Senator Joseph McCarthy who was Chairman of the Permanent Subcommittee on Investigations.
A whole bunch.   		5 letters,"SCADS.    	The origin of the word ""scads"", meaning ""lots and lots"", is unclear, although back in the mid-1800s ""scads"" was used to mean ""dollars""."
Tahitian garb.   		6 letters,"SARONG.    	Sarong is the Malay word for ""sheath"", and a sarong was originally the garment worn by Malay men and women around their waists. The Malay sarong is actually a tube of fabric, about a yard wide and two-and-a-half yards ""long"". Many variations of the sarong are worn all over South Asia and the Pacific Islands. I had occasion to wear one in Hawaii many years ago, and found it very ... freeing!"
Rotunda feature.   		4 letters,"DOME.    	In architecture, 'rotunda' is a name given to a building with a circular ground plan. Often the building has a dome, but that isn't a strict requirement for a ""rotunda"". The term can also refer to a round room within a building. The most famous example in this country is the Rotunda in the US Capitol building in Washington, D.C."
"Beezus's sister, in children's literature.   		6 letters","RAMONA.    	Ramona and Beezus"" is a 2010 kid's movie based on the 'Ramona' series of children's novels by Beverly Cleary. The title characters are played by Joey King (Ramona) and Selena Gomez (Beezus)."
Turkish pooh-bah.   		5 letters,"PASHA.    	A 'pasha' was a high-ranking official in the Ottoman Empire, roughly equivalent to the English rank of 'lord'."
Conductor Solti.   		5 letters,"GEORG.    	Sir Georg Solti was a great Hungarian-British conductor, who spent 22 years as music director of the Chicago Symphony, one of many prestigious positions he held in the world of classical music and opera. Solti was awarded 31 Grammy Awards, the most won by any individual in any genre of music."
Nada.   		5 letters,"ZILCH.    	We use the term 'zilch' to mean 'nothing'. Our current usage evolved in the sixties, before which the term was used to describe 'meaningless speech'. There was a comic character called Mr. Zilch in the 1930s in 'Ballyhoo' magazine. Mr. Zilch's name probably came from the American college slang 'Joe Zilch' that was used in the early 1900s for 'an insignificant person'."
Quite familiar.   		7 letters,"OLD HAT.    	The use of ""old hat"" to mean something ""out of date"" started about 1911. Before that, the term ""old hat"" meant something very different, and very vulgar. ""Old hat"" was the name given to a very private part of a woman, the idea being that it was ""often felt"" (as in a ""felt hat""). I just don't know what to say ..."
"Like Michelangelo's ""David"".   		4 letters","NUDE.    	When Michelangelo's famous statue of David was unveiled in 1504, it was at a time when the city-state of the Florentine Republic was threatened by rival states (including Rome). The statue depicts David after he has decided to fight Goliath, and the subject is sporting what is described as a ""warning glare"". David was originally placed outside the Palazzo della Signoria, the seat of government in Florence, and that warning glare was directed very deliberately in the direction of its enemy, Rome. The original statue of David can be seen in the Accademia Gallery in Florence, where it has resided since 1873. There is a replica of the statue in its original location in the public square outside of the Palazzo della Signoria."
Key material.   		5 letters,EBONY.    	The traditional materials used for manufacture of piano keys were ebony (black) and ivory (white).
Gung-ho.   		4 letters,"AVID.    	""Kung ho"" is a Chinese expression meaning ""work together, cooperate"". The anglicized version ""gung ho"" was adopted by a Major Evans Carlson as an expression of combined spirit for his 2nd Marine Raider Battalion during WWII. From there the term spread throughout the Marine Corps and back to America where it persists to this day."
Bargnani of the N.B.A.   		6 letters,ANDREA.    	Andrea Bargnani is a basketball player from Rome in Italy who now plays for the New York Knicks.
"Gather in rows, as cloth.   		5 letters",SHIRR.    	Shirring is a decorative technique used when sewing a garment. I don't understand it ...
A.T.M.   		3 letters,PIN.    	One enters a Personal Identification Number (PIN) when using an Automated Teller Machine (ATM).
"First name of the wolf in Disney's ""The Big Bad Wolf"".   		4 letters","ZEKE.    	The Big Bad Wolf is a character in many folklore stories, including 'Little Red Riding' and 'Three Little Pigs'. Walt Disney's version of Big Bad Wolf is called Zeke Wolf, and has a son called Li'l Bad Wolf, or just 'Li'l Wolf' to his friends."
O.C.'s home.   		5 letters,"SOCAL.    	""The O.C."" is a teen drama that aired for four seasons on Fox finishing up in 2007. I never watched it, but I understand that it is set in Newport Beach in Southern California."
Fiber-yielding plant.   		4 letters,"HEMP.    	Hemp is a hardy, fast-growing plant that has many uses mainly due to the strength of the fibers in the plant's stalks. Hemp is used to make rope, paper and textiles. There is of course a variety of hemp that is grown to make drugs, most famously cannabis."
"Willy who wrote ""The Conquest of Space"".   		3 letters","LEY.    	Willy Ley was a German rocket scientist who did much of his work here in the US. Unlike many of his compatriots, Ley left Nazi Germany and moved the US prior to WWII, in 1935. He wrote books about space travel that were very approachable and helped popularize the concept with the general public. His book ""The Conquest of Space"" was published in 1949."
Prime example.   		7 letters,"EPITOME.    	The more common meaning of ""epitome"" is a perfect example of a group, quality, type etc. ""Epitome"" is also another word for an abstract or summary of a book or article."
Nabokov novel.   		4 letters,"PNIN.    	""Pnin"" is a novel written in English by Vladimir Nabokov, and published in 1957. The title character is Timofey Pnin, a Russian-born professor living in the US. ""Pnin"" raised some money for Nabokov, as it was published in installments in ""The New Yorker"" magazine. He needed the money while he worked hard to find someone to publish his more edgy novel, ""Lolita""."
Fine glove material.   		5 letters,LISLE.    	Lisle is a cotton fabric that has been through an extra process at the end of its manufacture that burns off lint and the ends of fibers leaving the fabric very smooth and with a clean edge.
"Fit for the road, say.   		5 letters","HONDA.    	The Honda Fit (called the Jazz in some markets) is a subcompact hatchback. We looked at the Fit when shopping for a new car recently, but opted for the larger Toyota Prius instead, a choice we have not regretted ..."
City at the confluence of the Rhône and Saône.   		4 letters,"LYON.    	The city of Lyon in France, is also known as 'Lyons' in English. It is located in the central eastern part of the country, where major rivers the Rhône and the Saône meet."
Old ad figure with a big nose.   		9 letters,"JOE CAMEL.    	The advertising mascot for Camel cigarettes was officially known as ""Old Joe"", but was popularly known as ""Joe Camel"". Joe originated in the seventies, in an advertising campaign that ran only in Europe where sometimes he was depicted wearing a French Foreign Legion cap. He was imported to the US in 1988 on the occasion of the 75th anniversary of the Camel brand. The big controversy surrounding the use of the camel character was that a 1991 study found that 5-6 year old children could recognize Joe Camel more readily than either Mickey Mouse or Fred Flintstone. Also, soon after Old Joe was introduced in the US, the Camel brand's share of the illegal market to underage smokers went up from 1% to just under 33%."
Finito.   		4 letters,"OVER.    	""Finito"" is the Italian word for ""finished""."
Guess attire.   		5 letters,"JEANS.    	GUESS? is a company producing a whole line of clothing, although it was originally very much associated with the production of denim jeans."
Per ___.   		4 letters,"DIEM.    	""Per diem"" is the Latin for ""by the day""."
"With 33-Across, ""The Voice"" vocal coach.   		6 letters",CEE LO.    	33. See 28-Down : GREEN
Pop singer Bedingfield.   		7 letters,NATASHA.    	Natasha Bedingfield is a pop singer from England.
Keister.   		7 letters,"CABOOSE.    	The word ""caboose"" originally came from Middle Dutch and was the word for a ship's galley. When the last car in a train in North America was given a stove for the comfort of the crew, it took on the name ""caboose"". The term has also become slang for a person's backside."
Rembrandt van ___.   		3 letters,"RYN.    	The celebrated Dutch painter's full name was Rembrandt Harmenszoon van Rijn (sometimes Ryn). He is perhaps most appreciated for his portraits, and left the world a remarkable collection of self-portraits."
"""Eugene Onegin"" highlights.   		5 letters",ARIAS.    	'Eugene Onegin' is a novel by the Russian author Alexander Pushkin. The novel is unusual in that it is written in verse form. 'Eugene Onegin' was adapted into an opera of the same name by Pyotr Tchaikovsky.
Bull or cow.   		5 letters,MOOSE.    	The moose is the largest species in the deer family. The name 'moose' is used in American English for the animal called an 'elk' in British English. What Americans call an elk is also known as the wapiti.
Femme fatale of cartoons.   		7 letters,"NATASHA.    	Natasha Fatale is a cartoon character who hangs out with Rocky and Bullwinkle in the cartoon series from the sixties. Natasha is a spy in the cartoon storylines, hence the ""Fatale"" name."
Continental Congress delegate from Connecticut.   		5 letters,"DEANE.    	Silas Deane was a member of the Continental Congress. When Deane was dispatched to Paris by the Congress, he became America's first foreign diplomat. His amazing story is told in Joel Richard Paul's book called ""Unlikely Allies""."
Relatives of violas.   		5 letters,CELLI.    	The plural of 'cello' is 'cellos' or 'celli'.
"""Inside the Actors Studio"" topics.   		5 letters",ROLES.    	'Inside the Actors Studio' is an incredibly successful show on Bravo that is hosted by James Lipton. 'Inside the Actors Studio' is broadcast in 125 countries around the world. The show is basically a very comprehensive interview by Lipton of celebrities from the world of film.
"Igloo, essentially.   		4 letters","DOME.    	The Inuit word for ""house"" is ""iglu"", which we usually write as ""igloo"". The Greenlandic (yes, that's a language) word for ""house"" is very similar: namely ""igdlo""."
"Comic who said ""The meal is not over when I'm full.   		8 letters","LOUIS CK.    	'Louis C.K.' is the stage name of comedian Louis Szekely. The family name 'Szekely' is Hungarian, and 'CK' is an approximation of the name in English."
Some razors.   		5 letters,"ATRAS.    	Fortunately for crossword setters, the Atra razor was introduced by Gillette in 1977. The Atra was sold as the Contour in some markets and its derivative products are still around today."
Street in Hollywood.   		5 letters,DELLA.    	Della Street was Perry Mason's very capable secretary in the Erle Stanley Gardner novels. Street was played in the TV show by the lovely Barbara Hale.
State south of Veracruz.   		6 letters,"OAXACA.    	Oaxaca is a state in the southern part of Mexico on the Pacific coast. The state takes the name of Oaxaca, its largest city."
Symbol of Einstein's gravitational constant.   		5 letters,"KAPPA.    	Einstein's gravitational constant is denoted by the Greek letter kappa, and is also known simply as Einstein's constant. Einstein's constant appears in the Einstein field equation, which relates to the curvature of space and time. I'd give a deeper explanation, but I just don't have the time ... yeah, right!"
A.T.M.   		4 letters,CASH.    	Automatic teller machine (ATM)
"Trying to break a tie, say.   		5 letters",IN OT.    	In overtime (O.T.)
"Frontiersman Boone, familiarly.   		5 letters","DAN'L.    	Daniel Boone was a pioneer and folk hero. For frontiersman Boone, the frontier was what we now call the state of Kentucky. He led the building of the Wilderness Road through the famous Cumberland Gap in the Appalachians, a route subsequently taken by hundreds of thousands of migrants into Kentucky. Boone fought in the Revolutionary War with distinction, and after the war returned to Kentucky and got himself into land speculation. He became mired in debt, forcing him to emigrate to Missouri to settle down on land that was at that time owned by the French. It was there that he spent the last decades of his life."
Kind of leaf on Canada's flag.   		5 letters,"MAPLE.    	The current design of the Canadian National Flag, known as 'the Maple Leaf', has been in place since 1965. The design made its first appearance on February 15th of that year, and so that date is celebrated annually as National Flag of Canada Day."
"""God Must Have Spent a Little More Time on You"" group.   		5 letters","NSYNC.    	NSYNC was a boy band from Orlando, Florida that was formed in 1995. The name of the group came from a comment by the mother of band member Justin Timberlake, who said the boys voices sounded ""in sync"". But, it's also true that the letters of the name NSYNC are the last letters of the given names of the five band members:"
The Huskies of the N.C.A.A.   		5 letters,"UCONN.    	The UConn Huskies are the sports teams of the University of Connecticut. I wasn't able to uncover the derivation of the 'Huskies' moniker. Although it is true that 'UConn' sounds like 'Yukon', that isn't the derivation of the 'Huskies' nickname as the school didn't become the University of Connecticut (UConn) until 1939, and the Huskies name has been used since 1933."
"Storms, e.g.   		4 letters","GEOS.    	Geos were small vehicles manufactured by General Motors mainly in the nineties. Geos were designed to compete head-to-head with the small imports that were gaining market share at the time in the US. Some Geo models that you might remember are the Metro, the Prizm and the Storm. The cars were actually built as joint-ventures with Japanese manufacturers. The Prizm was a GM/Toyota project, the Metro was GM/Suzuki, and the Storm was GM/Isuzu."
Red Lobster freebie.   		3 letters,"BIB.    	The first restaurant in the Red Lobster chain was opened in 1968 in Lakeland, Florida. Red Lobster offered its second 'endless snow crab' promotion in 2003, which turned out to be a bit of a financial disaster. The wholesale price of crab legs was at a high, and the management team underestimated the appetite the customers had for crab. As a result, Red Lobster's parent company had to book a $3 million dollar charge to earnings, and the president of the restaurant chain had to submit her resignation."
"""Stay, O Sweet"" writer.   		5 letters","DONNE.    	John Donne is one of England's most celebrated poets, working at the start of the 17th century. Donne spent much of his life in poverty and even spent a short time in prison for having married his wife without procuring the appropriate permissions. After his release, his wife bore him 12 children in 16 years, passing away a few days after the twelfth child was born."
Shaped like Skittles.   		6 letters,"OBLATE.    	Something that is described as having an ""oblate"" shape is spherical, slightly depressed at top and bottom, just like the Earth for example. A more extreme example of an oblate shape is an M&M."
Newswoman Mitchell.   		6 letters,ANDREA.    	Andrea Mitchell is a TV journalist who works for NBC News. Mitchell is married to former Federal Reserve Chairman alan Greenspan.
"""My Name Is ___,"" gold album of 1965.   		6 letters","BARBRA.    	Barbra Streisand has recorded 31 top-ten albums since 1963, more than any other female recording artist. In fact, she has had an album in the top ten for the last five decades, a rare achievement in itself."
Convo.   		4 letters,CHAT.    	Conversation (convo).
Sources of feta and ricotta cheese.   		4 letters,"EWES.    	Feta is a Greek cheese made from sheep's milk, or a mixture of sheep's and goat's milk. The cheese is salted and cured in a brine solution for several months before it is eaten."
Word with bag or board.   		4 letters,"TOTE.    	Parimutuel betting is a system in which the bookmaker is guaranteed a pre-determined profit. In the system, all bets are pooled, taxes and house profit are removed, and the payoff is made with the resulting pool. In some parts of the world, the parimutuel system is referred to as 'the Tote' (as indeed it is in Ireland). 'Tote' is short for 'totalizator', which is the automated system that runs parimutuel betting."
Polio vaccine developer.   		5 letters,"SABIN.    	Albert Sabin developed the oral polio vaccine. Sabin's vaccine was a ""live"" controlled vaccine. The equally famous Salk vaccine was a ""killed"" vaccine."
Column base.   		6 letters,"PLINTH.    	A plinth is a block on which something is placed, especially a column. The Greek word ""plinthos"" means ""squared stone""."
Born Blonde brand.   		7 letters,"CLAIROL.    	Does she...or doesn't she? Only her hairdresser knows for sure"" was the catchphrase for Miss Clairol Hair Color Bath. Clairol had been around since 1931 selling hair coloring products to salons, and then hit the big time with the introduction of a one-step hair coloring product for use at home. As famous as the product was the ""does she ... doesn't she"" advertising campaign. Six years after the launch of the campaign, 70% of women in the US were coloring their hair."
Flat-bottomed boat.   		4 letters,"DORY.    	A dory is a small boat, around 20 feet long with a shallow draft, a flat bottom and a sharp bow. Dories are commonly used for fishing."
Piquant triangular snack chip.   		6 letters,"DORITO.    	Doritos are a brand of flavored tortilla chips launched in 1964. The name ""Doritos"" means ""little bits of gold"" in Spanish."
Bunker implement.   		4 letters,RAKE.    	Sand traps on a golf course are referred to as 'bunkers' on the other side of the Atlantic.
Pulitzer-winning biographer Leon.   		4 letters,"EDEL.    	Leon Edel wrote a highly respected biography of author Henry James, for which Edel won a Pulitzer Prize."
Alaskan city.   		5 letters,"SITKA.    	The city of Sitka is located on Baranof Island and part of Chichagof Island in the Alaska Archipelago in the Pacific Ocean. Sitka used to be known as Redoubt Saint Michael and then New Archangel when it was ruled by the Russians. The current city name comes from a local term meaning 'People on the Outside of Baranof Island'. Immediately after the purchase of Alaska by the US, Sitka served as the capital of the Alaska Territory until the seat of government was relocated north to Juneau."
City south of Brigham City.   		5 letters,"OGDEN.    	Ogden, Utah was the first permanent settlement by people of European descent in what is now the state of Utah."
Early release.   		6 letters,"PAROLE.    	The term ""parole"" is a French word that we use in English, with the French ""parole"" meaning ""word, speech"". Of particular interest is the French phrase ""parole d'honneur"" which translates as ""word of honor"". In the early 1600s we started using ""parole"" to mean a promise by a prisoner of war not to escape, as in the prisoner giving his ""word of honor"" not to run off. Over time, parole has come to mean conditional release of a prisoner before he or she has served the full term of a sentence."
"""Hawaii Five-O"" crime-fighter, informally.   		4 letters","DANO.    	'Five-O' has become urban slang for a police officer, or the police force in general. The term of course is rooted in the 1970s TV Show ""Hawaii Five-O"". Hawaii Five-O was a totally fictional police force created for the television show. The name recognizes that Hawaii was the 50th state to join the union. Steve McGarrett in the original show was played by Jack Lord, and 'Danno' Williams was played by James MacArthur."
"Temple of ___, one of the Seven Wonders of the Ancient World.   		7 letters","ARTEMIS.    	The Temple of Artemis, also known as the Temple of Diana, was a Greek temple located at Ephesus, now in modern Turkey. Artemis was a Greek goddess, the twin of Apollo, and she was depicted as a virginal huntress."
Important part of mayo.   		5 letters,"CINCO.    	The celebration known as Cinco de Mayo is observed all over the US and in parts of Mexico. Cinco de Mayo is not, as some believe, Mexico's Independence Day. Independence is celebrated on September 16, whereas Cinco de Mayo is of course celebrated on September 5th. Cinco de Mayo commemorates the Mexican victory over the French at the Battle of Puebla on May 5, 1862."
Bust supporter.   		6 letters,"PLINTH.    	A plinth is a block on which something is placed, especially a column. The Greek word ""plinthos"" means ""squared stone""."
Wrapper abbr..   		5 letters,NT WT.    	Net weight (Nt. Wt.)
"The Three Stooges, e.g.   		4 letters","HAMS.    	The word ""ham"", describing a performer who overacts, is apparently a shortened form of ""hamfatter"" and dates back to the late 1800s. ""Hamfatter"" comes from a song in old minstrel shows called ""The Ham-Fat Man"". It seems that a poorly performing actor was deemed to have the ""acting"" qualities of a minstrel made up in blackface."
"""Halloween"" antagonist's surname.   		5 letters","MYERS.    	I really, really don't do horror films. The one exception perhaps is the original 'Halloween' movie, starring Jamie Lee Curtis and Donald Pleasance. To me, this first movie in the 'Halloween' series is more in the style of Hitchcock's 'Psycho' whereas the sequels were just chock full of gore and graphic violence."
Tennis since 1968.   		8 letters,"OPEN ERA.    	In the sport of tennis, the Grand Slam tournaments were opened up to professional players, and not just amateurs, in 1968. So, the period since 1968 has been called ""The Open Era""."
Lap dog breed.   		3 letters,"PUG.    	The pug is a breed of dog of Chinese origin. Our current family pet is a boxer/pug cross, a good-looking mutt!"
Summer pants.   		6 letters,"CAPRIS.    	Capri pants first became popular on the island of Capri, apparently. They were invented in Europe in 1948, but only became stylish in the US in the sixties. Mary Tyler Moore often wore Capri pants on ""The Dick Van Dyke Show"" and to some extent she sparked a fashion trend. After a lull in the seventies and eighties there was a resurgence in sales after Uma Thurman wore them (and danced in them) in ""Pulp Fiction"". Can't stand the look of them myself ..."
Kindle competitor.   		4 letters,NOOK.    	The Barnes & Noble electronic-book reader is called the Nook. The Nook accounts for 10-15% of electronic book readers in the world.
"Title word before ""You,"" ""U"" or ""Yesterday"" in hit songs.   		4 letters","ONLY.    	The 1955 hit by the Platters is more completely called ""Only You (and You Alone)""."
Brewery equipment.   		5 letters,"OASTS.    	An oast is a kiln used for drying hops as part of the brewing process. Such a structure might also be called an ""oast house""."
Shade of black.   		5 letters,"SABLE.    	Sables are small mammals about two feet long, found right across northern Europe and northern Asia. The sable's black pelt is highly prized in the fur trade. Sable is unique among furs in that it feels smooth no matter which direction it is stroked."
Caffeine-laden nuts.   		5 letters,"KOLAS.    	The nut of the kola tree has a bitter taste, and is loaded with caffeine. Despite the taste, the nut is habitually chewed in some cultures, especially in West Africa where the tree is commonly found in the rainforest. Of course in the US we best know the kola nut as a flavoring used in cola drinks."
Flora and fauna.   		5 letters,BIOTA.    	The biota of a region is the total collection of flora and fauna found there.
Snapchat demographic.   		5 letters,"TEENS.    	Snapchat is a messaging system that allows users to send photos and video clips to a limited list of recipients. The photos and clips, called 'snaps', can be viewed for only a few seconds before they are deleted from the recipient's device and from teh Snapchat servers."
Hops dryers.   		5 letters,"OASTS.    	An oast is a kiln used for drying hops as part of the brewing process. Such a structure might also be called an ""oast house""."
"Bloom in Robert Frost's ""A Late Walk"".   		5 letters","ASTER.    	The wonderful poet Robert Frost was a native of San Francisco, but lived most of life in New England. He also spent a few years in England, just before WWI. Frost was well recognized for his work during his lifetime, and received four Pulitzer Prizes for Poetry."
"Bake, as a shelled egg.   		5 letters",SHIRR.    	Shirred eggs are eggs that have been baked without their shells in a flat-bottomed dish. The term 'shirred' comes from the name of the dish that was traditionally used for the baking.
Bill's partner.   		3 letters,"COO.    	When birds 'bill and coo' together they touch beaks and make noises to each other. The term is also used when two lovers talk quietly to each other, and kiss."
"Middle ground, for short.   		3 letters","DMZ.    	A demilitarized zone (DMZ) is usually a border between two countries where military activity is banned according to some treaty between interested parties. The most famous DMZ today has to be the buffer zone between North and South Korea. The Korean DMZ snakes right across the Korean peninsula near the 38th parallel. The centerline of the DMZ is where the front was when the ceasefire came into effect in 1953 after the Korean War. According to the armistice signed, all troops had to move back 2,000 meters from the front line on both sides, creating the DMZ that is in place today. Paradoxically perhaps, the areas on either side of the DMZ form the most heavily militarized border in the world."
"Howard of Ayn Rand's ""The Fountainhead"".   		5 letters","ROARK.    	""The Fountainhead"" by Ayn Rand was first published in 1943, her first novel to achieve public success. The story focuses on an idealistic architect, Howard Roark. Roark is uncompromising in his designs, refusing the give the public what it wants, staying doggedly loyal to his own vision."
Maven.   		3 letters,"PRO.    	I've always loved the word ""maven"", another word for an expert. Maven comes into English from the Yiddish ""meyvn"" meaning someone who appreciates and is a connoisseur."
Its parent is Liberty Mutual.   		6 letters,"SAFECO.    	Safeco Insurance is a Seattle-based insurance company that currently has the naming rights to Safeco Field, the Seattle Mariners' baseball stadium."
