MO_?,MOI?.    	'J'accuse!' is the French for 'I accuse!'.
LAN_E,"LANGE.    	Jessica Lange had three children with her former partner, the great Russian dancer Mikhail Baryshnikov. Those must be some good looking kids ..."
LOOF_,"LOOFA.    	I knew that real sponges came from the sea (I'm a SCUBA diver, for my sins) and I kind of knew that real LOOFAHS were natural too, but not the specifics. The loofah(also loofa, lufah and luffa, Arabic words) is a vine, with fruit that's very popular in Asia and Africa. If the fruit is allowed to mature, it can be processed to remove everything but the more rigid xylem structure (remember your high school botany class?) leaving a soft, sponge-like mass that is used as skin polisher."
L_ILA,"LAILA.    	Laila Ali is the daughter of the great Muhammad Ali and is a very capable boxer in her own right. Laila's professional record is an impressive 24 wins, including 21 knockouts. Now retired, she never lost a fight, and nor did she ever draw. One of those victories was against Jackie Frazier-Lyde, daughter of her father's nemesis Joe Frazier. Laila is not a bad dancer either, coming in third place in the fourth season of 'Dancing with the Stars'."
_BLATE,"OBLATE.    	Something that is described as having an ""oblate"" shape is spherical, slightly depressed at top and bottom, just like the Earth for example. A more extreme example of an oblate shape is an M&M."
BE_N,BERN.    	'Feel the Bern' is perhaps the best-known of several slogans used by the Bernie Sanders campaign for the 2016 Democratic presidential nomination.
JANEDO_,"JANE DOE.    	Although the English court system does not use the term today, John Doe first appeared as the ""name of a person unknown"" in England in 1659, along with another unknown, Richard Roe. The female equivalent of John Doe is Jane Doe, with the equivalent to Richard Roe being Jane Roe (as in Roe v. Wade)."
EN_,ENV.    	Mail that letter in an envelope.
CAB_L,"CABAL.    	A cabal is a small group of secret plotters, perhaps scheming against a government or an individual."
HAT_,"HATE.    	""The Night of the Hunter"" is a novel by Davis Grubb, a bestseller first published in 1953. The book is based on the true story of Harry Powers, a murderer who was hanged in 1932. The story was adapted into a movie directed by Charles Laughton in 1955 (Laughton's only directorial work) starring Robert Mitchum and Shelley Winters."
_LTRA,ULTRA.    	Michelob Ultra is a diet beer that was introduced in 2002. Ultra is labeled 'diet' as it is relatively low in carbohydrates.
ALL_LE,"ALLELE.    	A gene is a section of a chromosome that is responsible for a particular characteristic in an organism. For example, one gene may determine eye color and another balding pattern. We have two copies of each gene, one from each of our parents, with each copy known as an allele."
V_TS,"VETS.    	'Vet' is an abbreviation for 'veterinarian', a professional who treat animals for disease and injury. The word 'veterinary' comes from the Latin 'veterinae' meaning 'working animals, beasts of burden'."
FR_NZ,"FRANZ.    	Franz Liszt (1811-1886) was a Hungarian composer, and a fabulous pianist. Franz Schubert (1797-1828) was an Austrian composer, particularly noted for his large portfolio of lieder (songs). After he died, Liszt was one of the musicians who promoted Schubert's works."
TOP_Z,"TOPAZ.    	Topaz is a semiprecious stone made from silicate containing aluminum and fluorine. Topaz is the state gemstone of Utah, and the rare blue topaz is the state gemstone of Texas."
STI_E,"STILE.    	A stile is a structure allowing people to pass over or through a fence, while at the same time preventing livestock from escaping. The derivative term 'turnstile' describes a revolving structure in a wall or fence that allows the controlled passage of people."
_ERYL,"BERYL.    	The mineral beryl is a source of a number of different, semi-precious stones, depending on the nature of the impurities present. Pure beryl is colorless; blue beryl is called aquamarine, and green beryl is emerald. The source of the green color is mainly chromium."
_AYS,"MAYS.    	Willie Mays' nickname was the 'Say Hey Kid', although his friends and teammates were more likely to refer to him as 'Buck'. When Mays was inducted into the Baseball Hall of Fame, he was asked who was the best player he'd ever seen in the game. He replied, 'I don't mean to be bashful, but I was.'"
AY_,"AYE.    	'Aye' and 'yea' are synonyms, both meaning 'yes'."
_GTV,"HGTV.    	HGTV first went on air in 1994, as the 'Home, Lawn and Garden Channel'. The name was shortened (the lawn was dropped) soon after, but nowadays it's just known as HGTV."
EHU_,"EHUD.    	Ehud Olmert took over as Acting Prime Minister when Ariel Sharon suffered a severe stroke early in 2006. Olmert then led his party to victory in a general election held later that same year. He held Israel's highest office in his own right until 2009, when he had to step down facing allegations of corruption."
Z_OT,"ZOOT.    	A zoot suit has pants that are fairly loose fitting, except around the cuff at the bottom of the leg. The pants also have a high waist. The jacket of the suit has wide lapels and wide, padded shoulders. Zoot-suits were popular in the US in the thirties and forties, and often associated with the African American, Latino American and Italian American ethnic groups. Over in the UK, the zoot suit was worn by the ""Teddy boys"" of the fifties and sixties. ""Zoot"" is probably just a slang iteration of the word ""suit""."
_FC,"AFC.    	The Pittsburgh Steelers football team were founded in 1933, making them the oldest franchise in the AFC. Back in 1933, the team was known as the Pittsburgh Pirates. The Pirates name was chosen as the Pittsburgh baseball team was the Pirates. The name was changed to the Steelers in 1940, and then the Steagles in 1943 when the team merged with the Philadelphia Eagles. There was a further merger in 1944, with the Chicago Cardinal to form Card-Pitt. From 1945, the Steelers name was resurrected."
YMC_S,"YMCAS.    	The YMCA is a worldwide movement that has its roots in London, England. There, in 1844, the Young Men's Christian Association (YMCA) was founded with the intent of promoting Christian principles through the development of ""a healthy spirit, mind and body"". The founder, George Williams, saw the need to create YMCA facilities for young men who were flocking to the cities as the Industrial Revolution flourished. He saw that these men were frequenting taverns and brothels, and wanted to offer a more wholesome alternative."
HOPON_OP,"HOP ON POP.    	""Hop on Pop"" was first published in 1963, written by Dr. Seuss and subtitled ""The Simplest Seuss for Youngest Use"". ""Hop on Pop"" was listed by former First Lady Laura Bush as her favorite title, citing the memories evoked of family life with her young daughters."
DAS_,"DASH.    	Samuel Morse was a very accomplished and reputable painter (he was engaged to paint a portrait of President John Adams, for example). In 1825 he was in Washington working on a commissioned painting when he received a one-line letter by horse messenger telling him that his wife was ill. He left immediately for his home in New Haven, Connecticut but by the time he arrived she had already died and had been buried. This single event spurred him to move from painting to the development of a rapid means of long distance communication, leading to the single-wire telegraph and Morse code."
AD_,"ADE.    	Powerade is one of those sports drinks, the only real competitor to Gatorade. Pepsi makes Gatorade, so in 1988, Coke introduced Powerade. I really do question the value of these hyped up beverages ..."
_ERETS,BERETS.    	The Guardian Angels is an organization of unarmed volunteers who patrol high-crime areas and make citizen arrests when necessary. The group was founded in 1979 and originally focused on patrols of the New York City subway system. Now there are Guardian Angels operating in 15 countries and 144 cities around the world. You might recognize a Guardian Angel from his or her distinctive red beret.
A_LA,"AYLA.    	""The Clan of the Cave Bear"" is the first of a series of novels written by Jean Auel, set in prehistoric times. I haven't read any myself, but they are on my reading to-do list as my wife recommends them. Ayla is a little Cro-Magnon girl that is orphaned and then adopted by a Neanderthal tribe. Sounds interesting ..."
CRISC_,"CRISCO.    	The Crisco brand of shortening was the first shortening to be made entirely from vegetable oil. Although that sounds like a good thing, it's actually made by hydrogenating vegetable oil so that it has physical properties similar to the animal shortening it was designed to replace. That hydrogenation turns good fats into bad fats, so medical professionals suggest limited intake."
STRO_,"STROM.    	Strom Thurmond was a US Senator for the state of South Carolina for 48 years, until he stepped down in 2003. Thurmond was the oldest-serving senator in US history. He retired from his office at the age of 100-years-old, and passed away just a few months after leaving Washington."
AT_,"ATS.    	The 'at symbol' (@) originated in the commercial word, as shorthand for 'each at, per' and similar phrases. I suppose we see the symbol most commonly these days as part of all email addresses."
_OLT,"BOLT.    	Usain Bolt is a Jamaican sprinter who in the 2008 Olympics won three sprint gold medals. Back in Jamaica Bolt was big into cricket, and probably would have been a very successful fast bowler had he not hit the track instead."
B_NIN,"BENIN.    	The Republic of Benin is a country in West Africa. Benin used to be a French colony, and was known as Dahomey. It gained independence in 1975, and took the name Benin after the Bight of Benin, the body of water on which the country lies."
DRA_G,"DRANG.    	Sturm und Drang translates from the German into ""Storm and Stress"" or perhaps ""Storm and Impulse"". It was the name given to a movement in German literature and music in the latter half of the 18th century."
LAB_,"LABS.    	Bell Labs dates back to the days of Alexander Graham Bell. The first Bell Labs building was in the carriage house of Bell's father's house in Washington, D.C."
_ZUR,"AZUR.    	I think that this clue is a little off. In French, 'la Méditerranée' (the Mediterranean, a feminine noun) is 'azure' (azure-colored). 'Azur' is the spelling used with feminine nouns. The confusion might come from the phrase 'Côte d'Azur', which describes part of the French Mediterranean coast."
_ITH,"KITH.    	The word ""kith"" describes friends and acquaintances, and is used used in the phrase ""kith and kin"" meaning ""friends and family"". ""Kith"" comes from an Old English word meaning ""native country, home"", as the expression ""kith and kin"" originally was used, in the late 1300s, to mean ""country and kinsmen""."
SAJA_,"SAJAK.    	Pat Sajak took over the hosting of ""Wheel of Fortune"" back in 1983, and has been doing the job ever since. He had a short run as a talk show host in 1989/1990, and has subbed quite often for Larry King and Regis Philbin."
ARCA_A,"ARCANA.    	Arcana are deep secrets or mysteries. ""Arcana"" is from the Latin adjective ""arcanum"" meaning ""secret, hidden""."
DOR_MI,"DO RE MI.    	The solfa syllables are: do, re, mi, fa, sol, la & ti. The solfa scale was developed from a six-note ascending scale created by Guido of Arezzo in the 11th century. He used the first verse of a Latin hymn to name the syllables of the scale:"
N_STASE,"NASTASE.    	I thought that Ilie Nastase was the most entertaining tennis player of the 70s, the days of Jimmy Connors, Bjorn Borg and John McEnroe. No matter how much pressure there was in a match, he always had time to give the crowd a laugh."
FO_,"FOR.    	""For No One"" is a ballad written by Paul McCartney, known to be a favorite of John Lennon. The song features a lovely French horn solo."
E_OTONE,ECOTONE.    	An ecotone is a transition area between two different types of land that sit adjacent to each other.
VO_,VOL.    	Be careful not to have the volume too high on your iPod!
UP_NN,"UPENN.    	Wharton is the business school of the University of Pennsylvania, in Philadelphia. The school was established in 1881 largely due to a donation from industrialist Joseph Wharton, co-founder of Bethlehem Steel."
_APAN,"JAPAN.    	The Diet is the national legislature of Japan. The Diet is a bicameral institution, comprising a lower house known as the House of Representatives and an upper house known as the House of Councillors. The Imperial Diet first convened in 1889, although the current form first met in 1947 after Japan adopted her post-WWII constitution."
AS_ERS,"ASTERS.    	Sara Teasdale was a poet from St. Louis, Missouri, although she spent much of her adult life in New York City. Examples of her most famous poems are ""There Will Come Soft Rains"" and ""I Shall Not Care"". Teasdale committed suicide in 1933 by taking an overdose of sleeping pills."
HOS_,HOSE.    	It's thought that the lovely word 'bamboozle' came into English from the Scottish 'bombaze' meaning 'perplex'. We've been using 'bamboozle' since the very early 1700s.
_ANADU,XANADU.    	Kubla Khan' by Samuel Taylor Coleridge is my wife's favorite poem. Coleridge wrote his masterpiece one night in 1797 after a vivid dream heavily influenced by opium.
_NUS,"ONUS.    	""Onus"" is the Latin word for ""burden""."
ENOR_E,"ENORME.    	""Enorme"" is the French word for ""big"" or ""enormous""."
PAD_Y,"PADDY.    	A paddy field is the flooded piece of land used to grow rice. The water reduces competition from weeds allowing the rice to thrive. The word ""paddy"" is an anglicized version of the word ""padi"", the Malay name for the rice plant."
GEI_O,"GEICO.    	GEICO was founded in 1936 with a very specific mission, to provide auto insurance for employees of the federal government and their families, hence the name Government Employees Insurance Company (GEICO). GEICO is a private company, despite the word ""government"" in its name. The founders' idea was to focus on government employees as they believed such a group represented a lower risk profile than the rest of the population. Nowadays any qualifying person can take out a policy with GEICO."
AN_,"AN E.    	Contestants have been buying ""an E"" on ""Wheel of Fortune"" on the the air since 1975."
EAP_E,"EA POE.    	""Hop-Frog"" is a short story written by Edgar Allan Poe, first published in 1849. Hop-Frog is a jester in a king's court, intent on revenge against his master and his retinue. The jester convinces the king and his inner circle to dress up as orangutans for a masquerade ball, and then sets fire to their costumes killing them all."
TNO_E,"T-NOTE.    	A Treasury note (T-Note) is a government debt that matures in 1-10 years. A T-Note has a coupon (interest) payment made every six months. The T-note is purchased at a discount to face value, and at the date of maturity can be redeemed at that face value. A T-Bill is a similar financial vehicle, but it matures in one year or less, and a T-Bond matures in 20-30 years."
S_IP,"SNIP.    	Snip snip, while working on that mop of hair."
_NTI,"ANTI.    	The antifreeze that we put into our cars has ethylene glycol as the active ingredient. It is dangerous stuff, and is very poisonous. It can be detected in the body as calcium oxalate crystals form in the kidneys. It sounds like a horrible way to go ..."
B_B,"BBB.    	The Better Business Bureau is a private concern (nope, it is not a government agency), founded in 1912. It operates like a franchise, with local BBB's managed independently but operating to a set of ""corporate"" guidelines."
MATC_,"MATCH.    	Matchbooks have become quite collectible. A 1927 matchbook celebrating Charles Lindbergh's famous flight across the Atlantic fetched $6,000 in auction in 2015."
VA_,"VAR.    	Don&#8217;t forget that we use the spelling 'whiskey' for American and Irish versions of the drink, and 'whisky' for Scotch, the Scottish version."
SKO_,"SKOR.    	Skor is a candy bar produced by Hershey's. 'Skor' is Swedish for 'shoes', and the candy bar's wrapping features a crown that is identical to that found in the Swedish national emblem. What 'shoes' have to do with candy, I don't know ..."
AP_TOW,"APATOW.    	Judd Apatow is known for producing the TV series ""Freaks and Geeks"" and ""Undeclared"". Those shows aren't my cup of tea, but he also collaborated with Lena Dunham to create the show 'Girls'. I could drink that tea all day long. 'Girls' is a very entertaining series ..."
LC_AIM,"L'CHAIM.    	""L'Chaim"" is a Hebrew toast meaning ""to life"", as ""chai"" is the Hebrew word for ""life""."
DOD_S,"DODOS.    	The dodo was a direct relative of the pigeon and dove, although the fully-grown dodo was usually three feet tall. One of the reasons the dodo comes to mind when we think of extinction of a species, is that it disappeared not too long ago (last recorded alive in 1681) and humans were the reason for its demise. The dodo lived exclusively on the island of Mauritius and when man arrived, we cut back the forests that were its home. We also introduced domestic animals, such as dogs and pigs, that ransacked the dodo's nests. The dodo was deemed to be an awkward flightless bird and so the term 'dodo' has come to mean a dull-witted person."
POLI_Y,"POLITY.    	A polity is the form of government of a nation, or perhaps a state, church or organization. Another term for polity might be ""body politic""."
DEGA_,"DEGAS.    	Edgar Degas was a French artist, famous for his paintings and sculptures. Some of Degas' most beautiful works feature female ballet dancers, and others depict women bathing."
MO_,"MOB.    	A flash mob is a group of people who gather to perform a sudden, brief act in a public location and then quickly disperse. Flash mobs originated in Manhattan in 2003, as a social experiment by an editor of 'Harper's Magazine' called Bill Wasik. Wasik's first attempt to form a flash mob was unsuccessful, but the second attempt worked. The first successful flash mob was relatively tame by today's elaborate standards, and consisted of about 130 people gathered on the 9th floor of Macy's department store pretending to be shopping en masse for a 'love rug'."
MU_,"MUD.    	It seems that no one really knows why we refer to coffee as ""joe"", but we've been doing so since early in WWII."
UT_,"UTZ.    	Utz is the largest, privately held, producer of snack foods in the US. The company was founded in 1921 and is based in Hanover, Pennsylvania."
BELL_,"BELLA.    	""Bellum"" is the Latin for ""war"", the plural of which is ""bella""."
SYNO_S,"SYNODS.    	The word synod comes from the Greek word for assembly, or meeting. A synod is a church council, usually in the Christian faith."
A_BR,ABBR.    	Lb. and oz. are abbreviations for pound and ounce.
T_KYO,"TOKYO.    	The Tokyo Imperial Palace is a beautiful estate in the center of Tokyo and is the main residence of the Emperor of Japan and many of his family members. It is a relatively large park-like area, featuring a number of moats and bridges. The palace covers about seven and a half square kilometers of prime real estate in the city. During the Japanese property bubble of the eighties, the palace grounds were believed to have been worth more money than all of the real estate in the state of California!"
RAW_S,"RAWLS.    	Lou Rawls was an American soul and blues singer known for his smooth vocal style. With his singing career well on the way, Rawls was asked to sing ""The Star Spangled Banner"" in 1977 at a Muhammad Ali fight in Madison Square Garden. This performance led to him being asked to sing the anthem many, many times in the coming years with his last rendition being at a World Series game in 2005. Rawls passed away in January of the following year."
STI_LER,STILLER.    	Ben Stiller is the son of actors Jerry Stiller and Anne Meara. Ben is perhaps as well-known as a director as he is an actor. He made his debut as a director in the film 'Reality Bites' in 1994.
_OWIE,"HOWIE.    	Howie Mandel is a Canadian ""funny guy"". He's making a lot of money a few years ago as host of ""Deal or No Deal"", and now as a judge on ""America's Got Talent"". But I remember him from ""St. Elsewhere"" in the eighties, the first American TV show that I started to watch regularly when I moved to the US."
AG_L,"A GAL.    	""A Gal in Calico"" is a jazz song written for the 1946 movie ""The Time, the Place and the Girl""."
CELI_,"CELIE.    	Whoopi Goldberg played Celie Harris Johnson in Steven Spielberg's ""The Color Purple"", the 1985 screen adaptation of the novel of the same name by Alice Walker."
AN_EATER,"ANTEATER.    	Anteaters tear open ant and termite nests using their sharp claws and then eat up the eggs, larvae and mature ants using their tongues. They have very sticky saliva which coats the tongue hence making the feeding very efficient. The tongue also moves very quickly, flicking in and out of the mouth at 150 times per minute."
MI_AN,"MILAN.    	La Scala Opera House opened in 1778. It was built on the site of the church of Santa Maria della Scala, which gave the theater its name: 'Teatro alla Scala' in Italian."
CON_,"CONK.    	The bean, the conk, the head ..."
HE_,"HET.    	Someone who is 'het up' is 'worked up, angry'. 'Het' is an archaic word meaning 'heated'."
L_MET,"LUMET.    	The movie ""Network"" was released in 1976. It was directed by Sidney Lumet and stars Peter Finch in his final role, for which he won a posthumous Academy Award. That Oscar for Peter Finch was remarkable in that it was the time the Best Actor award had been won after the actor passed away, and it was the first time it had been won my an Australian."
FR_DO,"FREDO.    	Fredo Corleone is a middle son in the Corleone family that features in Mario Puzo's ""The Godfather"". He was considered the weak son, and was reduced to the role of ""gopher"". Fredo was with his father when Don Corleone was shot. He tried to retaliate as the shooting took place, but dropped his gun. On the screen, Fredo was played by Italian-American actor John Cazale."
FEN_EL,"FENNEL.    	Fennel is a hardy perennial plant species in the celery family that is used as a herb. It also goes by the name 'sweet anise'. Personally, I can't stand fennel ..."
I_LA,"IN LA.    	""To Live and Die in L.A."" is novel written by Gerald Petievich, a former Secret Service agent. The book was made into a pretty successful 1985 film starring William L. Petersen, the former lead from TV's ""CSI"". Petersen plays the good guy, and Willem Dafoe the bad guy. The plot is all about a pair of Secret Service agents tracking down a counterfeiter. I haven't seen the film, but it's on my list ..."
_AV,"CAV.    	The Cleveland Cavaliers are the professional basketball team based in Cleveland, Ohio. The Cavs joined the NBA as an expansion team in 1970."
C_ELO,CEE LO.    	Cee Lo Green is the stage name of rapper Thomas DeCarlo Callaway. Apparently Green is one of the coaches for the contestants on the singing TV show 'The Voice'. That's all I need to know ...
_EE,GEE.    	The end of the word 'tag' is a letter G (gee).
OLE_A,"OLETA.    	The Oleta River runs just north of Miami, and drains the northern Everglades into Biscayne Bay. The Oleta River shoreline runs for about 7 miles and is undeveloped, a haven in the middle of the the largely built-up Miami-Dada County."
BR_NDO,"BRANDO.    	Marlon Brando won the Oscar for Best Actor for his portrayal of Vito Corleone in the 1972 blockbuster ""The Godfather"". He turned down the award and didn't attend the ceremony. Instead he sent a Native American rights activist called Sacheen Littlefeather who made a speech protesting the depiction of Native Americans in Hollywood movies. Brando wasn't the first person to refuse an Oscar. George C. Scott did the same thing when he won for playing the title role in 1970's ""Patton"". Scott just didn't like the whole idea of ""competing"" with other actors."
_ELLA,DELLA.    	Della Street was Perry Mason's very capable secretary in the Erle Stanley Gardner novels. Street was played in the TV show by the lovely Barbara Hale.
COO_ER,"COOPER.    	A cooper is a craftsman who makes wooden vessels, such as barrels."
EL_AN,"ELIAN.    	The immigration status of young Cuban boy Elian González was all over the news in 2000. Elian's mother drowned while trying to enter the US illegally, whereas Elian and his mother's boyfriend survived the journey. The INS placed Elian in the care of paternal relatives in the US who then petitioned to have the boy stay with them permanently, against the wishes of Elian's father back in Cuba. After court proceedings, the federal authorities forcibly removed Elian from his relatives in the US, and he was returned to his father who took him back to Cuba. Back in Cuba, Fidel Castro stepped in and befriended Elian, so he has influential sponsorship now in his homeland as a result of his ordeal. Elian is now attending a Cuban military school."
O_ETA,"OLETA.    	Oleta Adams is an American soul singer from Seattle, Washington. She has had most of her success over in the UK, rather than here in the US."
EDI_OR,"EDITOR.    	""Mad"" magazine has been around since 1952, although back them it was more of a comic book than a magazine. The original founder and editor was Harvey Kurtzman, and in order to convince him to stay, the publisher changed the format to a magazine in 1955, when the publication really took off in terms of popularity."
_AT,"EAT.    	Elizabeth Gilbert is a novelist best known for her 2006 memoir ""Eat, Pray, Love"", a huge best seller that has gotten a boost with the release of a screen adaptation in August, 2010. Julia Roberts stars, and I haven't seen it yet, but no doubt will do so."
ERNA_I,"ERNANI.    	Ernani' is an 1844 opera by Giuseppe Verdi that is based on a play called 'Hernani' by Victor Hugo. For over a decade, 'Ernani' was Verdi's most popular opera, and then along came 'Il trovatore' in 1853."
_OSNS,"BOS'NS.    	A boatswain works on the deck of a boat, and is unlicensed, so is not involved in the navigation or handling of the vessel. The boatswain has charge of the other unlicensed workers on the deck. Boatswain is pronounced ""bosun"" and this phonetic spelling is often used interchangeably with ""boatswain"". The contraction ""bos'n"" is also very popular."
W_LESA,"WALESA.    	Lech Walesa used to be an electrician in the Gdansk Shipyards in Poland. He was active in the trade union movement in the days when unions were not welcome behind the Iron Curtain. His efforts resulted in the founding of Solidarity, the first independent trade union in Soviet controlled territory. For his work, Walesa was awarded the Nobel Peace Prize in 1983, and in 1990 he became the first democratically elected President of Poland. He has lost popularity in Poland in recent years, but is a very popular booking on the international speaking circuit."
SA_D,"SARD.    	Sard is often referred to as Carnelian, although generally sard is harder and darker. Sard probably takes its name from the Persian word ""sered"" meaning yellowish-red."
HONC_O,"HONCHO.    	'Honcho' is a slang term for a leader or manager. The term comes to us from Japanese, in which language a 'hancho' is a squad (han) leader (cho)."
THE_AGI,"THE MAGI.    	Magi is the plural of the Latin word ""magus"", a term applied to someone who was able to read the stars. Hence, magi is commonly used with reference to the ""wise men from the East"" who followed the star and visited Jesus just after he was born."
VO_,VOL.    	Volume.
C_MRY,"CAMRY.    	The Toyota Camry takes its name from the Japanese word for 'crown'. Toyota management likes the idea of naming their cars after the word 'crown', as they did with the Toyota Crown, followed by the Toyota Corona (Latin for crown) and the Toyota Corolla (Latin for small crown)."
YMCA_,"YMCAS.    	The YMCA is a worldwide movement that has its roots in London, England. There, in 1844, the Young Men's Christian Association (YMCA) was founded with the intent of promoting Christian principles through the development of ""a healthy spirit, mind and body"". The founder, George Williams, saw the need to create YMCA facilities for young men who were flocking to the cities as the Industrial Revolution flourished. He saw that these men were frequenting taverns and brothels, and wanted to offer a more wholesome alternative."
V_N,"VAN.    	The vehicle we call a 'van' takes its name from 'caravan', a shortening of the older term. Back in the 1600s, a caravan was a covered cart. We still used the term 'caravan' in Ireland to mean what we call a mobile home or recreational vehicle here in the US."
H_ROIN,"HEROIN.    	The commercialization of the drug heroin was led by the Bayer pharmaceutical company in Germany. The drug had been re-discovered in Bayer's labs, and was named by the company's head of research 'heroin' from the German 'heroisch' meaning 'heroic, strong'. This was a reference to the perceived 'heroic' effects on the user. Bayer lost the trademark rights to heroin (along with their 'aspirin') as part of WWI reparations."
SAVA_T,"SAVANT.    	The term ""idiot savant"" is French, and literally means ""learned idiot"" ... not very nice, huh? Nowadays we use the term savant syndrome to describe a very specific condition in which an individual displays extensive expertise on one area in contrast with overall behavioral limitations. I suppose the archetypal savant was played by Dustin Hoffman in the fictional movie, 1988's ""Rain Man"". It was a work of fiction, but the lead character was based on real-life savant Kin Peek."
_MBER,"AMBER.    	Amber's technical name is ""resinite"", reflecting its composition and formation. Amber starts out life as soft sticky tree resin but then under high temperature and pressure from overlying layers of soil, it fossilizes. The sticky resin can trap organisms or other plant matter, and this material can sometimes remain virtually intact inside the amber fossil giving us a unique gift from the past."
BYR_,"BYRD.    	Rear Admiral Richard Byrd was an officer in the US Navy, famous as an aviator and explorer of the polar regions. Byrd was the first person to cross the South Pole by air, in 1929. Three years earlier, Byrd claimed he had flown over the North Pole, and would have been the first person to have done so if this was true. But whether or not Byrd actually made it over the North Pole continues to be the subject of much debate."
O_TOII,"OTTO II.    	Otto II was also called Otto the Red, and was son of the Otto the Great. His son became the Holy Roman Emperor, Otto III."
ASY_,"AS YE.    	The phrase ""As ye sow, so shall ye reap"" is not actually a quotation from the Bible, although the sentiment is expressed there in more than one place."
LE_NN,"LEANN.    	LeAnn Rimes has been a country music star since she was 13 years old. In 2008 she disclosed publicly that she suffered from the autoimmune disease psoriasis. She has been active since then in raising money to fight the disease and helping fund cancer research as well. So, not only did Rimes win three Grammy Awards in 1997, she also won a 2009 Humanitarian Award from the Academy of Country Music."
ACHE_,"ACHES.    	Bengay is sold as a painkilling heat rub, to relieve aching muscles. It was developed in France by a Dr. Jules Bengue (hence the name) and was first sold in America way back in 1898."
AN_IO,"ANZIO.    	The WWII Battle of Anzio is famous for being one of the most terrible blunders in military history. Operation Shingle was a surprise amphibious landing at Anzio, 35 miles south of Rome, designed to outflank the Germans and press home an attack on the Italian capital. The element of surprise allowed a safe landing at Anzio, and the allies were able to drive jeeps right into the outskirts of Rome unchallenged. But that element of surprise was lost when Allied commander General John Lucas decided to delay the march on Rome until he had consolidated his position on the beaches, a position that was surrounded by high ground. The Germans used the delay to throw everything they had into the high ground and the allies were pinned down in a bloody battle. As a result, it took four months for the allies to fight their way inland."
R_YS,"ROYS.    	Roy Lichtenstein was a pop artist from New York City, a contemporary of Andy Warhol. Lichtenstein was famous for his 'cartoon-strip' paintings, especially works called 'Whaam!' and 'Drowning Girl'. If you saw the Ben Stiller film 'Night at the Museum: Battle of the Smithsonian', you might remember Lichtenstein's painting 'Crying Girl' coming to life as part of the plot."
ROL_S,"ROLES.    	'Dr. Strangelove' is a black comedy directed and produced by Stanley Kubrick, released in 1964. The big star in the film is the great Peter Sellers, who plays three key roles. The full name of the movie is 'Dr. Strangelove or: How I learned to Stop Worrying and Love the Bomb'."
A_E,"ASE.    	Enzymes are basically catalysts, chemicals that act to increase the rate of a particular chemical reaction. So, for example, starches will break down into sugars over time, especially under the right conditions. However, in the presence of the enzyme amylase (found in saliva, say) this production of sugar happens very, very quickly."
STI_G,"STIEG.    	Stieg Larsson was a Swedish journalist and writer, and indeed one of his main characters in his Millennium series of novels is a journalist as well. The first two titles in the series are 'The Girl with the Dragon Tattoo' and 'The Girl Who Played with Fire'. The last of the three titles in the Millennium series is 'The Girl Who Kicked the Hornet's Nest', which was the most-sold book in the US in 2010. All of the books in the series were published after Larsson's death. He passed away from a heart attack while climbing several flights of stairs, when he was just 50 years old."
LARG_,LARGO.    	Largo is a instruction to play a piece of music with a very slow tempo. 'Largo' is the Italian word for 'broadly'.
STAN_A,"STANZA.    	""Stanza"" is an Italian word meaning ""verse of a poem""."
NAVAH_,"NAVAHO.    	The Navajo (also Navaho) Nation mainly live on a reservation in the Four Corners area of the US. It is the largest land area in the US assigned to a Native American jurisdiction, and occupies most of northeastern Arizona."
BA_AL,"BASAL.    	The basal layer of the outer skin of mammals is 1-3 cells thick. The cells in the basal layer are undifferentiated and when they divide, the daughter cells turn into the specialized cells of the other four layers of the skin."
EL_VEN,"ELEVEN.    	In the gambling game of craps, a throw of seven or eleven on the first cast of the dice is called a 'natural'."
STEE_,"STEER.    	The name ""joystick"" is aviator slang, a descriptive name for the main control lever of plane."
DI_M,DIEM.    	'Per diem' is the Latin for 'by the day'. We tend to use the term for a daily allowance for expenses when traveling for work.
CT_,CTN.    	Carton (ctn.)
OL_OLE,OLE OLE.    	Another cleverly worded clue ...
_IRS,"AIRS.    	'Hauteur' is a French word meaning 'haughtiness' that we have imported into English. 'Haut' is French for 'high, lofty'."
_INCT,"TINCT.    	To tinct is to do just that, add a little color to something."
LA_Y,"LAZY.    	""Sloth"", meaning ""indolence, sluggishness"", came from the Middle English word ""slowe"", the same root for our contemporary word ""slow"". The animal, the sloth, is named for its slow-moving behavior."
H_S,"HUS.    	Jan Hus was Czech priest, famous today for having been burnt at the stake in 1415 as he was deemed guilty of heresy against the Catholic Church. Hus was an important contributor to Protestantism, over 100 years before Martin Luther made his famous proclamations."
EH_D,"EHUD.    	Ehud Barak served as Prime Minister of Israel from 1999 to 2001. Barak left office after he called a special election for Prime Minister and lost the vote to Ariel Sharon. Barak resigned from the Knesset and took an advisory job with the US company Electronic Data Systems (EDS), and did some security-related work with a private equity company. In 2007, Barak took over leadership of Israel's Labor Party."
HO_D,"HOOD.    	'Hood' is a slang term for 'gangster', a shortening of 'hoodlum'."
AM_TE,"A MITE.    	A mite: a small amount, as in ""the widow's mite""."
_GGIE,"AGGIE.    	Utah State University in Logan, Utah is one of the many schools that calls its sports teams the 'Aggies'."
M_DEL,MODEL.    	A cleverly disguised meaning! Fashions models show off their clothes on a runway or catwalk.
