One of eight baby teeth.   		5 letters,MOLAR.    	Molars are grinding teeth. The term 'molar' comes from the Latin 'mola' meaning 'millstone'.
"Ward of ""CSI.   		3 letters","NY"".    	The actress Sela Ward turns up in crosswords a lot. Ward played Teddy Reed in the TV show ""Sisters"" in the nineties, and was in ""Once and Again"" from 1999-2002. I don't know either show, but I do know Ward from the medical drama ""House"" in which she played the hospital's lawyer and Greg House's ex-partner. That was a fun role, I thought. More recently Ward played a lead role on ""CSI: NY"" and was a very welcome and much-needed addition to the cast ..."
2006 Pixar film.   		4 letters,CARS.    	'Cars' is a 2006 animated feature from Pixar. The great cast of voice actors includes Paul Newman in his last movie role before he passed away in 2008.
World capital where Monopoly is banned.   		6 letters,"HAVANA.    	Apparently, when Fidel Castro came to power in Cuba he banned the very popular game 'Monopoly', as he viewed it as a symbol of capitalism. In fact, he ordered that every copy of the game on the island be destroyed."
Home of the elves known as huldufólk: Abbr..   		4 letters,"ICEL.    	Iceland&#8217;s 'huldufólk' are tiny elves of folklore. Evidence of these elves is quite prevalent in Icelandic society. There is a common superstition that one should not throw stones, for fear of hitting the huldufólk. Gardens often include tiny houses for the elves to live in, and some building projects have been altered to take into account ground in which the huldufólk are said to live. The term 'huldufólk' translates as 'hidden people'."
Former Georgia senator Sam.   		4 letters,"NUNN.    	Sam Nunn served as a US Senator for the state of Georgia as a Democrat, for 24 years until 1997. Nunn is married to Colleen O'Brien, whom he met for the first time in the US Embassy in Paris where she was working as a spy for the CIA."
Mr.   		6 letters,"GEORGE.    	George Jefferson was a supporting character in the sitcom 'All in the Family', and a lead character in the spin-off show 'The Jeffersons'. The role was played by actor Sherman Hemsley."
"Rocky road ingredient, for short.   		4 letters","CHOC.    	The flavor of ice cream known as rocky road is made using chocolate ice cream mixed with nuts and marshmallows. The exact origin of the flavor seems to be disputed, but one story is that William Dreyer invented in 1929, chopping up walnuts and marshmallows with sewing scissors belonging to his wife."
Cambodian currency.   		4 letters,"RIEL.    	The Cambodian riel was first introduced in 1953, and was taken out of circulation by the Khmer Rouge in 1975 when they completely abolished money on taking control of the country. After the Vietnamese invasion of 1978, money was reintroduced and the Cambodian people are still using the ""second"" riel."
"Expertise, informally.   		5 letters","CHOPS.    	We use the word 'chops' to mean 'expertise' as in the phrases 'showing his chops' and 'having the chops', meaning showing his expertise, having the expertise. This usage evolved from the use of the word 'chops' for the mouth, jaw or lips, which dates back to the the 1700s. The more contemporary usage dates back to the 1940s when jazz musicians referred to the skill of a player with reference to their use of the lips on an instrument."
The middle Corleone brother.   		5 letters,"FREDO.    	Fredo Corleone is a middle son in the Corleone family that features in Mario Puzo's ""The Godfather"". He was considered the weak son, and was reduced to the role of ""gopher"". Fredo was with his father when Don Corleone was shot, and although he tried to retaliate as the shooting took place, he dropped his gun. On the screen, Fredo was played by Italian-American actor John Cazale."
Physics Nobelist of 1903 and Chemistry Nobelist of 1911.   		5 letters,"CURIE.    	Marie Curie lived a life of firsts. She was the first female professor at the University of Paris, the first woman to win a Nobel Prize, and indeed was the first person to win two Nobel prizes (in 1903 and 1911). Most of Curie's work was in the field of radioactivity, and was carried out in the days when the impact of excessive radiation on the human body was not understood. She died from aplastic anemia, caused by high exposure to radiation. To this day, Curie's personal papers are kept preserved in lead-lined boxes as they are highly radioactive, even her personal cookbook."
Trivial Pursuit edition.   		5 letters,"GENUS.    	Trivial Pursuit was invented in 1979 by two Canadians from Montreal. The pair decided to come up with their own game after they discovered that there were pieces missing from the game of Scrabble that they wanted to play. There was a full blown launch of a commercial version of the game in 1982. In 2008, Hasbro bought the complete rights to Trivial Pursuit, for US$80 million! On a personal note, I met my lovely wife over a game of Trivial Pursuit ..."
Tea server.   		7 letters,"SAMOVAR.    	The samovar originated in Russia, and is often a very elegant water boiler, usually for making tea. As such, there is often an attachment on top of a samovar to keep a teapot warm."
Gum arabic source.   		6 letters,"ACACIA.    	Acacia is a genus of tree and shrub, also known as thorntree, whistling thorn and wattle. The acacia is the primary food source for the giraffe in the wild, with the animal eating the leaves high in the tree, leaves that are inaccessible by competing species. The natural gum from two species of acacia tree is known as gum arabic, which is used in the food industry as a stabilizer."
Vaccine letters.   		3 letters,"DPT.    	The DPT vaccine is combination vaccine providing protection against diphtheria (D), pertussis (P, also known as whooping cough) and tetanus (T)."
Go downhill fast.   		6 letters,"SCHUSS.    	A schuss is a very fast run downhill in skiing, not taking any turns to slow the pace of the descent. 'Schuss' is a German word for 'shot'."
Port authority?.   		4 letters,"WINO.    	The city of Oporto in Portugal gave its name to port wine in the late 1600s, as it was the seaport through which most of the region's fortified red wine was exported."
Quad part.   		4 letters,"DORM.    	In a university, a dormitory (dorm) might be located around a quadrangle (quad)."
Yard sale caveat.   		5 letters,AS IS.    	A caveat is a warning or a qualification. 'Caveat' is the Latin for 'let him beware'.
Keister.   		4 letters,"TUSH.    	'Tush' is a slang term for the backside, an abbreviation of 'tochus' that comes from the Yiddish 'tokhes'."
Robin Williams role that was out of this world?.   		4 letters,"MORK.    	""Mork & Mindy"" was broadcast from 1978 to 1982. We were first introduced to Mork (played by Robin Williams) in a special episode of ""Happy Days"". The particular episode in question has a bizarre storyline culminating in Fonzie and Mork having a thumb-to-finger duel. Eventually Richie wakes up in bed, and alien Mork was just part of a dream! Oh, and ""Nanu Nanu"" means both ""hello"" and ""goodbye"" back on the planet Ork. ""I am Mork from Ork, Nanu Nanu"". Great stuff ..."
Royal son of the comics.   		3 letters,"ARN.    	'Prince Valiant' is a comic strip that first appeared in 1937 when it was created by Hal Foster. Edward, Duke of Windsor called the ""Prince Valiant"" comic strip the ""greatest contribution to English Literature in the past one hundred years"". I'm not so sure ..."
"Fate personified, in mythology.   		5 letters","MOIRA.    	The three Fates of Greek mythology were white-robed deities, and were also called the Moirai. The three Fates were Clotho the spinner, Lachesis the allotter and Atropos the unturnable."
Map abbr.   		3 letters,MTS.    	Mountains (mts.)
"Actress Fox of the ""Transformers"" movies.   		5 letters","MEGAN.    	Megan Fox is an actress and model from Oak Ridge, Tennessee. Fox's big break as an actress came when she played the love interest of one of the male leads in the 2007 sci-fi movie 'Transformers'. Frankly, I have no idea who she is ..."
Iran's ___ Shah Pahlevi.   		4 letters,"REZA.    	The last Shah of Iran was Mohammed-Reza Shah Pahlavi, as he was overthrown in the revolution led by the Ayatollah Khomeini in 1979. The post-revolution government sought the extradition of the Shah back to Iran while he was in the United States seeking medical care (he had cancer). His prolonged stay in the United States, recovering from surgery, caused some unrest back in Iran and resentment towards the United States. Some say that this resentment precipitated the storming of the US Embassy in Tehran and the resulting hostage crisis."
"Christina of ""Sleepy Hollow"".   		5 letters","RICCI.    	Christina Ricci is an American actress who found fame on the big screen at an early age, playing the very young Wednesday Addams in the 1991 movie version of ""The Addams Family""."
Guinness Book adjective.   		4 letters,"MOST.    	""The Guinness Book of World Records"" holds some records of its own. It is the best-selling, copyrighted series of books of all time and is one of the books most often stolen from public libraries! The book was first published in 1954 by two twins, Norris and Ross McWhirter. The McWhirter twins found themselves with a smash hit, and eventually became very famous in Britain hosting a TV show based on world records."
River to the Ubangi.   		4 letters,"UELE.    	The Uele River is a tributary to the Ubangi River, and is found in the Democratic Republic of the Congo. The Uele is the 5th longest river in Africa."
Bach work.   		7 letters,"TOCCATA.    	A toccata is a virtuoso piece of music, usually written for a keyboard or plucked string instrument, one that has fast-moving passages that emphasize the dexterity of the performer's fingers. It is a piece of music with an ""improvisatory feel"", a piece that seems very spontaneous in form. The name ""toccata"" comes from the Italian word ""toccare"" meaning ""to touch""."
Mil.   		4 letters,DSCS.    	The Distinguished Service Cross (DSC) is the second highest honor awarded to members of the US Army. The DSC is equivalent to the Navy Cross and the Air Force Cross.
"Repeated word in ""The Banana Boat Song"".   		5 letters","DAY-O.    	'Day-O (The Banana Boat Song)' is a traditional folk song from Jamaica. It is sung from the standpoint of dock workers unloading boats on the night shift, so daylight has come, and they want to go home. The most famous version of 'Day-O' was recorded by Harry Belafonte, in 1956."
Man of letters?.   		5 letters,"SAJAK.    	Pat Sajak took over the hosting of ""Wheel of Fortune"" from Chuck Woolery back in 1983 and has been doing the job ever since. Sajak had a short run as a talk show host in 1989/1990 and used to sub quite often for Larry King and Regis Philbin."
Bank in need of support?.   		4 letters,DIKE.    	A dike is an embankment usually made of earth and rock that is used to prevent floods.
Smithereens.   		4 letters,"BITS.    	""Smithereens"" is such a lovely word and I am proud to say that it comes from Irish. The Irish word ""smiodar"" means fragment. We add the suffix ""-in"" (anglicized as ""-een"") to words to indicate the diminutive form. So, ""little fragment"" is ""smidirin"", anglicized as ""smithereens""."
Prideful?.   		5 letters,LIONS.    	A group of lions is known as a 'pride' of lions.
Bush judicial appointee.   		7 letters,"ROBERTS.    	John Roberts is the 17th Chief Justice of the United States. Roberts was a nominee of President George W. Bush and assumed office in 2005. President Bush first proposed Roberts as an Associate Justice to replace the retiring Sandra Day O'Connor. However, Chief Justice Rehnquist died before Roberts could be confirmed, so President Bush instead nominated Roberts for the vacant Chief Justice seat."
"Fancy wheels, familiarly.   		5 letters","ROLLS.    	Henry Royce founded the Rolls-Royce company in 1904 with his partner, Charles Rolls. Royce died at 70 years of age in 1933. His last words were, reportedly, ""I wish I had spent more time in the office ..."""
Jerry Scott/Jim Borgman teen comic strip.   		4 letters,"ZITS.    	'Zits' is a popular cartoon strip written by Jerry Scott and illustrated by Jim Borgman. The strip debuted in 1997, and features a teenage boy called Jeremy Duncan as the main character."
Opposite of agitato.   		5 letters,DOLCE.    	The musical term 'dolce' instructs the performer to play 'gently and sweetly'.
Sarcasm.   		5 letters,"SNARK.    	'Snark' is a term that was coined by Lewis Carroll in his fabulous 1876 nonsense poem 'The Hunting of the Snark'. Somehow, the term 'snarky' came to mean 'irritable, short-tempered' in the early 1900s, and from there 'snark' became 'sarcastic rhetoric' at the beginning of the 21st century."
"Sagittarius, with ""the"".   		6 letters","ARCHER.    	Sagittarius is a constellation of the zodiac, with 'sagittarius' being the Latin for 'archer'. The constellation is usually represented by a centaur (half-bull, half-man) with a bow."
"Hall-of-Famer Merlin Olsen and others, informally.   		7 letters","LA RAMS.    	Merlin Olsen played in the NFL with the LA Rams. Olson was selected to the Pro Bowl 14 a record 14 times (shared with Bruce Matthews). After retiring from the game, his career continued to flourish. He worked as a sports broadcaster for many years, and then landed a major role on television's ""Little House on the Prairie"", playing Jonathan Garvey. In one episode, Garvey was to help coach a boy's football team, so the writers gave Olsen's character the tongue-in-cheek line ""I don't know nothin' about football!"" Olsen was also the commercial face of FTD florists for many years. Olson passed away in March 2010, aged 69."
"""Bonne ___!"".   		5 letters",ANNEE.    	'Bonne année!' is French for 'Happy New Year!'
"Profession of Clementine's father in ""Oh My Darling, Clementine"".   		5 letters","MINER.    	'Oh My Darling, Clementine' is a folk ballad that dates back to the 1880s. The song is about a man who loses his lover, the daughter of a miner who took part in the 1849 California Gold Rush. The words seem to be very sad, but are actually quite tongue-in-cheek."
Turkey Day follower: Abbr..   		3 letters,"FRI.    	Thanksgiving Day was observed on different dates in different states for many years, until Abraham Lincoln fixed the date for the whole country in 1863. Lincoln&#8217;s presidential proclamation set that date as the last Thursday in November. In 1941, President Franklin D. Roosevelt moved the holiday to the fourth Thursday in November, arguing that the earlier date would give the economy a much-needed boost. "
Place in New York City?.   		4 letters,"PARK.    	Park Place is a street in Lower Manhattan that crosses Broadway, and is just a few blocks from the World Trade Center."
Electric Chevy.   		4 letters,"VOLT.    	Despite being late entering the eco-friendly car market, Chevrolet today produces the most fuel-efficient compact car with a gasoline engine that is sold in the US. The Chevrolet Volt went on sale at the end of 2010, a plug-in hybrid car that runs on batteries. The Volt has a gasoline engine that can be used run an electric generator if needed. The Volt also uses a regenerative braking system similar to that on my Honda Civic Hybrid, a car that I really love."
"""Bonne ___!"" (cry on le premier janvier).   		5 letters",ANNEE.    	Bonne année!' is French for 'Happy New Year!' That's something we might hear in France on the first of January (le premier janvier).
"Car featured in the ""Transformers"" movies.   		6 letters","CAMARO.    	The Chevrolet Camaro is a car produced by General Motors from 1966 to 2002, and reintroduced in 2009. The Camaro shared much of its design with the Pontiac Firebird, and was introduced as a potential competitor to the Ford Mustang."
"Sheldon's apartment-mate on ""The Big Bang Theory"".   		7 letters","LEONARD.    	'The Big Bang Theory' is very clever sitcom aired by CBS since 2007. 'The Big Bang Theory' theme song was specially commissioned for the show, and was composed and is sung by Canadian band Barenaked Ladies. The theme song was released in 2007 as a single and is featured on a Barenaked Ladies greatest hits album."
Temptress.   		4 letters,"VAMP.    	A 'vamp' (short for vampire) is a seductive woman. The term was first used in reference to the sultry performance of actress Theda Bara in the 1915 film 'A Fool There Was'. The movie's title is a quotation from Rudyard Kipling's 1897 poem 'The Vampire'. Bara's role was positioned as a 'vampire', a woman out to seduce a man, launching the use of 'vamp' as an alternative term for a 'femme fatale'."
Dweller near the Potemkin Stairs.   		7 letters,"ODESSAN.    	The Potemkin Stairs is a symbol of Odessa, Ukraine, and is a staircase with 192 steps in total. Prior names for the structure were Boulevard Steps, the Giant Staircase, the Richelieu Steps and the Primorsky Stairs. The 'Potemkin' name was applied in 1955 in honor of the 30th anniversary of the Battleship Potemkin."
Homie's homes.   		5 letters,"CRIBS.    	'Homie' is short for 'homeboy', someone from one's home neighborhood, or 'crib'."
Stain on one's reputation.   		6 letters,"STIGMA.    	A stigma (plural 'stigmata), in a social sense, is a distinguishing mark of disgrace. For example, one might have to suffer the stigma of being in prison. The term derives from the Greek 'stigma', which was a mark or brand."
Chinese dynasty during the Three Kingdoms period.   		3 letters,"WEI.    	During the Three Kingdoms Period in Chinese history, there were three kingdoms vying for control of China. The three competing kingdoms were Wei, Shu and Wu."
Electric Chevy model.   		4 letters,"VOLT.    	Despite being late entering the eco-friendly car market, Chevrolet today produces the most fuel-efficient compact car with a gasoline engine that is sold in the US. The Chevrolet Volt went on sale at the end of 2010, a plug-in hybrid car that runs on batteries. The Volt has a gasoline engine that can be used run an electric generator if needed. The Volt also uses a regenerative braking system similar to that on my Honda Civic Hybrid, a car that I really love."
Title ship in a 1997 Spielberg movie.   		7 letters,"AMISTAD.    	'Amistad' is a 1997 historical drama directed and produced by Steven Spielberg. The film tells the true story of the slave ship 'La Amistad'. The newly captured slaves on board escaped and took over the ship off the coast of Cuba. The ship was then captured by a US military vessel and the slaves taken into custody. The captives were eventually freed when their case was decided in the US Supreme Court, with John Quincy Adams pleading for the imprisoned Africans."
Pennsylvania city or its county.   		4 letters,"YORK.    	York, Pennsylvania was named for the historic city of York in the North of England. York was one of the cities that served as a capital of the Continental Congress during the Revolutionary War. It was in York that the Articles of Confederation were drafted and adopted."
Web ___.   		4 letters,"PAGE.    	In essence, the World Wide Web is a vast collection of documents that is accessible using the Internet, with each document containing hyperlinks which point to other documents in the collection. So the 'Web' is different from the Internet, although the terms are often used interchangeably. The Web is the collection of documents, and the Internet is the global network of computers on which the documents reside."
"""Scary Movie,"" for one.   		5 letters","SPOOF.    	'Scary Movie' is one of those parody movies, a film released in 2000 that pokes fun at famous horror films. It was advertised with the tagline 'No mercy. No shame. No sequel'. The 'no sequel' reference was a parody in itself, making fun of the fact that slasher movies in particular were made into strings of sequels. But there was in fact to be a sequel to 'Scary Movie', in fact three of them with one more on the way. 'Scary Movie 2' came out in 2001, with the tagline 'We lied'."
Snack chip.   		5 letters,"NACHO.    	The dish known as 'nachos' were supposedly created by the maître d' at a restaurant called the Victory Club in the city of Piedras Negras, Coahuila, Mexico. The maître d''s name was Ignacio 'Nacho' Anaya."
Good thing to hit.   		7 letters,"JACKPOT.    	The term ""jackpot"" dates back to the 1800s and is from the game of poker. In some variants there are progressive antes, meaning that players have to ""ante up"" when no player has a pair of ""jacks"" or better ... building a ""jackpot""."
Textile patented in 1894.   		5 letters,"RAYON.    	Rayon is a little unusual in the textile industry in that it is not truly a synthetic fiber, but nor can it be called a natural fiber. Rayon is produced from naturally occurring cellulose that is dissolved and then reformed into fibers."
Jones of the original Stones.   		5 letters,"BRIAN.    	Even though Mick Jagger and Keith Richards have been the driving force behind the Rolling Stones for decades, they didn't start the group. The band was the idea of guitarist and harmonica player Brian Jones, and it was he who invited Richards and Jagger to join, as well as Ian Stewart, Bill Wyman and Charlie Watts to make an original lineup of six band members. Jones called the band ""Rollin' Stone"" back then in 1962, named for the song by Muddy Waters. Jones was the leader, manager and decision maker for the first few years until songs written by Richards and Jagger became hits and he started to lose artistic control. In 1967, Jones was arrested for drug possession, and again in 1968. When his trouble with the law prevented him from getting a US work visa, Jones wasn't able to accompany the Stones on a 1969 US tour. That was the last straw, it seems, and Jones and the Stones parted company. Famously, one month later, Jones was found dead, at the bottom of his swimming pool."
Many clichés.   		6 letters,"ADAGES.    	Cliché' is a word that comes from the world of printing. In the days when type was added as individual letters into a printing plate, for efficiency some oft-used phrases and words were created as one single slug of metal. The word 'cliché' was used for such a grouping of letters. It's easy to see how the same word would become a term to describe any overused phrase. Supposedly, 'cliché' comes from French, from the verb 'clicher' meaning 'to click'. The idea is that when a matrix of letters was dropped in molten metal to make a cliché, it made a clicking sound."
"Be loud at a funeral, say.   		7 letters","ULULATE.    	A ululation is a high-pitched trill, a sound usually practiced by women in ritual situations. I came across the practice not too long ago as an expression of celebration at an Arab-American wedding."
Supermodel Heidi.   		4 letters,"KLUM.    	German-born Heidi Klum is a talented lady and has built a multi-faceted career based on her early success as a model. She is the force behind the Bravo reality show called ""Project Runway"" that has been on the air since 2004. Klum has been nominated 4-5 times for an Emmy for her association with the show. Klum was also signed up as the official ambassador for Barbie in 2009, the 50th anniversary of the Barbie Doll, and for her service that year a 'Heidi Klum Barbie' was produced. Klum was married to the successful English singer called Seal until 2012."
1990s craze.   		8 letters,MACARENA.    	'Macarena' is a dance song in Spanish that was a huge hit worldwide for Los Del Río in 1995-1996.
Doozies.   		5 letters,"LULUS.    	We call a remarkable thing or a person a 'lulu'. The term is used in honor of Lulu Hurst, the Georgia Wonder, who was a stage magician active in the 1880s."
What you might use to put on a happy face?.   		5 letters,"EMOJI.    	An emoji is a character found on many cell phones now that is like an emoticon, but more elaborate."
University figs.   		4 letters,GPAS.    	Grade point average (GPA)
Sound from an Abyssinian.   		3 letters,"MEW.    	The Abyssinian is a popular short-haired breed of domestic cat. The name 'Abyssinian' would seem to indicate that the breed originated in Ethiopia (formerly 'Abyssinia'), but most stories suggest that the Abyssinian comes from Egypt."
Mr.   		6 letters,"AUSTEN.    	Mr. Fitzwilliam Darcy has to be one of the great romantic leads in English literature. He appears opposite Miss Elizabeth Bennet in Jane Austen's ""Pride and Prejudice"". There have been many (terrible) ""sequels"" written for ""Pride and Prejudice"", but I have read one ""spin off"" that I heartily recommend if you'd like to explore the story of Elizabeth and Darcy some more. There is a three-part novel called ""Fitzwilliam Darcy: Gentleman"" written by Pamela Aidan and published in 2003-2005. Ms. Aiden does a great job retelling the story of ""Pride and Prejudice"", but from Darcy's perspective. It really is a great read, even for die-hard Austen fans ..."
___ May Clampett of old TV.   		4 letters,ELLY.    	Elly May Clampett was played by Donna Douglas on the sixties television show 'The Beverly Hillbillies'. Douglas is best known on the big screen for playing the lead opposite Elvis Presley in 1966's 'Frankie and Johnny'.
Iconoclasts break them.   		6 letters,"TABOOS.    	Iconoclasm is the deliberate destruction of society's icons, either religious or cultural. The term applies more to a rebellious action from within a society, as opposed to an act by external forces invading another culture. As such, the term ""iconoclast"" has come to have a broader meaning, describing anyone who stands up against established convention."
Dr.   		6 letters,"YERTLE.    	""Yertle the Turtle"" is a story by Dr. Seuss. The book is noted for the inclusion of the word ""burp"", which back in 1958 when it was published, was considered to be vulgar. But no one seemed to mind!"
Laid-back.   		6 letters,"TYPE B.    	The Type A and Type B personality theory originated in the fifties. Back then, individuals were labelled as Type A in order to emphasize a perceived increased risk of heart disease. Type A personality types are so called ""stress junkies"", whereas Type B types are relaxed and laid back. But there doesn't seem to be much scientific evidence to support the linkage between the Type A personality and heart problems."
"Focus of over 4,000 clubs around the world.   		8 letters","SCRABBLE.    	The highest score recorded in an official game of Scrabble is 830, by Michael Cresta of Massachusetts in an 830-490 win in 2006."
Starbucks size.   		5 letters,VENTI.    	Starbucks introduced us to coffee drinks in a whole range of volumes:
Deep blue stone.   		5 letters,"LAPIS.    	Lapis lazuli is a blue, semi-precious stone mined mainly in Afghanistan. Lapis Lazuli is Latin for ""stone of Lazhward"", referring to the Persian name for the location where the stone was mined. Our word ""azure"", a shade of blue, has the same root."
"La Salle of ""ER"".   		4 letters","ERIQ.    	Eriq La Salle played Dr. Peter Benton on ""ER"", and is best known in film for his portrayal of Darryl in the 1998 comedy ""Coming to America""."
Singers do this.   		3 letters,"SEW.    	Isaac Singer was not only an inventor, but also an actor. For much of his life, profits made from his inventions supported him while he pursued his acting career. Singer didn't actually invent the sewing machine, and never claimed to have done so. What he did do though, was invent a version of the machine that was practical and easily used in the home."
South American land.   		6 letters,"TIERRA.    	'Tierra' is Spanish for 'earth, land'."
Title for Liszt.   		4 letters,"ABBE.    	Franz Liszt was a composer and pianist from Hungary active in the 1800s. As a pianist, Liszt was a true virtuoso, and was regarded by most in his day as the greatest player of all time. In 1859, Liszt's 20-year old son died, and then three years later his daughter passed away. These events led to him taking up residence in a monastery outside room. He was ordained in 1865, after which he was often referred to as Abbé Liszt."
Symbols of change.   		6 letters,DELTAS.    	Delta is the fourth letter of the Greek alphabet. We are most familiar with an upper-case delta and its distinctive triangular shape. The letter's shape has influenced terms such as 'deltoid muscle' and 'river delta'. The upper-case delta is also used in mathematics and science to indicate a change in value.
When mastodons roamed.   		7 letters,"ICE AGE.    	Ice ages are periods in the Earth's history when there are extensive ice sheets present in the northern and southern hemispheres. One might argue that we are still in an ice age that began 2.6 million years ago, as evidenced by the presence of ice sheets covering Greenland and Antarctica."
Boardwalk cooler.   		11 letters,"ITALIAN ICE.    	A sno-cone (also ""snow cone"") is just a paper cone filled with crushed ice and topped with flavored water. Italian ice is similar, but different. Whereas the flavoring is added on top of the ice to make a sno-cone, Italian ice is made with water that is flavored before it is frozen."
"Sousa's ""El Capitan,"" e.g.   		8 letters","OPERETTA.    	El Capitan' is John Philip Sousa's most successful operetta. There is also a march called 'El Capitan', which comprises themes from the operetta."
Golfer's cry.   		5 letters,"FORE!.    	No one seems to know for sure where the golfing term ""fore!"" comes from. It has been used at least as far back as 1881, and since then has been called out to warn other golfers that a wayward ball might be heading their way. My favorite possibility for its origin is that it is a contraction of the Gaelic warning cry ""Faugh a Ballagh!"" (clear the way!) which is still called out in the sport of road bowling. Road bowling is an Irish game where players bowl balls along roads between villages, trying to reach the end of the course in as few bowls as possible, just like in golf!"
Long-billed wader.   		6 letters,"AVOCET.    	The avocet is found in warm climates, usually in saline wetlands where it uses its upcurved bill to sweep from side-to-side in water searching for aquatic insects on which it feeds. Avocets, and other similar species, may go by the common name of ""stilts"", a moniker applied to them because of their long legs."
"Book with the line ""My father can read big words, too.   		10 letters","HOP ON POP.    	""Hop on Pop"" is a Dr. Seuss book that was first published in 1963, subtitled ""The Simplest Seuss for Youngest Use"". ""Hop on Pop"" was listed by former First Lady Laura Bush as her favorite title, citing the memories evoked of family life with her young daughters."
Alternative to pasta.   		7 letters,"RISOTTO.    	Risotto is an Italian rice dish that is usually served as a first course in Italy, but as a main course here in North America."
Gershwin biographer David.   		4 letters,"EWEN.    	David Ewen wrote two biographies of George Gershwin, called 'The Story of George Gershwin' and 'George Gershwin: His Journey to Greatness'."
Detroit's county.   		5 letters,"WAYNE.    	The city of Detroit is known worldwide as the capital of the automotive industry. However, times have been hard in recent years and the city's population dropped by about 25% from 2000 to 2010 as locals moved to the suburbs and beyond in search of work."
"Houston pro, informally.   		4 letters",STRO.    	The Houston baseball team changed its name to the Astros from the Colt .45s in 1965 when they started playing in the Astrodome. The Astrodome was so called in recognition of the city's long association with the US space program.
Thorny tree.   		6 letters,"ACACIA.    	Acacia is a genus of tree and shrub, also known as thorntree, whistling thorn and wattle. The acacia is the primary food source for the giraffe in the wild, with the animal eating the leaves high in the tree, leaves that are inaccessible by competing species."
Botanist Gray.   		3 letters,"ASA.    	Asa Gray was an important American botanist in the nineteenth century. He was a lifelong friend of Charles Darwin, albeit mainly through correspondence. Darwin's book ""Forms of Flowers"", was dedicated to Gray."
Finn's friend.   		6 letters,SAWYER.    	Tom Sawyer is a favorite character created by Mark Twain. He turns up in four of Twain's books:
Baby problem.   		5 letters,COLIC.    	Baby colic is a condition in which a baby cries for no apparent reason for extended periods. At least one study has shown that breastfed babies are about half as likely to suffer from colic.
Den ___ (home of the International Criminal Court).   		4 letters,"HAAG.    	Den Haag is the Dutch name for the city in the Netherlands that we know in English as The Hague. Even though The Hague is the seat of the Dutch parliament and is where Queen Beatrix resides, it is not the country's capital city. That honor goes to Amsterdam."
Classical performance hall.   		5 letters,"ODEUM.    	In Ancient Greece an odeon (also 'odeum') was like a small theater, with ""odeon"" literally meaning a ""building for musical competition"". Odea were used in both Greece and Rome for entertainments such as musical shows and poetry readings."
"""So You Think You Can Dance"" judge.   		5 letters","ABDUL.    	Paula Abdul is primarily a singer and dancer, and someone who endeared herself even more to the American public in recent years as a judge on ""American Idol"". Abdul had a famous husband for a couple of years, as she was married to actor Emilio Estevez from 1992-94."
*Volleyball position.   		6 letters,"SETTER.    	In volleyball, the ""set"" is the second contact made by a team, the contact that is meant to 'set up' an attacking shot."
Hungarian patriot Nagy.   		4 letters,"IMRE.    	Imre Nagy was twice Prime Minister of Hungary. He was ahead of his time, I think. His second term as Prime Minister came during the Hungarian Uprising against the Soviet Union in October 1956. The Soviet's invaded of course, and arrested Nagy. He was tried in secret, sentenced to death and hanged."
Springfield Plateau area.   		6 letters,"OZARKS.    	The Ozark Mountains aren't really mountains geographically speaking, and the Ozarks are better described by the alternate name, the Ozark Plateau. It's not really certain how the Ozarks got their name, but my favorite theory is that ""Ozarks"" is the phonetic spelling of ""aux Arks"", short for ""of Arkansas"" in French."
"With 30-Down, object of a hunt.   		4 letters",HOLY.    	(30D. See 22-Across : GRAIL)
"Having no chance for success, as a proposal, for short.   		3 letters",DOA.    	Dead on arrival (DOA)
Ulan-___ (city in Siberia).   		3 letters,"UDE.    	Ulan-ude is a city in Eastern Siberia founded by the Russian Cossacks. If you ever get to visit, you'll be able to see a huge sculpture of the head of Vladimir Lenin, the largest head of Lenin ever built."
Lash ___ of old westerns.   		5 letters,"LARUE.    	Alfred LaRue was an actor who appeared in a lot of western movies in the forties and fifties. He was very adept with the bullwhip, earning him the nickname 'Lash'. Years after his on screen career ended, LaRue was the guy who trained Harrison Ford how to use a bullwhip for his role in the ""Indiana Jones"" series of films."
N*F.   		7 letters,SCIENCE.    	The National Science Foundation (NSF) supports research and education in all scientific fields outside of medicine. The NSF was founded in 1950 during the Truman administration. Today it has a budget of almost 7 billion dollars.
Annual awards org.   		3 letters,"SAG.    	The Screen Actor's Guild is a labor union with over 200,000 members. The SAG was formed back in 1933, at a time when many Hollywood stars were being exploited by the big movie studios, especially the younger and more inexperienced performers. Early supporters of the Guild included famous names like Humphrey Bogart and James Cagney (imagine Bogart and Cagney in a labor negotiation!). Past presidents of SAG have also been big names, such as Eddie Cantor, James Cagney, Ronald Reagan, Howard Keel, Charlton Heston, Ed Asner and Melissa Gilbert."
World music's King Sunny ___.   		3 letters,"ADE.    	King Sunny Adé is a musician from Nigeria. He is a pioneer of what's called world music, a genre that encompasses many styles of music from all around the globe."
Truck drivers' competition.   		6 letters,"ROADEO.    	A 'roadeo' is a competition held between drivers of buses or trucks. Obviously, the term is a play on the words 'road' and 'rodeo'."
Robed performer.   		6 letters,GEISHA.    	The Japanese term 'geisha' best translates as 'artist' or 'performing artist'.
Sets (on).   		4 letters,"SICS.    	'Sic 'em' is an attack order given to a dog, instructing the animal to growl, bark or even bite. The term dates back to the 1830s, with ""sic"" being a variation of ""seek""."
