ASS_,ASST.    	Personal Digital Assistant (PDA)
LI_,"LIU.    	Lucy Liu is an actress from Queens, New York. Liu's big break came when she was chosen to play the Ling Woo character in ""Ally McBeal"". I liked her in the 2000 film ""Charlie's Angels"" but as I am no fan of Quentin Tarantino, I did not enjoy the movie ""Kill Bill"". I am having fun watching one of Liu's more recent projects, in which she plays Joan Watson, one of the two lead characters in the TV crime drama 'Elementary'."
Z_T,"ZIT.    	The slang term 'zit', meaning a pimple, came into the language in 1966, but no one seems to know its exact derivation."
O_LER,"OILER.    	The National Hockey League's Edmonton Oilers are so called because they are located in Alberta, Canada ... oil country."
E_E,"EXE.    	In the Windows Operating System, a file with the extension .exe is an ""executable"" file."
EN_R,"ENTR.    	The term entr'acte comes to us from French, and is the interval between two acts of a theatrical performance. It often describes some entertainment provided during that interval."
_ETAL,"METAL.    	Black Sabbath are an English heavy metal band set up in 1969 in Birmingham in the north of the country. Black Sabbath's most famous band member was the lead singer, Ozzy Osbourne. Ozzy was kicked out of the group in 1979 as his drug usage was becoming overly disruptive."
S_X,"SIX.    	The Six Flags Entertainment Corporation is an operator of amusement parks that is headquartered in Grand Prairie, Texas. Six Flags owns more amusement parks than any other company in the world. The first of these properties to open was Six Flags Over Texas. The park's name was chosen as a homage to the flags of the six nations that have governed Texas, namely Spain, France, Mexico, the Republic of Texas, the United States of America, and the Confederate States of America."
E_E,EOE.    	An Equal Opportunity Employer.
M_AS,"MBAS.    	The world's first Master of Business Administration (MBA) degree was offered by Harvard's Graduate School of Business Administration, in 1908."
NA_ER,"NADER.    	Ralph Nader has run as a third-party candidate for the office of President of the United States four times now, in every election from 1996 to 2008. Nader's name was first first linked with the presidential race in 1971, when the famous Dr. Benjamin Spock offered to stand aside as candidate in the 1972 race if Nader would agree to run, but he declined."
MP_,MPS.    	Member of Parliament (MP)
FDI_,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
TU_A,"TUBA.    	The tuba is the lowest pitched of all the brass instruments, and one of the most recent additions to the modern symphony orchestra (usually there is just one tuba included in an orchestral line-up). ""Tuba"" is the Latin word for ""trumpet, horn""."
BE_E,"BEBE.    	In Spanish, a madre's (mother's) treasure is her bebe (baby)."
_OLE,COLE.    	
CO_E,"COLE.    	The term ""coleslaw"" is an Anglicized version of the Dutch name ""koolsla"", which in itself is a shortened form of ""Koolsalade"" meaning ""cabbage salad""."
_ND,UND.    	'Und' is German for 'and'.
PABS_,"PABST.    	Pabst Blue Ribbon is the most recognizable brand of beer from the Pabst Brewing Company. There appears to be some dispute over whether or not Pabst beer ever won a ""blue ribbon"" prize, but the company claims that it did so at the World's Columbian Exposition in Chicago in 1893. The beer was originally called Pabst Best Select, and then just Pabst Select. With the renaming to Blue Ribbon, the beer was sold with an actual blue ribbon tied around the neck of the bottle until it was dropped in 1916 and incorporated into the label."
O_HO,"OCHO.    	In Spanish, ten minus two (diez menos dos) is eight (ocho)."
AIM_E,AIMEE.    	Aimee Mann is an American rock singer and guitarist.
U_I,UNI.    	In Australia (Down Under) and in the British Isles the term 'Uni' is routinely used for 'university'.
_AIMI,"RAIMI.    	Sam Raimi is a very successful director and producer, responsible for the ""Spider-Man"" series of films among others and TV series' such as ""Xena: Warrior Princess""."
ASWA_,"ASWAN.    	The Egyptian city of Aswan lies in the south of the country, on the River Nile. Aswan is famous for its stone quarries, going back to ancient times. The most celebrated granite rock from the area is called syenite. Stone from Aswan was shipped northwards along the Nile and used in the construction of the pyramids. From ancient times right up to 1970, the annual flooding of the Nile was a significant event in Egypt. The flooding allowed the deposition of fertile silt far beyond the banks of the river, helping the region's agriculture. However, the flooding was unpredictable. So the Aswan Dam was built in the sixties and from 1970 the flooding was brought under control."
OPIAT_,"OPIATE.    	Opiates are the narcotic alkaloids found in the opium poppy plant, although some synthetic versions and derivatives of the same alkaloids are also called opiates. To produce opiates, the latex sap of the opium poppy is collected and processed. The naturally-occurring drugs of morphine and codeine can both be extracted from the sap. Some synthesis is required to make derivative drugs like heroin and oxycodone."
IGU_NA,"IGUANA.    	An iguana is a lizard, and as such is cold-blooded. There are times when pet iguanas need heat from an IR lamp to maintain body temperature."
_IMEE,AIMEE.    	Aimee Mann is an American rock singer and guitarist.
XEN_N,"XENON.    	Xenon gas is used in flash tubes. The gas is ionized into a light emitting plasma by discharging a high voltage through it, using current stored in a capacitor."
_CON,"ICON.    	Cher's real name is Cherilyn Sarkisian, born in 1946. In her acting career, Cher was nominated for the Best Supporting Actress Oscar of 1984 for her performance in ""Silkwood"". She went further in 1988 and won the Best Actress Oscar for playing Loretta Castorini in ""Moonstruck""."
LE_LA,"LEILA.    	""The Pearl Fishers"" ('Les Pêcheurs de Perles') is the second most famous opera produced by Georges Bizet, the French composer from the Romantic era. 'The Pearl Fishers' is about two Ceylon fishermen (Nadir and Zurga) who are lifelong friends, but that friendship is threatened when the pair fall in love with the same woman (Leila)."
DOD_,"DODO.    	A dodo is a foolish person, and dodo is word that comes into English from the Portuguese ""doudo"". ""Doudo"" was a slang term used by Portuguese sailors for the extinct bird that we now know as the dodo."
SC_ON,"SCION.    	""Scion"" comes from the old French word ""sion"" or ""cion"", meaning ""a shoot or a twig"". In botanical terms today, a scion is used in grafting two compatible plants together. In grafting, one plant is selected for its root system (the 'rootstock'), and the other plant is selected for its stems, leaves and fruit (the ""scion""). The term scion migrated naturally into the world of family history. A scion is simply a descendant, a son or a daughter and therefore a branching point in the family tree."
_AT,"PAT.    	The New England Patriots football team was founded in 1959 as the Boston Patriots. The 'Patriots' name was selected from suggestions made by football fans in Boston. The team played at several different stadiums in the Boston area for just over ten years, before moving to their current home base in Foxborough, Massachusetts. At the time of the move, the 'Boston' name was dropped and changed to 'New England'."
C_A,CTA.    	Chicago Transit Authority (CTA)
_AP,NAP.    	'Garfield' is a comic strip drawn by Jim Davis since 1978. Garfield is an orange tabby cat. Davis named his hero Garfield after his own grandfather.
NOT_,"NOTA.    	'Nota bene' is the Latin for ""note well"""
IN_,"INK.    	'Variety' is a trade magazine dedicated to the entertainment industry. It was founded in 1905 in New York, but is now based in Los Angeles."
_HIN,"SHIN.    	The tibia is the larger of the two bones right below the knee, and is the strongest weight-bearing bone in the human body. ""Tibia"" is the Roman name for a Greek flute and it is thought that the shin bone was given the same name because flutes were often fashioned out of the shin bones of animals."
C_EF,"CLEF.    	Clef is the French word for ""key"". In music, a clef is used to indicate the pitch of the notes written on the stave. The bass clef is also known as the F-clef, and the treble clef is the G-clef."
IB_EN,"IBSEN.    	Henrik Ibsen was a Norwegian playwright, considered by many to be the greatest playwright since William Shakespeare. Ibsen was famous for shocking his audiences by exploring subjects that offended the sensibilities of the day (the late 1800s)."
_ZAWA,"OZAWA.    	Seiji Ozawa is most famous for his work as music director of the Boston Symphony Orchestra, although he is also the principal conductor of the Vienna State Opera. Ozawa is renowned for wearing a white turtleneck under his dress suit when he conducts, rather than the traditional starched shirt and white tie."
KI_,"KIT.    	In the world of sewing, notions is a term used for a collection of small objects and accessories. So (pun intended!), in a notions kit there might be buttons, collar stays and other accessories, as well as small sewing tools like thread, pins, and marking pens. New to me ..."
LA_AW,"LA LAW.    	L.A. Law' ran on NBC from 1986 to 1994, and was one of the network's most successful drama series. It took over from the equally successful 'Hill Street Blues' in the Thursday night 10 p.m. slot until, after a six-year run, it was itself replaced by yet another respected drama, 'E.R.' The opening credits showed that famous California licence plate. The plate was on a Jaguar XJ for most of the series, but moved onto a Bentley towards the end of the run. For each series the registration sticker was updated, so no laws were being broken."
S_EDE,"SUEDE.    	Blue Suede Shoes' was written and first recorded by Carl Perkins, in 1955. The idea for the song was given to him by Johnny Cash. Cash had been serving with the military in Germany and there met an airman who referred to his military regulation air shoes as 'blue suede shoes'. The idea was reinforced when Perkins heard a young man who was dancing say to his partner, 'Don't step on my suede shoes'. Perkins version of the song was very, very successful, actually 'going gold' in sales. Elvis Presley's version of course did even better."
_EP,"SEP.    	September 21 has been designated as the International Day of Peace since 2001, although the day itself was inaugurated in 1981 (then the third Tuesday of each September). There is a Peace Bell in the United Nations that rings out on each Peace Day, a gift from the Diet of Japan. The bell itself was cast from coins donated by children all over the world."
M_S,MPS.    	Military Police officers (MPs) are concerned with personnel who go AWOL (Absent Without Leave).
ROSI_,ROSIE.    	We don't get to see Rosie O'Donnell on the screen very much these days. She had a very successful chat show that ran from 1996 to 2002. My favorite performance of hers on the big screen is in a supporting role to Meg Ryan in the 1993 movie 'Sleepless in Seattle'.
HA_,"HAW.    	""Haw!"" is a command given to a trained animal that is hauling something (like a horse or an ox), to turn to the left. The equivalent command for a right turn is ""Gee!"""
_IOLA,"VIOLA.    	Viola is the main character in Shakespeare's ""Twelfth Night"". Viola is shipwrecked at the beginning of the play in a land ruled by the Duke Orsino. Viola disguises herself as a boy and works for Orsino as a page, and complications ensue ..."
R_IMI,"RAIMI.    	Sam Raimi is a very successful director and producer, responsible for the ""Spider-Man"" series of films among others, and TV series' such as ""Xena: Warrior Princess""."
IN_,"INK.    	The word ""tattoo"" (often shortened to 'tat') was first used in English in the writings of the famous English explorer Captain Cook. In his descriptions of the indelible marks adorning the skin of Polynesian natives, Cook anglicized the Tahitian word ""tatau"" into our ""tattoo""."
CO_A,"CORA.    	""Blondie"" was created as a comic strip by Chic Young. It was first published in 1930, and is still being created today (although the strip is now controlled by Chic's son, Dean). The series spawned a series of radio programs (1939-1950) and a series of Blondie films (1938-1950). Blondie is married to Dagwood Bumstead. Dagwood slaves away at a construction company run by Julius Dithers, whose wife is Cora."
C_IRO,"CAIRO.    	Cairo is the capital city of Egypt. It is the largest city on the continent of Africa and is nicknamed ""The City of a Thousand Minarets"" because of its impressive skyline replete with Islamic architecture. The name ""Cairo"" is a European corruption of the city's original name in Arabic, ""Al-Qahira"", which translates as 'the Vanquisher' or 'the Conqueror'."
P_AS,"PEAS.    	Wasabi peas are peas that have been fried and then coated with wasabi powder mixed with sugar, salt and oil. They are a crunchy snack, and a favorite of mine."
SAK_,"SAKE.    	We refer to the Japanese alcoholic beverage made from rice as ""sake"". We've gotten things a bit mixed up in the West. ""Sake"" is actually the word that the Japanese use for all alcoholic drinks. What we know as sake, we sometimes refer to as 'rice wine'. It is indeed made from rice, but it is a brewed rather than fermented and so is more like a beer than a wine."
META_,"METAL.    	""Headbangers Ball"" was an MTV show aired late at night that featured hard rock and heavy metal music videos."
AR_PAHO,"ARAPAHO.    	Wind River Indian Reservation is in Wyoming, and is shared by the Eastern Shoshone and Northern Arapaho Native American tribes."
R_P,"RIP.    	In woodworking, a cut across the grain is known as a cross cut. A cut along the grain is called a rip cut. Most saws are designed to perform the best cross cuts, but there is a special rip saw that more easily cuts straight lines along the grain."
EVI_N,"EVIAN.    	Évian-les-Bains (or simply Évian) is in the very east of France, on the shores of Lake Geneva directly across the lake from Lausanne, Switzerland. As you might imagine, Évian is the home of Évian mineral water, the most successful business in town. I can't stand the taste of Évian water ..."
_AT,"PAT.    	To stand pat' is to resist change. The term comes from the game of poker, in which one 'stands pat' if one keeps one's hand as is, not drawing any extra cards."
BE_A,"BELA.    	Bela Bartok was a composer and a pianist, and is considered by many to be Hungary's greatest composer after Liszt."
D_I,"DUI.    	In some states, there is no longer a legal difference between a DWI (Driving While Intoxicated) and a DUI (Driving Under the Influence). Other states retain that difference, so that by definition a DUI is a lesser offence than a DWI."
_FOS,"UFOS.    	In 1952, the USAF revived its studies of reported sightings of unidentified flying objects (UFOs) in a program called Project Blue Book. Project Blue Book ran from 1952 until it was shut down in 1969 with the conclusion that there was no threat to national security and that there were no sightings that could not be explained within the bounds of modern scientific knowledge."
U_NA,"USNA.    	The motto of the United States Naval Academy (USNA) is 'Ex Scientia Tridens', which translates as 'From Knowledge, Sea Power'."
_IP,RIP.    	Rest in peace (RIP)
EMIR_,"EMIRS.    	An emir is a prince or chieftain, most notably in the Middle East. In English, emir can also be written as emeer, amir and ameer (watch out for those spellings in crosswords!)."
T_U,"TCU.    	Texas Christian University (TCU) is a private school in Fort Worth, Texas. TCU used to be called AddRan Male & Female, named after an AddRan Clark, the son of Addison Clark who died at the age of 3-years-old from diphtheria. Poor young AddRan was named after his father and his brother, Addison and Randolph."
KEN_,"KENT.    	Kent is a county in the southeast of England. Kent is a little unusual in that it shares a ""land"" border with France. That border nominally exists halfway through the Channel Tunnel, one end of which comes to surface in the Kent port of Folkestone. Kent's nickname is 'the Garden of England'"
MELE_,"MELEE.    	Our word 'melee' comes from the French 'mêlée', and in both languages the word means ""confused fight""."
IA_S,"IAMS.    	Iams dog food was produced by the animal nutritionist Paul Iams. He felt that household pets were suffering somewhat by being fed a diet of table scraps, so he developed a dry dog food that he felt was more nutritious and suitable for pet dogs. He founded the Iams company, now part of Proctor & Gamble, in 1946."
_TEREO,"STEREO.    	Monophonic sound (""mono"") is sound reproduced using just one audio channel, which is usually played out of just one speaker. Stereophonic sound is reproduced using two audio channels, with the sound from each channel played out of two different speakers. The pair of stereo speakers are usually positioned apart from each other so that sound appears to come from between the two. Quadraphonic sound (4.0 surround sound) uses four audio channels with the sound played back through four speakers often positioned at the corners of the room in which one is listening."
S_EREO,"STEREO.    	Monophonic sound (""mono"") is sound reproduced using just one audio channel which is usually played out of just one speaker. Stereophonic sound is reproduced using two audio channels, with the sound from those channels usually played out of two speakers. The pair of stereo are usually positioned apart from each other so that sound appears to come from between the two. Quadraphonic sound (4.0 surround sound) uses four audio channels with the sound played back through four speakers often positioned at the corners of the room in which one is listening."
PEP_,"PEPE.    	'José' is the Spanish for 'Joseph'. Friends might also refer to José as 'Pepe'. Both José and Pepe derive from Saint Joseph, the father of Jesus. Saint Joseph is sometimes referred to as 'padre putativo' meaning 'presumed father"". The acronym 'PP', standing for 'padre putativo', led to the name 'Pepe'."
N_P,NAP.    	A 'nap' is a soft and perhaps fuzzy surface on cloth or leather.
J.L_,"J.LO.    	J.Lo is the nickname of singer and actress Jennifer Lopez. J.Lo is also the title of her second studio album, released in 2001."
_PS,"EPS.    	An extended play record (EP) contains more music than a single, but less than an long play record (LP)."
L_L,"LIL.    	Lil Wayne, Lil Italy, Lil' Vicious etc."
N_V,"NEV.    	The official nickname of Nevada is the ""Silver State"", a reference to importance of silver ore in the state&#8217;s growth and economy. The unofficial nickname is the ""Battle Born State"". ""Battle Born"" is a reference to Nevada being awarded statehood during the American Civil War."
HAN_,HANS.    	'Pumping up with Hans & Franz' was a popular sketch on 'Saturday Night Live'. The title characters were played by Dana Carvey and Kevin Nealon.
S_RENA,SERENA.    	Serena Williams is the younger of the two Williams sisters playing professional tennis. Serena has won more prize money in her career than any other female athlete.
ELE_,"E LEE.    	Robert E. Lee is renowned as a southern officer in the Civil War. Lee was a somewhat reluctant participant in the war in that he opposed the secession of his home state of Virginia from the Union. At the beginning of the war, President Lincoln invited Lee to take command of the whole Union Army but he declined, choosing instead to stay loyal to his home state."
_TAG,"STAG.    	Back where I come from, bachelor parties are called stag parties, and bachelorette parties are hen parties. And in Ireland the fairer sex usually isn't welcome at a stag party, not even for entertainment purposes. We tend to focus on the drink ..."
_APO,"CAPO.    	More properly called a ""caporegime"", a ""capo"" is high-ranking member of the Mafia (Cosa Nostra)."
_AI,"HAI.    	The song ""Bali Ha'i"" is from the musical ""South Pacific"" by Rodgers and Hammerstein. In the musical, Bali Ha'i is the name of a volcanic island that neighbors the island on which the story takes place."
S_U,"SMU.    	Southern Methodist University (SMU) is located in University Park, Texas (part of Dallas), and was founded in 1911. SMU is home to the George W. Bush Presidential Library."
O_ONE,"OZONE.    	Ozone gets its name from the Greek word ozein, meaning ""to smell"". It was given this name as ozone's formation during lightning storms was detected by the gas's distinctive smell. Famously, there is a relatively high concentration of the gas in the 'ozone layer' in the Earth's stratosphere. This ozone layer provides a vital function for animal life on the planet as it absorbs most of the sun's UV radiation. A molecule of ozone is made up of three oxygen atoms, whereas a 'normal' oxygen has just two atoms."
IT_,"-ITE.    	A shooting star is what we call the visible path of a meteoroid as is it enters the earth's atmosphere. Almost all meteoroids burn up, but if one is large enough to survive and reach the ground, we call it a meteorite. The word 'meteor' comes from the Greek 'meteōros' meaning 'high in the air'."
T_G,"TOG.    	The verb ""tog"", meaning to dress up, comes from the Latin ""toga"", the garment worn in Ancient Rome. ""Tog"" can be use as an informal word for a coat or a cloak. Back in Ireland, togs are what we call swimming shorts."
_ABLO,"PABLO.    	Pablo Casals was a wonderful cellist, from Catalonia in Spain. Casals lived at the time of the Franco regime in Spain. As a supporter of the Spanish Republican Government he placed himself in self-imposed exile in 1938, vowing not to return home until democracy had been restored. Casals never again set foot on Spanish soil, and died in Puerto Rico in 1973."
_RNS,"ERNS.    	An ern (also erne) is also called the while-tailed eagle, and the sea-eagle."
_ORT,"TORT.    	The word ""tort"" comes to us directly from the French word, meaning ""mischief, injury or wrong"". It's a fitting word, as tort law is generally about negligence, when the action of one party causes injury to another, but that action is outside of the scope of criminal law."
N_TRO,"NITRO.    	Nitroglycerin (also known as 'nitro') is a very unstable, oily, colorless liquid. It is usually used as the explosive ingredient in a stabilized product like dynamite or cordite. Nitroglycerin is also used medically, as a vasodilator. Right after it hits the bloodstream is causes the blood vessels to dilate to that the heart has less work to do. I had occasion to take it a couple of times, and boy, what a speedy and fundamental effect it has."
_NANE,INANE.    	Our word 'inane' meaning silly or lacking substance comes from the Latin 'inanitis' meaning 'empty space'.
TA_S,"TASS.    	TASS is the abbreviation used for the former news agency that had the full name Telegraph Association of the Soviet Union (Telegrafnoe Agentstvo Sovetskovo Soyuza). When the Soviet Union dissolved in 1992, the Moscow-based agency's scope changed along with its name. It is now known as the Information Telegraph Agency of Russia (ITAR-TASS)."
SP_EL,"SPIEL.    	A spiel is a lengthy speech or argument designed to persuade, like a sales pitch. ""Spiel"" comes to us from German, either directly (""spiel"" is the German for ""play"") or via the Yiddish ""shpil""."
A_ON,"ARON.    	Elvis Aron Presley was the younger of two identical twins. is brother was stillborn, delivered 35 minutes before Elvis. The brother was named Jesse Garon Presley. So, though born a twin, Elvis was raised as an only child."
_LIO,"CLIO.    	The Clio Awards are the Oscars of the advertising world and are named after Clio, the Greek Muse of History. Clio was also the recorder of great deeds, the proclaimer and celebrator of great accomplishments and a source of inspiration and genius. The Clio Awards were first presented in 1959."
BE_A,"BELA.    	Béla Fleck is a banjo player who performed with the bands New Grass Revival and Béla Fleck and the Flecktones. Fleck was born in New York City and was given the name Béla Anton Leoš Fleck. He was named after Hungarian composer Béla Bartók, Austrian composer Anton Webern, and Czech composer Leoš Janáček. That's quite a name to live up to, but by all accounts Fleck is one of the most technically proficient banjo players the world has ever known."
L_U,"LIU.    	Lucy Liu is an actress from Queens, New York. Liu's big break came when she was chosen to play the Ling Woo character in ""Ally McBeal"". I liked her in the 2000 film ""Charlie's Angels"" but as I am no fan of Quentin Tarantino, I did not enjoy the movie ""Kill Bill"". I am having fun watching one of Liu's more recent projects, in which she plays Jane Watson, one of the two lead characters in the TV crime drama 'Elementary'."
ECAR_E,"ECARTE.    	Ecarte is a card game that comes to us from France, with a name that translates into 'discarded"". It is a game like Whist, but is played with a stripped-down deck."
SANT_,"SANTA.    	We get the names for Santa's reindeer from the famous 1823 poem called 'A Visit from St. Nicholas', although we've modified a couple of the names over the years. The full list is:"
_ENT,"KENT.    	Superman's comic book creators gave their character's alter-ego the name 'Clark Kent' by melding the names of Clark Gable and Kent Taylor, two leading men of the cinema. However, they modeled Clark's character more on the silent film actor Harold Lloyd."
P_M,"POM.    	POM Wonderful is a privately-held company that has been making fruit juice drinks since 2002. The main product line is pomegranate juice, hence the company name."
E_S,EIS.    	'Eis' is the German word for 'ice'.
AM/F_,"AM/FM.    	The radio spectrum is divided into bands based on frequency. ""High band"" is composed of relatively high frequency values, and ""low band"" is composed of frequencies that are relatively low. FM radio falls into the band called Very High Frequency, or VHF. Television signals use frequencies even higher than VHF, frequencies in the Ultra High Frequency band (UHF). AM radio uses lower frequencies that fall into the relatively low bands of Low, Medium and High Frequency (LF, MF, and HF)."
_OSSE,"FOSSE.    	Bob Fosse won more Tony Awards for choreography than anyone else, a grand total of eight (and another Tony for direction). Fosse also won an Oscar for Best Director for his 1972 movie ""Cabaret"", even beating out the formidable Francis Ford Coppola who was nominated that same year for ""The Godfather""."
OBOE_,"OBOES.    	The oboe is perhaps my favorite of the reed instruments. The name ""oboe"" comes from the French ""hautbois"" which means ""high wood"". When you hear an orchestra tuning before a performance you'll note (pun intended!) that the oboe starts off the process by playing an ""A"". The rest of the musicians in turn tune to that oboe's ""A""."
IND_A,"INDIA.    	Cricket is the national game of England. The term 'cricket' apparently comes from the Old French word 'criquet' meaning 'goalpost, stick'."
EVIT_,"EVITA.    	""Evita"" was the followup musical to ""Jesus Christ Superstar"" for Andrew Lloyd Weber and Time Rice. Both of these works were originally released as album musicals, and very successful ones at that (I remember buying them when they first came out). For the original album's cast they chose Irish singer Colm Wilkinson (or C. T. Wilkinson, as we know him back in Ireland) to play ""Che"", the narrator of the piece."
A_IS,"AXIS.    	Before WWII, Hungary's prime minister was lobbying for an alliance between Germany, Hungary and Italy and worked towards such a relationship that he called an ""axis"". The main Axis powers during the war of course were Germany, Italy and Japan. However, also included in the relationship were Romania, Bulgaria and the aforementioned Hungary."
S_AS,"SEAS.    	The phrase 'the seven seas' has been used for centuries by many different peoples. The actual definition of what constitutes the collection of seven has varied depending on the period and the culture. Nowadays we consider the seven largest bodies of water as the seven seas, namely:"
_POT,"SPOT.    	The four 'big cats' are the tiger, lion, jaguar and leopard. The smallest of these is the leopard."
AMY_,"AMYS.    	Amy Poehler was a cast member on Saturday Night Live from 2001 to 2008, notable from many great sketches, including those where she played Hillary Clinton opposite Tina Fey's Sarah Palin. Poehler also starred with Fey in the 2008 movie ""Baby Mama"", and now has her own show on NBC called ""Parks and Recreation""."
ASAD_,"ASADA.    	'Carne Asada' translates from Spanish as ""roasted meat""."
RENOI_,"RENOIR.    	Pierre-Auguste Renoir was a French painter, very much at the forefront of the Impressionist Movement. Renoir was a prolific artist, with several thousand works attributed to him. The largest collection of Renoirs is actually in the United States. You can see 181 of his paintings at the Barnes Foundation just outside Philadelphia."
I_A,"I'M A.    	John Lennon wrote ""I'm a Loser"". He once said in an interview, with reference to the song, ""Part of me suspects I'm a loser and part of me thinks I'm God Almighty."" Typical John Lennon humor, I'd say ..."
PF_,PFC.    	Private First Class (PFC)
ASA_A,"ASADA.    	'Carne Asada' translates from Spanish as ""roasted meat""."
LE_LA,"LEILA.    	""The Pearl Fishers"" ('Les Pêcheurs de Perles') is the second most famous opera produced by Georges Bizet, the French composer from the Romantic era. 'The Pearl Fishers' is about two Ceylon fishermen (Nadir and Zurga) who are lifelong friends, but that friendship is threatened when the pair fall in love with the same woman (Leila)."
T_T,"TOT.    	Ore-Ida founders came up with the idea for Tater Tots when they were deciding what to do with residual cuts of potato. They chopped up the leftovers, added flour and seasoning, and extruded the mix through a large hole making a sausage which they cut into small cylinders. We eat 70 million pounds of this extruded potato every year!"
GE_DE,GEODE.    	A geode is a rock in which there is a cavity lined or filled with crystal formations.
RD_S,RDAS.    	Recommended Daily Allowances (RDAs) were introduced during WWII and are a set of recommendations for the standard daily allowances of specific nutrients. RDAs were effectively absorbed into a broader set of dietary guidelines in 1997 called Recommended Daily Intakes (RDIs). RDIs are used to determine the Daily Values (DV) of foods that are printed on nutrition fact labels on most food that we purchase.
BIL_O,"BILBO.    	Bilbo Baggins is the main character in Tolkien's ""The Hobbit"", and makes an appearances in ""The Lord of the Rings"" trilogy."
_ARS,"TARS.    	A Jack Tar, or just ""tar"", was a seaman in the days of the British Empire. The term probably arose due to a sailor's various uses of tar back then, including waterproofing his clothes and using tar in his hair to slick down his ponytail."
EV_R,"EVER.    	""Ever and anon"" means ""now and then""."
ARSE_AL,"ARSENAL.    	Our word ""arsenal"" comes from the Italian ""arzenale"", a work adapted from the Arabic for ""workshop"". There was a large wharf in Venice called the Arzenale that became associated with the storage of weapons and ammunition, and this led to our contemporary usage of ""arsenal""."
S_U,"SMU.    	Southern Methodist University (SMU) is located in University Park, Texas (part of Dallas), and was founded in 1911. SMU is home to the George W. Bush Presidential Library."
F_IC,"FDIC.    	During the Great Depression, President Franklin D. Roosevelt signed into law the Banking Act of 1933. The legislation established the Federal Deposit Insurance Corporation (FDIC), intended to be a temporary government corporation that provided insurance on deposits made by customers of qualified financial institutions. The first accounts to be covered, in 1934, had an insurance limit of $2,500. Since the financial crisis of 2008, that limit is $250,000."
_AT,"PAT.    	To stand pat is to resist change. The term comes from the game of poker, in which one 'stands pat' if one keeps one's hand as is, not drawing any extra cards."
E_N,"E'EN.    	Using poetic terminology, morn's (morning's) counterpart is e'en (evening)."
AR_PAHO,"ARAPAHO.    	The Arapaho tribe lived on the eastern plains of Colorado and Wyoming. The Arapaho traditionally wintered in small camps in the foothills of the Rockies, and then relocated to plains in the spring where they hunted the buffalo that were gathering to give birth to their young."
P_C,PFC.    	Private First Class (PFC)
A_II,"ALII.    	Et alii (et al.) is the equivalent of et cetera (etc.), with et cetera being used in place of a list of objects, and et alii used for a list of names. In fact ""et al."" can stand for et alii (for a group of males, or males and females), aliae (for a group of women) and et alia (for a group of neuter nouns, or for a group of people where the intent is to retain gender-neutrality)."
DE_I,"DEMI.    	The demimonde (""half-world"" in French) was name given to the courtesan class in French, British and American society in the 19th century. The term ""half-world"" is meant to suggest that these women lived on the fringes of polite society. Famous characters of the demi-monde in the arts would be Violetta (""La Traviata""), perhaps Becky Sharp from ""Vanity Fair"" and maybe Colette's ""Gigi""."
OSSI_,"OSSIE.    	Ossie Davis was a very successful African-American actor, but also a director, poet, playwright and social activist. One of Davis's better known performances was in the 1993 movie 'Grumpy Old Men', in which he played the owner of the bait shop by the lake."
EVIT_,"EVITA.    	""Evita"" was the followup musical to ""Jesus Christ Superstar"" by Andrew Lloyd Weber and Time Rice. Both of these works were originally released as album musicals, and very successful ones at that (I remember buying the albums when they first came out). For the original album's cast of ""Evita"" they chose Irish singer Colm Wilkinson (or C. T. Wilkinson, as we know him back in Ireland) to play ""Che"", the narrator of the piece."
KT_,"KTS.    	I know that 'karat' is a variant spelling of 'carat', the measure of the purity of gold. I don't recall seeing 'karat' used as a variant of 'carat', the unit of mass used in measuring gemstones. Again, I might have missed something ..."
RO_G,"ROEG.    	Nicolas Roeg is film director from England with quite the pedigree when it comes to association with great movies. He contributed to 1962's 'Lawrence of Arabia', and he himself directed noted films like 'Walkabout' (1972), 'Don't Look Now' (1973) and 'The Man Who Fell to Earth' (1976)."
ACT_,"ACTA.    	Actum (plural ""acta"") is the Latin word for ""deed"". ""Acta"" is used in English to describe many official records, including minutes, proceedings etc."
SP_T,"SPOT.    	Fellow weightlifters might 'spot' each other, helping the person lifting take on more weight than would normally be possible."
O_F,OAF.    	In urban slang a 'goofus' is an innocent type of person who acts in a silly manner. The term derives from the character Goofus who appears in the 'Goofus & Gallant' cartoons published in the 'Highlights for Children' kid's magazine.
_TE,"-ITE.    	The island we know as Manhattan was inhabited by the Lenape Indians when the first Europeans explorers arrived in the area. According to the logbook of one of the officers on explorer Henry Hudson's yacht, the island was called ""Manna-hata"" in the local language, from which the modern name derives."
BETT_,"BETTE.    	I am a huge, huge fan of Bette Midler. I love everything about the woman, her bawdy humor, her expansive personality, and of course her amazing voice. Midler will forever be associated with the 1979 film ""The Rose"", loosely based on the life of the self-destructive singer, Janis Joplin, with Bette Midler playing the leading role. Bette Midler shows she can act in this movie, and boy does she show that she can sing. The title song was written by Amanda McBroom and became a huge hit for Midler in 1979."
